gene,mRNA-seq_WT_OP50,mRNA-seq_set-32_OP50,mRNA-seq_met-2set-25set-32_OP50,mRNA-seq_met-2set-25_OP50,mRNA-seq_hrde-1_OP50,GRH loci,GRTS loci,K9(+)_genes,Input,Suggested Match,History
T08E11.7,0.94,0.51,1.96,2.2,0,no,no,yes,T08E11.7,WBGene00020363,Sequence name for WBGene00020363(fbxa-3). History: N.A.
T08E11.6,1.17,1.28,0,0,1.56,no,no,yes,T08E11.6,WBGene00020362,Sequence name for WBGene00020362(fbxb-10). History: N.A.
W09H1.4,0,1.12,5.97,2.39,12.33,yes,no,yes,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
W09H1.5,89.51,107.82,87.9,72.26,80.81,yes,no,yes,W09H1.5,WBGene00012375,Sequence name for WBGene00012375(mecr-1). History: N.A.
W09H1.3,9.11,19.24,13.04,5.33,15.7,yes,no,yes,W09H1.3,WBGene00012373,Public name for WBGene00012373. History: N.A.
Y6E2A.9a,0.83,0.46,0,1.46,0,no,no,yes,Y6E2A.9a,WBGene00012402,Molecule name for WBGene00012402(sfxn-1.3). History: N.A.
F34D6.1,1.63,4.16,1.36,2.22,2.91,no,no,yes,F34D6.1,WBGene00018021,Public name for WBGene00018021. History: N.A.
C16H3.3a,5.46,3.32,5.07,3.55,4.68,no,no,yes,C16H3.3a,WBGene00015868,Molecule name for WBGene00015868(C16H3.3). History: N.A.
F56H9.4,0.71,1.16,1.18,1.24,0.95,no,yes,yes,F56H9.4,WBGene00001671,Sequence name for WBGene00001671(gpa-9). History: N.A.
Y44A6D.5,2.67,2.19,1.39,0.78,1.79,no,no,yes,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
Y44A6D.3,7.39,5.24,7.99,12.22,6.41,no,no,yes,Y44A6D.3,WBGene00012854,Public name for WBGene00012854. History: N.A.
Y16E11A.2,0.03,0.04,0,0,0.02,no,no,yes,Y16E11A.2,,Sequence name for Suppressed gene WBGene00021194. Molecular name for Suppressed gene WBGene00021194. Public name for Suppressed gene WBGene00021194. History of WBGene00021194: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y16E11A.1,1.43,1.17,0.22,0,0.72,no,no,yes,Y16E11A.1,WBGene00021193,"Sequence name for WBGene00021193(math-44). History: Split into Y16E11A.4(WBGene00305158). History of WBGene00021193: Split into ""WBGene00305158"" on 2019-11-21"
Y18H1A.1,0.84,2.78,3.53,2.64,0.38,no,no,yes,Y18H1A.1,WBGene00021207,Sequence name for WBGene00021207(ptp-5.3). History: N.A.
C55A1.1,0,0,0,0,0,no,no,yes,C55A1.1,WBGene00008321,Public name for WBGene00008321. History: N.A.
C55A1.9,0,0,0,0,0,no,no,yes,C55A1.9,WBGene00008325,Public name for WBGene00008325. History: N.A.
T26H2.1,0.68,1.49,0.57,1.59,0,no,no,yes,T26H2.1,WBGene00012063,Sequence name for WBGene00012063(fbxb-1). History: N.A.
C39B5.1,0,0,0,0.15,0,no,no,yes,C39B5.1,WBGene00016519,Sequence name for WBGene00016519(srz-56). History: N.A.
T26C11.2,0,0,0,0,0,no,no,yes,T26C11.2,,Sequence name for Dead gene WBGene00020828. History of WBGene00020828: Killed on 2022-01-03. Remark: [211211 skd] Retired as this seems to be a simple repeat.
T26C11.1,0,0,0,0,0,no,no,yes,T26C11.1,WBGene00006560,Sequence name for WBGene00006560(tbx-41). History: N.A.
K03D3.5,1.29,1.41,1.08,1.51,0,no,no,yes,K03D3.5,WBGene00010531,Public name for WBGene00010531. History: N.A.
K03D3.2,0,0,0.79,0,0,no,no,yes,K03D3.2,WBGene00010528,Public name for WBGene00010528. History: N.A.
C46G7.5,1.41,6.94,2.35,4.94,12.26,no,yes,yes,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
C17H1.8,0,0,0,0,0,no,no,yes,C17H1.8,WBGene00007661,"Sequence name for WBGene00007661(pals-7). History: Split into pals-11(WBGene00044708). History of WBGene00007661: Split into ""WBGene00044708"" on 2006-01-13"
F58D5.2a,0,10.39,7.32,1.71,0.98,no,no,yes,F58D5.2a,WBGene00010242,Molecule name for WBGene00010242(F58D5.2). History: N.A.
T08D2.4,0,4.69,3.58,0.84,0,no,no,yes,T08D2.4,WBGene00011609,Public name for WBGene00011609. History: N.A.
C17H1.5,1.96,0.86,0,0.92,0,no,no,yes,C17H1.5,WBGene00007658,Sequence name for WBGene00007658(pals-4). History: N.A.
B0412.2,2.5,2.47,4.6,1.17,1.68,no,no,yes,B0412.2,WBGene00000903,Sequence name for WBGene00000903(daf-7). History: N.A.
F11D11.12,0,0,0,0,0,no,no,yes,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
Y79H2A.4,0,0,0,0,1.85,no,no,yes,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
F07E5.8,0.36,0.4,0.53,0,0.24,no,no,yes,F07E5.8,WBGene00017213,Public name for WBGene00017213. History: N.A.
F52D2.4,32.42,30.68,31.98,36.1,36.12,no,no,yes,F52D2.4,WBGene00001569,Sequence name for WBGene00001569(meg-3). History: Renamed on 2014-08-15
Y67H2A.2a,57.54,46.88,40.81,38.51,40.2,no,no,yes,Y67H2A.2a,WBGene00013461,Molecule name for WBGene00013461(Y67H2A.2). History: N.A.
T05H4.10,37.56,24.93,27.49,28.26,33.08,no,no,yes,T05H4.10,WBGene00020273,Public name for WBGene00020273. History: N.A.
T26G10.3,0,0,0,0,0,no,no,yes,T26G10.3,WBGene00012060,Public name for WBGene00012060. History: N.A.
C24D10.9,1.41,0,0,0,0,no,no,yes,C24D10.9,WBGene00004929,"Public name for Dead gene WBGene00044496. History of WBGene00044496: Merged into ""WBGene00004929"" on 2013-10-17"
T23D5.10,0,0,0,0,0,no,no,yes,T23D5.10,WBGene00006074,Sequence name for WBGene00006074(str-6). History: N.A.
C25F9.5.1,2.49,2.63,3.62,4.65,3.47,no,no,yes,C25F9.5.1,WBGene00007725,Molecule name for WBGene00007725(C25F9.5). History: N.A.
F45E6.6,0,1.92,0.73,0,0,no,no,yes,F45E6.6,WBGene00009728,Sequence name for WBGene00009728(sdz-19). History: N.A.
H25K10.7,0,0,0,0,0,no,no,yes,H25K10.7,WBGene00005808,Sequence name for WBGene00005808(srw-61). History: N.A.
F56C9.11,44.77,29.43,29.18,41.43,49.23,no,no,yes,F56C9.11,WBGene00018954,Sequence name for WBGene00018954(lab-2). History: N.A.
Y38H6C.13,0,0.4,0,0,0,no,no,yes,Y38H6C.13,WBGene00012625,"Public name for WBGene00012625. History: Split into Y38H6C.24(WBGene00194689). History of WBGene00012625: Split into ""WBGene00194689"" on 2009-07-03"
Y57A10A.30.1,10.98,19.47,25.63,3.88,78.35,yes,yes,yes,Y57A10A.30.1,WBGene00002063,Molecule name for WBGene00002063(ife-5). History: N.A.
ZC204.4a,0,0,0,0,0,no,no,yes,ZC204.4a,WBGene00005177,Molecule name for WBGene00005177(srg-20). History: N.A.
Y50D7A.1,5.23,6.27,8.88,8.04,4.82,no,no,yes,Y50D7A.1,WBGene00021751,Public name for WBGene00021751. History: N.A.
W04C9.1,16.11,20.16,27.6,22.14,11.02,no,no,yes,W04C9.1,WBGene00001814,Sequence name for WBGene00001814(haf-4). History: N.A.
F49B2.3,0.21,0,0.54,0.75,0.57,no,no,yes,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
W04B5.1,5.8,6.71,3.29,3.72,10.27,no,no,yes,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
W04B5.2,0.78,0.43,0,0.46,0.52,no,no,yes,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
W04B5.6,0,0,0,0,0,no,no,yes,W04B5.6,WBGene00021023,Public name for WBGene00021023. History: N.A.
W03G1.4,0.24,1.64,5.28,2.71,11.85,no,no,yes,W03G1.4,,Sequence name for Suppressed gene WBGene00043538. Molecular name for Suppressed gene WBGene00043538. Public name for Suppressed gene WBGene00043538. History of WBGene00043538: Killed on 2004-10-04; Resurrected on 2005-09-09; Killed on 2011-01-21; Suppressed on 2013-07-30. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....[050610 pad] Automatic assignment of Sequence_name connection using info taken from Public_name tags....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T13G4.5,0,0,0,0,0,no,no,yes,T13G4.5,WBGene00020492,Public name for WBGene00020492. History: N.A.
F36H5.2a.1,5.14,2.48,4.98,5.3,2.48,no,no,yes,,,
H04J21.1,0.13,0,0.45,0.16,0.18,no,no,yes,H04J21.1,WBGene00019150,"Public name for WBGene00019150. History: Split into H04J21.4(WBGene00305994). History of WBGene00019150: Split into ""WBGene00305994"" on 2020-01-21"
W03G1.8,0,0,1.07,0,0,no,yes,yes,W03G1.8,WBGene00021013,Public name for WBGene00021013. History: N.A.
F30B5.8,0,0,0,0,0,no,no,yes,F30B5.8,WBGene00044092,Sequence name for WBGene00044092(srbc-71). History: N.A.
Y59A8A.4,0,0,0.69,0,0,no,no,yes,Y59A8A.4,WBGene00005490,Sequence name for WBGene00005490(srh-286). History: N.A.
Y75B7B.2,0.52,0,1.02,0.61,0.7,no,no,yes,Y75B7B.2,WBGene00022289,Public name for WBGene00022289. History: N.A.
ZK270.2a.1,19.33,15.44,18.94,20.36,16.91,no,no,yes,ZK270.2a.1,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
C04F12.9,10.25,58.18,53.72,20.73,146.17,no,no,yes,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
F55C9.10,1.45,1.58,1.61,1.69,1.29,no,no,yes,F55C9.10,WBGene00010106,Sequence name for WBGene00010106(fbxb-61). History: N.A.
C24A1.3a,3.86,4.76,8.47,6.22,4.53,no,no,yes,,,
K10G4.5,0,0,0,0,0,no,no,yes,K10G4.5,WBGene00010754,"Public name for WBGene00010754. History: Split into K10G4.13(WBGene00077629). History of WBGene00010754: Split into ""WBGene00077629"" on 2008-02-22"
Y43F8C.16,0,0,0,0,0,no,no,yes,Y43F8C.16,WBGene00012837,Public name for WBGene00012837. History: N.A.
C04E12.12,0.8,0.35,1.6,1.49,1.07,no,no,yes,C04E12.12,WBGene00015441,Sequence name for WBGene00015441(arrd-21). History: N.A.
F45C12.5,0.5,2.17,1.04,0.87,1.33,no,no,yes,F45C12.5,WBGene00018436,"Sequence name for WBGene00018436(fbxb-11). History: Split into F45C12.17(WBGene00269388). History of WBGene00018436: Split into ""WBGene00269388"" on 2016-02-18"
F45C12.4,3.78,9.83,5.92,6.08,5.07,no,no,yes,F45C12.4,WBGene00018435,Sequence name for WBGene00018435(btb-9). History: N.A.
F45C12.7,23.71,21.32,25.43,21.97,26.1,no,no,yes,F45C12.7,WBGene00018438,Sequence name for WBGene00018438(btb-6). History: N.A.
F45C12.6,3.89,3.41,4.55,4.1,7.31,no,no,yes,F45C12.6,WBGene00018437,Sequence name for WBGene00018437(btb-8). History: N.A.
F45C12.1,0,0,0,0,0,no,no,yes,F45C12.1,WBGene00018432,Sequence name for WBGene00018432(irld-33). History: N.A.
F45C12.3,0,0,0,0,0,no,no,yes,F45C12.3,WBGene00018434,Sequence name for WBGene00018434(ceh-81). History: N.A.
F45C12.2,3.38,5.55,1.88,1.32,0.75,no,no,yes,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
F45C12.9,0,0,0,0,0,no,no,yes,F45C12.9,WBGene00018440,Public name for WBGene00018440. History: N.A.
F45C12.8,0.91,0.5,1.89,2.12,0.61,no,no,yes,F45C12.8,WBGene00018439,Sequence name for WBGene00018439(fbxa-184). History: N.A.
K11E4.1,2.28,4.49,4.18,2.13,1.83,no,no,yes,K11E4.1,WBGene00010773,Public name for WBGene00010773. History: N.A.
W05H12.2,0.63,2.29,1.57,1.96,1.96,no,no,yes,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y37H2A.4,11.27,10.93,5.07,1.02,30.82,no,no,yes,Y37H2A.4,WBGene00012564,Sequence name for WBGene00012564(fbxa-107). History: N.A.
Y43F8B.5,0.69,0,0.58,0,0,no,no,yes,Y43F8B.5,WBGene00012816,Sequence name for WBGene00012816(scl-21). History: N.A.
F54D10.9,0,0,0,0.36,0,no,no,yes,F54D10.9,WBGene00018810,Public name for WBGene00018810. History: N.A.
C08E3.10a,0,0,1.17,0.82,0,no,no,yes,C08E3.10a,WBGene00015602,Molecule name for WBGene00015602(fbxa-158). History: N.A.
C14E2.3,0,0,0,0,0,no,no,yes,C14E2.3,WBGene00015772,Public name for WBGene00015772. History: N.A.
C14E2.5,0,0,0,0,0,no,no,yes,C14E2.5,WBGene00015774,Public name for WBGene00015774. History: N.A.
F29A7.8,0,0,0.51,0.72,0,no,no,yes,F29A7.8,WBGene00017918,Public name for WBGene00017918. History: N.A.
F29A7.1,1.06,0.39,0.59,1.66,1.43,no,no,yes,F29A7.1,WBGene00017911,Sequence name for WBGene00017911(fbxb-106). History: N.A.
F29A7.3,0,0,0,0,0,no,no,yes,F29A7.3,WBGene00017913,Public name for WBGene00017913. History: N.A.
F29A7.7,0,0,0,0,0,no,no,yes,F29A7.7,WBGene00017917,Sequence name for WBGene00017917(clec-120). History: N.A.
F07B7.1,0.79,0.22,0.17,1.4,56.3,no,yes,yes,F07B7.1,WBGene00017185,Public name for WBGene00017185. History: N.A.
F07B7.3,6.53,13.49,8.09,9.17,7.46,no,no,yes,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
F07B7.2,4.13,4.53,1.27,1.53,90.11,no,yes,yes,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
F07B7.7,0.2,0.22,0.17,0,0,no,yes,yes,F07B7.7,WBGene00017188,Public name for WBGene00017188. History: N.A.
F07B7.9,10.03,18.52,12.94,16.41,16.27,no,yes,yes,F07B7.9,WBGene00001924,Sequence name for WBGene00001924(his-50). History: N.A.
B0462.4,0,0,1.74,1.22,0,no,no,yes,B0462.4,WBGene00007183,Public name for WBGene00007183. History: N.A.
ZC15.3,0.71,0,0.59,0,22.62,no,yes,yes,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
Y119D3B.9,0.54,0.59,0.91,1.91,0,no,no,yes,Y119D3B.9,WBGene00022487,Sequence name for WBGene00022487(fbxa-21). History: N.A.
Y119D3B.4,0,0,3.8,1.77,1.02,no,no,yes,Y119D3B.4,WBGene00022482,Sequence name for WBGene00022482(fbxa-208). History: N.A.
C09G12.2,0,0,0,0,0,no,no,yes,C09G12.2,WBGene00015652,Sequence name for WBGene00015652(srz-79). History: N.A.
W02H5.10,0,0,0,0,0,no,no,yes,W02H5.10,WBGene00194896,"Public name for Dead gene WBGene00044522. History of WBGene00044522: Merged into ""WBGene00194896"" on 2016-07-04"
F09C6.9,0.29,1.9,3.39,0.34,0.78,no,no,yes,F09C6.9,WBGene00003706,Sequence name for WBGene00003706(nhr-116). History: N.A.
E02H9.2,1.78,2.28,1.74,1.74,0.8,no,no,yes,E02H9.2,WBGene00017100,Public name for WBGene00017100. History: N.A.
E02H9.1,0,0,0,0,0,no,no,yes,E02H9.1,WBGene00017099,Public name for WBGene00017099. History: N.A.
E02H9.7,16.98,25.45,26.13,13.6,28.75,no,no,yes,E02H9.7,WBGene00017105,Public name for WBGene00017105. History: N.A.
E02H9.5,2.98,4.45,9.27,7.29,2.9,no,no,yes,E02H9.5,WBGene00017103,Sequence name for WBGene00017103(klo-2). History: N.A.
E02H9.4,0,1.27,1.94,1.36,0,no,no,yes,E02H9.4,WBGene00017102,Public name for WBGene00017102. History: N.A.
E02H9.9,0,1.39,0,0,0,no,no,yes,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
Y105C5B.28a,78.16,115.75,102.08,94.94,67.15,no,no,yes,Y105C5B.28a,WBGene00001604,Molecule name for WBGene00001604(gln-3). History: N.A.
Y102A5B.2,0.77,0.85,1.29,1.36,0,no,no,yes,Y102A5B.2,WBGene00013608,Sequence name for WBGene00013608(clec-35). History: N.A.
Y70C5A.3,0.19,0.62,0.47,0.44,0,no,no,yes,Y70C5A.3,WBGene00050904,Public name for WBGene00050904. History: N.A.
Y37H9A.5,2.46,6.74,8.23,8.17,8.8,no,no,yes,Y37H9A.5,WBGene00014871,Public name for WBGene00014871. History: N.A.
Y37H9A.2,0,0,0.7,0.99,0.57,no,no,yes,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
Y119D3B.18,2.46,1.8,1.6,4.81,6.97,no,no,yes,Y119D3B.18,WBGene00022494,Sequence name for WBGene00022494(fbxa-91). History: N.A.
Y119D3B.19,1.45,2.66,3.24,1.7,2.6,no,no,yes,Y119D3B.19,WBGene00022495,Sequence name for WBGene00022495(fbxa-78). History: N.A.
F11C3.3.1,280.14,299.11,350.44,270.18,244.07,no,no,yes,F11C3.3.1,WBGene00006789,Molecule name for WBGene00006789(unc-54). History: N.A.
Y53G8AM.8.1,6.2,6.45,6.34,5.81,3.12,no,no,yes,,,
T24C4.8,0.75,1.65,0,1.76,0,no,no,yes,T24C4.8,WBGene00044681,Public name for WBGene00044681. History: N.A.
T24C4.4,4.37,2.39,2.43,5.12,3.91,no,no,yes,T24C4.4,WBGene00020760,Public name for WBGene00020760. History: N.A.
C18D4.5,0,0,0,0,0,no,no,yes,C18D4.5,WBGene00014679,Sequence name for WBGene00014679(srz-25). History: N.A.
C39B5.8,0,0,0,0,0,no,no,yes,C39B5.8,WBGene00016526,Sequence name for WBGene00016526(fbxa-8). History: N.A.
T10D4.7,0,0,0,0,0,no,no,yes,T10D4.7,WBGene00020409,Public name for WBGene00020409. History: N.A.
Y113G7B.6,0.89,0.49,0.37,0,0,no,no,yes,Y113G7B.6,WBGene00013757,Sequence name for WBGene00013757(fbxa-113). History: N.A.
T10D4.1,0,0,0,0,0,no,no,yes,T10D4.1,WBGene00020406,"Public name for WBGene00020406. History: Split into T10D4.19(WBGene00305132). History of WBGene00020406: Split into ""WBGene00305132"" on 2019-11-21"
M162.11,0,0.36,0.55,0,0.44,no,no,yes,M162.11,WBGene00044655,Sequence name for WBGene00044655(fbxa-194). History: N.A.
W08F4.12,0.72,0,1.79,0,0.96,yes,no,yes,W08F4.12,WBGene00021101,Public name for WBGene00021101. History: N.A.
W08F4.11,1.22,0,1.02,4.29,1.64,no,no,yes,W08F4.11,WBGene00021100,Public name for WBGene00021100. History: N.A.
F59C6.14a,7.83,2.57,9.82,5.51,4.2,no,no,yes,F59C6.14a,WBGene00044792,Molecule name for WBGene00044792(F59C6.14). History: N.A.
C01B9.1a,1.31,0.86,1.96,0.71,0.93,no,no,yes,C01B9.1a,WBGene00007220,Molecule name for WBGene00007220(C01B9.1). History: N.A.
Y73B3A.22,0,0,0.3,0,0,no,no,yes,Y73B3A.22,WBGene00045295,Sequence name for WBGene00045295(fbxa-222). History: N.A.
B0391.9,1.44,0,0.6,3.36,0,yes,no,yes,B0391.9,WBGene00007164,Sequence name for WBGene00007164(fbxa-139). History: N.A.
B0391.6,0,0,0,0,0,no,no,yes,B0391.6,WBGene00007163,Sequence name for WBGene00007163(fbxa-154). History: N.A.
B0391.3,0,0,0,0,0,no,no,yes,B0391.3,WBGene00007161,Public name for WBGene00007161. History: N.A.
Y37D8A.8,3.45,3.78,0,6.06,2.31,no,no,yes,Y37D8A.8,WBGene00012549,Public name for WBGene00012549. History: N.A.
C38D9.8,2,0.88,1,2.57,3.22,no,no,yes,C38D9.8,WBGene00008016,Public name for WBGene00008016. History: N.A.
C38D9.9,0,0.44,1.67,1.41,0,no,no,yes,C38D9.9,WBGene00008017,"Sequence name for WBGene00008017(fbxa-176). History: Split into fbxa-175(WBGene00045293). History of WBGene00008017: Split into ""WBGene00045293"" on 2007-02-26"
C38D9.2,0,0.51,8.44,5.71,109.57,no,yes,yes,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
C38D9.1,0,0,0,0,0,no,no,yes,C38D9.1,WBGene00008009,Sequence name for WBGene00008009(fbxa-171). History: N.A.
C38D9.6,0,0.44,0,0,0,no,no,yes,C38D9.6,WBGene00008014,Sequence name for WBGene00008014(fbxa-172). History: N.A.
C47A10.8,0,0,0,0,0,no,no,yes,C47A10.8,WBGene00005909,Sequence name for WBGene00005909(srx-18). History: N.A.
W05F2.5,10.93,3.68,7.73,4.43,4.51,yes,no,yes,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
K03D3.1,0,0,0,0,0,no,no,yes,K03D3.1,WBGene00010527,Sequence name for WBGene00010527(srz-74). History: N.A.
C47A10.9,0,0,0,0,0,no,no,yes,C47A10.9,WBGene00005491,Sequence name for WBGene00005491(srh-287). History: N.A.
C18D4.9,0,0,0,0,0,no,no,yes,C18D4.9,WBGene00007678,Sequence name for WBGene00007678(srz-90). History: N.A.
ZK380.1,0.31,0.34,0.13,1.46,0.21,no,no,yes,ZK380.1,WBGene00006551,Sequence name for WBGene00006551(tbx-32). History: N.A.
ZK380.2,0,0,0,0,0,no,no,yes,ZK380.2,WBGene00022723,Public name for WBGene00022723. History: N.A.
ZK380.5,2.85,0.37,0,0.98,2.25,no,no,yes,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
C47A10.1,8.74,6.49,7.82,7.43,5.44,no,no,yes,C47A10.1,WBGene00004003,Sequence name for WBGene00004003(pgp-9). History: N.A.
Y39D8A.1a,6.35,4.23,8.3,9.37,4.07,no,no,yes,Y39D8A.1a,WBGene00021448,Molecule name for WBGene00021448(Y39D8A.1). History: N.A.
Y73B3A.9,12.87,12.67,9.48,7.41,5.85,no,no,yes,Y73B3A.9,WBGene00022211,Public name for WBGene00022211. History: N.A.
Y73B3A.8,0,0,0,0,0,no,no,yes,Y73B3A.8,WBGene00022210,Public name for WBGene00022210. History: N.A.
Y73B3A.7,0,0.37,0.28,0,0,no,no,yes,Y73B3A.7,WBGene00022209,Public name for WBGene00022209. History: N.A.
Y73B3A.6,1.15,3.14,12.46,5.37,1.92,no,no,yes,Y73B3A.6,,Sequence name for Suppressed gene WBGene00022208. Molecular name for Suppressed gene WBGene00022208. Public name for Suppressed gene WBGene00022208. History of WBGene00022208: Killed on 2008-09-01; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F56H6.6,0,0,0,0,0,no,no,yes,F56H6.6,WBGene00010167,Sequence name for WBGene00010167(bgnt-1.6). History: N.A.
Y73B3A.2,61.94,55.3,69.08,61.34,47.87,no,no,yes,Y73B3A.2,WBGene00022204,Public name for WBGene00022204. History: N.A.
Y102A5C.16,0,0,0,0,0,no,no,yes,Y102A5C.16,WBGene00013621,Sequence name for WBGene00013621(clec-239). History: N.A.
F54D12.11,0,0,0,0,0,no,no,yes,F54D12.11,WBGene00044425,Public name for WBGene00044425. History: N.A.
Y61A9LA.3a,27.86,28.97,27.14,23.49,26.65,no,no,yes,Y61A9LA.3a,WBGene00022015,Molecule name for WBGene00022015(Y61A9LA.3). History: N.A.
F26F2.2,0,0,0,0,0,no,no,yes,F26F2.2,WBGene00009167,"Public name for WBGene00009167. History: Split into F26F2.13(WBGene00219309). History of WBGene00009167: Split into ""WBGene00219309"" on 2011-10-27"
K03D3.10,0,1.93,1.76,0,0,no,no,yes,K03D3.10,WBGene00004287,"Sequence name for WBGene00004287(rac-2). History: Split into rac-3(WBGene00044670). History of WBGene00004287: Split into ""WBGene00044670"" on 2005-11-14"
K03D3.14,0,0,0,0,0,no,no,yes,K03D3.14,WBGene00045100,Public name for WBGene00045100. History: N.A.
ZK1225.5,0.26,2.01,0.66,0.61,0.7,no,no,yes,ZK1225.5,WBGene00014239,Public name for WBGene00014239. History: N.A.
ZK1225.4,4.68,2.56,1.3,2.13,0.7,no,no,yes,ZK1225.4,WBGene00014238,Public name for WBGene00014238. History: N.A.
ZK1225.1,0,0,0.32,0,0,no,no,yes,ZK1225.1,WBGene00014235,Public name for WBGene00014235. History: N.A.
C18H2.1,0.16,0.9,0.62,0.73,1.88,no,no,yes,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
ZK1225.2,0,0,0,0,0,no,no,yes,ZK1225.2,WBGene00014236,Public name for WBGene00014236. History: N.A.
F57C12.2,0.74,0.27,0.62,2.61,0.66,no,no,yes,F57C12.2,WBGene00019014,Public name for WBGene00019014. History: N.A.
T20H9.2,0,0,6.58,6.46,0,no,no,yes,T20H9.2,WBGene00020638,Sequence name for WBGene00020638(fbxa-43). History: N.A.
T20H9.3,0.87,0.95,1.81,1.52,0.58,no,no,yes,T20H9.3,WBGene00020639,Sequence name for WBGene00020639(fbxa-71). History: N.A.
T20H9.1,0,0,0,0,0,no,no,yes,T20H9.1,WBGene00020637,Sequence name for WBGene00020637(fbxa-7). History: N.A.
T20H9.6,0.18,0.2,0,0,0,no,no,yes,T20H9.6,WBGene00020642,Public name for WBGene00020642. History: N.A.
T20H9.4,0,0,0.44,0,0,no,no,yes,T20H9.4,WBGene00020640,Sequence name for WBGene00020640(fbxa-73). History: N.A.
F26F2.6,0,0,0,0,0.3,no,no,yes,F26F2.6,WBGene00009171,Sequence name for WBGene00009171(clec-263). History: N.A.
F36H5.10.1,0,0,0,0,1.13,no,no,yes,F36H5.10.1,WBGene00018108,Molecule name for WBGene00018108(F36H5.10). History: N.A.
F26F2.5,0,0,1.46,0,0,no,no,yes,F26F2.5,WBGene00009170,Public name for WBGene00009170. History: N.A.
F18C5.6,0,0,0,0,0,no,no,yes,F18C5.6,WBGene00005054,Sequence name for WBGene00005054(sra-28). History: N.A.
C32B5.9,0.2,0.32,0.05,0,0,no,no,yes,C32B5.9,WBGene00016302,Sequence name for WBGene00016302(fbxc-7). History: N.A.
F38E9.4,0,0,0,0,0.45,no,no,yes,F38E9.4,WBGene00018186,Public name for WBGene00018186. History: N.A.
H25P06.4,0,0.35,1.08,0.38,2.17,no,no,yes,H25P06.4,WBGene00010417,"Sequence name for WBGene00010417(clpr-3). History: Split into H25P06.5(WBGene00219319). History of WBGene00010417: Split into ""WBGene00219319"" on 2011-11-29"
T08D2.5,7.61,7.65,7.25,6.44,5.01,no,no,yes,T08D2.5,WBGene00011610,Public name for WBGene00011610. History: N.A.
Y39G10AR.11.1,16.91,26.53,22.95,18.47,17.65,no,no,yes,Y39G10AR.11.1,WBGene00021469,Molecule name for WBGene00021469(Y39G10AR.11). History: N.A.
K03D7.8,0,0,0,0,0,no,no,yes,K03D7.8,WBGene00010535,Public name for WBGene00010535. History: N.A.
K03D7.2,0,0,0,0,0,no,no,yes,K03D7.2,WBGene00005778,Sequence name for WBGene00005778(srw-31). History: N.A.
Y32B12B.1,0,0,0,1.95,0.74,no,no,yes,Y32B12B.1,WBGene00012521,Public name for WBGene00012521. History: N.A.
W04E12.8,166.39,288.93,267.67,252.72,143.41,no,no,yes,W04E12.8,WBGene00012253,Sequence name for WBGene00012253(clec-50). History: N.A.
K03D7.6,0,0,0,0,0,no,no,yes,K03D7.6,WBGene00005337,Sequence name for WBGene00005337(srh-118). History: N.A.
