# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Prgef-1::rde-4 worms),"rde-4(-), F1 of Prgef-1::rde-4 worms","rde-4(-), F3 of Prgef-1::rde-4 worms",Input,Suggested Match,History
nhr-5,0.725774604,,,nhr-5,WBGene00003604,Public name for WBGene00003604. History: N.A.
ZC190.10,0.728826685,,,ZC190.10,WBGene00022544,Public name for WBGene00022544. History: N.A.
ptb-1,0.731218095,,,ptb-1,WBGene00004207,Public name for WBGene00004207. History: N.A.
obr-2,0.731319534,,,obr-2,WBGene00008832,Public name for WBGene00008832. History: N.A.
C46A5.8,0.732648475,0.5813010459999999,,C46A5.8,WBGene00016703,Sequence name for WBGene00016703(rdl-1). History: N.A.
C46F11.6,0.733905285,,0.656957317,C46F11.6,WBGene00008121,Public name for WBGene00008121. History: N.A.
pept-3,0.735095046,,,pept-3,WBGene00003878,Public name for WBGene00003878. History: Renamed on 2009-04-29
F45G2.2,0.736001246,,0.547267798,F45G2.2,WBGene00009730,Sequence name for WBGene00009730(myo-6). History: N.A.
Y43F8B.21,0.740251713,,,Y43F8B.21,WBGene00194676,Public name for WBGene00194676. History: N.A.
C34C12.6,0.741864713,0.664856198,,C34C12.6,WBGene00007925,Public name for WBGene00007925. History: N.A.
K07F5.6,0.747146495,,,K07F5.6,WBGene00010634,Public name for WBGene00010634. History: N.A.
hmit-1.3,0.74743111,0.603810913,,hmit-1.3,WBGene00010811,Public name for WBGene00010811. History: N.A.
F42G4.6,0.749146278,,,F42G4.6,WBGene00009643,Public name for WBGene00009643. History: N.A.
T05C12.8,0.751847783,,,T05C12.8,WBGene00011471,Public name for WBGene00011471. History: N.A.
ltd-1,0.755523694,0.663353767,,ltd-1,WBGene00003089,Public name for WBGene00003089. History: N.A.
T03D3.5,0.75790292,0.710521209,0.742831393,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
str-137,0.767489425,,,str-137,WBGene00006185,Public name for WBGene00006185. History: N.A.
Y55D5A.2,0.768892705,,,Y55D5A.2,,Sequence name for Dead gene WBGene00021916. Public name for Dead gene WBGene00021916. History of WBGene00021916: Killed on 2020-10-19. Remark: [2020-10-19T15:27:38.82Z WBPerson51134] Gene Killed: no convincing evidence for this gene present
F19C7.3,0.770613525,,,F19C7.3,WBGene00017593,Public name for WBGene00017593. History: N.A.
Y43F8B.18,0.770651707,,,Y43F8B.18,WBGene00050911,Public name for WBGene00050911. History: N.A.
Y105C5B.17,0.771489008,,,Y105C5B.17,WBGene00013656,Public name for WBGene00013656. History: N.A.
M01H9.4,0.773056812,,,M01H9.4,WBGene00019720,"Public name for WBGene00019720. History: Split into M01H9.10(WBGene00271788). History of WBGene00019720: Split into ""WBGene00271788"" on 2017-09-21"
K08E4.7,0.774139457,0.644814309,,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
smg-6,0.77528499,,,smg-6,WBGene00004884,Public name for WBGene00004884. History: Renamed on 2008-01-10
alh-7,0.777554763,0.6182388279999999,0.6331556259999999,alh-7,WBGene00000113,Public name for WBGene00000113. History: N.A.
F56D2.3,0.777576168,,,F56D2.3,WBGene00018965,Public name for WBGene00018965. History: N.A.
W03F9.3,0.779658951,,,W03F9.3,WBGene00021001,Public name for WBGene00021001. History: N.A.
F54H5.5,0.783075964,,,F54H5.5,WBGene00018841,"Public name for WBGene00018841. History: Split into F54H5.14(WBGene00255600). History of WBGene00018841: Split into ""WBGene00255600"" on 2014-11-13"
F13E9.8,0.78347868,,,F13E9.8,WBGene00008757,"Public name for WBGene00008757. History: Split into F13E9.14(WBGene00045207), F13E9.15(WBGene00045208), F13E9.16(WBGene00045209). History of WBGene00008757: Split into ""WBGene00045207"" on 2006-12-13; Split into ""WBGene00045208"" on 2006-12-13; Split into ""WBGene00045209"" on 2006-12-13"
D2023.1,0.783844254,,,D2023.1,WBGene00014300,Public name for WBGene00014300. History: N.A.
R102.3,0.791942006,,,R102.3,WBGene00011290,Public name for WBGene00011290. History: N.A.
Y46D2A.5,0.795864298,,,Y46D2A.5,WBGene00021590,"Public name for Dead gene WBGene00195076. History of WBGene00195076: Merged into ""WBGene00021590"" on 2012-10-31"
F36H12.9,0.797098851,,,F36H12.9,WBGene00018123,Public name for WBGene00018123. History: N.A.
galt-1,0.79835485,,,galt-1,WBGene00019763,Public name for WBGene00019763. History: N.A.
tat-2,0.807475289,,,tat-2,WBGene00019166,Public name for WBGene00019166. History: N.A.
H06O01.4,0.808175444,0.7151668439999999,,H06O01.4,WBGene00010371,Public name for WBGene00010371. History: N.A.
srt-50,0.809521563,,,srt-50,WBGene00012775,Public name for WBGene00012775. History: N.A.
F19G12.10,0.810689702,,,F19G12.10,WBGene00195186,Public name for WBGene00195186. History: N.A.
skr-4,0.811889379,,,skr-4,WBGene00004810,Public name for WBGene00004810. History: N.A.
T28F3.9,0.814991433,,,T28F3.9,WBGene00012135,Public name for WBGene00012135. History: N.A.
C25D7.13,0.822248123,,,C25D7.13,WBGene00007721,"Public name for Dead gene WBGene00014680. History of WBGene00014680: Merged into ""WBGene00007721"" on 2012-04-20"
C18A3.4,0.824266186,,,C18A3.4,WBGene00015942,Sequence name for WBGene00015942(osta-2). History: N.A.
nas-28,0.827283257,0.637815627,0.6675937189999999,nas-28,WBGene00003546,Public name for WBGene00003546. History: N.A.
msp-79,0.828517954,,,msp-79,WBGene00003466,Public name for WBGene00003466. History: N.A.
ZC581.7,0.83163936,,,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
F36H12.10,0.834861812,,,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
Y105C5B.23,0.843112662,,,Y105C5B.23,WBGene00013661,Public name for WBGene00013661. History: N.A.
fbxa-48,0.843655515,,,fbxa-48,WBGene00021862,Public name for WBGene00021862. History: N.A.
csp-2,0.84706377,,,csp-2,WBGene00000820,Public name for WBGene00000820. History: N.A.
tig-2,0.847747422,,,tig-2,WBGene00006570,Public name for WBGene00006570. History: N.A.
msp-33,0.848852487,,,msp-33,WBGene00003431,Public name for WBGene00003431. History: N.A.
spp-19,0.851225654,,,spp-19,WBGene00005004,"Public name for WBGene00005004. History: Split into spp-26(WBGene00235118). History of WBGene00005004: Split into ""WBGene00235118"" on 2013-02-19"
Y65A5A.1,0.851481073,,,Y65A5A.1,WBGene00013418,Public name for WBGene00013418. History: N.A.
T05E11.8,0.852471548,,,T05E11.8,WBGene00011484,Public name for WBGene00011484. History: N.A.
T08B6.4,0.852967431,,,T08B6.4,WBGene00020353,Public name for WBGene00020353. History: N.A.
Y82E9BL.19,0.854365166,,,Y82E9BL.19,WBGene00194735,Public name for WBGene00194735. History: N.A.
T27F2.2,0.855850608,,0.573268302,T27F2.2,WBGene00012100,Sequence name for WBGene00012100(sipa-1). History: N.A.
djr-1.2,0.856814535,,,djr-1.2,WBGene00016789,Public name for WBGene00016789. History: N.A.
T28A8.2,0.856847385,,0.757733618,T28A8.2,WBGene00012108,Public name for WBGene00012108. History: N.A.
T15B12.1,0.858467882,,,T15B12.1,WBGene00020530,Public name for WBGene00020530. History: N.A.
K01D12.1,0.862781377,0.693160844,0.735911383,K01D12.1,WBGene00010461,Public name for WBGene00010461. History: N.A.
frpr-20,0.868642455,,,frpr-20,WBGene00016246,"Other name for WBGene00016246(daf-37). History: Split into C30B5.17(WBGene00269379). History of WBGene00016246: Renamed on 2012-06-29; Split into ""WBGene00269379"" on 2016-02-18"
srg-45,0.869570947,,,srg-45,WBGene00005202,Public name for WBGene00005202. History: N.A.
T26G10.8,0.871853449,0.620262159,,T26G10.8,WBGene00206421,Public name for WBGene00206421. History: N.A.
M60.7,0.872260936,,,M60.7,WBGene00019782,Public name for WBGene00019782. History: N.A.
sams-5,0.874253227,,,sams-5,WBGene00006416,Public name for WBGene00006416. History: Renamed on 2008-09-10
C34D4.2,0.874541134,,,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
W04C9.5,0.87509102,0.7503104609999999,0.4821854259999999,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
gsto-3,0.876401502,,,gsto-3,WBGene00019636,Public name for WBGene00019636. History: N.A.
glb-29,0.877599596,,,glb-29,WBGene00012461,Public name for WBGene00012461. History: N.A.
C33F10.8,0.878611652,,,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
ceh-8,0.878933526,,,ceh-8,WBGene00000433,Public name for WBGene00000433. History: N.A.
F28H7.8,0.884057859,0.6204949309999999,0.721949856,F28H7.8,WBGene00009241,Public name for WBGene00009241. History: N.A.
Y119C1B.9,0.884291844,,,Y119C1B.9,WBGene00022474,Sequence name for WBGene00022474(zig-9). History: N.A.
B0034.5,0.885878655,,,B0034.5,WBGene00015005,Public name for WBGene00015005. History: N.A.
col-99,0.891738061,,0.919412538,col-99,WBGene00000674,Public name for WBGene00000674. History: N.A.
Y73B3A.11,0.896072081,0.82623,,Y73B3A.11,WBGene00022213,Public name for WBGene00022213. History: N.A.
ZC190.9,0.896936173,,,ZC190.9,WBGene00022544,"Public name for Dead gene WBGene00022543. History of WBGene00022543: Merged into ""WBGene00022544"" on 2017-11-14; Merged into ""WBGene00022544"" on 2017-11-14"
F55D12.2,0.898871726,,,F55D12.2,WBGene00010111,Public name for WBGene00010111. History: N.A.
ccg-1,0.899331407,,,ccg-1,WBGene00000370,Public name for WBGene00000370. History: N.A.
C03E10.3,0.899810126,0.792421491,0.61769492,C03E10.3,WBGene00007281,Public name for WBGene00007281. History: N.A.
wrt-4,0.908560154,0.7269069049999999,0.8127891499999998,wrt-4,WBGene00006950,Public name for WBGene00006950. History: N.A.
Y108F1.5,0.91003926,,,Y108F1.5,WBGene00022433,"Public name for WBGene00022433. History: Split into Y108F1.6(WBGene00304828). History of WBGene00022433: Split into ""WBGene00304828"" on 2019-07-25"
ceh-20,0.910086983,0.779384402,,ceh-20,WBGene00000443,Public name for WBGene00000443. History: N.A.
F19G12.9,0.910568858,,,F19G12.9,WBGene00195185,Public name for WBGene00195185. History: N.A.
C37H5.13,0.92269249,,,C37H5.13,WBGene00016511,Public name for WBGene00016511. History: N.A.
B0285.11,0.924422357,,,B0285.11,WBGene00014641,Public name for WBGene00014641. History: N.A.
C30G7.3,0.924701438,,,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
col-104,0.936453776,,,col-104,WBGene00000678,Public name for WBGene00000678. History: N.A.
Y39B6A.18,0.9381818,,,Y39B6A.18,WBGene00012679,Public name for WBGene00012679. History: N.A.
C35D10.2,0.939170408,,,C35D10.2,WBGene00016440,Sequence name for WBGene00016440(gipc-1). History: N.A.
F13D12.9,0.9441999,,,F13D12.9,WBGene00008743,Sequence name for WBGene00008743(fcmt-1). History: N.A.
skr-3,0.945643699,0.82490118,1.237894321,skr-3,WBGene00004809,Public name for WBGene00004809. History: N.A.
ZC190.8,0.947200119,,,ZC190.8,WBGene00022542,Public name for WBGene00022542. History: N.A.
Y73B6BL.36,0.949118229,,,Y73B6BL.36,WBGene00022255,Sequence name for WBGene00022255(tmed-13). History: N.A.
R11G10.3,0.949961778,0.818846739,0.651761007,R11G10.3,WBGene00044045,Public name for WBGene00044045. History: N.A.
F56C3.9,0.95611671,,,F56C3.9,WBGene00018946,Public name for WBGene00018946. History: N.A.
nas-14,0.964620932,0.767093505,0.8372605979999999,nas-14,WBGene00003533,Public name for WBGene00003533. History: N.A.
bbs-5,0.971660671,0.8866709529999999,0.672980423,bbs-5,WBGene00010974,Public name for WBGene00010974. History: Renamed on 2004-06-23; Renamed on 2006-05-22
B0507.1,0.971901975,0.689985951,,B0507.1,WBGene00015218,Public name for WBGene00015218. History: N.A.
Y105C5A.25,0.977213215,,,Y105C5A.25,WBGene00013644,Public name for WBGene00013644. History: N.A.
Y17G9B.1,0.988710775,1.039651535,1.251588577,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
C30G12.1,0.996951274,0.8525552979999999,0.874018594,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
nhr-57,0.99827072,,,nhr-57,WBGene00003647,Public name for WBGene00003647. History: N.A.
C34D4.1,1.002260797,0.627022493,,C34D4.1,WBGene00016397,Sequence name for WBGene00016397(maph-9). History: N.A.
gpd-3,1.006856527,,,gpd-3,WBGene00001685,Public name for WBGene00001685. History: N.A.
M04C9.4,1.010132727,,,M04C9.4,WBGene00010859,Public name for WBGene00010859. History: N.A.
Y37E11AL.1,1.014436529,0.976489158,0.982119367,Y37E11AL.1,WBGene00021357,Public name for WBGene00021357. History: N.A.
F19G12.4,1.0184573,,,F19G12.4,WBGene00017612,Public name for WBGene00017612. History: N.A.
D2063.4,1.020309819,,,D2063.4,WBGene00044529,Sequence name for WBGene00044529(irld-1). History: N.A.
oac-35,1.030959004,,,oac-35,WBGene00010171,Public name for WBGene00010171. History: N.A.
T22B3.2,1.03577536,,,T22B3.2,WBGene00011910,Sequence name for WBGene00011910(alg-3). History: N.A.
clec-166,1.04884366,,,clec-166,WBGene00009518,Public name for WBGene00009518. History: N.A.
C49F5.9,1.050852461,,,C49F5.9,WBGene00045316,"Public name for WBGene00045316. History: Split into C49F5.12(WBGene00268214). History of WBGene00045316: Split into ""WBGene00268214"" on 2015-10-30"
Y41C4A.17,1.057718593,,,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
ZK637.1,1.060447433,0.8844475059999999,,ZK637.1,WBGene00014021,Sequence name for WBGene00014021(svop-1). History: N.A.
lgc-11,1.077968932,,,lgc-11,WBGene00000061,Public name for WBGene00000061. History: Renamed on 2007-05-18
T26G10.9,1.080815188,1.065215672,1.046867244,T26G10.9,WBGene00206422,Public name for WBGene00206422. History: N.A.
F54F7.7,1.081925054,1.18020178,0.7963606669999999,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
Y43F8C.4,1.085567969,0.747267247,0.8140900439999998,Y43F8C.4,WBGene00012826,Sequence name for WBGene00012826(dyf-19). History: N.A.
R11H6.4,1.110029993,,,R11H6.4,WBGene00011252,Public name for WBGene00011252. History: N.A.
cog-1,1.111265591,,,cog-1,WBGene00000584,Public name for WBGene00000584. History: N.A.
C40A11.10,1.118624699,,,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
T13H5.3,1.124824985,0.877344463,,T13H5.3,WBGene00011757,Sequence name for WBGene00011757(cht-2). History: N.A.
acr-5,1.127903525,0.907331305,,acr-5,WBGene00000044,Public name for WBGene00000044. History: N.A.
W02A2.4,1.128228561,0.689111036,0.821799987,W02A2.4,WBGene00012189,Public name for WBGene00012189. History: N.A.
C18D4.4,1.156285035,,,C18D4.4,WBGene00007674,"Public name for WBGene00007674. History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
des-2,1.171736303,,,des-2,WBGene00000955,Public name for WBGene00000955. History: N.A.
R01H10.4,1.17325142,0.692524003,0.708042268,R01H10.4,WBGene00010972,Public name for WBGene00010972. History: N.A.
Y17D7B.10,1.177062596,,,Y17D7B.10,WBGene00194982,Public name for WBGene00194982. History: N.A.
T28D9.3,1.203279931,,,T28D9.3,WBGene00020895,Sequence name for WBGene00020895(plpp-1.2). History: N.A.
W01C9.1,1.22304768,,,W01C9.1,WBGene00012175,Public name for WBGene00012175. History: N.A.
T05F1.11,1.233747327,,,T05F1.11,WBGene00011495,Public name for WBGene00011495. History: N.A.
C49G7.1,1.235563739,0.727086128,0.92065014,C49G7.1,WBGene00017035,"Public name for Dead gene WBGene00016780. History of WBGene00016780: Merged into ""WBGene00017035"" on 2016-04-19"
ZC190.7,1.259809847,,1.101659645,ZC190.7,WBGene00022541,Public name for WBGene00022541. History: N.A.
srh-84,1.263296745,,,srh-84,WBGene00005305,Public name for WBGene00005305. History: N.A.
str-4,1.269090328,,,str-4,WBGene00006072,Public name for WBGene00006072. History: N.A.
D1065.3,1.281538603,0.6447448919999998,0.6881905769999999,D1065.3,WBGene00017035,Public name for WBGene00017035. History: N.A.
npr-13,1.304095327,,,npr-13,WBGene00013883,Public name for WBGene00013883. History: N.A.
lgc-18,1.33248386,,,lgc-18,WBGene00011360,Public name for WBGene00011360. History: N.A.
B0001.6,1.471128204,,,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
M88.7,1.493656832,,,M88.7,WBGene00010909,Sequence name for WBGene00010909(cisd-3.1). History: N.A.
scav-5,1.505402915,,,scav-5,WBGene00011076,Public name for WBGene00011076. History: N.A.
F43E2.6,1.510419423,,,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
mod-1,1.512824538,,,mod-1,WBGene00003386,Public name for WBGene00003386. History: N.A.. Other name for WBGene00001009(dmo-1). History: N.A.
K04H8.2,1.53221691,,,K04H8.2,WBGene00010577,Public name for WBGene00010577. History: N.A.
F58F9.1,1.544774592,,,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
Y43F8B.28,1.5512,,,Y43F8B.28,WBGene00219302,Public name for WBGene00219302. History: N.A.
Y82E9BL.18,1.551979548,,,Y82E9BL.18,WBGene00044402,"Public name for WBGene00044402. History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
unc-122,1.565437846,,,unc-122,WBGene00006845,Public name for WBGene00006845. History: N.A.
F14F7.5,1.594469491,,,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
F35D2.2,1.716647896,,,F35D2.2,WBGene00018040,Public name for WBGene00018040. History: N.A.
ZK380.5,1.746266811,,,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
ZC449.5,1.756221388,,,ZC449.5,WBGene00022615,Public name for WBGene00022615. History: N.A.
Y47D7A.16,1.779083023,1.523450141,1.168934236,Y47D7A.16,WBGene00044637,Sequence name for WBGene00044637(rft-1). History: N.A.
Y17D7C.6,1.792817219,,,Y17D7C.6,WBGene00194680,Public name for WBGene00194680. History: N.A.
D1054.10,1.827666034,,,D1054.10,WBGene00008377,Public name for WBGene00008377. History: N.A.
cor-1,1.852147726,1.415250072,1.427042101,cor-1,WBGene00000768,Public name for WBGene00000768. History: N.A.
K06B9.6,1.911327549,,,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
nhr-133,1.968025957,,,nhr-133,WBGene00003723,Public name for WBGene00003723. History: N.A.
Y44A6C.1,2.103679631,,,Y44A6C.1,WBGene00012850,Public name for WBGene00012850. History: N.A.
F13H8.1,2.137276114,,,F13H8.1,WBGene00017434,Public name for WBGene00017434. History: N.A.
Y43F8B.17,2.199687955,,,Y43F8B.17,WBGene00050910,"Public name for WBGene00050910. History: Split into Y43F8B.28(WBGene00219302). History of WBGene00050910: Split into ""WBGene00219302"" on 2011-10-17"
Y43F8B.7,2.239768068,,,Y43F8B.7,WBGene00012818,Public name for WBGene00012818. History: N.A.
K02E2.11,2.267952286,,,K02E2.11,WBGene00185118,Public name for WBGene00185118. History: N.A.
cyp-34A2,2.292813953,,,cyp-34A2,WBGene00011699,Public name for WBGene00011699. History: N.A.
F55C9.3,2.295817896,,,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
Y105C5A.1271,2.321737727,,,Y105C5A.1271,WBGene00194667,Public name for WBGene00194667. History: N.A.
T21E12.2,2.32395067,,,T21E12.2,WBGene00015704,"Public name for Dead gene WBGene00020654. History of WBGene00020654: Merged into ""WBGene00015704"" on 2012-06-21"
T08B6.2,2.328564555,,,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
Y43F8B.8,2.537755956,,,Y43F8B.8,WBGene00014888,Public name for WBGene00014888. History: N.A.
unc-54,2.549891959,-0.922967321,,unc-54,WBGene00006789,Public name for WBGene00006789. History: N.A.
unc-1,2.576887493,,,unc-1,WBGene00006741,Public name for WBGene00006741. History: N.A.
srh-271,2.796811415,,,srh-271,WBGene00005477,Public name for WBGene00005477. History: N.A.
moe-3,2.895396885,,,moe-3,WBGene00003388,Public name for WBGene00003388. History: N.A.
F39E9.10,2.943681014,,,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
F55C9.5,3.107910318,,,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
Y46D2A.1,3.139019561,,,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
lron-12,3.185193185,,,lron-12,WBGene00013542,Public name for WBGene00013542. History: N.A.
Y39B6A.41,3.229622353,2.719751276,2.812321143,Y39B6A.41,WBGene00012699,Public name for WBGene00012699. History: N.A.
rde-4,3.394553175,,,rde-4,WBGene00004326,Public name for WBGene00004326. History: N.A.
T09B9.2,3.41902649,,,T09B9.2,WBGene00011643,Sequence name for WBGene00011643(slc-17.9). History: Renamed on 2015-04-29
aex-5,3.470125336,-0.7749555409999999,-1.191983013,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
Y43F8B.22,3.502762206,,,Y43F8B.22,WBGene00194699,Public name for WBGene00194699. History: N.A.
Y47H10A.5,3.51074922,,,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
M88.3,3.581367649,,,M88.3,WBGene00010906,Public name for WBGene00010906. History: N.A.
F39E9.7,3.670585131,,,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
gpd-2,3.740162967,,,gpd-2,WBGene00001684,Public name for WBGene00001684. History: N.A.
Y59H11AR.6,3.803625144,,,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
T23F6.3,3.841035136,3.24141727,1.180646299,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
H09G03.1,3.957836937,,,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
fbxa-52,4.044293198,,,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
Y36E3A.2,4.081479438,,,Y36E3A.2,WBGene00194708,Public name for WBGene00194708. History: N.A.
Y43F8B.9,4.391931464,,,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
Y17D7B.7,4.520033091,,,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
ZK402.5,4.769875065,,,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
rgef-1,4.814684163,,,rgef-1,WBGene00009100,Public name for WBGene00009100. History: N.A.
W04B5.2,4.988137484,,,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
K02E2.6,5.344365619,,,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
F56D6.17,5.457583209,,,F56D6.17,WBGene00219307,Public name for WBGene00219307. History: N.A.
ZK402.3,5.461901816,,,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
Y37E11B.2,5.471211644,,,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
C44B11.6,5.656782002,,,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
F56D6.16,6.762580097,,,F56D6.16,WBGene00219304,Public name for WBGene00219304. History: N.A.
Y17D7B.4,6.935698853,,,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
W04B5.1,7.297079231,,,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
