# Each entry in the table below appears as one point in figure 6C of
# Batista et al 2008.
#
# Gene = gene name as provided by wormbase
# prgVsWt = P / (P + W), for the normalized siRNA counts (see
# Table S2 or methods) from the wt (W) or prg-1 mutant (P)
# adult samples, for each gene.
# ipVsIn = IP / (IP + IN), for the normalized siRNA counts (see
# Table S2 or methods) from the Input (IN) or PRG-1 IP (IP)
# samples, for each gene.
#
Gene,prgVsWt,ipVsIn,Input,Suggested Match,History
Y67D8C.10b,0.648788413,0.151871646,Y67D8C.10b,WBGene00003153,Molecule name for WBGene00003153(mca-3). History: Renamed on 2007-10-09
Y37E11B.2,0.624650522,0.112600602,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
F49F1.8,0.58422339,0.103120911,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
K06B9.6,0.620224149,0.056239355,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
F29B9.2a,0.469155457,0.151058757,F29B9.2a,WBGene00017920,Molecule name for WBGene00017920(jmjd-1.2). History: N.A.
K08F11.1,0.411230466,0.144217182,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
T12E12.3,0.624169414,0.307571429,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
T12E12.2.1,0.637927681,0.376081648,T12E12.2.1,WBGene00020463,Molecule name for WBGene00020463(cec-6). History: N.A.
T12E12.2.2,0.636784863,0.376547517,,,
K08B4.5,0.002857847,0.242438356,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
Y73B6BL.7,0.020969577,0.102141605,Y73B6BL.7,WBGene00000820,Sequence name for WBGene00000820(csp-2). History: N.A.
C01G5.2,0.479171285,0.351427106,C01G5.2,WBGene00004179,"Sequence name for WBGene00004179(prg-2). History: Renamed on 2007-11-05. Public name for Dead gene WBGene00015304. History of WBGene00015304: Merged into ""WBGene00004179"" on 2007-11-05"
C01B10.9,0.469553963,0.248877709,C01B10.9,WBGene00015283,Public name for WBGene00015283. History: N.A.
C06G3.2,0.596936732,0.223818182,C06G3.2,WBGene00002228,Sequence name for WBGene00002228(klp-18). History: N.A.
C33H5.4a,0.48976666,0.234436095,,,
F20D12.1a,0.675485571,0.350633108,F20D12.1a,WBGene00017641,Molecule name for WBGene00017641(csr-1). History: N.A.
F42G8.4.1,0.016210862,0.299446588,,,
F42G8.4.2,0.01723991,0.303529726,,,
F42G8.4,0.014964369,0.35679692,F42G8.4,WBGene00004057,Sequence name for WBGene00004057(pmk-3). History: N.A.
F42G8.3a,0.01026564,0.314390535,F42G8.3a,WBGene00004056,Molecule name for WBGene00004056(pmk-2). History: N.A.
F42G8.3b,0.01026564,0.314543048,F42G8.3b,WBGene00004056,Molecule name for WBGene00004056(pmk-2). History: N.A.
D2096.1,0.775926466,0.482559402,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
F20C5.2b,0.00058296,0.20276733,,,
C46C2.3,0.407996367,0.185667004,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
T20D3.11,0.626651309,0.201174208,T20D3.11,WBGene00007505,"Public name for Dead gene WBGene00011862. History of WBGene00011862: Merged into ""WBGene00007505"" on 2014-05-28"
C04G2.10,0.403923356,0.09505747,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
R11A8.1,0.017723023,0.316147193,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
F01G4.4,0.602689343,0.422357579,F01G4.4,WBGene00008503,Public name for WBGene00008503. History: N.A.
T01G1.3,0.460633671,0.272690894,T01G1.3,WBGene00011338,Sequence name for WBGene00011338(sec-31). History: N.A.
F38H4.9.1,0.612485385,0.112379586,F38H4.9.1,WBGene00002363,Molecule name for WBGene00002363(let-92). History: N.A.
T12G3.1.1,0.717910496,0.289102359,,,
T12G3.1.2,0.750455661,0.286975628,,,
T12G3.1,0.750455661,0.286975628,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
K08E7.3,0.529827734,0.462764994,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
B0564.11,0.107440989,0.68715866,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
Y62E10A.6,0.228613357,0.395496954,Y62E10A.6,WBGene00013376,Public name for WBGene00013376. History: N.A.
K09B11.4,0.613625872,0.073232936,K09B11.4,WBGene00010711,Public name for WBGene00010711. History: N.A.
Y45F10C.6,0.578611847,0.250755174,Y45F10C.6,WBGene00044256,"Public name for WBGene00044256. History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
Y37A1C.1c,0.643506573,0.26898478,Y37A1C.1c,WBGene00012543,Molecule name for WBGene00012543(nkcc-1). History: N.A.
Y57G11C.7,0.164265036,0.137298713,Y57G11C.7,WBGene00013305,"Public name for WBGene00013305. History: Split into Y57G11C.499(WBGene00077762). History of WBGene00013305: Split into ""WBGene00077762"" on 2008-06-03"
Y73F8A.26,0.002319048,0.228676701,Y73F8A.26,WBGene00013531,Public name for WBGene00013531. History: N.A.
Y105C5A.14,0.705830875,0.18152543,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
Y43D4A.6,0.003900332,0.361749029,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
R13D11.7,0.507487673,0.140747971,R13D11.7,,Sequence name for Suppressed gene WBGene00020061. Molecular name for Suppressed gene WBGene00020061. Public name for Suppressed gene WBGene00020061. History of WBGene00020061: Suppressed on 2007-07-26. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H24K24.5,0.697138561,0.327326826,H24K24.5,WBGene00001480,Sequence name for WBGene00001480(fmo-5). History: N.A.
K02H11.4,0.325734931,0.759322505,K02H11.4,WBGene00019348,Public name for WBGene00019348. History: N.A.
Y46H3C.6,0.524126447,0.197809106,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
F32D1.1,0.643090448,0.239016629,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
Y61A9LA.3a,0.133118147,0.248343092,Y61A9LA.3a,WBGene00022015,Molecule name for WBGene00022015(Y61A9LA.3). History: N.A.
Y61A9LA.3c,0.123224681,0.315837304,Y61A9LA.3c,WBGene00022015,Molecule name for WBGene00022015(Y61A9LA.3). History: N.A.
C04F5.1,0.033473958,0.260696631,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
C03A7.1,0.45161913,0.190040189,C03A7.1,,Sequence name for Suppressed gene WBGene00015365. Molecular name for Suppressed gene WBGene00015365. Public name for Suppressed gene WBGene00015365. History of WBGene00015365: Suppressed on 2007-07-19. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F08F3.8,0.01404789,0.147018274,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
T05C3.3,0.597825278,0.172888947,T05C3.3,,Sequence name for Suppressed gene WBGene00020255. Molecular name for Suppressed gene WBGene00020255. Public name for Suppressed gene WBGene00020255. History of WBGene00020255: Suppressed on 2007-07-26. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K09H11.3,0.662292892,0.173824411,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
C05C8.4,0.73834284,0.25959642,C05C8.4,WBGene00001563,Sequence name for WBGene00001563(gei-6). History: N.A.
T23B12.10,0.682651467,0.238731272,T23B12.10,,Sequence name for Suppressed gene WBGene00020724. Molecular name for Suppressed gene WBGene00020724. Public name for Suppressed gene WBGene00020724. History of WBGene00020724: Suppressed on 2007-07-26. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F25G6.1,0.806797007,0.320382971,F25G6.1,WBGene00017796,Public name for WBGene00017796. History: N.A.
F36D4.3a,0.660361508,0.26399059,F36D4.3a,WBGene00002036,Molecule name for WBGene00002036(hum-2). History: N.A.
F36D4.3b,0.660361508,0.26399059,F36D4.3b,WBGene00002036,Molecule name for WBGene00002036(hum-2). History: N.A.
T06E4.3b,0.502819527,0.167678753,,,
T06E4.3a,0.501633218,0.171711588,T06E4.3a,WBGene00000226,Molecule name for WBGene00000226(atl-1). History: N.A.
C08B6.9,0.385653972,0.332238506,C08B6.9,WBGene00000142,Sequence name for WBGene00000142(aos-1). History: N.A.
F53H10.2,0.49622558,0.446943012,F53H10.2,WBGene00010012,Sequence name for WBGene00010012(saeg-1). History: N.A.
T11F9.10,0.39380418,0.282464631,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
F56H9.4,0.436728598,0.103491712,F56H9.4,WBGene00001671,Sequence name for WBGene00001671(gpa-9). History: N.A.
F18E2.4,0.002999501,0.175403814,F18E2.4,WBGene00008937,Sequence name for WBGene00008937(srt-43). History: N.A.
F15B9.4,0.629582123,0.273355851,F15B9.4,WBGene00008848,Sequence name for WBGene00008848(inft-2). History: N.A.
Y102A5C.4,0.051651426,0.170450569,Y102A5C.4,WBGene00013613,Public name for WBGene00013613. History: N.A.
Y102A5D.1,0.565270916,0.252169768,Y102A5D.1,,Sequence name for Suppressed gene WBGene00013630. Molecular name for Suppressed gene WBGene00013630. Public name for Suppressed gene WBGene00013630. History of WBGene00013630: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C38D9.2,0.709539453,0.244219065,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
F57G4.9,0.468876596,0.310247355,F57G4.9,,Sequence name for Suppressed gene WBGene00010213. Molecular name for Suppressed gene WBGene00010213. Public name for Suppressed gene WBGene00010213. History of WBGene00010213: Killed on 2008-07-18; Suppressed on 2012-11-18. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZC15.3,0.168435541,0.235376547,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
K02E2.6.1,0.662305896,0.10085794,K02E2.6.1,WBGene00010507,Molecule name for WBGene00010507(K02E2.6). History: N.A.
K02E2.6.2,0.662190587,0.100795501,K02E2.6.2,WBGene00010507,Molecule name for WBGene00010507(K02E2.6). History: N.A.
K02E2.6,0.674266943,0.081992783,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
B0250.8,0.248638885,0.093468977,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
Y38H6C.5,0.065221414,0.209981316,Y38H6C.5,WBGene00012618,Sequence name for WBGene00012618(dct-10). History: N.A.
Y38H6C.10,0.516145907,0.1679219,Y38H6C.10,WBGene00012623,Sequence name for WBGene00012623(fbxa-149). History: N.A.
AC8.3,0.046671099,0.169898563,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
AC8.10,0.046671099,0.169898563,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
F13C5.2,0.017570404,0.535775433,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
T04G9.1,0.03711095,0.306595026,T04G9.1,WBGene00020214,Sequence name for WBGene00020214(attf-5). History: N.A.
F47G3.2,0.007890427,0.287602329,F47G3.2,WBGene00018577,Sequence name for WBGene00018577(asna-2). History: N.A.
M02F4.1,0.008758363,0.164720025,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
K10B3.5,0.011804655,0.446583291,K10B3.5,WBGene00019611,Public name for WBGene00019611. History: N.A.
F28B4.1,0.005443995,0.079477501,F28B4.1,WBGene00017890,Public name for WBGene00017890. History: N.A.
C04F6.5,0.003543683,0.197173637,C04F6.5,WBGene00000990,"Sequence name for WBGene00000990(dhs-27). History: Split into C04F6.7(WBGene00195081). History of WBGene00000990: Split into ""WBGene00195081"" on 2010-04-28"
T22B2.5,0.003096973,0.110377335,T22B2.5,WBGene00020669,Public name for WBGene00020669. History: N.A.
T22B2.2,0.003096755,0.154644185,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
F55D10.3,0.028923369,0.143984039,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
C41A3.1,0.165177593,0.127999139,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
F22F1.1,0.466722045,0.268770206,F22F1.1,WBGene00001854,Sequence name for WBGene00001854(hil-3). History: Renamed on 2010-11-12
F18E9.5b,0.00789045,0.182881875,F18E9.5b,WBGene00017571,Molecule name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
F18E9.5a,0.00795462,0.18395953,F18E9.5a,WBGene00017571,Molecule name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
B0416.6,0.025570775,0.400940362,B0416.6,WBGene00001638,Sequence name for WBGene00001638(gly-13). History: N.A.
K08H2.6,0.019286284,0.268564211,K08H2.6,WBGene00001995,Sequence name for WBGene00001995(hpl-1). History: N.A.
F02C12.3,0.034376232,0.152329674,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
M163.3,0.288561544,0.202413744,M163.3,WBGene00001898,Sequence name for WBGene00001898(his-24). History: Renamed on 2010-11-12
F46F2.4,0.001489799,0.100245971,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
C09G1.3,0.007832554,0.183346404,C09G1.3,WBGene00007485,Public name for WBGene00007485. History: N.A.
F09C8.2.1,0.02096284,0.439573793,F09C8.2.1,WBGene00008622,Molecule name for WBGene00008622(F09C8.2). History: N.A.
T01C8.5,0.003355233,0.192052785,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
F41G4.7,0.427020201,0.156559904,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
C33E10.2,0.007454975,0.263412505,C33E10.2,WBGene00016346,Sequence name for WBGene00016346(fbxa-120). History: N.A.
R09G11.2c.1,0.007709399,0.317744987,R09G11.2c.1,WBGene00003600,Molecule name for WBGene00003600(nhr-1). History: N.A.
R09G11.2a.1,0.007709399,0.317744987,R09G11.2a.1,WBGene00003600,Molecule name for WBGene00003600(nhr-1). History: N.A.
R09G11.2a.2,0.007709399,0.317744987,R09G11.2a.2,WBGene00003600,Molecule name for WBGene00003600(nhr-1). History: N.A.
