Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
F11D11.6,F11D11.6,,-1.33,0.048,F11D11.6,WBGene00008701,"Public name for WBGene00008701. History: Split into clec-253(WBGene00045361). History of WBGene00008701: Split into ""WBGene00045361"" on 2007-04-12"
F11E6.11,F11E6.11.1,,1.57,0.033,F11E6.11,WBGene00023501,Public name for WBGene00023501. History: N.A.
F11E6.3,F11E6.3.1,,-1.71,0.019,F11E6.3,WBGene00008707,Sequence name for WBGene00008707(epic-1). History: N.A.
F11G11.13,F11G11.13,,-1.36,0.034,F11G11.13,WBGene00017388,Public name for WBGene00017388. History: N.A.
F12A10.6,F12A10.6,,11.53,2.6e-08,F12A10.6,WBGene00017395,Public name for WBGene00017395. History: N.A.
F12A10.9,F12A10.9,,1.81,0.015,F12A10.9,WBGene00077704,Public name for WBGene00077704. History: N.A.
F12B6.2,F12B6.2c,,1.29,0.05,F12B6.2,WBGene00017398,Sequence name for WBGene00017398(slc-17.6). History: N.A.
F12E12.6,F12E12.6,,1.56,0.035,F12E12.6,WBGene00017407,Public name for WBGene00017407. History: N.A.
F12E12.8,F12E12.8,fbxb-91,-1.43,0.042,F12E12.8,WBGene00044692,Sequence name for WBGene00044692(fbxb-91). History: N.A.
F13A2.4,F13A2.4,,1.75,0.023,F13A2.4,WBGene00017413,Public name for WBGene00017413. History: N.A.
F13B10.1,F13B10.1b,tir-1,-1.5,0.027,F13B10.1,WBGene00006575,Sequence name for WBGene00006575(tir-1). History: Renamed on 2005-11-09
F13B9.8,F13B9.8a,fis-2,1.54,0.047,F13B9.8,WBGene00001425,Sequence name for WBGene00001425(fis-2). History: N.A.
F13C5.2,F13C5.2,,-1.44,0.05,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
F13C5.3,F13C5.3b,,-1.41,0.021,F13C5.3,WBGene00017424,Public name for WBGene00017424. History: N.A.
F13C5.6,F13C5.6a,unc-96,-1.37,0.048,F13C5.6,WBGene00006825,"Sequence name for WBGene00006825(unc-96). History: Renamed on 2007-02-02. Public name for Dead gene WBGene00001567. History of WBGene00001567: Merged into ""WBGene00006825"" on 2007-02-02"
F13D11.2,F13D11.2a,hbl-1,-1.46,0.035,F13D11.2,WBGene00001824,Sequence name for WBGene00001824(hbl-1). History: N.A.
F13D12.4,F13D12.4a.3,alh-8,-1.55,0.03,F13D12.4,WBGene00000114,Sequence name for WBGene00000114(alh-8). History: N.A.
F13D12.7,F13D12.7.1,gpb-1,1.71,0.0049,F13D12.7,WBGene00001679,"Sequence name for WBGene00001679(gpb-1). History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
F13D2.4,F13D2.4,,-1.38,0.037,F13D2.4,WBGene00008735,"Public name for Dead gene WBGene00008738. History of WBGene00008738: Merged into ""WBGene00008735"" on 2012-10-01"
F13E6.4,F13E6.4,,-1.52,0.045,F13E6.4,WBGene00008748,Sequence name for WBGene00008748(yap-1). History: N.A.
F13E9.10,F13E9.10,,-4.03,0.037,F13E9.10,WBGene00008759,Public name for WBGene00008759. History: N.A.
F13E9.12,F13E9.12.1,,1.76,0.029,F13E9.12,WBGene00008761,Public name for WBGene00008761. History: N.A.
F13E9.2,F13E9.2,fipr-14,2.28,0.033,F13E9.2,WBGene00008751,Sequence name for WBGene00008751(fipr-14). History: N.A.
F13G3.11,F13G3.11,,2.02,0.0046,F13G3.11,WBGene00008769,Sequence name for WBGene00008769(mrpl-13). History: N.A.
F13H10.1,F13H10.1,,1.8,0.039,F13H10.1,WBGene00008773,Public name for WBGene00008773. History: N.A.
F13H10.6,F13H10.6,,1.8,0.018,F13H10.6,WBGene00008777,Public name for WBGene00008777. History: N.A.
F13H10.8,F13H10.8,,1.66,0.011,F13H10.8,WBGene00044784,Public name for WBGene00044784. History: N.A.
F13H8.10,F13H8.10b,bpl-1,-1.49,0.042,F13H8.10,WBGene00000259,Sequence name for WBGene00000259(bpl-1). History: N.A.
F13H8.2,F13H8.2,,-1.66,0.047,F13H8.2,WBGene00017435,Public name for WBGene00017435. History: N.A.
F13H8.5,F13H8.5,,1.99,0.012,F13H8.5,WBGene00017438,Public name for WBGene00017438. History: N.A.
F13H8.7,F13H8.7.1,,1.83,0.027,F13H8.7,WBGene00017440,Sequence name for WBGene00017440(upb-1). History: N.A.
F13H8.8,F13H8.8,,-1.61,0.02,F13H8.8,WBGene00017441,Public name for WBGene00017441. History: N.A.
F14B8.2,F14B8.2,,1.94,0.0077,F14B8.2,WBGene00017445,Sequence name for WBGene00017445(sid-5). History: N.A.
F14D2.11,F14D2.11,,1.5,0.019,F14D2.11,WBGene00017459,Public name for WBGene00017459. History: N.A.
F14D2.12,F14D2.12,bath-30,1.42,0.049,F14D2.12,WBGene00017460,Sequence name for WBGene00017460(bath-30). History: N.A.
F14D2.2,F14D2.2,,1.35,0.038,F14D2.2,WBGene00017451,Sequence name for WBGene00017451(lido-14). History: N.A.
F14D7.6,F14D7.6,,1.57,0.021,F14D7.6,WBGene00008793,Public name for WBGene00008793. History: N.A.
F14E5.2,F14E5.2b,,-1.38,0.045,F14E5.2,WBGene00008800,Public name for WBGene00008800. History: N.A.
F14F3.1,F14F3.1a,vab-3,-1.55,0.023,F14F3.1,WBGene00006870,Sequence name for WBGene00006870(vab-3). History: Renamed on 2013-10-08
F14F7.3,F14F7.3,cyp-13A12,1.47,0.024,F14F7.3,WBGene00008810,Sequence name for WBGene00008810(cyp-13A12). History: N.A.
F14F8.13,F14F8.13,srz-102,1.8,0.032,F14F8.13,WBGene00023505,Sequence name for WBGene00023505(srz-102). History: N.A.
F14F8.14,F14F8.14,,-1.66,0.015,F14F8.14,WBGene00044185,Public name for WBGene00044185. History: N.A.
F14F8.7,F14F8.7,srw-36,-1.35,0.048,F14F8.7,WBGene00005783,Sequence name for WBGene00005783(srw-36). History: N.A.
F14F9.2,F14F9.2,,1.74,0.049,F14F9.2,WBGene00017465,Public name for WBGene00017465. History: N.A.
F14F9.6,F14F9.6,,2.31,0.043,F14F9.6,WBGene00017469,Public name for WBGene00017469. History: N.A.
F14H3.4,F14H3.4,,1.41,0.041,F14H3.4,WBGene00008823,Public name for WBGene00008823. History: N.A.
F15A2.7,F15A2.7,,1.83,0.023,F15A2.7,,Sequence name for Suppressed gene WBGene00008836. Molecular name for Suppressed gene WBGene00008836. Public name for Suppressed gene WBGene00008836. History of WBGene00008836: Killed on 2012-01-09; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F15A4.6,F15A4.6,,1.8,0.035,F15A4.6,WBGene00008841,Sequence name for WBGene00008841(phat-8). History: N.A.
F15A4.7,F15A4.7,srg-17,1.79,0.036,F15A4.7,WBGene00005174,Sequence name for WBGene00005174(srg-17). History: N.A.
F15B10.2,F15B10.2,drh-1,-1.44,0.044,F15B10.2,WBGene00001090,Sequence name for WBGene00001090(drh-1). History: N.A.
F15B10.3,F15B10.3,,1.45,0.023,F15B10.3,WBGene00017481,Public name for WBGene00017481. History: N.A.
F15C11.1,F15C11.1.1,sem-4,-1.43,0.04,F15C11.1,WBGene00004773,Sequence name for WBGene00004773(sem-4). History: N.A.
F15D3.8,F15D3.8,,-2.04,0.0011,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
F15D4.3,F15D4.3,,2.16,0.0083,F15D4.3,WBGene00008860,Sequence name for WBGene00008860(romo-1). History: Renamed on 2017-02-02
F15D4.5,F15D4.5,,1.4,0.041,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
F15D4.6,F15D4.6,,1.91,0.011,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
F15E11.2,F15E11.2,,1.6,0.047,F15E11.2,WBGene00017491,Sequence name for WBGene00017491(irld-28). History: N.A.
F15E6.10,F15E6.10,,2.37,0.015,F15E6.10,WBGene00044479,Public name for WBGene00044479. History: N.A.
F15E6.3,F15E6.3,,1.53,0.048,F15E6.3,WBGene00017484,Public name for WBGene00017484. History: N.A.
F15E6.4,F15E6.4,,2.89,0.00028,F15E6.4,WBGene00017485,Public name for WBGene00017485. History: N.A.
F15E6.7,F15E6.7,srv-4,2.64,0.004,F15E6.7,WBGene00005715,Sequence name for WBGene00005715(srv-4). History: N.A.
F15E6.8,F15E6.8,dct-7,1.93,0.009,F15E6.8,WBGene00017488,Sequence name for WBGene00017488(dct-7). History: N.A.
F15G9.1,F15G9.1a,,1.57,0.045,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
F15G9.2,F15G9.2,,-1.39,0.044,F15G9.2,WBGene00008866,Public name for WBGene00008866. History: N.A.
F15G9.4,F15G9.4b,him-4,-1.55,0.016,F15G9.4,WBGene00001863,Sequence name for WBGene00001863(him-4). History: N.A.
F15G9.6,F15G9.6,,1.77,0.031,F15G9.6,WBGene00008869,Public name for WBGene00008869. History: N.A.
F15H10.10,F15H10.10,,-1.35,0.044,F15H10.10,WBGene00044014,Public name for WBGene00044014. History: N.A.
F16A11.3,F16A11.3c,ppfr-1,-1.54,0.019,F16A11.3,WBGene00008878,Sequence name for WBGene00008878(ppfr-1). History: N.A.
F16B3.2,F16B3.2,,1.87,0.03,F16B3.2,WBGene00017502,Public name for WBGene00017502. History: N.A.
F16B4.2,F16B4.2b,,1.55,0.029,F16B4.2,WBGene00017504,Public name for WBGene00017504. History: N.A.
F16B4.4,F16B4.4.1,,1.65,0.037,F16B4.4,WBGene00017506,Public name for WBGene00017506. History: N.A.
F16C3.2,F16C3.2,,1.48,0.027,F16C3.2,WBGene00008886,Public name for WBGene00008886. History: N.A.
F16G10.10,F16G10.10,,-2.03,0.026,F16G10.10,WBGene00017525,Public name for WBGene00017525. History: N.A.
F17A2.10,F17A2.10,srd-46,-1.48,0.024,F17A2.10,WBGene00005124,Sequence name for WBGene00005124(srd-46). History: N.A.
F17A2.6,F17A2.6,srd-41,1.94,0.049,F17A2.6,WBGene00005119,Sequence name for WBGene00005119(srd-41). History: N.A.
F17A9.5,F17A9.5,,-1.83,0.002,F17A9.5,WBGene00017537,Public name for WBGene00017537. History: N.A.
F17B5.3,F17B5.3,clec-109,-3.73,0.022,F17B5.3,WBGene00008907,Sequence name for WBGene00008907(clec-109). History: N.A.
F17B5.7,F17B5.7,,-1.44,0.046,F17B5.7,WBGene00008907,"Public name for Dead gene WBGene00044721. History of WBGene00044721: Merged into ""WBGene00008907"" on 2012-04-24"
F17C11.1,F17C11.1,,1.93,0.00054,F17C11.1,WBGene00077761,"Public name for Dead gene WBGene00008913. History of WBGene00008913: Merged into ""WBGene00077761"" on 2016-02-22"
F17C11.13,F17C11.13,,1.72,0.017,F17C11.13,WBGene00023503,Public name for WBGene00023503. History: N.A.
F17C11.16,F17C11.16,,2.21,0.045,F17C11.16,WBGene00050890,Public name for WBGene00050890. History: N.A.
F17C11.5,F17C11.5,clec-221,-2.58,0.016,F17C11.5,WBGene00008916,Sequence name for WBGene00008916(clec-221). History: N.A.
F17C11.6,F17C11.6,,1.8,0.018,F17C11.6,WBGene00008917,Public name for WBGene00008917. History: N.A.
F17C8.1,F17C8.1,acy-1,-1.5,0.026,F17C8.1,WBGene00000068,Sequence name for WBGene00000068(acy-1). History: N.A.
F17E9.1,F17E9.1,col-116,1.84,0.0032,F17E9.1,WBGene00000690,Sequence name for WBGene00000690(col-116). History: N.A.
F17E9.11,F17E9.11,lys-10,2.15,0.0022,F17E9.11,WBGene00003099,Sequence name for WBGene00003099(lys-10). History: N.A.
F17E9.12,F17E9.12,his-31,1.32,0.043,F17E9.12,WBGene00001905,Sequence name for WBGene00001905(his-31). History: N.A.
F17E9.2,F17E9.2,,2.09,0.0019,F17E9.2,WBGene00017539,Public name for WBGene00017539. History: N.A.
F17E9.4,F17E9.4,,1.96,0.0043,F17E9.4,WBGene00017541,Public name for WBGene00017541. History: N.A.
F18A1.3,F18A1.3a.2,lir-1,1.42,0.029,F18A1.3,WBGene00003044,Sequence name for WBGene00003044(lir-1). History: Renamed on 2017-04-20; Renamed on 2017-05-11
F18A11.7,F18A11.7,,1.49,0.047,F18A11.7,WBGene00044057,Public name for WBGene00044057. History: N.A.
F18C12.1,F18C12.1,che-3,-1.55,0.019,F18C12.1,WBGene00000485,Sequence name for WBGene00000485(che-3). History: Renamed on 2011-09-22
F18C12.2,F18C12.2b,rme-8,-1.64,0.025,F18C12.2,WBGene00004378,Sequence name for WBGene00004378(rme-8). History: N.A.
F18C5.3,F18C5.3,tag-184,-1.49,0.029,F18C5.3,WBGene00007050,"Sequence name for WBGene00007050(utp-20). History: Renamed on 2016-02-19. Public name for Dead gene WBGene00017558. History of WBGene00017558: Merged into ""WBGene00007050"" on 2005-10-05"
F18E2.2,F18E2.2,abcf-1,-1.58,0.032,F18E2.2,WBGene00006512,Sequence name for WBGene00006512(abcf-1). History: N.A.
F18E3.3,F18E3.3,srh-126,4.11,0.00063,F18E3.3,WBGene00005343,Sequence name for WBGene00005343(srh-126). History: N.A.
F18E9.5,F18E9.5a.1,tag-279,-1.51,0.038,F18E9.5,WBGene00017571,Sequence name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
F18E9.8,F18E9.8,,-1.54,0.049,F18E9.8,WBGene00044780,Public name for WBGene00044780. History: N.A.
F18F11.3,F18F11.3,cdh-8,1.82,0.043,F18F11.3,WBGene00017576,Sequence name for WBGene00017576(cdh-8). History: N.A.
F18G5.6,F18G5.6,,1.37,0.041,F18G5.6,WBGene00017582,Public name for WBGene00017582. History: N.A.
F18H3.3,F18H3.3a.1,pab-2,-1.41,0.048,F18H3.3,WBGene00003903,Sequence name for WBGene00003903(pab-2). History: N.A.
F18H3.5,F18H3.5b,cdk-4,1.44,0.039,F18H3.5,WBGene00000406,Sequence name for WBGene00000406(cdk-4). History: N.A.
F19B10.4,F19B10.4,,1.94,0.0024,F19B10.4,WBGene00017586,"Public name for WBGene00017586. History: Split into F19B10.13(WBGene00194713). History of WBGene00017586: Split into ""WBGene00194713"" on 2009-08-11"
F19B2.1,F19B2.1,srz-33,-1.69,0.047,F19B2.1,WBGene00008941,"Sequence name for WBGene00008941(srz-33). History: Split into F19B2.10(WBGene00043055). History of WBGene00008941: Split into ""WBGene00043055"" on 2004-09-13"
F19B2.3,F19B2.3,srw-39,6.64,5.7e-07,F19B2.3,WBGene00005786,Sequence name for WBGene00005786(srw-39). History: N.A.
F19B6.1,F19B6.1a,,2.31,0.011,F19B6.1,WBGene00008948,Public name for WBGene00008948. History: N.A.
F19C6.1,F19C6.1,grk-1,-1.53,0.032,F19C6.1,WBGene00001708,Sequence name for WBGene00001708(grk-1). History: N.A.
F19C7.8,F19C7.8b,,-1.48,0.014,F19C7.8,WBGene00017597,Public name for WBGene00017597. History: N.A.
F19F10.4,F19F10.4,ttr-10,1.72,0.028,F19F10.4,WBGene00017600,Sequence name for WBGene00017600(ttr-10). History: N.A.
F19H6.5,F19H6.5,,-1.81,0.021,F19H6.5,WBGene00008960,Public name for WBGene00008960. History: N.A.
F20A1.7,F20A1.7c,twk-11,-2.21,0.018,F20A1.7,WBGene00006666,Sequence name for WBGene00006666(twk-11). History: N.A.
F20B4.4,F20B4.4,,-1.68,0.023,F20B4.4,WBGene00017622,"Public name for Dead gene WBGene00017624. History of WBGene00017624: Merged into ""WBGene00017622"" on 2008-09-11"
F20B6.3,F20B6.3,mrp-6,-1.44,0.035,F20B6.3,WBGene00003412,Sequence name for WBGene00003412(mrp-6). History: N.A.
F20C5.1,F20C5.1a,pme-3,-1.42,0.049,F20C5.1,WBGene00004051,Sequence name for WBGene00004051(parg-1). History: Renamed on 2014-11-18
F20C5.3,F20C5.3,,2.38,0.00043,F20C5.3,WBGene00008968,Sequence name for WBGene00008968(elli-1). History: N.A.
F20D12.1,F20D12.1b,csr-1,1.45,0.03,F20D12.1,WBGene00017641,Sequence name for WBGene00017641(csr-1). History: N.A.
F20D6.2,F20D6.2,,-1.83,0.025,F20D6.2,WBGene00017634,Public name for WBGene00017634. History: N.A.
F20E11.17,F20E11.17,,1.87,0.031,F20E11.17,WBGene00050906,Public name for WBGene00050906. History: N.A.
F20E11.8,F20E11.8,srh-157,-1.69,0.034,F20E11.8,WBGene00005373,Sequence name for WBGene00005373(srh-157). History: N.A.
F20G2.4,F20G2.4,nas-24,-5.2,0.007,F20G2.4,WBGene00003543,Sequence name for WBGene00003543(nas-24). History: N.A.
F20H11.2,F20H11.2,nsh-1,1.89,0.016,F20H11.2,WBGene00002889,"Sequence name for WBGene00002889(let-765). History: Renamed on 2010-04-09. Public name for Dead gene WBGene00003819. History of WBGene00003819: Merged into ""WBGene00002889"" on 2010-04-09"
F20H11.3,F20H11.3.1,mdh-1,-1.37,0.04,F20H11.3,WBGene00003162,Sequence name for WBGene00003162(mdh-2). History: Renamed on 2010-08-18
F21A3.8,F21A3.8,,-1.98,0.039,F21A3.8,WBGene00008997,"Public name for Dead gene WBGene00044186. History of WBGene00044186: Merged into ""WBGene00008997"" on 2011-01-21"
F21C10.11,F21C10.11a,,2.52,0.0066,F21C10.11,WBGene00017660,Public name for WBGene00017660. History: N.A.
F21C10.9,F21C10.9.1,,1.58,0.034,F21C10.9,WBGene00017658,Public name for WBGene00017658. History: N.A.
F21C3.5,F21C3.5,pfd-6,1.65,0.0052,F21C3.5,WBGene00009004,Sequence name for WBGene00009004(pfd-6). History: N.A.
F21D12.2,F21D12.2,,-1.35,0.047,F21D12.2,WBGene00017662,Public name for WBGene00017662. History: N.A.
F21D5.1,F21D5.1.1,,5.03,3.1e-05,F21D5.1,WBGene00009006,Public name for WBGene00009006. History: N.A.
F21D5.8,F21D5.8,,1.63,0.041,F21D5.8,WBGene00009013,Sequence name for WBGene00009013(mrps-33). History: N.A.
F21D9.4,F21D9.4,,1.51,0.023,F21D9.4,WBGene00009018,Public name for WBGene00009018. History: N.A.
F21F8.1,F21F8.1,srg-33,-1.41,0.027,F21F8.1,WBGene00005190,Sequence name for WBGene00005190(srg-33). History: N.A.
F21F8.2,F21F8.2,,2.16,0.017,F21F8.2,WBGene00017677,Sequence name for WBGene00017677(asp-11). History: N.A.
F21H11.2,F21H11.2b,sax-2,-3.28,8.9e-05,F21H11.2,WBGene00004728,"Sequence name for WBGene00004728(sax-2). History: N.A.. Public name for Dead gene WBGene00017682. History of WBGene00017682: Merged into ""WBGene00004728"" on 2004-11-26"
F21H11.3,F21H11.3.1,tbx-2,-1.56,0.028,F21H11.3,WBGene00006543,Sequence name for WBGene00006543(tbx-2). History: Renamed on 2013-07-31
F21H7.3,F21H7.3,,1.47,0.045,F21H7.3,WBGene00009029,Public name for WBGene00009029. History: N.A.
F22A3.1,F22A3.1a,ets-4,2.94,0.018,F22A3.1,WBGene00017687,Sequence name for WBGene00017687(ets-4). History: N.A.
F22A3.7,F22A3.7,ttr-36,1.43,0.048,F22A3.7,WBGene00044605,Sequence name for WBGene00044605(ttr-36). History: N.A.
F22B3.5,F22B3.5,,1.87,0.032,F22B3.5,WBGene00009036,"Public name for WBGene00009036. History: Split into F22B3.10(WBGene00045122). History of WBGene00009036: Split into ""WBGene00045122"" on 2006-11-01"
F22B5.2,F22B5.2,eif-3.G,2.33,0.022,F22B5.2,WBGene00001230,Sequence name for WBGene00001230(eif-3.G). History: N.A.
F22B7.10,F22B7.10,dpy-19,-1.42,0.042,F22B7.10,WBGene00001078,Sequence name for WBGene00001078(dpy-19). History: N.A.
F22B7.2,F22B7.2,flp-23,-2.21,0.019,F22B7.2,WBGene00017693,Sequence name for WBGene00017693(flp-23). History: N.A.
F22B7.3,F22B7.3,,2.41,0.014,F22B7.3,WBGene00017694,Public name for WBGene00017694. History: N.A.
F22B7.7,F22B7.7,twk-7,2.68,0.0014,F22B7.7,WBGene00006662,Sequence name for WBGene00006662(twk-7). History: N.A.
F22B7.9,F22B7.9,,2.01,0.042,F22B7.9,WBGene00017698,Public name for WBGene00017698. History: N.A.
F22B8.4,F22B8.4,,3.14,0.0013,F22B8.4,WBGene00009047,Public name for WBGene00009047. History: N.A.
F22D6.8,F22D6.8,,1.42,0.021,F22D6.8,WBGene00043279,Public name for WBGene00043279. History: Killed on 2004-10-04; Resurrected on 2006-05-16
F22E10.2,F22E10.2,pgp-13,-1.51,0.02,F22E10.2,WBGene00004007,Sequence name for WBGene00004007(pgp-13). History: N.A.
F22E10.4,F22E10.4,pgp-15,-1.4,0.049,F22E10.4,WBGene00004009,Sequence name for WBGene00004009(pgp-15). History: N.A.
F22E12.4,F22E12.4a.2,egl-9,-1.86,0.0093,F22E12.4,WBGene00001178,Sequence name for WBGene00001178(egl-9). History: N.A.
F22F4.4,F22F4.4,,1.57,0.043,F22F4.4,WBGene00017717,"Public name for WBGene00017717. History: Split into F22F4.9(WBGene00271606). History of WBGene00017717: Split into ""WBGene00271606"" on 2017-03-02"
F22F7.2,F22F7.2,,3.59,0.00033,F22F7.2,WBGene00017720,Public name for WBGene00017720. History: N.A.
F22G12.1,F22G12.1,,1.93,0.011,F22G12.1,WBGene00009061,"Sequence name for WBGene00009061(pals-14). History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
F22G12.5,F22G12.5,,-1.59,0.047,F22G12.5,WBGene00009065,Public name for WBGene00009065. History: N.A.
F22H10.2,F22H10.2,,1.59,0.0083,F22H10.2,WBGene00017726,Public name for WBGene00017726. History: N.A.
F23B2.12,F23B2.12,pcp-2,-1.44,0.033,F23B2.12,WBGene00003957,Sequence name for WBGene00003957(pcp-2). History: N.A.
F23B2.13,F23B2.13,rpb-12,1.56,0.036,F23B2.13,WBGene00009078,Sequence name for WBGene00009078(rpb-12). History: N.A.
F23B2.5,F23B2.5b,flp-1,1.75,0.035,F23B2.5,WBGene00001444,Sequence name for WBGene00001444(flp-1). History: N.A.
F23B2.9,F23B2.9,,-1.39,0.035,F23B2.9,WBGene00043283,Public name for WBGene00043283. History: Killed on 2004-10-04; Resurrected on 2006-09-22
F23C8.12,F23C8.12,,-1.86,0.0085,F23C8.12,WBGene00017739,"Public name for Dead gene WBGene00017740. History of WBGene00017740: Merged into ""WBGene00017739"" on 2014-05-28"
F23D12.1,F23D12.1,,1.37,0.047,F23D12.1,WBGene00009085,"Public name for WBGene00009085. History: Split into F23D12.11(WBGene00194674). History of WBGene00009085: Split into ""WBGene00194674"" on 2009-06-12"
F23D12.2,F23D12.2,,-1.72,0.02,F23D12.2,WBGene00009086,"Public name for WBGene00009086. History: Split into fbxa-179(WBGene00045292), F23D12.10(WBGene00045291). History of WBGene00009086: Split into ""WBGene00045291"" on 2007-02-26; Split into ""WBGene00045292"" on 2007-02-26"
F23D12.9,F23D12.9,,1.58,0.026,F23D12.9,WBGene00044217,Public name for WBGene00044217. History: N.A.
F23F12.12,F23F12.12.2,,1.57,0.023,F23F12.12,WBGene00017756,Public name for WBGene00017756. History: N.A.
F23F12.4,F23F12.4,sdz-15,-1.58,0.044,F23F12.4,WBGene00017752,Sequence name for WBGene00017752(sdz-15). History: N.A.
F23H11.5,F23H11.5.1,,1.88,0.02,F23H11.5,WBGene00000263,Public name for WBGene00000263. History: N.A.
F23H11.6,F23H11.6,,-1.81,0.0038,F23H11.6,WBGene00017761,Sequence name for WBGene00017761(idpp-13). History: N.A.
F23H12.1,F23H12.1,snb-2,1.58,0.019,F23H12.1,WBGene00004898,Sequence name for WBGene00004898(snb-2). History: N.A.
F23H12.2,F23H12.2.2,,1.63,0.039,F23H12.2,WBGene00009092,Sequence name for WBGene00009092(tomm-20). History: N.A.
F25B3.3,F25B3.3,rgef-1,2.16,0.036,F25B3.3,WBGene00009100,Sequence name for WBGene00009100(rgef-1). History: N.A.
F25B4.4,F25B4.4,,1.42,0.031,F25B4.4,WBGene00017767,Public name for WBGene00017767. History: N.A.
F25B4.7,F25B4.7,,1.56,0.013,F25B4.7,WBGene00017770,Public name for WBGene00017770. History: N.A.
F25C8.2,F25C8.2,amx-3,1.37,0.049,F25C8.2,WBGene00000139,Sequence name for WBGene00000139(amx-3). History: N.A.
F25C8.3,F25C8.3a,unc-80,-1.4,0.05,F25C8.3,WBGene00006812,"Sequence name for WBGene00006812(unc-80). History: N.A.. Public name for Dead gene WBGene00009105. History of WBGene00009105: Merged into ""WBGene00006812"" on 2007-11-13"
F25C8.5,F25C8.5,ttll-9,-1.67,0.02,F25C8.5,WBGene00044187,Sequence name for WBGene00044187(ttll-9). History: N.A.
F25E2.2,F25E2.2,,-1.46,0.046,F25E2.2,WBGene00017780,Public name for WBGene00017780. History: N.A.
F25E2.5,F25E2.5a,daf-3,-1.83,0.0085,F25E2.5,WBGene00000899,Sequence name for WBGene00000899(daf-3). History: N.A.
F25E5.1,F25E5.1,,-1.66,0.048,F25E5.1,WBGene00017782,Public name for WBGene00017782. History: N.A.
F25E5.10,F25E5.10,try-8,-12.32,0.0002,F25E5.10,WBGene00017791,Sequence name for WBGene00017791(try-8). History: N.A.
F25E5.7,F25E5.7,,-2.58,0.014,F25E5.7,WBGene00017788,Public name for WBGene00017788. History: N.A.
F25G6.1,F25G6.1,,-1.66,0.03,F25G6.1,WBGene00017796,Public name for WBGene00017796. History: N.A.
F25G6.2,F25G6.2,,-1.72,0.023,F25G6.2,WBGene00017797,Sequence name for WBGene00017797(symk-1). History: N.A.
F25G6.3,F25G6.3a.1,acr-16,-1.37,0.04,F25G6.3,WBGene00000055,Sequence name for WBGene00000055(acr-16). History: N.A.
F25H2.13,F25H2.13,bch-1,-1.56,0.026,F25H2.13,WBGene00009124,Sequence name for WBGene00009124(rtel-1). History: Renamed on 2008-08-08
F25H2.14,F25H2.14,,1.69,0.02,F25H2.14,WBGene00045138,Public name for WBGene00045138. History: N.A.
F25H2.15,F25H2.15,,4.23,0.00055,F25H2.15,WBGene00045162,Public name for WBGene00045162. History: N.A.
F25H5.4,F25H5.4.4,eft-2,-1.42,0.036,F25H5.4,WBGene00001167,Sequence name for WBGene00001167(eef-2). History: Renamed on 2010-08-03
F25H5.8,F25H5.8,,2.0,0.021,F25H5.8,WBGene00009130,Public name for WBGene00009130. History: N.A.
F25H8.1,F25H8.1b,,-1.49,0.039,F25H8.1,WBGene00009131,Public name for WBGene00009131. History: N.A.
F26A1.12,F26A1.12,clec-157,-2.17,0.036,F26A1.12,WBGene00017810,Sequence name for WBGene00017810(clec-157). History: N.A.
F26A1.14,F26A1.14,,-1.51,0.034,F26A1.14,WBGene00017811,"Public name for Dead gene WBGene00017812. History of WBGene00017812: Merged into ""WBGene00017811"" on 2018-11-14"
F26A1.15,F26A1.15,acbp-7,-1.52,0.02,F26A1.15,WBGene00044603,"Sequence name for WBGene00044603(acbp-7). History: Split into F26A1.19(WBGene00270319). History of WBGene00044603: Split into ""WBGene00270319"" on 2016-08-31"
F26A10.2,F26A10.2,,1.8,0.024,F26A10.2,WBGene00017814,Public name for WBGene00017814. History: N.A.
F26C11.4,F26C11.4,,-4.08,0.0083,F26C11.4,WBGene00044159,Public name for WBGene00044159. History: N.A.
F26D10.12,F26D10.12,clec-196,1.51,0.035,F26D10.12,WBGene00009156,Sequence name for WBGene00009156(clec-196). History: N.A.
F26D10.13,F26D10.13,,-10.61,0.0023,F26D10.13,WBGene00044244,Public name for WBGene00044244. History: N.A.
F26D11.11,F26D11.11a,let-413,-1.35,0.026,F26D11.11,WBGene00002632,Sequence name for WBGene00002632(let-413). History: N.A.
F26D11.12,F26D11.12,,1.92,0.022,F26D11.12,WBGene00045392,Public name for WBGene00045392. History: N.A.
F26D11.13,F26D11.13,,2.52,0.027,F26D11.13,WBGene00045393,Public name for WBGene00045393. History: N.A.
