# Dataset S1. List of genes showing >16-fold reduction in small RNA reads in rsd-2 late-generation compared to early-generation rsd-2.
chromosome_name,gene,public_name,Input,Suggested Match,History
IV,WBGene00017542,F17E9.5,WBGene00017542,WBGene00017542,History: N.A.
II,WBGene00017551,F18A12.2,WBGene00017551,WBGene00017551,History: N.A.
II,WBGene00017554,F18A12.5,WBGene00017554,WBGene00017554,History: N.A.
V,WBGene00017679,F21F8.5,WBGene00017679,WBGene00017679,History: N.A.
III,WBGene00017698,F22B7.9,WBGene00017698,WBGene00017698,History: N.A.
III,WBGene00017802,F26A1.3,WBGene00017802,WBGene00017802,History: N.A.
III,WBGene00017808,nspd-9,WBGene00017808,WBGene00017808,History: N.A.
I,WBGene00017817,F26B1.5,WBGene00017817,WBGene00017817,History: N.A.
V,WBGene00017833,F26F12.2,WBGene00017833,WBGene00017833,History: N.A.
I,WBGene00017853,F27C1.3,WBGene00017853,WBGene00017853,History: N.A.
X,WBGene00017942,fbxc-37,WBGene00017942,WBGene00017942,History: N.A.
I,WBGene00018005,F33D11.8,WBGene00018005,WBGene00018005,History: N.A.
IV,WBGene00018122,ttbk-2,WBGene00018122,WBGene00018122,History: N.A.
IV,WBGene00018127,F36H12.14,WBGene00018127,WBGene00018127,History: N.A.
I,WBGene00018158,F37E3.3,WBGene00018158,WBGene00018158,History: N.A.
IV,WBGene00018165,F38A5.8,WBGene00018165,WBGene00018165,History: N.A.
III,WBGene00018253,F40H6.1,WBGene00018253,WBGene00018253,History: N.A.
II,WBGene00018301,F41G3.5,WBGene00018301,WBGene00018301,History: N.A.
IV,WBGene00018332,F42A9.3,WBGene00018332,WBGene00018332,History: N.A.
IV,WBGene00018336,F42A9.7,WBGene00018336,WBGene00018336,History: N.A.
IV,WBGene00018347,F42C5.5,WBGene00018347,WBGene00018347,History: N.A.
IV,WBGene00018359,F42G8.8,WBGene00018359,WBGene00018359,"History: Split into F42G8.18(WBGene00249816). History of WBGene00018359: Split into ""WBGene00249816"" on 2014-01-28"
IV,WBGene00018360,F42G8.9,WBGene00018360,WBGene00018360,History: N.A.
II,WBGene00018439,fbxa-184,WBGene00018439,WBGene00018439,History: N.A.
V,WBGene00018489,F46E10.2,WBGene00018489,WBGene00018489,History: N.A.
I,WBGene00018531,F47B3.7,WBGene00018531,WBGene00018531,History: N.A.
IV,WBGene00018548,clec-79,WBGene00018548,WBGene00018548,History: N.A.
III,WBGene00018563,F47D12.7,WBGene00018563,WBGene00018563,History: N.A.
X,WBGene00018577,asna-2,WBGene00018577,WBGene00018577,History: N.A.
IV,WBGene00018652,F49F1.12,WBGene00018652,WBGene00018652,History: N.A.
II,WBGene00018671,F52C6.14,WBGene00018671,WBGene00018671,History: N.A.
II,WBGene00018839,F54H5.2,WBGene00018839,WBGene00018839,History: N.A.
II,WBGene00019024,F58A6.5,WBGene00019024,WBGene00019024,History: N.A.
II,WBGene00019026,F58A6.9,WBGene00019026,WBGene00019026,History: N.A.
II,WBGene00019044,F58E1.13,WBGene00019044,WBGene00019044,History: N.A.
II,WBGene00019062,F58F12.2,WBGene00019062,WBGene00019062,History: N.A.
II,WBGene00019084,F59A6.2,WBGene00019084,WBGene00019084,History: N.A.
II,WBGene00019133,F59H6.2,WBGene00019133,WBGene00019133,History: N.A.
IV,WBGene00019151,H04M03.1,WBGene00019151,WBGene00019151,History: N.A.
IV,WBGene00019165,H06H21.9,WBGene00019165,WBGene00019165,History: N.A.
III,WBGene00019174,H09G03.1,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
IV,WBGene00019205,kcc-2,WBGene00019205,WBGene00019205,History: N.A.
II,WBGene00019216,H20J04.1,WBGene00019216,WBGene00019216,History: N.A.
II,WBGene00019316,K02E7.12,WBGene00019316,WBGene00019316,History: N.A.
IV,WBGene00019370,K03H6.5,WBGene00019370,WBGene00019370,History: N.A.
I,WBGene00019430,K06A5.2,WBGene00019430,WBGene00019430,History: N.A.
I,WBGene00019461,K07A3.3,WBGene00019461,WBGene00019461,History: N.A.
IV,WBGene00019507,K07H8.7,WBGene00019507,WBGene00019507,History: N.A.
IV,WBGene00019530,scrm-8,WBGene00019530,WBGene00019530,History: N.A.
IV,WBGene00019531,scrm-5,WBGene00019531,WBGene00019531,History: N.A.
IV,WBGene00019540,K08D12.6,WBGene00019540,WBGene00019540,History: N.A.
V,WBGene00019624,K10C9.3,WBGene00019624,WBGene00019624,History: N.A.
V,WBGene00019626,K10C9.7,WBGene00019626,WBGene00019626,History: N.A.
V,WBGene00019642,K11C4.1,WBGene00019642,WBGene00019642,History: N.A.
V,WBGene00019667,K12B6.2,WBGene00019667,WBGene00019667,History: Renamed on 2017-10-11
IV,WBGene00019773,M04G7.2,WBGene00019773,WBGene00019773,History: N.A.
IV,WBGene00019785,M70.3,WBGene00019785,WBGene00019785,History: N.A.
IV,WBGene00019949,R08C7.5,WBGene00019949,WBGene00019949,History: N.A.
II,WBGene00020007,R11F4.1,WBGene00020007,WBGene00020007,History: N.A.
IV,WBGene00020042,R13A1.3,WBGene00020042,WBGene00020042,History: N.A.
III,WBGene00020066,R13F6.5,WBGene00020066,WBGene00020066,History: N.A.
IV,WBGene00020069,R13H7.2,WBGene00020069,WBGene00020069,History: N.A.
III,WBGene00020105,R148.7,WBGene00020105,WBGene00020105,History: N.A.
II,WBGene00020176,T02H6.6,WBGene00020176,WBGene00020176,History: N.A.
II,WBGene00020177,T02H6.7,WBGene00020177,WBGene00020177,History: N.A.
II,WBGene00020223,T05A7.6,WBGene00020223,WBGene00020223,History: N.A.
I,WBGene00020282,mps-3,WBGene00020282,WBGene00020282,History: N.A.
IV,WBGene00020289,T06C10.3,WBGene00020289,WBGene00020289,History: N.A.
V,WBGene00020340,T08B1.1,WBGene00020340,WBGene00020340,History: N.A.
IV,WBGene00020352,T08B6.2,WBGene00020352,WBGene00020352,History: N.A.
IV,WBGene00020353,T08B6.4,WBGene00020353,WBGene00020353,History: N.A.
IV,WBGene00020356,T08B6.9,WBGene00020356,WBGene00020356,History: N.A.
I,WBGene00020377,T09B4.3,WBGene00020377,WBGene00020377,History: N.A.
I,WBGene00020414,T10E9.4,WBGene00020414,WBGene00020414,History: N.A.
IV,WBGene00020435,T11F8.4,WBGene00020435,WBGene00020435,History: N.A.
III,WBGene00020456,fbxa-60,WBGene00020456,WBGene00020456,History: N.A.
III,WBGene00020560,T19C3.2,WBGene00020560,WBGene00020560,History: N.A.
X,WBGene00020572,T19D7.4,WBGene00020572,WBGene00020572,History: N.A.
II,WBGene00020580,T19D12.5,WBGene00020580,WBGene00020580,History: N.A.
I,WBGene00020661,T21G5.4,WBGene00020661,WBGene00020661,History: N.A.
V,WBGene00020707,T22H9.3,WBGene00020707,WBGene00020707,History: N.A.
II,WBGene00020715,nspd-4,WBGene00020715,WBGene00020715,History: N.A.
II,WBGene00020802,btb-2,WBGene00020802,WBGene00020802,History: N.A.
X,WBGene00020817,T25G12.11,WBGene00020817,WBGene00020817,History: N.A.
I,WBGene00020840,T27A3.4,WBGene00020840,WBGene00020840,History: N.A.
V,WBGene00020864,oac-50,WBGene00020864,WBGene00020864,History: N.A.
V,WBGene00020940,W02D7.4,WBGene00020940,WBGene00020940,History: N.A.
III,WBGene00020966,W03A5.1,WBGene00020966,WBGene00020966,History: N.A.
IV,WBGene00020973,W03B1.3,WBGene00020973,WBGene00020973,History: N.A.
I,WBGene00020985,W03D8.2,WBGene00020985,WBGene00020985,History: N.A.
I,WBGene00020986,W03D8.3,WBGene00020986,WBGene00020986,History: N.A.
I,WBGene00020990,W03D8.9,WBGene00020990,WBGene00020990,History: N.A.
I,WBGene00020991,W03D8.10,WBGene00020991,WBGene00020991,History: N.A.
I,WBGene00021006,dct-9,WBGene00021006,WBGene00021006,History: N.A.
I,WBGene00021007,W03F11.4,WBGene00021007,WBGene00021007,History: N.A.
III,WBGene00021018,W04B5.1,WBGene00021018,WBGene00021018,History: N.A.
I,WBGene00021113,gsp-3,WBGene00021113,WBGene00021113,History: N.A.
I,WBGene00021114,W09C3.7,WBGene00021114,WBGene00021114,History: N.A.
II,WBGene00021288,clec-123,WBGene00021288,WBGene00021288,History: N.A.
V,WBGene00021301,Y32G9A.2,WBGene00021301,WBGene00021301,History: N.A.
IV,WBGene00021375,Y37E11B.2,WBGene00021375,WBGene00021375,History: N.A.
IV,WBGene00021537,Y42H9AR.2,WBGene00021537,WBGene00021537,History: N.A.
II,WBGene00021589,Y46D2A.1,WBGene00021589,WBGene00021589,History: N.A.
IV,WBGene00021880,Y54G2A.15,WBGene00021880,WBGene00021880,History: N.A.
III,WBGene00021908,Y55B1AR.4,WBGene00021908,WBGene00021908,History: N.A.
IV,WBGene00021927,Y55F3AM.10,WBGene00021927,WBGene00021927,History: N.A.
IV,WBGene00021996,Y59E9AL.6,WBGene00021996,WBGene00021996,History: N.A.
IV,WBGene00022090,Y69A2AR.19,WBGene00022090,WBGene00022090,History: N.A.
I,WBGene00022162,Y71G12B.27,WBGene00022162,WBGene00022162,History: N.A.
III,WBGene00022352,Y82E9BR.20,WBGene00022352,WBGene00022352,History: N.A.
III,WBGene00022530,ZC155.2,WBGene00022530,WBGene00022530,History: N.A.
V,WBGene00022628,ZC513.3,WBGene00022628,WBGene00022628,History: N.A.
II,WBGene00022650,ZK84.2,WBGene00022650,WBGene00022650,History: N.A.
IV,WBGene00022708,ZK354.7,WBGene00022708,WBGene00022708,History: N.A.
IV,WBGene00022710,ZK354.9,WBGene00022710,WBGene00022710,History: N.A.
III,WBGene00022732,ZK418.2,WBGene00022732,WBGene00022732,History: N.A.
I,WBGene00022751,ZK484.5,WBGene00022751,WBGene00022751,History: N.A.
I,WBGene00022754,nspd-1,WBGene00022754,WBGene00022754,History: N.A.
II,WBGene00022760,ZK546.3,WBGene00022760,WBGene00022760,History: N.A.
II,WBGene00022761,ZK546.4,WBGene00022761,WBGene00022761,History: N.A.
IV,WBGene00022778,ZK616.8,WBGene00022778,WBGene00022778,"History: Split into ZK616.65(WBGene00235383). History of WBGene00022778: Split into ""WBGene00235383"" on 2013-10-17"
II,WBGene00022780,ZK622.1,WBGene00022780,WBGene00022780,History: N.A.
II,WBGene00022876,ZK1248.5,WBGene00022876,WBGene00022876,History: N.A.
II,WBGene00022888,rnh-1.1,WBGene00022888,WBGene00022888,History: N.A.
IV,WBGene00043147,nspd-6,WBGene00043147,WBGene00043147,History: Killed on 2004-10-04; Resurrected on 2006-10-03
II,WBGene00043986,fut-5,WBGene00043986,WBGene00043986,History: N.A.
II,WBGene00044026,W02B12.15,WBGene00044026,WBGene00044026,History: N.A.
II,WBGene00044062,snb-6,WBGene00044062,WBGene00044062,History: Renamed on 2010-03-26
I,WBGene00044122,T28B8.6,WBGene00044122,WBGene00044122,History: N.A.
III,WBGene00044167,C36A4.11,WBGene00044167,WBGene00044167,History: N.A.
V,WBGene00044177,C30G7.3,WBGene00044177,WBGene00044177,History: N.A.
I,WBGene00044243,F16C3.4,WBGene00044243,WBGene00044243,History: N.A.
IV,WBGene00044257,Y45F10D.16,WBGene00044257,WBGene00044257,History: N.A.
III,WBGene00044312,K04C2.8,WBGene00044312,WBGene00044312,History: N.A.
II,WBGene00044392,C25H3.16,WBGene00044392,WBGene00044392,History: N.A.
I,WBGene00044434,Y18H1A.15,WBGene00044434,WBGene00044434,History: N.A.
III,WBGene00044447,ZK688.10,WBGene00044447,WBGene00044447,History: N.A.
I,WBGene00044461,Y18H1A.14,WBGene00044461,WBGene00044461,History: N.A.
IV,WBGene00044474,F56D6.12,WBGene00044474,WBGene00044474,History: N.A.
IV,WBGene00044475,F56D6.13,WBGene00044475,WBGene00044475,History: N.A.
IV,WBGene00044478,K06B9.6,WBGene00044478,WBGene00044478,History: N.A.
IV,WBGene00044487,Y54G2A.44,WBGene00044487,WBGene00044487,History: N.A.
X,WBGene00044559,ZK380.5,WBGene00044559,WBGene00044559,History: N.A.
III,WBGene00044633,F54H12.7,WBGene00044633,WBGene00044633,History: N.A.
III,WBGene00044674,B0280.17,WBGene00044674,WBGene00044674,History: N.A.
V,WBGene00044777,T02B11.9,WBGene00044777,WBGene00044777,History: N.A.
I,WBGene00044805,Y53C10A.15,WBGene00044805,WBGene00044805,History: N.A.
III,WBGene00044911,H38K22.6,WBGene00044911,WBGene00044911,History: N.A.
IV,WBGene00045255,nhr-146,WBGene00045255,WBGene00045255,History: N.A.
II,WBGene00045289,fbxa-169,WBGene00045289,WBGene00045289,"History: Split into C31C9.9(WBGene00305095). History of WBGene00045289: Split into ""WBGene00305095"" on 2019-10-21"
V,WBGene00045306,ZC250.5,WBGene00045306,WBGene00045306,History: N.A.
V,WBGene00045355,D1086.17,WBGene00045355,WBGene00045355,History: N.A.
I,WBGene00050896,ttr-56,WBGene00050896,WBGene00050896,History: N.A.
I,WBGene00077519,T27C10.8,WBGene00077519,WBGene00077519,History: N.A.
I,WBGene00077548,F21C3.7,WBGene00077548,WBGene00077548,History: N.A.
V,WBGene00077582,F14H8.8,WBGene00077582,WBGene00077582,History: N.A.
V,WBGene00077699,C45B11.8,WBGene00077699,WBGene00077699,History: N.A.
I,WBGene00086554,D1081.12,WBGene00086554,WBGene00086554,History: N.A.
