# Ancestral population mRNA levels,,,,,,,,,,,
Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Input,Suggested Match,History
K06C4.11,his-19,yes,931.06,756.02,844.26,256.5,332.14,390.81,K06C4.11,WBGene00001893,Sequence name for WBGene00001893(his-19). History: N.A.
K06C4.12,his-22,yes,968.01,480.42,959.62,295.63,374.41,409.58,K06C4.12,WBGene00001896,Sequence name for WBGene00001896(his-22). History: N.A.
K06C4.13,his-27,yes,0,66.07,127.95,172.45,0,9.94,K06C4.13,WBGene00001901,Sequence name for WBGene00001901(his-27). History: N.A.
K06C4.3,his-21,yes,931.06,756.02,844.26,256.5,332.14,390.81,K06C4.3,WBGene00001895,Sequence name for WBGene00001895(his-21). History: N.A.
K06C4.4,his-20,yes,968.01,480.42,959.62,295.63,374.41,409.58,K06C4.4,WBGene00001894,Sequence name for WBGene00001894(his-20). History: N.A.
K06C4.5,his-17,yes,4979.81,3589.39,3987.49,1076.71,1554.42,1680.29,K06C4.5,WBGene00001891,Sequence name for WBGene00001891(his-17). History: N.A.
K07E8.7,K07E8.7,yes,687.79,726.66,641.93,569.46,555.64,531.08,K07E8.7,WBGene00019498,Public name for WBGene00019498. History: N.A.
K08A2.4,lido-7,yes,211.23,184.97,183.56,111.57,103.88,106,K08A2.4,WBGene00019513,Sequence name for WBGene00019513(lido-7). History: N.A.
K08D10.5,K08D10.5,yes,0,0.94,3.15,1.45,2.42,0,K08D10.5,WBGene00019529,Public name for WBGene00019529. History: N.A.
K08D12.6,K08D12.6,yes,164.86,59.45,504.53,534.68,718.72,316.89,K08D12.6,WBGene00019540,Sequence name for WBGene00019540(epic-2). History: N.A.
K08D9.5,K08D9.5,yes,0,0,0,1.45,0,2.21,K08D9.5,WBGene00019526,Public name for WBGene00019526. History: N.A.
K09F6.5,K09F6.5,yes,15.46,22.65,14.68,31.88,22.95,27.6,K09F6.5,WBGene00019588,Public name for WBGene00019588. History: N.A.
K10F12.4,gsto-3,yes,159.32,169.22,169.52,176.24,192.46,204.46,K10F12.4,WBGene00019636,Sequence name for WBGene00019636(gsto-3). History: N.A.
K10F12.7,K10F12.7,yes,7.73,5.66,3.15,4.35,1.21,4.42,K10F12.7,WBGene00019639,Public name for WBGene00019639. History: N.A.
K10G6.3,sea-2,yes,120.2,100.97,135.31,208.65,172.74,131.39,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
K11D2.1,K11D2.1,yes,28.34,18.88,27.27,18.84,12.08,11.04,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
K11D2.2,asah-1,yes,382.11,389.75,470.95,410.07,381.7,372.09,K11D2.2,WBGene00010769,Sequence name for WBGene00010769(asah-1). History: Renamed on 2004-08-25
M01E10.2,dpy-1,yes,4.04,4.36,3.7,12.04,15.45,7.81,M01E10.2,WBGene00001063,"Sequence name for WBGene00001063(dpy-1). History: N.A.. Public name for Dead gene WBGene00019708. History of WBGene00019708: Merged into ""WBGene00001063"" on 2006-12-15. Remark: [140610 pad] Gene was missing Merged_into Event history data so inferred from Merged_into tag."
M02B7.3,osm-3,yes,59.04,42.17,34.01,60.52,64.88,52.59,M02B7.3,WBGene00003884,Sequence name for WBGene00003884(osm-3). History: N.A.
R01H10.6,bbs-5,yes,26.62,28.31,17.83,34.78,22.95,16.56,R01H10.6,WBGene00010974,Sequence name for WBGene00010974(bbs-5). History: Renamed on 2004-06-23; Renamed on 2006-05-22
R02F2.1,R02F2.1,yes,2163.95,1974.86,2007.48,2691.51,2356.19,2469.87,R02F2.1,WBGene00019831,Public name for WBGene00019831. History: N.A.
R03D7.2,R03D7.2,yes,337.45,364.27,336.7,40.57,39.86,54.1,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
R06C1.4,R06C1.4,yes,810.18,758.96,858.85,762.33,726.99,699.85,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
R07B5.9,lsy-12,yes,2292.66,2165.98,2028.83,1457.51,1458.94,1384.19,R07B5.9,WBGene00045419,"Sequence name for WBGene00045419(lsy-12). History: Renamed on 2010-05-21. Public name for Dead gene WBGene00011086. History of WBGene00011086: Merged into ""WBGene00045419"" on 2008-04-09"
R10F2.6,R10F2.6,yes,144.25,134.95,136.36,201.41,208.98,216.41,R10F2.6,WBGene00019997,Public name for WBGene00019997. History: N.A.
R166.1,mab-10,yes,79.85,56.62,63.98,79.7,44.69,53,R166.1,WBGene00003107,"Sequence name for WBGene00003107(mab-10). History: N.A.. Public name for Dead gene WBGene00011301. History of WBGene00011301: Merged into ""WBGene00003107"" on 2007-07-16"
T04D3.8,T04D3.8,yes,91.92,67.96,91.23,44.93,54.34,50.78,T04D3.8,WBGene00011435,Public name for WBGene00011435. History: N.A.
T06A4.3,T06A4.3,yes,21.58,34.19,26.7,54.96,48.77,47.7,T06A4.3,WBGene00020283,Public name for WBGene00020283. History: N.A.
T07C4.9,nex-2,yes,497.63,457.34,509.12,560,597.29,618.89,T07C4.9,WBGene00003589,Sequence name for WBGene00003589(nex-2). History: N.A.
T08B2.11,T08B2.11,yes,160.57,182.14,157.33,44.92,65.23,53,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
T08D2.6,T08D2.6,yes,19.76,24.55,10.49,1.45,1.21,0,T08D2.6,WBGene00011611,Public name for WBGene00011611. History: N.A.
T10C6.11,his-4,yes,2605.98,2306.78,2585.21,1028.91,1020.56,1115.02,T10C6.11,WBGene00001878,Sequence name for WBGene00001878(his-4). History: N.A.
T10C6.12,his-3,yes,2878.21,2177.45,2586.27,726.03,833.36,943.91,T10C6.12,WBGene00001877,Sequence name for WBGene00001877(his-3). History: N.A.
T10C6.13,his-2,yes,2268.31,1898.99,2182.53,643.42,647.37,744.1,T10C6.13,WBGene00001876,Sequence name for WBGene00001876(his-2). History: N.A.
T11F9.11,dhs-19,yes,376.97,444.5,470.95,391.24,388.94,380.92,T11F9.11,WBGene00000982,Sequence name for WBGene00000982(dhs-19). History: N.A.
T12D8.10,T12D8.10,yes,348.77,226.54,288.39,165.21,193.23,182.15,T12D8.10,WBGene00023450,Public name for WBGene00023450. History: N.A.
T13F3.7,T13F3.7,yes,1.72,3.77,6.29,4.35,4.83,9.94,T13F3.7,WBGene00011754,Public name for WBGene00011754. History: N.A.
T16G12.3,T16G12.3,yes,262.79,249.16,255.92,43.47,56.77,45.27,T16G12.3,WBGene00011804,Public name for WBGene00011804. History: N.A.
T16G12.4,T16G12.4,yes,300.57,268.97,281.09,157.95,141.32,142.43,T16G12.4,WBGene00011805,Public name for WBGene00011805. History: N.A.
T16H12.2,T16H12.2,yes,44.66,47.19,32.51,18.84,31.4,15.46,T16H12.2,WBGene00011812,Public name for WBGene00011812. History: N.A.
T17H7.7,T17H7.7,yes,36.92,30.2,27.27,40.57,54.36,44.17,T17H7.7,WBGene00020551,Public name for WBGene00020551. History: N.A.
T19B4.3,T19B4.3,yes,805.55,818.26,846.41,778.16,716.25,831.35,T19B4.3,WBGene00020557,Public name for WBGene00020557. History: N.A.
T20H12.1,T20H12.1,yes,4.29,14.16,7.34,7.25,9.66,7.73,T20H12.1,WBGene00004751,"Public name for Dead gene WBGene00020643. History of WBGene00020643: Merged into ""WBGene00004751"" on 2014-11-13"
T23D8.6,his-68,yes,2545.81,1998.12,2249.62,1360.76,1362.37,1534.55,T23D8.6,WBGene00001942,Sequence name for WBGene00001942(his-68). History: N.A.
T24A6.16,T24A6.16,yes,3.43,0.94,0,4.35,2.42,0,T24A6.16,WBGene00020753,Public name for WBGene00020753. History: N.A.
T27A3.3,ssp-16,yes,5.15,4.72,4.19,24.64,20.53,22.08,T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
T27F6.2,clec-12,yes,74.7,59.45,90.21,56.51,47.11,30.92,T27F6.2,WBGene00012103,Sequence name for WBGene00012103(clec-12). History: N.A.
T28B8.1,T28B8.1,yes,224.15,229.34,244.38,289.82,279.01,317.96,T28B8.1,WBGene00012113,Public name for WBGene00012113. History: N.A.
T28D6.4,T28D6.4,yes,56.67,65.11,52.45,62.31,68.85,65.14,T28D6.4,WBGene00012124,Public name for WBGene00012124. History: N.A.
T28H11.5,ssq-2,yes,20.61,17.93,16.78,66.65,44.69,44.16,T28H11.5,WBGene00006051,Sequence name for WBGene00006051(ssq-2). History: N.A.
VF13D12L.1,inos-1,yes,2774.29,2650.85,2664.23,1107.04,1046.06,1002.55,VF13D12L.1,WBGene00012148,Sequence name for WBGene00012148(inos-1). History: N.A.
W02A11.5,bath-34,yes,137.39,173.64,125.87,68.1,99.05,70.66,W02A11.5,WBGene00012195,Sequence name for WBGene00012195(bath-34). History: N.A.
W02A11.8,bath-35,yes,48.95,39.64,43,34.78,32.61,27.6,W02A11.8,WBGene00012196,Sequence name for WBGene00012196(bath-35). History: N.A.
W02B12.4,cest-15,yes,109.05,130.23,138.46,107.23,123.21,136.91,W02B12.4,WBGene00012202,Sequence name for WBGene00012202(cest-15). History: N.A.
W02B3.6,W02B3.6,yes,0.86,0,0,0,1.21,0,W02B3.6,,Public name for Dead gene WBGene00020926. History of WBGene00020926: Killed on 2012-12-20. Remark: lack of evidence
W02B8.2,W02B8.2,yes,1250.13,1226.78,1211.51,469.47,427.61,450.49,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
W02H5.2,W02H5.2,yes,295.42,262.37,254.87,249.24,225.87,196.52,W02H5.2,WBGene00020957,"Public name for WBGene00020957. History: Split into W02H5.19(WBGene00302982). History of WBGene00020957: Split into ""WBGene00302982"" on 2018-03-06"
W03A5.1,W03A5.1,yes,16.31,11.32,22.03,30.43,24.16,26.5,W03A5.1,WBGene00020966,Public name for WBGene00020966. History: N.A.
W04A8.2,W04A8.2,yes,98.75,110.42,90.2,55.06,41.07,47.48,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
W04B5.3,W04B5.3,yes,221.76,251.4,271.05,274.69,239.83,236.85,W04B5.3,WBGene00021020,Public name for WBGene00021020. History: N.A.
W04C9.1,haf-4,yes,501.44,535.07,504.53,576.7,561.69,512.32,W04C9.1,WBGene00001814,Sequence name for WBGene00001814(haf-4). History: N.A.
W05F2.4,W05F2.4,yes,297.96,345.95,305.1,461.82,395.22,371.7,W05F2.4,WBGene00021036,"Public name for WBGene00021036. History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
W08E3.2,casc-3,yes,947.08,893.68,965,849.12,845.55,809.33,W08E3.2,WBGene00012343,Sequence name for WBGene00012343(casc-3). History: N.A.
W09B7.2,W09B7.2,yes,197.5,177.42,191.95,10.14,14.49,19.87,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
W09C5.5,dkf-1,yes,323.7,312.36,269.57,278.21,266.95,251.74,W09C5.5,WBGene00012352,Sequence name for WBGene00012352(dkf-1). History: N.A.
W09D6.4,W09D6.4,yes,13.74,9.44,8.39,34.78,21.74,45.26,W09D6.4,WBGene00012357,Public name for WBGene00012357. History: N.A.
W10G11.17,W10G11.17,yes,51.52,64.17,52.45,97.08,82.14,82.81,W10G11.17,WBGene00021146,"Public name for Dead gene WBGene00021147. History of WBGene00021147: Merged into ""WBGene00021146"" on 2017-01-13"
Y105E8A.11,Y105E8A.11,yes,277.46,296.38,270.57,243.47,204.1,228.52,Y105E8A.11,WBGene00013671,Public name for WBGene00013671. History: N.A.
Y110A2AM.1,Y110A2AM.1,yes,133.96,140.62,121.67,160.84,123.21,125.87,Y110A2AM.1,WBGene00006710,"Public name for Dead gene WBGene00022449. History of WBGene00022449: Merged into ""WBGene00006710"" on 2017-03-03"
Y110A2AM.3,ubc-26,yes,330.63,377.51,333.53,273.88,264.52,255.04,Y110A2AM.3,WBGene00022450,Sequence name for WBGene00022450(ubc-26). History: N.A.
Y110A7A.3,unc-63,yes,89.3,81.16,82.86,118.82,108.71,110.41,Y110A7A.3,WBGene00006797,Sequence name for WBGene00006797(unc-63). History: N.A.
Y111B2A.4,sql-1,yes,1578,1523.26,1522.66,1438.34,1519.98,1210.78,Y111B2A.4,WBGene00013730,Sequence name for WBGene00013730(sql-1). History: N.A.
Y113G7B.17,prmt-1,yes,12092.85,11637.01,11502.11,10541.68,9893.94,10501.2,Y113G7B.17,WBGene00013766,Sequence name for WBGene00013766(prmt-1). History: N.A.
Y119D3B.11,orc-3,yes,1536.96,1558.98,1390.86,1167.89,1207.93,1152.72,Y119D3B.11,WBGene00022488,Sequence name for WBGene00022488(orc-3). History: N.A.
Y11D7A.3,Y11D7A.3,yes,456.49,425.83,522.62,706.12,817.75,787.92,Y11D7A.3,WBGene00012428,Public name for WBGene00012428. History: N.A.
Y16E11A.2,Y16E11A.2,yes,0.86,0,0,0,0,3.31,Y16E11A.2,,Sequence name for Suppressed gene WBGene00021194. Molecular name for Suppressed gene WBGene00021194. Public name for Suppressed gene WBGene00021194. History of WBGene00021194: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y17G9B.1,npp-26,yes,23.18,18.87,16.78,31.88,30.2,30.92,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
Y18D10A.10,clec-104,yes,29.2,25.48,26.22,23.18,33.82,28.71,Y18D10A.10,WBGene00012480,Sequence name for WBGene00012480(clec-104). History: N.A.
Y19D10A.10,Y19D10A.10,yes,0,0.94,0,0,0,2.21,Y19D10A.10,WBGene00021225,Public name for WBGene00021225. History: N.A.
Y19D10A.11,Y19D10A.11,yes,25.76,37.75,0,55.06,50.73,54.1,Y19D10A.11,WBGene00021226,Public name for WBGene00021226. History: N.A.
Y19D10A.4,Y19D10A.4,yes,38.64,40.58,37.76,44.92,38.65,48.58,Y19D10A.4,WBGene00021219,Public name for WBGene00021219. History: N.A.
Y20F4.2,crtc-1,yes,65.26,76.44,71.33,104.33,83.35,76.18,Y20F4.2,WBGene00021237,Sequence name for WBGene00021237(crtc-1). History: N.A.
Y20F4.4,Y20F4.4,yes,592.44,520.91,554.88,602.78,607.6,618.33,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
Y23H5A.2,Y23H5A.2,yes,324.62,316.16,316.75,68.11,76.09,77.28,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
Y23H5B.1,Y23H5B.1,yes,10.31,10.38,28.32,14.49,15.7,15.46,Y23H5B.1,WBGene00021272,"Public name for WBGene00021272. History: Split into Y23H5B.12(WBGene00194701). History of WBGene00021272: Split into ""WBGene00194701"" on 2009-07-23"
Y24D9B.1,Y24D9B.1,yes,8.59,17.93,17.83,24.63,38.65,25.4,Y24D9B.1,WBGene00021287,Public name for WBGene00021287. History: N.A.
Y34F4.5,Y34F4.5,yes,126.71,143.27,123.14,62.17,70.67,93.63,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
Y37B11A.1,cutl-23,yes,14.6,21.7,12.59,30.43,43.49,50.79,Y37B11A.1,WBGene00021343,Sequence name for WBGene00021343(cutl-23). History: N.A.
Y37D8A.6,Y37D8A.6,yes,116.81,125.53,122.71,107.24,105.08,102.67,Y37D8A.6,WBGene00012548,Public name for WBGene00012548. History: N.A.
Y37E11AR.3,nape-2,yes,180.37,190.16,188.05,231.03,233.42,203.57,Y37E11AR.3,WBGene00021370,Sequence name for WBGene00021370(nape-2). History: N.A.
Y37E11AR.4,nape-1,yes,70.41,53.79,51.4,56.51,73.68,56.31,Y37E11AR.4,WBGene00021371,Sequence name for WBGene00021371(nape-1). History: N.A.
Y39A3CL.2,rimb-1,yes,100.46,133.06,102.8,192.71,183.61,126.98,Y39A3CL.2,WBGene00006513,Sequence name for WBGene00006513(rimb-1). History: N.A.
Y39B6A.11,dyf-17,yes,43.79,56.62,50.35,17.39,12.08,8.83,Y39B6A.11,WBGene00012673,Sequence name for WBGene00012673(dyf-17). History: N.A.
Y39B6A.46,ztf-20,yes,205.24,166.1,154.18,91.29,79.72,83.91,Y39B6A.46,WBGene00012702,Sequence name for WBGene00012702(ztf-20). History: N.A.
Y39H10A.6,Y39H10A.6,yes,319.42,290.66,293.69,302.84,300.77,249.53,Y39H10A.6,WBGene00021482,Sequence name for WBGene00021482(gid-7). History: N.A.
Y41C4A.2,faah-6,yes,34.35,34.92,29.37,46.37,54.36,34.23,Y41C4A.2,WBGene00012750,Sequence name for WBGene00012750(faah-6). History: N.A.
Y43F8C.13,Y43F8C.13,yes,466.27,475.64,432.14,446.3,463.83,513.41,Y43F8C.13,WBGene00012834,Public name for WBGene00012834. History: N.A.
Y44E3A.1,Y44E3A.1,yes,36.93,38.7,36.71,21.74,35.03,28.7,Y44E3A.1,WBGene00021547,Public name for WBGene00021547. History: N.A.
Y45G12B.3,Y45G12B.3,yes,769.36,819.14,725.84,328.93,272.99,362.15,Y45G12B.3,WBGene00021564,Public name for WBGene00021564. History: N.A.
Y46G5A.14,Y46G5A.14,yes,0,0.94,4.19,5.8,2.42,9.94,Y46G5A.14,WBGene00012905,Public name for WBGene00012905. History: N.A.
Y46G5A.34,Y46G5A.34,yes,42.09,31.15,37.75,33.33,26.57,23.18,Y46G5A.34,WBGene00012919,Public name for WBGene00012919. History: N.A.
Y47D3A.13,Y47D3A.13,yes,9.45,9.44,9.44,40.58,47.1,43.06,Y47D3A.13,WBGene00012926,Public name for WBGene00012926. History: N.A.
Y48A6C.5,pha-1,yes,210.74,223.63,196.61,151.06,164.67,175.97,Y48A6C.5,WBGene00004010,Sequence name for WBGene00004010(pha-1). History: N.A.
Y48G8AL.15,Y48G8AL.15,yes,86.75,64.18,94.39,65.21,62.81,66.24,Y48G8AL.15,WBGene00021692,Public name for WBGene00021692. History: N.A.
Y49E10.6,his-72,yes,2563.77,2406.15,2258.75,2360.96,2381.51,2397.53,Y49E10.6,WBGene00001946,Sequence name for WBGene00001946(his-72). History: N.A.
Y49F6B.10,col-71,yes,39.5,23.59,25.17,56.51,49.52,54.1,Y49F6B.10,WBGene00000647,Sequence name for WBGene00000647(col-71). History: N.A.
Y49F6C.6,Y49F6C.6,yes,0,0.94,0,0,0,0,Y49F6C.6,WBGene00021728,Public name for WBGene00021728. History: N.A.
Y51F10.3,Y51F10.3,yes,661.19,616.25,663.95,565.12,504.9,483.6,Y51F10.3,WBGene00021764,Public name for WBGene00021764. History: N.A.
Y51H4A.13,Y51H4A.13,yes,6.87,0,3.15,17.39,13.29,12.15,Y51H4A.13,WBGene00013107,Public name for WBGene00013107. History: N.A.
Y52B11A.4,Y52B11A.4,yes,25.76,16.04,23.08,30.43,25.37,16.56,Y52B11A.4,WBGene00013124,Public name for WBGene00013124. History: N.A.
Y53C10A.2,hsf-2,yes,10.31,5.66,18.88,2.9,1.21,3.31,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
Y53C10A.3,hsf-2,yes,11.16,14.16,10.49,2.9,7.25,7.73,Y53C10A.3,WBGene00013134,Sequence name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.
Y53C10A.4,rga-2,yes,56.67,50.02,46.15,71,57.98,51.89,Y53C10A.4,WBGene00013135,Sequence name for WBGene00013135(rga-2). History: N.A.
Y53F4B.25,Y53F4B.25,yes,1.72,1.89,1.05,0,0,0,Y53F4B.25,WBGene00013171,Public name for WBGene00013171. History: N.A.
Y53F4B.26,Y53F4B.26,yes,3.44,6.61,2.1,0,6.04,1.1,Y53F4B.26,WBGene00013172,Public name for WBGene00013172. History: N.A.
Y53F4B.43,Y53F4B.43,yes,3.44,2.83,6.29,2.9,7.25,5.52,Y53F4B.43,WBGene00044726,Public name for WBGene00044726. History: N.A.
Y53F4B.7,Y53F4B.7,yes,3.44,6.61,2.1,10.14,6.04,1.1,Y53F4B.7,WBGene00013154,Public name for WBGene00013154. History: N.A.
Y53G8AM.8,Y53G8AM.8,yes,241.27,228.37,247.55,211.55,212.6,237.39,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
Y54E5A.8,Y54E5A.8,yes,62.59,101.95,74.41,57.83,97.71,71.98,Y54E5A.8,WBGene00013203,Public name for WBGene00013203. History: N.A.
Y54F10AM.4,ceh-44,yes,2575.44,2624.6,2564.5,1858.68,1866.64,1815.07,Y54F10AM.4,WBGene00000464,"Sequence name for WBGene00000464(ceh-44). History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
Y54G2A.11,Y54G2A.11,yes,370.61,388.03,470.86,466.6,370.57,443.46,Y54G2A.11,WBGene00021876,Public name for WBGene00021876. History: N.A.
Y55F3AM.11,Y55F3AM.11,yes,67.84,104.75,72.37,33.33,54.36,35.33,Y55F3AM.11,WBGene00021928,Public name for WBGene00021928. History: N.A.
Y55F3AM.14,znf-782,yes,5.15,4.72,6.29,21.73,15.7,11.04,Y55F3AM.14,WBGene00021931,Sequence name for WBGene00021931(znf-782). History: N.A.
Y55F3BR.2,Y55F3BR.2,yes,237.83,212.33,165.73,114.47,96.64,66.25,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
Y56A3A.19,Y56A3A.19,yes,1615.58,1444.07,1537.52,1125.99,1182.42,1290.58,Y56A3A.19,WBGene00013237,Public name for WBGene00013237. History: N.A.
Y56A3A.3,mif-1,yes,140.01,113.26,122.7,86.95,95.41,88.32,Y56A3A.3,WBGene00003234,Sequence name for WBGene00003234(mif-1). History: N.A.
Y57A10B.4,sre-42,yes,0,0,1.05,0,0,4.42,Y57A10B.4,WBGene00013276,Sequence name for WBGene00013276(sre-42). History: N.A.
Y57G11A.2,Y57G11A.2,yes,89.3,52.85,50.35,218.8,181.19,188.81,Y57G11A.2,WBGene00013290,Public name for WBGene00013290. History: N.A.
Y57G11C.1130,Y57G11C.1130,yes,31.77,26.43,34.61,17.39,10.87,13.25,Y57G11C.1130,WBGene00194649,Public name for WBGene00194649. History: N.A.
Y57G11C.51,Y57G11C.51,yes,145.14,134.96,103.83,55.07,44.69,45.27,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y57G11C.8,Y57G11C.8,yes,78.15,64.18,68.18,23.19,16.91,32.02,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
Y59A8B.11,fbxa-106,yes,168.31,171.76,162.58,44.92,56.77,57.41,Y59A8B.11,WBGene00013348,Sequence name for WBGene00013348(fbxa-106). History: N.A.
Y60A3A.7,abhd-3.1,yes,842.36,906.91,853.8,489.77,520.61,534.39,Y60A3A.7,WBGene00013358,Sequence name for WBGene00013358(abhd-3.1). History: N.A.
Y65B4BL.1,Y65B4BL.1,yes,5.51,0.65,4.31,3.66,0.83,12.13,Y65B4BL.1,WBGene00022033,"Public name for WBGene00022033. History: Split into Y65B4BM.3(WBGene00302974). History of WBGene00022033: Split into ""WBGene00302974"" on 2018-03-06"
Y65B4BR.3,ptr-21,yes,979.68,1031.45,1020.6,1234.54,1210.36,1252.1,Y65B4BR.3,WBGene00004235,Sequence name for WBGene00004235(ptr-21). History: N.A.
Y66D12A.14,nrps-1,yes,30.05,24.54,22.03,30.43,30.2,34.23,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
Y67D8A.3,dmd-9,yes,111.63,110.42,81.81,39.12,33.82,33.12,Y67D8A.3,WBGene00022060,Sequence name for WBGene00022060(dmd-9). History: N.A.
Y69A2AR.31,Y69A2AR.31,yes,54.95,55.68,52.45,97.08,99.05,58.52,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
Y71A12B.4,trp-4,yes,27.48,27.37,22.03,26.08,26.58,23.19,Y71A12B.4,WBGene00006616,Sequence name for WBGene00006616(trp-4). History: N.A.
Y71F9AL.5,gst-43,yes,143.41,154.78,161.52,94.19,74.89,99.37,Y71F9AL.5,WBGene00001791,Sequence name for WBGene00001791(gst-43). History: N.A.
Y71G12A.3,tub-2,yes,374.36,334.06,330.41,337.61,264.54,237.39,Y71G12A.3,WBGene00022139,"Sequence name for WBGene00022139(tub-2). History: Split into Y71G12A.5(WBGene00303094). History of WBGene00022139: Renamed on 2008-05-02; Split into ""WBGene00303094"" on 2018-03-02"
Y71G12B.22,Y71G12B.22,yes,5.15,5.66,5.24,21.74,13.29,17.67,Y71G12B.22,WBGene00022157,Public name for WBGene00022157. History: N.A.
Y71G12B.9,lin-65,yes,2227.78,2158.17,1961.41,1604.63,1588.68,1529.77,Y71G12B.9,WBGene00022149,Sequence name for WBGene00022149(lin-65). History: N.A.
Y71H2AL.1,pbo-1,yes,247.33,289.74,274.8,234.75,288.68,292.58,Y71H2AL.1,WBGene00003941,"Sequence name for WBGene00003941(pbo-1). History: N.A.. Public name for Dead gene WBGene00022164. History of WBGene00022164: Merged into ""WBGene00003941"" on 2011-09-06"
Y71H2AL.2,Y71H2AL.2,yes,9.45,5.66,8.39,10.14,6.04,7.73,Y71H2AL.2,WBGene00022165,"Public name for WBGene00022165. History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
Y71H2AM.16,pho-9,yes,120.21,99.09,105.94,124.61,95.43,91.64,Y71H2AM.16,WBGene00022181,Sequence name for WBGene00022181(pho-9). History: N.A.
Y73B3A.5,elk-2,yes,0,0,0,0,0,0,Y73B3A.5,WBGene00022207,Sequence name for WBGene00022207(elk-2). History: N.A.
Y73B6BL.9,hil-2,yes,1252.04,1215.61,1242.31,990.44,1100.81,1096.62,Y73B6BL.9,WBGene00001853,Sequence name for WBGene00001853(hil-2). History: Renamed on 2010-11-12
Y73F8A.32,Y73F8A.32,yes,43.64,44.03,36.7,64.8,35.8,43.15,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
Y75B8A.19,Y75B8A.19,yes,168.29,199.12,188.8,152.14,186.02,176.66,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
Y76A2B.3,acs-5,yes,1767.92,1987.41,1893.29,2121.33,2060.74,2177.36,Y76A2B.3,WBGene00013575,Sequence name for WBGene00013575(acs-5). History: N.A.
Y87G2A.2,Y87G2A.2,yes,191.49,234.99,188.8,194.17,201.72,220.82,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
Y8G1A.1,math-46,yes,0,0,0,1.62,0,1.24,Y8G1A.1,WBGene00021175,Sequence name for WBGene00021175(math-46). History: N.A.
Y8G1A.2,inx-13,yes,436.21,450.15,465.71,576.71,620.87,544.33,Y8G1A.2,WBGene00002135,Sequence name for WBGene00002135(inx-13). History: Renamed on 2015-03-05
Y94H6A.11,egrh-3,yes,502.34,437.89,445.77,379.65,349.08,367.66,Y94H6A.11,WBGene00044651,Sequence name for WBGene00044651(egrh-3). History: N.A.
Y94H6A.4,gpx-4,yes,6.87,12.27,10.49,11.59,8.45,14.35,Y94H6A.4,WBGene00022377,Sequence name for WBGene00022377(gpx-4). History: N.A.
Y95B8A.1,nas-30,yes,6.01,3.77,5.24,7.24,8.46,9.94,Y95B8A.1,WBGene00003548,Sequence name for WBGene00003548(nas-30). History: N.A.
