# FDR<0.05 AND Fc>4 or <4 met-2 set-25; lsm-8 vs WT ,,,,
# Genes up FDR& 4Fc met-2 set-25; lsm-8 vs WT (rep1&2),,,,
# 367 genes,,,,
WORMBASE_GENE_ID,1148-N2_edgeR&fC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Input,Suggested Match,History
WBGene00044256,,,,,WBGene00044256,WBGene00044256,"History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
WBGene00021585,,,,,WBGene00021585,WBGene00021585,History: N.A.
WBGene00000560,,,,,WBGene00000560,WBGene00000560,History: N.A.
WBGene00003983,,,,,WBGene00003983,WBGene00003983,History: N.A.
WBGene00012922,,,,,WBGene00012922,WBGene00012922,History: N.A.
WBGene00021670,,,,,WBGene00021670,WBGene00021671,"History: Merged into ""WBGene00021671"" on 2009-01-09"
WBGene00013090,,,,,WBGene00013090,WBGene00013090,History: N.A.
WBGene00021799,,,,,WBGene00021799,WBGene00021799,History: N.A.
WBGene00021886,,,,,WBGene00021886,WBGene00021886,History: N.A.
WBGene00013294,,,,,WBGene00013294,WBGene00013294,History: N.A.
WBGene00021978,,,,,WBGene00021978,WBGene00021978,History: N.A.
WBGene00005582,,,,,WBGene00005582,WBGene00005582,History: N.A.
WBGene00044212,,,,,WBGene00044212,WBGene00044212,History: N.A.
WBGene00044207,,,,,WBGene00044207,WBGene00044207,"History: Split into Y6G8.14(WBGene00138715). History of WBGene00044207: Split into ""WBGene00138715"" on 2008-09-12"
WBGene00023483,,,,,WBGene00023483,WBGene00023483,History: N.A.
WBGene00004236,,,,,WBGene00004236,WBGene00004236,History: N.A.
WBGene00022344,,,,,WBGene00022344,WBGene00022344,History: N.A.
WBGene00022375,,,,,WBGene00022375,WBGene00022375,History: N.A.
WBGene00021179,,,,,WBGene00021179,WBGene00021179,History: N.A.
WBGene00006208,,,,,WBGene00006208,WBGene00006208,History: N.A.
WBGene00022545,,,,,WBGene00022545,WBGene00022545,History: N.A.
WBGene00022546,,,,,WBGene00022546,WBGene00022546,History: N.A.
WBGene00022547,,,,,WBGene00022547,WBGene00022547,History: N.A.
WBGene00022570,,,,,WBGene00022570,WBGene00022570,History: N.A.
WBGene00022572,,,,,WBGene00022572,WBGene00022572,History: N.A.
WBGene00022847,,,,,WBGene00022847,WBGene00022847,History: N.A.
WBGene00013937,,,,,WBGene00013937,WBGene00013937,History: N.A.
WBGene00022645,,,,,WBGene00022645,WBGene00022645,History: N.A.
WBGene00014049,,,,,WBGene00014049,WBGene00014049,History: N.A.
WBGene00014045,,,,,WBGene00014045,WBGene00014045,History: N.A.
WBGene00014046,,,,,WBGene00014046,WBGene00014046,History: N.A.
WBGene00002103,,,,,WBGene00002103,WBGene00002103,History: N.A.
WBGene00001532,,,,,WBGene00001532,WBGene00001532,History: N.A.
