# Dataset S4.  Annotated features with ten or more siRNA  reads per million total small RNA reads and depleted by 2/3 or more in mut-16(pk710), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_pk710,Reads Per Million Total_pk710/wt,Depletion,Annotation,Input,Suggested Match,History
Y54E10A.17,60.48,0.33,0.01,-184.35,Gene,Y54E10A.17,WBGene00021835,Public name for WBGene00021835. History: N.A.
Y39F10A.4,54.75,0.3,0.01,-183.5,Transposon,Y39F10A.4,,Sequence name for Suppressed gene WBGene00021455. Molecular name for Suppressed gene WBGene00021455. Public name for Suppressed gene WBGene00021455. History of WBGene00021455: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T07D3.8,54.69,0.3,0.01,-183.28,Transposon,T07D3.8,,Sequence name for Suppressed gene WBGene00020310. Molecular name for Suppressed gene WBGene00020310. Public name for Suppressed gene WBGene00020310. History of WBGene00020310: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y105C5B.13,30.06,0.16,0.01,-183.22,Gene,Y105C5B.13,WBGene00004816,Sequence name for WBGene00004816(skr-10). History: N.A.
T06E4.2,49.04,0.27,0.01,-183.01,Transposon,,,
F39F10.4,89.99,0.49,0.01,-182.85,Gene,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
H24K24.5,59.93,0.33,0.01,-182.66,Gene,H24K24.5,WBGene00001480,Sequence name for WBGene00001480(fmo-5). History: N.A.
M05D6.7,89.61,0.49,0.01,-182.09,Gene,M05D6.7,WBGene00001523,Sequence name for WBGene00001523(gbh-2). History: N.A.
Y55F3AM.10,59.74,0.33,0.01,-182.09,Gene,Y55F3AM.10,WBGene00021927,Sequence name for WBGene00021927(abhd-14). History: N.A.
C54H2.3,29.87,0.16,0.01,-182.09,Gene,C54H2.3,WBGene00016937,Sequence name for WBGene00016937(tag-294). History: N.A.
T12B5.6,29.87,0.16,0.01,-182.09,Gene,T12B5.6,WBGene00020453,Sequence name for WBGene00020453(fbxa-55). History: N.A.
C28C12.1,29.69,0.16,0.01,-180.96,Gene,C28C12.1,WBGene00016177,Public name for WBGene00016177. History: N.A.
C52E2.3,29.69,0.16,0.01,-180.96,Gene,C52E2.3,WBGene00016882,Public name for WBGene00016882. History: N.A.
F07B7.7,29.69,0.16,0.01,-180.96,Gene,F07B7.7,WBGene00017188,Public name for WBGene00017188. History: N.A.
ZC411.1,29.69,0.16,0.01,-180.96,Gene,ZC411.1,WBGene00017152,"Public name for Dead gene WBGene00022607. History of WBGene00022607: Merged into ""WBGene00017152"" on 2017-11-14; Merged into ""WBGene00017152"" on 2017-11-14"
R03D7.3,554.47,3.08,0.01,-180.27,Pseudogene,R03D7.3,WBGene00014814,Public name for WBGene00014814. History: N.A.
Y45F10D.5,10.55,0.06,0.01,-180.2,Transposon,,,
C33E10.3,44.31,0.25,0.01,-180.08,Pseudogene,C33E10.3,WBGene00023245,Public name for WBGene00023245. History: N.A.
F40A3.5,117.63,0.66,0.01,-179.27,Gene,F40A3.5,WBGene00077712,"Sequence name for WBGene00077712(nipi-4). History: N.A.. Public name for Dead gene WBGene00018220. History of WBGene00018220: Merged into ""WBGene00077712"" on 2012-04-12"
T15B7.15,117.26,0.66,0.01,-178.7,Gene,T15B7.15,WBGene00020527,Public name for WBGene00020527. History: N.A.
R10F2.1,87.76,0.49,0.01,-178.32,Gene,R10F2.1,WBGene00019994,Sequence name for WBGene00019994(cdh-1). History: N.A.
T28A11.14,59.44,0.33,0.01,-178.02,Transposon,T28A11.14,,Sequence name for Suppressed gene WBGene00020876. Molecular name for Suppressed gene WBGene00020876. Public name for Suppressed gene WBGene00020876. History of WBGene00020876: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y57E12AL.3,21.9,0.12,0.01,-177.95,Pseudogene,Y57E12AL.3,WBGene00023382,Public name for WBGene00023382. History: N.A.
M163.3,379.05,2.13,0.01,-177.74,Gene,M163.3,WBGene00001898,Sequence name for WBGene00001898(his-24). History: Renamed on 2010-11-12
EGAP2.2,29.13,0.16,0.01,-177.57,Gene,EGAP2.2,WBGene00017148,Public name for WBGene00017148. History: N.A.
Y73C8B.4,29.13,0.16,0.01,-177.57,Gene,Y73C8B.4,WBGene00002246,Sequence name for WBGene00002246(lag-2). History: N.A.
F11D11.13,24.29,0.14,0.01,-176.09,Pseudogene,F11D11.13,WBGene00045363,Public name for WBGene00045363. History: N.A.
Y39E4B.6,28.76,0.16,0.01,-175.31,Gene,Y39E4B.6,WBGene00012717,Public name for WBGene00012717. History: N.A.
F58A4.7,85.72,0.49,0.01,-174.18,Gene,F58A4.7,WBGene00001955,Sequence name for WBGene00001955(hlh-11). History: N.A.
Y105E8B.1,28.57,0.16,0.01,-174.18,Gene,Y105E8B.1,WBGene00002978,Sequence name for WBGene00002978(lev-11). History: N.A.
F11D11.2,50.48,0.29,0.01,-174.15,Transposon,F11D11.2,,Sequence name for Suppressed gene WBGene00008697. Molecular name for Suppressed gene WBGene00008697. Public name for Suppressed gene WBGene00008697. History of WBGene00008697: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C06E8.4,16.81,0.1,0.01,-173.89,Transposon,C06E8.4,,Sequence name for Suppressed gene WBGene00015543. Molecular name for Suppressed gene WBGene00015543. Public name for Suppressed gene WBGene00015543. History of WBGene00015543: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F58D2.4,598.73,3.44,0.01,-173.8,Gene,F58D2.4,WBGene00185077,Public name for WBGene00185077. History: N.A.
K10B3.2,29.9,0.17,0.01,-173.43,Transposon,K10B3.2,,Sequence name for Suppressed gene WBGene00019610. Molecular name for Suppressed gene WBGene00019610. Public name for Suppressed gene WBGene00019610. History of WBGene00019610: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T19A6.4,85.35,0.49,0.01,-173.42,Gene,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
F58A4.14,56.77,0.33,0.01,-173.04,Gene,F58A4.14,WBGene00043992,Sequence name for WBGene00043992(bbs-4). History: N.A.
Y57G11C.499,1078.15,6.23,0.01,-172.96,Gene,Y57G11C.499,WBGene00077762,Public name for WBGene00077762. History: N.A.
F45C12.8,84.79,0.49,0.01,-172.29,Gene,F45C12.8,WBGene00018439,Sequence name for WBGene00018439(fbxa-184). History: N.A.
Y6B3B.8,51.23,0.3,0.01,-172.11,Transposon,Y6B3B.8,,Sequence name for Suppressed gene WBGene00012392. Molecular name for Suppressed gene WBGene00012392. Public name for Suppressed gene WBGene00012392. History of WBGene00012392: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y56A3A.5,987.8,5.74,0.01,-172.04,Gene,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
B0001.6,56.4,0.33,0.01,-171.91,Gene,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
Y48G1BM.6,1437.72,8.37,0.01,-171.85,Gene,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
Y48G10A.5,50.97,0.3,0.01,-171.24,Transposon,Y48G10A.5,,Sequence name for Suppressed gene WBGene00013022. Molecular name for Suppressed gene WBGene00013022. Public name for Suppressed gene WBGene00013022. History of WBGene00013022: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y66D12A.2,50.97,0.3,0.01,-171.24,Transposon,Y66D12A.2,,Sequence name for Suppressed gene WBGene00013428. Molecular name for Suppressed gene WBGene00013428. Public name for Suppressed gene WBGene00013428. History of WBGene00013428: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C15B12.7,28.02,0.16,0.01,-170.78,Gene,C15B12.7,WBGene00000393,Sequence name for WBGene00000393(cdf-1). History: N.A.
F45D11.9,28.02,0.16,0.01,-170.78,Gene,F45D11.9,WBGene00018455,Sequence name for WBGene00018455(fbxc-42). History: N.A.
Y34B4A.2,28.02,0.16,0.01,-170.78,Gene,Y34B4A.2,WBGene00021319,Public name for WBGene00021319. History: N.A.
F47C8.1,16.39,0.1,0.01,-169.53,Transposon,F47C8.1,,Sequence name for Suppressed gene WBGene00009821. Molecular name for Suppressed gene WBGene00009821. Public name for Suppressed gene WBGene00009821. History of WBGene00009821: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F55A3.6,778.51,4.59,0.01,-169.49,Gene,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
F34H10.3,83.31,0.49,0.01,-169.27,Gene,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
H25P06.4,166.43,0.98,0.01,-169.09,Gene,H25P06.4,WBGene00010417,"Sequence name for WBGene00010417(clpr-3). History: Split into H25P06.5(WBGene00219319). History of WBGene00010417: Split into ""WBGene00219319"" on 2011-11-29"
K08A2.8,50.39,0.3,0.01,-169.03,Transposon,,,
Y45F10C.6,498.72,2.95,0.01,-168.9,Gene,Y45F10C.6,WBGene00044256,"Public name for WBGene00044256. History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
ZC247.1,249.36,1.48,0.01,-168.9,Gene,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
W04C9.1,138.22,0.82,0.01,-168.52,Gene,W04C9.1,WBGene00001814,Sequence name for WBGene00001814(haf-4). History: N.A.
C04F12.2,74.38,0.44,0.01,-167.93,Transposon,C04F12.2,,Sequence name for Suppressed gene WBGene00007298. Molecular name for Suppressed gene WBGene00007298. Public name for Suppressed gene WBGene00007298. History of WBGene00007298: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T02G5.5,51.37,0.31,0.01,-167.7,Transposon,T02G5.5,,Sequence name for Suppressed gene WBGene00020165. Molecular name for Suppressed gene WBGene00020165. Public name for Suppressed gene WBGene00020165. History of WBGene00020165: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F38A1.2,51.37,0.31,0.01,-167.7,Transposon,F38A1.2,,Sequence name for Suppressed gene WBGene00009516. Molecular name for Suppressed gene WBGene00009516. Public name for Suppressed gene WBGene00009516. History of WBGene00009516: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F56A6.3,51.37,0.31,0.01,-167.7,Transposon,F56A6.3,,Sequence name for Suppressed gene WBGene00018922. Molecular name for Suppressed gene WBGene00018922. Public name for Suppressed gene WBGene00018922. History of WBGene00018922: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZC247.4,51.34,0.31,0.01,-167.6,Transposon,ZC247.4,,Sequence name for Suppressed gene WBGene00013861. Molecular name for Suppressed gene WBGene00013861. Public name for Suppressed gene WBGene00013861. History of WBGene00013861: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W07E6.6,51.34,0.31,0.01,-167.6,Transposon,W07E6.6,,Sequence name for Suppressed gene WBGene00021077. Molecular name for Suppressed gene WBGene00021077. Public name for Suppressed gene WBGene00021077. History of WBGene00021077: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T20H12.2,51.34,0.31,0.01,-167.6,Transposon,T20H12.2,,Sequence name for Suppressed gene WBGene00020644. Molecular name for Suppressed gene WBGene00020644. Public name for Suppressed gene WBGene00020644. History of WBGene00020644: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y47H9C.3,51.34,0.31,0.01,-167.6,Transposon,Y47H9C.3,,Sequence name for Suppressed gene WBGene00012949. Molecular name for Suppressed gene WBGene00012949. Public name for Suppressed gene WBGene00012949. History of WBGene00012949: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
R10H1.3,51.34,0.31,0.01,-167.6,Transposon,R10H1.3,,Sequence name for Suppressed gene WBGene00020000. Molecular name for Suppressed gene WBGene00020000. Public name for Suppressed gene WBGene00020000. History of WBGene00020000: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H15N14.4,34.35,0.21,0.01,-167.54,Pseudogene,H15N14.4,WBGene00077552,Public name for WBGene00077552. History: N.A.
T04A11.11,51.29,0.31,0.01,-167.46,Pseudogene,T04A11.11,,"Sequence name for Suppressed gene WBGene00014831. Molecular name for Suppressed gene WBGene00014831. Public name for Suppressed gene WBGene00014831. History of WBGene00014831: Killed on 2010-07-09; Suppressed on 2013-05-29. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene...[130502 pad] Gene ressurected as this turns out to be a Transposon related locus....[130502 pad] Gene ressurected as this turns out to be a Transposon related locus....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
Y45F10D.1,51.28,0.31,0.01,-167.41,Transposon,Y45F10D.1,,Sequence name for Suppressed gene WBGene00012882. Molecular name for Suppressed gene WBGene00012882. Public name for Suppressed gene WBGene00012882. History of WBGene00012882: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZC239.1,49.71,0.3,0.01,-166.76,Pseudogene,ZC239.1,WBGene00023399,Public name for WBGene00023399. History: N.A.
B0303.5,51.06,0.31,0.01,-166.7,Transposon,B0303.5,,Sequence name for Suppressed gene WBGene00015127. Molecular name for Suppressed gene WBGene00015127. Public name for Suppressed gene WBGene00015127. History of WBGene00015127: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C08F1.9,10.24,0.06,0.01,-166.45,Transposon,C08F1.9,,Sequence name for Suppressed gene WBGene00015612. Molecular name for Suppressed gene WBGene00015612. Public name for Suppressed gene WBGene00015612. History of WBGene00015612: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000030,60.8,0.37,0.01,-166.15,Transposon,,,
C18H2.2,190.55,1.15,0.01,-165.94,Gene,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
ZK250.6,272.18,1.64,0.01,-165.92,Gene,ZK250.6,WBGene00022689,"Sequence name for WBGene00022689(math-48). History: Split into ZK250.14(WBGene00235354), ZK250.15(WBGene00235355). History of WBGene00022689: Split into ""WBGene00235354"" on 2013-09-27; Split into ""WBGene00235355"" on 2013-09-27"
K08F11.1,870.91,5.25,0.01,-165.91,Gene,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
Y24F12A.3,81.64,0.49,0.01,-165.88,Gene,Y24F12A.3,WBGene00012498,Public name for WBGene00012498. History: N.A.
ZK218.2,50.8,0.31,0.01,-165.86,Transposon,ZK218.2,,Sequence name for Suppressed gene WBGene00013936. Molecular name for Suppressed gene WBGene00013936. Public name for Suppressed gene WBGene00013936. History of WBGene00013936: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F31D5.6,352.15,2.13,0.01,-165.13,Gene,F31D5.6,WBGene00017949,"Public name for WBGene00017949. History: Split into F31D5.7(WBGene00206414). History of WBGene00017949: Split into ""WBGene00206414"" on 2011-02-28"
Y76A2B.3,189.25,1.15,0.01,-164.8,Gene,Y76A2B.3,WBGene00013575,Sequence name for WBGene00013575(acs-5). History: N.A.
C50B8.4,107.98,0.66,0.01,-164.56,Gene,C50B8.4,WBGene00008226,Public name for WBGene00008226. History: N.A.
T22F3.12,107.61,0.66,0.01,-164,Gene,T22F3.12,WBGene00044705,Public name for WBGene00044705. History: N.A.
C52E4.2,26.9,0.16,0.01,-164,Gene,C52E4.2,WBGene00003235,Sequence name for WBGene00003235(mif-2). History: N.A.
T02D1.1,18.18,0.11,0.01,-163.98,Transposon,T02D1.1,,Sequence name for Suppressed gene WBGene00011370. Molecular name for Suppressed gene WBGene00011370. Public name for Suppressed gene WBGene00011370. History of WBGene00011370: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C04E7.3,80.52,0.49,0.01,-163.62,Gene,C04E7.3,WBGene00015430,Public name for WBGene00015430. History: N.A.
Y53F4B.17,134.14,0.82,0.01,-163.54,Gene,Y53F4B.17,WBGene00013163,Public name for WBGene00013163. History: N.A.
W04A8.6,2593.61,15.91,0.01,-162.99,Gene,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
F14B6.1,53.43,0.33,0.01,-162.87,Gene,F14B6.1,WBGene00008782,Sequence name for WBGene00008782(sdz-14). History: N.A.
F13B6.3,26.72,0.16,0.01,-162.87,Gene,F13B6.3,WBGene00017418,Public name for WBGene00017418. History: N.A.
Y56A3A.33,133.4,0.82,0.01,-162.64,Gene,Y56A3A.33,WBGene00013244,Public name for WBGene00013244. History: N.A.
K09A9.6,133.22,0.82,0.01,-162.41,Gene,K09A9.6,WBGene00010703,Public name for WBGene00010703. History: N.A.
C36E8.3,238.79,1.48,0.01,-161.73,Gene,C36E8.3,WBGene00007982,Sequence name for WBGene00007982(pxd-1). History: N.A.
Y51A2D.5,26.53,0.16,0.01,-161.73,Gene,Y51A2D.5,WBGene00013074,Sequence name for WBGene00013074(hmit-1.2). History: N.A.
C53C7.3,26.35,0.16,0.01,-160.6,Gene,C53C7.3,WBGene00008279,Public name for WBGene00008279. History: N.A.
T27C4.5,11.37,0.07,0.01,-160.57,Pseudogene,T27C4.5,WBGene00023351,Public name for WBGene00023351. History: N.A.
M88.6,447.14,2.79,0.01,-160.34,Gene,M88.6,WBGene00003915,Sequence name for WBGene00003915(pan-1). History: N.A.
Y54G2A.20,157.71,0.98,0.01,-160.23,Gene,Y54G2A.20,WBGene00021885,Public name for WBGene00021885. History: N.A.
Y48G1BM.2,52.55,0.33,0.01,-160.18,Pseudogene,Y48G1BM.2,WBGene00021668,Public name for WBGene00021668. History: N.A.
F26D2.3,105.01,0.66,0.01,-160.04,Gene,F26D2.3,WBGene00009148,Public name for WBGene00009148. History: N.A.
Y102A11A.4,22.07,0.14,0.01,-159.89,Transposon,Y102A11A.4,,Sequence name for Suppressed gene WBGene00022414. Molecular name for Suppressed gene WBGene00022414. Public name for Suppressed gene WBGene00022414. History of WBGene00022414: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y113G7B.19,27.69,0.17,0.01,-159.56,Transposon,Y113G7B.19,,Public name for Dead gene WBGene00043922. History of WBGene00043922: Killed on 2004-10-04. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed.
T26G10.4,26.16,0.16,0.01,-159.47,Gene,T26G10.4,WBGene00012061,Public name for WBGene00012061. History: N.A.
K04B12.2,286.65,1.8,0.01,-158.86,Gene,K04B12.2,WBGene00010550,Public name for WBGene00010550. History: N.A.
Y77E11A.8,25.98,0.16,0.01,-158.34,Gene,Y77E11A.8,WBGene00022311,Public name for WBGene00022311. History: N.A.
M02F4.9,90.64,0.57,0.01,-157.87,Pseudogene,M02F4.9,WBGene00019739,Public name for WBGene00019739. History: N.A.
Y48E1B.11,51.76,0.33,0.01,-157.78,Gene,Y48E1B.11,WBGene00013009,Sequence name for WBGene00013009(fbxc-23). History: N.A.
C01B12.6,48.17,0.31,0.01,-157.26,Transposon,C01B12.6,,Sequence name for Suppressed gene WBGene00015289. Molecular name for Suppressed gene WBGene00015289. Public name for Suppressed gene WBGene00015289. History of WBGene00015289: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F47G9.4,25.79,0.16,0.01,-157.21,Gene,F47G9.4,WBGene00009831,Public name for WBGene00009831. History: N.A.
ZC64.3,25.79,0.16,0.01,-157.21,Gene,ZC64.3,WBGene00000441,Sequence name for WBGene00000441(ceh-18). History: N.A.
Y61A9LA.12,283.31,1.8,0.01,-157,Gene,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
ZK262.5,48.06,0.31,0.01,-156.89,Transposon,ZK262.5,,Sequence name for Suppressed gene WBGene00013952. Molecular name for Suppressed gene WBGene00013952. Public name for Suppressed gene WBGene00013952. History of WBGene00013952: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C01G12.1,77.18,0.49,0.01,-156.83,Gene,C01G12.1,WBGene00007242,Sequence name for WBGene00007242(madf-5). History: N.A.
F18A12.7,77.18,0.49,0.01,-156.83,Gene,F18A12.7,WBGene00017556,Public name for WBGene00017556. History: N.A.
C33E10.4,27.79,0.18,0.01,-156.75,Pseudogene,C33E10.4,WBGene00023246,Public name for WBGene00023246. History: N.A.
DC2.5,77.0,0.49,0.01,-156.46,Gene,DC2.5,WBGene00017082,Public name for WBGene00017082. History: N.A.
ZK250.5,256.23,1.64,0.01,-156.19,Gene,ZK250.5,WBGene00022688,"Sequence name for WBGene00022688(math-47). History: Split into ZK250.13(WBGene00235352). History of WBGene00022688: Split into ""WBGene00235352"" on 2013-09-27"
C33D9.8,25.6,0.16,0.01,-156.08,Gene,C33D9.8,WBGene00007901,"Public name for WBGene00007901. History: Split into C33D9.13(WBGene00194651). History of WBGene00007901: Split into ""WBGene00194651"" on 2009-06-04"
Y53F4B.5,765.15,4.92,0.01,-155.48,Gene,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
T13C5.6,254.93,1.64,0.01,-155.4,Gene,T13C5.6,WBGene00020486,Public name for WBGene00020486. History: N.A.
C34F6.7,203.72,1.31,0.01,-155.23,Gene,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
C49A1.8,26.35,0.17,0.01,-154.18,Transposon,C49A1.8,,Sequence name for Suppressed gene WBGene00008189. Molecular name for Suppressed gene WBGene00008189. Public name for Suppressed gene WBGene00008189. History of WBGene00008189: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
D1054.5,25.23,0.16,0.01,-153.82,Gene,D1054.5,WBGene00008372,Public name for WBGene00008372. History: N.A.
C02F4.2,50.09,0.33,0.01,-152.69,Gene,C02F4.2,WBGene00006527,Sequence name for WBGene00006527(tax-6). History: N.A.
F15D4.8,50.09,0.33,0.01,-152.69,Gene,F15D4.8,WBGene00001459,Sequence name for WBGene00001459(flp-16). History: N.A.
Y55F3AM.2,25.05,0.16,0.01,-152.69,Gene,Y55F3AM.2,WBGene00005903,Sequence name for WBGene00005903(srx-12). History: N.A.
W03A5.7,100.0,0.66,0.01,-152.4,Gene,W03A5.7,WBGene00001042,Sequence name for WBGene00001042(dnj-24). History: N.A.
F18C5.6,74.96,0.49,0.01,-152.31,Gene,F18C5.6,WBGene00005054,Sequence name for WBGene00005054(sra-28). History: N.A.
Y56A3A.14,174.78,1.15,0.01,-152.2,Gene,Y56A3A.14,WBGene00013233,Sequence name for WBGene00013233(sdz-33). History: Renamed on 2005-12-13
T05E8.2,574.05,3.77,0.01,-152.15,Gene,T05E8.2,WBGene00001859,Sequence name for WBGene00001859(hil-8). History: N.A.
H35N09.2,174.4,1.15,0.01,-151.88,Gene,H35N09.2,WBGene00019266,Public name for WBGene00019266. History: N.A.
E01G4.5,696.87,4.59,0.01,-151.72,Gene,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
F09G2.1,99.45,0.66,0.01,-151.56,Gene,F09G2.1,WBGene00017310,Public name for WBGene00017310. History: N.A.
Y87G2A.17,74.59,0.49,0.01,-151.56,Gene,Y87G2A.17,WBGene00013603,Sequence name for WBGene00013603(soem-1). History: N.A.
ZC239.21,49.72,0.33,0.01,-151.56,Gene,ZC239.21,WBGene00044372,Public name for WBGene00044372. History: N.A.
T12B5.11,495.2,3.28,0.01,-150.93,Gene,T12B5.11,WBGene00020457,Sequence name for WBGene00020457(fbxa-67). History: N.A.
ZK1010.4,74.21,0.49,0.01,-150.8,Gene,ZK1010.4,WBGene00014178,Public name for WBGene00014178. History: N.A.
K02F2.6,73.47,0.49,0.01,-149.29,Gene,K02F2.6,WBGene00004778,Sequence name for WBGene00004778(ser-3). History: N.A.
C30F12.5,48.98,0.33,0.01,-149.29,Gene,C30F12.5,WBGene00016264,Public name for WBGene00016264. History: N.A.
W06B3.1,24.49,0.16,0.01,-149.29,Gene,W06B3.1,WBGene00012295,Sequence name for WBGene00012295(nmat-1). History: N.A.
