spermatogenesis genes,Input,Suggested Match,History
T01H3.5,T01H3.5,WBGene00011351,Public name for WBGene00011351. History: N.A.
T02E1.6,T02E1.6,WBGene00011378,Public name for WBGene00011378. History: N.A.
T02E1.7,T02E1.7,WBGene00011379,Public name for WBGene00011379. History: N.A.
T02H6.4,T02H6.4,WBGene00020174,Public name for WBGene00020174. History: N.A.
T03F1.5,T03F1.5,WBGene00020187,Sequence name for WBGene00020187(gsp-4). History: N.A.
T04A6.3,T04A6.3,WBGene00020202,"Public name for WBGene00020202. History: Split into nsph-4.3(WBGene00194734). History of WBGene00020202: Split into ""WBGene00194734"" on 2009-08-18"
T04A8.13,T04A8.13,WBGene00011414,"Public name for WBGene00011414. History: Split into T04A8.18(WBGene00119203). History of WBGene00011414: Split into ""WBGene00119203"" on 2008-08-26"
T04A8.3,T04A8.3,WBGene00011405,Sequence name for WBGene00011405(clec-155). History: N.A.
T04B2.2,T04B2.2,WBGene00001487,Sequence name for WBGene00001487(frk-1). History: N.A.
T04F3.3,T04F3.3,WBGene00011438,Public name for WBGene00011438. History: N.A.
T05A7.6,T05A7.6,WBGene00020223,Public name for WBGene00020223. History: N.A.
T05C12.1,T05C12.1,WBGene00011466,Public name for WBGene00011466. History: N.A.
T05C12.3,T05C12.3,WBGene00011467,Sequence name for WBGene00011467(decr-1.3). History: N.A.
T05D4.5,T05D4.5,WBGene00011478,Public name for WBGene00011478. History: N.A.
T05F1.5,T05F1.5,WBGene00011491,Public name for WBGene00011491. History: N.A.
T05F1.8,T05F1.8,WBGene00011493,Public name for WBGene00011493. History: N.A.
T05H4.2,T05H4.2,WBGene00020265,Sequence name for WBGene00020265(fbxa-196). History: N.A.
T06C10.3,T06C10.3,WBGene00020289,Public name for WBGene00020289. History: N.A.
T06C10.6,T06C10.6,WBGene00002208,Sequence name for WBGene00002208(kin-26). History: N.A.
T06D4.4,T06D4.4,WBGene00020293,Sequence name for WBGene00020293(nep-20). History: N.A.
T06E4.5,T06E4.5,WBGene00011533,Public name for WBGene00011533. History: N.A.
T08B2.11,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
T08B2.12,T08B2.12,WBGene00020350,Public name for WBGene00020350. History: N.A.
T08B6.4,T08B6.4,WBGene00020353,Public name for WBGene00020353. History: N.A.
T08B6.5,T08B6.5,WBGene00020354,Sequence name for WBGene00020354(sgnh-1). History: N.A.
T08G11.2,T08G11.2,WBGene00044684,"Public name for WBGene00044684. History: Split into ""WBGene00001198"" on 2005-11-29"
T08H10.4,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
T09A12.1,T09A12.1,WBGene00020372,Public name for WBGene00020372. History: N.A.
T09B4.7,T09B4.7,WBGene00020381,Public name for WBGene00020381. History: N.A.
T09F5.10,T09F5.10,WBGene00011669,Public name for WBGene00011669. History: N.A.
T10E9.4,T10E9.4,WBGene00020414,Public name for WBGene00020414. History: N.A.
T10E9.6,T10E9.6,WBGene00020416,Public name for WBGene00020416. History: N.A.
T11F8.4,T11F8.4,WBGene00020435,Public name for WBGene00020435. History: N.A.
T13A10.1,T13A10.1,WBGene00020468,Public name for WBGene00020468. History: N.A.
T13A10.11,T13A10.11,WBGene00006416,"Sequence name for WBGene00006416(sams-5). History: Renamed on 2008-09-10. Public name for Dead gene WBGene00020470. History of WBGene00020470: Merged into ""WBGene00006416"" on 2004-05-28"
T13F2.10,T13F2.10,WBGene00003466,Sequence name for WBGene00003466(msp-79). History: N.A.
T13F2.11,T13F2.11,WBGene00003465,Sequence name for WBGene00003465(msp-78). History: N.A.
T13F2.12,T13F2.12,WBGene00011749,Sequence name for WBGene00011749(ssp-36). History: N.A.
T13F2.9,T13F2.9,WBGene00011748,Public name for WBGene00011748. History: N.A.
T13H10.1,T13H10.1,WBGene00002193,Sequence name for WBGene00002193(kin-5). History: N.A.
T14D7.3,T14D7.3,WBGene00044062,"Sequence name for WBGene00044062(snb-6). History: Renamed on 2010-03-26. Public name for Dead gene WBGene00011769. History of WBGene00011769: Merged into ""WBGene00044062"" on 2005-10-05"
T14G10.8,T14G10.8,WBGene00011777,Public name for WBGene00011777. History: N.A.
T15B12.2,T15B12.2,WBGene00020531,Public name for WBGene00020531. History: N.A.
T15H9.4,T15H9.4,WBGene00011789,Public name for WBGene00011789. History: N.A.
T15H9.5,T15H9.5,WBGene00011790,Public name for WBGene00011790. History: N.A.
T16A9.3,T16A9.3,WBGene00011793,Public name for WBGene00011793. History: N.A.
T16A9.5,T16A9.5,WBGene00011795,Public name for WBGene00011795. History: N.A.
T16G12.7,T16G12.7,WBGene00011808,Public name for WBGene00011808. History: N.A.
T20F5.5,T20F5.5,WBGene00020627,Public name for WBGene00020627. History: N.A.
T20H4.2,T20H4.2,WBGene00020635,Sequence name for WBGene00020635(ztf-31). History: N.A.
T21E12.5,T21E12.5,WBGene00020656,Public name for WBGene00020656. History: N.A.
T21G5.1,T21G5.1,WBGene00020659,Public name for WBGene00020659. History: N.A.
T21G5.4,T21G5.4,WBGene00020661,Sequence name for WBGene00020661(smz-2). History: N.A.
T22A3.6,T22A3.6,WBGene00011909,"Public name for WBGene00011909. History: Split into T22A3.12(WBGene00206474). History of WBGene00011909: Split into ""WBGene00206474"" on 2011-04-11"
T22B3.3,T22B3.3,WBGene00011911,Public name for WBGene00011911. History: N.A.
T22C1.8,T22C1.8,WBGene00011918,Public name for WBGene00011918. History: N.A.
T22H9.3,T22H9.3,WBGene00020707,Sequence name for WBGene00020707(wago-10). History: N.A.
T23B3.3,T23B3.3,WBGene00020711,"Sequence name for WBGene00020711(rmd-5). History: Split into T23B3.8(WBGene00255605). History of WBGene00020711: Split into ""WBGene00255605"" on 2014-12-15"
T23B3.5,T23B3.5,WBGene00020713,Public name for WBGene00020713. History: N.A.
T23B7.1,T23B7.1,WBGene00020715,Sequence name for WBGene00020715(nspd-4). History: N.A.
T23F11.2,T23F11.2,WBGene00011954,Public name for WBGene00011954. History: N.A.
T23F6.3,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
T25B9.2,T25B9.2,WBGene00012008,Public name for WBGene00012008. History: N.A.
T25B9.5,T25B9.5,WBGene00012011,Public name for WBGene00012011. History: N.A.
T25B9.6,T25B9.6,WBGene00012012,Public name for WBGene00012012. History: N.A.
T26A5.1,T26A5.1,WBGene00007060,"Sequence name for WBGene00007060(wht-6). History: Renamed on 2007-06-04. Public name for Dead gene WBGene00020818. History of WBGene00020818: Merged into ""WBGene00007060"" on 2005-10-05"
T27A3.3,T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
T27A3.4,T27A3.4,WBGene00020840,Sequence name for WBGene00020840(spch-3). History: N.A.
T27A3.5,T27A3.5,WBGene00020841,Public name for WBGene00020841. History: N.A.
T27E4.6,T27E4.6,WBGene00020864,Sequence name for WBGene00020864(oac-50). History: N.A.
T27E7.1,T27E7.1,WBGene00012087,Public name for WBGene00012087. History: N.A.
T27F6.1,T27F6.1,WBGene00012102,Public name for WBGene00012102. History: N.A.
T28C12.3,T28C12.3,WBGene00020890,Sequence name for WBGene00020890(fbxa-202). History: N.A.
T28C6.5,T28C6.5,WBGene00012120,Public name for WBGene00012120. History: N.A.
T28F4.3,T28F4.3,WBGene00012138,Public name for WBGene00012138. History: N.A.
T28H11.1,T28H11.1,WBGene00006053,Sequence name for WBGene00006053(ssq-4). History: N.A.
T28H11.5,T28H11.5,WBGene00006051,Sequence name for WBGene00006051(ssq-2). History: N.A.
T28H11.6,T28H11.6,WBGene00006040,Sequence name for WBGene00006040(ssp-11). History: N.A.
T28H11.7,T28H11.7,WBGene00020905,Public name for WBGene00020905. History: N.A.
W01B11.2,W01B11.2,WBGene00020914,Sequence name for WBGene00020914(sulp-6). History: N.A.
W01B6.2,W01B6.2,WBGene00012169,Sequence name for WBGene00012169(ttbk-4). History: N.A.
W01B6.4,W01B6.4,WBGene00012171,Public name for WBGene00012171. History: N.A.
W01B6.5,W01B6.5,WBGene00012172,Public name for WBGene00012172. History: N.A.
W01B6.6,W01B6.6,WBGene00012173,Public name for WBGene00012173. History: N.A.
W01C9.4,W01C9.4,WBGene00012177,Sequence name for WBGene00012177(decr-1.2). History: N.A.
W01D2.3,W01D2.3,WBGene00012180,Public name for WBGene00012180. History: N.A.
W02A2.8,W02A2.8,WBGene00012191,Public name for WBGene00012191. History: N.A.
W02B12.12,W02B12.12,WBGene00012207,Public name for WBGene00012207. History: N.A.
W02B12.7,W02B12.7,WBGene00002227,"Sequence name for WBGene00002227(klp-17). History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
W02D9.5,W02D9.5,WBGene00012211,Sequence name for WBGene00012211(ssp-37). History: N.A.
W03A5.2,W03A5.2,WBGene00020967,Public name for WBGene00020967. History: N.A.
W03B1.9,W03B1.9,WBGene00020978,Public name for WBGene00020978. History: N.A.
W03C9.1,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
W03D8.10,W03D8.10,WBGene00020991,Public name for WBGene00020991. History: N.A.
W03D8.5,W03D8.5,WBGene00020987,Public name for WBGene00020987. History: N.A.
W03F11.3,W03F11.3,WBGene00021006,Sequence name for WBGene00021006(dct-9). History: N.A.
W03F11.4,W03F11.4,WBGene00021007,Public name for WBGene00021007. History: N.A.
W03F9.3,W03F9.3,WBGene00021001,Public name for WBGene00021001. History: N.A.
W03G1.2,W03G1.2,WBGene00021010,Public name for WBGene00021010. History: N.A.
W03G9.5,W03G9.5,WBGene00021016,Public name for WBGene00021016. History: N.A.
W04E12.4,W04E12.4,WBGene00012249,Public name for WBGene00012249. History: N.A.
W06A7.5,W06A7.5,WBGene00012294,Sequence name for WBGene00012294(nspa-8). History: N.A.
W06D4.2,W06D4.2,WBGene00012296,Sequence name for WBGene00012296(spe-46). History: N.A.
W08D2.8,W08D2.8,WBGene00002204,Sequence name for WBGene00002204(kin-21). History: N.A.
W09C3.2,W09C3.2,WBGene00021110,Public name for WBGene00021110. History: N.A.
W09C3.6,W09C3.6,WBGene00021113,Sequence name for WBGene00021113(gsp-3). History: N.A.
W09C3.7,W09C3.7,WBGene00021114,Public name for WBGene00021114. History: N.A.
W09C3.8,W09C3.8,WBGene00021115,Public name for WBGene00021115. History: N.A.
W09D6.4,W09D6.4,WBGene00012357,Public name for WBGene00012357. History: N.A.
Y106G6A.4,Y106G6A.4,WBGene00013696,Public name for WBGene00013696. History: N.A.
Y106G6D.3,Y106G6D.3,WBGene00013700,Public name for WBGene00013700. History: N.A.
Y106G6E.3,Y106G6E.3,WBGene00013707,Public name for WBGene00013707. History: N.A.
Y106G6G.1,Y106G6G.1,WBGene00013710,Public name for WBGene00013710. History: N.A.
Y106G6G.4,Y106G6G.4,WBGene00013713,Public name for WBGene00013713. History: N.A.
Y106G6H.13,Y106G6H.13,WBGene00013723,Public name for WBGene00013723. History: N.A.
Y110A7A.12,Y110A7A.12,WBGene00004959,Sequence name for WBGene00004959(spe-5). History: Renamed on 2012-04-24
Y113G7C.1,Y113G7C.1,WBGene00013771,Public name for WBGene00013771. History: N.A.
Y116A8A.6,Y116A8A.6,WBGene00013776,Public name for WBGene00013776. History: N.A.
Y116A8A.7,Y116A8A.7,WBGene00013777,Public name for WBGene00013777. History: N.A.
Y116A8C.24,Y116A8C.24,WBGene00013801,Public name for WBGene00013801. History: N.A.
Y116A8C.37,Y116A8C.37,WBGene00013810,Public name for WBGene00013810. History: N.A.
Y116A8C.38,Y116A8C.38,WBGene00013811,Public name for WBGene00013811. History: N.A.
Y116F11B.7,Y116F11B.7,WBGene00013823,Public name for WBGene00013823. History: N.A.
Y18D10A.21,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
Y1A5A.1,Y1A5A.1,WBGene00012379,Public name for WBGene00012379. History: N.A.
Y22D7AR.12,Y22D7AR.12,WBGene00021265,Public name for WBGene00021265. History: N.A.
Y23H5B.9,Y23H5B.9,WBGene00021280,Sequence name for WBGene00021280(nspd-8). History: N.A.
Y24D9B.1,Y24D9B.1,WBGene00021287,Public name for WBGene00021287. History: N.A.
Y27F2A.3,Y27F2A.3,WBGene00005552,Sequence name for WBGene00005552(sri-40). History: N.A.
Y32F6A.2,Y32F6A.2,WBGene00004909,Sequence name for WBGene00004909(snf-10). History: N.A.
Y37D8A.5,Y37D8A.5,WBGene00012547,Public name for WBGene00012547. History: N.A.
Y37D8A.8,Y37D8A.8,WBGene00012549,Public name for WBGene00012549. History: N.A.
Y37E11B.10,Y37E11B.10,WBGene00021381,Public name for WBGene00021381. History: N.A.
Y38F1A.1,Y38F1A.1,WBGene00012605,Public name for WBGene00012605. History: N.A.
Y38F1A.7,Y38F1A.7,WBGene00012609,Public name for WBGene00012609. History: N.A.
Y38H8A.3,Y38H8A.3,WBGene00012637,Public name for WBGene00012637. History: N.A.
Y38H8A.4,Y38H8A.4,WBGene00012638,Public name for WBGene00012638. History: N.A.
Y39B6A.30,Y39B6A.30,WBGene00012689,Public name for WBGene00012689. History: N.A.
Y39G10AR.15,Y39G10AR.15,WBGene00021471,"Public name for WBGene00021471. History: Split into Y39G10AR.32(WBGene00219275). History of WBGene00021471: Split into ""WBGene00219275"" on 2011-10-03"
Y39G10AR.16,Y39G10AR.16,WBGene00021472,Public name for WBGene00021472. History: N.A.
Y39G8C.2,Y39G8C.2,WBGene00012731,Public name for WBGene00012731. History: N.A.
Y40C5A.3,Y40C5A.3,WBGene00021496,Sequence name for WBGene00021496(daf-42). History: N.A.
Y40H4A.2,Y40H4A.2,WBGene00012741,Public name for WBGene00012741. History: N.A.
Y41C4A.7,Y41C4A.7,WBGene00012754,Public name for WBGene00012754. History: N.A.
Y43C5A.4,Y43C5A.4,WBGene00012784,Public name for WBGene00012784. History: N.A.
Y43C5B.2,Y43C5B.2,WBGene00012785,Public name for WBGene00012785. History: N.A.
Y43C5B.3,Y43C5B.3,WBGene00012786,Public name for WBGene00012786. History: N.A.
Y43F8A.2,Y43F8A.2,WBGene00012809,Public name for WBGene00012809. History: N.A.
Y43F8C.5,Y43F8C.5,WBGene00012827,Public name for WBGene00012827. History: N.A.
Y43F8C.9,Y43F8C.9,WBGene00012831,Public name for WBGene00012831. History: N.A.
Y44A6D.5,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
Y45F10B.2,Y45F10B.2,WBGene00012870,Public name for WBGene00012870. History: N.A.
Y45F10B.3,Y45F10B.3,WBGene00012871,Public name for WBGene00012871. History: N.A.
Y45F10B.8,Y45F10B.8,WBGene00012872,Public name for WBGene00012872. History: N.A.
Y46C8AL.1,Y46C8AL.1,WBGene00021579,Sequence name for WBGene00021579(clec-73). History: N.A.
Y46G5A.14,Y46G5A.14,WBGene00012905,Public name for WBGene00012905. History: N.A.
Y46G5A.25,Y46G5A.25,WBGene00004903,Sequence name for WBGene00004903(snf-4). History: N.A.
Y46G5A.30,Y46G5A.30,WBGene00004904,Sequence name for WBGene00004904(snf-5). History: N.A.
Y47D3A.22,Y47D3A.22,WBGene00012933,Sequence name for WBGene00012933(mib-1). History: N.A.
Y47D9A.3,Y47D9A.3,WBGene00021630,Public name for WBGene00021630. History: N.A.
Y47D9A.5,Y47D9A.5,WBGene00021632,Public name for WBGene00021632. History: N.A.
Y47G6A.26,Y47G6A.26,WBGene00021650,Public name for WBGene00021650. History: N.A.
Y47G6A.3,Y47G6A.3,WBGene00021633,Public name for WBGene00021633. History: N.A.
Y49E10.10,Y49E10.10,WBGene00013033,Public name for WBGene00013033. History: N.A.
Y49E10.19,Y49E10.19,WBGene00013038,Sequence name for WBGene00013038(ani-1). History: N.A.
Y49F6B.8,Y49F6B.8,WBGene00021720,Public name for WBGene00021720. History: N.A.
Y4C6A.1,Y4C6A.1,WBGene00021151,Public name for WBGene00021151. History: N.A.
Y50E8A.12,Y50E8A.12,WBGene00013055,Public name for WBGene00013055. History: N.A.
Y50E8A.2,Y50E8A.2,WBGene00013047,Public name for WBGene00013047. History: N.A.
Y51B9A.5,Y51B9A.5,WBGene00013087,Public name for WBGene00013087. History: N.A.
Y52D5A.2,Y52D5A.2,WBGene00021793,Public name for WBGene00021793. History: N.A.
Y53C10A.10,Y53C10A.10,WBGene00013138,"Public name for WBGene00013138. History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
Y53C10A.2,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
Y53C10A.9,Y53C10A.9,WBGene00000023,Sequence name for WBGene00000023(abt-5). History: N.A.
Y53F4B.11,Y53F4B.11,WBGene00013158,Public name for WBGene00013158. History: N.A.
Y53F4B.35,Y53F4B.35,WBGene00001779,Sequence name for WBGene00001779(gst-31). History: N.A.
Y53F4B.36,Y53F4B.36,WBGene00013175,Public name for WBGene00013175. History: N.A.
Y53G8AR.3,Y53G8AR.3,WBGene00021811,Sequence name for WBGene00021811(ral-1). History: N.A.
Y53G8AR.6,Y53G8AR.6,WBGene00021813,Public name for WBGene00021813. History: N.A.
Y53G8AR.7,Y53G8AR.7,WBGene00021814,Sequence name for WBGene00021814(mfsd-8). History: N.A.
Y54E2A.5,Y54E2A.5,WBGene00013190,Public name for WBGene00013190. History: N.A.
Y54E2A.7,Y54E2A.7,WBGene00013192,Public name for WBGene00013192. History: N.A.
Y54E2A.9,Y54E2A.9,WBGene00013194,Public name for WBGene00013194. History: N.A.
Y57A10B.7,Y57A10B.7,WBGene00013279,Public name for WBGene00013279. History: N.A.
Y57G11A.2,Y57G11A.2,WBGene00013290,Public name for WBGene00013290. History: N.A.
Y57G11B.3,Y57G11B.3,WBGene00013296,"Public name for WBGene00013296. History: Split into glb-34(WBGene00077763). History of WBGene00013296: Split into ""WBGene00077763"" on 2008-05-23"
Y57G11C.8,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
Y57G7A.5,Y57G7A.5,WBGene00021968,Public name for WBGene00021968. History: N.A.
Y57G7A.6,Y57G7A.6,WBGene00021969,Public name for WBGene00021969. History: N.A.
Y59E9AL.1,Y59E9AL.1,WBGene00021992,Sequence name for WBGene00021992(thn-6). History: N.A.
Y59E9AL.3,Y59E9AL.3,WBGene00021993,Sequence name for WBGene00021993(nsph-4.2). History: N.A.
Y59E9AL.5,Y59E9AL.5,WBGene00021995,Public name for WBGene00021995. History: N.A.
Y59E9AL.6,Y59E9AL.6,WBGene00021996,Sequence name for WBGene00021996(cylc-1). History: N.A.
Y59E9AR.7,Y59E9AR.7,WBGene00022002,Public name for WBGene00022002. History: N.A.
Y65B4A.9,Y65B4A.9,WBGene00022032,Public name for WBGene00022032. History: N.A.
Y66A7A.4,Y66A7A.4,WBGene00013424,Public name for WBGene00013424. History: N.A.
Y67A6A.1,Y67A6A.1,WBGene00013449,Public name for WBGene00013449. History: N.A.
Y69A2AR.19,Y69A2AR.19,WBGene00022090,Public name for WBGene00022090. History: N.A.
Y69A2AR.27,Y69A2AR.27,,Public name for Dead gene WBGene00022098. History of WBGene00022098: Killed on 2013-09-04. Remark: This has no evidence. A gene on the opposite strand is being created with RNASeq evidence.
Y69A2AR.6,Y69A2AR.6,WBGene00022077,Sequence name for WBGene00022077(vamp-7). History: N.A.
Y69A2AR.9,Y69A2AR.9,WBGene00022079,"Public name for Dead gene WBGene00022080. History of WBGene00022080: Merged into ""WBGene00022079"" on 2012-08-17"
Y69E1A.1,Y69E1A.1,WBGene00013473,Public name for WBGene00013473. History: N.A.
Y69E1A.2,Y69E1A.2,WBGene00013474,Sequence name for WBGene00013474(nsph-3.1). History: N.A.
Y69E1A.3,Y69E1A.3,WBGene00013475,Public name for WBGene00013475. History: N.A.
Y69E1A.4,Y69E1A.4,WBGene00013476,Public name for WBGene00013476. History: N.A.
Y69E1A.8,Y69E1A.8,WBGene00013478,Public name for WBGene00013478. History: N.A.
Y6E2A.9,Y6E2A.9,WBGene00012402,Sequence name for WBGene00012402(sfxn-1.3). History: N.A.
Y70C5C.5,Y70C5C.5,WBGene00013495,Sequence name for WBGene00013495(clec-236). History: N.A.
Y71G12B.27,Y71G12B.27,WBGene00022162,Public name for WBGene00022162. History: N.A.
Y73B6A.1,Y73B6A.1,WBGene00022228,Public name for WBGene00022228. History: N.A.
Y73B6A.2,Y73B6A.2,WBGene00022229,Public name for WBGene00022229. History: N.A.
Y73F8A.12,Y73F8A.12,WBGene00013521,Public name for WBGene00013521. History: N.A.
Y73F8A.14,Y73F8A.14,WBGene00013523,Public name for WBGene00013523. History: N.A.
Y73F8A.15,Y73F8A.15,WBGene00013524,Public name for WBGene00013524. History: N.A.
Y73F8A.20,Y73F8A.20,WBGene00013526,Public name for WBGene00013526. History: N.A.
Y76B12C.4,Y76B12C.4,WBGene00022298,Public name for WBGene00022298. History: N.A.
Y77E11A.10,Y77E11A.10,WBGene00000546,"Sequence name for WBGene00000546(clp-6). History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
Y80D3A.8,Y80D3A.8,WBGene00013586,Public name for WBGene00013586. History: N.A.
Y81G3A.1,Y81G3A.1,WBGene00013590,Public name for WBGene00013590. History: N.A.
ZC116.2,ZC116.2,WBGene00013854,Sequence name for WBGene00013854(cyc-2.2). History: N.A.
ZC168.6,ZC168.6,WBGene00013858,Sequence name for WBGene00013858(ssp-34). History: N.A.
ZC262.1,ZC262.1,WBGene00022578,Public name for WBGene00022578. History: N.A.
ZC317.6,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
ZC412.5,ZC412.5,WBGene00013886,Public name for WBGene00013886. History: N.A.
ZC412.6,ZC412.6,WBGene00013887,Sequence name for WBGene00013887(nspa-5). History: N.A.
ZC412.7,ZC412.7,WBGene00013888,Sequence name for WBGene00013888(nspa-3). History: N.A.
ZC412.9,ZC412.9,WBGene00013890,Public name for WBGene00013890. History: N.A.
ZC477.1,ZC477.1,WBGene00006052,Sequence name for WBGene00006052(ssq-3). History: N.A.
ZC477.7,ZC477.7,WBGene00022621,Public name for WBGene00022621. History: N.A.
ZC513.10,ZC513.10,WBGene00022630,Sequence name for WBGene00022630(fbxa-223). History: N.A.
ZC513.3,ZC513.3,WBGene00022628,Public name for WBGene00022628. History: N.A.
ZC581.2,ZC581.2,WBGene00022632,Public name for WBGene00022632. History: N.A.
ZC581.6,ZC581.6,WBGene00006625,"Sequence name for WBGene00006625(try-7). History: Split into ZC581.10(WBGene00195178). History of WBGene00006625: Split into ""WBGene00195178"" on 2010-06-23"
ZC581.7,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
ZK1098.6,ZK1098.6,WBGene00014223,Public name for WBGene00014223. History: N.A.
ZK1127.2,ZK1127.2,WBGene00022849,Sequence name for WBGene00022849(acs-6). History: N.A.
ZK1225.4,ZK1225.4,WBGene00014238,Public name for WBGene00014238. History: N.A.
ZK1225.5,ZK1225.5,WBGene00014239,Public name for WBGene00014239. History: N.A.
ZK1225.6,ZK1225.6,WBGene00006048,Sequence name for WBGene00006048(ssp-31). History: N.A.
ZK1248.17,ZK1248.17,WBGene00022884,Public name for WBGene00022884. History: N.A.
ZK1248.4,ZK1248.4,WBGene00022875,Public name for WBGene00022875. History: N.A.
ZK1248.5,ZK1248.5,WBGene00022876,Public name for WBGene00022876. History: N.A.
ZK1248.6,ZK1248.6,WBGene00003457,Sequence name for WBGene00003457(msp-64). History: N.A.
ZK1251.1,ZK1251.1,WBGene00014240,Sequence name for WBGene00014240(htas-1). History: N.A.
ZK1251.3,ZK1251.3,WBGene00014241,Public name for WBGene00014241. History: N.A.
ZK1251.6,ZK1251.6,WBGene00003463,Sequence name for WBGene00003463(msp-76). History: N.A.
ZK1290.6,ZK1290.6,WBGene00022888,Sequence name for WBGene00022888(rnh-1.1). History: N.A.
ZK1290.7,ZK1290.7,WBGene00022889,Public name for WBGene00022889. History: N.A.
ZK1290.9,ZK1290.9,WBGene00022890,Sequence name for WBGene00022890(fbxa-224). History: N.A.
ZK1307.3,ZK1307.3,WBGene00014246,Public name for WBGene00014246. History: N.A.
ZK1307.4,ZK1307.4,WBGene00014247,Public name for WBGene00014247. History: N.A.
ZK250.6,ZK250.6,WBGene00022689,"Sequence name for WBGene00022689(math-48). History: Split into ZK250.14(WBGene00235354), ZK250.15(WBGene00235355). History of WBGene00022689: Split into ""WBGene00235354"" on 2013-09-27; Split into ""WBGene00235355"" on 2013-09-27"
ZK265.3,ZK265.3,WBGene00013956,Sequence name for WBGene00013956(nsph-2). History: N.A.
ZK353.3,ZK353.3,WBGene00022699,Public name for WBGene00022699. History: N.A.
ZK353.4,ZK353.4,WBGene00022700,Public name for WBGene00022700. History: N.A.
ZK354.1,ZK354.1,WBGene00003458,Sequence name for WBGene00003458(msp-65). History: N.A.
ZK354.11,ZK354.11,WBGene00003452,Sequence name for WBGene00003452(msp-59). History: N.A.
ZK354.2,ZK354.2,WBGene00022705,Public name for WBGene00022705. History: N.A.
ZK354.3,ZK354.3,WBGene00022706,Public name for WBGene00022706. History: N.A.
ZK354.4,ZK354.4,WBGene00003468,Sequence name for WBGene00003468(msp-113). History: N.A.
ZK354.5,ZK354.5,WBGene00003444,Sequence name for WBGene00003444(msp-51). History: N.A.
ZK354.6,ZK354.6,WBGene00022707,Public name for WBGene00022707. History: N.A.
ZK354.7,ZK354.7,WBGene00022708,Public name for WBGene00022708. History: N.A.
ZK354.8,ZK354.8,WBGene00022709,Public name for WBGene00022709. History: N.A.
ZK354.9,ZK354.9,WBGene00022710,Public name for WBGene00022710. History: N.A.
ZK418.2,ZK418.2,WBGene00022732,Public name for WBGene00022732. History: N.A.
ZK484.5,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
ZK484.6,ZK484.6,WBGene00022752,Public name for WBGene00022752. History: N.A.
ZK484.7,ZK484.7,WBGene00022753,Public name for WBGene00022753. History: N.A.
ZK484.8,ZK484.8,WBGene00022754,Sequence name for WBGene00022754(nspd-1). History: N.A.
ZK507.1,ZK507.1,WBGene00013978,Public name for WBGene00013978. History: N.A.
ZK512.8,ZK512.8,WBGene00013987,Public name for WBGene00013987. History: N.A.
ZK520.5,ZK520.5,WBGene00000878,Sequence name for WBGene00000878(cyn-2). History: N.A.
ZK546.3,ZK546.3,WBGene00022760,Public name for WBGene00022760. History: N.A.
ZK546.6,ZK546.6,WBGene00003470,Sequence name for WBGene00003470(msp-152). History: N.A.
ZK546.7,ZK546.7,WBGene00022763,Public name for WBGene00022763. History: N.A.
ZK550.5,ZK550.5,WBGene00013999,Sequence name for WBGene00013999(phyh-1). History: N.A.
ZK593.9,ZK593.9,WBGene00014005,Public name for WBGene00014005. History: N.A.
ZK617.3,ZK617.3,WBGene00004971,Sequence name for WBGene00004971(spe-17). History: N.A.
ZK622.1,ZK622.1,WBGene00022780,Public name for WBGene00022780. History: N.A.
ZK637.12,ZK637.12,WBGene00014029,Public name for WBGene00014029. History: N.A.
ZK637.15,ZK637.15,WBGene00014032,Public name for WBGene00014032. History: N.A.
ZK666.2,ZK666.2,WBGene00014042,Public name for WBGene00014042. History: N.A.
ZK673.6,ZK673.6,WBGene00014062,Public name for WBGene00014062. History: N.A.
ZK783.3,ZK783.3,WBGene00022818,Public name for WBGene00022818. History: N.A.
ZK795.2,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
ZK84.2,ZK84.2,WBGene00022650,Public name for WBGene00022650. History: N.A.
ZK84.5,ZK84.5,WBGene00022652,Public name for WBGene00022652. History: N.A.
ZK858.2,ZK858.2,WBGene00014116,Public name for WBGene00014116. History: N.A.
