Gene,Location,PD1/CON1 ratio,PD2/CON2 ratio,fold change,"Composite 
Chi-square
P-value",CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,...10,Dauer/L3 ratio,L3 rpm,Dauer rpm,Input,Suggested Match,History
F02H6.2,chrIV:14196416-14198792,1.423772339,0.649124726,1.036448533,-0.014425702,24.36953507,40.89933976,34.69666996,26.54877271,,0.95,6.25672598,5.921378307,F02H6.2,WBGene00008535,Public name for WBGene00008535. History: N.A.
F02H6.4,chrIV:14216080-14219276,0.919343096,1.925330833,1.422336964,-4.21e-05,125.9707306,53.00360041,115.8103214,102.0494661,,0.87,24.14211414,21.09491022,F02H6.4,WBGene00008537,Public name for WBGene00008537. History: N.A.
F07A5.2,chrI:7352441-7353699,0.433615674,1.082383664,0.757999669,-0.303042204,3.871795292,9.406305437,1.678871127,10.18123135,,0.78,1.137586542,0.888206746,F07A5.2,WBGene00008541,Public name for WBGene00008541. History: N.A.
F07C6.4,chrIV:12805899-12813604,0.878551239,1.57161628,1.225083759,-0.143481261,11.00246337,13.72645737,9.666227828,21.57272386,,0.71,4.576200666,3.256758069,F07C6.4,WBGene00008555,Public name for WBGene00008555. History: N.A.
F07H5.8,chrII:8801016-8804809,,7.29606704,7.29606704,-0.6227554,0.0,0.050649337,0.0,0.36954096,,,,,,,
F08F8.2,chrIII:7359422-7362026,1.159035608,0.835264102,0.997149855,-0.281114881,36.21267362,24.649344,41.97177818,20.58871219,,0.91,13.08224523,11.84275661,F08F8.2,WBGene00017268,Sequence name for WBGene00017268(hmgr-1). History: N.A.
F08G2.7,chrII:13836151-13841045,0.809001245,1.713836503,1.261418874,-0.570097928,1.138763321,1.108913549,0.921260944,1.900496518,,0.77,0.007583721,0.005805319,F08G2.7,WBGene00008578,Public name for WBGene00008578. History: N.A.
F09C8.2,chrX:16140431-16146942,1.198763779,1.016309863,1.107536821,0.002749318,479.3324082,377.0185465,574.6063291,383.1676672,,0.87,113.2943266,98.8130005,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
F09E5.3,chrII:5373967-5375141,1.228577744,0.360253809,0.794415776,-0.001163646,13.43740719,31.66241356,16.50889942,11.40650507,,0.4,9.669485606,3.8488959,F09E5.3,WBGene00017283,Public name for WBGene00017283. History: N.A.
F09F9.5,chrX:4117926-4119463,0.0,,0.0,-0.374556869,0.227752664,0.0,0.0,0.287954001,,,,,,,
F10D11.4,chrI:8441594-8442326,1.228577744,0.48243386,0.855505802,-0.692359706,0.227752664,0.633116715,0.279811855,0.30543694,,,,,,,
F10G7.6,chrII:4692024-4693061,,0.857660196,0.857660196,-0.634614093,0.0,0.316558357,0.18654133,0.271499503,,0.0,0.663592339,0.0,F10G7.6,WBGene00017370,Public name for WBGene00017370. History: N.A.
F10G7.9,chrII:4703241-4706476,1.189575276,1.329776549,1.259675913,0.049103503,50.21946247,47.87769299,59.73983094,63.66663336,,1.0,20.47655775,20.42875516,F10G7.9,WBGene00017372,Public name for WBGene00017372. History: N.A.
F11A10.5,chrIV:12094341-12096655,1.053998003,2.030529565,1.542263784,0.001689044,25.75123465,27.27466806,27.14174989,55.38201989,,0.89,15.92621159,14.21130794,F11A10.5,WBGene00008686,Public name for WBGene00008686. History: N.A.
F12D9.2,chrX:8646546-8647038,0.682543191,0.268018811,0.475281001,0.045394525,6.149321935,7.090907203,4.197177818,1.900496518,,3.54,8.531899064,30.19902937,F12D9.2,WBGene00017401,Public name for WBGene00017401. History: N.A.
F12E12.1,chrII:3741877-3742376,1.087593413,0.556654454,0.822123933,-0.093838817,13.89291252,19.75324149,15.10984014,10.99572986,,0.52,1.137586542,0.592137831,F12E12.1,WBGene00017402,Public name for WBGene00017402. History: N.A.
F13D12.6,chrII:11739371-11742791,0.888758399,10.72075244,5.804755422,-0.110044105,0.973124958,0.303896023,0.864872979,3.257994031,,2.68,2.322572333,6.217447223,F13D12.6,WBGene00008741,Sequence name for WBGene00008741(ctsa-1.2). History: N.A.
F14B6.3,chrI:12230405-12232295,0.737888796,5.392891628,3.065390212,-0.104193857,0.77245664,0.796611255,0.569987101,4.296038171,,0.0,0.568793271,0.0,F14B6.3,WBGene00008784,Public name for WBGene00008784. History: N.A.
F14F11.1,chrII:8305679-8321403,0.923375276,1.339184037,1.131279656,-0.091112395,57.5254919,45.4366763,53.11761695,60.84807159,,0.6,21.04535103,12.73096336,F14F11.1,WBGene00008819,Sequence name for WBGene00008819(shw-1). History: N.A.
F14H12.8,chrX:4362910-4364619,,0.268018811,0.268018811,-0.384138455,0.0,0.506493372,0.279811855,0.135749751,,,,,,,
F16B12.6,chrX:14102280-14107827,0.494176523,1.234510888,0.864343705,-0.003001892,40.7677269,33.42856253,20.14645352,41.2679244,,0.27,13.08224523,3.552826984,F16B12.6,WBGene00008882,Public name for WBGene00008882. History: N.A.
F17C11.10,chrV:10961819-10965515,1.206638856,0.818858882,1.012748869,-0.134848427,51.01659679,35.91882152,61.55860799,29.41244603,,0.92,28.43966355,26.05406455,F17C11.10,WBGene00008921,Sequence name for WBGene00008921(ctf-4). History: N.A.
F17C11.4,chrV:10951956-10953448,0.81905183,1.043713443,0.931382636,-0.886054896,0.683257993,1.329545101,0.559623709,1.387664094,,,,,,,
F17C8.7,chrIII:4736033-4737220,1.365086656,0.095584438,0.730335547,-0.031636283,0.341628996,5.917530977,0.466353184,0.565623873,,,,,,,
F17E9.5,chrIV:8345798-8346528,0.076786109,0.708416727,0.392601418,0.006287126,7.288085256,15.13830764,0.559623709,10.72423035,,,,,,,
F18A1.7,chrII:7662664-7663683,1.148453109,2.256499385,1.702476247,0.019528499,10.47662256,10.18413465,12.03190974,22.98049358,,3.57,3.981552897,14.21130794,F18A1.7,WBGene00017548,Public name for WBGene00017548. History: N.A.
F19B10.1,chrII:3683170-3684539,0.245715549,6.432451467,3.339083508,-0.225175872,1.138763321,0.126623343,0.279811855,0.814498508,,,,,,,
F19F10.9,chrV:7571930-7575655,1.11094796,0.530958223,0.820953092,-0.017757153,21.40875044,35.188627,23.78400763,18.68369086,,0.37,11.94465869,4.441033731,F19F10.9,WBGene00017605,Sequence name for WBGene00017605(snu-66). History: Renamed on 2021-04-19
F20A1.10,chrV:7052696-7053184,1.228577744,,1.228577744,-0.9417487,0.227752664,0.0,0.279811855,0.0,,,,,,,
F20H11.5,chrIII:6587803-6589338,,1.072075244,1.072075244,-0.9798975,0.0,0.253246686,0.0,0.271499503,,,,,,,
F21A3.5,chrV:15538231-15542889,1.169901799,0.905365603,1.037633701,-0.52089601,13.56789762,17.16803297,15.87310784,15.54334652,,0.47,5.164816382,2.405559937,F21A3.5,WBGene00008995,Sequence name for WBGene00008995(prde-1). History: N.A.
F21D5.4,chrIV:8738070-8738942,0.968686298,0.197487545,0.583086922,0.021504054,11.84313854,9.623374061,11.47228603,1.900496518,,6.77,1.706379813,11.5466877,F21D5.4,WBGene00009009,Public name for WBGene00009009. History: N.A.
F21D5.7,chrIV:8741377-8743688,1.406919675,1.883278839,1.645099257,0.020810742,14.12066518,12.66233429,19.86664167,23.84670622,,0.03,10.23827888,0.296068915,F21D5.7,WBGene00009012,Public name for WBGene00009012. History: N.A.
F21D9.4,chrV:19253878-19256681,2.017352291,0.159947988,1.088650139,-0.058398672,1.496450019,3.904074461,3.018866874,0.624448856,,4.64,2.510397541,11.64712109,F21D9.4,WBGene00009018,Public name for WBGene00009018. History: N.A.
F21H12.6,chrII:6092723-6097555,1.047216268,0.940800121,0.994008195,-0.645012503,47.82805949,40.39284639,50.08632196,38.00159479,,0.69,26.16449046,18.06020384,F21H12.6,WBGene00017686,Sequence name for WBGene00017686(tpp-2). History: N.A.
F22G12.4,chrI:13155259-13159315,0.882879145,1.645285005,1.264082075,-0.020687352,37.87326589,28.39130184,33.43751661,46.71178319,,0.22,12.70557611,2.775646082,F22G12.4,WBGene00009064,Public name for WBGene00009064. History: N.A.
F23C8.11,chrI:2449414-2451055,0.961495626,1.500905342,1.231200484,-0.695918703,2.619155639,1.266233429,2.518306691,1.900496518,,1.22,32.42121644,39.37716574,F23C8.11,WBGene00017739,Public name for WBGene00017739. History: N.A.
F23C8.9,chrI:2432592-2433614,1.116158866,0.880900988,0.998529927,-0.383229519,34.84615763,36.21427607,38.89384778,31.90119156,,0.31,2.843966355,0.888206746,F23C8.9,WBGene00017738,Sequence name for WBGene00017738(tipn-1). History: N.A.
F23D12.4,chrX:14444922-14446045,0.327396377,18.58257563,9.454986003,-0.380706921,0.25991339,0.029220869,0.085094702,0.542999005,,,,,,,
F23H11.3,chrIII:900124-901431,1.560293735,0.886851462,1.223572599,-0.173446737,11.38763321,17.44990261,17.76805276,15.47547165,,0.57,6.25672598,3.552826984,F23H11.3,WBGene00017759,Sequence name for WBGene00017759(sucl-2). History: N.A.
F23H11.7,chrIII:917120-919401,2.316745942,,2.316745942,-0.709377,0.265711518,0.0,0.61558608,0.0,,2.4,2.957725009,7.105653969,F23H11.7,WBGene00017762,Public name for WBGene00017762. History: N.A.
F25B4.5,chrV:5678583-5682617,1.255879472,0.817984668,1.03693207,-0.115396065,30.74660967,51.07985653,38.61403592,41.78253949,,1.5,14.21983177,21.31696191,F25B4.5,WBGene00017768,Sequence name for WBGene00017768(prp-39). History: N.A.
F25D7.4,chrI:10418224-10422467,0.860843077,1.125643737,0.993243407,-0.014888352,232.7715739,317.8041681,200.3797979,357.7342715,,4.51,32.46679271,146.5294408,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
F25D7.5,chrI:10422947-10429016,0.0,2.084200558,1.042100279,-0.466706527,0.227752664,0.295755915,0.0,0.616414643,,,,,,,
F25H2.5,chrI:10553102-10553902,1.194852081,0.813117335,1.003984708,-0.173383855,29.03846469,43.0730404,34.69666996,35.02343584,,3.17,16.49500486,52.25616356,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
F25H5.2,chrI:9179964-9180995,0.204762957,0.160811287,0.182787122,0.031608685,1.366515986,5.064933716,0.279811855,0.814498508,,,,,,,
F26A1.3,chrIII:4826871-4828884,0.0,0.071471683,0.035735841,0.027326254,0.911010657,3.798700287,0.0,0.271499503,,,,,,,
F26A1.4,chrIII:4818130-4818985,2.702871038,0.695400159,1.699135598,-0.211347594,1.138763321,4.685063688,3.0779304,3.257994031,,,,,,,
F26A3.4,chrI:7656979-7658288,2.310588319,0.860397804,1.585493062,-2.89e-09,64.90950931,55.72633024,149.979154,47.94681216,,0.62,31.85242317,19.83661733,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
F26F2.7,chrV:20576383-20585709,1.27129849,0.763118511,1.017208501,-0.061385667,34.67830096,48.87469177,44.08647166,37.297182,,0.39,16.82205587,6.529519847,F26F2.7,WBGene00009172,Public name for WBGene00009172. History: N.A.
F26F4.2,chrIII:4911223-4911911,0.0,0.391540524,0.195770262,0.010586219,3.416289964,7.280842217,0.0,2.850744777,,,,,,,
F28B4.3,chrX:3227495-3235398,0.373914966,3.592900819,1.983407892,-0.001954747,5.238311278,4.685063688,1.958682982,16.83296916,,1.82,1.137586542,2.072482408,F28B4.3,WBGene00017892,Public name for WBGene00017892. History: N.A.
F28D1.2,chrIV:12374681-12376089,1.228577744,,1.228577744,-0.9417487,0.227752664,0.0,0.279811855,0.0,,,,,,,
F28H6.4,chrX:14127802-14133408,0.591905877,0.442133726,0.517019801,7.72e-06,56.25490807,56.0489184,33.29761069,24.7811171,,0.28,9.669485606,2.664620238,F28H6.4,WBGene00009233,Public name for WBGene00009233. History: N.A.
F28H6.6,chrX:14117009-14125796,0.959790964,1.3836907,1.171740832,-0.24928054,43.57058693,17.87477483,41.81865562,24.7331597,,0.44,20.45014982,9.087616562,F28H6.6,WBGene00009234,Public name for WBGene00009234. History: N.A.
F29D10.1,chrI:8840625-8841120,2.457155489,0.178679207,1.317917348,-0.248693064,0.227752664,1.519480115,0.559623709,0.271499503,,,,,,,
F29G6.3,chrX:11511483-11518991,0.79496207,1.057825371,0.92639372,-0.683384055,3.871795292,10.66047951,3.0779304,11.27692569,,0.12,29.57725009,3.552826984,F29G6.3,WBGene00009259,Sequence name for WBGene00009259(hpo-34). History: N.A.
F29G9.1,chrV:6039480-6040565,0.887094687,2.110888865,1.498991776,-3.79e-06,24.94754856,52.01373711,22.13083778,109.7952185,,0.26,49.09514376,12.56730298,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
F31E9.6,chrV:17313593-17315093,0.846600494,0.558350209,0.702475352,0.001723462,67.1490771,63.37498313,56.84844187,35.38543508,,1.69,52.51857849,88.82067461,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
F32A7.4,chrI:14839891-14843090,1.412740156,1.727218855,1.569979506,0.015040563,16.49293944,19.20780638,23.30023784,33.17608535,,0.26,7.48978561,1.926533163,F32A7.4,WBGene00009305,Sequence name for WBGene00009305(metl-17). History: N.A.
F32B5.6,chrI:2668160-2672416,1.856670861,0.553876414,1.205273637,-9.57e-14,121.6199227,165.2725773,225.8081666,91.54058239,,1.71,60.29208672,103.180017,F32B5.6,WBGene00017979,Public name for WBGene00017979. History: N.A.
F32B6.9,chrIV:9903883-9905693,1.839944215,1.442213056,1.641078636,2.6e-10,119.6840251,97.3733507,220.2119295,140.4331177,,1.12,51.76018766,57.7334385,F32B6.9,WBGene00009323,Sequence name for WBGene00009323(best-13). History: N.A.
F32D1.9,chrV:4371427-4373797,1.15396776,0.93643982,1.04520379,-0.429321167,28.12745403,51.59901224,32.45817512,48.31936975,,1.0,14.21983177,14.21130794,F32D1.9,WBGene00017988,Sequence name for WBGene00017988(fipp-1). History: N.A.
F32D8.10,chrV:10906740-10909147,2.457155489,0.536037622,1.496596555,-0.471467264,0.455505329,0.506493372,1.119247418,0.271499503,,,,,,,
F33D11.7,chrI:5850082-5851831,0.0,0.060520344,0.030260172,0.031320855,1.480392318,2.616882336,0.0,0.158374619,,,,,,,
F35C11.4,chrII:8249851-8251650,2.047629574,0.536037622,1.291833598,-0.437834826,0.683257993,1.012986743,1.399059273,0.542999005,,2.08,0.568793271,1.184275661,F35C11.4,WBGene00009403,Public name for WBGene00009403. History: N.A.
F35E12.8,chrV:13749166-13751901,1.228577744,0.0,0.614288872,-0.205016997,0.227752664,1.519480115,0.279811855,0.0,,0.0,1.137586542,0.0,F35E12.8,WBGene00009432,Sequence name for WBGene00009432(cld-9). History: N.A.
F35E2.5,chrI:11741604-11743941,1.296170916,0.064496505,0.68033371,-0.002541067,2.084130012,10.52380683,2.701388706,0.678748757,,18.74,0.031599879,0.592137831,F35E2.5,WBGene00009412,Public name for WBGene00009412. History: N.A.
F36F12.8,chrV:2090680-2091615,0.746597245,1.202658846,0.974628045,-0.139321462,29.60784635,28.06817426,22.10513651,33.75643807,,1.62,9.669485606,15.69165251,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
F36H12.5,chrIV:5266854-5267557,0.81905183,1.409852376,1.114452103,-0.519952492,0.683257993,4.621752016,0.559623709,6.515988063,,0.0,0.568793271,0.0,F36H12.5,WBGene00018121,Public name for WBGene00018121. History: N.A.
F36H12.9,chrIV:5257058-5258297,0.0,0.213230437,0.106615218,0.001082617,1.59426865,15.27921663,0.0,3.257994031,,,,,,,
F36H5.4,chrII:1761841-1762909,0.655241464,2.287093855,1.471167659,-0.203419277,3.416289964,1.899350144,2.238494836,4.343992042,,,,,,,
F36H9.4,chrV:1776172-1779132,0.884990215,3.876548057,2.380769136,-0.78430559,0.015968423,0.04139621,0.014131898,0.160474397,,0.11,0.58459321,0.065793027,F36H9.4,WBGene00018112,Public name for WBGene00018112. History: N.A.
F37A4.4,chrIII:6713520-6717959,1.228577744,0.248597189,0.738587467,-0.221961713,0.911010657,2.912336887,1.119247418,0.723998764,,,,,,,
F37B4.10,chrV:2875801-2877634,2.150011053,0.345331919,1.247671486,-0.137228097,0.911010657,4.051946973,1.958682982,1.399266626,,2.6,0.568793271,1.480344577,F37B4.10,WBGene00018140,Public name for WBGene00018140. History: N.A.
F37C4.5,chrIV:3871824-3874410,0.81905183,1.148652048,0.983851939,-0.742812035,1.366515986,3.545453602,1.119247418,4.072492539,,9.37,0.568793271,5.329240477,F37C4.5,WBGene00018145,Public name for WBGene00018145. History: N.A.
F38A1.8,chrIV:1232900-1239823,1.02763933,0.686736746,0.857188038,-0.144809544,20.28427336,34.65058213,20.84491708,23.79582803,,1.79,9.100692335,16.28379035,F38A1.8,WBGene00009521,Public name for WBGene00009521. History: N.A.
F38E9.5,chrX:16446114-16451252,0.775943839,2.665604953,1.720774396,-0.100972773,4.327300621,2.892621379,3.357742254,7.710585874,,,,,,,
F38H4.6,chrIV:11847004-11847727,0.074459294,1.949227717,1.011843506,-0.056135035,2.505279307,2.785713544,0.18654133,5.429990052,,,,,,,
F39G3.3,chrV:4731768-4733670,1.904295504,0.892874919,1.398585211,-0.22536474,4.555053285,4.051946973,8.67416749,3.617881826,,4.95,1.137586542,5.625309392,F39G3.3,WBGene00018208,Public name for WBGene00018208. History: N.A.
F40E3.6,chrI:2650737-2651712,0.969567888,4.047652473,2.508610181,-9.83e-07,20.3459046,12.93668478,19.72673574,52.36320416,,3.9,6.541122616,25.51127164,F40E3.6,WBGene00018233,Public name for WBGene00018233. History: N.A.
F40F4.6,chrX:3235758-3243614,1.075005526,0.379878735,0.72744213,-0.071340324,3.644042628,11.18506204,3.917365963,4.248967216,,0.17,3.412759626,0.592137831,F40F4.6,WBGene00018237,Sequence name for WBGene00018237(irg-7). History: Renamed on 2016-09-23
F40F9.3,chrV:9715189-9716345,0.0,1.786792074,0.893396037,-0.397288869,0.455505329,0.303896023,0.0,0.542999005,,,,,,,
F40G9.9,chrIII:167383-171450,1.035924468,0.871441399,0.953682933,-0.934814769,1.412066518,0.318970279,1.462794257,0.277963906,,0.0,2.315049474,0.007049401,F40G9.9,WBGene00018245,"Public name for WBGene00018245. History: Split into F40G9.18(WBGene00189954). History of WBGene00018245: Split into ""WBGene00189954"" on 2009-04-20"
F40H3.6,chrII:6186966-6187312,1.690856165,3.906274226,2.798565196,4.44e-07,2.239567789,14.09378105,3.786787004,55.05417365,,0.27,41.37023038,11.25061878,F40H3.6,WBGene00018252,Public name for WBGene00018252. History: N.A.
F40H6.1,chrIII:6057002-6058389,0.240649256,0.081423434,0.161036345,0.049346977,1.16273725,3.334414781,0.279811855,0.271499503,,,,,,,
F41E6.11,chrV:8620000-8621290,,2.233407277,2.233407277,-0.6205331,0.0,0.520983894,0.0,1.163569219,,,,,,,
F41E6.5,chrV:8603540-8605446,,0.178679207,0.178679207,-0.231586617,0.0,0.759740057,0.559623709,0.135749751,,1.3,1.137586542,1.480344577,F41E6.5,WBGene00018286,Public name for WBGene00018286. History: N.A.
F42G8.10,chrIV:8128928-8130237,1.186892504,0.560844192,0.873868348,-0.031139053,13.67359513,31.46590071,16.22908756,17.64746767,,0.9,10.23827888,9.178136376,F42G8.10,WBGene00018361,Public name for WBGene00018361. History: N.A.
F43C11.9,chrII:2337912-2340747,0.729191863,,0.729191863,-0.353103423,1.91864356,0.0,1.399059273,0.557288567,,0.0,0.088201066,0.0,F43C11.9,WBGene00018386,Sequence name for WBGene00018386(enri-1). History: Renamed on 2020-01-28
F43G6.2,chrII:11782411-11782949,0.982862195,1.157841171,1.070351683,-0.89874463,2.277526643,1.055194609,2.238494836,1.221747762,,,,,,,
F44D12.3,chrIV:10022234-10022677,0.118894624,1.072298787,0.595596706,-0.176922676,2.353444121,9.201296167,0.279811855,9.866538718,,,,,,,
F44D12.4,chrIV:10026382-10027637,,1.608112867,1.608112867,-0.7887121,0.0,0.506493372,0.0,0.814498508,,,,,,,
F44D12.5,chrIV:10029027-10029474,0.156839719,1.127978427,0.642409073,-0.231368849,1.784062461,9.749997404,0.279811855,10.99778674,,,,,,,
F44D12.7,chrIV:10022320-10022650,0.136508638,1.072298787,0.604403713,-0.216383389,2.049773978,9.201296167,0.279811855,9.866538718,,,,,,,
F44D12.7,chrIV:10022320-10022650,0.136508638,1.072298787,0.604403713,-0.216383389,2.049773978,9.201296167,0.279811855,9.866538718,,,,,,,
F44E2.6,chrIII:8844478-8845092,1.131584765,4.908976119,3.020280442,0.009982935,8.654601242,2.405843515,9.793414908,11.81022836,,0.0,0.568793271,0.0,F44E2.6,WBGene00018419,Public name for WBGene00018419. History: N.A.
F45H11.6,chrI:10382756-10384278,,0.579296738,0.579296738,-0.438015124,0.0,1.031075901,0.279811855,0.597298906,,5.6,2.275173084,12.73096336,F45H11.6,WBGene00077521,Sequence name for WBGene00077521(maf-1). History: N.A.
F46B6.6,chrV:9783149-9786840,5.469534348,0.0,2.734767174,-0.232047654,0.051158259,0.926410818,0.279811855,0.0,,0.1,2.915065514,0.296068915,F46B6.6,WBGene00009771,Public name for WBGene00009771. History: N.A.
F47A4.5,chrX:9833313-9837973,0.299653108,0.378355921,0.339004515,0.005290745,9.337859234,10.41590627,2.798118545,3.940919808,,3.94,3.981552897,15.69165251,F47A4.5,WBGene00009801,Sequence name for WBGene00009801(ipla-2). History: N.A.
F47H4.1,chrV:17348634-17350144,0.750488667,1.378751091,1.064619879,-0.139102563,25.1666694,11.53605308,18.88730018,15.90534577,,1.04,3.12836299,3.256758069,F47H4.1,WBGene00009834,Sequence name for WBGene00009834(lsy-27). History: N.A.
F48B9.8,chrX:2174022-2176383,1.132428182,0.71471683,0.923572506,-0.339801865,26.19155639,8.357140632,29.66005658,5.972989057,,0.37,12.7978486,4.737102646,F48B9.8,WBGene00018593,Public name for WBGene00018593. History: N.A.
F48G7.4,chrV:620216-621504,1.290752731,0.813106419,1.051929575,-0.013826684,112.5098161,48.74998702,145.2223525,39.63892738,,1.07,30.14604336,32.27151178,F48G7.4,WBGene00018615,Public name for WBGene00018615. History: N.A.
F49C12.5,chrIV:9304919-9307142,2.457155489,,2.457155489,-0.7084001,0.227752664,0.0,0.559623709,0.0,,,,,,,
F49C12.7,chrIV:9309102-9312904,,2.255458256,2.255458256,-0.7026766,0.0,0.300936076,0.0,0.678748757,,,,,,,
F49E12.8,chrII:8392766-8394133,0.0,2.144150489,1.072075244,-0.372498408,0.455505329,0.253246686,0.0,0.542999005,,0.0,0.568793271,0.0,F49E12.8,WBGene00009901,Public name for WBGene00009901. History: N.A.
F49E8.7,chrIV:7554472-7556431,1.713542643,0.850535284,1.282038964,-0.14708552,8.654601242,10.16152327,14.83002829,8.642734076,,1.35,12.51345196,16.87592818,F49E8.7,WBGene00018638,Public name for WBGene00018638. History: N.A.
F52C9.7,chrIII:5308558-5311099,0.958749922,1.361548653,1.160149287,-0.182374151,24.36953507,28.86386243,23.36428985,39.299553,,0.21,14.21983177,2.960689154,F52C9.7,WBGene00003391,"Sequence name for WBGene00003391(mog-3). History: N.A.. Public name for Dead gene WBGene00018677. History of WBGene00018677: Merged into ""WBGene00003391"" on 2012-08-14"
F52D10.2,chrX:11589643-11591643,0.614288872,2.144150489,1.379219681,-0.624387835,0.455505329,0.253246686,0.279811855,0.542999005,,,,,,,
F52D2.6,chrX:1974907-1980932,1.20822175,1.469523936,1.338872843,0.00015408,36.53987061,141.0174077,44.14826643,207.228456,,0.34,506.6689799,172.0160398,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
F52H2.7,chrX:2566551-2572648,0.60404131,1.925564521,1.264802915,-0.131766626,10.25601472,2.258989814,6.195056564,4.349830639,,0.17,1.723042612,0.294855625,F52H2.7,WBGene00018719,Sequence name for WBGene00018719(ccd-5). History: N.A.
F53A10.2,chrII:1197379-1230786,0.586289187,2.303114959,1.444702073,-0.07080955,8.343653718,3.102523882,4.891793958,7.145469162,,1.15,3.212409022,3.68408973,F53A10.2,WBGene00018734,Public name for WBGene00018734. History: N.A.
F53A3.6,chrIII:1927665-1931327,0.546034553,0.378164439,0.462099496,0.009249166,8.199095913,16.53138094,4.476989672,6.251580399,,2.54,5.356136824,13.61917011,F53A3.6,WBGene00004128,"Public name for Dead gene WBGene00018722. History of WBGene00018722: Merged into ""WBGene00004128"" on 2009-08-28"
F53B6.4,chrI:8947328-8948703,1.762304141,0.765768032,1.264036087,-0.055794637,13.89291252,7.090907203,24.48353727,5.429990052,,2.2,5.119139439,11.25061878,F53B6.4,WBGene00009959,Public name for WBGene00009959. History: N.A.
F53C11.1,chrV:13775729-13777746,0.614288872,2.144150489,1.379219681,-0.541193051,0.455505329,0.506493372,0.279811855,1.08599801,,0.0,0.568793271,0.0,F53C11.1,WBGene00009971,Public name for WBGene00009971. History: N.A.
F53C3.1,chrII:3912039-3913364,0.307144436,3.445956266,1.876550351,-0.041951186,0.911010657,2.36363565,0.279811855,8.144985078,,,,,,,
F53C3.13,chrII:3920587-3927981,1.117906156,1.897953962,1.507930059,0.018664482,13.52553722,18.21379668,15.12028132,34.56894757,,1.0,14.31615066,14.3593424,F53C3.13,WBGene00018756,Sequence name for WBGene00018756(plpp-1.1). History: N.A.
F53F4.3,chrV:13592114-13592960,1.740485138,2.339073303,2.03977922,0.033804481,5.466063942,4.642855822,9.513603053,10.8599801,,0.87,1.706379813,1.480344577,F53F4.3,WBGene00009987,Sequence name for WBGene00009987(tbcb-1). History: N.A.
F53G12.8,chrI:113806-114681,0.674816287,1.657754224,1.166285256,-9.15e-07,108.6380208,92.56166367,73.31070588,153.4444889,,1.52,32.42121644,49.14743995,F53G12.8,WBGene00018773,Public name for WBGene00018773. History: N.A.
F53H4.6,chrX:15852855-15860522,1.224062936,0.405819026,0.814940981,-0.00347399,14.20463463,29.96763735,17.38736677,12.16143741,,1.0,12.07413424,12.04225821,F53H4.6,WBGene00010011,Public name for WBGene00010011. History: N.A.
F54A3.2,chrII:2243655-2247052,0.786589409,1.967992552,1.37729098,-0.051780324,18.67571847,8.293828961,14.69012236,16.32219362,,2.57,0.576085769,1.480344577,F54A3.2,WBGene00018781,Public name for WBGene00018781. History: N.A.
F54A3.4,chrII:2220000-2223541,0.131633349,0.151822435,0.141727892,0.008528118,0.531422807,9.388417358,0.069952964,1.425372389,,0.38,0.7746424,0.296068915,F54A3.4,WBGene00018783,Sequence name for WBGene00018783(cbs-2). History: N.A.
F54A3.6,chrII:2225819-2232471,1.224221077,1.810683628,1.517452353,0.044693607,10.70437522,13.86607429,13.10452176,25.1070737,,1.2,7.410563515,8.882067461,F54A3.6,WBGene00018785,Public name for WBGene00018785. History: N.A.
F54B11.11,chrX:13578703-13581649,0.793301268,1.965471445,1.379386356,-0.703527216,0.469494125,0.276269089,0.372450284,0.542999005,,0.13,0.568793271,0.074017229,F54B11.11,WBGene00010034,Public name for WBGene00010034. History: N.A.
F54B3.1,chrII:10251573-10268089,0.982270441,1.491073515,1.236671978,-0.009214378,105.7394687,68.04234057,103.8647546,101.4561319,,0.99,49.51887142,48.93534713,F54B3.1,WBGene00010013,Public name for WBGene00010013. History: N.A.
F54B3.2,chrII:10268094-10271071,0.0,1.377572153,0.688786077,-0.152347188,1.483389087,2.792044711,0.0,3.846243044,,,,,,,
F54B3.3,chrII:10248910-10251087,1.294277089,0.775585571,1.03493133,-0.139033908,21.29487411,27.65453809,27.56146767,21.44846071,,0.05,11.94465869,0.592137831,F54B3.3,WBGene00010015,Sequence name for WBGene00010015(atad-3). History: N.A.
F54C8.4,chrIII:9441458-9443527,0.62771031,1.38639837,1.00705434,-0.001489441,67.75641761,45.56329964,42.53140189,63.16888437,,1.4,20.47655775,28.71868479,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
