#Table S4: Genes depleted of 22G-RNAs in rrf-1, rrf-3 and ergo-1 mutants,,,,,,,
#Total Reads = number of antisense reads (including exon juntions) normalized to the number of perfect genome matches,,,,,,,,
#Normalized Reads = Total reads normalized to the sample size (reads per million), excluding structural RNA degradation products,,,,,,,
#Enrichment factor = mutant / (wild-type + mutant), using normalized reads,,,,,,,
#Wild-type sample size = 2.06692860050001 million reads,,,,,,,,
#ergo-1 sample size = 2.471996685 million reads,,,,,,,,
#rrf-3 sample size = 2.40395249619999 million reads,,,,,,,,
#rrf-1 sample size = 2.962051767 million reads,,,,,,,,
#Fold Depletion = Wild-type / mutant, using normalized reads,,,,,,,
#rrf-1 (260 genes),,,,,,,,
Cosmid Name,Gene ID,Wild-type Total Reads,Wild-type Normalized Reads,rrf-1 Total Reads,rrf-1 Normalized Reads ,Enrichment Factor,Fold Depletion,fold change,Input,Suggested Match,History
nhr-3,H01A20.1,270.0,130.63,143.0,48.28,0.27,2.71,0.36900369,nhr-3,WBGene00003602,Public name for WBGene00003602. History: N.A.
Y54E2A.6,Y54E2A.6,226.0,109.34,120.08,40.54,0.27,2.7,0.37037037,Y54E2A.6,WBGene00013189,"Public name for Dead gene WBGene00013191. History of WBGene00013191: Merged into ""WBGene00013189"" on 2008-11-27"
F49B2.6,F49B2.6,78.0,37.74,41.5,14.01,0.27,2.69,0.371747212,F49B2.6,WBGene00009865,Public name for WBGene00009865. History: N.A.
wts-1,T20F10.1,78.0,37.74,41.5,14.01,0.27,2.69,0.371747212,wts-1,WBGene00007047,Public name for WBGene00007047. History: Renamed on 2007-08-01
F55C9.3,F55C9.3,1170.72,566.41,630.75,212.94,0.27,2.66,0.37593985,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
mnp-1,B0285.7,234.0,113.21,127.0,42.88,0.27,2.64,0.378787879,mnp-1,WBGene00007139,Public name for WBGene00007139. History: N.A.
ZC53.1,ZC53.1,119.5,57.82,65.0,21.94,0.28,2.63,0.380228137,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
odr-1,R01E6.1,84.0,40.64,46.0,15.53,0.28,2.62,0.381679389,odr-1,WBGene00003848,Public name for WBGene00003848. History: N.A.
F15A4.2,F15A4.2,62.0,30.0,34.0,11.48,0.28,2.61,0.383141762,F15A4.2,WBGene00008838,Public name for WBGene00008838. History: N.A.
dgn-1,T21B6.1,151.0,73.06,83.0,28.02,0.28,2.61,0.383141762,dgn-1,WBGene00000961,Public name for WBGene00000961. History: N.A.
fbxa-63,Y119D3B.7,164.33,79.51,91.0,30.72,0.28,2.59,0.386100386,fbxa-63,WBGene00022485,Public name for WBGene00022485. History: N.A.
Y44A6B.3,Y44A6B.3,115.5,55.88,64.0,21.61,0.28,2.59,0.386100386,Y44A6B.3,WBGene00012848,Public name for WBGene00012848. History: N.A.
chs-2,F48A11.1,154.0,74.51,85.5,28.87,0.28,2.58,0.387596899,chs-2,WBGene00000497,Public name for WBGene00000497. History: N.A.. Other name for WBGene00000496(chs-1). History: N.A.
F34H10.3,F34H10.3,378.5,183.12,210.5,71.07,0.28,2.58,0.387596899,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
nhr-40,T03G6.2,60.0,29.03,33.5,11.31,0.28,2.57,0.389105058,nhr-40,WBGene00003630,"Public name for WBGene00003630. History: Split into T03G6.7(WBGene00303074). History of WBGene00003630: Split into ""WBGene00303074"" on 2018-03-02"
F02E11.4,F02E11.4,757.0,366.24,423.5,142.98,0.28,2.56,0.390625,F02E11.4,WBGene00017182,Public name for WBGene00017182. History: N.A.
fbxb-94,Y63D3A.11,54.5,26.37,30.5,10.3,0.28,2.56,0.390625,fbxb-94,WBGene00013410,Public name for WBGene00013410. History: N.A.
C34C12.5,C34C12.5,209.0,101.12,117.0,39.5,0.28,2.56,0.390625,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
fbxa-97,C18B12.5,273.5,132.32,154.0,51.99,0.28,2.55,0.392156863,fbxa-97,WBGene00007667,Public name for WBGene00007667. History: N.A.
C27C7.7,C27C7.7,217.17,105.07,122.33,41.3,0.28,2.54,0.393700787,C27C7.7,WBGene00007769,Public name for WBGene00007769. History: N.A.
C04A2.1,C04A2.1,67.0,32.42,38.0,12.83,0.28,2.53,0.395256917,C04A2.1,WBGene00015410,Sequence name for WBGene00015410(tbc-6). History: N.A.
ZK402.5,ZK402.5,257.83,124.74,146.29,49.39,0.28,2.53,0.395256917,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
C06A5.4,C06A5.4,553.25,267.67,314.0,106.01,0.28,2.52,0.396825397,C06A5.4,,Sequence name for Suppressed gene WBGene00015502. Molecular name for Suppressed gene WBGene00015502. History of WBGene00015502: Suppressed on 2013-10-17. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
C34F6.7,C34F6.7,865.0,418.5,492.5,166.27,0.28,2.52,0.396825397,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
nhr-1,R09G11.2,604.54,292.48,344.61,116.34,0.28,2.51,0.398406375,nhr-1,WBGene00003600,Public name for WBGene00003600. History: N.A.
C04E7.3,C04E7.3,251.5,121.68,143.5,48.45,0.28,2.51,0.398406375,C04E7.3,WBGene00015430,Public name for WBGene00015430. History: N.A.
W05H12.2,W05H12.2,665.0,321.73,379.5,128.12,0.28,2.51,0.398406375,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
T20H12.1,T20H12.1,70.0,33.87,40.0,13.5,0.29,2.51,0.398406375,T20H12.1,WBGene00004751,"Public name for Dead gene WBGene00020643. History of WBGene00020643: Merged into ""WBGene00004751"" on 2014-11-13"
Y11D7A.19,Y11D7A.19,167.0,80.8,96.0,32.41,0.29,2.49,0.401606426,Y11D7A.19,WBGene00077756,Public name for WBGene00077756. History: N.A.
Y47D3B.11,Y47D3B.11,448.25,216.87,263.33,88.9,0.29,2.44,0.409836066,Y47D3B.11,WBGene00023404,Sequence name for WBGene00023404(plr-1). History: N.A.
gcy-28,T01A4.1,53.33,25.8,31.42,10.61,0.29,2.43,0.411522634,gcy-28,WBGene00020131,Public name for WBGene00020131. History: N.A.
tag-53,F33C8.1,378.5,183.12,223.56,75.47,0.29,2.43,0.411522634,tag-53,WBGene00006432,Other name for WBGene00006432(atrn-1). History: Renamed on 2018-06-07
haf-4,W04C9.1,289.0,139.82,171.0,57.73,0.29,2.42,0.41322314,haf-4,WBGene00001814,Public name for WBGene00001814. History: N.A.
ZK856.4,ZK856.4,111.5,53.94,66.0,22.28,0.29,2.42,0.41322314,ZK856.4,WBGene00014105,Public name for WBGene00014105. History: N.A.
jip-1,F56D12.4,241.0,116.6,143.03,48.29,0.29,2.41,0.414937759,jip-1,WBGene00002176,Public name for WBGene00002176. History: N.A.
W06A11.4,W06A11.4,354.03,171.28,210.73,71.14,0.29,2.41,0.414937759,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
T20D4.6,T20D4.6,114.08,55.19,67.92,22.93,0.29,2.41,0.414937759,T20D4.6,WBGene00020612,Sequence name for WBGene00020612(arrd-22). History: N.A.
Y20F4.4,Y20F4.4,620.76,300.33,369.63,124.79,0.29,2.41,0.414937759,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
T24A6.20,T24A6.20,197.0,95.31,118.5,40.01,0.3,2.38,0.420168067,T24A6.20,WBGene00020756,Public name for WBGene00020756. History: N.A.
C53A5.2,C53A5.2,82.5,39.91,49.75,16.8,0.3,2.38,0.420168067,C53A5.2,WBGene00008263,"Public name for WBGene00008263. History: Split into C53A5.16(WBGene00194706), C53A5.17(WBGene00194707). History of WBGene00008263: Split into ""WBGene00194706"" on 2009-08-04; Split into ""WBGene00194707"" on 2009-08-04"
Y71G10AL.1,Y71G10AL.1,63.0,30.48,38.0,12.83,0.3,2.38,0.420168067,Y71G10AL.1,WBGene00022134,Sequence name for WBGene00022134(hrpu-2). History: N.A.
K09A11.1,K09A11.1,262.25,126.88,158.5,53.51,0.3,2.37,0.421940928,K09A11.1,WBGene00010704,Public name for WBGene00010704. History: N.A.
T25G12.11,T25G12.11,255.67,123.69,155.0,52.33,0.3,2.36,0.423728814,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
Y110A2AL.4,Y110A2AL.4,123.1,59.56,74.7,25.22,0.3,2.36,0.423728814,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
C24A1.2,C24A1.2,346.23,167.51,210.69,71.13,0.3,2.36,0.423728814,C24A1.2,WBGene00016029,Sequence name for WBGene00016029(elf-1). History: N.A.
set-3,C07A9.7,141.0,68.22,86.06,29.05,0.3,2.35,0.425531915,set-3,WBGene00007403,Public name for WBGene00007403. History: N.A.
frs-3,Y60A3A.13,60.5,29.27,37.0,12.49,0.3,2.34,0.427350427,frs-3,WBGene00013361,Other name for WBGene00013361(fars-2). History: Renamed on 2010-01-29
F09C8.2,F09C8.2,1373.67,664.59,842.64,284.48,0.3,2.34,0.427350427,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
F52D2.6,F52D2.6,289.77,140.19,178.45,60.25,0.3,2.33,0.429184549,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
C33A12.7,C33A12.7,181.5,87.81,112.0,37.81,0.3,2.32,0.431034483,C33A12.7,WBGene00007886,Sequence name for WBGene00007886(ethe-1). History: N.A.
F39C12.1,F39C12.1,431.0,208.52,266.0,89.8,0.3,2.32,0.431034483,F39C12.1,WBGene00018193,Public name for WBGene00018193. History: N.A.
Y37H9A.1,Y37H9A.1,150.53,72.83,93.27,31.49,0.3,2.31,0.432900433,Y37H9A.1,WBGene00012576,Public name for WBGene00012576. History: N.A.
ego-2,Y53H1C.2,232.5,112.49,144.53,48.79,0.3,2.31,0.432900433,ego-2,WBGene00001215,Public name for WBGene00001215. History: N.A.
C48D1.1,C48D1.1,119.5,57.82,74.5,25.15,0.3,2.3,0.434782609,C48D1.1,WBGene00008177,Public name for WBGene00008177. History: N.A.
eat-16,C16C2.2,490.5,237.31,309.83,104.6,0.31,2.27,0.440528634,eat-16,WBGene00001145,Public name for WBGene00001145. History: N.A.
K02B7.3,K02B7.3,123.0,59.51,78.0,26.33,0.31,2.26,0.442477876,K02B7.3,WBGene00010491,Public name for WBGene00010491. History: N.A.
pab-2,F18H3.3,418.0,202.23,266.7,90.04,0.31,2.25,0.444444444,pab-2,WBGene00003903,Public name for WBGene00003903. History: N.A.
C02B8.2,C02B8.2,166.33,80.47,106.17,35.84,0.31,2.25,0.444444444,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
Y47D3A.1,Y47D3A.1,168.5,81.52,107.63,36.33,0.31,2.24,0.446428571,Y47D3A.1,WBGene00012922,Public name for WBGene00012922. History: N.A.
rnp-1,ZK863.7,61.0,29.51,39.0,13.17,0.31,2.24,0.446428571,rnp-1,WBGene00004384,Public name for WBGene00004384. History: N.A.
gfi-3,M163.4,170.0,82.25,109.33,36.91,0.31,2.23,0.448430493,gfi-3,WBGene00001583,Public name for WBGene00001583. History: N.A.
F45D11.10,F45D11.10,411.33,199.01,265.33,89.58,0.31,2.22,0.45045045,F45D11.10,WBGene00018456,Sequence name for WBGene00018456(fbxc-39). History: N.A.
F31A9.4,F31A9.4,416.83,201.67,269.17,90.87,0.31,2.22,0.45045045,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
obr-1,Y47D3A.17,58.0,28.06,37.5,12.66,0.31,2.22,0.45045045,obr-1,WBGene00012930,Public name for WBGene00012930. History: N.A.
F13C5.2,F13C5.2,645.83,312.46,418.5,141.29,0.31,2.21,0.452488688,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
Y55F3BR.2,Y55F3BR.2,515.5,249.4,335.0,113.1,0.31,2.21,0.452488688,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
Y53G8AM.8,Y53G8AM.8,225.0,108.86,146.33,49.4,0.31,2.2,0.454545455,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
fbxb-91,F12E12.8,210.5,101.84,137.0,46.25,0.31,2.2,0.454545455,fbxb-91,WBGene00044692,Public name for WBGene00044692. History: N.A.
Y55F3BL.1,Y55F3BL.1,86.0,41.61,56.5,19.07,0.31,2.18,0.458715596,Y55F3BL.1,WBGene00021935,Sequence name for WBGene00021935(mrpl-46). History: Split into Y55F3BL.4(WBGene00185088). History of WBGene00021935: N.A.
mdt-8,Y62F5A.1,85.0,41.12,56.0,18.91,0.31,2.18,0.458715596,mdt-8,WBGene00007013,Public name for WBGene00007013. History: N.A.
cutl-10,Y53H1B.1,109.0,52.74,72.0,24.31,0.32,2.17,0.460829493,cutl-10,WBGene00013180,Public name for WBGene00013180. History: N.A.
K07B1.7,K07B1.7,61.0,29.51,40.33,13.62,0.32,2.17,0.460829493,K07B1.7,WBGene00019467,Public name for WBGene00019467. History: N.A.
E01G4.5,E01G4.5,2478.5,1199.12,1647.83,556.31,0.32,2.16,0.462962963,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
dgk-2,F46H6.2,117.0,56.61,78.0,26.33,0.32,2.15,0.465116279,dgk-2,WBGene00000959,Public name for WBGene00000959. History: N.A.
T09B4.1,T09B4.1,60.0,29.03,40.0,13.5,0.32,2.15,0.465116279,T09B4.1,WBGene00020375,Sequence name for WBGene00020375(pigv-1). History: Renamed on 2013-11-11
F56D1.1,F56D1.1,242.0,117.08,162.0,54.69,0.32,2.14,0.46728972,F56D1.1,WBGene00018959,Public name for WBGene00018959. History: N.A.
fbxa-150,Y38H6C.11,759.5,367.45,508.5,171.67,0.32,2.14,0.46728972,fbxa-150,WBGene00012624,Public name for WBGene00012624. History: N.A.
ttn-1,W06H8.8,54.5,26.37,36.61,12.36,0.32,2.13,0.469483568,ttn-1,WBGene00006436,Public name for WBGene00006436. History: Renamed on 2005-12-13
B0205.8,B0205.8,56.5,27.34,38.0,12.83,0.32,2.13,0.469483568,B0205.8,WBGene00015022,Public name for WBGene00015022. History: N.A.
F22E5.13,F22E5.13,71.0,34.35,48.0,16.2,0.32,2.12,0.471698113,F22E5.13,WBGene00017711,Public name for WBGene00017711. History: N.A.
C50E3.12,C50E3.12,227.0,109.82,153.5,51.82,0.32,2.12,0.471698113,C50E3.12,WBGene00016823,Public name for WBGene00016823. History: N.A.
T08B2.7,T08B2.7,68.0,32.9,46.0,15.53,0.32,2.12,0.471698113,T08B2.7,WBGene00020347,Sequence name for WBGene00020347(ech-1.2). History: N.A.
nhr-146,Y41D4B.27,219.0,105.95,148.5,50.13,0.32,2.11,0.473933649,nhr-146,WBGene00045255,Public name for WBGene00045255. History: N.A.
F25B5.3,F25B5.3,63.0,30.48,42.75,14.43,0.32,2.11,0.473933649,F25B5.3,WBGene00017775,Public name for WBGene00017775. History: N.A.
pqn-70,T19B10.4,57.5,27.82,39.1,13.2,0.32,2.11,0.473933649,pqn-70,WBGene00004152,Public name for WBGene00004152. History: N.A.
Y116A8C.22,Y116A8C.22,190.5,92.17,129.67,43.78,0.32,2.11,0.473933649,Y116A8C.22,WBGene00013799,Sequence name for WBGene00013799(athp-3). History: N.A.
H04D03.3,H04D03.3,88.0,42.58,60.0,20.26,0.32,2.1,0.476190476,H04D03.3,WBGene00010364,Sequence name for WBGene00010364(ecps-2). History: N.A.
cnt-1,Y17G7B.15,52.0,25.16,35.5,11.98,0.32,2.1,0.476190476,cnt-1,WBGene00000565,Public name for WBGene00000565. History: Renamed on 2014-12-10
cdl-1,R06F6.1,68.0,32.9,46.5,15.7,0.32,2.1,0.476190476,cdl-1,WBGene00000411,Public name for WBGene00000411. History: N.A.
F33E2.5,F33E2.5,294.5,142.48,201.5,68.03,0.32,2.09,0.4784689,F33E2.5,WBGene00009361,Public name for WBGene00009361. History: N.A.
R05C11.3,R05C11.3,70.0,33.87,48.0,16.2,0.32,2.09,0.4784689,R05C11.3,WBGene00019875,Sequence name for WBGene00019875(mca-2). History: N.A.
T05G5.1,T05G5.1,118.0,57.09,81.0,27.35,0.32,2.09,0.4784689,T05G5.1,WBGene00011498,Public name for WBGene00011498. History: N.A.
pes-1,T28H11.4,265.5,128.45,182.5,61.61,0.32,2.08,0.480769231,pes-1,WBGene00003976,Public name for WBGene00003976. History: N.A.
Y57G7A.2,Y57G7A.2,125.0,60.48,86.0,29.03,0.32,2.08,0.480769231,Y57G7A.2,WBGene00021966,Public name for WBGene00021966. History: N.A.
T02C1.1,T02C1.1,172.0,83.22,119.0,40.17,0.33,2.07,0.483091787,T02C1.1,WBGene00011365,Public name for WBGene00011365. History: N.A.
F52C12.4,F52C12.4,89.5,43.3,62.0,20.93,0.33,2.07,0.483091787,F52C12.4,WBGene00018681,Sequence name for WBGene00018681(denn-4). History: N.A.
lact-9,Y45F10D.11,124.0,59.99,86.0,29.03,0.33,2.07,0.483091787,lact-9,WBGene00012890,Public name for WBGene00012890. History: N.A.
pab-1,Y106G6H.2,135.5,65.56,94.0,31.73,0.33,2.07,0.483091787,pab-1,WBGene00003902,Public name for WBGene00003902. History: N.A.
cdk-5,T27E9.3,67.5,32.66,46.83,15.81,0.33,2.07,0.483091787,cdk-5,WBGene00000407,Public name for WBGene00000407. History: N.A.
C44C10.5,C44C10.5,1909.0,923.59,1327.5,448.17,0.33,2.06,0.485436893,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
Y92H12A.5,Y92H12A.5,147.0,71.12,102.5,34.6,0.33,2.06,0.485436893,Y92H12A.5,WBGene00022361,Public name for WBGene00022361. History: N.A.
F23C8.8,F23C8.8,60.0,29.03,42.0,14.18,0.33,2.05,0.487804878,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
unc-40,T19B4.7,239.83,116.03,168.83,57.0,0.33,2.04,0.490196078,unc-40,WBGene00006776,Public name for WBGene00006776. History: Renamed on 2010-05-19; Renamed on 2010-08-27
Y106G6H.5,Y106G6H.5,52.0,25.16,37.0,12.49,0.33,2.01,0.497512438,Y106G6H.5,WBGene00013718,Sequence name for WBGene00013718(pdpr-1). History: N.A.
klf-1,F56F11.3,440.5,213.12,313.7,105.91,0.33,2.01,0.497512438,klf-1,WBGene00018990,Public name for WBGene00018990. History: N.A.
F11C3.1,F11C3.1,257.0,124.34,183.5,61.95,0.33,2.01,0.497512438,F11C3.1,WBGene00008695,Public name for WBGene00008695. History: N.A.
E01A2.4,E01A2.4,58.0,28.06,41.49,14.01,0.33,2.0,0.5,E01A2.4,WBGene00002696,"Sequence name for WBGene00002696(let-504). History: N.A.. Public name for Dead gene WBGene00017086. History of WBGene00017086: Merged into ""WBGene00002696"" on 2012-02-07"
C43H6.4,C43H6.4,67.0,32.42,48.0,16.2,0.33,2.0,0.5,C43H6.4,WBGene00016617,Public name for WBGene00016617. History: N.A.
