Germline enriched,Input,Suggested Match,History
Y45G12B.1,Y45G12B.1,WBGene00021562,Sequence name for WBGene00021562(nuo-5). History: Renamed on 2008-02-26
T22F3.3,T22F3.3,WBGene00020696,Sequence name for WBGene00020696(pygl-1). History: N.A.
T22F3.4,T22F3.4,WBGene00004422,Sequence name for WBGene00004422(rpl-11.1). History: Renamed on 2005-09-09
T27C4.4,T27C4.4,WBGene00003025,"Sequence name for WBGene00003025(lin-40). History: Renamed on 2007-03-01. Public name for Dead gene WBGene00001219. History of WBGene00001219: Merged into ""WBGene00003025"" on 2007-03-01"
Y39H10A.7,Y39H10A.7,WBGene00000498,Sequence name for WBGene00000498(chk-1). History: N.A.
C17E7.9,C17E7.9,WBGene00015903,Public name for WBGene00015903. History: N.A.
C17E7.4,C17E7.4,WBGene00015899,Public name for WBGene00015899. History: N.A.
Y45G5AL.1,Y45G5AL.1,WBGene00021554,Public name for WBGene00021554. History: N.A.
H43I07.2,H43I07.2,WBGene00019275,Sequence name for WBGene00019275(rpac-40). History: N.A.
D2063.3,D2063.3,WBGene00017062,Sequence name for WBGene00017062(glrx-3). History: N.A.
F32D1.2,F32D1.2,WBGene00017982,Sequence name for WBGene00017982(hpo-18). History: N.A.
F32D1.10,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
F32D1.5,F32D1.5,WBGene00017984,Sequence name for WBGene00017984(gmpr-1). History: N.A.
F32D1.7,F32D1.7,WBGene00017986,Public name for WBGene00017986. History: N.A.
K03B4.3,K03B4.3,WBGene00006392,Sequence name for WBGene00006392(taf-10). History: N.A.
K03B4.2,K03B4.2,WBGene00019354,Public name for WBGene00019354. History: N.A.
C18G1.5,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
C18G1.4,C18G1.4,WBGene00003994,"Sequence name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06. Public name for Dead gene WBGene00015983. History of WBGene00015983: Merged into ""WBGene00003994"" on 2005-09-06"
C37H5.8,C37H5.8,WBGene00002010,Sequence name for WBGene00002010(hsp-6). History: N.A.
T19H12.2,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
K11D12.2,K11D12.2,WBGene00004136,"Sequence name for WBGene00004136(pqn-51). History: Split into K11D12.14(WBGene00303069). History of WBGene00004136: Split into ""WBGene00303069"" on 2018-03-02"
B0238.10,B0238.10,WBGene00015074,Sequence name for WBGene00015074(natc-2). History: N.A.
B0238.9,B0238.9,WBGene00015073,Public name for WBGene00015073. History: N.A.
F08F3.2,F08F3.2,WBGene00017261,Sequence name for WBGene00017261(acl-6). History: N.A.
C24G6.8,C24G6.8,WBGene00016062,"Public name for WBGene00016062. History: Split into cox-16(WBGene00302991). History of WBGene00016062: Split into ""WBGene00302991"" on 2018-03-06"
CD4.6,CD4.6,WBGene00003927,Sequence name for WBGene00003927(pas-6). History: N.A.
F44E7.5,F44E7.5,WBGene00018427,Public name for WBGene00018427. History: N.A.
F44E7.9,F44E7.9,WBGene00018431,Public name for WBGene00018431. History: N.A.
R01B10.6,R01B10.6,WBGene00019808,Sequence name for WBGene00019808(seip-1). History: N.A.
F17A9.2,F17A9.2,WBGene00017534,Sequence name for WBGene00017534(cwf-19L1). History: N.A.
T05H4.11,T05H4.11,WBGene00020274,Public name for WBGene00020274. History: N.A.
T05H4.14,T05H4.14,WBGene00001513,Sequence name for WBGene00001513(gad-1). History: N.A.
T05H4.6,T05H4.6,WBGene00020269,Sequence name for WBGene00020269(erfa-1). History: Renamed on 2013-11-11
W01A11.1,W01A11.1,WBGene00020909,Public name for WBGene00020909. History: N.A.
Y40G12A.1,Y40G12A.1,WBGene00006723,Sequence name for WBGene00006723(ubh-3). History: N.A.
F46E10.9,F46E10.9,WBGene00001073,Sequence name for WBGene00001073(dpy-11). History: N.A.
F46E10.10,F46E10.10,WBGene00018491,Sequence name for WBGene00018491(mdh-1). History: N.A.
W02F12.5,W02F12.5,WBGene00020950,Sequence name for WBGene00020950(dlst-1). History: N.A.
ZC404.8,ZC404.8,WBGene00004984,Sequence name for WBGene00004984(spn-4). History: N.A.
T15B7.3,T15B7.3,WBGene00000716,Sequence name for WBGene00000716(col-143). History: N.A.
F20A1.9,F20A1.9,WBGene00017620,Sequence name for WBGene00017620(tofu-2). History: N.A.
Y57E12AL.6,Y57E12AL.6,WBGene00021959,Public name for WBGene00021959. History: N.A.
Y57E12AM.1,Y57E12AM.1,WBGene00021960,Sequence name for WBGene00021960(tmem-258). History: N.A.
F09G2.9,F09G2.9,WBGene00017317,Sequence name for WBGene00017317(attf-2). History: N.A.
F09G2.2,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
C13F10.7,C13F10.7,WBGene00015746,Public name for WBGene00015746. History: N.A.
C05C8.1,C05C8.1,WBGene00015460,Public name for WBGene00015460. History: N.A.
T05B11.3,T05B11.3,WBGene00020246,Sequence name for WBGene00020246(clic-1). History: Renamed on 2008-04-30
C26F1.9,C26F1.9,WBGene00004453,Sequence name for WBGene00004453(rpl-39). History: N.A.
ZK742.5,ZK742.5,WBGene00002256,Sequence name for WBGene00002256(lbp-4). History: N.A.
F40A3.3,F40A3.3,WBGene00018218,Public name for WBGene00018218. History: N.A.
Y97E10AL.3,Y97E10AL.3,WBGene00022394,Sequence name for WBGene00022394(natb-1). History: N.A.
ZC513.6,ZC513.6,WBGene00003865,Sequence name for WBGene00003865(oma-2). History: N.A.
K07C11.2,K07C11.2,WBGene00000098,Sequence name for WBGene00000098(air-1). History: N.A.
W02D7.7,W02D7.7,WBGene00004766,Sequence name for WBGene00004766(sel-9). History: Renamed on 2019-01-09
F38E1.7,F38E1.7,WBGene00003395,Sequence name for WBGene00003395(mom-2). History: N.A.
F38E1.9,F38E1.9,WBGene00018181,Sequence name for WBGene00018181(mpdu-1). History: N.A.
F52E1.1,F52E1.1,WBGene00004078,Sequence name for WBGene00004078(pos-1). History: N.A.
F41E6.13,F41E6.13,WBGene00018294,Sequence name for WBGene00018294(atg-18). History: Renamed on 2006-04-27; Renamed on 2007-10-19; Renamed on 2008-02-29
F44A2.1,F44A2.1,WBGene00006499,"Sequence name for WBGene00006499(tag-153). History: N.A.. Public name for Dead gene WBGene00018401. History of WBGene00018401: Merged into ""WBGene00006499"" on 2004-05-28"
F36D4.5,F36D4.5,WBGene00018090,Public name for WBGene00018090. History: N.A.
C50F4.14,C50F4.14,WBGene00008237,Sequence name for WBGene00008237(nstp-10). History: N.A.
ZK287.5,ZK287.5,WBGene00004320,Sequence name for WBGene00004320(rbx-1). History: N.A.
F40F9.1,F40F9.1,WBGene00009580,Sequence name for WBGene00009580(xbx-6). History: N.A.
C27H6.2,C27H6.2,WBGene00007784,Sequence name for WBGene00007784(ruvb-1). History: N.A.
C27H6.8,C27H6.8,WBGene00007787,Public name for WBGene00007787. History: N.A.
T06E8.1,T06E8.1,WBGene00011543,Sequence name for WBGene00011543(acl-2). History: N.A.
C08B6.9,C08B6.9,WBGene00000142,Sequence name for WBGene00000142(aos-1). History: N.A.
C08B6.8,C08B6.8,WBGene00007429,Public name for WBGene00007429. History: N.A.
ZK856.10,ZK856.10,WBGene00014111,Sequence name for WBGene00014111(rpc-25). History: N.A.
C12D8.1,C12D8.1,WBGene00007534,Sequence name for WBGene00007534(fubl-1). History: Renamed on 2017-12-07
B0024.9,B0024.9,WBGene00007099,Sequence name for WBGene00007099(trx-2). History: N.A.
K07C5.1,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
K07C5.4,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
Y32F6A.1,Y32F6A.1,WBGene00012527,Sequence name for WBGene00012527(set-22). History: N.A.
T21C9.5,T21C9.5,WBGene00003065,Sequence name for WBGene00003065(lpd-9). History: N.A.
T21C9.13,T21C9.13,WBGene00011898,Public name for WBGene00011898. History: N.A.
F29F11.3,F29F11.3,WBGene00009256,Sequence name for WBGene00009256(tut-2). History: N.A.
ZC302.1,ZC302.1,WBGene00003405,Sequence name for WBGene00003405(mre-11). History: N.A.
D1054.2,D1054.2,WBGene00003923,Sequence name for WBGene00003923(pas-2). History: N.A.
D1054.14,D1054.14,WBGene00008380,Sequence name for WBGene00008380(prp-38). History: N.A.
F32D8.5,F32D8.5,WBGene00009330,Public name for WBGene00009330. History: N.A.
F17C11.9,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
F53B7.3,F53B7.3,WBGene00009966,Sequence name for WBGene00009966(isy-1). History: N.A.
T04C12.6,T04C12.6,WBGene00000063,Sequence name for WBGene00000063(act-1). History: N.A.
H19N07.1,H19N07.1,WBGene00010405,Sequence name for WBGene00010405(erfa-3). History: N.A.
H19N07.2,H19N07.2,WBGene00010406,Sequence name for WBGene00010406(math-33). History: N.A.
T19B10.6,T19B10.6,WBGene00011834,Sequence name for WBGene00011834(dvc-1). History: N.A.
T19B10.7,T19B10.7,WBGene00002072,Sequence name for WBGene00002072(ima-1). History: N.A.
T19B10.8,T19B10.8,WBGene00011835,Sequence name for WBGene00011835(pgap-1). History: N.A.
C03E10.4,C03E10.4,WBGene00001645,Sequence name for WBGene00001645(gly-20). History: N.A.
F47G9.1,F47G9.1,WBGene00009829,Sequence name for WBGene00009829(tmed-10). History: N.A.
F55A11.1,F55A11.1,WBGene00010075,Public name for WBGene00010075. History: N.A.
F55A11.7,F55A11.7,WBGene00010080,Public name for WBGene00010080. History: N.A.
D2023.4,D2023.4,WBGene00008408,Public name for WBGene00008408. History: N.A.
D2023.5,D2023.5,WBGene00008409,Sequence name for WBGene00008409(mpst-1). History: N.A.
C52E4.3,C52E4.3,WBGene00004917,Sequence name for WBGene00004917(snr-4). History: N.A.
C52E4.4,C52E4.4,WBGene00004501,Sequence name for WBGene00004501(rpt-1). History: N.A.
F10C2.4,F10C2.4,WBGene00008645,Public name for WBGene00008645. History: N.A.
ZK863.4,ZK863.4,WBGene00014124,Sequence name for WBGene00014124(usip-1). History: N.A.
ZK863.7,ZK863.7,WBGene00004384,Sequence name for WBGene00004384(rnp-1). History: N.A.
F55C5.5,F55C5.5,WBGene00010094,Sequence name for WBGene00010094(tsfm-1). History: N.A.
F55C5.8,F55C5.8,WBGene00010097,Sequence name for WBGene00010097(srpa-68). History: N.A.
R04F11.5,R04F11.5,WBGene00011017,Public name for WBGene00011017. History: N.A.
R04F11.2,R04F11.2,WBGene00011015,Public name for WBGene00011015. History: N.A.
F23H12.2,F23H12.2,WBGene00009092,Sequence name for WBGene00009092(tomm-20). History: N.A.
W04D2.5,W04D2.5,WBGene00012244,Sequence name for WBGene00012244(mrps-11). History: N.A.
E02A10.1,E02A10.1,WBGene00008452,Sequence name for WBGene00008452(mrps-5). History: N.A.
C14C10.3,C14C10.3,WBGene00007586,"Sequence name for WBGene00007586(ril-2). History: Split into C14C10.10(WBGene00303041). History of WBGene00007586: Split into ""WBGene00303041"" on 2018-03-02"
C15C8.7,C15C8.7,WBGene00007609,Public name for WBGene00007609. History: N.A.
R186.3,R186.3,WBGene00011306,Public name for WBGene00011306. History: N.A.
B0365.1,B0365.1,WBGene00007150,Sequence name for WBGene00007150(acly-2). History: N.A.
T09E8.3,T09E8.3,WBGene00011648,Sequence name for WBGene00011648(cni-1). History: Renamed on 2013-05-21
F57B1.2,F57B1.2,WBGene00006311,Sequence name for WBGene00006311(sun-1). History: N.A.
C50B6.2,C50B6.2,WBGene00008218,Sequence name for WBGene00008218(nasp-2). History: N.A.
F25H9.7,F25H9.7,WBGene00009139,Public name for WBGene00009139. History: N.A.
T10G3.6,T10G3.6,WBGene00001808,Sequence name for WBGene00001808(gut-2). History: N.A.
C56A3.4,C56A3.4,WBGene00008343,Public name for WBGene00008343. History: N.A.
C56A3.6,C56A3.6,WBGene00008345,Public name for WBGene00008345. History: N.A.
F53F4.11,F53F4.11,WBGene00009993,Public name for WBGene00009993. History: N.A.
F58G11.3,F58G11.3,WBGene00010281,Sequence name for WBGene00010281(mip-2). History: Renamed on 2021-12-09
T01D3.5,T01D3.5,WBGene00011329,Sequence name for WBGene00011329(zipt-9). History: N.A.
F55B12.3,F55B12.3,WBGene00004767,Sequence name for WBGene00004767(sel-10). History: N.A.
R10D12.14,R10D12.14,WBGene00011195,Sequence name for WBGene00011195(sao-1). History: N.A.
F58E10.3,F58E10.3,WBGene00010260,Sequence name for WBGene00010260(ddx-17). History: N.A.
F14D7.2,F14D7.2,WBGene00008789,Public name for WBGene00008789. History: N.A.
Y49A3A.2,Y49A3A.2,WBGene00013025,Sequence name for WBGene00013025(vha-13). History: Renamed on 2005-03-17
Y49A3A.5,Y49A3A.5,WBGene00000877,Sequence name for WBGene00000877(cyn-1). History: N.A.
C15H11.4,C15H11.4,WBGene00000985,Sequence name for WBGene00000985(dhs-22). History: N.A.
F23B12.5,F23B12.5,WBGene00009082,Sequence name for WBGene00009082(dlat-1). History: N.A.
F23B12.6,F23B12.6,WBGene00006465,"Sequence name for WBGene00006465(fntb-1). History: Renamed on 2008-09-10; Renamed on 2016-08-02. Public name for Dead gene WBGene00009083. History of WBGene00009083: Merged into ""WBGene00006465"" on 2005-04-20"
C53A5.1,C53A5.1,WBGene00008262,Sequence name for WBGene00008262(ril-1). History: N.A.
C53A5.3,C53A5.3,WBGene00001834,Sequence name for WBGene00001834(hda-1). History: N.A.
R11H6.5,R11H6.5,WBGene00011253,Public name for WBGene00011253. History: N.A.
F43D2.1,F43D2.1,WBGene00009650,Sequence name for WBGene00009650(ccnk-1). History: N.A.
C47E8.5,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
T01C3.2,T01C3.2,WBGene00011319,Public name for WBGene00011319. History: N.A.
T01C3.3,T01C3.3,WBGene00011320,Public name for WBGene00011320. History: N.A.
T01C3.7,T01C3.7,WBGene00001423,Sequence name for WBGene00001423(fib-1). History: N.A.
C25D7.6,C25D7.6,WBGene00003155,Sequence name for WBGene00003155(mcm-3). History: N.A.
C01G10.8,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
Y75B12B.1,Y75B12B.1,WBGene00013567,Public name for WBGene00013567. History: N.A.
Y75B12B.2,Y75B12B.2,WBGene00000883,Sequence name for WBGene00000883(cyn-7). History: N.A.
Y75B12B.5,Y75B12B.5,WBGene00000879,Sequence name for WBGene00000879(cyn-3). History: N.A.
T06E6.2,T06E6.2,WBGene00000868,Sequence name for WBGene00000868(cyb-3). History: N.A.
F28F8.3,F28F8.3,WBGene00003079,Sequence name for WBGene00003079(lsm-5). History: N.A.
F28F8.5,F28F8.5,WBGene00009223,Sequence name for WBGene00009223(mdt-28). History: N.A.
T10C6.6,T10C6.6,WBGene00011688,Public name for WBGene00011688. History: N.A.
F14H3.6,F14H3.6,WBGene00008825,Public name for WBGene00008825. History: N.A.
T25E12.5,T25E12.5,WBGene00012020,Sequence name for WBGene00012020(gyg-2). History: N.A.
W06H3.1,W06H3.1,WBGene00012315,Sequence name for WBGene00012315(immt-2). History: N.A.
Y59A8B.12,Y59A8B.12,WBGene00013349,Public name for WBGene00013349. History: N.A.
Y37H2A.1,Y37H2A.1,WBGene00012562,Public name for WBGene00012562. History: N.A.
Y39B6A.37,Y39B6A.37,WBGene00012695,Public name for WBGene00012695. History: N.A.
Y39B6A.20,Y39B6A.20,WBGene00000214,Sequence name for WBGene00000214(asp-1). History: N.A.
Y60A3A.13,Y60A3A.13,WBGene00013361,Sequence name for WBGene00013361(fars-2). History: Renamed on 2010-01-29
Y113G7A.9,Y113G7A.9,WBGene00000940,Sequence name for WBGene00000940(dcs-1). History: Renamed on 2005-12-19
Y113G7A.3,Y113G7A.3,WBGene00004754,Sequence name for WBGene00004754(sec-23). History: N.A.
Y113G7B.17,Y113G7B.17,WBGene00013766,Sequence name for WBGene00013766(prmt-1). History: N.A.
B0250.1,B0250.1,WBGene00004413,Sequence name for WBGene00004413(rpl-2). History: N.A.
B0250.5,B0250.5,WBGene00007122,Public name for WBGene00007122. History: N.A.
T03D8.1,T03D8.1,WBGene00003830,Sequence name for WBGene00003830(num-1). History: N.A.
F16H11.3,F16H11.3,WBGene00017532,Sequence name for WBGene00017532(ent-5). History: N.A.
C42D8.2,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
T23F2.5,T23F2.5,WBGene00020738,Public name for WBGene00020738. History: N.A.
C14F11.1,C14F11.1,WBGene00015778,Sequence name for WBGene00015778(got-2.2). History: N.A.
B0416.5,B0416.5,WBGene00015181,Public name for WBGene00015181. History: N.A.
F19H6.4,F19H6.4,WBGene00008959,Public name for WBGene00008959. History: N.A.
R04D3.3,R04D3.3,WBGene00011011,Public name for WBGene00011011. History: N.A.
K02B9.1,K02B9.1,WBGene00010492,Sequence name for WBGene00010492(meg-1). History: N.A.
F23F1.5,F23F1.5,WBGene00017746,Public name for WBGene00017746. History: N.A.
F23F1.8,F23F1.8,WBGene00004504,Sequence name for WBGene00004504(rpt-4). History: N.A.
F48A11.4,F48A11.4,WBGene00018585,Public name for WBGene00018585. History: N.A.
F48A11.5,F48A11.5,WBGene00018586,Sequence name for WBGene00018586(ubxn-3). History: N.A.
B0432.3,B0432.3,WBGene00015185,Sequence name for WBGene00015185(mrpl-41). History: N.A.
B0432.2,B0432.2,WBGene00015184,Sequence name for WBGene00015184(djr-1.1). History: N.A.
C03H5.2,C03H5.2,WBGene00015404,Sequence name for WBGene00015404(nstp-4). History: N.A.
C24H12.4,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
W10D9.5,W10D9.5,WBGene00021133,Sequence name for WBGene00021133(tomm-22). History: N.A.
W08F4.8,W08F4.8,WBGene00021097,Sequence name for WBGene00021097(cdc-37). History: N.A.
W08F4.3,W08F4.3,WBGene00021093,Public name for WBGene00021093. History: N.A.
T02H6.11,T02H6.11,WBGene00020181,Public name for WBGene00020181. History: Renamed on 2005-03-17
T13B5.8,T13B5.8,WBGene00020475,Sequence name for WBGene00020475(sut-1). History: N.A.
F56D12.5,F56D12.5,WBGene00006924,Sequence name for WBGene00006924(vig-1). History: N.A.
Y51H7C.4,Y51H7C.4,WBGene00021783,"Public name for Dead gene WBGene00021782. History of WBGene00021782: Merged into ""WBGene00021783"" on 2010-08-17"
F07E5.5,F07E5.5,WBGene00017210,Public name for WBGene00017210. History: N.A.
K02F6.1,K02F6.1,WBGene00019335,Public name for WBGene00019335. History: N.A.
Y110A2AR.1,Y110A2AR.1,WBGene00022452,Public name for WBGene00022452. History: N.A.
F53C3.13,F53C3.13,WBGene00018756,Sequence name for WBGene00018756(plpp-1.1). History: N.A.
Y14H12B.2,Y14H12B.2,WBGene00021192,Public name for WBGene00021192. History: N.A.
Y14H12B.1,Y14H12B.1,WBGene00021191,Public name for WBGene00021191. History: N.A.
C16A11.4,C16A11.4,WBGene00015817,Public name for WBGene00015817. History: N.A.
H20J04.5,H20J04.5,WBGene00019220,Sequence name for WBGene00019220(pfd-2). History: Renamed on 2006-08-02
W06B4.1,W06B4.1,WBGene00021056,Public name for WBGene00021056. History: N.A.
B0304.2,B0304.2,WBGene00015134,Public name for WBGene00015134. History: N.A.
F35D11.5,F35D11.5,WBGene00018046,Sequence name for WBGene00018046(coa-3). History: N.A.
F35D11.4,F35D11.4,WBGene00018045,Public name for WBGene00018045. History: N.A.
F10G7.8,F10G7.8,WBGene00004461,Sequence name for WBGene00004461(rpn-5). History: N.A.
F10G7.3,F10G7.3,WBGene00006817,"Sequence name for WBGene00006817(unc-85). History: Renamed on 2008-06-05. Public name for Dead gene WBGene00017368. History of WBGene00017368: Merged into ""WBGene00006817"" on 2008-06-05"
F41C3.4,F41C3.4,WBGene00018270,Sequence name for WBGene00018270(eas-1). History: N.A.
C27D9.1,C27D9.1,WBGene00016163,Public name for WBGene00016163. History: N.A.
R05F9.6,R05F9.6,WBGene00019890,Public name for WBGene00019890. History: N.A.
Y38A8.2,Y38A8.2,WBGene00003949,Sequence name for WBGene00003949(pbs-3). History: N.A.
Y38A8.3,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
C27A2.2,C27A2.2,WBGene00004434,Sequence name for WBGene00004434(rpl-22). History: N.A.
F09E5.8,F09E5.8,WBGene00017286,Public name for WBGene00017286. History: N.A.
F09E5.1,F09E5.1,WBGene00004034,Sequence name for WBGene00004034(pkc-3). History: N.A.
EEED8.3,EEED8.3,WBGene00017134,Public name for WBGene00017134. History: N.A.
F56D1.7,F56D1.7,WBGene00000935,Sequence name for WBGene00000935(daz-1). History: N.A.
ZK177.6,ZK177.6,WBGene00001511,Sequence name for WBGene00001511(fzy-1). History: Renamed on 2017-02-17
C17G10.4,C17G10.4,WBGene00000383,"Sequence name for WBGene00000383(cdc-14). History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
F59E12.13,F59E12.13,WBGene00006402,Sequence name for WBGene00006402(fut-3). History: N.A.
C25H3.9,C25H3.9,WBGene00016118,Public name for WBGene00016118. History: N.A.
ZK1248.11,ZK1248.11,WBGene00022881,Public name for WBGene00022881. History: N.A.
F59G1.1,F59G1.1,WBGene00019127,Sequence name for WBGene00019127(cgt-3). History: N.A.
R12C12.6,R12C12.6,WBGene00020026,Public name for WBGene00020026. History: N.A.
R12C12.2,R12C12.2,WBGene00004306,Sequence name for WBGene00004306(ran-5). History: N.A.
F21H12.6,F21H12.6,WBGene00017686,Sequence name for WBGene00017686(tpp-2). History: N.A.
F21H12.1,F21H12.1,WBGene00017683,Sequence name for WBGene00017683(rbbp-5). History: Renamed on 2012-12-05
C29H12.2,C29H12.2,WBGene00016235,Public name for WBGene00016235. History: N.A.
C30B5.2,C30B5.2,WBGene00016244,Public name for WBGene00016244. History: N.A.
K10B2.4,K10B2.4,WBGene00019607,Public name for WBGene00019607. History: N.A.
K10B2.5,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
K10B2.3,K10B2.3,WBGene00019606,Sequence name for WBGene00019606(clec-88). History: Renamed on 2006-06-15
K10B2.1,K10B2.1,WBGene00003009,Sequence name for WBGene00003009(lin-23). History: N.A.
F58F12.1,F58F12.1,WBGene00019061,Public name for WBGene00019061. History: Renamed on 2005-03-17
T28D9.10,T28D9.10,WBGene00004916,Sequence name for WBGene00004916(snr-3). History: N.A.
T28D9.2,T28D9.2,WBGene00004702,Sequence name for WBGene00004702(rsp-5). History: N.A.
T28D9.1,T28D9.1,WBGene00020894,Public name for WBGene00020894. History: N.A.
C56C10.8,C56C10.8,WBGene00002045,Sequence name for WBGene00002045(icd-1). History: N.A.
T14B4.2,T14B4.2,WBGene00020499,Sequence name for WBGene00020499(mrps-18.C). History: N.A.
C44B7.10,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
B0252.4,B0252.4,WBGene00000886,Sequence name for WBGene00000886(cyn-10). History: N.A.
C15F1.7,C15F1.7,WBGene00004930,Sequence name for WBGene00004930(sod-1). History: N.A.
C52E12.3,C52E12.3,WBGene00005025,Sequence name for WBGene00005025(sqv-7). History: N.A.
ZK1127.5,ZK1127.5,WBGene00022852,Public name for WBGene00022852. History: N.A.
T02G5.9,T02G5.9,WBGene00002238,Sequence name for WBGene00002238(kars-1). History: Renamed on 2010-01-29
T02G5.13,T02G5.13,WBGene00020169,Sequence name for WBGene00020169(mmaa-1). History: N.A.
F10E7.5,F10E7.5,WBGene00017347,Public name for WBGene00017347. History: N.A.
T07F8.3,T07F8.3,WBGene00001597,Sequence name for WBGene00001597(gld-3). History: N.A.
F45E12.5,F45E12.5,WBGene00018475,Sequence name for WBGene00018475(mrpl-14). History: N.A.
R07G3.5,R07G3.5,WBGene00019941,Sequence name for WBGene00019941(pgam-5). History: N.A.
F18A1.7,F18A1.7,WBGene00017548,Public name for WBGene00017548. History: N.A.
F18A1.5,F18A1.5,WBGene00017546,Sequence name for WBGene00017546(rpa-1). History: N.A.
B0495.6,B0495.6,WBGene00015205,Sequence name for WBGene00015205(moa-2). History: N.A.
C06A8.4,C06A8.4,WBGene00004823,Sequence name for WBGene00004823(skr-17). History: N.A.
T05A6.2,T05A6.2,WBGene00000517,Sequence name for WBGene00000517(cki-2). History: N.A.
T09A5.5,T09A5.5,WBGene00011634,Public name for WBGene00011634. History: N.A.
T01H3.4,T01H3.4,WBGene00011350,Sequence name for WBGene00011350(perm-1). History: N.A.
C08B11.1,C08B11.1,WBGene00006996,Sequence name for WBGene00006996(zyg-11). History: N.A.
T05H10.1,T05H10.1,WBGene00011507,Public name for WBGene00011507. History: N.A.
T05H10.5,T05H10.5,WBGene00006734,Sequence name for WBGene00006734(ufd-2). History: N.A.
T05H10.6,T05H10.6,WBGene00011510,Sequence name for WBGene00011510(pdha-1). History: N.A.
T05H10.7,T05H10.7,WBGene00011511,Sequence name for WBGene00011511(gpcp-2). History: N.A.
F10B5.1,F10B5.1,WBGene00004421,Sequence name for WBGene00004421(rpl-10). History: N.A.
F10B5.5,F10B5.5,WBGene00008641,Sequence name for WBGene00008641(pch-2). History: N.A.
T05C12.7,T05C12.7,WBGene00000377,Sequence name for WBGene00000377(cct-1). History: N.A.
F35C11.5,F35C11.5,WBGene00009404,Public name for WBGene00009404. History: N.A.
F49E12.1,F49E12.1,WBGene00009897,Sequence name for WBGene00009897(skpo-1). History: N.A.
F22B5.2,F22B5.2,WBGene00001230,Sequence name for WBGene00001230(eif-3.G). History: N.A.
F22B5.7,F22B5.7,WBGene00006994,Sequence name for WBGene00006994(zyg-9). History: N.A.
T13H5.7,T13H5.7,WBGene00004383,Sequence name for WBGene00004383(rnh-2). History: N.A.
F54C9.5,F54C9.5,WBGene00004416,Sequence name for WBGene00004416(rpl-5). History: N.A.
F54C9.8,F54C9.8,WBGene00004241,Sequence name for WBGene00004241(puf-5). History: N.A.
F28C6.7,F28C6.7,WBGene00004440,Sequence name for WBGene00004440(rpl-26). History: N.A.
C34C6.5,C34C6.5,WBGene00007918,Sequence name for WBGene00007918(sphk-1). History: Renamed on 2007-12-03
T21B10.7,T21B10.7,WBGene00000378,"Sequence name for WBGene00000378(cct-2). History: N.A.. Public name for Dead gene WBGene00011889. History of WBGene00011889: Merged into ""WBGene00000378"" on 2007-10-09"
C18E9.10,C18E9.10,WBGene00007690,Sequence name for WBGene00007690(sftd-3). History: N.A.
C18E9.4,C18E9.4,WBGene00007684,Public name for WBGene00007684. History: N.A.
C18E9.6,C18E9.6,WBGene00007686,Sequence name for WBGene00007686(tomm-40). History: N.A.
C18E9.11,C18E9.11,WBGene00003870,Sequence name for WBGene00003870(ooc-5). History: N.A.
F44G4.2,F44G4.2,WBGene00009712,Public name for WBGene00009712. History: N.A.
F44G4.4,F44G4.4,WBGene00006514,Sequence name for WBGene00006514(tdp-1). History: Renamed on 2008-11-20
T24B8.1,T24B8.1,WBGene00004446,Sequence name for WBGene00004446(rpl-32). History: N.A.
T24H10.1,T24H10.1,WBGene00012000,Public name for WBGene00012000. History: N.A.
T24H10.6,T24H10.6,WBGene00012004,Sequence name for WBGene00012004(dyrb-1). History: N.A.
T23G7.5,T23G7.5,WBGene00011967,Sequence name for WBGene00011967(pir-1). History: N.A.
ZK1067.3,ZK1067.3,WBGene00014209,Public name for WBGene00014209. History: N.A.
T26C5.3,T26C5.3,WBGene00012033,Public name for WBGene00012033. History: N.A.
D2013.5,D2013.5,WBGene00001134,Sequence name for WBGene00001134(eat-3). History: N.A.
D2013.7,D2013.7,WBGene00001229,Sequence name for WBGene00001229(eif-3.F). History: N.A.
F42A8.2,F42A8.2,WBGene00006433,Sequence name for WBGene00006433(sdhb-1). History: Renamed on 2006-07-19
M176.2,M176.2,WBGene00010941,Sequence name for WBGene00010941(gss-1). History: N.A.
