# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
ZC116.3,-1.37711172338658,,,ZC116.3,WBGene00013855,Sequence name for WBGene00013855(cubn-1). History: N.A.
Y26G10.5,-1.37114745683048,-0.798422641223656,-0.810747222259667,Y26G10.5,WBGene00189930,Public name for WBGene00189930. History: N.A.
F41H10.12,-1.37099460876545,-0.944715130005218,-1.02120005796004,F41H10.12,WBGene00018322,Public name for WBGene00018322. History: N.A.
T11F9.13,-1.36939089457683,,,T11F9.13,WBGene00011714,Public name for WBGene00011714. History: N.A.
F25H5.2,-1.36819641790118,,,F25H5.2,WBGene00009125,Public name for WBGene00009125. History: N.A.
Y71H2AM.15,-1.36757696973693,,,Y71H2AM.15,WBGene00022180,Public name for WBGene00022180. History: N.A.
K07G5.4,-1.36650937358033,,-0.952321436233108,K07G5.4,WBGene00010643,Public name for WBGene00010643. History: N.A.
rpl-42,-1.36495537085357,,-0.9649028440160788,rpl-42,WBGene00004455,Public name for WBGene00004455. History: N.A.
H09F14.1,-1.36450897390455,-0.986189093852337,,H09F14.1,WBGene00010375,Public name for WBGene00010375. History: N.A.
R05C11.4,-1.3613857083647,-1.17400748346189,,R05C11.4,WBGene00044467,Public name for WBGene00044467. History: N.A.
Y106G6D.3,-1.36103988400107,,,Y106G6D.3,WBGene00013700,Public name for WBGene00013700. History: N.A.
Y116A8A.4,-1.36029600390728,,,Y116A8A.4,WBGene00013775,Public name for WBGene00013775. History: N.A.
R10E8.3,-1.35876879278187,,,R10E8.3,WBGene00011209,Public name for WBGene00011209. History: N.A.
C08G5.1,-1.35833384370002,,,C08G5.1,WBGene00015614,Public name for WBGene00015614. History: N.A.
adm-4,-1.35765958875683,-1.19189915375813,,adm-4,WBGene00000075,Public name for WBGene00000075. History: N.A.
B0462.5,-1.35700456639761,,,B0462.5,WBGene00194695,Public name for WBGene00194695. History: N.A.
F58E1.13,-1.35426774023396,-0.865749222117204,,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
fbxa-90,-1.354262891656,,,fbxa-90,WBGene00013623,Public name for WBGene00013623. History: N.A.
F07E5.9,-1.34874600366026,-1.00687463611167,,F07E5.9,WBGene00017214,Public name for WBGene00017214. History: N.A.
VY10G11R.1,-1.34637633542673,-0.856591720278962,-0.8350095456231789,VY10G11R.1,WBGene00012159,Public name for WBGene00012159. History: N.A.
cls-3,-1.34619346589402,-1.12125001226758,-0.826450254253833,cls-3,WBGene00013847,Public name for WBGene00013847. History: N.A.
ZK1225.4,-1.34551572102381,,,ZK1225.4,WBGene00014238,Public name for WBGene00014238. History: N.A.
T21C9.3,-1.34457102559896,,,T21C9.3,WBGene00011891,Sequence name for WBGene00011891(del-6). History: N.A.
nhr-131,-1.34074044784289,,,nhr-131,WBGene00003721,Public name for WBGene00003721. History: N.A.
nas-33,-1.33801120148123,,,nas-33,WBGene00003551,Public name for WBGene00003551. History: N.A.
ZK1053.4,-1.33787974799468,-0.782369199503663,,ZK1053.4,WBGene00014199,Public name for WBGene00014199. History: N.A.
F09C12.8,-1.33748964791103,,,F09C12.8,WBGene00017279,Public name for WBGene00017279. History: N.A.
C41G7.6,-1.33634152826656,,,C41G7.6,WBGene00008063,Sequence name for WBGene00008063(cycl-2). History: N.A.
F13H6.1,-1.33541165281679,,,F13H6.1,WBGene00017430,Sequence name for WBGene00017430(bcl-11). History: N.A.
T28A8.2,-1.33484817373041,-1.08699281276533,,T28A8.2,WBGene00012108,Public name for WBGene00012108. History: N.A.
Y97E10AR.8,-1.33433526351756,,,Y97E10AR.8,WBGene00044552,Public name for WBGene00044552. History: N.A.
gcy-2,-1.33373332649575,,,gcy-2,WBGene00001529,Public name for WBGene00001529. History: N.A.
C07G3.8,-1.3326862682984,-1.3428673776493,-1.34877069777648,C07G3.8,WBGene00015576,"Public name for WBGene00015576. History: Split into C07G3.15(WBGene00269378). History of WBGene00015576: Split into ""WBGene00269378"" on 2016-02-18"
F16B12.7,-1.3303632509193,,,F16B12.7,WBGene00008883,Public name for WBGene00008883. History: N.A.
hum-8,-1.3292101770032,,,hum-8,WBGene00002041,Public name for WBGene00002041. History: N.A.
C50F4.2,-1.32812792222317,,,C50F4.2,WBGene00008230,Sequence name for WBGene00008230(pfk-1.2). History: Renamed on 2014-03-03
F39E9.4,-1.32732023355751,-0.90515970626839,-0.869852947473995,F39E9.4,WBGene00018196,Sequence name for WBGene00018196(nep-13). History: N.A.
ssp-34,-1.32322198105131,,,ssp-34,WBGene00013858,Public name for WBGene00013858. History: N.A.
fbxa-184,-1.32167317991377,-1.08241577777473,,fbxa-184,WBGene00018439,Public name for WBGene00018439. History: N.A.
D2045.8,-1.32117965623034,-1.54946573172917,,D2045.8,WBGene00008425,Public name for WBGene00008425. History: N.A.
C17F3.3,-1.31891400202838,,,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
sbt-1,-1.31875816950759,,,sbt-1,WBGene00011392,Public name for WBGene00011392. History: N.A.
M88.3,-1.31653199625114,,,M88.3,WBGene00010906,Public name for WBGene00010906. History: N.A.
oac-56,-1.31419117651116,-1.43163024897267,,oac-56,WBGene00013450,Public name for WBGene00013450. History: N.A.
E04F6.8,-1.31137351673265,,,E04F6.8,WBGene00017127,Public name for WBGene00017127. History: N.A.
Y51H4A.25,-1.31094012359956,,,Y51H4A.25,WBGene00013119,Public name for WBGene00013119. History: N.A.
C34F11.5,-1.31039954560898,,,C34F11.5,WBGene00016416,Public name for WBGene00016416. History: N.A.
C15H7.3,-1.31019010578023,,,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
cpr-2,-1.30780477370032,,,cpr-2,WBGene00000782,Public name for WBGene00000782. History: N.A.
C34B2.3,-1.30725571833406,,,C34B2.3,WBGene00016388,Public name for WBGene00016388. History: N.A.
Y38H8A.12,-1.30701712513804,-1.21266304872453,,Y38H8A.12,WBGene00206493,Public name for WBGene00206493. History: N.A.
C33F10.1,-1.30608432808427,,,C33F10.1,WBGene00016351,Public name for WBGene00016351. History: N.A.
C38C10.3,-1.30521848382433,,,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
Y50E8A.12,-1.30128573434758,,,Y50E8A.12,WBGene00013055,Public name for WBGene00013055. History: N.A.
R155.3,-1.29914185553823,,,R155.3,WBGene00020117,Public name for WBGene00020117. History: N.A.
F13A7.7,-1.29786348617163,,,F13A7.7,WBGene00008725,Public name for WBGene00008725. History: N.A.
T02H6.7,-1.29511252087,,,T02H6.7,WBGene00020177,Public name for WBGene00020177. History: N.A.
ZC21.8,-1.29439303445263,,,ZC21.8,WBGene00022507,Public name for WBGene00022507. History: N.A.
F49E11.2,-1.29177321348044,-1.17243195830952,,F49E11.2,WBGene00009889,Public name for WBGene00009889. History: N.A.
F36H12.4,-1.28496518055703,,,F36H12.4,WBGene00018120,Public name for WBGene00018120. History: N.A.
Y48A6B.9,-1.2830732180546,-1.52118731276064,-1.43841972608086,Y48A6B.9,WBGene00012970,Public name for WBGene00012970. History: N.A.
toh-1,-1.28139147168633,,,toh-1,WBGene00006591,Public name for WBGene00006591. History: N.A.
dyf-18,-1.27830776981751,,,dyf-18,WBGene00010349,Public name for WBGene00010349. History: N.A.
math-21,-1.27818287177561,,,math-21,WBGene00016556,Public name for WBGene00016556. History: N.A.
F15H9.1,-1.27813507803871,,,F15H9.1,WBGene00008870,Public name for WBGene00008870. History: N.A.
scrm-3,-1.27670056999678,,,scrm-3,WBGene00015437,Public name for WBGene00015437. History: Renamed on 2007-05-03
Y62F5A.10,-1.27471004540267,,,Y62F5A.10,WBGene00013388,Public name for WBGene00013388. History: N.A.
scd-2,-1.27447775374731,,,scd-2,WBGene00004740,Public name for WBGene00004740. History: N.A.
msp-65,-1.27310347191854,-1.11850201147136,,msp-65,WBGene00003458,Public name for WBGene00003458. History: N.A.
C34E10.9,-1.27302964661075,,,C34E10.9,WBGene00016410,Public name for WBGene00016410. History: N.A.
clec-57,-1.27243045289377,,,clec-57,WBGene00008594,Public name for WBGene00008594. History: N.A.
dlc-6,-1.27241505083043,,,dlc-6,WBGene00013712,Public name for WBGene00013712. History: N.A.
D1053.4,-1.27035681857655,,,D1053.4,WBGene00008369,Public name for WBGene00008369. History: N.A.
D2024.1,-1.26971047238677,,,D2024.1,WBGene00017050,Public name for WBGene00017050. History: N.A.
Y39A1A.18,-1.26945774611018,,,Y39A1A.18,WBGene00012656,Public name for WBGene00012656. History: N.A.
F59A3.8,-1.26924140853194,,,F59A3.8,WBGene00019081,Public name for WBGene00019081. History: N.A.
C18G1.3,-1.26672322792028,,,C18G1.3,WBGene00015982,Sequence name for WBGene00015982(bgnt-1.4). History: N.A.
F53C3.1,-1.26582268690057,,,F53C3.1,WBGene00018745,Public name for WBGene00018745. History: N.A.
Y43D4A.3,-1.2635741746743,,,Y43D4A.3,WBGene00012789,Public name for WBGene00012789. History: N.A.
Y73F8A.11,-1.26317875558602,-1.28656169144028,,Y73F8A.11,WBGene00013520,Sequence name for WBGene00013520(best-21). History: N.A.
F10G7.10,-1.26165385062066,-1.05780911707643,-1.20912561094789,F10G7.10,WBGene00017373,Public name for WBGene00017373. History: N.A.
msp-113,-1.26113082973763,,,msp-113,WBGene00003468,Public name for WBGene00003468. History: N.A.
C26E6.1,-1.25973048661934,,,C26E6.1,WBGene00016137,Public name for WBGene00016137. History: N.A.
K11D9.3,-1.25696277109722,,,K11D9.3,WBGene00010772,Public name for WBGene00010772. History: N.A.
C18H7.4,-1.25241802405574,,,C18H7.4,WBGene00015994,Public name for WBGene00015994. History: N.A.
str-245,-1.25226363136474,,,str-245,WBGene00006272,Public name for WBGene00006272. History: N.A.
K02F6.3,-1.2515405362762,,,K02F6.3,WBGene00019337,Public name for WBGene00019337. History: N.A.
C01G5.3,-1.24902271118756,,,C01G5.3,WBGene00015305,Public name for WBGene00015305. History: N.A.
C45B11.7,-1.24746769988498,,,C45B11.7,WBGene00050945,"Public name for WBGene00050945. History: Split into T04C12.33(WBGene00271444). History of WBGene00050945: Split into ""WBGene00271444"" on 2017-01-12"
pah-1,-1.24654744385726,,,pah-1,WBGene00000240,Public name for WBGene00000240. History: N.A.
cng-2,-1.24481494251991,,,cng-2,WBGene00022295,Public name for WBGene00022295. History: N.A.
Y6B3B.3,-1.24392909323852,-0.93729366431123,-0.9473224187347548,Y6B3B.3,WBGene00012388,Public name for WBGene00012388. History: N.A.
F23H11.7,-1.24223985187904,,,F23H11.7,WBGene00017762,Public name for WBGene00017762. History: N.A.
ZC373.4,-1.24009556021823,,,ZC373.4,WBGene00013869,Sequence name for WBGene00013869(mlck-1). History: N.A.
Y116F11B.7,-1.24000635625007,-0.899628857124038,,Y116F11B.7,WBGene00013823,Public name for WBGene00013823. History: N.A.
R09E10.6,-1.23953274839347,,,R09E10.6,WBGene00011176,Public name for WBGene00011176. History: N.A.
jnk-1,-1.23811153776194,,,jnk-1,WBGene00002178,Public name for WBGene00002178. History: N.A.
F01G10.5,-1.23699692730643,,,F01G10.5,WBGene00008508,Public name for WBGene00008508. History: N.A.
Y18D10A.21,-1.23640112854961,-0.777691677113663,,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
C49C8.1,-1.23568207437445,,,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
C27A2.7,-1.23304020017881,-0.883453199293383,-0.815929996707744,C27A2.7,WBGene00044386,Public name for WBGene00044386. History: N.A.
F21H7.2,-1.23290167690303,,,F21H7.2,WBGene00009028,Public name for WBGene00009028. History: N.A.
ZK666.8,-1.23281763810656,,,ZK666.8,WBGene00014048,Public name for WBGene00014048. History: N.A.
Y69H2.15,-1.23161933244966,-1.58342560352858,-1.50159431014359,Y69H2.15,WBGene00050884,Public name for WBGene00050884. History: N.A.
C32D5.4,-1.23159575477773,,,C32D5.4,WBGene00016312,Public name for WBGene00016312. History: N.A.
F12A10.2,-1.2290513439767,-0.935260638115979,-0.913043204050304,F12A10.2,WBGene00017391,Public name for WBGene00017391. History: N.A.
ZK1053.3,-1.22903919848192,,,ZK1053.3,WBGene00014198,Public name for WBGene00014198. History: N.A.
T26G10.8,-1.22700144842591,-0.8816059102314299,,T26G10.8,WBGene00206421,Public name for WBGene00206421. History: N.A.
C36H8.1,-1.22658822849952,,,C36H8.1,WBGene00007987,Public name for WBGene00007987. History: N.A.
W01C9.2,-1.2260345024365,,,W01C9.2,WBGene00012176,Public name for WBGene00012176. History: N.A.
E03A3.1,-1.22316960437024,-0.928007243111389,,E03A3.1,WBGene00014728,Public name for WBGene00014728. History: N.A.
kin-31,-1.22259587610366,,,kin-31,WBGene00002212,Public name for WBGene00002212. History: N.A.
W03F11.4,-1.22201394044258,,,W03F11.4,WBGene00021007,Public name for WBGene00021007. History: N.A.
valv-1,-1.22196319463215,,,valv-1,WBGene00015216,Public name for WBGene00015216. History: N.A.
F28H7.8,-1.22064392649264,-0.997503819478068,,F28H7.8,WBGene00009241,Public name for WBGene00009241. History: N.A.
F27C1.11,-1.21897646767556,,,F27C1.11,WBGene00017858,Public name for WBGene00017858. History: N.A.
C49F8.2,-1.21695539862843,,,C49F8.2,WBGene00008214,"Sequence name for WBGene00008214(gem-1). History: Split into C49F8.14(WBGene00303047). History of WBGene00008214: Split into ""WBGene00303047"" on 2018-03-02"
ZK863.8,-1.21565001621932,,,ZK863.8,WBGene00014125,Public name for WBGene00014125. History: N.A.
H20J04.1,-1.21479424050298,,,H20J04.1,WBGene00019216,Public name for WBGene00019216. History: N.A.
T26G10.9,-1.21396215577729,-0.887191638633812,,T26G10.9,WBGene00206422,Public name for WBGene00206422. History: N.A.
Y26E6A.3,-1.21313955962221,,,Y26E6A.3,WBGene00012514,Public name for WBGene00012514. History: N.A.
tag-164,-1.21303229972626,,,tag-164,WBGene00006509,Public name for WBGene00006509. History: N.A.
F37A8.2,-1.21283509020617,,,F37A8.2,WBGene00009502,Public name for WBGene00009502. History: N.A.
Y54G2A.13,-1.2112617980324,,,Y54G2A.13,WBGene00021878,Public name for WBGene00021878. History: N.A.
R01H2.2,-1.21094103085632,,,R01H2.2,WBGene00019810,Public name for WBGene00019810. History: N.A.
T23B7.2,-1.20939451604455,,,T23B7.2,WBGene00044298,Public name for WBGene00044298. History: N.A.
M04G7.2,-1.2091203704481,,,M04G7.2,WBGene00019773,Public name for WBGene00019773. History: N.A.
D1065.3,-1.20685658691034,,-0.943471277429076,D1065.3,WBGene00017035,Public name for WBGene00017035. History: N.A.
nhr-171,-1.20344407863313,-0.9089488090064168,,nhr-171,WBGene00016926,Public name for WBGene00016926. History: N.A.
T26C12.2,-1.20139495492033,,,T26C12.2,WBGene00020832,Public name for WBGene00020832. History: N.A.
C02B10.6,-1.19964388955627,,,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
F58D5.6,-1.1995260556194,,,F58D5.6,WBGene00010245,Public name for WBGene00010245. History: N.A.
T16A1.2,-1.19923235328862,,,T16A1.2,WBGene00020533,Public name for WBGene00020533. History: N.A.
dlk-1,-1.19836674824143,-1.08549072528255,-0.590111169058324,dlk-1,WBGene00001008,Public name for WBGene00001008. History: N.A.
lsy-2,-1.19476339887891,-1.08100763231567,,lsy-2,WBGene00003087,Public name for WBGene00003087. History: N.A.
sfxn-5,-1.19354898443864,,,sfxn-5,WBGene00044049,Public name for WBGene00044049. History: N.A.
C14E2.5,-1.19271405276348,,,C14E2.5,WBGene00015774,Public name for WBGene00015774. History: N.A.
pqn-88,-1.19244008687945,,,pqn-88,WBGene00004168,Public name for WBGene00004168. History: N.A.
T28D9.9,-1.19042933162003,,,T28D9.9,WBGene00020898,Sequence name for WBGene00020898(lido-16). History: N.A.
F10C1.3,-1.18988623704108,,,F10C1.3,WBGene00017325,Public name for WBGene00017325. History: N.A.
fbxb-38,-1.18952377992722,,,fbxb-38,WBGene00016337,Public name for WBGene00016337. History: N.A.
F36H1.3,-1.18889756844625,,,F36H1.3,WBGene00009492,Public name for WBGene00009492. History: N.A.
srd-14,-1.18801060716271,-1.43728567501627,,srd-14,WBGene00005092,Public name for WBGene00005092. History: N.A.
K07F5.6,-1.18676632569989,,,K07F5.6,WBGene00010634,Public name for WBGene00010634. History: N.A.
T19D7.4,-1.18549728733262,,,T19D7.4,WBGene00020572,Sequence name for WBGene00020572(rund-1). History: N.A.
B0524.4,-1.18348020368661,,,B0524.4,WBGene00015243,Public name for WBGene00015243. History: N.A.
R08A2.2,-1.18295784079965,,,R08A2.2,WBGene00011133,Public name for WBGene00011133. History: N.A.
C56C10.6,-1.18279184345912,,,C56C10.6,WBGene00016963,Public name for WBGene00016963. History: N.A.
srw-66,-1.18097120838983,,,srw-66,WBGene00005813,Public name for WBGene00005813. History: N.A.
C17H1.3,-1.17955330239721,,,C17H1.3,WBGene00007656,Sequence name for WBGene00007656(pals-2). History: N.A.
T05C12.9,-1.17939698557736,,,T05C12.9,WBGene00011472,Public name for WBGene00011472. History: N.A.
F47H4.12,-1.1787472119315,,,F47H4.12,WBGene00043053,Public name for WBGene00043053. History: N.A.
rhr-1,-1.17859016043978,,,rhr-1,WBGene00004358,Public name for WBGene00004358. History: N.A.
T03G11.10,-1.17698847547212,,,T03G11.10,WBGene00044732,Public name for WBGene00044732. History: N.A.
ZC581.7,-1.1769625460681,,,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
F45D11.15,-1.17498482527493,,,F45D11.15,WBGene00018460,Public name for WBGene00018460. History: N.A.
Y39F10C.3,-1.1735188208358,,,Y39F10C.3,WBGene00206368,Public name for WBGene00206368. History: N.A.
R13H9.5,-1.17238853582021,,,R13H9.5,WBGene00020071,Public name for WBGene00020071. History: N.A.
F21F3.2,-1.17150055625868,,,F21F3.2,WBGene00017672,Public name for WBGene00017672. History: N.A.
T03D3.5,-1.1675488976639,-1.21947327643032,-0.797696917846847,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
T19D12.5,-1.16670866147738,,,T19D12.5,WBGene00020580,Public name for WBGene00020580. History: N.A.
F26A1.3,-1.16549731712673,,,F26A1.3,WBGene00017802,Public name for WBGene00017802. History: N.A.
nhr-104,-1.16537976024963,-0.9538962236855189,,nhr-104,WBGene00003694,Public name for WBGene00003694. History: N.A.
T04F3.3,-1.165286984971,,,T04F3.3,WBGene00011438,Public name for WBGene00011438. History: N.A.
fbxb-47,-1.16432783672706,,,fbxb-47,WBGene00019045,Public name for WBGene00019045. History: N.A.
T13F2.9,-1.1643178557212,,-0.929646873497271,T13F2.9,WBGene00011748,Public name for WBGene00011748. History: N.A.
rbf-1,-1.16346495877283,,,rbf-1,WBGene00004316,Public name for WBGene00004316. History: N.A.
F44E5.3,-1.1581472107447,,,F44E5.3,WBGene00009690,Public name for WBGene00009690. History: N.A.
F44F1.6,-1.15693296517303,,,F44F1.6,WBGene00009698,Public name for WBGene00009698. History: N.A.
T23F6.1,-1.15605062102298,-1.17359663666325,-0.911472665211145,T23F6.1,WBGene00011949,Sequence name for WBGene00011949(idpp-7). History: N.A.
C01G5.4,-1.15526393078563,,,C01G5.4,WBGene00015306,Public name for WBGene00015306. History: N.A.
R13H7.2,-1.155156711969,-1.00855126530085,,R13H7.2,WBGene00020069,Public name for WBGene00020069. History: N.A.
C33F10.8,-1.15491872507976,,,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
ddo-2,-1.15424728672883,,,ddo-2,WBGene00017565,Public name for WBGene00017565. History: N.A.
T27E7.1,-1.15412312561818,,,T27E7.1,WBGene00012087,Public name for WBGene00012087. History: N.A.
ZC132.4,-1.15171125323995,,,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y80D3A.8,-1.15169075637549,-0.9302272552474928,,Y80D3A.8,WBGene00013586,Public name for WBGene00013586. History: N.A.
C55A6.3,-1.15168098807268,,,C55A6.3,WBGene00008332,Public name for WBGene00008332. History: N.A.
F01D4.3,-1.15144544456869,,,F01D4.3,WBGene00008487,Public name for WBGene00008487. History: N.A.
nhr-286,-1.15136560228747,,,nhr-286,WBGene00044699,Public name for WBGene00044699. History: N.A.
tag-191,-1.15133843171598,,,tag-191,WBGene00007049,Public name for WBGene00007049. History: N.A.
F58E2.3,-1.14500109474401,,,F58E2.3,WBGene00019047,Public name for WBGene00019047. History: N.A.
cgt-1,-1.14488875363257,,,cgt-1,WBGene00011517,Public name for WBGene00011517. History: Renamed on 2006-03-17
W05B2.4,-1.14439042938063,-0.8768773017399019,-0.800538862913536,W05B2.4,WBGene00012272,Sequence name for WBGene00012272(dhc-4). History: N.A.
abcx-1,-1.14312982757373,,,abcx-1,WBGene00006522,"Public name for WBGene00006522. History: Split into ""WBGene00195085"" on 2010-05-06"
C42D4.2,-1.1429443300379,,,C42D4.2,WBGene00016595,Sequence name for WBGene00016595(cest-10). History: N.A.
oac-58,-1.14238489113069,,,oac-58,WBGene00019580,Public name for WBGene00019580. History: N.A.
fbxa-178,-1.1413947854302,,,fbxa-178,WBGene00017533,Public name for WBGene00017533. History: N.A.
sss-2,-1.13974808941312,,,sss-2,WBGene00006057,Public name for WBGene00006057. History: N.A.
ptl-1,-1.13970515832882,,,ptl-1,WBGene00004212,Public name for WBGene00004212. History: N.A.
F58A6.5,-1.13944361665607,,,F58A6.5,WBGene00019024,Public name for WBGene00019024. History: N.A.
F52C6.14,-1.13646139400283,,,F52C6.14,WBGene00018671,Public name for WBGene00018671. History: N.A.
Y57G11C.30,-1.13617315901089,-0.972044479028054,,Y57G11C.30,WBGene00014926,Public name for WBGene00014926. History: N.A.
C31H5.1,-1.13443877892812,,,C31H5.1,WBGene00007854,Public name for WBGene00007854. History: N.A.
F30H5.3,-1.13397861241155,,,F30H5.3,WBGene00017937,Public name for WBGene00017937. History: N.A.
T04B8.1,-1.13273006621262,,,T04B8.1,WBGene00020203,Public name for WBGene00020203. History: N.A.
M162.7,-1.13161854377403,,,M162.7,WBGene00010933,Public name for WBGene00010933. History: N.A.
F13B12.7,-1.13127536241576,,,F13B12.7,WBGene00008734,Public name for WBGene00008734. History: N.A.
Y44A6D.5,-1.13053558348227,-1.02001343707019,,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
ZK1251.3,-1.13021418853989,,,ZK1251.3,WBGene00014241,Public name for WBGene00014241. History: N.A.
fbxa-223,-1.12930876107359,,,fbxa-223,WBGene00022630,Public name for WBGene00022630. History: N.A.
H12I13.6,-1.12879328346669,,,H12I13.6,WBGene00019194,Public name for WBGene00019194. History: N.A.
Y39E4A.1,-1.12842480878143,,,Y39E4A.1,WBGene00012711,Public name for WBGene00012711. History: N.A.
C07A9.13,-1.12815300461425,-0.894432382352598,,C07A9.13,WBGene00044227,Public name for WBGene00044227. History: N.A.
nhr-221,-1.12768614707023,,,nhr-221,WBGene00020748,Public name for WBGene00020748. History: N.A.
K11H12.4,-1.12734942784063,,,K11H12.4,WBGene00019660,Public name for WBGene00019660. History: N.A.
fbxa-112,-1.12721711130987,,,fbxa-112,WBGene00013619,Public name for WBGene00013619. History: N.A.
C14E2.6,-1.12684447334111,,,C14E2.6,WBGene00015775,Public name for WBGene00015775. History: N.A.
C02F5.5,-1.12674406886409,,,C02F5.5,WBGene00015348,Public name for WBGene00015348. History: N.A.
C54G4.2,-1.12601349587799,,,C54G4.2,WBGene00008312,Public name for WBGene00008312. History: N.A.
H12I19.115,-1.12601334724246,,,H12I19.115,WBGene00194920,Public name for WBGene00194920. History: N.A.
math-20,-1.12432204555537,,,math-20,WBGene00016555,Public name for WBGene00016555. History: N.A.
C15A11.4,-1.12380308148319,,,C15A11.4,WBGene00007598,Public name for WBGene00007598. History: N.A.
Y105C5B.5,-1.12269642000603,-1.52647036234541,,Y105C5B.5,WBGene00013647,Public name for WBGene00013647. History: N.A.
Y71A12B.14,-1.12245689951218,-1.10074650717076,,Y71A12B.14,WBGene00014947,Public name for WBGene00014947. History: N.A.
C50E10.2,-1.12116193389002,,,C50E10.2,WBGene00016826,Public name for WBGene00016826. History: N.A.
F12A10.4,-1.1198732573713,,,F12A10.4,WBGene00017393,Sequence name for WBGene00017393(nep-5). History: N.A.
C18B10.6,-1.11897247730284,,,C18B10.6,WBGene00015963,Public name for WBGene00015963. History: N.A.
Y51A2B.9,-1.11859439566875,,,Y51A2B.9,WBGene00050907,Public name for WBGene00050907. History: N.A.
Y75B7B.1,-1.1170490780544,,,Y75B7B.1,WBGene00022288,Public name for WBGene00022288. History: N.A.
F36H2.6,-1.1169832416539,,,F36H2.6,WBGene00194653,Public name for WBGene00194653. History: N.A.
Y73F8A.20,-1.11511813374233,,,Y73F8A.20,WBGene00013526,Public name for WBGene00013526. History: N.A.
C55C3.8,-1.11444500188967,,,C55C3.8,WBGene00044501,Public name for WBGene00044501. History: N.A.
lgc-48,-1.11395958075583,,,lgc-48,WBGene00008223,Public name for WBGene00008223. History: N.A.
F26D2.15,-1.11334245057321,,,F26D2.15,WBGene00009153,Public name for WBGene00009153. History: N.A.
nhr-64,-1.11317213287607,-1.05670483915948,,nhr-64,WBGene00003654,Public name for WBGene00003654. History: N.A.
alh-5,-1.11122897580962,-0.8188127750024639,,alh-5,WBGene00000111,Public name for WBGene00000111. History: N.A.
C06C3.4,-1.11033822299985,,,C06C3.4,WBGene00007375,"Public name for WBGene00007375. History: Split into C06C3.12(WBGene00175031). History of WBGene00007375: Split into ""WBGene00175031"" on 2008-12-09"
Y61A9LA.3,-1.10997055242376,-1.03990332606748,-1.0902843336659,Y61A9LA.3,WBGene00022015,Public name for WBGene00022015. History: N.A.
C10G11.10,-1.10963480971598,,,C10G11.10,WBGene00015690,Public name for WBGene00015690. History: N.A.
B0513.5,-1.10960604653575,-1.23655073986815,,B0513.5,WBGene00007197,Sequence name for WBGene00007197(prdh-1). History: N.A.
ZK596.2,-1.10530631722184,,,ZK596.2,WBGene00014007,Public name for WBGene00014007. History: N.A.
F56F11.5,-1.10510627460125,,,F56F11.5,WBGene00018992,Sequence name for WBGene00018992(trpl-1). History: N.A.
C14A6.2,-1.10390546035481,,,C14A6.2,WBGene00206536,"Public name for Dead gene WBGene00007566. History of WBGene00007566: Merged into ""WBGene00206536"" on 2012-07-16"
C05C12.5,-1.1030333536394,,,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
T06E4.5,-1.1030333536394,,,T06E4.5,WBGene00011533,Public name for WBGene00011533. History: N.A.
mab-3,-1.10030158448927,-0.9277310633732568,,mab-3,WBGene00003100,Public name for WBGene00003100. History: N.A.
F58G1.8,-1.10022814629162,,,F58G1.8,WBGene00010270,Public name for WBGene00010270. History: N.A.
cpb-2,-1.10016056612557,,,cpb-2,WBGene00000771,Public name for WBGene00000771. History: N.A.
F11G11.14,-1.09873642381586,,,F11G11.14,WBGene00044384,Public name for WBGene00044384. History: N.A.
nkb-2,-1.09868379880839,,,nkb-2,WBGene00008074,Public name for WBGene00008074. History: N.A.
nas-32,-1.09845102923563,-1.00219923257186,,nas-32,WBGene00003550,Public name for WBGene00003550. History: N.A.
elo-7,-1.09806996160802,,,elo-7,WBGene00001245,Public name for WBGene00001245. History: N.A.
ZK783.6,-1.09780527840411,,,ZK783.6,WBGene00044448,Public name for WBGene00044448. History: N.A.
Y57G11C.6,-1.09777647533961,,,Y57G11C.6,WBGene00013304,Sequence name for WBGene00013304(ptp-5.2). History: N.A.
