# Table S14. mRNAs expressed in whole animals but not in distal gonads.
# * Fold changes were calculated using DESeq2, which applies statistical methods to calulate a finite estimate for genes in which 0  reads were captured in the dataset.
gene_id,public_name,whole_1,whole_2,whole_3,gonad_1,gonad_2,gonad_3,fold_change*,pvalue_adj,Input,Suggested Match,History
Y32G9A.4,srp-3,26.66389219,27.72267928,42.24110764,0,0,0,-175.86,6.9e-08,Y32G9A.4,WBGene00005644,Sequence name for WBGene00005644(srp-3). History: Renamed on 2004-04-07
F43C9.1,F43C9.1,35.55211299,38.38531081,22.29348692,0,0,0,-174.67,7.2e-08,F43C9.1,WBGene00018375,Public name for WBGene00018375. History: N.A.
EGAP7.1,dpy-3,51.35324532,24.5239694,21.11993278,0,0,0,-174.38,1.26e-07,EGAP7.1,WBGene00001065,Sequence name for WBGene00001065(dpy-3). History: N.A.
F42G2.4,fbxa-182,29.62669914,29.85522771,36.37378668,0,0,0,-174.24,5.67e-08,F42G2.4,WBGene00018353,Sequence name for WBGene00018353(fbxa-182). History: N.A.
F53A9.6,F53A9.6,34.57211891,46.91769681,14.07185342,0,0,0,-173.53,2.1e-07,F53A9.6,WBGene00018729,Public name for WBGene00018729. History: N.A.
Y110A2AL.9,Y110A2AL.9,32.59237305,27.72328824,35.1917551,0,0,0,-173.28,5.8e-08,Y110A2AL.9,WBGene00022445,Public name for WBGene00022445. History: N.A.
T20D4.10,T20D4.10,20.73954253,38.38564923,35.19656272,0,0,0,-172.36,1.02e-07,T20D4.10,WBGene00020616,"Public name for WBGene00020616. History: Split into T20D4.20(WBGene00044718). History of WBGene00020616: Split into ""WBGene00044718"" on 2006-01-13"
F45E4.5,F45E4.5,29.63109977,30.92252242,34.01356665,0,0,0,-171.83,6.16e-08,F45E4.5,WBGene00018470,Public name for WBGene00018470. History: N.A.
F59A7.2,F59A7.2,31.60594522,34.12126734,28.15049618,0,0,0,-170.51,6.63e-08,F59A7.2,WBGene00019090,Public name for WBGene00019090. History: N.A.
F16F9.5,mec-10,30.61329239,43.71627283,17.60170218,0,0,0,-167.29,1.77e-07,F16F9.5,WBGene00003174,Sequence name for WBGene00003174(mec-10). History: N.A.
M02H5.1,nhr-99,38.51423229,29.8551443,23.46773656,0,0,0,-166.18,9.93e-08,M02H5.1,WBGene00003689,Sequence name for WBGene00003689(nhr-99). History: N.A.
F14D7.7,F14D7.7,25.68061825,51.18225528,14.07409272,0,0,0,-165.94,3.98e-07,F14D7.7,WBGene00008794,Public name for WBGene00008794. History: N.A.
F41E7.7,F41E7.7,20.85034302,43.94654455,16.50567581,0,0,0,-163.42,3.54e-07,F41E7.7,WBGene00009623,Public name for WBGene00009623. History: N.A.
T17A3.8,ver-2,15.80057098,35.18634983,37.54926724,0,0,0,-162.16,2.64e-07,T17A3.8,WBGene00006895,"Sequence name for WBGene00006895(ver-2). History: Split into sqst-5(WBGene00269434). History of WBGene00006895: Split into ""WBGene00269434"" on 2016-04-19"
C41H7.7,clec-3,29.62636277,25.59012958,34.02812501,0,0,0,-162.01,1.12e-07,C41H7.7,WBGene00016577,Sequence name for WBGene00016577(clec-3). History: N.A.
F41C6.4,F41C6.4,30.12242371,40.46825918,20.46336263,0,0,0,-161.49,1.65e-07,F41C6.4,WBGene00018278,Public name for WBGene00018278. History: N.A.
T10E10.6,col-170,13.82587994,20.2589333,53.97309676,0,0,0,-161.31,7.29e-07,T10E10.6,WBGene00000743,Sequence name for WBGene00000743(col-170). History: N.A.
F36H12.1,nlp-47,29.632867,37.32078786,21.10850012,0,0,0,-160.04,1.62e-07,F36H12.1,WBGene00018117,Sequence name for WBGene00018117(nlp-47). History: N.A.
F01E11.4,tsp-16,24.68879279,27.72268022,35.2009088,0,0,0,-159.46,1.43e-07,F01E11.4,WBGene00006642,"Sequence name for WBGene00006642(tsp-16). History: Split into F01E11.20(WBGene00303051). History of WBGene00006642: Split into ""WBGene00303051"" on 2018-03-02"
F33H12.7,F33H12.7,44.44352828,30.92203234,12.90412284,0,0,0,-158.99,4.16e-07,F33H12.7,WBGene00045457,Public name for WBGene00045457. History: N.A.
F01D5.3,F01D5.3,16.79019442,41.58503524,28.15257809,0,0,0,-158.46,3.14e-07,F01D5.3,WBGene00008494,Public name for WBGene00008494. History: N.A.
Y82E9BL.14,fbxa-80,23.70150313,38.38534535,24.63990684,0,0,0,-158.18,1.87e-07,Y82E9BL.14,WBGene00022330,Sequence name for WBGene00022330(fbxa-80). History: N.A.
Y73B6BL.21,sfrp-1,25.67655692,34.12028554,26.98676573,0,0,0,-158.02,1.48e-07,Y73B6BL.21,WBGene00022242,Sequence name for WBGene00022242(sfrp-1). History: N.A.
T09F5.11,fbxa-84,27.65162201,33.05401186,25.81356472,0,0,0,-157.35,1.45e-07,T09F5.11,WBGene00011670,Sequence name for WBGene00011670(fbxa-84). History: N.A.
F52F10.3,oac-31,24.68817582,15.99376373,45.76424308,0,0,0,-157.16,4.09e-07,F52F10.3,WBGene00018707,Sequence name for WBGene00018707(oac-31). History: N.A.
F57C7.4,F57C7.4,35.55045498,33.0536696,17.60231888,0,0,0,-156.15,2.37e-07,F57C7.4,WBGene00010200,Public name for WBGene00010200. History: N.A.
T15B7.5,col-141,17.77607787,40.51783908,26.98676573,0,0,0,-156.09,3.15e-07,T15B7.5,WBGene00000714,Sequence name for WBGene00000714(col-141). History: N.A.
C24B9.9,dod-3,29.63124731,23.45849164,32.84024747,0,0,0,-155.81,1.63e-07,C24B9.9,WBGene00016052,Sequence name for WBGene00016052(dod-3). History: N.A.
F01D5.5,F01D5.5,28.64103054,15.99410999,41.05993232,0,0,0,-155.37,3.45e-07,F01D5.5,WBGene00008495,Public name for WBGene00008495. History: N.A.
F36H5.14,F36H5.14,30.62088536,29.85668663,24.62603234,0,0,0,-154.36,1.65e-07,F36H5.14,WBGene00219271,Public name for WBGene00219271. History: N.A.
C05E11.6,C05E11.6,31.60428678,34.12086327,18.76963322,0,0,0,-153.31,2.47e-07,C05E11.6,WBGene00015495,Public name for WBGene00015495. History: N.A.
C23H4.4,cest-7,21.37812143,31.85234674,42.25130055,0,0,0,-151.81,2.8e-07,C23H4.4,WBGene00007693,Sequence name for WBGene00007693(cest-7). History: N.A.
T28C6.1,grsp-2,24.0100621,28.21704247,25.88686357,0,0,0,-149.32,2.9e-07,T28C6.1,WBGene00012118,Sequence name for WBGene00012118(grsp-2). History: N.A.
T10E10.5,col-169,25.67663417,19.19267365,36.3731739,0,0,0,-147.5,3.65e-07,T10E10.5,WBGene00000742,Sequence name for WBGene00000742(col-169). History: N.A.
F45H11.1,sptf-1,19.70520434,36.36122654,23.53665195,0,0,0,-145.74,4.37e-07,F45H11.1,WBGene00009743,Sequence name for WBGene00009743(sptf-1). History: N.A.
F27E11.1,slc-28.1,29.62597573,25.5900541,24.64191787,0,0,0,-144.81,2.85e-07,F27E11.1,WBGene00017867,Sequence name for WBGene00017867(slc-28.1). History: N.A.
B0554.5,B0554.5,13.82555385,41.58390481,23.46804555,0,0,0,-144.72,9.32e-07,B0554.5,WBGene00015258,Public name for WBGene00015258. History: N.A.
H05L03.3,nlp-49,23.70850394,27.72459687,28.13764766,0,0,0,-144.66,3.03e-07,H05L03.3,WBGene00019160,Sequence name for WBGene00019160(nlp-49). History: Renamed on 2016-10-26; Renamed on 2018-10-09
C35B8.4,crb-3,27.65628732,33.05527042,18.76502684,0,0,0,-144.36,3.99e-07,C35B8.4,WBGene00044743,Sequence name for WBGene00044743(crb-3). History: N.A.
Y69A2AR.12,Y69A2AR.12,30.61358305,29.85507959,18.77467176,0,0,0,-143.7,3.88e-07,Y69A2AR.12,WBGene00022083,Public name for WBGene00022083. History: N.A.
F09G2.5,lgc-39,28.63845161,28.78881277,21.1216273,0,0,0,-142.56,3.59e-07,F09G2.5,WBGene00017314,Sequence name for WBGene00017314(lgc-39). History: N.A.
T20B3.16,clec-36,15.80082979,26.6564242,35.20089448,0,0,0,-141.94,6.71e-07,T20B3.16,WBGene00044332,Sequence name for WBGene00044332(clec-36). History: N.A.
E02C12.6,E02C12.6,20.73843048,29.85514355,25.81451785,0,0,0,-139.27,4.81e-07,E02C12.6,WBGene00017092,Public name for WBGene00017092. History: N.A.
C08H9.5,old-1,23.70088411,23.45757273,29.33527345,0,0,0,-139.04,4.41e-07,C08H9.5,WBGene00003862,Sequence name for WBGene00003862(old-1). History: N.A.
T25G12.13,T25G12.13,19.75121402,24.52395982,31.68004594,0,0,0,-138.39,5.57e-07,T25G12.13,WBGene00219274,Public name for WBGene00219274. History: N.A.
C08H9.14,chil-8,26.66375827,24.52388078,24.64097742,0,0,0,-137.61,4.42e-07,C08H9.14,WBGene00007473,Sequence name for WBGene00007473(chil-8). History: N.A.
F35A5.2,F35A5.2,21.72932018,30.9224733,22.28517042,0,0,0,-136.47,5.82e-07,F35A5.2,WBGene00018025,Public name for WBGene00018025. History: N.A.
K10C2.14,K10C2.14,9.876818694,40.51896869,23.45899591,0,0,0,-135.79,2.45e-06,K10C2.14,WBGene00206388,Public name for WBGene00206388. History: N.A.
ZK287.3,nlp-73,27.65612736,33.05522728,14.07398794,0,0,0,-135.74,9.58e-07,ZK287.3,WBGene00013964,Sequence name for WBGene00013964(nlp-73). History: N.A.
C14F5.2,zig-3,18.76394658,43.71677828,11.73285945,0,0,0,-135.72,2.28e-06,C14F5.2,WBGene00006980,Sequence name for WBGene00006980(zig-3). History: N.A.
C01B12.5,best-4,24.68832923,37.3188344,11.73422609,0,0,0,-134.21,1.62e-06,C01B12.5,WBGene00015288,Sequence name for WBGene00015288(best-4). History: N.A.
W10G11.2,W10G11.2,22.71495624,29.85556998,21.1173922,0,0,0,-134.11,6.55e-07,W10G11.2,WBGene00021135,Public name for WBGene00021135. History: N.A.
ZC8.1,hsd-2,10.86304823,27.72266835,34.0277179,0,0,0,-133.18,1.94e-06,ZC8.1,WBGene00022498,Sequence name for WBGene00022498(hsd-2). History: N.A.
ZK105.6,ZK105.6,22.71338861,22.39132862,28.16172531,0,0,0,-133.17,6.45e-07,ZK105.6,WBGene00022657,"Public name for WBGene00022657. History: Split into ZK105.14(WBGene00271707). History of WBGene00022657: Split into ""WBGene00271707"" on 2017-04-28"
F36D1.7,F36D1.7,13.82768794,40.51906243,17.59376419,0,0,0,-131.88,2.18e-06,F36D1.7,WBGene00009466,Public name for WBGene00009466. History: N.A.
B0365.5,clec-225,26.66603503,34.1208396,15.25045241,0,0,0,-131.33,1.08e-06,B0365.5,WBGene00007152,"Sequence name for WBGene00007152(clec-225). History: Split into B0365.9(WBGene00219208). History of WBGene00007152: Split into ""WBGene00219208"" on 2011-08-15"
M01B2.1,kin-30,19.75077107,28.78885055,22.29470415,0,0,0,-129.1,9.4e-07,M01B2.1,WBGene00002211,Sequence name for WBGene00002211(kin-30). History: N.A.
ZK262.2,ZK262.2,17.77595287,11.72882953,41.06759046,0,0,0,-128.51,3.14e-06,ZK262.2,WBGene00013949,Public name for WBGene00013949. History: N.A.
C03G5.7,flp-5,29.63057365,26.65724011,14.07524809,0,0,0,-127.34,1.41e-06,C03G5.7,WBGene00001448,Sequence name for WBGene00001448(flp-5). History: N.A.
F17E9.2,F17E9.2,12.83905007,40.51838877,15.25093562,0,0,0,-125.87,3.81e-06,F17E9.2,WBGene00017539,Public name for WBGene00017539. History: N.A.
F41G3.18,F41G3.18,15.8042608,25.59142116,26.97167527,0,0,0,-124.75,1.51e-06,F41G3.18,WBGene00044221,Public name for WBGene00044221. History: N.A.
T01C8.3,T01C8.3,14.81365706,28.78910448,24.63893794,0,0,0,-124.74,1.7e-06,T01C8.3,WBGene00020144,Public name for WBGene00020144. History: N.A.
ZC47.7,fbxa-151,4.937842237,21.32522022,41.0658639,0,0,0,-124.05,1.29e-05,ZC47.7,WBGene00013840,Sequence name for WBGene00013840(fbxa-151). History: N.A.
T22G5.6,lbp-8,28.64189492,26.65703156,12.90350784,0,0,0,-123.46,1.98e-06,T22G5.6,WBGene00002260,Sequence name for WBGene00002260(lbp-8). History: N.A.
C23H4.2,cest-8,26.66335552,19.1925369,22.29511922,0,0,0,-123.41,1.23e-06,C23H4.2,WBGene00007691,Sequence name for WBGene00007691(cest-8). History: N.A.
Y116A8C.20,Y116A8C.20,22.71473706,23.45789675,19.94471888,0,0,0,-120.07,1.5e-06,Y116A8C.20,WBGene00013797,Public name for WBGene00013797. History: N.A.
F17C11.13,F17C11.13,10.86534119,20.25983802,34.00850239,0,0,0,-119.19,4.42e-06,F17C11.13,WBGene00023503,Public name for WBGene00023503. History: N.A.
K02E10.6,K02E10.6,19.75194527,23.45789675,22.29115639,0,0,0,-119.16,1.65e-06,K02E10.6,WBGene00019320,Public name for WBGene00019320. History: N.A.
F09G2.6,ugt-36,23.70083214,14.92753889,26.98861001,0,0,0,-118.88,2.13e-06,F09G2.6,WBGene00017315,Sequence name for WBGene00017315(ugt-36). History: N.A.
C08H9.1,ctsa-3.2,20.73826894,25.59007804,18.7745863,0,0,0,-118.43,1.83e-06,C08H9.1,WBGene00007462,Sequence name for WBGene00007462(ctsa-3.2). History: N.A.
F15E11.12,pud-4,33.58208028,14.92813104,16.42012373,0,0,0,-116.75,3.3e-06,F15E11.12,WBGene00017498,Sequence name for WBGene00017498(pud-4). History: N.A.
F22G12.8,F22G12.8,13.82608469,28.78910672,21.1190702,0,0,0,-116.55,3.14e-06,F22G12.8,WBGene00044712,Public name for WBGene00044712. History: N.A.
C34E11.4,C34E11.4,17.77790623,23.45824088,22.28727878,0,0,0,-115.67,2.24e-06,C34E11.4,WBGene00007937,Public name for WBGene00007937. History: N.A.
F49E2.4,glb-17,14.74102463,24.57656083,23.54515896,0,0,0,-114.72,2.96e-06,F49E2.4,WBGene00009887,Sequence name for WBGene00009887(glb-17). History: N.A.
F28F9.3,F28F9.3,15.80407141,26.6576583,19.93622528,0,0,0,-113.82,3.07e-06,F28F9.3,WBGene00017907,Public name for WBGene00017907. History: N.A.
C17C3.19,ins-12,10.86552309,26.65778228,24.62574349,0,0,0,-113.8,4.94e-06,C17C3.19,WBGene00002095,Sequence name for WBGene00002095(ins-12). History: N.A.
T07G12.2,T07G12.2,18.76314536,11.72877866,31.68234198,0,0,0,-112.92,5.21e-06,T07G12.2,WBGene00011593,Public name for WBGene00011593. History: N.A.
T28B4.4,hic-1,19.75240119,17.06037743,24.63607176,0,0,0,-111.57,3.07e-06,T28B4.4,WBGene00020887,Sequence name for WBGene00020887(hic-1). History: N.A.
T21C9.8,ttr-23,17.77763554,23.45816027,19.94206208,0,0,0,-111.38,3.04e-06,T21C9.8,WBGene00011894,Sequence name for WBGene00011894(ttr-23). History: N.A.
F16F9.3,F16F9.3,21.72332672,20.96996717,26.80903748,0,0,0,-111.2,2.49e-06,F16F9.3,WBGene00017514,Public name for WBGene00017514. History: N.A.
F54E4.2,F54E4.2,19.75101659,25.5901612,15.25376361,0,0,0,-110.24,3.79e-06,F54E4.2,WBGene00010058,Public name for WBGene00010058. History: N.A.
T07C12.15,nlp-58,19.75338748,28.78971134,11.7298951,0,0,0,-109.68,5.74e-06,T07C12.15,WBGene00077775,Sequence name for WBGene00077775(nlp-58). History: N.A.
T20F7.3,T20F7.3,16.78865023,24.52399884,18.77300638,0,0,0,-109.5,3.76e-06,T20F7.3,WBGene00020631,Public name for WBGene00020631. History: N.A.
ZK525.1,flp-15,22.7187214,23.45882521,14.07201848,0,0,0,-109.25,4.06e-06,ZK525.1,WBGene00001458,Sequence name for WBGene00001458(flp-15). History: N.A.
T10C6.15,T10C6.15,20.73870086,17.06013225,22.29357819,0,0,0,-109.02,3.49e-06,T10C6.15,WBGene00050899,Public name for WBGene00050899. History: N.A.
F08D12.6,fbxb-108,20.7382799,18.12630744,21.12137971,0,0,0,-108.86,3.4e-06,F08D12.6,WBGene00017249,Sequence name for WBGene00017249(fbxb-108). History: N.A.
E03D2.1,nlp-13,17.77772788,14.92793767,26.98006185,0,0,0,-108.44,4.74e-06,E03D2.1,WBGene00003751,Sequence name for WBGene00003751(nlp-13). History: N.A.
T22H6.5,abf-5,19.7532596,24.5245331,15.24912781,0,0,0,-108.22,4.23e-06,T22H6.5,WBGene00000016,Sequence name for WBGene00000016(abf-5). History: N.A.
K03B4.9,K03B4.9,22.71384111,23.45768787,12.90676906,0,0,0,-107.16,5.15e-06,K03B4.9,WBGene00219236,Public name for WBGene00219236. History: N.A.
F35E8.11,cdr-1,15.80109516,17.06017617,25.81282873,0,0,0,-106.81,5.1e-06,F35E8.11,WBGene00000412,Sequence name for WBGene00000412(cdr-1). History: N.A.
F31F4.7,ugt-42,7.900280568,28.78882763,21.12149807,0,0,0,-106.23,1.31e-05,F31F4.7,WBGene00017959,Sequence name for WBGene00017959(ugt-42). History: N.A.
F07G6.7,fbxa-53,20.73874492,21.32517554,16.42675367,0,0,0,-106.19,4.35e-06,F07G6.7,WBGene00017226,Sequence name for WBGene00017226(fbxa-53). History: N.A.
T26C5.4,T26C5.4,12.83950528,28.78961187,16.42252603,0,0,0,-106.18,7.51e-06,T26C5.4,WBGene00012034,Public name for WBGene00012034. History: N.A.
Y47D7A.6,Y47D7A.6,11.85049867,34.12014259,11.73395931,0,0,0,-105.79,1.37e-05,Y47D7A.6,WBGene00021619,"Public name for WBGene00021619. History: Split into Y47D7A.18(WBGene00235165). History of WBGene00021619: Split into ""WBGene00235165"" on 2013-06-18"
Y51H7BR.1,fbxb-42,27.65164889,20.25891494,10.56006718,0,0,0,-105.55,7.73e-06,Y51H7BR.1,WBGene00021773,Sequence name for WBGene00021773(fbxb-42). History: N.A.
F42G2.5,F42G2.5,16.78834726,23.45764245,17.60054374,0,0,0,-105.37,5.04e-06,F42G2.5,WBGene00018354,Public name for WBGene00018354. History: N.A.
F48C1.9,F48C1.9,12.84230512,22.39302181,22.27471527,0,0,0,-104.96,6.45e-06,F48C1.9,WBGene00018601,Public name for WBGene00018601. History: N.A.
F46C3.6,F46C3.6,19.76254424,22.39433782,15.22997347,0,0,0,-104.11,5.44e-06,F46C3.6,WBGene00045253,Public name for WBGene00045253. History: N.A.
Y119D3B.19,fbxa-78,21.72650584,21.32522022,14.07972476,0,0,0,-103.62,5.89e-06,Y119D3B.19,WBGene00022495,Sequence name for WBGene00022495(fbxa-78). History: N.A.
ZK262.3,ZK262.3,10.86308231,13.86134399,31.68071264,0,0,0,-103.06,1.38e-05,ZK262.3,WBGene00013950,Sequence name for WBGene00013950(txt-8). History: N.A.
C24H11.3,tbx-38,27.65174135,10.66259486,18.77328472,0,0,0,-102.79,9.32e-06,C24H11.3,WBGene00006557,Sequence name for WBGene00006557(tbx-38). History: N.A.
Y46C8AL.5,clec-72,8.887857604,22.39133425,24.64143626,0,0,0,-102.51,1.27e-05,Y46C8AL.5,WBGene00021583,Sequence name for WBGene00021583(clec-72). History: N.A.
T07H3.1,bath-47,15.80041923,22.39126497,17.6016716,0,0,0,-101.66,6.75e-06,T07H3.1,WBGene00006464,Sequence name for WBGene00006464(bath-47). History: N.A.
F53B1.6,swip-10,17.77579365,20.25884641,17.60081797,0,0,0,-101.16,6.34e-06,F53B1.6,WBGene00018738,Sequence name for WBGene00018738(swip-10). History: N.A.
F39E9.1,F39E9.1,19.75210999,17.06032066,18.77108109,0,0,0,-100.82,6.35e-06,F39E9.1,WBGene00018194,"Public name for WBGene00018194. History: Split into ""WBGene00195075"" on 2010-04-22"
F15E6.8,dct-7,23.70906671,23.45939985,8.206292845,0,0,0,-100.16,1.47e-05,F15E6.8,WBGene00017488,Sequence name for WBGene00017488(dct-7). History: N.A.
R57.2,R57.2,11.85107725,15.99399312,26.98457943,0,0,0,-100.07,1.17e-05,R57.2,WBGene00020083,Public name for WBGene00020083. History: N.A.
F47B7.7,marg-1,18.65997017,22.35155482,20.31884892,0,0,0,-99.56,5.45e-06,F47B7.7,WBGene00018538,Sequence name for WBGene00018538(marg-1). History: N.A.
F08H9.5,clec-227,15.80078219,22.3913811,16.42721655,0,0,0,-99.51,8.12e-06,F08H9.5,WBGene00008593,Sequence name for WBGene00008593(clec-227). History: N.A.
C53B7.5,odr-10,11.85066279,20.25889801,22.29369612,0,0,0,-99.38,1.03e-05,C53B7.5,WBGene00003856,Sequence name for WBGene00003856(odr-10). History: N.A.
F57B1.1,F57B1.1,9.875514142,27.72267834,15.25373945,0,0,0,-96.89,1.92e-05,F57B1.1,WBGene00010187,Public name for WBGene00010187. History: N.A.
R11G11.14,lipl-3,20.73846614,13.86132203,18.77410838,0,0,0,-96.63,9.82e-06,R11G11.14,WBGene00020016,Sequence name for WBGene00020016(lipl-3). History: N.A.
ZC15.8,pqn-94,12.84011239,13.86181288,25.80356124,0,0,0,-95.64,1.54e-05,ZC15.8,WBGene00004173,Sequence name for WBGene00004173(pqn-94). History: N.A.
K12B6.11,K12B6.11,4.939388897,35.18909978,11.72327549,0,0,0,-95.62,7.08e-05,K12B6.11,WBGene00195164,Public name for WBGene00195164. History: N.A.
ZK380.1,tbx-32,11.85050447,18.12632775,22.2944935,0,0,0,-95.42,1.37e-05,ZK380.1,WBGene00006551,Sequence name for WBGene00006551(tbx-32). History: N.A.
F53F1.5,cut-2,18.76421444,19.19279378,14.07889334,0,0,0,-94.45,1.15e-05,F53F1.5,WBGene00009983,Sequence name for WBGene00009983(cut-2). History: Renamed on 2011-02-23
C25F9.9,C25F9.9,20.7398136,23.45796596,7.039066282,0,0,0,-92.88,2.9e-05,C25F9.9,WBGene00007728,Public name for WBGene00007728. History: N.A.
Y41C4A.17,Y41C4A.17,10.86538457,12.79569869,26.97197238,0,0,0,-92.35,2.53e-05,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
Y17G9A.3,Y17G9A.3,13.82615068,20.25902285,16.42573362,0,0,0,-92.06,1.51e-05,Y17G9A.3,WBGene00021196,Public name for WBGene00021196. History: N.A.
Y75B8A.44,Y75B8A.44,12.84041911,11.7292895,25.80191191,0,0,0,-91.67,2.33e-05,Y75B8A.44,WBGene00194855,Public name for WBGene00194855. History: N.A.
K10D11.3,K10D11.3,12.83785193,13.86126203,23.46884012,0,0,0,-91.38,1.95e-05,K10D11.3,WBGene00010747,Public name for WBGene00010747. History: N.A.
M04C3.5,M04C3.5,5.07585377,11.78796506,7.241830396,0,0,0,-91.18,0.000153,M04C3.5,WBGene00206418,Public name for WBGene00206418. History: N.A.
F46G11.1,twnk-1,11.85035873,18.12627742,19.94836146,0,0,0,-91.11,1.83e-05,F46G11.1,WBGene00018514,Sequence name for WBGene00018514(twnk-1). History: N.A.
F41G4.1,dyla-1,18.76383148,13.86139831,17.59957816,0,0,0,-91.0,1.52e-05,F41G4.1,WBGene00018307,Sequence name for WBGene00018307(dyla-1). History: N.A.
C15C8.1,xbx-9,14.81313058,12.79505488,22.2944935,0,0,0,-90.7,1.89e-05,C15C8.1,WBGene00007604,Sequence name for WBGene00007604(xbx-9). History: N.A.
F23D12.3,F23D12.3,10.86355811,26.65669432,11.73222165,0,0,0,-90.15,3.18e-05,F23D12.3,WBGene00009087,Public name for WBGene00009087. History: N.A.
F14D7.10,F14D7.10,14.8157413,17.06075176,17.5926159,0,0,0,-89.96,1.65e-05,F14D7.10,WBGene00008797,Public name for WBGene00008797. History: N.A.
Y43C5A.7,Y43C5A.7,18.76838116,20.26007511,10.55289798,0,0,0,-89.91,2.12e-05,Y43C5A.7,WBGene00044922,Public name for WBGene00044922. History: N.A.
F26G1.11,F26G1.11,10.86355811,14.92774882,23.46444329,0,0,0,-89.88,2.46e-05,F26G1.11,WBGene00045455,Public name for WBGene00045455. History: N.A.
ZK75.3,ins-3,15.80329208,19.19330043,14.07448666,0,0,0,-89.21,1.83e-05,ZK75.3,WBGene00002086,Sequence name for WBGene00002086(ins-3). History: N.A.
K08H2.7,K08H2.7,2.962935571,18.12675512,26.98052674,0,0,0,-88.62,0.000125,K08H2.7,WBGene00010693,Public name for WBGene00010693. History: N.A.
C13D9.8,ncx-9,5.92517033,18.12627118,23.46875636,0,0,0,-87.26,5.8e-05,C13D9.8,WBGene00003574,Sequence name for WBGene00003574(ncx-9). History: N.A.
F49F1.1,drd-50,23.70172296,11.72888008,12.90629743,0,0,0,-87.08,2.83e-05,F49F1.1,WBGene00018643,Sequence name for WBGene00018643(drd-50). History: N.A.
H12D21.9,H12D21.9,11.850782,17.06016338,18.77313331,0,0,0,-86.96,2.49e-05,H12D21.9,WBGene00010385,Public name for WBGene00010385. History: N.A.
C35A5.2,ugt-33,13.82549574,26.65632395,7.040492882,0,0,0,-86.73,5.52e-05,C35A5.2,WBGene00007946,Sequence name for WBGene00007946(ugt-33). History: N.A.
C12D8.16,fipr-7,4.939235752,14.92860461,26.96576998,0,0,0,-85.99,8.85e-05,C12D8.16,WBGene00007543,Sequence name for WBGene00007543(fipr-7). History: N.A.
H34P18.1,dmsr-12,20.73858594,13.86134011,12.90699989,0,0,0,-85.86,2.6e-05,H34P18.1,WBGene00019262,Sequence name for WBGene00019262(dmsr-12). History: N.A.
F59F3.6,F59F3.6,8.888537536,19.19290365,18.77058345,0,0,0,-85.73,3.73e-05,F59F3.6,WBGene00010335,Public name for WBGene00010335. History: N.A.
F58G4.6,str-146,13.82578543,20.25890203,12.90684627,0,0,0,-85.61,2.8e-05,F58G4.6,WBGene00006193,Sequence name for WBGene00006193(str-146). History: N.A.
F38C2.7,F38C2.7,19.75192384,18.12655214,9.385777317,0,0,0,-85.58,3.28e-05,F38C2.7,WBGene00009539,Public name for WBGene00009539. History: N.A.
ZC374.2,ZC374.2,16.78795956,12.79501099,17.60163196,0,0,0,-85.56,2.5e-05,ZC374.2,WBGene00013872,Public name for WBGene00013872. History: N.A.
R09D1.11,chil-23,21.95650965,11.91536955,15.52067104,0,0,0,-85.41,2.88e-05,R09D1.11,WBGene00011167,Sequence name for WBGene00011167(chil-23). History: N.A.
T07H3.6,bath-26,22.71387728,12.79510708,11.7333764,0,0,0,-85.18,3.21e-05,T07H3.6,WBGene00020329,Sequence name for WBGene00020329(bath-26). History: N.A.
T24B8.5,T24B8.5,22.7177329,15.99449654,8.209633183,0,0,0,-84.61,4.29e-05,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
C25D7.4,fbxa-82,14.49540673,16.82602214,16.72807788,0,0,0,-84.2,2.64e-05,C25D7.4,WBGene00007716,Sequence name for WBGene00007716(fbxa-82). History: N.A.
Y57A10C.1,Y57A10C.1,24.68950777,15.99395854,5.866363336,0,0,0,-83.76,6.99e-05,Y57A10C.1,WBGene00013280,Public name for WBGene00013280. History: N.A.
Y46E12BL.1,tig-3,11.85091363,25.59030924,8.213001616,0,0,0,-83.44,6.35e-05,Y46E12BL.1,WBGene00021594,Sequence name for WBGene00021594(tig-3). History: N.A.
T02B11.6,T02B11.6,12.83801654,14.92755617,17.6010259,0,0,0,-82.58,3.36e-05,T02B11.6,WBGene00020157,Public name for WBGene00020157. History: N.A.
Y75B8A.11,lury-1,11.85112338,18.12654146,15.25199467,0,0,0,-82.48,3.61e-05,Y75B8A.11,WBGene00013548,Sequence name for WBGene00013548(lury-1). History: Renamed on 2017-11-13
Y41D4B.26,Y41D4B.26,10.8635699,21.32536068,12.90540633,0,0,0,-82.39,4.46e-05,Y41D4B.26,WBGene00021525,Sequence name for WBGene00021525(cpg-24). History: N.A.
F09E5.16,F09E5.16,8.889520923,14.92818664,21.1106552,0,0,0,-82.08,5.15e-05,F09E5.16,WBGene00017292,Public name for WBGene00017292. History: N.A.
K09C8.6,nlp-19,15.80364028,14.92819677,14.07365688,0,0,0,-81.28,3.49e-05,K09C8.6,WBGene00003757,Sequence name for WBGene00003757(nlp-19). History: N.A.
C50H2.10,fipr-11,4.939201282,18.12756278,21.10404005,0,0,0,-81.13,0.000105,C50H2.10,WBGene00008244,Sequence name for WBGene00008244(fipr-11). History: N.A.
