# Table S2. 22G-RNA levels of 21U-RNA target gene in FLAGPRG-1 (WT); prg-1, FLAGPRG-1 (D583A);prg-1 and prg-1 strain.
# Only targets exhibits 8 fold enrichment of 22G-RNAs in FLAGPRG-1 (WT) over prg-1 are shown.
Gene Name,Gene ID,Transcript,21U RNA,22G-RNA level (rpm)_prg-1,22G-RNA level (rpm)_FLAG::PRG1 (WT),22G-RNA level (rpm)_FLAG::PRG-1 (D583A),Input,Suggested Match,History
AC8.4,AC8.4,AC8.4,21ur-984|Y73B6BL.81,0.5,29.3,20.4,AC8.4,WBGene00007076,Public name for WBGene00007076. History: N.A.
Y106G6D.1,Y106G6D.1,Y106G6D.1,21ur-298|Y73B6BL.51,1.1,29.3,4.4,Y106G6D.1,WBGene00013698,Public name for WBGene00013698. History: N.A.
AC8.11,AC8.11,AC8.11,21ur-984|Y73B6BL.81,0.5,29.3,20.4,AC8.11,WBGene00043989,Public name for WBGene00043989. History: N.A.
F53F4.4,F53F4.4,F53F4.4a,21ur-5509|F55B11.83,0.0,28.8,31.4,F53F4.4,WBGene00009988,Public name for WBGene00009988. History: N.A.
pan-1,M88.6,M88.6a,21ur-10887|Y57G11C.747,0.8,28.5,2.1,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
F18A11.2,F18A11.2,F18A11.2,21ur-13638|F55B11.69,0.2,28.5,31.9,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
F11C3.1,F11C3.1,F11C3.1,21ur-8343|Y51H4A.597,1.1,28.4,4.8,F11C3.1,WBGene00008695,Public name for WBGene00008695. History: N.A.
K05C4.9,K05C4.9,K05C4.9,21ur-8648|Y7A9D.46,1.1,28.3,3.6,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
F25G6.1,F25G6.1,F25G6.1,21ur-2005|Y57G11B.38,0.3,28.2,16.2,F25G6.1,WBGene00017796,Public name for WBGene00017796. History: N.A.
C27A2.7,C27A2.7,C27A2.7,21ur-3330|C35D6.29,0.0,28.1,17.5,C27A2.7,WBGene00044386,Public name for WBGene00044386. History: N.A.
C27F2.1,C27F2.1,C27F2.1,21ur-5606|C47A4.139,0.4,28.0,3.8,C27F2.1,WBGene00016165,Sequence name for WBGene00016165(wdr-60). History: N.A.
nit-1,ZK1058.6,ZK1058.6,21ur-12732|Y116A8C.377,0.7,27.9,50.6,nit-1,WBGene00014206,Public name for WBGene00014206. History: N.A.
Y39B6A.37,Y39B6A.37,Y39B6A.37,21ur-6030|Y37A1B.317,5.1,27.7,5.0,Y39B6A.37,WBGene00012695,Public name for WBGene00012695. History: N.A.
Y106G6D.1,Y106G6D.1,Y106G6D.1,21ur-7844|Y41E3.443,0.7,27.3,0.7,Y106G6D.1,WBGene00013698,Public name for WBGene00013698. History: N.A.
Y65B4BL.4,Y65B4BL.4,Y65B4BL.4,21ur-5861|Y51H4A.497,4.7,27.1,10.4,Y65B4BL.4,WBGene00022036,Public name for WBGene00022036. History: N.A.
rrf-2,M01G12.12,M01G12.12,21ur-1493|Y73F8A.425,1.1,26.8,21.8,rrf-2,WBGene00004509,Public name for WBGene00004509. History: N.A.
ZK909.3,ZK909.3,ZK909.3.1,21ur-4392|F56F12.9,0.2,26.5,2.0,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
Y82E9BR.1,Y82E9BR.1,Y82E9BR.1,21ur-13741|Y105C5B.695,0.6,26.5,15.3,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
VH15N14R.1,VH15N14R.1,VH15N14R.1,21ur-1564|C47A4.27,4.2,26.4,13.2,VH15N14R.1,WBGene00012151,Public name for WBGene00012151. History: N.A.
Y53G8B.3,Y53G8B.3,Y53G8B.3,21ur-5259|C47A4.28,0.0,26.3,21.7,Y53G8B.3,WBGene00021819,Public name for WBGene00021819. History: N.A.
H40L08.1,H40L08.1,H40L08.1,21ur-11767|ZK550.35,0.7,26.2,5.2,H40L08.1,WBGene00010433,Public name for WBGene00010433. History: N.A.
Y47H9C.9,Y47H9C.9,Y47H9C.9,21ur-7850|Y57G11C.644,1.7,25.9,1.5,Y47H9C.9,WBGene00012952,Public name for WBGene00012952. History: N.A.
F11C1.1,F11C1.1,F11C1.1,21ur-12212|Y51H4A.730,1.8,25.4,45.8,F11C1.1,WBGene00008690,Public name for WBGene00008690. History: N.A.
ndx-8,Y87G2A.14,Y87G2A.14,21ur-3294|Y57G11C.100,0.0,25.3,26.5,ndx-8,WBGene00003585,Public name for WBGene00003585. History: N.A.
fbxa-192,F57G4.8,F57G4.8,21ur-2042|Y37A1B.66,4.1,25.3,13.3,fbxa-192,WBGene00010212,Public name for WBGene00010212. History: N.A.
F26A3.4,F26A3.4,F26A3.4.1,21ur-12024|C35D6.85,0.1,24.8,29.9,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
fbxc-23,Y48E1B.11,Y48E1B.11,21ur-12263|Y105C5A.1125,0.0,24.5,2.1,fbxc-23,WBGene00013009,Public name for WBGene00013009. History: N.A.
F11C1.1,F11C1.1,F11C1.1,21ur-3061|Y105C5A.100,0.0,24.4,57.1,F11C1.1,WBGene00008690,Public name for WBGene00008690. History: N.A.
hlh-11,F58A4.7,F58A4.7a.1,21ur-6986|C11D2.84,0.2,24.2,0.2,hlh-11,WBGene00001955,Public name for WBGene00001955. History: N.A.
F33D11.8,F33D11.8,F33D11.8,21ur-10939|T08B6.60,1.4,24.0,86.7,F33D11.8,WBGene00018005,Sequence name for WBGene00018005(nlp-62). History: N.A.
bath-31,F12E12.4,F12E12.4,21ur-6533|B0350.37,1.1,23.9,1.9,bath-31,WBGene00017405,Public name for WBGene00017405. History: N.A.
fbxa-224,ZK1290.9,ZK1290.9,21ur-3029|T27E7.24,2.0,23.6,7.8,fbxa-224,WBGene00022890,Public name for WBGene00022890. History: N.A.
F01D5.10,F01D5.10,F01D5.10,21ur-949|C47A4.69,0.0,23.4,10.4,F01D5.10,WBGene00008500,Public name for WBGene00008500. History: N.A.
sdz-14,F14B6.1,F14B6.1,21ur-7001|Y57G11C.649,0.0,23.4,22.3,sdz-14,WBGene00008782,Public name for WBGene00008782. History: N.A.
ZC247.1,ZC247.1,ZC247.1,21ur-5521|F52B11.52,0.2,23.4,10.8,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
C09G1.3,C09G1.3,C09G1.3,21ur-13983|C27H2.103,0.7,23.2,22.6,C09G1.3,WBGene00007485,Public name for WBGene00007485. History: N.A.
fut-3,F59E12.13,F59E12.13,21ur-2089|Y116A8C.105,0.5,23.1,2.2,fut-3,WBGene00006402,Public name for WBGene00006402. History: N.A.
ZK673.5,ZK673.5,ZK673.5,21ur-8462|21ur-8462,0.0,23.1,3.8,ZK673.5,WBGene00014061,Public name for WBGene00014061. History: N.A.
C06A5.12,C06A5.12,C06A5.12,21ur-12018|F11E6.17,0.4,22.9,153.9,C06A5.12,WBGene00044414,Public name for WBGene00044414. History: N.A.
C18D11.1,C18D11.1,C18D11.1,21ur-5000|Y57G11A.38,0.0,22.6,5.2,C18D11.1,WBGene00007679,Public name for WBGene00007679. History: N.A.
fbxa-24,F54D10.2,F54D10.2,21ur-7986|Y105C5A.965,2.2,22.6,8.4,fbxa-24,WBGene00018803,Public name for WBGene00018803. History: N.A.
DC2.5,DC2.5,DC2.5,21ur-4150|Y116A8A.27,0.0,22.0,0.0,DC2.5,WBGene00017082,Public name for WBGene00017082. History: N.A.
fbxc-39,F45D11.10,F45D11.10,21ur-378|Y105C5A.49,1.8,21.7,6.7,fbxc-39,WBGene00018456,Public name for WBGene00018456. History: N.A.
F49E7.2,F49E7.2,F49E7.2,21ur-4571|Y105C5A.372,1.3,21.5,47.3,F49E7.2,WBGene00018634,Sequence name for WBGene00018634(pigx-1). History: N.A.
B0457.4,B0457.4,B0457.4,21ur-8874|Y37A1A.108,0.0,21.4,18.1,B0457.4,WBGene00007179,Public name for WBGene00007179. History: N.A.
Y82E9BR.1,Y82E9BR.1,Y82E9BR.1,21ur-6926|F38C2.84,0.4,20.9,7.5,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
gly-13,B0416.6,B0416.6,21ur-11543|F26D12.61,5.5,20.8,12.8,gly-13,WBGene00001638,Public name for WBGene00001638. History: N.A.
W06H8.6,W06H8.6,W06H8.6,21ur-14213|Y64G10A.298,0.0,20.5,3.0,W06H8.6,WBGene00021068,Public name for WBGene00021068. History: N.A.
Y38E10A.28,Y38E10A.28,Y38E10A.28,21ur-1859|Y73F8A.466,0.4,20.1,24.2,Y38E10A.28,WBGene00044034,"Public name for WBGene00044034. History: Split into Y38E10A.34(WBGene00304775). History of WBGene00044034: Split into ""WBGene00304775"" on 2019-03-13"
flp-16,F15D4.8,F15D4.8,21ur-13106|Y105C5A.1035,0.4,19.7,0.4,flp-16,WBGene00001459,Public name for WBGene00001459. History: N.A.
Y75D11A.1,Y75D11A.1,Y75D11A.1,21ur-8917|Y64G10A.226,0.0,19.7,16.4,Y75D11A.1,WBGene00022290,Public name for WBGene00022290. History: N.A.
ZC190.9,ZC190.9,ZC190.9,21ur-8917|Y64G10A.226,0.0,19.7,16.4,ZC190.9,WBGene00022544,"Public name for Dead gene WBGene00022543. History of WBGene00022543: Merged into ""WBGene00022544"" on 2017-11-14; Merged into ""WBGene00022544"" on 2017-11-14"
C27F2.1,C27F2.1,C27F2.1,21ur-42|Y51H4A.179,0.0,19.6,10.9,C27F2.1,WBGene00016165,Sequence name for WBGene00016165(wdr-60). History: N.A.
F44E5.2,F44E5.2,F44E5.2,21ur-5979|C09B9.29,0.0,19.3,0.7,F44E5.2,WBGene00009689,"Public name for WBGene00009689. History: Split into F44E5.15(WBGene00206377). History of WBGene00009689: Split into ""WBGene00206377"" on 2010-12-13"
unc-14,K10D3.2,K10D3.2,21ur-6851|Y73F8A.719,2.3,19.2,6.2,unc-14,WBGene00006753,Public name for WBGene00006753. History: N.A.
K02E7.12,K02E7.12,K02E7.12.1,21ur-15618|Y7A9C.17,0.7,19.2,8.5,K02E7.12,WBGene00019316,Public name for WBGene00019316. History: N.A.
F49E7.2,F49E7.2,F49E7.2,21ur-12567|E03A3.9,1.1,18.8,19.1,F49E7.2,WBGene00018634,Sequence name for WBGene00018634(pigx-1). History: N.A.
K06A5.8,K06A5.8,K06A5.8a.1,21ur-15669|Y116A8B.81,0.3,18.1,37.6,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
xpg-1,F57B10.6,F57B10.6,21ur-5181|Y73F8A.91,1.7,17.7,0.7,xpg-1,WBGene00019004,Public name for WBGene00019004. History: N.A.
K06A5.8,K06A5.8,K06A5.8a.1,21ur-12322|Y116A8C.226,0.2,17.7,19.8,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
Y50D4C.6,Y50D4C.6,Y50D4C.6,21ur-836|Y105C5B.187,0.5,17.6,2.7,Y50D4C.6,WBGene00021750,Public name for WBGene00021750. History: N.A.
C27F2.1,C27F2.1,C27F2.1,21ur-6274|Y73F8A.993,0.0,17.5,0.9,C27F2.1,WBGene00016165,Sequence name for WBGene00016165(wdr-60). History: N.A.
F53G2.2,F53G2.2,F53G2.2,21ur-54|Y105C5B.458,0.4,17.2,1.0,F53G2.2,WBGene00018767,"Public name for WBGene00018767. History: Split into F53G2.13(WBGene00304220). History of WBGene00018767: Split into ""WBGene00304220"" on 2018-11-14"
Y44A6C.2,Y44A6C.2,Y44A6C.2,21ur-7505|Y40H7A.233,1.1,16.8,7.4,Y44A6C.2,WBGene00012851,Public name for WBGene00012851. History: N.A.
pqn-83,Y39E4B.3,Y39E4B.3a,21ur-3672|Y73F8A.195,2.0,16.5,5.1,pqn-83,WBGene00004164,Public name for WBGene00004164. History: N.A.
D2045.2,D2045.2,D2045.2,21ur-15206|Y105C5B.1258,1.7,16.3,11.6,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
nas-4,C05D11.6,C05D11.6a,21ur-946|Y51H4A.42,0.0,16.2,0.0,nas-4,WBGene00003523,Public name for WBGene00003523. History: N.A.
H14E04.3,H14E04.3,H14E04.3,21ur-2701|21ur-2701,0.0,15.9,0.4,H14E04.3,WBGene00019200,Public name for WBGene00019200. History: N.A.
Y71F9AL.4,Y71F9AL.4,Y71F9AL.4,21ur-7143|Y57G11C.921,1.1,15.7,12.5,Y71F9AL.4,WBGene00022110,Public name for WBGene00022110. History: N.A.
K06A5.8,K06A5.8,K06A5.8a.1,21ur-5588|Y105C5A.856,0.0,15.6,42.8,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
Y82E9BR.1,Y82E9BR.1,Y82E9BR.1,21ur-14673|F14H8.9,0.7,15.6,8.2,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
fbxa-13,Y22D7AR.11,Y22D7AR.11,21ur-1269|Y105C5B.404,1.1,15.3,5.5,fbxa-13,WBGene00021264,Public name for WBGene00021264. History: N.A.
Y47G6A.31,Y47G6A.31,Y47G6A.31,21ur-3180|Y105C5B.507,0.5,15.1,3.8,Y47G6A.31,WBGene00044436,Public name for WBGene00044436. History: N.A.
C24A1.2,C24A1.2,C24A1.2b.2,21ur-9237|C52D10.72,0.5,15.0,2.9,C24A1.2,WBGene00016029,Sequence name for WBGene00016029(elf-1). History: N.A.
Y54G11B.1,Y54G11B.1,Y54G11B.1,21ur-13533|C47A4.116,0.7,14.7,92.1,Y54G11B.1,WBGene00013222,Sequence name for WBGene00013222(dmsr-6). History: N.A.
Y48G1BM.8,Y48G1BM.8,Y48G1BM.8,21ur-6853|Y57G11C.653,0.9,14.7,11.3,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
T25B2.4,T25B2.4,T25B2.4,21ur-14840|H12I19.56,0.0,14.6,0.3,T25B2.4,WBGene00194983,Public name for WBGene00194983. History: N.A.
pan-1,M88.6,M88.6a,21ur-3701|Y43D4A.67,1.2,14.5,0.6,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
cps-6,C41D11.8,C41D11.8.1,21ur-1587|Y105C5B.583,0.9,14.3,9.9,cps-6,WBGene00000787,Public name for WBGene00000787. History: N.A.
Y51A2A.6,Y51A2A.6,Y51A2A.6,21ur-12424|Y105C5B.1134,1.6,14.3,1.1,Y51A2A.6,WBGene00013062,Public name for WBGene00013062. History: N.A.
fbxa-111,Y102A5C.14,Y102A5C.14,21ur-10883|C11D2.79,0.2,14.2,5.2,fbxa-111,WBGene00013620,Public name for WBGene00013620. History: N.A.
nas-36,C26C6.3,C26C6.3,21ur-5701|Y116A8C.321,1.1,13.7,3.7,nas-36,WBGene00003552,Public name for WBGene00003552. History: N.A.
B0391.10,B0391.10,B0391.10,21ur-8329|Y57G11B.222,0.6,13.7,3.4,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
F11C1.1,F11C1.1,F11C1.1,21ur-13726|Y105C5A.516,0.0,13.5,19.4,F11C1.1,WBGene00008690,Public name for WBGene00008690. History: N.A.
F46B6.4,F46B6.4,F46B6.4,21ur-3763|Y10G11A.16,0.7,13.5,1.9,F46B6.4,WBGene00009769,Public name for WBGene00009769. History: N.A.
tag-279,F18E9.5,F18E9.5a.1,21ur-251|Y64G10A.136,0.6,13.3,1.0,tag-279,WBGene00017571,Other name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
gly-13,B0416.6,B0416.6,21ur-14226|F52B11.53,0.7,13.2,3.0,gly-13,WBGene00001638,Public name for WBGene00001638. History: N.A.
vet-6,F44F1.7,F44F1.7,21ur-4714|Y41E3.78,0.0,12.9,1.3,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
F45C12.2,F45C12.2,F45C12.2,21ur-8912|Y105C5A.629,0.4,12.8,2.9,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
W05F2.2,W05F2.2,W05F2.2,21ur-10380|Y64G10A.183,1.2,12.8,3.5,W05F2.2,WBGene00021034,Sequence name for WBGene00021034(enu-3.4). History: N.A.
C09E7.5,C09E7.5,C09E7.5,21ur-12974|Y37A1B.277,0.4,12.7,6.7,C09E7.5,WBGene00015639,Public name for WBGene00015639. History: N.A.
C44C1.1,C44C1.1,C44C1.1,21ur-15665|Y105C5A.936,0.0,12.7,1.1,C44C1.1,WBGene00016641,Public name for WBGene00016641. History: N.A.
tag-294,C54H2.3,C54H2.3,21ur-11856|W03F8.59,1.1,12.7,3.1,tag-294,WBGene00016937,Public name for WBGene00016937. History: N.A.
fbxa-120,C33E10.2,C33E10.2,21ur-10157|Y116A8C.372,0.4,12.4,9.3,fbxa-120,WBGene00016346,Public name for WBGene00016346. History: N.A.
fbxa-178,F17A9.1,F17A9.1,21ur-6302|F44E8.31,0.0,12.4,7.8,fbxa-178,WBGene00017533,Public name for WBGene00017533. History: N.A.
mdt-31,F32H2.2,F32H2.2,21ur-4841|Y73F8A.410,1.1,12.1,3.0,mdt-31,WBGene00007026,Public name for WBGene00007026. History: N.A.
math-44,Y16E11A.1,Y16E11A.1,21ur-13786|C26C9.10,0.4,11.9,0.9,math-44,WBGene00021193,"Public name for WBGene00021193. History: Split into Y16E11A.4(WBGene00305158). History of WBGene00021193: Split into ""WBGene00305158"" on 2019-11-21"
F43G6.4,F43G6.4,F43G6.4,21ur-13850|T12E12.36,0.0,11.8,1.9,F43G6.4,WBGene00009657,Public name for WBGene00009657. History: N.A.
fozi-1,K01B6.1,K01B6.1,21ur-8268|Y67A10A.274,0.0,11.8,5.7,fozi-1,WBGene00010453,Public name for WBGene00010453. History: N.A.
K09E3.7,K09E3.7,K09E3.7,21ur-669|Y51H4A.343,0.0,11.6,4.3,K09E3.7,WBGene00019578,Public name for WBGene00019578. History: N.A.
mks-1,R148.1,R148.1a,21ur-12717|F38A5.20,0.2,11.4,0.0,mks-1,WBGene00020100,"Public name for WBGene00020100. History: Split into R148.8(WBGene00305998). History of WBGene00020100: Split into ""WBGene00305998"" on 2020-01-20"
W06A11.4,W06A11.4,W06A11.4,21ur-8112|LLC1.112,0.9,11.3,3.2,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
fbxa-184,F45C12.8,F45C12.8,21ur-11384|H08M01.113,1.1,11.2,2.3,fbxa-184,WBGene00018439,Public name for WBGene00018439. History: N.A.
R05G9.3,R05G9.3,R05G9.3,21ur-1500|T06A10.38,0.0,10.9,6.3,R05G9.3,WBGene00019905,Public name for WBGene00019905. History: N.A.
fbxb-46,K05F6.9,K05F6.9,21ur-5940|Y105C5A.734,0.0,10.8,2.4,fbxb-46,WBGene00019420,Public name for WBGene00019420. History: N.A.
lev-10,Y105E8A.7,Y105E8A.7a,21ur-3453|Y105C5B.42,0.0,10.7,1.1,lev-10,WBGene00002977,Public name for WBGene00002977. History: N.A.
Y32G9A.10,Y32G9A.10,Y32G9A.10,21ur-8648|Y7A9D.46,0.0,10.7,3.5,Y32G9A.10,WBGene00044517,"Public name for Dead gene WBGene00021307. History of WBGene00021307: Merged into ""WBGene00044517"" on 2015-07-23"
C38D4.1,C38D4.1,C38D4.1a,21ur-10980|C11D2.86,1.1,10.6,5.3,C38D4.1,WBGene00008003,Sequence name for WBGene00008003(enu-3.2). History: N.A.
K01G5.3,K01G5.3,K01G5.3,21ur-10980|C11D2.86,1.1,10.6,5.3,K01G5.3,WBGene00010477,Sequence name for WBGene00010477(enu-3.6). History: N.A.
T03F6.3,T03F6.3,T03F6.3,21ur-14670|C29F4.6,1.1,10.6,2.4,T03F6.3,WBGene00011399,Public name for WBGene00011399. History: N.A.
Y37D8A.12,Y37D8A.12,Y37D8A.12a,21ur-10980|C11D2.86,1.1,10.6,5.3,Y37D8A.12,WBGene00012552,Sequence name for WBGene00012552(enu-3.5). History: N.A.
F18A12.7,F18A12.7,F18A12.7,21ur-3798|Y73F8A.440,0.8,10.6,0.4,F18A12.7,WBGene00017556,Public name for WBGene00017556. History: N.A.
W03G9.3,W03G9.3,W03G9.3,21ur-10980|C11D2.86,1.1,10.6,5.3,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
W06A11.4,W06A11.4,W06A11.4,21ur-5773|Y64G10A.171,0.7,10.6,3.2,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
gfi-3,M163.4,M163.4,21ur-7138|H16O14.44,1.1,10.4,5.7,gfi-3,WBGene00001583,Public name for WBGene00001583. History: N.A.
cdr-7,K01D12.13,K01D12.13a,21ur-6445|Y105C5B.1036,0.0,10.4,0.6,cdr-7,WBGene00010472,Public name for WBGene00010472. History: N.A.
sdz-14,F14B6.1,F14B6.1,21ur-12939|Y41E3.372,0.4,10.3,0.5,sdz-14,WBGene00008782,Public name for WBGene00008782. History: N.A.
F10E7.2,F10E7.2,F10E7.2,21ur-4158|H25K10.8,3.0,10.3,5.6,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
mes-1,F54F7.5,F54F7.5,21ur-12808|Y43D4A.87,0.9,10.0,12.0,mes-1,WBGene00003219,Public name for WBGene00003219. History: N.A.
R08D7.5,R08D7.5,R08D7.5,21ur-5061|Y105C5B.322,0.9,10.0,3.8,R08D7.5,WBGene00011145,Public name for WBGene00011145. History: N.A.
W10G11.19,W10G11.19,W10G11.19,21ur-5791|Y57G11B.214,0.0,9.9,11.5,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
Y50D4A.5,Y50D4A.5,Y50D4A.5,21ur-4760|Y73F8A.276,0.4,9.9,4.5,Y50D4A.5,WBGene00021739,Public name for WBGene00021739. History: N.A.
T22F3.12,T22F3.12,T22F3.12,21ur-14061|Y45F10B.50,0.0,9.9,5.3,T22F3.12,WBGene00044705,Public name for WBGene00044705. History: N.A.
skr-21,K08H2.1,K08H2.1,21ur-10844|Y105C5B.666,0.4,9.8,0.9,skr-21,WBGene00004827,Public name for WBGene00004827. History: N.A.
Y82E9BR.1,Y82E9BR.1,Y82E9BR.1,21ur-10269|ZK550.30,0.7,9.6,5.2,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
nhr-84,T06C12.7,T06C12.7,21ur-10001|Y43D4A.119,0.2,9.5,4.1,nhr-84,WBGene00003674,Public name for WBGene00003674. History: N.A.
Y37F4.6,Y37F4.6,Y37F4.6,21ur-3008|Y73F8A.116,0.4,9.5,1.4,Y37F4.6,WBGene00021387,Public name for WBGene00021387. History: N.A.
mlh-1,T28A8.7,T28A8.7.1,21ur-13996|Y73F8A.919,0.9,9.3,0.7,mlh-1,WBGene00003373,Public name for WBGene00003373. History: N.A.
fbxc-26,F58E1.12,F58E1.12,21ur-12675|Y73B6BL.103,0.4,9.3,1.1,fbxc-26,WBGene00019043,Public name for WBGene00019043. History: N.A.
glb-14,F21A3.6,F21A3.6,21ur-8322|Y41E3.389,0.0,9.2,70.5,glb-14,WBGene00008996,Public name for WBGene00008996. History: N.A.
ZC247.1,ZC247.1,ZC247.1,21ur-12657|C46G7.44,0.0,9.2,2.2,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
rabx-5,Y39A1A.5,Y39A1A.5,21ur-14746|Y41E3.290,0.4,9.1,0.7,rabx-5,WBGene00012644,Public name for WBGene00012644. History: N.A.
F58E1.13,F58E1.13,F58E1.13,21ur-4004|Y105C5B.118,0.0,9.1,2.8,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
K10B3.5,K10B3.5,K10B3.5,21ur-1482|Y57G11C.225,1.8,9.1,2.7,K10B3.5,WBGene00019611,Public name for WBGene00019611. History: N.A.
Y73E7A.8,Y73E7A.8,Y73E7A.8,21ur-13456|Y116A8C.334,0.0,9.1,2.2,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
F54D11.3,F54D11.3,F54D11.3,21ur-8095|Y73F8A.1131,0.9,8.9,2.3,F54D11.3,WBGene00018813,Public name for WBGene00018813. History: N.A.
ces-2,ZK909.4,ZK909.4,21ur-15637|Y105C5B.1156,0.0,8.8,1.8,ces-2,WBGene00000469,Public name for WBGene00000469. History: N.A.
Y106G6A.1,Y106G6A.1,Y106G6A.1,21ur-8297|Y105C5B.728,0.7,8.8,0.4,Y106G6A.1,WBGene00013694,Sequence name for WBGene00013694(mekk-3). History: N.A.
fbxc-39,F45D11.10,F45D11.10,21ur-5705|Y105C5A.932,0.7,8.8,0.7,fbxc-39,WBGene00018456,Public name for WBGene00018456. History: N.A.
T26H2.10,T26H2.10,T26H2.10,21ur-13736|Y73F8A.763,0.0,8.8,4.1,T26H2.10,WBGene00044976,Public name for WBGene00044976. History: N.A.
F45C12.2,F45C12.2,F45C12.2,21ur-4272|Y57G11A.78,0.0,8.7,0.4,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
T02G5.14,T02G5.14,T02G5.14,21ur-618|F44E8.12,0.0,8.5,4.1,T02G5.14,WBGene00020170,Public name for WBGene00020170. History: N.A.
nhr-3,H01A20.1,H01A20.1,21ur-10758|Y40H7A.217,0.5,8.4,4.1,nhr-3,WBGene00003602,Public name for WBGene00003602. History: N.A.
Y41C4A.13,Y41C4A.13,Y41C4A.13,21ur-3284|Y73F8A.159,0.0,8.4,82.6,Y41C4A.13,WBGene00012759,Sequence name for WBGene00012759(sup-1). History: N.A.
C34C12.1,C34C12.1,C34C12.1,21ur-2198|Y40H7A.111,0.5,8.3,1.0,C34C12.1,WBGene00007920,Public name for WBGene00007920. History: N.A.
C41A3.1,C41A3.1,C41A3.1,21ur-1164|Y105C5A.156,1.1,8.3,3.0,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
F15D3.8,F15D3.8,F15D3.8,21ur-7743|C06E7.87,0.0,8.1,1.6,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
B0361.4,B0361.4,B0361.4,21ur-3772|Y57G11C.127,0.4,8.1,0.0,B0361.4,WBGene00015158,Public name for WBGene00015158. History: N.A.
Y48G1C.5,Y48G1C.5,Y48G1C.5,21ur-2007|Y57G11C.88,0.4,8.1,5.4,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
kel-1,C47D12.7,C47D12.7a,21ur-5850|T22D1.15,0.0,8.0,3.9,kel-1,WBGene00002184,Public name for WBGene00002184. History: N.A.
M02D8.3,M02D8.3,M02D8.3,21ur-14115|M02D8.8,0.4,8.0,2.0,M02D8.3,WBGene00019729,Public name for WBGene00019729. History: N.A.
K10G9.2,K10G9.2,K10G9.2,21ur-2906|Y105C5B.421,0.7,7.6,169.9,K10G9.2,WBGene00010756,Public name for WBGene00010756. History: N.A.
B0281.4,B0281.4,B0281.4,21ur-6524|Y57G11C.914,0.4,7.2,60.9,B0281.4,WBGene00015111,Public name for WBGene00015111. History: N.A.
T07F10.3,T07F10.3,T07F10.3,21ur-5456|Y51H4A.501,0.1,6.6,10.3,T07F10.3,WBGene00011589,Public name for WBGene00011589. History: N.A.
T07F10.6,T07F10.6,T07F10.6,21ur-5456|Y51H4A.501,0.1,6.6,9.5,T07F10.6,WBGene00011592,Sequence name for WBGene00011592(nspg-1). History: N.A.
Y47H9C.15,Y47H9C.15,Y47H9C.15,21ur-8535|F52B11.68,0.0,6.3,9.6,Y47H9C.15,WBGene00000821,"Public name for Dead gene WBGene00012957. History of WBGene00012957: Merged into ""WBGene00000821"" on 2016-04-19"
W04C9.5,W04C9.5,W04C9.5,21ur-323|Y73F8A.398,0.0,6.3,10.9,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
ZK930.6,ZK930.6,ZK930.6,21ur-5470|F02H6.38,0.0,6.2,8.1,ZK930.6,WBGene00014156,Public name for WBGene00014156. History: N.A.
