# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
C08H9.3,chrII,-,9882662,9886364,10,1,-5.43,0.021,Sense,C08H9.3,WBGene00007464,Sequence name for WBGene00007464(algn-8). History: N.A.
C09B9.3,chrIV,-,5021177,5028954,148,30,-4.8,5.4e-15,Sense,C09B9.3,WBGene00015628,"Sequence name for WBGene00015628(best-6). History: Split into C09B9.85(WBGene00220250). History of WBGene00015628: Split into ""WBGene00220250"" on 2012-08-17"
C09D4.5,chrI,-,5484832,5485715,22,5,-3.86,0.0039,Sense,C09D4.5,WBGene00004431,Sequence name for WBGene00004431(rpl-19). History: N.A.
C09G9.2,chrIV,-,8868054,8869651,10,1,-5.43,0.021,Sense,C09G9.2,WBGene00007493,Sequence name for WBGene00007493(npp-23). History: N.A.
C10C6.6,chrIV,-,11473337,11479222,136,58,-2.31,8e-07,Sense,C10C6.6,WBGene00007514,Sequence name for WBGene00007514(catp-8). History: N.A.
C10H11.10,chrI,-,4759818,4761324,39,13,-2.89,0.0013,Sense,C10H11.10,WBGene00015698,Sequence name for WBGene00015698(kca-1). History: N.A.
C11H1.4,chrX,+,14322929,14326492,17,5,-3.04,0.042,Sense,C11H1.4,WBGene00004191,Sequence name for WBGene00004191(prx-1). History: N.A.
C12D8.1,chrV,-,10236131,10238831,27,7,-3.51,0.0025,Sense,C12D8.1,WBGene00007534,Sequence name for WBGene00007534(fubl-1). History: Renamed on 2017-12-07
C14B1.1,chrIII,-,3699830,3701434,17,6,-2.61,0.037,Sense,C14B1.1,WBGene00003962,Sequence name for WBGene00003962(pdi-1). History: N.A.
C14B9.7,chrIII,-,8129516,8130145,20,3,-5.18,0.0021,Sense,C14B9.7,WBGene00004433,Sequence name for WBGene00004433(rpl-21). History: N.A.
C14C10.3,chrV,-,12596367,12599131,259,89,-2.89,1.6e-15,Sense,C14C10.3,WBGene00007586,"Sequence name for WBGene00007586(ril-2). History: Split into C14C10.10(WBGene00303041). History of WBGene00007586: Split into ""WBGene00303041"" on 2018-03-02"
C15H11.3,chrV,-,14412382,14415770,15,5,-2.63,0.049,Sense,C15H11.3,WBGene00003834,Sequence name for WBGene00003834(nxf-1). History: N.A.
C15H9.6,chrX,-,6089350,6091723,39,15,-2.53,0.0032,Sense,C15H9.6,WBGene00002007,Sequence name for WBGene00002007(hsp-3). History: N.A.
C16A3.8,chrIII,+,6367983,6373844,10,1,-5.43,0.033,Sense,C16A3.8,WBGene00015813,Sequence name for WBGene00015813(thoc-2). History: Renamed on 2007-07-20
C17H12.1,chrIV,-,6780388,6784323,10,2,-3.62,0.049,Sense,C17H12.1,WBGene00015927,Sequence name for WBGene00015927(dyci-1). History: N.A.
C17H12.5,chrIV,-,6815922,6817561,2,19,5.77,0.015,Sense,C17H12.5,WBGene00015931,Public name for WBGene00015931. History: N.A.
C18H7.1,chrIV,+,615543,620931,37,11,-3.16,0.0036,Sense,C18H7.1,WBGene00015993,Public name for WBGene00015993. History: N.A.
C23G10.3,chrIII,+,6206768,6207874,64,26,-2.41,0.0025,Sense,C23G10.3,WBGene00004472,Sequence name for WBGene00004472(rps-3). History: N.A.
C24H11.7,chrIII,-,11751508,11773542,17,4,-3.65,0.012,Sense,C24H11.7,WBGene00007703,Sequence name for WBGene00007703(gbf-1). History: Renamed on 2005-03-17
C26C6.1,chrI,+,7495432,7503573,25,9,-2.57,0.036,Sense,C26C6.1,WBGene00007042,"Sequence name for WBGene00007042(pbrm-1). History: Renamed on 2007-08-01. Public name for Dead gene WBGene00007738. History of WBGene00007738: Merged into ""WBGene00007042"" on 2005-10-05"
C26D10.2,chrII,-,8326783,8328802,15,4,-3.16,0.029,Sense,C26D10.2,WBGene00001840,Sequence name for WBGene00001840(hel-1). History: N.A.
C32A3.1,chrIII,-,3613199,3627122,10,1,-5.43,0.021,Sense,C32A3.1,WBGene00004765,Sequence name for WBGene00004765(sel-8). History: N.A.
C33H5.4,chrIV,+,7797103,7800425,12,2,-4.44,0.031,Sense,C33H5.4,WBGene00002221,Sequence name for WBGene00002221(klp-10). History: N.A.
C34D4.14,chrIV,-,7134329,7144547,32,16,-1.94,0.03,Sense,C34D4.14,WBGene00016405,Sequence name for WBGene00016405(hecd-1). History: N.A.
C37C3.6,chrV,+,7827280,7842208,25,3,-6.41,0.00075,Sense,C37C3.6,WBGene00003242,"Sequence name for WBGene00003242(mig-6). History: N.A.. Public name for Dead gene WBGene00016498. History of WBGene00016498: Merged into ""WBGene00003242"" on 2009-03-31"
C37H5.6,chrV,-,4818751,4823330,15,5,-2.63,0.049,Sense,C37H5.6,WBGene00016509,Sequence name for WBGene00016509(adss-1). History: N.A.
C38C10.4,chrIII,-,9391170,9393065,22,6,-3.31,0.0074,Sense,C38C10.4,WBGene00001689,Sequence name for WBGene00001689(gpr-2). History: N.A.
C38D4.3,chrIII,+,4786043,4792355,22,2,-7.73,0.00066,Sense,C38D4.3,WBGene00003210,"Sequence name for WBGene00003210(mel-28). History: N.A.. Public name for Dead gene WBGene00008004. History of WBGene00008004: Merged into ""WBGene00003210"" on 2006-07-13"
C40A11.5,chrII,-,2133666,2135705,10,2,-3.62,0.049,Sense,C40A11.5,WBGene00016548,Sequence name for WBGene00016548(hpo-7). History: N.A.
C42D8.2,chrX,+,5101011,5106047,54,27,-1.97,0.023,Sense,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
C44B7.10,chrII,-,6888637,6890336,10,2,-3.62,0.049,Sense,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
C47B2.4,chrI,-,12967203,12968270,10,1,-5.43,0.021,Sense,C47B2.4,WBGene00003948,Sequence name for WBGene00003948(pbs-2). History: N.A.
C47D12.1,chrII,-,11661498,11675841,27,10,-2.56,0.012,Sense,C47D12.1,WBGene00007028,Sequence name for WBGene00007028(trr-1). History: N.A.
C47D12.6,chrII,-,11691242,11695573,22,6,-3.31,0.0074,Sense,C47D12.6,WBGene00006617,Sequence name for WBGene00006617(tars-1). History: Renamed on 2010-01-29
C47E12.5,chrIV,-,9989638,9995006,67,22,-2.94,3.1e-05,Sense,C47E12.5,WBGene00006699,Sequence name for WBGene00006699(uba-1). History: N.A.
C48G7.3,chrV,-,14784157,14815578,37,8,-4.22,0.00015,Sense,C48G7.3,WBGene00008183,Sequence name for WBGene00008183(rin-1). History: Renamed on 2012-09-25
C49H3.11,chrIV,-,7925439,7926354,27,7,-3.51,0.0025,Sense,C49H3.11,WBGene00004471,Sequence name for WBGene00004471(rps-2). History: N.A.
C50B6.2,chrV,-,13310328,13312227,49,29,-1.68,0.025,Sense,C50B6.2,WBGene00008218,Sequence name for WBGene00008218(nasp-2). History: N.A.
C53D5.6,chrI,-,310981,314990,37,17,-2.11,0.013,Sense,C53D5.6,WBGene00002077,Sequence name for WBGene00002077(imb-3). History: N.A.
C53H9.1,chrI,+,1834889,1835395,12,2,-4.44,0.031,Sense,C53H9.1,WBGene00004441,Sequence name for WBGene00004441(rpl-27). History: N.A.
D1044.6,chrIII,-,5535621,5543124,25,5,-4.28,0.0015,Sense,D1044.6,WBGene00017031,Public name for WBGene00017031. History: N.A.
D1054.15,chrV,-,10806171,10807870,10,2,-3.62,0.049,Sense,D1054.15,WBGene00006481,Sequence name for WBGene00006481(plrg-1). History: Renamed on 2005-03-17; Renamed on 2012-04-13
D1054.3,chrV,+,10771425,10772807,30,6,-4.37,0.0017,Sense,D1054.3,WBGene00008371,Public name for WBGene00008371. History: N.A.
D2013.9,chrII,+,9338919,9341142,7,0,-8.4,0.028,Sense,D2013.9,WBGene00008405,Sequence name for WBGene00008405(ttll-12). History: Renamed on 2007-05-29
D2030.1,chrI,-,7568087,7570314,7,0,-8.4,0.02,Sense,D2030.1,WBGene00008411,Sequence name for WBGene00008411(mans-1). History: N.A.
D2096.8,chrIV,-,8377686,8379301,69,23,-2.92,2.4e-05,Sense,D2096.8,WBGene00017075,Sequence name for WBGene00017075(nap-1). History: Renamed on 2013-01-09
E01A2.6,chrI,-,4137166,4138953,27,10,-2.56,0.012,Sense,E01A2.6,WBGene00017088,Sequence name for WBGene00017088(akir-1). History: N.A.
F01F1.8,chrIII,-,5853482,5855639,10,1,-5.43,0.021,Sense,F01F1.8,WBGene00000381,Sequence name for WBGene00000381(cct-6). History: N.A.
F02A9.3,chrIII,+,9081740,9082361,20,6,-2.96,0.035,Sense,F02A9.3,WBGene00001386,Sequence name for WBGene00001386(far-2). History: N.A.
F02A9.4,chrIII,-,9084273,9089286,15,3,-3.95,0.015,Sense,F02A9.4,WBGene00008514,"Sequence name for WBGene00008514(mrpl-44). History: Split into mccc-2(WBGene00303021). History of WBGene00008514: Split into ""WBGene00303021"" on 2018-03-06"
F07F6.4,chrII,-,5427421,5429540,7,0,-8.4,0.02,Sense,F07F6.4,WBGene00017217,Public name for WBGene00017217. History: N.A.
F10E9.4,chrIII,+,8308469,8309594,7,0,-8.4,0.028,Sense,F10E9.4,WBGene00017356,Public name for WBGene00017356. History: N.A.
F10G7.8,chrII,-,4696585,4698280,17,6,-2.61,0.037,Sense,F10G7.8,WBGene00004461,Sequence name for WBGene00004461(rpn-5). History: N.A.
F13B10.2,chrIII,+,3867829,3869524,59,17,-3.34,0.00018,Sense,F13B10.2,WBGene00004414,Sequence name for WBGene00004414(rpl-3). History: N.A.
F14B4.2,chrI,-,9271434,9278680,187,73,-2.55,4.8e-10,Sense,F14B4.2,WBGene00008780,Sequence name for WBGene00008780(hxk-1). History: N.A.
F16A11.1,chrI,-,9393941,9404016,7,0,-8.4,0.02,Sense,F16A11.1,WBGene00008876,Public name for WBGene00008876. History: N.A.
F17C11.7,chrV,-,10956885,10958797,7,0,-8.4,0.02,Sense,F17C11.7,WBGene00008918,Sequence name for WBGene00008918(pigt-1). History: N.A.
F19F10.9,chrV,-,7571930,7575655,12,3,-3.33,0.038,Sense,F19F10.9,WBGene00017605,Sequence name for WBGene00017605(snu-66). History: Renamed on 2021-04-19
F20C5.3,chrIV,-,8753368,8754794,20,8,-2.3,0.042,Sense,F20C5.3,WBGene00008968,Sequence name for WBGene00008968(elli-1). History: N.A.
F20D12.4,chrIV,-,7943737,7946558,20,7,-2.59,0.028,Sense,F20D12.4,WBGene00017643,Sequence name for WBGene00017643(czw-1). History: N.A.
F20H11.1,chrIII,-,6589315,6592115,15,3,-3.95,0.015,Sense,F20H11.1,WBGene00017646,Public name for WBGene00017646. History: N.A.
F20H11.2,chrIII,-,6592709,6598470,20,8,-2.3,0.042,Sense,F20H11.2,WBGene00002889,"Sequence name for WBGene00002889(let-765). History: Renamed on 2010-04-09. Public name for Dead gene WBGene00003819. History of WBGene00003819: Merged into ""WBGene00002889"" on 2010-04-09"
F20H11.6,chrIII,-,6598654,6601083,15,3,-3.95,0.015,Sense,F20H11.6,WBGene00198998,"Public name for WBGene00198998. History: N.A.. Other name for Dead gene WBGene00017649. History of WBGene00017649: Merged into ""WBGene00002889"" on 2010-06-24"
F21H12.6,chrII,-,6092723,6097555,10,2,-3.62,0.049,Sense,F21H12.6,WBGene00017686,Sequence name for WBGene00017686(tpp-2). History: N.A.
F22D6.2,chrI,-,7080414,7081499,32,10,-3.0,0.0027,Sense,F22D6.2,WBGene00009050,Public name for WBGene00009050. History: N.A.
F23C8.5,chrI,-,2418597,2420347,7,0,-8.4,0.02,Sense,F23C8.5,WBGene00017734,Public name for WBGene00017734. History: N.A.
F23C8.6,chrI,-,2420831,2421743,22,4,-4.64,0.0018,Sense,F23C8.6,WBGene00017735,Sequence name for WBGene00017735(did-2). History: N.A.
F23C8.7,chrI,-,2422405,2425074,15,4,-3.16,0.029,Sense,F23C8.7,WBGene00017736,Public name for WBGene00017736. History: N.A.
F23F1.8,chrII,-,42206,44810,20,4,-4.14,0.0048,Sense,F23F1.8,WBGene00004504,Sequence name for WBGene00004504(rpt-4). History: N.A.
F25H2.10,chrI,+,10567922,10568952,27,8,-3.12,0.012,Sense,F25H2.10,WBGene00004408,Sequence name for WBGene00004408(rla-0). History: Renamed on 2010-03-08
F25H5.4,chrI,+,9163645,9166690,74,39,-1.87,0.015,Sense,F25H5.4,WBGene00001167,Sequence name for WBGene00001167(eef-2). History: Renamed on 2010-08-03
F26A3.8,chrI,-,7643425,7649772,12,1,-6.66,0.0067,Sense,F26A3.8,WBGene00004508,Sequence name for WBGene00004508(rrf-1). History: N.A.
F26D10.10,chrIV,-,17272211,17273607,17,6,-2.61,0.037,Sense,F26D10.10,WBGene00001606,Sequence name for WBGene00001606(gln-5). History: N.A.
F26E4.1,chrI,+,9754111,9757888,15,1,-7.9,0.0042,Sense,F26E4.1,WBGene00006352,Sequence name for WBGene00006352(sur-6). History: N.A.
F26F12.1,chrV,-,5835843,5836794,12,2,-4.44,0.018,Sense,F26F12.1,WBGene00000713,Sequence name for WBGene00000713(col-140). History: N.A.
F27C1.6,chrI,-,5421510,5426359,7,0,-8.4,0.02,Sense,F27C1.6,WBGene00017855,Public name for WBGene00017855. History: N.A.
F28B3.7,chrI,-,4951570,4957670,20,8,-2.3,0.042,Sense,F28B3.7,WBGene00001860,Sequence name for WBGene00001860(him-1). History: N.A.
F28D1.7,chrIV,-,12390310,12391016,27,9,-2.81,0.0075,Sense,F28D1.7,WBGene00004492,Sequence name for WBGene00004492(rps-23). History: N.A.
F32A7.6,chrI,-,14850111,14856877,27,12,-2.16,0.027,Sense,F32A7.6,WBGene00000088,Sequence name for WBGene00000088(aex-5). History: N.A.
F32D1.1,chrV,-,4341424,4346036,17,2,-6.09,0.0022,Sense,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
F32D1.10,chrV,+,4347183,4349530,15,3,-3.95,0.027,Sense,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
F33A8.3,chrII,-,11039946,11041051,15,1,-7.9,0.0021,Sense,F33A8.3,WBGene00000472,Sequence name for WBGene00000472(cey-1). History: N.A.
F33E11.3,chrV,-,300027,304714,17,1,-9.13,0.00065,Sense,F33E11.3,WBGene00018011,Public name for WBGene00018011. History: N.A.
F37C12.9,chrIII,-,7178958,7179508,39,16,-2.38,0.0047,Sense,F37C12.9,WBGene00004483,Sequence name for WBGene00004483(rps-14). History: N.A.
F42A6.7,chrIV,-,3336922,3338863,39,17,-2.25,0.0069,Sense,F42A6.7,WBGene00001999,Sequence name for WBGene00001999(hrpa-1). History: Renamed on 2019-11-21
F42C5.8,chrIV,-,7313027,7313843,22,6,-3.31,0.0074,Sense,F42C5.8,WBGene00004477,Sequence name for WBGene00004477(rps-8). History: N.A.
F43C1.1,chrIII,+,4210534,4216678,10,1,-5.43,0.033,Sense,F43C1.1,WBGene00009647,Sequence name for WBGene00009647(phlp-2). History: N.A.
F43E2.8,chrII,-,7350057,7352574,22,7,-2.9,0.013,Sense,F43E2.8,WBGene00002008,Sequence name for WBGene00002008(hsp-4). History: N.A.
F43G6.1,chrII,+,11778066,11782141,17,1,-9.13,0.0014,Sense,F43G6.1,WBGene00001016,Sequence name for WBGene00001016(dna-2). History: N.A.
F44B9.4,chrIII,-,8005863,8009750,12,1,-6.66,0.0067,Sense,F44B9.4,WBGene00000507,Sequence name for WBGene00000507(cit-1.1). History: N.A.
F44D12.4,chrIV,-,10026382,10027637,54,30,-1.78,0.012,Sense,F44D12.4,WBGene00009681,Sequence name for WBGene00009681(gipc-2). History: N.A.
F44D12.8,chrIV,+,10023308,10025198,7,0,-8.4,0.028,Sense,F44D12.8,WBGene00009685,Public name for WBGene00009685. History: N.A.
F46B6.6,chrV,-,9783149,9786840,15,2,-5.26,0.0065,Sense,F46B6.6,WBGene00009771,Public name for WBGene00009771. History: N.A.
F46F11.9,chrI,-,5610381,5616405,62,16,-3.68,5.4e-06,Sense,F46F11.9,WBGene00018512,Sequence name for WBGene00018512(trpp-8). History: N.A.
F52E1.13,chrV,-,8416156,8438387,27,9,-2.81,0.0075,Sense,F52E1.13,WBGene00018700,Sequence name for WBGene00018700(lmd-3). History: Renamed on 2014-08-08
F52G2.2,chrIV,-,13521936,13539561,12,2,-4.44,0.018,Sense,F52G2.2,WBGene00004681,Sequence name for WBGene00004681(rsd-2). History: N.A.
F52H3.6,chrII,-,10026571,10027785,0,11,12.0,0.031,Sense,F52H3.6,WBGene00009948,Public name for WBGene00009948. History: N.A.
F53F4.11,chrV,-,13622287,13624503,10,2,-3.62,0.049,Sense,F53F4.11,WBGene00009993,Public name for WBGene00009993. History: N.A.
F53G12.5,chrI,+,128692,133809,15,2,-5.26,0.012,Sense,F53G12.5,WBGene00003229,Sequence name for WBGene00003229(mex-3). History: N.A.
F54C4.3,chrIII,-,70526,86383,7,0,-8.4,0.02,Sense,F54C4.3,WBGene00018794,Sequence name for WBGene00018794(attf-3). History: N.A.
F54D5.9,chrII,-,11542557,11544747,17,2,-6.09,0.0022,Sense,F54D5.9,WBGene00010053,Public name for WBGene00010053. History: N.A.
F54E7.2,chrIII,+,5679280,5680099,22,3,-5.8,0.0019,Sense,F54E7.2,WBGene00004481,Sequence name for WBGene00004481(rps-12). History: N.A.
F54H12.6,chrIII,-,7972310,7973315,25,10,-2.33,0.024,Sense,F54H12.6,WBGene00018846,Sequence name for WBGene00018846(eef-1B.1). History: N.A.
F55A12.7,chrI,-,5342182,5344727,10,1,-5.43,0.021,Sense,F55A12.7,WBGene00000150,Sequence name for WBGene00000150(apm-1). History: Renamed on 2015-03-05
F55F8.2,chrI,-,5646394,5649659,12,3,-3.33,0.038,Sense,F55F8.2,WBGene00018890,Public name for WBGene00018890. History: N.A.
F55G1.10,chrIV,-,7485731,7486201,62,34,-1.79,0.0079,Sense,F55G1.10,WBGene00001935,Sequence name for WBGene00001935(his-61). History: N.A.
F56F3.1,chrIII,-,4471374,4475111,37,13,-2.71,0.0026,Sense,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
F56F3.5,chrIII,+,4475885,4476855,25,8,-2.85,0.023,Sense,F56F3.5,WBGene00004470,Sequence name for WBGene00004470(rps-1). History: N.A.
F57B10.12,chrI,-,6564746,6565869,12,1,-6.66,0.0067,Sense,F57B10.12,WBGene00003184,Sequence name for WBGene00003184(mei-2). History: N.A.
F57H12.1,chrIV,+,7982508,7983913,15,3,-3.95,0.027,Sense,F57H12.1,WBGene00000183,Sequence name for WBGene00000183(arf-5). History: Renamed on 2020-09-10
F58E10.3,chrV,-,14008749,14012196,37,15,-2.37,0.0062,Sense,F58E10.3,WBGene00010260,Sequence name for WBGene00010260(ddx-17). History: N.A.
F59A2.1,chrIII,-,3400976,3404262,39,15,-2.53,0.0032,Sense,F59A2.1,WBGene00003795,Sequence name for WBGene00003795(npp-9). History: N.A.
F59D8.2,chrX,-,3558826,3563962,7,0,-8.4,0.02,Sense,F59D8.2,WBGene00006928,Sequence name for WBGene00006928(vit-4). History: N.A.
F59E12.9,chrII,-,5640050,5647014,12,3,-3.33,0.038,Sense,F59E12.9,WBGene00019124,Public name for WBGene00019124. History: N.A.
H19N07.1,chrV,-,11110424,11113047,7,0,-8.4,0.02,Sense,H19N07.1,WBGene00010405,Sequence name for WBGene00010405(erfa-3). History: N.A.
H37N21.1,chrI,-,7140276,7147229,12,3,-3.33,0.038,Sense,H37N21.1,WBGene00010427,Sequence name for WBGene00010427(hpo-11). History: N.A.
JC8.3,chrIV,-,13239646,13240528,27,9,-2.81,0.0075,Sense,JC8.3,WBGene00004424,Sequence name for WBGene00004424(rpl-12). History: N.A.
K01G5.4,chrIII,-,10746771,10747608,22,8,-2.58,0.021,Sense,K01G5.4,WBGene00004302,Sequence name for WBGene00004302(ran-1). History: N.A.
K01G5.7,chrIII,-,10740862,10742307,79,27,-2.85,9.3e-06,Sense,K01G5.7,WBGene00006536,Sequence name for WBGene00006536(tbb-1). History: N.A.
K02B12.7,chrI,-,8526753,8529264,7,0,-8.4,0.02,Sense,K02B12.7,WBGene00010500,Public name for WBGene00010500. History: N.A.
K02B2.5,chrIV,-,5947117,5947584,35,15,-2.22,0.012,Sense,K02B2.5,WBGene00004494,Sequence name for WBGene00004494(rps-25). History: N.A.
K02C4.3,chrII,-,8080715,8087116,10,2,-3.62,0.049,Sense,K02C4.3,WBGene00010502,Public name for WBGene00010502. History: N.A.
K06H7.6,chrIII,+,8080538,8083622,15,1,-7.9,0.0042,Sense,K06H7.6,WBGene00000143,Sequence name for WBGene00000143(apc-2). History: N.A.
K07A1.12,chrI,-,9618393,9619748,12,0,-13.33,0.0014,Sense,K07A1.12,WBGene00003036,Sequence name for WBGene00003036(lin-53). History: N.A.
K07F5.1,chrIV,-,9835970,9836425,15,5,-2.63,0.049,Sense,K07F5.1,WBGene00003467,Sequence name for WBGene00003467(msp-81). History: N.A.
K07H8.10,chrIV,-,8286852,8289500,52,27,-1.88,0.0093,Sense,K07H8.10,WBGene00019510,Sequence name for WBGene00019510(nucl-1). History: N.A.
K07H8.6,chrIV,+,8261153,8266348,108,43,-2.49,7.2e-05,Sense,K07H8.6,WBGene00006930,Sequence name for WBGene00006930(vit-6). History: N.A.
K08D12.1,chrIV,-,1708801,1709743,15,3,-3.95,0.015,Sense,K08D12.1,WBGene00003947,Sequence name for WBGene00003947(pbs-1). History: N.A.
K10B3.10,chrX,-,3117432,3127065,35,11,-2.96,0.0021,Sense,K10B3.10,WBGene00004951,Sequence name for WBGene00004951(spc-1). History: N.A.
K11H12.2,chrIV,-,653537,654571,67,22,-2.94,3.1e-05,Sense,K11H12.2,WBGene00004427,Sequence name for WBGene00004427(rpl-15). History: N.A.
M01E11.5,chrI,-,5571958,5572920,22,6,-3.31,0.0074,Sense,M01E11.5,WBGene00000474,Sequence name for WBGene00000474(cey-3). History: N.A.
M01F1.3,chrIII,-,3503762,3505020,7,0,-8.4,0.02,Sense,M01F1.3,WBGene00010809,Sequence name for WBGene00010809(lias-1). History: N.A.
M04C9.5,chrI,+,9359065,9362917,2,30,8.95,0.00019,Sense,M04C9.5,WBGene00001121,"Sequence name for WBGene00001121(dyf-5). History: N.A.. Public name for Dead gene WBGene00010860. History of WBGene00010860: Merged into ""WBGene00001121"" on 2006-05-22"
M106.4,chrII,-,10863614,10868730,22,7,-2.9,0.013,Sense,M106.4,WBGene00010912,Sequence name for WBGene00010912(gmps-1). History: N.A.
M18.7,chrIV,+,12123124,12124779,12,2,-4.44,0.031,Sense,M18.7,WBGene00000122,Sequence name for WBGene00000122(aly-3). History: N.A.
R05D3.7,chrIII,-,8351167,8355093,22,10,-2.11,0.046,Sense,R05D3.7,WBGene00006840,Sequence name for WBGene00006840(unc-116). History: N.A.
R05H5.3,chrII,+,10197548,10198103,7,0,-8.4,0.028,Sense,R05H5.3,WBGene00011038,Public name for WBGene00011038. History: N.A.
R06F6.8,chrII,-,10812881,10819900,12,0,-13.33,0.0014,Sense,R06F6.8,WBGene00011071,"Public name for WBGene00011071. History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
R07H5.8,chrIV,-,11209500,11210775,10,2,-3.62,0.049,Sense,R07H5.8,WBGene00011128,Sequence name for WBGene00011128(adk-1). History: N.A.
R08C7.10,chrIV,-,4442618,4445814,20,6,-2.96,0.017,Sense,R08C7.10,WBGene00019953,Sequence name for WBGene00019953(wapl-1). History: N.A.
R08D7.3,chrIII,-,8969555,8971488,15,2,-5.26,0.0065,Sense,R08D7.3,WBGene00001227,Sequence name for WBGene00001227(eif-3.D). History: N.A.
R09B3.4,chrI,+,11911313,11912036,7,0,-8.4,0.028,Sense,R09B3.4,WBGene00006707,Sequence name for WBGene00006707(ubc-12). History: N.A.
R09E10.6,chrIV,-,10292982,10294101,39,23,-1.69,0.041,Sense,R09E10.6,WBGene00011176,Public name for WBGene00011176. History: N.A.
R151.3,chrIII,+,7208383,7209684,67,14,-4.5,3.2e-06,Sense,R151.3,WBGene00004417,Sequence name for WBGene00004417(rpl-6). History: N.A.
R166.5,chrII,-,10542365,10548831,67,31,-2.11,0.0011,Sense,R166.5,WBGene00011304,Sequence name for WBGene00011304(mnk-1). History: N.A.
R53.4,chrII,-,9967397,9967969,10,2,-3.62,0.049,Sense,R53.4,WBGene00011273,Public name for WBGene00011273. History: N.A.
T01C3.5,chrV,+,14996566,14998139,7,0,-8.4,0.028,Sense,T01C3.5,WBGene00011322,Sequence name for WBGene00011322(irld-14). History: N.A.
T01E8.5,chrII,-,10242522,10247559,20,7,-2.59,0.028,Sense,T01E8.5,WBGene00011333,Sequence name for WBGene00011333(nrde-2). History: N.A.
T01G1.3,chrIV,-,11365588,11371763,7,0,-8.4,0.02,Sense,T01G1.3,WBGene00011338,Sequence name for WBGene00011338(sec-31). History: N.A.
T01H8.5,chrI,-,8549522,8570950,17,4,-3.65,0.012,Sense,T01H8.5,WBGene00001651,Sequence name for WBGene00001651(gon-2). History: N.A.
T03F1.5,chrI,-,3838238,3839675,37,20,-1.81,0.032,Sense,T03F1.5,WBGene00020187,Sequence name for WBGene00020187(gsp-4). History: N.A.
T03F6.5,chrIII,-,13371054,13376590,7,0,-8.4,0.02,Sense,T03F6.5,WBGene00003047,Sequence name for WBGene00003047(lis-1). History: N.A.
T04H1.2,chrV,-,12242306,12244925,12,3,-3.33,0.038,Sense,T04H1.2,WBGene00011449,"Public name for WBGene00011449. History: Split into T04H1.13(WBGene00303076). History of WBGene00011449: Split into ""WBGene00303076"" on 2018-03-02"
T05C12.7,chrII,+,8185375,8187317,17,4,-3.65,0.024,Sense,T05C12.7,WBGene00000377,Sequence name for WBGene00000377(cct-1). History: N.A.
T05E11.3,chrIV,+,11119422,11122910,20,5,-3.45,0.02,Sense,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
T05F1.3,chrI,-,9625097,9625782,25,7,-3.21,0.0058,Sense,T05F1.3,WBGene00004488,Sequence name for WBGene00004488(rps-19). History: N.A.
T06D8.8,chrII,-,11237523,11238835,20,6,-2.96,0.017,Sense,T06D8.8,WBGene00004465,Sequence name for WBGene00004465(rpn-9). History: N.A.
T06E4.3,chrV,-,9634833,9645475,20,5,-3.45,0.0094,Sense,T06E4.3,WBGene00000226,Sequence name for WBGene00000226(atl-1). History: N.A.
T07F8.3,chrII,+,7132581,7137398,10,0,-10.86,0.0086,Sense,T07F8.3,WBGene00001597,Sequence name for WBGene00001597(gld-3). History: N.A.
T08G11.1,chrI,-,8905631,8916797,32,9,-3.3,0.0016,Sense,T08G11.1,WBGene00011629,Public name for WBGene00011629. History: N.A.
T08G5.5,chrV,-,14034308,14038350,12,1,-6.66,0.0067,Sense,T08G5.5,WBGene00011625,Sequence name for WBGene00011625(vps-39). History: N.A.
T12A2.8,chrIII,-,6246221,6248091,10,1,-5.43,0.021,Sense,T12A2.8,WBGene00020442,Sequence name for WBGene00020442(gen-1). History: N.A.
T13H2.5,chrX,-,4596048,4605869,27,5,-4.69,0.0006,Sense,T13H2.5,WBGene00020496,Sequence name for WBGene00020496(spat-3). History: N.A.
