Gene ID,Public Name,Hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,mut-16_1,mut-16_2,mut-16_3,henn-1_1,henn-1_2,henn-1_3,wt_avg,prg-1_avg,prg-1_fold_change,prg-1_adj_p-value,Input,Suggested Match,History
W05F2.4,W05F2.4,yes,1369.3,851.76,841.19,19018.1,19569.29,20565.99,15.99,36.22,172.84,3047.33,3126.56,2998.46,1020.75,19717.8,19.32,3.17e-09,W05F2.4,WBGene00021036,"Public name for WBGene00021036. History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
F08G2.3,his-42,yes,63.59,41.89,45.44,842.02,891.61,1120.77,46.53,44.96,55.82,40.77,58.31,59.8,50.31,951.47,18.91,9.27e-107,F08G2.3,WBGene00001916,Sequence name for WBGene00001916(his-42). History: N.A.
F29B9.9,col-111,yes,1715.74,1152.97,1359.63,23943.27,24413.76,30918.64,15.99,11.24,206.12,457.17,499.87,523.12,1409.45,26425.22,18.75,0,F29B9.9,WBGene00000685,Sequence name for WBGene00000685(col-111). History: N.A.
F45H10.2,F45H10.2,yes,43.85,27.26,24.11,585.05,646.9,492.88,24.72,17.48,38.65,26.21,33.4,27.5,31.74,574.94,18.11,2.01e-71,F45H10.2,WBGene00009739,Public name for WBGene00009739. History: N.A.
C50F4.13,his-35,yes,584.34,387.65,383.03,8190.66,7216.43,8241.83,31.99,33.72,78.37,457.17,460.24,505.24,451.67,7882.97,17.45,3.32e-50,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
F08B4.2,cdh-5,yes,78.93,82.45,61.21,1124.39,1365.27,1377.92,0,0,8.59,67.7,58.87,50.18,74.2,1289.19,17.37,2e-144,F08B4.2,WBGene00000397,"Sequence name for WBGene00000397(cdh-5). History: Split into F08B4.8(WBGene00255375). History of WBGene00000397: Split into ""WBGene00255375"" on 2014-02-26"
H20J04.9,H20J04.9,yes,144.71,91.76,73.27,1897.34,1970.98,1512.93,45.07,48.71,69.78,62.61,61.7,72.18,103.25,1793.75,17.37,1.47e-93,H20J04.9,WBGene00044310,Public name for WBGene00044310. History: N.A.
Y44E3A.1,Y44E3A.1,yes,75.65,55.19,44.52,949.69,1126.62,964.33,0,1.25,11.81,42.22,65.67,51.56,58.45,1013.55,17.34,2.39e-90,Y44E3A.1,WBGene00021547,Public name for WBGene00021547. History: N.A.
T05C3.7,srg-66,yes,120.59,98.41,83.47,1715.53,1538.5,1842.95,0,0,24.69,18.93,28.87,18.56,100.82,1698.99,16.85,0.000151,T05C3.7,WBGene00005223,Sequence name for WBGene00005223(srg-66). History: N.A.
C50F4.5,his-41,yes,42.76,18.62,19.48,437.77,503.95,415.73,8.72,3.75,5.37,23.3,29.44,15.81,26.95,452.49,16.79,3.27e-46,C50F4.5,WBGene00001915,Sequence name for WBGene00001915(his-41). History: N.A.
R06C1.4,R06C1.4,yes,624.9,478.74,411.78,8005.8,7995.38,9339.02,75.61,66.19,138.48,299.93,283.05,260.53,505.14,8446.73,16.72,1.78e-62,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
F55G1.3,his-62,yes,120.59,55.19,67.7,1242.21,1387.08,1427.21,85.79,71.19,86.96,61.88,63.97,63.93,81.16,1352.17,16.66,4.99e-93,F55G1.3,WBGene00001936,Sequence name for WBGene00001936(his-62). History: N.A.
F40D4.17,F40D4.17,yes,69.07,63.83,63.07,1065.48,1091.49,1052.19,0,0,8.59,27.66,16.42,22,65.32,1069.72,16.38,1.6e-187,F40D4.17,WBGene00194682,Public name for WBGene00194682. History: N.A.
Y37E11AR.3,nape-2,yes,23.02,28.59,16.69,365.65,288.32,443.59,4.36,5,11.81,24.75,25.47,24.75,22.77,365.86,16.07,2.7e-51,Y37E11AR.3,WBGene00021370,Sequence name for WBGene00021370(nape-2). History: N.A.
F55G1.2,his-59,yes,172.12,100.4,131.7,1978.6,2002.48,2299.4,212.28,209.81,244.76,128.85,131.33,155.35,134.74,2093.49,15.54,1.56e-149,F55G1.2,WBGene00001933,Sequence name for WBGene00001933(his-59). History: N.A.
Y110A2AM.3,ubc-26,yes,296.01,222.08,167.87,4162.37,3691.2,2702.27,180.29,129.88,186.79,176.9,197,189.72,228.65,3518.61,15.39,1.24e-92,Y110A2AM.3,WBGene00022450,Sequence name for WBGene00022450(ubc-26). History: N.A.
F45F2.13,his-6,yes,42.76,32.58,27.82,461.13,523.33,597.89,17.45,27.48,33.28,25.48,26.61,25.43,34.39,527.45,15.34,3.4e-83,F45F2.13,WBGene00001880,Sequence name for WBGene00001880(his-6). History: N.A.
B0491.2,sqt-1,yes,24.12,42.55,53.79,1104.07,531.81,143.58,260.26,1512.41,53.68,29.85,51.51,71.49,40.16,593.16,14.77,0.000578,B0491.2,WBGene00005016,Sequence name for WBGene00005016(sqt-1). History: N.A.
Y39A3CL.2,rimb-1,yes,1817.69,1268.66,1401.37,19811.37,20892.16,24181.17,7.27,9.99,201.82,2622.19,2359.5,2374.3,1495.91,21628.23,14.46,0,Y39A3CL.2,WBGene00006513,Sequence name for WBGene00006513(rimb-1). History: N.A.
T10C6.11,his-4,yes,63.59,52.53,40.81,623.64,795.9,825.04,8.72,9.99,17.18,24.75,23.21,30.25,52.31,748.2,14.3,2.94e-87,T10C6.11,WBGene00001878,Sequence name for WBGene00001878(his-4). History: N.A.
W02A11.8,bath-35,yes,92.09,111.71,69.56,1218.85,1274.41,1225.77,0,5,16.1,49.5,54.91,54.99,91.12,1239.68,13.61,1.85e-130,W02A11.8,WBGene00012196,Sequence name for WBGene00012196(bath-35). History: N.A.
B0035.8,his-48,yes,133.75,89.76,91.82,1270.65,1364.06,1461.5,149.76,131.13,151.37,87.36,91.71,96.24,105.11,1365.4,12.99,9.66e-169,B0035.8,WBGene00001922,Sequence name for WBGene00001922(his-48). History: N.A.
K06C4.4,his-20,yes,41.66,33.25,26.9,386.98,449.44,484.31,5.82,7.49,8.59,19.66,19.25,23.37,33.93,440.24,12.97,5.92e-73,K06C4.4,WBGene00001894,Sequence name for WBGene00001894(his-20). History: N.A.
K06C4.12,his-22,yes,41.66,33.25,26.9,386.98,449.44,484.31,5.82,7.49,8.59,19.66,19.25,23.37,33.93,440.24,12.97,5.92e-73,K06C4.12,WBGene00001896,Sequence name for WBGene00001896(his-22). History: N.A.
F07B7.4,his-52,yes,41.66,33.25,26.9,386.98,449.44,484.31,5.82,7.49,8.59,19.66,19.25,23.37,33.93,440.24,12.97,5.92e-73,F07B7.4,WBGene00001926,Sequence name for WBGene00001926(his-52). History: N.A.
F54E12.4,his-58,yes,135.94,94.42,91.82,1310.26,1390.71,1476.5,154.12,133.63,156.73,90.27,93.41,97.61,107.39,1392.49,12.97,5.33e-180,F54E12.4,WBGene00001932,Sequence name for WBGene00001932(his-58). History: N.A.
H02I12.6,his-66,yes,135.94,94.42,91.82,1310.26,1390.71,1476.5,154.12,133.63,156.73,90.27,93.41,97.61,107.39,1392.49,12.97,5.33e-180,H02I12.6,WBGene00001940,Sequence name for WBGene00001940(his-66). History: N.A.
VF13D12L.1,inos-1,yes,7709.3,5556.72,5675.02,79897.57,78775.05,86907.78,6052.95,6278.18,6524.87,5427.11,4825.43,4835.21,6313.68,81860.13,12.97,7.85e-254,VF13D12L.1,WBGene00012148,Sequence name for WBGene00012148(inos-1). History: N.A.
F45F2.12,his-8,yes,40.56,33.91,25.97,375.81,434.9,480.02,5.82,7.49,8.59,21.11,19.81,25.43,33.48,430.24,12.85,2.72e-69,F45F2.12,WBGene00001882,Sequence name for WBGene00001882(his-8). History: N.A.
K08A2.4,lido-7,yes,343.15,280.6,294,3923.68,3935.91,3743.75,94.51,98.66,154.59,291.19,255.31,281.15,305.91,3867.78,12.64,1.1599999999999998e-233,K08A2.4,WBGene00019513,Sequence name for WBGene00019513(lido-7). History: N.A.
K06C4.5,his-17,yes,40.56,25.93,26.9,355.5,384.02,439.31,27.63,27.48,35.43,24.02,25.47,23.37,31.13,392.94,12.62,1.59e-69,K06C4.5,WBGene00001891,Sequence name for WBGene00001891(his-17). History: N.A.
K06C4.13,his-27,yes,40.56,25.93,26.9,355.5,385.23,430.74,27.63,27.48,35.43,24.02,25.47,22.68,31.13,390.49,12.54,2.47e-70,K06C4.13,WBGene00001901,Sequence name for WBGene00001901(his-27). History: N.A.
F07B7.5,his-49,yes,40.56,25.93,26.9,355.5,385.23,430.74,27.63,27.48,35.43,24.02,25.47,22.68,31.13,390.49,12.54,2.47e-70,F07B7.5,WBGene00001923,Sequence name for WBGene00001923(his-49). History: N.A.
ZK250.8,math-50,yes,35.08,39.9,24.11,391.05,413.09,432.88,2.91,2.5,0,24.02,22.08,22.68,33.03,412.34,12.48,5.2700000000000007e-73,ZK250.8,WBGene00022691,Sequence name for WBGene00022691(math-50). History: N.A.
C47D12.8,xpf-1,yes,8056.83,5888.52,6019.1,80861.47,79703,87777.82,6548.76,6736.52,7021.91,5766.35,5181.5,5159.67,6654.82,82780.76,12.44,4.01e-265,C47D12.8,WBGene00008140,Sequence name for WBGene00008140(xpf-1). History: Renamed on 2013-10-11; Renamed on 2015-07-01
T16H12.2,T16H12.2,yes,631.48,591.11,399.73,6768.67,6960.82,6426.74,2.91,16.24,64.41,1338.03,1517.71,1541.16,540.77,6718.75,12.42,5.56e-07,T16H12.2,WBGene00011812,Public name for WBGene00011812. History: N.A.
F07B7.11,his-54,yes,46.05,37.9,29.68,404.25,474.88,512.17,7.27,7.49,9.66,23.3,24.34,26.81,37.87,463.77,12.24,4.95e-74,F07B7.11,WBGene00001928,Sequence name for WBGene00001928(his-54). History: N.A.
W04A8.2,W04A8.2,yes,2946.9,2415.65,2007.91,29216.82,30098.96,30914.35,42.17,28.72,239.4,585.3,698,599.42,2456.82,30076.71,12.24,5.08e-07,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
C31C9.4,fbxa-168,yes,199.53,170.88,154.88,1930.86,2009.75,2284.4,2.91,1.25,19.32,179.08,200.4,178.73,175.1,2075,11.85,3.06e-186,C31C9.4,WBGene00007838,"Sequence name for WBGene00007838(fbxa-168). History: Split into fbxa-169(WBGene00045289). History of WBGene00007838: Split into ""WBGene00045289"" on 2007-02-26"
Y55F3BR.2,Y55F3BR.2,yes,2821.92,2153.67,2198.97,26276.35,27834.81,29364.99,152.67,88.67,285.56,1384.62,1388.64,1460.74,2391.52,27825.38,11.64,2.13e-23,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
Y32F6A.5,Y32F6A.5,yes,810.18,699.49,687.23,8062.68,7673.14,9816.9,5.82,6.24,78.37,489.93,548.55,565.73,732.3,8517.58,11.63,1.55e-05,Y32F6A.5,WBGene00012530,Public name for WBGene00012530. History: N.A.
T05C3.8,srg-65,yes,36.18,38.57,30.61,433.71,274.99,447.88,2.91,1.25,5.37,11.65,10.76,16.5,35.12,385.53,10.98,7.679999999999999e-40,T05C3.8,WBGene00005222,Sequence name for WBGene00005222(srg-65). History: N.A.
F59A1.7,fbxa-108,yes,77.84,55.85,59.36,698.81,697.78,702.89,111.96,88.67,85.88,77.17,72.46,64.62,64.35,699.83,10.88,1.18e-124,F59A1.7,WBGene00010293,Sequence name for WBGene00010293(fbxa-108). History: N.A.
W02A11.5,bath-34,yes,355.21,320.49,270.81,3368.09,3353.21,3493.03,14.54,11.24,40.79,206.02,225.87,251.59,315.5,3404.77,10.79,2.2300000000000002e-181,W02A11.5,WBGene00012195,Sequence name for WBGene00012195(bath-34). History: N.A.
C34C12.9,C34C12.9,yes,164.45,179.53,133.55,1606.85,1815.92,1716.51,0,1.25,13.96,31.3,39.63,32.31,159.18,1713.09,10.76,3.18e-151,C34C12.9,WBGene00007928,Public name for WBGene00007928. History: N.A.
ZC204.2,duxl-1,yes,188.57,121.02,106.66,1190.41,1441.59,1742.23,53.8,54.95,46.16,81.53,73.03,73.55,138.75,1458.08,10.51,2.4599999999999997e-69,ZC204.2,WBGene00022554,Sequence name for WBGene00022554(duxl-1). History: Renamed on 2011-09-30; Renamed on 2011-10-14
F52C6.6,math-31,yes,133.75,73.14,82.54,966.95,950.97,1095.05,0,0,4.29,76.44,108.69,105.86,96.48,1004.32,10.41,1.91e-59,F52C6.6,WBGene00018663,Sequence name for WBGene00018663(math-31). History: N.A.
Y59A8B.11,fbxa-106,yes,180.89,135.64,107.58,1427.07,1519.12,1388.64,13.09,9.99,15.03,138.32,167.57,151.23,141.37,1444.94,10.22,1.0300000000000001e-110,Y59A8B.11,WBGene00013348,Sequence name for WBGene00013348(fbxa-106). History: N.A.
K09B3.1,K09B3.1,yes,55.91,39.9,45.44,418.47,463.97,529.31,0,0,3.22,5.1,9.06,9.62,47.08,470.59,9.99,1.27e-62,K09B3.1,WBGene00019545,Public name for WBGene00019545. History: N.A.
C36A4.11,C36A4.11,yes,328.9,300.54,295.85,2790.15,2941.33,3304.45,40.71,32.47,53.68,267.17,253.61,302.46,308.43,3011.97,9.77,1.31e-226,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
K06B9.6,K06B9.6,yes,328.9,300.54,295.85,2790.15,2941.33,3304.45,40.71,32.47,53.68,267.17,253.61,302.46,308.43,3011.97,9.77,1.31e-226,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
Y39A3CR.4,ddp-1,yes,100.86,33.91,49.15,480.43,558.46,745.75,58.16,64.94,68.71,61.15,63.4,54.99,61.31,594.88,9.7,9.33e-29,Y39A3CR.4,WBGene00000941,Sequence name for WBGene00000941(ddp-1). History: N.A.
F53H1.3,F53H1.3,yes,1073.29,858.41,762.36,8264.81,8248.56,9163.3,287.89,286,357.48,424.41,446.65,404.19,898.02,8558.89,9.53,3.0999999999999997e-177,F53H1.3,WBGene00018777,Public name for WBGene00018777. History: N.A.
C52E4.2,mif-2,yes,451.68,390.31,384.89,3533.65,4150.33,3850.9,2.91,14.99,31.13,498.67,453.45,504.56,408.96,3844.96,9.4,1.72e-221,C52E4.2,WBGene00003235,Sequence name for WBGene00003235(mif-2). History: N.A.
Y46H3A.3,hsp-16.2,yes,43.85,39.23,44.52,780.06,325.87,87.86,223.91,1114.01,81.59,27.66,51.51,47.43,42.53,397.93,9.36,0.00148,Y46H3A.3,WBGene00002016,Sequence name for WBGene00002016(hsp-16.2). History: N.A.
D2030.12,D2030.12,yes,41.66,49.2,44.52,704.9,495.47,49.29,228.28,803.04,19.32,29.85,60.01,54.99,45.13,416.55,9.23,0.00785,D2030.12,WBGene00008421,Public name for WBGene00008421. History: N.A.
B0348.5,B0348.5,yes,329.99,278.6,230.01,2181.74,2616.67,2942.29,1.45,2.5,22.54,128.12,116.62,114.11,279.53,2580.23,9.23,2.45e-12,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
F07B7.2,F07B7.2,yes,1913.07,1674.26,1530.28,13856.28,15549.79,16631.52,549.61,562,692.42,809.52,986.71,969.24,1705.87,15345.86,9,4.87e-175,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
W09B7.2,W09B7.2,yes,1913.07,1674.26,1530.28,13856.28,15549.79,16631.52,549.61,562,692.42,809.52,986.71,969.24,1705.87,15345.86,9,4.87e-175,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
Y71G12B.9,lin-65,yes,1050.27,836.47,832.84,8275.98,8111.67,7234.64,1160.28,1145.23,1114.32,1074.5,1119.74,1033.86,906.53,7874.1,8.69,1.03e-272,Y71G12B.9,WBGene00022149,Sequence name for WBGene00022149(lin-65). History: N.A.
C01B4.7,C01B4.7,yes,381.52,331.79,247.63,2746.47,2719.64,2792.28,7.27,5,18.25,353.8,414.38,402.13,320.31,2752.8,8.59,7.000000000000001e-119,C01B4.7,WBGene00015271,Public name for WBGene00015271. History: N.A.
Y19D10A.4,Y19D10A.4,yes,381.52,331.79,247.63,2746.47,2719.64,2792.28,7.27,5,18.25,353.8,414.38,402.13,320.31,2752.8,8.59,7.000000000000001e-119,Y19D10A.4,WBGene00021219,Public name for WBGene00021219. History: N.A.
Y66D12A.14,nrps-1,yes,823.33,822.5,731.75,5901.26,6287.27,7753.23,14.54,8.74,51.53,1110.17,1231.83,1165.15,792.53,6647.25,8.39,3.3e-13,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
C15F1.5,C15F1.5,yes,156.77,153.6,160.45,1311.28,1270.78,1347.92,68.34,52.45,50.46,79.35,84.91,68.05,156.94,1309.99,8.35,7.73e-197,C15F1.5,WBGene00015796,Public name for WBGene00015796. History: N.A.
F28D9.4,F28D9.4,yes,114.02,93.75,111.29,859.29,791.06,1002.91,125.04,169.85,150.29,123.03,116.62,105.86,106.35,884.42,8.32,5.81e-102,F28D9.4,WBGene00009220,"Public name for WBGene00009220. History: Split into pigl-1(WBGene00013131). History of WBGene00009220: Split into ""WBGene00013131"" on 2010-03-11"
Y56A3A.19,Y56A3A.19,yes,115.11,83.78,95.53,843.04,797.11,807.9,75.61,99.91,92.32,59.69,53.21,81.8,98.14,816.02,8.31,1.0299999999999999e-84,Y56A3A.19,WBGene00013237,Public name for WBGene00013237. History: N.A.
M02B7.3,osm-3,yes,3167.26,2841.86,2973.38,21879.35,23311.37,26169.84,23.26,16.24,183.57,2888.63,2726.33,2855.48,2994.17,23786.85,7.94,0.000215,M02B7.3,WBGene00003884,Sequence name for WBGene00003884(osm-3). History: N.A.
F57A8.10,F57A8.10,yes,39.47,33.25,24.11,229.55,249.55,272.16,0,1.25,2.15,10.19,16.42,22,32.28,250.42,7.76,1.52e-31,F57A8.10,,Public name for Dead gene WBGene00206465. History of WBGene00206465: Killed on 2014-09-18. Remark: [141009 gw3] This gene has been killed because it was a repetitive region of the 3'UTR of the gene F57A8.2.
Y38H8A.5,fezf-1,yes,69.07,50.53,42.66,400.19,453.07,396.45,0,0,2.15,6.55,3.96,4.12,54.09,416.57,7.7,4.06e-49,Y38H8A.5,WBGene00012639,Sequence name for WBGene00012639(fezf-1). History: N.A.
Y20F4.4,Y20F4.4,yes,7723.55,6561.42,6137.81,50178.99,50547.74,56231.29,1541.23,1562.36,2004.27,3131.05,3368.29,3441.84,6807.59,52319.34,7.69,4.66e-168,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
C35B1.5,C35B1.5,yes,339.86,270.62,383.96,2240.65,2615.46,2704.42,1.45,2.5,16.1,456.45,431.93,511.43,331.48,2520.17,7.6,1.89e-97,C35B1.5,WBGene00016435,Public name for WBGene00016435. History: N.A.
F09D1.1,usp-39,yes,577.76,593.77,487.83,3857.66,4588.86,3902.33,431.83,440.86,487.38,616.6,624.97,599.42,553.12,4116.28,7.44,8.06e-208,F09D1.1,WBGene00017280,Sequence name for WBGene00017280(usp-39). History: N.A.
F23C8.12,F23C8.12,yes,37.27,33.91,41.73,279.32,281.05,278.58,0,0,1.07,32.76,28.3,32.31,37.64,279.65,7.43,9.46e-51,F23C8.12,WBGene00017739,"Public name for Dead gene WBGene00017740. History of WBGene00017740: Merged into ""WBGene00017739"" on 2014-05-28"
ZK131.4,his-10,yes,105.25,89.1,123.35,636.85,759.56,921.47,39.26,61.2,54.75,115.02,118.88,136.79,105.9,772.63,7.3,1.44e-58,ZK131.4,WBGene00001884,Sequence name for WBGene00001884(his-10). History: N.A.
ZK131.8,his-14,yes,105.25,89.1,123.35,636.85,759.56,921.47,39.26,61.2,54.75,115.02,118.88,136.79,105.9,772.63,7.3,1.44e-58,ZK131.8,WBGene00001888,Sequence name for WBGene00001888(his-14). History: N.A.
ZK131.1,his-26,yes,105.25,89.1,123.35,636.85,759.56,921.47,39.26,61.2,54.75,115.02,118.88,136.79,105.9,772.63,7.3,1.44e-58,ZK131.1,WBGene00001900,Sequence name for WBGene00001900(his-26). History: N.A.
Y38H6A.5,Y38H6A.5,yes,44.95,47.87,43.59,298.62,337.99,357.87,2.91,2.5,5.37,44.41,44.16,44.68,45.47,331.49,7.29,3.3100000000000004e-56,Y38H6A.5,WBGene00077669,Public name for WBGene00077669. History: N.A.
W09G3.1,W09G3.1,yes,323.41,266.63,260.61,1977.58,1979.46,2196.53,93.06,88.67,109.5,125.21,133.6,132.67,283.55,2051.19,7.23,1.45e-183,W09G3.1,WBGene00012365,Public name for WBGene00012365. History: N.A.
T10C6.13,his-2,yes,71.26,85.11,63.07,506.84,486.99,591.46,145.4,116.15,134.19,60.42,77.56,71.49,73.15,528.43,7.22,9.61e-70,T10C6.13,WBGene00001876,Sequence name for WBGene00001876(his-2). History: N.A.
K08D12.6,K08D12.6,yes,340.95,211.44,265.25,1561.14,1748.08,2451.55,1.45,5,17.18,97.55,88.88,100.36,272.55,1920.26,7.05,1.19e-40,K08D12.6,WBGene00019540,Sequence name for WBGene00019540(epic-2). History: N.A.
Y8G1A.1,math-46,yes,77.84,79.13,73.27,463.16,506.37,636.46,1.45,0,5.37,45.13,69.63,56.37,76.74,535.33,6.98,1.09e-47,Y8G1A.1,WBGene00021175,Sequence name for WBGene00021175(math-46). History: N.A.
Y71H2AL.2,Y71H2AL.2,yes,77.84,68.49,54.72,443.86,503.95,443.59,0,0,1.07,36.4,52.08,50.18,67.01,463.8,6.92,6.66e-55,Y71H2AL.2,WBGene00022165,"Public name for WBGene00022165. History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
F55C7.7,unc-73,yes,83.32,67.82,78.83,459.1,594.81,531.45,31.99,31.22,36.5,172.53,134.17,127.86,76.66,528.45,6.89,7.13e-58,F55C7.7,WBGene00006805,Sequence name for WBGene00006805(unc-73). History: Renamed on 2015-03-04
Y9D1A.1,Y9D1A.1,yes,373.84,356.4,535.13,2241.67,2520.97,3947.33,1.45,1.25,12.88,184.91,150.02,158.1,421.79,2903.32,6.88,8.54e-16,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
T11F9.6,nas-22,yes,58.1,50.53,63.07,382.92,391.29,394.3,0,0,3.22,46.59,49.82,53.62,57.23,389.51,6.81,4.16e-65,T11F9.6,WBGene00003541,Sequence name for WBGene00003541(nas-22). History: N.A.
Y71H2AL.1,pbo-1,yes,664.37,599.09,519.37,3676.86,4129.73,4009.48,4.36,6.24,27.91,943.47,1133.9,1006.36,594.28,3938.69,6.63,5.51e-125,Y71H2AL.1,WBGene00003941,"Sequence name for WBGene00003941(pbo-1). History: N.A.. Public name for Dead gene WBGene00022164. History of WBGene00022164: Merged into ""WBGene00003941"" on 2011-09-06"
Y43F4B.9,Y43F4B.9,yes,652.31,541.91,495.25,3493.02,3440.43,4135.91,85.79,86.17,124.53,424.41,428.54,434.44,563.16,3689.79,6.55,6.81e-117,Y43F4B.9,WBGene00012806,"Sequence name for WBGene00012806(dph-7). History: Split into ""WBGene00045284"" on 2007-02-20"
C30G4.6,irld-23,yes,1262.96,1063.87,1148.17,7265.35,7290.33,8085.39,615.04,635.69,694.57,1194.62,1148.61,1169.28,1158.33,7547.02,6.52,4.24e-293,C30G4.6,WBGene00016271,Sequence name for WBGene00016271(irld-23). History: N.A.
C46G7.5,C46G7.5,yes,357.4,272.62,266.18,1915.62,2103.03,1763.66,7.27,7.49,23.62,270.81,339.66,358.83,298.73,1927.44,6.45,1.3000000000000001e-71,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
C43D7.9,fbxb-64,yes,109.63,100.4,86.25,657.16,656.59,591.46,1.45,1.25,2.15,17.47,25.47,22,98.76,635.07,6.43,1.01e-77,C43D7.9,WBGene00008071,Sequence name for WBGene00008071(fbxb-64). History: N.A.
H12D21.9,H12D21.9,yes,690.68,636.33,620.46,3841.4,4236.34,4185.2,0,3.75,31.13,289.01,294.37,301.08,649.16,4087.65,6.3,0.000631,H12D21.9,WBGene00010385,Public name for WBGene00010385. History: N.A.
Y53G8AM.8,Y53G8AM.8,yes,1238.84,1180.23,1043.37,7310.05,7576.22,6795.33,17.45,13.74,82.66,1130.56,1206.92,1304.01,1154.15,7227.2,6.26,8.09e-07,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
ZC123.4,ZC123.4,yes,863.9,742.05,648.28,4725.07,4625.2,4703.8,1.45,2.5,26.84,216.94,241.16,219.28,751.41,4684.69,6.23,8.25e-06,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
Y16E11A.2,Y16E11A.2,yes,178.7,164.23,152.1,944.61,1041.82,1097.2,1.45,1.25,10.74,142.68,155.68,153.29,165.01,1027.88,6.23,6.579999999999999e-119,Y16E11A.2,,Sequence name for Suppressed gene WBGene00021194. Molecular name for Suppressed gene WBGene00021194. Public name for Suppressed gene WBGene00021194. History of WBGene00021194: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK250.9,ZK250.9,yes,178.7,164.23,152.1,944.61,1041.82,1097.2,1.45,1.25,10.74,142.68,155.68,153.29,165.01,1027.88,6.23,6.579999999999999e-119,ZK250.9,,Sequence name for Suppressed gene WBGene00022692. Molecular name for Suppressed gene WBGene00022692. Public name for Suppressed gene WBGene00022692. History of WBGene00022692: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H12D21.10,H12D21.10,yes,698.35,646.97,634.37,3842.42,4236.34,4185.2,1.45,3.75,31.13,300.66,309.09,316.89,659.9,4087.99,6.19,2.09e-05,H12D21.10,WBGene00010386,Public name for WBGene00010386. History: N.A.
Y42A5A.5,Y42A5A.5,yes,165.54,157.59,138.19,863.35,897.66,1071.48,5.82,17.48,25.76,84.45,101.33,99.67,153.77,944.16,6.14,3.14e-76,Y42A5A.5,WBGene00012780,Public name for WBGene00012780. History: N.A.
Y57G11C.51,Y57G11C.51,yes,4639.61,4040.71,4132.68,24311.97,25187.86,28957.83,154.12,111.15,354.26,2717.56,2615.38,2968.91,4271,26152.55,6.12,2.37e-11,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y46B2A.2,Y46B2A.2,yes,153.48,144.95,134.48,805.46,881.91,917.19,1.45,1.25,8.59,126.67,137,138.17,144.31,868.19,6.02,5.09e-112,Y46B2A.2,,Sequence name for Suppressed gene WBGene00021577. Molecular name for Suppressed gene WBGene00021577. Public name for Suppressed gene WBGene00021577. History of WBGene00021577: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y51F10.3,Y51F10.3,yes,76.74,69.15,82.54,501.76,400.98,428.59,90.15,79.93,103.06,80.81,65.67,69.43,76.15,443.78,5.83,5.23e-56,Y51F10.3,WBGene00021764,Public name for WBGene00021764. History: N.A.
Y39B6A.46,ztf-20,yes,114.02,99.74,88.11,610.44,628.73,505.74,8.72,9.99,13.96,80.81,91.14,81.11,100.62,581.64,5.78,9.71e-65,Y39B6A.46,WBGene00012702,Sequence name for WBGene00012702(ztf-20). History: N.A.
DC2.3,lec-12,yes,697.26,633.67,691.87,4124.79,4072.8,3471.6,69.79,44.96,74.07,411.31,392.31,407.63,674.27,3889.73,5.77,4.5999999999999996e-177,DC2.3,WBGene00017080,Sequence name for WBGene00017080(lec-12). History: N.A.
