# EV1.1. Genes with significantly deregulated 26G-RNA mapped reads in the directly cloned libraries.,,,,,,,
Gene stable ID (Ensembl),Gene name (Ensembl),Gene type (Ensembl),Sequence Name (WormBase),logFC (mutant vs. wildype),logCPM,PValue,FDR,Input,Suggested Match,History
WBGene00014082,ZK795.2,protein_coding,ZK795.2,-7.071377451,2.707918465,4.62864e-12,5.00944e-11,WBGene00014082,WBGene00014082,History: N.A.
WBGene00235285,F56D6.18,protein_coding,F56D6.18,-7.071078154,2.712776524,7.00063e-12,7.52321e-11,WBGene00235285,WBGene00235285,History: N.A.
WBGene00019151,pck-3,protein_coding,H04M03.1,-7.069542088,2.716276693,6.95507e-12,7.5095e-11,WBGene00019151,WBGene00019151,History: N.A.
WBGene00044258,Y57G11C.51,protein_coding,Y57G11C.51,-7.064756344,8.468165308,1.61002e-27,8.09961e-26,WBGene00044258,WBGene00044258,History: N.A.
WBGene00020414,T10E9.4,protein_coding,T10E9.4,-7.056543394,2.693622232,7.2591e-12,7.7827e-11,WBGene00020414,WBGene00020414,History: N.A.
WBGene00003452,msp-59,protein_coding,ZK354.11,-7.053989465,2.691915874,7.2829e-12,7.78998e-11,WBGene00003452,WBGene00003452,History: N.A.
WBGene00013723,Y106G6H.13,protein_coding,Y106G6H.13,-7.050215973,2.689817831,7.31234e-12,7.80323e-11,WBGene00013723,WBGene00013723,History: N.A.
WBGene00016843,C50F7.3,protein_coding,C50F7.3,-7.046445168,2.687722928,7.34193e-12,7.8166e-11,WBGene00016843,WBGene00016843,History: N.A.
WBGene00004971,spe-17,protein_coding,ZK617.3,-7.043639155,2.690227958,1.11783e-11,1.17913e-10,WBGene00004971,WBGene00004971,History: N.A.
WBGene00016420,C34G6.3,protein_coding,C34G6.3,-7.043031389,4.36838761,3.0109000000000004e-29,1.76717e-27,WBGene00016420,WBGene00016420,History: N.A.
WBGene00020973,W03B1.3,protein_coding,W03B1.3,-7.038554949,2.686852115,1.12491e-11,1.18387e-10,WBGene00020973,WBGene00020973,History: N.A.
WBGene00044169,C06C3.10,protein_coding,C06C3.10,-7.031677563,2.677696287,1.14451e-11,1.19898e-10,WBGene00044169,WBGene00044169,History: N.A.
WBGene00015093,B0261.5,protein_coding,B0261.5,-7.029723493,2.681407947,1.13649e-11,1.19332e-10,WBGene00015093,WBGene00015093,History: N.A.
WBGene00012120,T28C6.5,protein_coding,T28C6.5,-7.025935759,2.674100379,1.15236e-11,1.20445e-10,WBGene00012120,WBGene00012120,History: N.A.
WBGene00013388,Y62F5A.10,protein_coding,Y62F5A.10,-7.025342148,2.668556665,1.16464e-11,1.21452e-10,WBGene00013388,WBGene00013388,History: N.A.
WBGene00004466,rpn-10,protein_coding,B0205.3,-7.012482709,2.655387701,1.1947e-11,1.24022e-10,WBGene00004466,WBGene00004466,History: N.A.
WBGene00022339,Y82E9BR.6,protein_coding,Y82E9BR.6,-7.011086544,2.654026659,1.19788e-11,1.2407e-10,WBGene00022339,WBGene00022339,History: N.A.
WBGene00194691,ZK1098.12,protein_coding,ZK1098.12,-7.005157094,2.650370387,1.19346e-11,1.24022e-10,WBGene00194691,WBGene00194691,History: N.A.
WBGene00019785,M70.3,protein_coding,M70.3,-7.000996128,2.662689769,1.80531e-11,1.84947e-10,WBGene00019785,WBGene00019785,History: N.A.
WBGene00015988,C18H2.1,protein_coding,C18H2.1,-6.995369919,2.644617434,1.81732e-11,1.84947e-10,WBGene00015988,WBGene00015988,"History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
WBGene00006719,ubc-24,protein_coding,F49E12.4,-6.992719905,2.642885437,1.81396e-11,1.84947e-10,WBGene00006719,WBGene00006719,History: N.A.
WBGene00219490,Y116A8B.98,ncRNA,Y116A8B.98,-6.992045515,4.32325412,1.2920600000000001e-28,7.213449999999999e-27,WBGene00219490,WBGene00219490,History: N.A.
WBGene00015582,C07H6.9,protein_coding,C07H6.9,-6.987263922,2.644949181,1.81796e-11,1.84947e-10,WBGene00015582,WBGene00015582,History: N.A.
WBGene00012357,W09D6.4,protein_coding,W09D6.4,-6.985245294,2.643417444,1.81499e-11,1.84947e-10,WBGene00012357,WBGene00012357,History: N.A.
WBGene00018204,F39F10.4,protein_coding,F39F10.4,-6.985049118,4.312739621,1.65496e-28,9.019559999999999e-27,WBGene00018204,WBGene00018204,History: N.A.
WBGene00021471,Y39G10AR.15,protein_coding,Y39G10AR.15,-6.9847719,2.637690688,1.80386e-11,1.84947e-10,WBGene00021471,WBGene00021471,"History: Split into Y39G10AR.32(WBGene00219275). History of WBGene00021471: Split into ""WBGene00219275"" on 2011-10-03"
WBGene00219690,linc-10,lincRNA,F39E9.24,-6.983224079,2.641884832,2.78661e-11,2.73425e-10,WBGene00219690,WBGene00219690,History: N.A.
WBGene00007888,ttr-9,protein_coding,C33A12.15,-6.980025124,2.639992018,2.78113e-11,2.73425e-10,WBGene00007888,WBGene00007888,History: N.A.
WBGene00016605,C43E11.5,protein_coding,C43E11.5,-6.977109261,2.642779324,2.78919e-11,2.73425e-10,WBGene00016605,WBGene00016605,History: N.A.
WBGene00012786,Y43C5B.3,protein_coding,Y43C5B.3,-6.976831167,2.638100764,2.77565e-11,2.73425e-10,WBGene00012786,WBGene00012786,History: N.A.
WBGene00014024,ZK637.4,protein_coding,ZK637.4,-6.976831167,2.638100764,2.77565e-11,2.73425e-10,WBGene00014024,WBGene00014024,History: N.A.
WBGene00010254,F58E6.5,protein_coding,F58E6.5,-6.973590871,2.630589176,2.75382e-11,2.73425e-10,WBGene00010254,WBGene00010254,History: N.A.
WBGene00022032,Y65B4A.9,protein_coding,Y65B4A.9,-6.972779857,2.635033319,2.76675e-11,2.73425e-10,WBGene00022032,WBGene00022032,History: N.A.
WBGene00044633,F54H12.7,protein_coding,F54H12.7,-6.971617586,2.634677882,2.76571e-11,2.73425e-10,WBGene00044633,WBGene00044633,History: N.A.
WBGene00007190,rmd-3,protein_coding,B0491.3,-6.96391219,2.624872623,2.73715e-11,2.73e-10,WBGene00007190,WBGene00007190,History: N.A.
WBGene00011954,T23F11.2,protein_coding,T23F11.2,-6.961320968,2.618361492,2.7181e-11,2.72727e-10,WBGene00011954,WBGene00011954,History: N.A.
WBGene00019174,H09G03.1,protein_coding,H09G03.1,-6.961274437,2.623145488,2.7321e-11,2.73e-10,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
WBGene00013474,Y69E1A.2,protein_coding,Y69E1A.2,-6.956575591,2.619866026,2.72251e-11,2.72727e-10,WBGene00013474,WBGene00013474,History: N.A.
WBGene00013303,Y57G11C.5,protein_coding,Y57G11C.5,-6.955426128,2.619517927,2.72149e-11,2.72727e-10,WBGene00013303,WBGene00013303,History: N.A.
WBGene00006052,ssq-3,protein_coding,ZC477.1,-6.949359638,2.600117959,2.66432e-11,2.69851e-10,WBGene00006052,WBGene00006052,History: N.A.
WBGene00015500,C06A5.2,protein_coding,C06A5.2,-6.949118719,2.609988317,2.69349e-11,2.71603e-10,WBGene00015500,WBGene00015500,History: N.A.
WBGene00007778,C27D8.2,protein_coding,C27D8.2,-6.947967937,2.609643591,2.69247e-11,2.71603e-10,WBGene00007778,WBGene00007778,History: N.A.
WBGene00010147,F56D5.2,protein_coding,F56D5.2,-6.942060076,2.605987147,4.1438e-11,3.98536e-10,WBGene00010147,WBGene00010147,History: N.A.
WBGene00014048,ZK666.8,protein_coding,ZK666.8,-6.937725461,4.268296659,5.74776e-28,3.02451e-26,WBGene00014048,WBGene00014048,History: N.A.
WBGene00000064,act-2,protein_coding,T04C12.5,-6.93672876,2.602503858,4.1284e-11,3.97891e-10,WBGene00000064,WBGene00000064,History: N.A.
WBGene00219443,Y57G11C.1144,protein_coding,Y57G11C.1144,-6.931163174,5.507283256,1.99025e-41,9.111359999999999e-39,WBGene00219443,WBGene00219443,History: N.A.
WBGene00011351,T01H3.5,protein_coding,T01H3.5,-6.92929666,2.597448616,4.106e-11,3.96567e-10,WBGene00011351,WBGene00011351,History: N.A.
WBGene00008743,F13D12.9,protein_coding,F13D12.9,-6.928315306,2.592187897,4.08261e-11,3.95979e-10,WBGene00008743,WBGene00008743,History: N.A.
WBGene00206357,C09D4.9,protein_coding,C09D4.9,-6.928176803,2.597113084,4.10451e-11,3.96567e-10,WBGene00206357,WBGene00206357,History: N.A.
WBGene00045410,E01G4.7,pseudogene,E01G4.7,-6.927567154,8.078189559,3.39771e-29,1.96895e-27,WBGene00045410,WBGene00045410,History: N.A.
WBGene00002186,kel-10,protein_coding,T16H12.6,-6.92618024,2.590596896,4.07552e-11,3.95979e-10,WBGene00002186,WBGene00002186,History: N.A.
WBGene00002344,let-70,protein_coding,M7.1,-6.924077368,2.583935847,4.04577e-11,3.94916e-10,WBGene00002344,WBGene00002344,History: N.A.
WBGene00020435,T11F8.4,protein_coding,T11F8.4,-6.91964349,2.591728448,6.33132e-11,5.97624e-10,WBGene00020435,WBGene00020435,History: N.A.
WBGene00004084,pph-2,protein_coding,C29E6.3,-6.919103296,2.586582885,4.05761e-11,3.95228e-10,WBGene00004084,WBGene00004084,History: N.A.
WBGene00009377,F34D10.8,protein_coding,F34D10.8,-6.912222198,2.586677635,6.29752e-11,5.95662e-10,WBGene00009377,WBGene00009377,History: N.A.
WBGene00219756,linc-68,lincRNA,Y49F6A.10,-6.912122154,4.247877453,1.5656e-27,7.96367e-26,WBGene00219756,WBGene00219756,History: N.A.
WBGene00021296,Y25C1A.13,protein_coding,Y25C1A.13,-6.902956377,2.576050218,6.22604e-11,5.9012e-10,WBGene00021296,WBGene00021296,History: N.A.
WBGene00013299,irld-18,protein_coding,Y57G11B.7,-6.901588082,2.570526897,6.18869e-11,5.87797e-10,WBGene00013299,WBGene00013299,History: N.A.
WBGene00010265,F58G1.3,protein_coding,F58G1.3,-6.893962099,2.565371507,6.15371e-11,5.8569e-10,WBGene00010265,WBGene00010265,History: N.A.
WBGene00012711,Y39E4A.1,protein_coding,Y39E4A.1,-6.893962099,2.565371507,6.15371e-11,5.8569e-10,WBGene00012711,WBGene00012711,History: N.A.
WBGene00016447,msd-4,protein_coding,C35D10.11,-6.887437904,2.556259248,6.09159e-11,5.83416e-10,WBGene00016447,WBGene00016447,History: N.A.
WBGene00010651,K08C9.2,protein_coding,K08C9.2,-6.887358344,4.224077319,2.6196699999999998e-27,1.27583e-25,WBGene00010651,WBGene00010651,History: N.A.
WBGene00010155,F56F3.4,protein_coding,F56F3.4,-6.884717542,2.559741687,6.11538e-11,5.84472e-10,WBGene00010155,WBGene00010155,History: N.A.
WBGene00010100,F55C9.3,protein_coding,F55C9.3,-6.882820412,6.756105276,2.7593099999999998e-39,5.492229999999999e-37,WBGene00010100,WBGene00010100,History: N.A.
WBGene00011173,acs-18,protein_coding,R09E10.3,-6.882544369,2.568362456,9.62281e-11,8.8817e-10,WBGene00011173,WBGene00011173,History: N.A.
WBGene00003443,msp-50,protein_coding,C34F11.4,-6.880941701,2.561865284,9.55632e-11,8.83815e-10,WBGene00003443,WBGene00003443,History: N.A.
WBGene00011214,R10E9.2,protein_coding,R10E9.2,-6.879886331,2.56155213,9.55311e-11,8.83815e-10,WBGene00011214,WBGene00011214,History: N.A.
WBGene00020990,W03D8.9,protein_coding,W03D8.9,-6.87779778,4.216432441,3.38431e-27,1.6308799999999999e-25,WBGene00020990,WBGene00020990,History: N.A.
WBGene00219718,linc-42,lincRNA,R10F2.8,-6.864671592,2.547054152,9.40362e-11,8.73221e-10,WBGene00219718,WBGene00219718,History: N.A.
WBGene00010980,R02D5.7,protein_coding,R02D5.7,-6.864151344,2.546901287,9.40204e-11,8.73221e-10,WBGene00010980,WBGene00010980,History: N.A.
WBGene00010719,K09E4.1,protein_coding,K09E4.1,-6.862818787,2.55074915,1.47806e-10,1.332e-09,WBGene00010719,WBGene00010719,History: N.A.
WBGene00010366,H05L14.1,protein_coding,H05L14.1,-6.86196471,2.545287814,9.3853e-11,8.73221e-10,WBGene00010366,WBGene00010366,History: N.A.
WBGene00009390,F35C5.1,protein_coding,F35C5.1,-6.861038215,2.539704997,9.32727e-11,8.73215e-10,WBGene00009390,WBGene00009390,History: N.A.
WBGene00022090,Y69A2AR.19,protein_coding,Y69A2AR.19,-6.858742774,2.543370176,9.36539e-11,8.73221e-10,WBGene00022090,WBGene00022090,History: N.A.
WBGene00003448,msp-55,protein_coding,C09B9.6,-6.855024976,2.535984143,9.28846e-11,8.71364e-10,WBGene00003448,WBGene00003448,History: N.A.
WBGene00044392,C25H3.16,protein_coding,C25H3.16,-6.853316157,2.534500323,9.27295e-11,8.71364e-10,WBGene00044392,WBGene00044392,History: N.A.
WBGene00195169,Y50D4A.6,protein_coding,Y50D4A.6,-6.851765248,2.534050222,9.26825e-11,8.71364e-10,WBGene00195169,WBGene00195169,History: N.A.
WBGene00010574,K04H4.5,protein_coding,K04H4.5,-6.840303184,2.526772636,1.4403e-10,1.30053e-09,WBGene00010574,WBGene00010574,History: N.A.
WBGene00011777,T14G10.8,protein_coding,T14G10.8,-6.835338841,2.523356632,1.43487e-10,1.29818e-09,WBGene00011777,WBGene00011777,History: N.A.
WBGene00012223,W03C9.8,protein_coding,W03C9.8,-6.829373737,2.519649932,1.42895e-10,1.29539e-09,WBGene00012223,WBGene00012223,History: N.A.
WBGene00023490,F36A2.14,protein_coding,F36A2.14,-6.828876157,2.519505316,1.42872e-10,1.29539e-09,WBGene00023490,WBGene00023490,History: N.A.
WBGene00016286,C31H1.1,protein_coding,C31H1.1,-6.822929986,2.515803939,2.2388e-10,1.97481e-09,WBGene00016286,WBGene00016286,History: N.A.
WBGene00022034,deps-1,protein_coding,Y65B4BL.2,-6.822831351,2.510269446,1.41391e-10,1.28942e-09,WBGene00022034,WBGene00022034,History: N.A.
WBGene00018068,F35H10.2,protein_coding,F35H10.2,-6.821680344,2.514454134,1.42064e-10,1.29298e-09,WBGene00018068,WBGene00018068,History: N.A.
WBGene00010678,K08F4.3,protein_coding,K08F4.3,-6.821147926,2.504167119,1.40407e-10,1.283e-09,WBGene00010678,WBGene00010678,History: N.A.
WBGene00012219,W03C9.1,protein_coding,W03C9.1,-6.820207127,2.514026002,2.23448e-10,1.9748e-09,WBGene00012219,WBGene00012219,History: N.A.
WBGene00013085,mpz-6,protein_coding,Y51B9A.3,-6.813042053,2.504448918,2.21109e-10,1.95791e-09,WBGene00013085,WBGene00013085,History: N.A.
WBGene00009682,msd-2,protein_coding,F44D12.5,-6.810257187,2.492260623,1.38474e-10,1.27296e-09,WBGene00009682,WBGene00009682,History: N.A.
WBGene00011171,R09E10.1,protein_coding,R09E10.1,-6.808893531,2.49661017,1.39183e-10,1.27436e-09,WBGene00011171,WBGene00011171,History: N.A.
WBGene00003438,msp-45,protein_coding,F58A6.8,-6.805593796,2.494654004,1.38864e-10,1.27399e-09,WBGene00003438,WBGene00003438,History: N.A.
WBGene00020071,R13H9.5,protein_coding,R13H9.5,-6.804757308,2.499060039,2.19785e-10,1.94996e-09,WBGene00020071,WBGene00020071,History: N.A.
WBGene00015024,B0205.10,protein_coding,B0205.10,-6.804089155,4.14627947,3.54009e-26,1.5158600000000001e-24,WBGene00015024,WBGene00015024,History: N.A.
WBGene00050915,Y6E2A.10,protein_coding,Y6E2A.10,-6.803276253,2.492976115,2.18284e-10,1.94417e-09,WBGene00050915,WBGene00050915,History: N.A.
WBGene00009313,F32B4.2,protein_coding,F32B4.2,-6.801998238,2.497264431,2.19343e-10,1.94981e-09,WBGene00009313,WBGene00009313,History: N.A.
WBGene00011387,T02G6.4,protein_coding,T02G6.4,-6.792536259,2.485847929,2.16515e-10,1.93974e-09,WBGene00011387,WBGene00011387,History: N.A.
WBGene00022108,Y71F9AL.2,protein_coding,Y71F9AL.2,-6.790621356,2.485305346,2.1638e-10,1.93974e-09,WBGene00022108,WBGene00022108,History: N.A.
WBGene00007335,C05C12.1,protein_coding,C05C12.1,-6.790503004,2.489949897,2.17534e-10,1.94127e-09,WBGene00007335,WBGene00007335,History: N.A.
WBGene00017026,ipla-4,protein_coding,D1037.5,-6.789560779,2.489678983,2.17467e-10,1.94127e-09,WBGene00017026,WBGene00017026,History: N.A.
WBGene00018856,F55A4.4,pseudogene,F55A4.4,-6.789254843,2.483897023,2.16029e-10,1.93974e-09,WBGene00018856,WBGene00018856,History: N.A.
WBGene00219286,C04F12.16,protein_coding,C04F12.16,-6.787283627,2.488021825,3.43247e-10,2.97048e-09,WBGene00219286,WBGene00219286,History: N.A.
WBGene00012452,Y17D7B.4,protein_coding,Y17D7B.4,-6.784908027,4.879224528,1.6874100000000001e-34,1.75567e-32,WBGene00012452,WBGene00012452,History: N.A.
WBGene00195255,H16D19.7,pseudogene,H16D19.7,-6.783396872,6.475490919,1.51861e-40,5.10073e-38,WBGene00195255,WBGene00195255,History: N.A.
WBGene00009956,F53B2.5,protein_coding,F53B2.5,-6.781327844,2.484304277,3.41839e-10,2.9639e-09,WBGene00009956,WBGene00009956,History: N.A.
WBGene00007248,catp-4,protein_coding,C01G12.8,-6.780401498,2.484037569,3.41738e-10,2.9639e-09,WBGene00007248,WBGene00007248,History: N.A.
WBGene00016388,C34B2.3,protein_coding,C34B2.3,-6.778125127,2.482380668,3.41109e-10,2.9639e-09,WBGene00016388,WBGene00016388,History: N.A.
WBGene00020003,R11E3.1,protein_coding,R11E3.1,-6.776660782,2.476243132,3.38771e-10,2.95409e-09,WBGene00020003,WBGene00020003,History: N.A.
WBGene00007308,C04G2.9,protein_coding,C04G2.9,-6.772946744,2.474168859,3.37978e-10,2.9528e-09,WBGene00007308,WBGene00007308,History: N.A.
WBGene00016553,C40A11.10,protein_coding,C40A11.10,-6.77084804,6.952604313,1.87291e-37,2.95661e-35,WBGene00016553,WBGene00016553,History: N.A.
WBGene00003460,msp-71,pseudogene,F59A6.8,-6.770625307,2.472489931,3.37336e-10,2.9528e-09,WBGene00003460,WBGene00003460,History: N.A.
WBGene00001371,exl-1,protein_coding,F26H11.5,-6.752168707,2.461128746,5.29206e-10,4.43719e-09,WBGene00001371,WBGene00001371,History: N.A.
WBGene00009863,F49B2.3,protein_coding,F49B2.3,-6.747964745,2.457895171,5.27291e-10,4.42924e-09,WBGene00009863,WBGene00009863,History: N.A.
WBGene00011215,R10E9.3,protein_coding,R10E9.3,-6.746641865,2.457518897,5.27068e-10,4.42924e-09,WBGene00011215,WBGene00011215,History: N.A.
WBGene00086554,D1081.12,protein_coding,D1081.12,-6.744319003,2.455839251,5.26071e-10,4.42924e-09,WBGene00086554,WBGene00086554,History: N.A.
WBGene00006661,twk-6,protein_coding,F17C8.5,-6.743443444,2.455589947,5.25923e-10,4.42924e-09,WBGene00006661,WBGene00006661,History: N.A.
WBGene00019459,K06H7.8,protein_coding,K06H7.8,-6.741253605,2.449059262,5.2203e-10,4.42565e-09,WBGene00019459,WBGene00019459,History: N.A.
WBGene00008299,C54D10.4,protein_coding,C54D10.4,-6.740686462,2.453786638,5.2485e-10,4.42924e-09,WBGene00008299,WBGene00008299,History: N.A.
WBGene00006529,tba-2,protein_coding,C47B2.3,-6.738905051,2.442361326,3.25639e-10,2.85589e-09,WBGene00006529,WBGene00006529,History: N.A.
WBGene00009684,msd-3,protein_coding,F44D12.7,-6.738459737,2.442238315,3.25591e-10,2.85589e-09,WBGene00009684,WBGene00009684,History: N.A.
WBGene00009161,F26E4.6,protein_coding,F26E4.6,-6.732396892,2.443462533,5.18675e-10,4.40537e-09,WBGene00009161,WBGene00009161,History: N.A.
WBGene00017393,nep-5,protein_coding,F12A10.4,-6.728733439,2.441396895,5.17433e-10,4.40299e-09,WBGene00017393,WBGene00017393,History: N.A.
WBGene00009308,F32A11.3,protein_coding,F32A11.3,-6.725938091,2.439575084,5.16335e-10,4.40183e-09,WBGene00009308,WBGene00009308,History: Renamed on 2014-09-24
WBGene00006050,ssq-1,protein_coding,K07F5.11,-6.724255251,4.072591418,3.0680499999999997e-25,1.1903e-23,WBGene00006050,WBGene00006050,History: N.A.
WBGene00008001,C38C10.3,protein_coding,C38C10.3,-6.723434538,4.079678888,3.05569e-25,1.1903e-23,WBGene00008001,WBGene00008001,History: N.A.
WBGene00011294,R102.7,pseudogene,R102.7,-6.720027655,2.430803407,5.11022e-10,4.36466e-09,WBGene00011294,WBGene00011294,History: N.A.
WBGene00022729,ZK402.2,protein_coding,ZK402.2,-6.714356449,2.43217421,8.17835e-10,6.66201e-09,WBGene00022729,WBGene00022729,History: N.A.
WBGene00019406,acdh-8,protein_coding,K05F1.3,-6.713918036,2.427000477,5.08705e-10,4.353e-09,WBGene00019406,WBGene00019406,History: N.A.
WBGene00235280,F42A9.17,protein_coding,F42A9.17,-6.711501357,2.42527567,5.07652e-10,4.35212e-09,WBGene00235280,WBGene00235280,History: N.A.
WBGene00219694,linc-36,lincRNA,F41H10.37,-6.708561365,4.062370174,4.03948e-25,1.5158e-23,WBGene00219694,WBGene00219694,History: N.A.
WBGene00019512,K08A2.2,protein_coding,K08A2.2,-6.708244142,2.423317879,5.06454e-10,4.34999e-09,WBGene00019512,WBGene00019512,History: N.A.
WBGene00020246,clic-1,protein_coding,T05B11.3,-6.707825935,2.42320192,5.06383e-10,4.34999e-09,WBGene00020246,WBGene00020246,History: Renamed on 2008-04-30
WBGene00023424,C53D6.10,protein_coding,C53D6.10,-6.699747476,2.417797123,8.04344e-10,6.58652e-09,WBGene00023424,WBGene00023424,History: N.A.
WBGene00009492,F36H1.3,protein_coding,F36H1.3,-6.697278491,2.421152054,8.07509e-10,6.58962e-09,WBGene00009492,WBGene00009492,History: N.A.
WBGene00009185,F27C8.5,protein_coding,F27C8.5,-6.694107878,2.41922309,8.0569e-10,6.58652e-09,WBGene00009185,WBGene00009185,History: N.A.
WBGene00015084,B0244.9,protein_coding,B0244.9,-6.693280953,2.413893477,8.00647e-10,6.56875e-09,WBGene00015084,WBGene00015084,History: N.A.
WBGene00013858,ssp-34,protein_coding,ZC168.6,-6.69251861,4.789574007,2.14035e-33,1.92128e-31,WBGene00013858,WBGene00013858,History: N.A.
WBGene00044896,K12C11.5,protein_coding,K12C11.5,-6.68941817,4.046614516,7.00587e-25,2.5658300000000002e-23,WBGene00044896,WBGene00044896,History: N.A.
WBGene00012855,Y44A6D.5,protein_coding,Y44A6D.5,-6.688446155,2.410442094,7.97366e-10,6.55358e-09,WBGene00012855,WBGene00012855,History: N.A.
WBGene00021579,clec-73,protein_coding,Y46C8AL.1,-6.688044757,2.41033073,7.9726e-10,6.55358e-09,WBGene00021579,WBGene00021579,History: N.A.
WBGene00013121,spe-38,protein_coding,Y52B11A.1,-6.687643915,2.410219444,7.97154e-10,6.55358e-09,WBGene00013121,WBGene00013121,History: N.A.
WBGene00010460,clec-142,protein_coding,K01C8.8,-6.686843896,2.409997103,7.96942e-10,6.55358e-09,WBGene00010460,WBGene00010460,History: N.A.
WBGene00008332,C55A6.3,protein_coding,C55A6.3,-6.684430588,2.408272523,7.95298e-10,6.55358e-09,WBGene00008332,WBGene00008332,History: N.A.
WBGene00010874,M05D6.1,protein_coding,M05D6.1,-6.683058892,2.411966245,1.28269e-09,1.02124e-08,WBGene00010874,WBGene00010874,History: N.A.
WBGene00013308,nuo-3,protein_coding,Y57G11C.12,-6.682667871,2.411855854,1.28253e-09,1.02124e-08,WBGene00013308,WBGene00013308,"History: Split into Y57G11C.1147(WBGene00303007). History of WBGene00013308: Split into ""WBGene00303007"" on 2018-03-06"
WBGene00044384,F11G11.14,protein_coding,F11G11.14,-6.681224686,2.406327422,7.9344e-10,6.55358e-09,WBGene00044384,WBGene00044384,History: N.A.
WBGene00012379,Y1A5A.1,protein_coding,Y1A5A.1,-6.679656318,2.400660538,7.88005e-10,6.54716e-09,WBGene00012379,WBGene00012379,History: N.A.
WBGene00022166,Y71H2AM.1,protein_coding,Y71H2AM.1,-6.67945142,4.032888842,9.27138e-25,3.3685999999999997e-23,WBGene00022166,WBGene00022166,History: N.A.
WBGene00021888,Y54G2A.23,protein_coding,Y54G2A.23,-6.670011901,2.398993357,1.26357e-09,1.00953e-08,WBGene00021888,WBGene00021888,History: N.A.
WBGene00011911,T22B3.3,protein_coding,T22B3.3,-6.665374924,2.391382398,1.25222e-09,1.00222e-08,WBGene00011911,WBGene00011911,History: N.A.
WBGene00022731,ZK402.5,protein_coding,ZK402.5,-6.66390866,4.766685933,4.99794e-33,4.1601099999999995e-31,WBGene00022731,WBGene00022731,History: N.A.
WBGene00021608,Y46H3D.1,protein_coding,Y46H3D.1,-6.661256429,2.383788046,7.71634e-10,6.4228e-09,WBGene00021608,WBGene00021608,History: N.A.
WBGene00016158,ari-1,protein_coding,C27A12.8,-6.658915965,2.387465357,1.24635e-09,9.99262e-09,WBGene00016158,WBGene00016158,History: N.A.
WBGene00195178,ZC581.10,protein_coding,ZC581.10,-6.656075658,2.385613306,1.24356e-09,9.98777e-09,WBGene00195178,WBGene00195178,History: N.A.
WBGene00194839,C01B10.44,protein_coding,C01B10.44,-6.655698035,2.385509607,1.24341e-09,9.98777e-09,WBGene00194839,WBGene00194839,History: N.A.
WBGene00015820,C16A11.7,protein_coding,C16A11.7,-6.650775228,2.38201304,1.23813e-09,9.97915e-09,WBGene00015820,WBGene00015820,History: N.A.
WBGene00012180,W01D2.3,protein_coding,W01D2.3,-6.645981758,2.374199475,1.22626e-09,9.91844e-09,WBGene00012180,WBGene00012180,History: N.A.
WBGene00014997,AC7.3,protein_coding,AC7.3,-6.64400258,2.378007645,1.23206e-09,9.94774e-09,WBGene00014997,WBGene00014997,History: N.A.
WBGene00017354,F10E9.2,protein_coding,F10E9.2,-6.641974959,2.372024049,1.22294e-09,9.90907e-09,WBGene00017354,WBGene00017354,History: N.A.
WBGene00010507,K02E2.6,protein_coding,K02E2.6,-6.638155907,7.475072683,8.2361e-33,6.73301e-31,WBGene00010507,WBGene00010507,History: N.A.
WBGene00013771,Y113G7C.1,protein_coding,Y113G7C.1,-6.633333628,2.366409364,1.21433e-09,9.85673e-09,WBGene00013771,WBGene00013771,History: N.A.
WBGene00017179,wht-4,protein_coding,F02E11.1,-6.627585082,2.362668625,1.95346e-09,1.50555e-08,WBGene00017179,WBGene00017179,History: N.A.
WBGene00194886,C05B5.12,protein_coding,C05B5.12,-6.624714604,2.360798978,1.94899e-09,1.50463e-08,WBGene00194886,WBGene00194886,History: N.A.
WBGene00015917,C17G10.3,protein_coding,C17G10.3,-6.622139342,2.354509162,1.19589e-09,9.72432e-09,WBGene00015917,WBGene00015917,History: N.A.
WBGene00019834,R02F2.5,protein_coding,R02F2.5,-6.621494037,2.358834314,1.94428e-09,1.50353e-08,WBGene00019834,WBGene00019834,History: N.A.
WBGene00012979,Y48B6A.5,protein_coding,Y48B6A.5,-6.621494037,2.358834314,1.94428e-09,1.50353e-08,WBGene00012979,WBGene00012979,History: N.A.
WBGene00016161,C27D6.3,protein_coding,C27D6.3,-6.620340885,3.97780367,5.017250000000001e-24,1.74007e-22,WBGene00016161,WBGene00016161,History: N.A.
WBGene00010763,K10H10.7,protein_coding,K10H10.7,-6.618631247,2.356966306,1.93978e-09,1.50353e-08,WBGene00010763,WBGene00010763,History: N.A.
WBGene00015629,C09B9.4,protein_coding,C09B9.4,-6.615928469,2.350628773,1.92447e-09,1.50089e-08,WBGene00015629,WBGene00015629,History: N.A.
WBGene00011200,R10E4.3,protein_coding,R10E4.3,-6.615423939,2.355004675,1.93505e-09,1.50353e-08,WBGene00011200,WBGene00011200,History: N.A.
