# Table S1: DESeq2 results of differentially expressed genes in the different states of inheritance (Silencers/non-silencers)
...1,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00013161,Y53F4B.14,385.1516152,0.632333303,0.191378036,3.304105931,0.000952798,0.043819513,Y53F4B.14,WBGene00013161,Public name for WBGene00013161. History: N.A.
WBGene00010266,dct-18,233.9721695,0.632223646,0.191326437,3.30442387,0.000951718,0.043819513,dct-18,WBGene00010266,Public name for WBGene00010266. History: N.A.
WBGene00045397,Y54G2A.52,873.7655167,0.630971756,0.148080188,4.261014017,2.04e-05,0.002421667,Y54G2A.52,WBGene00045397,Public name for WBGene00045397. History: N.A.
WBGene00011753,T13F3.6,632.7103611,0.628816787,0.179005495,3.51283511,0.000443353,0.024827741,T13F3.6,WBGene00011753,Public name for WBGene00011753. History: N.A.
WBGene00000172,aqp-4,271.015362,0.628564757,0.182146782,3.450869407,0.000558784,0.029068976,aqp-4,WBGene00000172,Public name for WBGene00000172. History: N.A.
WBGene00003249,mig-18,237.1662773,0.62760265,0.190097082,3.301484922,0.000961745,0.044018331,mig-18,WBGene00003249,Public name for WBGene00003249. History: N.A.
WBGene00012532,crp-1,307.9252958,0.621866721,0.189985543,3.273231802,0.001063252,0.046645912,crp-1,WBGene00012532,"Public name for WBGene00012532. History: Split into Y32F6B.9(WBGene00303085). History of WBGene00012532: Split into ""WBGene00303085"" on 2018-03-02"
WBGene00012251,clec-49,520.3671867,0.618388938,0.160153154,3.861234834,0.000112815,0.009644229,clec-49,WBGene00012251,Public name for WBGene00012251. History: N.A.
WBGene00003658,nhr-68,730.5959,0.617078769,0.181178573,3.405914722,0.000659428,0.033751355,nhr-68,WBGene00003658,Public name for WBGene00003658. History: N.A.
WBGene00012383,ttr-17,280.4104648,0.616940536,0.180077385,3.425974537,0.000612598,0.031564732,ttr-17,WBGene00012383,Public name for WBGene00012383. History: N.A.
WBGene00013931,clec-97,2392.50936,0.616100051,0.141754076,4.346259865,1.38e-05,0.001816739,clec-97,WBGene00013931,Public name for WBGene00013931. History: N.A.
WBGene00021337,Y34F4.2,330.9441129,0.616010791,0.197650463,3.116667588,0.001829077,0.063777227,Y34F4.2,WBGene00021337,Public name for WBGene00021337. History: N.A.
WBGene00000708,col-135,378.5431304,0.612411154,0.201491345,3.039391863,0.002370563,0.07598572,col-135,WBGene00000708,Public name for WBGene00000708. History: N.A.
WBGene00007155,B0379.1,530.5560778,0.612068754,0.162530726,3.765864876,0.000165974,0.012442739,B0379.1,WBGene00007155,Public name for WBGene00007155. History: N.A.
WBGene00007945,C34F6.11,360.9173065,0.609763917,0.181409644,3.361254135,0.000775894,0.038074798,C34F6.11,WBGene00007945,Public name for WBGene00007945. History: N.A.
WBGene00044107,F58G6.9,185.4396592,0.609500014,0.209276028,2.912421544,0.003586383,0.098508876,F58G6.9,WBGene00044107,Public name for WBGene00044107. History: N.A.
WBGene00010593,gsnl-1,263.6898851,0.605320216,0.199796126,3.029689461,0.002448053,0.077170414,gsnl-1,WBGene00010593,Public name for WBGene00010593. History: N.A.
WBGene00219709,linc-37,494.0751592,0.604964355,0.159015135,3.804445133,0.000142122,0.011462583,linc-37,WBGene00219709,Public name for WBGene00219709. History: N.A.
WBGene00018376,F43C9.2,400.4160379,0.603181844,0.186681013,3.231082976,0.001233221,0.050817066,F43C9.2,WBGene00018376,Public name for WBGene00018376. History: N.A.
WBGene00009895,scl-2,11364.20638,0.603055119,0.191880742,3.142864225,0.001673034,0.06077287,scl-2,WBGene00009895,Public name for WBGene00009895. History: N.A.
WBGene00009432,cld-9,212.8965259,0.600947323,0.200800663,2.992755663,0.00276471,0.08199389,cld-9,WBGene00009432,Public name for WBGene00009432. History: N.A.
WBGene00007565,clec-48,1131.941609,0.595861316,0.191162555,3.117039929,0.001826768,0.063777227,clec-48,WBGene00007565,Public name for WBGene00007565. History: N.A.
WBGene00019724,M02B7.2,660.7209094,0.594366762,0.196322366,3.027504078,0.002465824,0.077232682,M02B7.2,WBGene00019724,Public name for WBGene00019724. History: N.A.
WBGene00019825,R02D3.8,947.1954207,0.594239306,0.189314274,3.138903862,0.001695811,0.06077287,R02D3.8,WBGene00019825,Public name for WBGene00019825. History: N.A.
WBGene00017671,pgal-1,349.6123636,0.593797222,0.176182991,3.370343634,0.000750745,0.037224439,pgal-1,WBGene00017671,Public name for WBGene00017671. History: N.A.
WBGene00020229,T05A8.3,957.4057922,0.592258005,0.167623268,3.533268451,0.000410455,0.023682036,T05A8.3,WBGene00020229,Public name for WBGene00020229. History: N.A.
WBGene00004030,pin-2,296.4778589,0.58867975,0.185190585,3.178777966,0.001478973,0.055432387,pin-2,WBGene00004030,Public name for WBGene00004030. History: N.A.
WBGene00045399,Y47G6A.33,4190.487643,0.586607887,0.150243413,3.904383401,9.45e-05,0.008404818,Y47G6A.33,WBGene00045399,Public name for WBGene00045399. History: N.A.
WBGene00004987,spp-2,1811.038228,0.584566846,0.198946316,2.938314508,0.003300021,0.092947327,spp-2,WBGene00004987,Public name for WBGene00004987. History: N.A.
WBGene00015947,C18A11.1,1459.593326,0.583069813,0.147261866,3.959408014,7.51e-05,0.006944588,C18A11.1,WBGene00015947,Public name for WBGene00015947. History: N.A.
WBGene00021709,ugt-29,1741.580725,0.582575824,0.155191419,3.753917764,0.000174092,0.01284772,ugt-29,WBGene00021709,Public name for WBGene00021709. History: N.A.
WBGene00019660,K11H12.4,658.188211,0.582285094,0.195416987,2.979705615,0.002885255,0.084424546,K11H12.4,WBGene00019660,Public name for WBGene00019660. History: N.A.
WBGene00009741,drr-1,1334.509993,0.579435949,0.15916568,3.640457859,0.000272154,0.0175061,drr-1,WBGene00009741,Public name for WBGene00009741. History: N.A.
WBGene00021556,Y45G5AM.3,302.8493839,0.578755489,0.198829117,2.910818585,0.003604833,0.098508876,Y45G5AM.3,WBGene00021556,Public name for WBGene00021556. History: N.A.
WBGene00021464,ugt-31,1090.538708,0.572211239,0.181480034,3.15302585,0.001615875,0.059165883,ugt-31,WBGene00021464,Public name for WBGene00021464. History: N.A.
WBGene00018384,F43C11.7,505.1414113,0.567296321,0.176466029,3.214762205,0.001305526,0.052180161,F43C11.7,WBGene00018384,Public name for WBGene00018384. History: N.A.
WBGene00001915,his-41,2732.414508,0.566201773,0.171165691,3.307916272,0.000939929,0.043649389,his-41,WBGene00001915,Public name for WBGene00001915. History: N.A.
WBGene00077764,F59C6.16,359.5964413,0.564495063,0.178819389,3.156788909,0.001595168,0.058633194,F59C6.16,WBGene00077764,Public name for WBGene00077764. History: N.A.
WBGene00019998,R10H1.1,490.469566,0.563813552,0.179908537,3.133889925,0.001725056,0.060870299,R10H1.1,WBGene00019998,Public name for WBGene00019998. History: N.A.
WBGene00018370,F42H10.6,427.5837233,0.562154208,0.167470274,3.35674024,0.000788672,0.038470282,F42H10.6,WBGene00018370,Public name for WBGene00018370. History: N.A.
WBGene00009957,F53B2.8,5386.300845,0.56134071,0.134040536,4.187842914,2.82e-05,0.003154125,F53B2.8,WBGene00009957,Public name for WBGene00009957. History: N.A.
WBGene00001243,elo-5,2169.411883,0.558936598,0.184313257,3.032536063,0.002425081,0.076700242,elo-5,WBGene00001243,Public name for WBGene00001243. History: N.A.
WBGene00022047,Y66H1A.5,1402.302755,0.558903081,0.152351022,3.668522022,0.000243957,0.016241032,Y66H1A.5,WBGene00022047,Public name for WBGene00022047. History: N.A.
WBGene00011936,pgrn-1,974.9637241,0.558344924,0.152817762,3.653665103,0.000258523,0.016857144,pgrn-1,WBGene00011936,Public name for WBGene00011936. History: N.A.
WBGene00010628,ceeh-2,803.0438682,0.557778092,0.176444852,3.161203542,0.001571187,0.057975569,ceeh-2,WBGene00010628,Public name for WBGene00010628. History: N.A.
WBGene00000988,dhs-25,2746.479504,0.551397882,0.166636218,3.308991826,0.000936326,0.043649389,dhs-25,WBGene00000988,Public name for WBGene00000988. History: N.A.
WBGene00018052,F35F10.1,433.1770314,0.551310339,0.174205254,3.16471706,0.001552338,0.057727579,F35F10.1,WBGene00018052,Public name for WBGene00018052. History: N.A.
WBGene00010887,M7.12,379.1127085,0.551228014,0.164521777,3.350486623,0.000806697,0.038786646,M7.12,WBGene00010887,Public name for WBGene00010887. History: N.A.
WBGene00013275,btb-14,1180.807106,0.550680576,0.171947136,3.202615585,0.001361856,0.052917847,btb-14,WBGene00013275,Public name for WBGene00013275. History: N.A.
WBGene00023485,ttr-49,851.1471286,0.548162103,0.17062965,3.21258411,0.001315466,0.052180161,ttr-49,WBGene00023485,Public name for WBGene00023485. History: N.A.
WBGene00016918,test-1,319.9222722,0.54785982,0.175983666,3.113128812,0.001851152,0.064083518,test-1,WBGene00016918,Public name for WBGene00016918. History: N.A.
WBGene00009274,F30F8.5,278.5994772,0.54634158,0.181214316,3.014891931,0.002570708,0.077709097,F30F8.5,WBGene00009274,Public name for WBGene00009274. History: N.A.
WBGene00017964,F31F7.1,379.809223,0.545897514,0.170324521,3.205043599,0.00135042,0.052856516,F31F7.1,WBGene00017964,Public name for WBGene00017964. History: N.A.
WBGene00002992,lin-3,6330.295272,0.545872763,0.131856006,4.139915815,3.47e-05,0.003758597,lin-3,WBGene00002992,Public name for WBGene00002992. History: Renamed on 2006-10-05
WBGene00020808,clik-1,14931.9724,0.544497276,0.13530909,4.024099753,5.72e-05,0.005499836,clik-1,WBGene00020808,Public name for WBGene00020808. History: N.A.
WBGene00009660,F43G6.8,836.3938192,0.543758201,0.161405314,3.368899006,0.000754691,0.037226197,F43G6.8,WBGene00009660,Public name for WBGene00009660. History: N.A.
WBGene00016425,C34H4.2,969.1546718,0.537747069,0.13973427,3.848354938,0.000118914,0.009930335,C34H4.2,WBGene00016425,Public name for WBGene00016425. History: N.A.
WBGene00017123,maoc-1,1853.323715,0.535023187,0.146104735,3.661915457,0.000250336,0.016490876,maoc-1,WBGene00017123,Public name for WBGene00017123. History: N.A.
WBGene00002041,hum-8,291.5006463,0.532393581,0.173362612,3.070982696,0.002133555,0.071019039,hum-8,WBGene00002041,Public name for WBGene00002041. History: N.A.
WBGene00009428,F35E12.4,728.5940052,0.532022246,0.176244989,3.018651759,0.002539022,0.077232682,F35E12.4,WBGene00009428,Public name for WBGene00009428. History: N.A.
WBGene00003095,lys-6,467.6584451,0.529721261,0.18199726,2.910600201,0.003607353,0.098508876,lys-6,WBGene00003095,Public name for WBGene00003095. History: N.A.
WBGene00000831,ctl-2,440.2234922,0.527829591,0.170133987,3.102434729,0.001919359,0.065492096,ctl-2,WBGene00000831,Public name for WBGene00000831. History: N.A.
WBGene00010879,M05D6.6,554.2188597,0.52711489,0.173325132,3.041191343,0.00235644,0.07590996,M05D6.6,WBGene00010879,Sequence name for WBGene00010879(taap-1). History: N.A.
WBGene00004423,rpl-11.2,1155.159902,0.526699981,0.151691851,3.472170573,0.000516268,0.027515984,rpl-11.2,WBGene00004423,Public name for WBGene00004423. History: N.A.
WBGene00015619,C08G9.1,1115.620806,0.525374028,0.151036469,3.478458088,0.000504307,0.02727844,C08G9.1,WBGene00015619,Public name for WBGene00015619. History: N.A.
WBGene00022245,acp-6,406.1772913,0.522277826,0.161701666,3.229885258,0.001238399,0.050817066,acp-6,WBGene00022245,Public name for WBGene00022245. History: N.A.
WBGene00006454,aex-4,606.1036158,0.519315464,0.15625258,3.323564079,0.00088875,0.041679311,aex-4,WBGene00006454,Public name for WBGene00006454. History: N.A.
WBGene00011439,T04F3.4,398.0955728,0.518931648,0.163171024,3.1802929,0.001471263,0.055361344,T04F3.4,WBGene00011439,Public name for WBGene00011439. History: N.A.
WBGene00002274,lec-11,5461.720258,0.512000362,0.152746916,3.351952203,0.000802439,0.038777749,lec-11,WBGene00002274,Public name for WBGene00002274. History: N.A.
WBGene00020200,T04A6.1,1426.302386,0.511689913,0.138273064,3.70057551,0.000215111,0.014627552,T04A6.1,WBGene00020200,Public name for WBGene00020200. History: N.A.
WBGene00044784,F13H10.8,695.9498763,0.50387149,0.168769127,2.985566726,0.002830534,0.083685346,F13H10.8,WBGene00044784,Public name for WBGene00044784. History: N.A.
WBGene00000169,aqp-1,661.0003062,0.503047337,0.165191464,3.045238081,0.002324962,0.075541423,aqp-1,WBGene00000169,Public name for WBGene00000169. History: Renamed on 2004-08-25
WBGene00002253,lbp-1,2851.484645,0.502201948,0.161581398,3.108043089,0.001883306,0.064725898,lbp-1,WBGene00002253,Public name for WBGene00002253. History: N.A.
WBGene00018519,F46H5.3,28758.1666,0.500905514,0.133129944,3.762530784,0.000168203,0.012510068,F46H5.3,WBGene00018519,Public name for WBGene00018519. History: N.A.
WBGene00004189,pars-1,2811.736085,0.50059645,0.135686943,3.68934873,0.000224829,0.015179935,pars-1,WBGene00004189,Public name for WBGene00004189. History: Renamed on 2010-01-29
WBGene00021325,Y34B4A.9,510.4248159,0.498162274,0.158860813,3.135841144,0.00171362,0.060870299,Y34B4A.9,WBGene00021325,Sequence name for WBGene00021325(nspg-13). History: N.A.
WBGene00017780,F25E2.2,2674.520324,0.496165251,0.1351667,3.67076544,0.000241825,0.016212505,F25E2.2,WBGene00017780,Public name for WBGene00017780. History: N.A.
WBGene00006819,unc-87,612.7872516,0.494945484,0.166417868,2.974112638,0.002938372,0.085284453,unc-87,WBGene00006819,Public name for WBGene00006819. History: N.A.
WBGene00003091,lys-2,3666.369468,0.491975869,0.131495484,3.741389842,0.000183005,0.013198571,lys-2,WBGene00003091,Public name for WBGene00003091. History: N.A.
WBGene00013647,Y105C5B.5,1833.410959,0.491838051,0.155031432,3.172505371,0.001511298,0.056421779,Y105C5B.5,WBGene00013647,Public name for WBGene00013647. History: N.A.
WBGene00008233,C50F4.8,785.7825298,0.490384777,0.152310195,3.21964512,0.001283494,0.051774834,C50F4.8,WBGene00008233,Public name for WBGene00008233. History: N.A.
WBGene00000835,cuc-1,571.3918344,0.487030603,0.153112118,3.180875614,0.001468307,0.055361344,cuc-1,WBGene00000835,Public name for WBGene00000835. History: N.A.
WBGene00170628,21ur-12364,529.6628836,0.48664519,0.166222487,2.92767361,0.003415083,0.095904407,21ur-12364,WBGene00170628,Public name for WBGene00170628. History: N.A.
WBGene00008669,acs-14,544.3312963,0.483141745,0.160523541,3.009787493,0.002614305,0.078264738,acs-14,WBGene00008669,Public name for WBGene00008669. History: N.A.
WBGene00014000,ZK550.6,737.7074286,0.479838657,0.152887189,3.138514476,0.001698065,0.06077287,ZK550.6,WBGene00014000,Public name for WBGene00014000. History: N.A.
WBGene00012382,ttr-16,16052.79499,0.479513312,0.134641923,3.561396771,0.000368887,0.021677812,ttr-16,WBGene00012382,Public name for WBGene00012382. History: N.A.
WBGene00006984,zig-7,3247.508819,0.478781882,0.131105602,3.651879669,0.000260328,0.016859329,zig-7,WBGene00006984,Public name for WBGene00006984. History: N.A.
WBGene00045265,K10C2.8,1605.796549,0.477595485,0.137966001,3.461689689,0.000536796,0.028390528,K10C2.8,WBGene00045265,Public name for WBGene00045265. History: N.A.
WBGene00004567,rrn-2.1,10091.44458,0.47712329,0.127988926,3.727848231,0.000193122,0.013705025,rrn-2.1,WBGene00004567,Public name for WBGene00004567. History: N.A.
WBGene00007366,C06B3.7,798.5708686,0.475320393,0.156245771,3.042132849,0.002349082,0.07590996,C06B3.7,WBGene00007366,Public name for WBGene00007366. History: N.A.
WBGene00002065,iff-2,756.9443908,0.475014068,0.152915313,3.106386524,0.00189389,0.064855507,iff-2,WBGene00002065,Public name for WBGene00002065. History: N.A.
WBGene00016150,hint-3,1055.008371,0.462454728,0.147576195,3.133667509,0.001726364,0.060870299,hint-3,WBGene00016150,Public name for WBGene00016150. History: N.A.
WBGene00009973,F53C11.3,8199.677197,0.46117875,0.128281785,3.59504469,0.000324336,0.019435158,F53C11.3,WBGene00009973,Public name for WBGene00009973. History: N.A.
WBGene00045261,H29C22.1,2969.54114,0.457009078,0.140855043,3.244534715,0.001176427,0.049998138,H29C22.1,WBGene00045261,Public name for WBGene00045261. History: N.A.
WBGene00022072,cpg-9,989.1647222,0.456770252,0.149916749,3.046826016,0.002312715,0.075400855,cpg-9,WBGene00022072,Public name for WBGene00022072. History: N.A.
WBGene00001911,his-37,3640.030378,0.456281267,0.150180546,3.038218184,0.002379816,0.076021083,his-37,WBGene00001911,Public name for WBGene00001911. History: N.A.
WBGene00044665,F59A6.12,2100.290571,0.45624379,0.14080483,3.240256681,0.001194221,0.050258061,F59A6.12,WBGene00044665,Public name for WBGene00044665. History: N.A.
WBGene00000991,dhs-28,816.8931039,0.455879581,0.148839965,3.062884231,0.002192148,0.07221195,dhs-28,WBGene00000991,Public name for WBGene00000991. History: N.A.
WBGene00021322,Y34B4A.6,8811.381428,0.455683907,0.129212776,3.526616487,0.000420906,0.023851338,Y34B4A.6,WBGene00021322,Sequence name for WBGene00021322(nspg-14). History: N.A.
WBGene00001685,gpd-3,1192.656361,0.450574788,0.137484535,3.277276167,0.001048138,0.046238002,gpd-3,WBGene00001685,Public name for WBGene00001685. History: N.A.
WBGene00016450,clec-5,1329.228836,0.45020521,0.154105436,2.921410316,0.003484506,0.097280045,clec-5,WBGene00016450,Public name for WBGene00016450. History: N.A.
WBGene00000696,col-122,4641.773203,0.443978626,0.149988004,2.960094226,0.00307545,0.08845402,col-122,WBGene00000696,Public name for WBGene00000696. History: N.A.
WBGene00002255,lbp-3,3740.372527,0.443968488,0.138759327,3.199557817,0.001376386,0.053108865,lbp-3,WBGene00002255,Public name for WBGene00002255. History: N.A.
WBGene00000214,asp-1,4554.465488,0.441482423,0.126292548,3.495712374,0.000472798,0.026168822,asp-1,WBGene00000214,Public name for WBGene00000214. History: N.A.
WBGene00023417,swm-1,1058.77649,0.438612591,0.143836962,3.049373304,0.002293193,0.075021308,swm-1,WBGene00023417,Public name for WBGene00023417. History: N.A.
WBGene00018996,F57B9.1,770.9209916,0.433866126,0.141234076,3.071964922,0.002126547,0.071019039,F57B9.1,WBGene00018996,Public name for WBGene00018996. History: N.A.
WBGene00045457,F33H12.7,3973.96035,0.432657654,0.133799462,3.233627744,0.001222287,0.050592036,F33H12.7,WBGene00045457,Public name for WBGene00045457. History: N.A.
WBGene00018393,msra-1,1230.801377,0.42799485,0.139054882,3.077884373,0.002084758,0.070130371,msra-1,WBGene00018393,Public name for WBGene00018393. History: N.A.
WBGene00003893,ost-1,3893.245412,0.420541974,0.135295843,3.108314088,0.00188158,0.064725898,ost-1,WBGene00003893,Public name for WBGene00003893. History: N.A.
WBGene00013077,ttr-24,1733.275262,0.406483647,0.137293406,2.96069316,0.003069476,0.08845402,ttr-24,WBGene00013077,Public name for WBGene00013077. History: N.A.
WBGene00012293,W06A7.4,2666.480807,0.405105289,0.132723214,3.052256476,0.002271279,0.074560621,W06A7.4,WBGene00012293,Public name for WBGene00012293. History: N.A.
WBGene00011489,T05F1.2,8675.790842,-0.378603209,0.125422512,-3.018622427,0.002539268,0.077232682,T05F1.2,WBGene00011489,Public name for WBGene00011489. History: N.A.
WBGene00022037,acs-13,3391.249387,-0.382531426,0.126698646,-3.01922267,0.002534242,0.077232682,acs-13,WBGene00022037,Public name for WBGene00022037. History: N.A.
WBGene00011827,T19A6.1,2420.209295,-0.395554634,0.132535024,-2.984529073,0.002840152,0.083698576,T19A6.1,WBGene00011827,Public name for WBGene00011827. History: N.A.
WBGene00004241,puf-5,6972.278499,-0.400834418,0.13067381,-3.067442658,0.002158989,0.071615238,puf-5,WBGene00004241,Public name for WBGene00004241. History: N.A.
WBGene00021872,clec-85,3275.229268,-0.419646016,0.134691143,-3.11561701,0.001835605,0.063777227,clec-85,WBGene00021872,Public name for WBGene00021872. History: N.A.
WBGene00003231,mex-6,1477.723604,-0.452524641,0.139228592,-3.250227802,0.001153126,0.049227621,mex-6,WBGene00003231,Public name for WBGene00003231. History: N.A.
WBGene00003026,lin-41,988.1543915,-0.45618831,0.141435882,-3.225407184,0.001257936,0.051177574,lin-41,WBGene00003026,Public name for WBGene00003026. History: Renamed on 2005-08-24
WBGene00021921,rbm-39,2170.647543,-0.459244184,0.157801867,-2.910258246,0.003611302,0.098508876,rbm-39,WBGene00021921,Public name for WBGene00021921. History: N.A.
WBGene00021629,scpl-3,437.78998,-0.473127811,0.160316182,-2.951216811,0.003165246,0.089949691,scpl-3,WBGene00021629,Public name for WBGene00021629. History: N.A.
WBGene00012972,rsa-2,1997.674538,-0.475651733,0.16338527,-2.911227755,0.003600115,0.098508876,rsa-2,WBGene00012972,Public name for WBGene00012972. History: N.A.
WBGene00017800,F25G6.9,923.5571309,-0.478644893,0.161560283,-2.962639599,0.003050135,0.088259216,F25G6.9,WBGene00017800,Public name for WBGene00017800. History: N.A.
WBGene00004374,rme-2,24804.95707,-0.480237309,0.15011006,-3.199234669,0.00137793,0.053108865,rme-2,WBGene00004374,Public name for WBGene00004374. History: N.A.
WBGene00017488,dct-7,415.5126552,-0.491487543,0.166770923,-2.947081736,0.003207884,0.090620343,dct-7,WBGene00017488,Public name for WBGene00017488. History: N.A.
WBGene00017075,nap-1,3585.953117,-0.496627291,0.139511449,-3.559760106,0.000371194,0.021679535,nap-1,WBGene00017075,Public name for WBGene00017075. History: Renamed on 2013-01-09
WBGene00013481,Y69H2.3,4471.586638,-0.499522884,0.153038743,-3.264028935,0.001098399,0.047530741,Y69H2.3,WBGene00013481,Public name for WBGene00013481. History: N.A.
WBGene00016507,abhd-5.2,3092.13245,-0.500982672,0.149960736,-3.340758961,0.000835497,0.039969516,abhd-5.2,WBGene00016507,Public name for WBGene00016507. History: Renamed on 2015-07-17
WBGene00010959,nduo-1,1570.892548,-0.515539881,0.16153372,-3.19153103,0.001415209,0.053891162,nduo-1,WBGene00010959,Public name for WBGene00010959. History: N.A.
WBGene00002018,hsp-16.41,14033.98997,-0.521953539,0.144435106,-3.613758123,0.000301791,0.018656147,hsp-16.41,WBGene00002018,Public name for WBGene00002018. History: N.A.
WBGene00000097,aip-1,9738.717835,-0.531022351,0.161308643,-3.291964649,0.000994901,0.04483095,aip-1,WBGene00000097,Public name for WBGene00000097. History: N.A.
WBGene00011672,cyp-13A5,784.9927282,-0.540947114,0.172283575,-3.139864681,0.001690259,0.06077287,cyp-13A5,WBGene00011672,Public name for WBGene00011672. History: N.A.
WBGene00013008,clec-146,304.4766388,-0.549119608,0.185725208,-2.956624007,0.003110271,0.089186094,clec-146,WBGene00013008,Public name for WBGene00013008. History: N.A.
WBGene00012802,set-25,264.8564809,-0.56205304,0.182350673,-3.082264686,0.002054321,0.06935154,set-25,WBGene00012802,Public name for WBGene00012802. History: N.A.
WBGene00009180,nurf-1,2048.526603,-0.565813907,0.176421831,-3.207164924,0.001340501,0.052856516,nurf-1,WBGene00009180,Public name for WBGene00009180. History: N.A.
WBGene00020999,W03F9.1,1160.294995,-0.573068878,0.190362659,-3.010405939,0.002608987,0.078264738,W03F9.1,WBGene00020999,Public name for WBGene00020999. History: N.A.
WBGene00021121,W09G12.7,678.0723725,-0.581302577,0.183872398,-3.161445556,0.001569882,0.057975569,W09G12.7,WBGene00021121,Public name for WBGene00021121. History: N.A.
WBGene00011979,T24B8.5,1444.96941,-0.590727735,0.195614838,-3.019851369,0.002528988,0.077232682,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
WBGene00020696,pygl-1,18166.33989,-0.593875849,0.151445232,-3.921390213,8.8e-05,0.007906949,pygl-1,WBGene00020696,Public name for WBGene00020696. History: N.A.
WBGene00016534,C39D10.7,1669.052311,-0.596991316,0.151307317,-3.94555483,7.96e-05,0.007287872,C39D10.7,WBGene00016534,Public name for WBGene00016534. History: N.A.
WBGene00013079,ttr-26,514.4094222,-0.603438134,0.167712471,-3.598051657,0.00032061,0.019435158,ttr-26,WBGene00013079,Public name for WBGene00013079. History: N.A.
WBGene00018446,ceh-83,322.0081579,-0.607719082,0.182800553,-3.32449257,0.000885796,0.041679311,ceh-83,WBGene00018446,Public name for WBGene00018446. History: N.A.
WBGene00044901,Y41G9A.10,546.636845,-0.62033307,0.193470388,-3.206346339,0.001344321,0.052856516,Y41G9A.10,WBGene00044901,Public name for WBGene00044901. History: N.A.
WBGene00006496,cgef-1,435.6053088,-0.623774201,0.174351701,-3.577677748,0.00034666,0.020498184,cgef-1,WBGene00006496,Public name for WBGene00006496. History: Renamed on 2008-07-18
WBGene00002016,hsp-16.2,3709.363331,-0.626890382,0.148388018,-4.224669815,2.39e-05,0.002744643,hsp-16.2,WBGene00002016,Public name for WBGene00002016. History: N.A.
WBGene00044292,F56D6.8,454.7898847,-0.68544603,0.205707249,-3.332143289,0.000861799,0.040817531,F56D6.8,WBGene00044292,Public name for WBGene00044292. History: N.A.
WBGene00008584,irg-4,2956.598637,-0.68703173,0.148089612,-4.63929725,3.5e-06,0.000554692,irg-4,WBGene00008584,Public name for WBGene00008584. History: N.A.
WBGene00019619,asp-14,6616.813669,-0.695262978,0.145430169,-4.780734162,1.75e-06,0.000327362,asp-14,WBGene00019619,Public name for WBGene00019619. History: N.A.
WBGene00002232,kpc-1,178.6508741,-0.721953792,0.244573318,-2.951891061,0.003158343,0.089949691,kpc-1,WBGene00002232,Public name for WBGene00002232. History: N.A.
WBGene00010123,F55G11.2,1100.520691,-0.74299824,0.181653687,-4.090190814,4.31e-05,0.004365208,F55G11.2,WBGene00010123,Public name for WBGene00010123. History: N.A.
WBGene00004744,scp-1,551.0185618,-0.786284975,0.231187116,-3.401076099,0.000671211,0.033989003,scp-1,WBGene00004744,Public name for WBGene00004744. History: N.A.
WBGene00011231,R11A5.3,1064.068203,-0.796177162,0.199154376,-3.997788935,6.39e-05,0.00602653,R11A5.3,WBGene00011231,Public name for WBGene00011231. History: N.A.
WBGene00012492,fbxb-7,317.297529,-0.820413306,0.174496763,-4.70159614,2.58e-06,0.000446809,fbxb-7,WBGene00012492,Public name for WBGene00012492. History: N.A.
WBGene00010005,cnc-7,253.1615889,-0.830163845,0.196034335,-4.234787985,2.29e-05,0.002688723,cnc-7,WBGene00010005,Public name for WBGene00010005. History: N.A.
WBGene00018601,F48C1.9,429.8216265,-0.833106589,0.220845743,-3.772346148,0.00016172,0.012316571,F48C1.9,WBGene00018601,Public name for WBGene00018601. History: N.A.
WBGene00010961,nduo-2,429.566925,-0.861225801,0.212772756,-4.047631934,5.17e-05,0.005077833,nduo-2,WBGene00010961,Public name for WBGene00010961. History: N.A.
WBGene00012600,Y38E10A.22,84.03033768,-0.889254344,0.296231285,-3.001892063,0.002683073,0.080071643,Y38E10A.22,WBGene00012600,Public name for WBGene00012600. History: N.A.
WBGene00009620,fip-5,294.6240617,-0.895546825,0.244614089,-3.661059871,0.000251174,0.016490876,fip-5,WBGene00009620,Public name for WBGene00009620. History: N.A.
WBGene00020047,ttr-32,104.5072239,-0.897115968,0.272011931,-3.298075807,0.000973498,0.044131931,ttr-32,WBGene00020047,Public name for WBGene00020047. History: N.A.
WBGene00077490,M03A1.8,71.82830599,-0.906068367,0.304142124,-2.979095283,0.002891009,0.084424546,M03A1.8,WBGene00077490,Public name for WBGene00077490. History: N.A.
WBGene00003768,nlp-30,224.3480671,-0.936208801,0.24988324,-3.746585011,0.000179258,0.013125613,nlp-30,WBGene00003768,Public name for WBGene00003768. History: N.A.
WBGene00009824,gpdh-1,88.1218236,-0.957322472,0.298777919,-3.204127254,0.001354726,0.052856516,gpdh-1,WBGene00009824,Public name for WBGene00009824. History: N.A.
WBGene00003616,nhr-17,380.0312146,-0.958742538,0.223903045,-4.281953996,1.85e-05,0.002261113,nhr-17,WBGene00003616,Public name for WBGene00003616. History: N.A.
WBGene00021066,W06H8.2,119.3517749,-0.96205484,0.233206609,-4.125332661,3.7e-05,0.003830758,W06H8.2,WBGene00021066,Public name for WBGene00021066. History: N.A.
