# Supplemental Table S5 - Abundance of 22G-RNAs for loci targeted by alg-3; alg-4 dependent 26G-RNAs
# Reads Wild type = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads Wild type - norm = reads per million, excluding reads considered to be degradation products
# Reads alg-3; alg-4 double mutant = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads alg-3; alg-4 double mutant - norm = reads per million, excluding reads considered to be degradation products
# RATIO is calculated as (alg-3; alg-4) / ((alg-3;alg-4)+Wild type)
Gene,Gene ID,Reads Wild type,Reads wild type - norm,Reads alg-3; alg-4,Reads alg-3; alg-4 - norm,RATIO,Input,Suggested Match,History
cyn-5,F31C3.1,191.0,76.76040546,34.0,15.01784694,0.163631869,cyn-5,WBGene00000881,Public name for WBGene00000881. History: N.A.
syn-13,F36F2.4,85.0,34.16038986,17.0,7.508923472,0.180202717,syn-13,WBGene00009478,Other name for WBGene00009478(syx-7). History: Renamed on 2010-04-16
R102.10,R102.10,73.5,29.53869006,2.0,0.883402761,0.029038198,R102.10,WBGene00011297,Public name for WBGene00011297. History: N.A.
F28H7.6,F28H7.6,87.0,34.96416374,14.0,6.18381933,0.150282441,F28H7.6,WBGene00009239,Sequence name for WBGene00009239(irld-6). History: N.A.
ZK596.2,ZK596.2,116.0,46.61888499,7.0,3.091909665,0.062197953,ZK596.2,WBGene00014007,Public name for WBGene00014007. History: N.A.
C24A11.1,C24A11.1,91.5,36.77265497,16.0,7.067222091,0.161205336,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C18H7.7,C18H7.7,97.0,38.98303314,6.0,2.650208284,0.063656064,C18H7.7,WBGene00015997,Public name for WBGene00015997. History: N.A.
Y38H6C.15,Y38H6C.15,70.0,28.13208577,6.0,2.650208284,0.086095217,Y38H6C.15,WBGene00012627,Public name for WBGene00012627. History: N.A.
C04G2.8,C04G2.8,569.9999,229.0755154,26.9999,11.92589311,0.049484744,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
ZK795.2,ZK795.2,124.5,50.03492398,16.0,7.067222091,0.123764562,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
F57B9.8,F57B9.8,109.0,43.80567641,8.0,3.533611046,0.074644365,F57B9.8,WBGene00018999,Public name for WBGene00018999. History: N.A.
F26A1.3,F26A1.3,138.0,55.46039766,18.0,7.950624853,0.125382379,F26A1.3,WBGene00017802,Public name for WBGene00017802. History: N.A.
Y38F2AR.9,Y38F2AR.9,189.0,75.95663158,14.0,6.18381933,0.075283484,Y38F2AR.9,WBGene00021427,Sequence name for WBGene00021427(sec-61.B). History: N.A.
ssp-11,T28H11.6,148.1332,59.5327984,26.3167,11.62412273,0.163358989,ssp-11,WBGene00006040,Public name for WBGene00006040. History: N.A.
F14H8.8,F14H8.8,181.0,72.74153606,6.0,2.650208284,0.0351525,F14H8.8,WBGene00077582,Public name for WBGene00077582. History: N.A.
F11G11.14,F11G11.14,83.5,33.55755945,9.25,4.085737772,0.108538254,F11G11.14,WBGene00044384,Public name for WBGene00044384. History: N.A.
M117.4,M117.4,161.5,64.90474074,18.5,8.171475543,0.111821273,M117.4,WBGene00010920,Public name for WBGene00010920. History: N.A.
C38C10.3,C38C10.3,250.5,100.6726784,10.5,4.637864498,0.044039888,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
ttr-9,C33A12.15,129.0,51.8434152,15.0,6.625520711,0.113316937,ttr-9,WBGene00007888,Public name for WBGene00007888. History: N.A.
cmd-1,T21H3.3,196.5,78.97078362,23.5,10.37998245,0.116171163,cmd-1,WBGene00000552,Public name for WBGene00000552. History: N.A.
C30A5.3,C30A5.3,156.0,62.69436257,22.0,9.717430376,0.134196793,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
B0432.11,B0432.11,93.0,37.37548538,3.0,1.325104142,0.034239896,B0432.11,WBGene00015192,Public name for WBGene00015192. History: N.A.
Y18D10A.21,Y18D10A.21,92.5,37.17454191,20.0,8.834027614,0.192008309,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
T27A3.4,T27A3.4,270.9999,108.9113204,9.4999,4.196118947,0.037098523,T27A3.4,WBGene00020840,Sequence name for WBGene00020840(spch-3). History: N.A.
let-721,C05D11.12,157.0,63.09624951,57.0,25.1769787,0.285216472,let-721,WBGene00002855,Public name for WBGene00002855. History: N.A.
ZK354.8,ZK354.8,149.0,59.88115399,10.5,4.637864498,0.07188368,ZK354.8,WBGene00022709,Public name for WBGene00022709. History: N.A.
F59A6.2,F59A6.2,556.0,223.4491384,12.0,5.300416569,0.023171265,F59A6.2,WBGene00019084,Public name for WBGene00019084. History: N.A.
W02F12.5,W02F12.5,117.0,47.02077193,40.0,17.66805523,0.273123753,W02F12.5,WBGene00020950,Sequence name for WBGene00020950(dlst-1). History: N.A.
K09G1.2,K09G1.2,154.0,61.89058869,4.0,1.766805523,0.027754914,K09G1.2,WBGene00010728,Public name for WBGene00010728. History: N.A.
C06E7.3,C06E7.3,122.8333,49.36509901,29.4165,12.99330867,0.208364985,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
C32D5.8,C32D5.8,151.5,60.88587134,3.5,1.545954833,0.024762288,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
ttm-1,Y39E4A.2,106.0,42.60001559,11.0,4.858715188,0.102377689,ttm-1,WBGene00012712,Public name for WBGene00012712. History: N.A.
Y43F8A.2,Y43F8A.2,136.0,54.65662378,6.0,2.650208284,0.046245939,Y43F8A.2,WBGene00012809,Public name for WBGene00012809. History: N.A.
nspd-2,K07F5.5,150.0833,60.31651812,22.8333,10.08550014,0.143255838,nspd-2,WBGene00010633,Public name for WBGene00010633. History: N.A.
tbb-2,C36E8.5,175.3333,70.46416334,37.0833,16.37974481,0.188611328,tbb-2,WBGene00006537,Public name for WBGene00006537. History: N.A.
Y73F8A.15,Y73F8A.15,168.0,67.51700585,7.0,3.091909665,0.043789225,Y73F8A.15,WBGene00013524,Public name for WBGene00013524. History: N.A.
W09D6.4,W09D6.4,112.5,45.2122807,5.0,2.208506904,0.046572548,W09D6.4,WBGene00012357,Public name for WBGene00012357. History: N.A.
rsp-3,Y111B2A.18,181.0015,72.74213889,82.0055,36.22194258,0.332420942,rsp-3,WBGene00004700,Public name for WBGene00004700. History: N.A.
ZC412.9,ZC412.9,46.0,18.48679922,3.0,1.325104142,0.066884242,ZC412.9,WBGene00013890,Public name for WBGene00013890. History: N.A.
H12D21.2,H12D21.2,46.0,18.48679922,3.0,1.325104142,0.066884242,H12D21.2,WBGene00010378,Public name for WBGene00010378. History: N.A.
K08E7.4,K08E7.4,96.0,38.5811462,1.0,0.441701381,0.011319045,K08E7.4,WBGene00010672,Public name for WBGene00010672. History: N.A.
C05C12.5,C05C12.5,111.0,44.60945029,5.0,2.208506904,0.047172218,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
D2062.7,D2062.7,109.5,44.00661988,9.5,4.196163117,0.0870523,D2062.7,WBGene00017059,Sequence name for WBGene00017059(msrp-5). History: N.A.
W03F11.4,W03F11.4,198.5,79.7745575,50.0,22.08506904,0.216818673,W03F11.4,WBGene00021007,Public name for WBGene00021007. History: N.A.
Y43F8C.5,Y43F8C.5,163.0,65.50757115,30.5,13.47189211,0.170574622,Y43F8C.5,WBGene00012827,Public name for WBGene00012827. History: N.A.
W08E3.4,W08E3.4,342.0,137.4453333,18.0,7.950624853,0.054682571,W08E3.4,WBGene00012345,Public name for WBGene00012345. History: N.A.
F27C8.5,F27C8.5,145.5,58.47454971,45.0,19.87656213,0.25368577,F27C8.5,WBGene00009185,Sequence name for WBGene00009185(pei-1). History: N.A.
ZK484.5,ZK484.5,234.0,94.04154386,13.0,5.742117949,0.057545673,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
R05G6.7,R05G6.7,181.0,72.74153606,63.0,27.82718699,0.276698223,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
F58A6.9,F58A6.9,253.2465,101.7764608,7.7965,3.443724815,0.032728747,F58A6.9,WBGene00019026,Public name for WBGene00019026. History: N.A.
C10G11.9,C10G11.9,233.4999,93.8405602,7.4999,3.312716185,0.034097833,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
K03H1.12,K03H1.12,236.5,95.04626121,8.0,3.533611046,0.035845157,K03H1.12,WBGene00010547,Public name for WBGene00010547. History: N.A.
F36H12.5,F36H12.5,101.0,40.5905809,2.0,0.883402761,0.021300167,F36H12.5,WBGene00018121,Public name for WBGene00018121. History: N.A.
C35E7.10,C35E7.10,202.5,81.38210526,7.5,3.312760355,0.039114064,C35E7.10,WBGene00016462,Public name for WBGene00016462. History: N.A.
R09B3.2,R09B3.2,232.5,93.43871345,69.5,30.69824596,0.247293361,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
F36H12.4,F36H12.4,451.0,181.2510097,6.0,2.650208284,0.014411043,F36H12.4,WBGene00018120,Public name for WBGene00018120. History: N.A.
W01B6.2,W01B6.2,129.0,51.8434152,15.0,6.625520711,0.113316937,W01B6.2,WBGene00012169,Sequence name for WBGene00012169(ttbk-4). History: N.A.
ani-2,K10B2.5,259.0,104.0887173,126.0,55.65437397,0.348399255,ani-2,WBGene00019608,Public name for WBGene00019608. History: N.A.
B0034.4,B0034.4,94.0,37.77737232,6.0,2.650208284,0.065554462,B0034.4,WBGene00015004,Public name for WBGene00015004. History: N.A.
Y39E4B.13,Y39E4B.13,114.0,45.81511111,4.0,1.766805523,0.03713187,Y39E4B.13,WBGene00012721,Public name for WBGene00012721. History: N.A.
C34G6.3,C34G6.3,127.0,51.03964132,2.0,0.883402761,0.017013694,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
nspd-7,Y43C5A.1,140.3333,56.39812046,22.3333,9.864649446,0.148871673,nspd-7,WBGene00012781,Public name for WBGene00012781. History: N.A.
klp-17,W02B12.7,135.0,54.25473684,5.0,2.208506904,0.039114064,klp-17,WBGene00002227,"Public name for WBGene00002227. History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
unc-60,C38C3.5,197.0,79.17172709,44.0,19.43486075,0.197094953,unc-60,WBGene00006794,"Public name for WBGene00006794. History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
eft-3,F31E3.5,408.0,163.9698713,76.5,33.79015562,0.170864437,eft-3,WBGene00001168,Other name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
W03B1.3,W03B1.3,87.0,34.96416374,2.0,0.883402761,0.024643312,W03B1.3,WBGene00020973,Public name for WBGene00020973. History: N.A.
cpb-2,C30B5.3,171.5,68.92361013,36.5,16.1221004,0.189569824,cpb-2,WBGene00000771,Public name for WBGene00000771. History: N.A.
ZK673.6,ZK673.6,104.0,41.79624171,7.0,3.091909665,0.068880307,ZK673.6,WBGene00014062,Public name for WBGene00014062. History: N.A.
T08H10.3,T08H10.3,115.4999,46.41790133,2.0,0.883402761,0.018676076,T08H10.3,WBGene00020370,Public name for WBGene00020370. History: N.A.
ZC155.2,ZC155.2,131.0,52.64718908,4.0,1.766805523,0.03246969,ZC155.2,WBGene00022530,Public name for WBGene00022530. History: N.A.
F35E2.5,F35E2.5,268.0,107.7056998,31.0,13.6927428,0.11279175,F35E2.5,WBGene00009412,Public name for WBGene00009412. History: N.A.
Y49E10.10,Y49E10.10,157.9999,63.49809626,4.0,1.766805523,0.027071297,Y49E10.10,WBGene00013033,Public name for WBGene00013033. History: N.A.
R13A5.11,R13A5.11,202.0,81.18116179,12.5,5.521267259,0.063680653,R13A5.11,WBGene00020053,Public name for WBGene00020053. History: N.A.
H20J04.1,H20J04.1,218.0,87.61135282,41.0,18.10975661,0.171297451,H20J04.1,WBGene00019216,Public name for WBGene00019216. History: N.A.
T11F8.4,T11F8.4,219.0,88.01323976,18.0,7.950624853,0.082850195,T11F8.4,WBGene00020435,Public name for WBGene00020435. History: N.A.
K08F4.5,K08F4.5,210.0,84.39625731,5.0,2.208506904,0.025500986,K08F4.5,WBGene00010679,Public name for WBGene00010679. History: N.A.
C06A5.2,C06A5.2,222.5,89.41984405,7.0,3.091909665,0.033421804,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
F35E2.9,F35E2.9,185.5,74.55002729,38.0,16.78465247,0.183770858,F35E2.9,WBGene00009416,"Public name for WBGene00009416. History: Split into F35E2.10(WBGene00044270). History of WBGene00009416: Split into ""WBGene00044270"" on 2005-03-18"
K08F4.3,K08F4.3,207.0,83.19059649,10.0,4.417013807,0.050418152,K08F4.3,WBGene00010678,Public name for WBGene00010678. History: N.A.
ZC581.7,ZC581.7,140.0,56.26417154,6.0,2.650208284,0.044984065,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
C49C8.1,C49C8.1,146.0,58.67549318,8.0,3.533611046,0.056802153,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
daf-21,C47E8.5,300.0,120.5660819,91.0,40.19482565,0.250028606,daf-21,WBGene00000915,Other name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
ZK512.8,ZK512.8,158.5,63.69907992,3.5,1.545954833,0.023694597,ZK512.8,WBGene00013987,Public name for WBGene00013987. History: N.A.
C55B7.3,C55B7.3,128.5,51.64247173,13.0,5.742117949,0.100063762,C55B7.3,WBGene00016942,Public name for WBGene00016942. History: N.A.
C15A11.2,C15A11.2,157.0,63.09624951,6.0,2.650208284,0.040309522,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
ZK1010.5,ZK1010.5,124.9999,50.23582726,4.9999,2.208462733,0.042110642,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
M70.3,M70.3,153.3333,61.62265067,27.5,12.14678797,0.16465881,M70.3,WBGene00019785,Public name for WBGene00019785. History: N.A.
E03H12.7,E03H12.7,115.4999,46.41790133,2.0,0.883402761,0.018676076,E03H12.7,WBGene00017114,Public name for WBGene00017114. History: N.A.
Y50E8A.10,Y50E8A.10,114.0,45.81511111,6.0,2.650208284,0.054682571,Y50E8A.10,WBGene00013053,Public name for WBGene00013053. History: N.A.
ZC250.5,ZC250.5,117.0,47.02077193,5.0,2.208506904,0.044861655,ZC250.5,WBGene00045306,Public name for WBGene00045306. History: N.A.
K05F1.8,K05F1.8,109.0,43.80567641,6.0,2.650208284,0.057047849,K05F1.8,WBGene00019409,Public name for WBGene00019409. History: N.A.
vig-1,F56D12.5,238.0,95.64909161,61.0,26.94378422,0.219782626,vig-1,WBGene00006924,Public name for WBGene00006924. History: N.A.
F36G9.15,F36G9.15,96.5,38.78208967,1.0,0.441701381,0.011261058,F36G9.15,WBGene00009491,Public name for WBGene00009491. History: N.A.
K05F1.9,K05F1.9,119.0,47.82454581,4.0,1.766805523,0.035627291,K05F1.9,WBGene00019410,Public name for WBGene00019410. History: N.A.
B0393.4,B0393.4,161.0,64.70379727,101.0,44.61183945,0.408101172,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
F35H8.1,F35H8.1,108.0,43.40378947,3.0,1.325104142,0.029625239,F35H8.1,WBGene00009446,Public name for WBGene00009446. History: N.A.
H38K22.6,H38K22.6,76.5,30.74435088,6.5,2.871058975,0.085409013,H38K22.6,WBGene00044911,Public name for WBGene00044911. History: N.A.
scrm-7,Y50E8A.9,155.0,62.29247563,23.0,10.15913176,0.14021955,scrm-7,WBGene00013052,Public name for WBGene00013052. History: N.A.
F23B12.1,F23B12.1,121.0,48.62831969,15.0,6.625520711,0.119910592,F23B12.1,WBGene00009079,Public name for WBGene00009079. History: N.A.
F09C12.8,F09C12.8,121.0,48.62831969,4.0,1.766805523,0.035059056,F09C12.8,WBGene00017279,Public name for WBGene00017279. History: N.A.
ZK1053.2,ZK1053.2,102.0,40.99246783,4.0,1.766805523,0.041319821,ZK1053.2,WBGene00014197,Public name for WBGene00014197. History: N.A.
F29D10.1,F29D10.1,82.0,32.95472904,6.0,2.650208284,0.07443373,F29D10.1,WBGene00009250,Public name for WBGene00009250. History: N.A.
F59A6.4,F59A6.4,133.5,53.65190643,20.0,8.834027614,0.141376259,F59A6.4,WBGene00019086,Public name for WBGene00019086. History: N.A.
K08A2.2,K08A2.2,79.5,31.95001169,0.0,0.0,0.0,K08A2.2,WBGene00019512,Public name for WBGene00019512. History: N.A.
F40H6.1,F40H6.1,98.0,39.38492008,1.0,0.441701381,0.011090606,F40H6.1,WBGene00018253,Public name for WBGene00018253. History: N.A.
F10E9.2,F10E9.2,241.0,96.85475243,93.5,41.2990791,0.298935459,F10E9.2,WBGene00017354,Public name for WBGene00017354. History: N.A.
F36H12.3,F36H12.3,79.5,31.95001169,5.0,2.208506904,0.064654645,F36H12.3,WBGene00018119,Public name for WBGene00018119. History: N.A.
Y38E10A.17,Y38E10A.17,112.0,45.01133723,20.0,8.834027614,0.164062917,Y38E10A.17,WBGene00012595,Public name for WBGene00012595. History: N.A.
Y43F8C.9,Y43F8C.9,120.0,48.22643275,21.5,9.496579685,0.164519821,Y43F8C.9,WBGene00012831,Public name for WBGene00012831. History: N.A.
Y39E4A.1,Y39E4A.1,103.5,41.59529824,18.0,7.950624853,0.16046981,Y39E4A.1,WBGene00012711,Public name for WBGene00012711. History: N.A.
iff-1,T05G5.10,141.0,56.66605848,14.0,6.18381933,0.098390316,iff-1,WBGene00002064,Public name for WBGene00002064. History: N.A.
R10E9.3,R10E9.3,83.0,33.35661598,4.0,1.766805523,0.050302774,R10E9.3,WBGene00011215,Public name for WBGene00011215. History: N.A.
sfxn-1.3,Y6E2A.9,70.5,28.33302924,2.0,0.883402761,0.030236504,sfxn-1.3,WBGene00012402,Public name for WBGene00012402. History: N.A.
F21F3.3,F21F3.3,84.5,33.95944639,20.5,9.054878305,0.210508438,F21F3.3,WBGene00017673,Sequence name for WBGene00017673(icmt-1). History: Renamed on 2015-04-29
C27D8.1,C27D8.1,82.0,32.95472904,12.0,5.300416569,0.138554343,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
F10D11.3,F10D11.3,62.0,24.91699025,4.0,1.766805523,0.066212676,F10D11.3,WBGene00008649,Public name for WBGene00008649. History: N.A.
snf-7,ZK1010.9,105.0,42.19812865,8.0,3.533611046,0.07726824,snf-7,WBGene00004906,Public name for WBGene00004906. History: N.A.
C15H7.3,C15H7.3,103.5,41.59529824,6.0,2.650208284,0.059897795,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
lin-33,H32C10.2,97.0,38.98303314,22.0,9.717430376,0.199534659,lin-33,WBGene00003019,Public name for WBGene00003019. History: N.A.
T10E9.4,T10E9.4,135.0,54.25473684,21.0,9.275728995,0.146004423,T10E9.4,WBGene00020414,Public name for WBGene00020414. History: N.A.
T26A8.1,T26A8.1,101.0,40.5905809,30.0,13.25104142,0.246111481,T26A8.1,WBGene00020824,Sequence name for WBGene00020824(pdtf-1). History: N.A.
K06A5.3,K06A5.3,96.0,38.5811462,5.0,2.208506904,0.054143802,K06A5.3,WBGene00019431,Public name for WBGene00019431. History: N.A.
tag-76,ZK757.3,125.5,50.43681091,3.5,1.545954833,0.029739757,tag-76,WBGene00006449,Other name for WBGene00006449(alg-4). History: Renamed on 2013-12-23
ZK688.12,ZK688.12,52.0,20.89812086,7.5,3.312760355,0.1368294,ZK688.12,WBGene00044763,Public name for WBGene00044763. History: N.A.
Y54F10BM.3,Y54F10BM.3,118.0,47.42265887,21.0,9.275728995,0.163597756,Y54F10BM.3,WBGene00021858,"Public name for WBGene00021858. History: Split into Y54F10BM.22(WBGene00306013), Y54F10BM.21(WBGene00306012). History of WBGene00021858: Split into ""WBGene00306013"" on 2020-01-20; Split into ""WBGene00306012"" on 2020-01-21"
T12D8.6,T12D8.6,102.0,40.99246783,31.0,13.6927428,0.250392065,T12D8.6,WBGene00011734,Sequence name for WBGene00011734(mlc-5). History: N.A.
C02B10.6,C02B10.6,149.0,59.88115399,62.5,27.60633629,0.315546099,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
F36H12.10,F36H12.10,149.0,59.88115399,61.5,27.16463491,0.312072936,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
Y48G8AL.13,Y48G8AL.13,64.0,25.72076413,10.0,4.417013807,0.146560699,Y48G8AL.13,WBGene00021691,Public name for WBGene00021691. History: N.A.
F59B8.2,F59B8.2,123.0,49.43209357,23.5,10.37998245,0.173543256,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
aco-2,F54H12.1,92.0,36.97359844,49.0,21.64336766,0.369233843,aco-2,WBGene00000041,Public name for WBGene00000041. History: N.A.
T06C10.3,T06C10.3,88.5,35.56699415,4.0,1.766805523,0.047324557,T06C10.3,WBGene00020289,Public name for WBGene00020289. History: N.A.
C06C6.8,C06C6.8,85.0,34.16038986,1.0,0.441701381,0.012765164,C06C6.8,WBGene00007382,Public name for WBGene00007382. History: N.A.
cup-2,F25D7.1,116.0,46.61888499,21.0,9.275728995,0.165950319,cup-2,WBGene00000843,Public name for WBGene00000843. History: Renamed on 2005-08-18; Renamed on 2013-11-18
F32A11.3,F32A11.3,71.5,28.73491618,16.0,7.067222091,0.197396648,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
pdi-3,H06O01.1,129.5,52.04435867,65.5,28.93144044,0.357285025,pdi-3,WBGene00003964,Public name for WBGene00003964. History: N.A.
vpr-1,F33D11.11,111.0,44.60945029,35.0,15.45954833,0.257363177,vpr-1,WBGene00018008,Public name for WBGene00018008. History: N.A.
clec-73,Y46C8AL.1,93.5,37.57642885,17.5,7.729774163,0.170611829,clec-73,WBGene00021579,Public name for WBGene00021579. History: N.A.
spe-19,Y113G7A.10,63.0,25.31887719,3.0,1.325104142,0.049733714,spe-19,WBGene00013747,Public name for WBGene00013747. History: N.A.
D1037.5,D1037.5,68.0,27.32831189,17.0,7.508923472,0.215543036,D1037.5,WBGene00017026,Sequence name for WBGene00017026(ipla-4). History: N.A.
dct-9,W03F11.3,75.0,30.14152047,5.0,2.208506904,0.068269089,dct-9,WBGene00021006,Public name for WBGene00021006. History: N.A.
C18E3.1,C18E3.1,57.5,23.10849902,15.0,6.625520711,0.22282627,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
T23F6.3,T23F6.3,100.0,40.18869396,23.0,10.15913176,0.201778957,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
C34F11.2,C34F11.2,76.6666,30.81130524,5.0,2.208506904,0.066884296,C34F11.2,WBGene00016414,Public name for WBGene00016414. History: N.A.
F21H7.5,F21H7.5,61.0,24.51510331,2.5,1.104253452,0.04310231,F21H7.5,WBGene00009031,Public name for WBGene00009031. History: N.A.
unc-32,ZK637.8,146.6667,58.9434312,98.0,43.28673531,0.423424286,unc-32,WBGene00006768,Public name for WBGene00006768. History: N.A.
ari-1,C27A12.8,133.5,53.65190643,87.0,38.42802012,0.417333306,ari-1,WBGene00016158,Other name for WBGene00016158(ari-1.1). History: N.A.
F34D10.9,F34D10.9,63.0,25.31887719,14.0,6.18381933,0.196294921,F34D10.9,WBGene00045484,Public name for WBGene00045484. History: N.A.
C14B9.2,C14B9.2,94.0,37.77737232,25.5,11.26338521,0.229673965,C14B9.2,WBGene00015752,Public name for WBGene00015752. History: N.A.
F40E3.5,F40E3.5,109.5,44.00661988,7.0,3.091909665,0.06564769,F40E3.5,WBGene00018232,Public name for WBGene00018232. History: N.A.
ZC376.8,ZC376.8,62.8332,25.25184245,1.9999,0.883358591,0.033799571,ZC376.8,WBGene00013879,Public name for WBGene00013879. History: N.A.
ZK849.5,ZK849.5,70.0,28.13208577,6.0,2.650208284,0.086095217,ZK849.5,WBGene00014103,Sequence name for WBGene00014103(best-26). History: N.A.
Y116F11B.8,Y116F11B.8,47.0,18.88868616,2.0,0.883402761,0.044679283,Y116F11B.8,WBGene00013824,Public name for WBGene00013824. History: N.A.
ile-1,K07A1.8,110.0,44.20756335,31.0,13.6927428,0.236488263,ile-1,WBGene00002070,Public name for WBGene00002070. History: N.A.
W03A5.1,W03A5.1,118.0556,47.44500378,47.0526,20.78319839,0.304613015,W03A5.1,WBGene00020966,Public name for WBGene00020966. History: N.A.
C08F11.10,C08F11.10,100.5,40.38963743,8.0,3.533611046,0.080449675,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
spe-39,ZC404.3,95.0,38.17925926,23.0,10.15913176,0.210166941,spe-39,WBGene00004975,Public name for WBGene00004975. History: N.A.
C25H3.16,C25H3.16,75.0,30.14152047,13.0,5.742117949,0.160020505,C25H3.16,WBGene00044392,Public name for WBGene00044392. History: N.A.
F56F3.4,F56F3.4,55.0,22.10378168,9.0,3.975312426,0.152432919,F56F3.4,WBGene00010155,Public name for WBGene00010155. History: N.A.
R10E4.3,R10E4.3,79.0,31.74906823,28.5,12.58848935,0.283923834,R10E4.3,WBGene00011200,Public name for WBGene00011200. History: N.A.
T27E4.6,T27E4.6,62.0,24.91699025,13.0,5.742117949,0.187289138,T27E4.6,WBGene00020864,Sequence name for WBGene00020864(oac-50). History: N.A.
F40G12.10,F40G12.10,83.5,33.55755945,12.0,5.300416569,0.136404855,F40G12.10,WBGene00009605,Public name for WBGene00009605. History: N.A.
M01H9.4,M01H9.4,79.0,31.74906823,12.0,5.300416569,0.143063165,M01H9.4,WBGene00019720,"Public name for WBGene00019720. History: Split into M01H9.10(WBGene00271788). History of WBGene00019720: Split into ""WBGene00271788"" on 2017-09-21"
T22B3.2,T22B3.2,82.0,32.95472904,5.5,2.429357594,0.068656784,T22B3.2,WBGene00011910,Sequence name for WBGene00011910(alg-3). History: N.A.
F56D6.13,F56D6.13,70.5,28.33302924,3.0,1.325104142,0.044679283,F56D6.13,WBGene00044475,Public name for WBGene00044475. History: N.A.
syp-2,C24G6.1,70.0,28.13208577,15.0,6.625520711,0.190620741,syp-2,WBGene00006376,Public name for WBGene00006376. History: N.A.
W09C3.7,W09C3.7,61.0,24.51510331,2.0,0.883402761,0.034781682,W09C3.7,WBGene00021114,Public name for WBGene00021114. History: N.A.
F56A11.6,F56A11.6,56.0,22.50566862,2.0,0.883402761,0.037769895,F56A11.6,WBGene00018926,Public name for WBGene00018926. History: N.A.
F21C3.7,F21C3.7,65.0,26.12265107,4.0,1.766805523,0.063350303,F21C3.7,WBGene00077548,Public name for WBGene00077548. History: N.A.
C06C3.10,C06C3.10,95.8333,38.51415164,10.3333,4.564232877,0.105951812,C06C3.10,WBGene00044169,Public name for WBGene00044169. History: N.A.
spe-10,AC3.10,59.0,23.71132943,4.0,1.766805523,0.069345952,spe-10,WBGene00004964,Public name for WBGene00004964. History: N.A.
sod-2,F10D11.1,56.5,22.70661209,8.0,3.533611046,0.13466391,sod-2,WBGene00004931,Public name for WBGene00004931. History: N.A.
ZK849.4,ZK849.4,93.0,37.37548538,13.0,5.742117949,0.133173403,ZK849.4,WBGene00014102,Sequence name for WBGene00014102(best-25). History: N.A.
Y39F10B.1,Y39F10B.1,90.0,36.16982456,10.5,4.637864498,0.113651731,Y39F10B.1,WBGene00021456,Sequence name for WBGene00021456(rfip-2). History: N.A.
dnj-19,T05C3.5,112.0,45.01133723,48.0,21.20166627,0.320203965,dnj-19,WBGene00001037,Public name for WBGene00001037. History: Renamed on 2005-12-16
pgk-1,T03F1.3,92.0,36.97359844,13.0,5.742117949,0.134426353,pgk-1,WBGene00020185,Public name for WBGene00020185. History: N.A.
