# Table S1,,,,,,,
# Differentially expressed STGs following L1 starvation. First condition: Fed P0, second condition: Starved P0. log2foldChange=log2(starved/fed),,,,,,
# *All of the comparisons were made using triplicates,,,,,,,
gene,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
F54D1.5,93.7381208,-1.224369606,1.09E-06,5.50E-05,F54D1.5,WBGene00001796,Sequence name for WBGene00001796(gtl-2). History: N.A.
W01C9.1,4.024044547,1.22432673,0.001975508,0.030788622,W01C9.1,WBGene00012175,Public name for WBGene00012175. History: N.A.
C26B9.1,21.56343841,-1.220555944,3.63E-05,0.001154386,C26B9.1,WBGene00016131,Public name for WBGene00016131. History: N.A.
C32F10.4,5.185134125,-1.218987374,0.00205227,0.031675917,C32F10.4,WBGene00016332,Public name for WBGene00016332. History: N.A.
F56F11.2,34.58014878,1.218221914,3.88E-06,0.000169143,F56F11.2,WBGene00018989,Public name for WBGene00018989. History: N.A.
F59D12.5,16.63916051,-1.217711166,0.00020203,0.004848997,F59D12.5,WBGene00010332,Public name for WBGene00010332. History: N.A.
F56F10.1,5.790437548,-1.214564177,0.001844491,0.029228486,F56F10.1,WBGene00018984,Public name for WBGene00018984. History: N.A.
T10H9.5,35.02803024,-1.213562421,0.000111575,0.002982672,T10H9.5,WBGene00004062,Sequence name for WBGene00004062(pmp-5). History: N.A.
T02G6.12,8.030651169,1.211673397,0.002214811,0.033350298,T02G6.12,WBGene00200957,Public name for WBGene00200957. History: N.A.
F09B12.3,10.31799264,-1.207843372,0.001232837,0.021355379,F09B12.3,WBGene00008607,Public name for WBGene00008607. History: N.A.
Y71H2AM.12,503.5775644,1.203927527,4.29E-10,4.20E-08,Y71H2AM.12,WBGene00022177,Public name for WBGene00022177. History: N.A.
C54G7.2,4.807456101,-1.203024368,0.00239892,0.035120196,C54G7.2,WBGene00016934,Sequence name for WBGene00016934(mboa-3). History: N.A.
ZC8.4,6.488024773,-1.199747192,0.002154036,0.032777968,ZC8.4,WBGene00022500,Sequence name for WBGene00022500(lfi-1). History: N.A.
F40D4.14,9.407780506,1.19859154,0.00119966,0.021014972,F40D4.14,WBGene00014753,Public name for WBGene00014753. History: N.A.
Y18H1A.14,110.9589574,1.194500704,1.72E-11,2.07E-09,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
ZK563.5,73.73639942,1.19356737,4.73E-08,3.14E-06,ZK563.5,WBGene00022769,Sequence name for WBGene00022769(sorf-1). History: Renamed on 2016-03-01
Y71H2AL.2,31.02586708,1.192823839,0.000101319,0.002763372,Y71H2AL.2,WBGene00022165,"Public name for WBGene00022165. History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
F44G3.6,27.17319559,1.192660425,0.00019522,0.004722732,F44G3.6,WBGene00004809,Sequence name for WBGene00004809(skr-3). History: N.A.
F10C2.11,547.225321,-1.192317155,5.36E-10,5.19E-08,F10C2.11,WBGene00198873,Public name for WBGene00198873. History: N.A.
F07G6.6,559.977376,-1.19127064,2.57E-11,3.01E-09,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
T03E6.6,118.4524932,-1.189127831,4.37E-05,0.001347125,T03E6.6,WBGene00005820,Sequence name for WBGene00005820(srw-73). History: N.A.
F19D8.2,13.18548948,1.184252487,0.000906785,0.016783652,F19D8.2,WBGene00008955,Public name for WBGene00008955. History: N.A.
F52C6.14,31.6784477,1.184098033,9.63E-06,0.000371656,F52C6.14,WBGene00018671,Public name for WBGene00018671. History: N.A.
C18D4.11,73.40533152,-1.179341412,2.49E-10,2.55E-08,C18D4.11,WBGene00195060,Sequence name for WBGene00195060(linc-14). History: N.A.
Y43F8B.12,6.515504241,1.17779727,0.002946192,0.040080927,Y43F8B.12,WBGene00012822,Public name for WBGene00012822. History: N.A.
Y7A5A.14,9.072180603,1.177054612,0.002742597,0.03851177,Y7A5A.14,WBGene00195729,Public name for WBGene00195729. History: N.A.
F30A10.1,210.6458211,1.175949155,1.07E-11,1.33E-09,F30A10.1,WBGene00009260,Sequence name for WBGene00009260(calm-1). History: N.A.
Y46H3A.2,14.96514579,1.172803959,0.001129315,0.0200834,Y46H3A.2,WBGene00002018,Sequence name for WBGene00002018(hsp-16.41). History: N.A.
F56B3.3,202.1149351,-1.167211778,3.16E-17,7.03E-15,F56B3.3,WBGene00018929,Public name for WBGene00018929. History: N.A.
F11G11.14,18.81623526,1.163641843,0.000446582,0.009488612,F11G11.14,WBGene00044384,Public name for WBGene00044384. History: N.A.
T01H8.2,25.73613936,1.162602336,4.62E-05,0.001405607,T01H8.2,WBGene00011353,Sequence name for WBGene00011353(serr-1). History: N.A.
C26F1.7,219.9973513,1.160405868,2.24E-12,3.18E-10,C26F1.7,WBGene00016150,Sequence name for WBGene00016150(hint-3). History: N.A.
R07E5.11,65.24302345,1.159686778,2.20E-07,1.28E-05,R07E5.11,WBGene00011117,Public name for WBGene00011117. History: N.A.
Y38F1A.6,25.46592777,-1.159520379,9.40E-05,0.002603022,Y38F1A.6,WBGene00012608,Sequence name for WBGene00012608(hphd-1). History: N.A.
Y73F8A.1164,8.250912038,1.159164008,0.00330788,0.04391519,Y73F8A.1164,WBGene00196400,Public name for WBGene00196400. History: N.A.
K04F1.15,4.668578387,1.155788621,0.003572745,0.046327279,K04F1.15,WBGene00000108,Sequence name for WBGene00000108(alh-2). History: N.A.
Y73F8A.1171,8.085138847,1.149571509,0.003550829,0.04614858,Y73F8A.1171,WBGene00201363,Public name for WBGene00201363. History: N.A.
C01F6.6,4.812832599,-1.149351487,0.003662719,0.047281046,C01F6.6,WBGene00006438,Sequence name for WBGene00006438(nrfl-1). History: Renamed on 2012-02-07; Renamed on 2012-07-20
ZC412.5,21.58943002,1.146739064,0.000407776,0.008810185,ZC412.5,WBGene00013886,Public name for WBGene00013886. History: N.A.
T05D4.1,25.55097584,1.146721101,0.000344197,0.007748533,T05D4.1,WBGene00011474,Sequence name for WBGene00011474(aldo-1). History: N.A.
T28F2.1,5.554716381,1.146533468,0.003503199,0.045739127,T28F2.1,WBGene00020900,Public name for WBGene00020900. History: N.A.
F29C12.1,138.2871944,1.145253764,3.29E-12,4.50E-10,F29C12.1,WBGene00004120,Sequence name for WBGene00004120(pqn-32). History: N.A.
C44B7.11,65.89050651,-1.140108473,1.04E-07,6.44E-06,C44B7.11,WBGene00016631,Public name for WBGene00016631. History: N.A.
F28A12.4,26.44540524,-1.137322568,0.000760013,0.014468307,F28A12.4,WBGene00017881,Sequence name for WBGene00017881(asp-13). History: N.A.
T08B6.59,4.32765292,-1.137024687,0.004155964,0.052103394,T08B6.59,WBGene00174315,Sequence name for WBGene00174315(21ur-10686). History: N.A.
Y57E12B.4,8.434127976,-1.136194716,0.003109598,0.041654669,Y57E12B.4,WBGene00021964,Public name for WBGene00021964. History: N.A.
C25G4.7,8.021355226,-1.13514833,0.002539255,0.036412287,C25G4.7,WBGene00007734,Public name for WBGene00007734. History: N.A.
C30F12.5,195.1215482,-1.134553738,5.55E-09,4.34E-07,C30F12.5,WBGene00016264,Public name for WBGene00016264. History: N.A.
C01B4.6,56.96279633,-1.134317291,2.28E-07,1.31E-05,C01B4.6,WBGene00015270,Public name for WBGene00015270. History: N.A.
W10C6.2,64.37790518,1.131460415,1.33E-06,6.55E-05,W10C6.2,WBGene00044160,Public name for WBGene00044160. History: N.A.
Y19D10A.16,56.44575113,-1.130946787,1.46E-07,8.77E-06,Y19D10A.16,WBGene00044734,Public name for WBGene00044734. History: N.A.
T08G5.13,200.8634324,-1.130897034,9.45E-15,1.73E-12,T08G5.13,WBGene00050930,Public name for WBGene00050930. History: N.A.
C35B8.2,36.75136467,-1.128816815,2.13E-05,0.000741972,C35B8.2,WBGene00006887,Sequence name for WBGene00006887(vav-1). History: N.A.
F08A8.2,6.801617366,-1.128397823,0.003678284,0.047364829,F08A8.2,WBGene00008565,Sequence name for WBGene00008565(acox-1.2). History: Renamed on 2015-04-29; Renamed on 2017-01-05
Y55F3AM.2,287.6147036,1.125237423,9.25E-11,9.90E-09,Y55F3AM.2,WBGene00005903,Sequence name for WBGene00005903(srx-12). History: N.A.
C06H2.4,10.24232369,1.124339395,0.002108139,0.032257835,C06H2.4,WBGene00007388,Sequence name for WBGene00007388(folt-1). History: Renamed on 2007-05-11
R06B10.3,5.279035042,-1.119412021,0.004657679,0.056887172,R06B10.3,WBGene00019914,Sequence name for WBGene00019914(clec-150). History: N.A.
T21C9.3,45.68374184,1.116378477,1.54E-05,0.00056063,T21C9.3,WBGene00011891,Sequence name for WBGene00011891(del-6). History: N.A.
T25G12.1,7.905447869,-1.114682016,0.003275018,0.043613086,T25G12.1,WBGene00020809,Public name for WBGene00020809. History: N.A.
C03A7.8,18.33151693,1.112106141,0.000400387,0.008702668,C03A7.8,WBGene00000030,Sequence name for WBGene00000030(abu-7). History: N.A.
W04A8.4,1633.083642,-1.111290899,1.57E-08,1.13E-06,W04A8.4,WBGene00012239,Public name for WBGene00012239. History: N.A.
K07E12.1,5.217277967,1.109782102,0.005140219,0.060624661,K07E12.1,WBGene00000998,"Sequence name for WBGene00000998(dig-1). History: N.A.. Public name for Dead gene WBGene00019500. History of WBGene00019500: Merged into ""WBGene00000998"" on 2006-09-08"
K08D10.11,187.5261032,-1.10819307,2.57E-11,3.01E-09,K08D10.11,WBGene00019534,Public name for WBGene00019534. History: N.A.
C14F11.14,10.90522704,1.108130341,0.002933116,0.039950943,C14F11.14,WBGene00197710,Public name for WBGene00197710. History: N.A.
F28D1.6,4.944290125,1.104994944,0.005330308,0.062311722,F28D1.6,WBGene00009216,Public name for WBGene00009216. History: N.A.
M01E5.1,6.197014206,1.104565071,0.004788878,0.057926028,M01E5.1,WBGene00010804,Public name for WBGene00010804. History: N.A.
F31F4.12,25.53340404,1.09986899,0.000101721,0.002767686,F31F4.12,WBGene00017961,Sequence name for WBGene00017961(nhr-180). History: N.A.
Y71H10A.2,60.6920946,-1.099660964,4.50E-07,2.47E-05,Y71H10A.2,WBGene00022200,Sequence name for WBGene00022200(fard-1). History: N.A.
C32D5.15,102.5233313,1.099179824,0.000550466,0.011192804,C32D5.15,WBGene00196028,Public name for WBGene00196028. History: N.A.
Y18H1A.15,23.36988438,1.098532442,0.000210409,0.005036488,Y18H1A.15,WBGene00044434,Public name for WBGene00044434. History: N.A.
Y57G11C.84,28.95097827,1.097933336,0.000112803,0.003004384,Y57G11C.84,WBGene00045949,Sequence name for WBGene00045949(21ur-1113). History: N.A.
C46G7.3,1040.714678,1.096815029,1.13E-33,7.57E-31,C46G7.3,,Sequence name for Suppressed gene WBGene00016723. Molecular name for Suppressed gene WBGene00016723. Public name for Suppressed gene WBGene00016723. History of WBGene00016723: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F42C5.10,26.912684,-1.096319243,9.83E-05,0.002686498,F42C5.10,WBGene00018350,Sequence name for WBGene00018350(ifo-1). History: Renamed on 2013-10-04
T26C11.6,10.73192656,-1.095747023,0.002262991,0.03382858,T26C11.6,WBGene00000444,Sequence name for WBGene00000444(ceh-21). History: N.A.
T23D8.8,6.101674854,-1.095551582,0.004657869,0.056887172,T23D8.8,WBGene00000476,Sequence name for WBGene00000476(cfi-1). History: N.A.
C07G3.8,660.4938989,-1.092583894,5.55E-21,1.70E-18,C07G3.8,WBGene00015576,"Public name for WBGene00015576. History: Split into C07G3.15(WBGene00269378). History of WBGene00015576: Split into ""WBGene00269378"" on 2016-02-18"
Y43F8B.21,14.01662745,-1.091511103,0.001943398,0.030413504,Y43F8B.21,WBGene00194676,Public name for WBGene00194676. History: N.A.
F46H5.3,14.10538299,-1.091478424,0.001864735,0.02946697,F46H5.3,WBGene00018519,Public name for WBGene00018519. History: N.A.
Y38H6C.4,11.06065092,1.08941113,0.002820598,0.039122862,Y38H6C.4,WBGene00012617,Public name for WBGene00012617. History: N.A.
F58D12.1,75.33799027,-1.088635427,6.48E-08,4.20E-06,F58D12.1,WBGene00010249,Public name for WBGene00010249. History: N.A.
F08H9.13,6.660148243,-1.08784839,0.005102732,0.060435677,F08H9.13,WBGene00196832,Public name for WBGene00196832. History: N.A.
Y82E9BL.16,9.747645216,-1.086998144,0.002755353,0.038643064,Y82E9BL.16,WBGene00022332,Sequence name for WBGene00022332(fbxa-20). History: N.A.
R11A5.4,39.61265479,-1.083211645,4.09E-05,0.001271135,R11A5.4,WBGene00011232,Sequence name for WBGene00011232(pck-2). History: N.A.
C15F1.14,6.97547014,-1.082001362,0.005176503,0.060943995,C15F1.14,WBGene00198924,Public name for WBGene00198924. History: N.A.
Y102A11A.3,62.72672316,-1.081717248,0.000140157,0.003561785,Y102A11A.3,WBGene00022413,Public name for WBGene00022413. History: N.A.
F45B8.5,23.59304574,1.080164253,0.000230999,0.005448898,F45B8.5,WBGene00194794,"Public name for WBGene00194794. History: Split into F20D1.22(WBGene00304908). History of WBGene00194794: Split into ""WBGene00304908"" on 2019-07-25"
T07D1.4,16.52739507,-1.07883633,0.001260616,0.02167113,T07D1.4,WBGene00001484,Sequence name for WBGene00001484(fox-1). History: N.A.
T08E11.3,7.803317844,-1.077861913,0.004736946,0.057481699,T08E11.3,WBGene00020359,Sequence name for WBGene00020359(math-40). History: N.A.
W02A2.4,58.27256902,1.077240127,4.35E-06,0.000187749,W02A2.4,WBGene00012189,Public name for WBGene00012189. History: N.A.
F56C3.10,4.817185256,1.076382934,0.006574165,0.071208515,F56C3.10,WBGene00044558,Public name for WBGene00044558. History: N.A.
K01A6.6,122.0085747,1.076110063,2.63E-08,1.81E-06,K01A6.6,WBGene00010448,Public name for WBGene00010448. History: N.A.
M02F4.2,12.61409217,1.075116276,0.001986887,0.03088112,M02F4.2,WBGene00019736,Public name for WBGene00019736. History: N.A.
F09E10.6,8.505544646,1.07482099,0.005735461,0.065204949,F09E10.6,WBGene00017296,Public name for WBGene00017296. History: N.A.
K11C4.5,574.4474599,1.073423379,1.89E-21,5.95E-19,K11C4.5,WBGene00006801,Sequence name for WBGene00006801(unc-68). History: N.A.
M60.7,7.153616748,1.072533061,0.005882646,0.066251964,M60.7,WBGene00019782,Public name for WBGene00019782. History: N.A.
F41H10.7,40.08076792,-1.070568452,7.19E-05,0.002064959,F41H10.7,WBGene00001243,Sequence name for WBGene00001243(elo-5). History: N.A.
Y7A5A.15,8.674006651,1.070521275,0.00626302,0.068856803,Y7A5A.15,WBGene00197544,Public name for WBGene00197544. History: N.A.
F07B7.14,44.6437771,1.069219153,1.74E-05,0.000625553,F07B7.14,WBGene00017192,"Public name for WBGene00017192. History: Split into F07B7.18(WBGene00271801). History of WBGene00017192: Split into ""WBGene00271801"" on 2017-09-21"
F55F3.3,57.2190032,-1.068726903,0.002378115,0.034905682,F55F3.3,WBGene00010117,Sequence name for WBGene00010117(nkb-3). History: N.A.
B0310.3,6.89115724,-1.067532663,0.005760506,0.065358697,B0310.3,WBGene00015139,Public name for WBGene00015139. History: N.A.
F25F2.2,48.04052991,-1.066631458,2.54E-06,0.000117913,F25F2.2,WBGene00000396,Sequence name for WBGene00000396(cdh-4). History: N.A.
W09B6.1,590.164483,-1.065227339,1.93E-08,1.38E-06,W09B6.1,WBGene00004076,"Sequence name for WBGene00004076(pod-2). History: N.A.. Public name for Dead gene WBGene00021102. History of WBGene00021102: Renamed on 2005-03-17; Merged into ""WBGene00004076"" on 2005-08-19"
T28D6.4,536.8998739,1.064898751,2.23E-08,1.57E-06,T28D6.4,WBGene00012124,Public name for WBGene00012124. History: N.A.
F49H12.1,39.71113271,1.063151926,2.44E-05,0.000840201,F49H12.1,WBGene00003087,Sequence name for WBGene00003087(lsy-2). History: N.A.
F22F1.8,7.840563652,1.060944725,0.006869265,0.073666047,F22F1.8,WBGene00200082,Public name for WBGene00200082. History: N.A.
T17A3.10,8.832266367,1.059436287,0.005891279,0.066251964,T17A3.10,WBGene00020546,Sequence name for WBGene00020546(zig-13). History: N.A.
ZK1010.5,13.13270662,1.059398714,0.0047942,0.057928641,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
K07E3.4,10.18631611,-1.058524456,0.004682785,0.05705716,K07E3.4,WBGene00019492,Public name for WBGene00019492. History: N.A.
T25C8.2,17.62325211,-1.058026238,0.002600466,0.037019929,T25C8.2,WBGene00000067,Sequence name for WBGene00000067(act-5). History: N.A.
T19C3.6,3450.771797,1.057861912,2.26E-10,2.33E-08,T19C3.6,WBGene00020564,Public name for WBGene00020564. History: N.A.
C03B1.7,14.65341261,-1.055954627,0.001094119,0.019580238,C03B1.7,WBGene00015378,Public name for WBGene00015378. History: N.A.
T19C9.10,27.82423521,1.055040654,0.000109238,0.002930056,T19C9.10,WBGene00050934,Public name for WBGene00050934. History: N.A.
C10A4.7,30.63781788,1.05496083,0.000130138,0.003386742,C10A4.7,WBGene00015668,Public name for WBGene00015668. History: N.A.
Y45F10D.10,33.93873715,-1.053569893,1.80E-05,0.000636663,Y45F10D.10,WBGene00012889,Sequence name for WBGene00012889(icap-1). History: N.A.
Y46D2A.1,41.04738846,-1.053488273,3.01E-05,0.000987451,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
T27E4.2,45.09028047,1.052962009,5.74E-06,0.00023868,T27E4.2,WBGene00002017,Sequence name for WBGene00002017(hsp-16.11). History: N.A.
F47G6.2,137.3479127,1.050868483,2.19E-09,1.90E-07,F47G6.2,WBGene00018579,Sequence name for WBGene00018579(acs-16). History: N.A.
M01D7.5,80.97010137,-1.046512134,4.03E-06,0.000174696,M01D7.5,WBGene00003750,Sequence name for WBGene00003750(nlp-12). History: N.A.
Y54E10BR.2,40.44555019,1.045875516,2.89E-05,0.000957182,Y54E10BR.2,WBGene00021841,Public name for WBGene00021841. History: N.A.
R03D7.5,13.38054949,-1.045734232,0.001925579,0.030218013,R03D7.5,WBGene00010991,Sequence name for WBGene00010991(gskl-1). History: N.A.
F13B9.1,98.17193421,-1.043746333,6.75E-10,6.44E-08,F13B9.1,WBGene00017419,Sequence name for WBGene00017419(sec-16A.2). History: N.A.
C03A7.4,5.747115587,1.043715682,0.007988755,0.081825464,C03A7.4,WBGene00004099,Sequence name for WBGene00004099(abu-15). History: Renamed on 2011-04-12
E03H4.11,12.49611711,1.040419132,0.00487508,0.058531916,E03H4.11,WBGene00008478,Public name for WBGene00008478. History: N.A.
Y41E3.6,24.92652966,1.03949307,0.002782736,0.03878737,Y41E3.6,WBGene00012764,Public name for WBGene00012764. History: N.A.
T03D3.5,1126.973142,1.039080579,5.95E-24,2.33E-21,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
R04F11.4,9.819756073,1.036020725,0.004746477,0.057535818,R04F11.4,WBGene00006668,Sequence name for WBGene00006668(twk-13). History: N.A.
F21F8.3,7.94711481,-1.035618431,0.006710869,0.072446733,F21F8.3,WBGene00000218,Sequence name for WBGene00000218(asp-5). History: N.A.
F46E10.1,8.363166143,-1.034422117,0.008415256,0.085173502,F46E10.1,WBGene00018488,Sequence name for WBGene00018488(acs-1). History: N.A.
F35E8.8,9.473723901,1.033489466,0.005630386,0.064332686,F35E8.8,WBGene00001786,Sequence name for WBGene00001786(gst-38). History: N.A.
F39E9.6,5679.554592,-1.033071193,5.36E-07,2.89E-05,F39E9.6,WBGene00018198,Public name for WBGene00018198. History: N.A.
F54F11.2,16.43136566,-1.031899739,0.002913208,0.039823196,F54F11.2,WBGene00010070,Sequence name for WBGene00010070(nep-17). History: N.A.
K11H12.11,6.274472241,-1.030687844,0.007460597,0.078088501,K11H12.11,WBGene00044723,Public name for WBGene00044723. History: N.A.
K09B11.5,305.7473477,1.030652174,5.09E-05,0.00152729,K09B11.5,WBGene00010712,Public name for WBGene00010712. History: N.A.
C06E4.5,32.5749073,1.029266428,0.000703342,0.013758833,C06E4.5,WBGene00015534,Public name for WBGene00015534. History: N.A.
T09D3.9,12.13632694,-1.028590026,0.004967329,0.059325593,T09D3.9,WBGene00195171,Public name for WBGene00195171. History: N.A.
W07G1.5,5.828452071,1.028165574,0.00881669,0.088213553,W07G1.5,WBGene00012332,Sequence name for WBGene00012332(rpi-1). History: N.A.
C49C3.7,89.24413141,1.025869263,2.23E-06,0.000104558,C49C3.7,WBGene00008197,Public name for WBGene00008197. History: N.A.
K11D2.1,184.2259855,1.024338721,3.38E-10,3.37E-08,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
W04B5.1,972.254692,-1.024318601,4.75E-07,2.59E-05,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
E01G4.7,3542.089883,-1.023949038,7.23E-10,6.78E-08,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
C33D12.6,61.44030729,1.023790984,9.64E-05,0.002655263,C33D12.6,WBGene00016344,Sequence name for WBGene00016344(rsef-1). History: Renamed on 2014-03-03
B0412.4,21.15961627,-1.023067421,0.000799204,0.015037763,B0412.4,WBGene00004498,Sequence name for WBGene00004498(rps-29). History: N.A.
Y82E9BR.3,56.51085884,-1.022187408,2.81E-05,0.000940109,Y82E9BR.3,WBGene00022336,Public name for WBGene00022336. History: N.A.
K10C2.1,52.62022908,-1.021928873,4.70E-05,0.001425772,K10C2.1,WBGene00019617,Sequence name for WBGene00019617(ctsa-2). History: N.A.
F56D2.2,155.6523347,1.020445022,3.95E-11,4.48E-09,F56D2.2,WBGene00018964,Public name for WBGene00018964. History: N.A.
Y77E11A.2,197.5925288,1.019182213,1.70E-07,1.01E-05,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
T27E4.8,97.23865533,1.016287061,1.38E-06,6.67E-05,T27E4.8,WBGene00002015,Sequence name for WBGene00002015(hsp-16.1). History: N.A.
F29G9.1,12715.79907,-1.015788393,2.32E-12,3.25E-10,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
F07G6.2,3.867663696,1.012815424,0.010272509,0.099362219,F07G6.2,WBGene00017222,Public name for WBGene00017222. History: N.A.
F53C3.6,26.12582663,1.012480891,0.000473335,0.009890353,F53C3.6,WBGene00018750,Public name for WBGene00018750. History: N.A.
C31E10.8,181.7964201,1.01237621,3.79E-12,5.00E-10,C31E10.8,WBGene00007849,Sequence name for WBGene00007849(tbc-19). History: N.A.
T06C12.7,209.1779536,1.011376113,7.87E-12,9.92E-10,T06C12.7,WBGene00003674,Sequence name for WBGene00003674(nhr-84). History: N.A.
F52D2.2,21.84963995,1.011052333,0.002261481,0.03382858,F52D2.2,WBGene00004351,"Sequence name for WBGene00004351(rgs-8.1). History: N.A.. Public name for Dead gene WBGene00018685. History of WBGene00018685: Merged into ""WBGene00004351"" on 2004-12-03"
Y59E1A.2,21.84963995,1.011052333,0.002261481,0.03382858,Y59E1A.2,WBGene00021988,Sequence name for WBGene00021988(rgs-8.2). History: N.A.
Y41D4B.6,7.277296024,-1.009839316,0.008788709,0.088166841,Y41D4B.6,WBGene00021513,Public name for WBGene00021513. History: N.A.
C33E10.10,7.779209455,-1.008458723,0.008350046,0.084770843,C33E10.10,WBGene00016350,Public name for WBGene00016350. History: N.A.
Y116A8A.66,8.453215327,-1.006201195,0.006989414,0.07446187,Y116A8A.66,WBGene00164993,Sequence name for WBGene00164993(21ur-13666). History: N.A.
Y54F10BL.1,23.49713885,-1.005115956,0.00110582,0.019758474,Y54F10BL.1,WBGene00044676,Sequence name for WBGene00044676(fbxa-42). History: N.A.
F36A2.3,71.97245563,-1.005013724,1.53E-06,7.40E-05,F36A2.3,WBGene00009453,Public name for WBGene00009453. History: N.A.
F36H5.5,13.15521517,1.00495017,0.003509979,0.045774967,F36H5.5,WBGene00018104,"Sequence name for WBGene00018104(fbxb-53). History: Split into F36H5.18(WBGene00305113). History of WBGene00018104: Split into ""WBGene00305113"" on 2019-10-21"
C03D6.1,763.4860938,1.004724139,3.01E-09,2.49E-07,C03D6.1,WBGene00007275,Public name for WBGene00007275. History: N.A.
Y87G2A.9,18.80574307,1.004278754,0.002508039,0.036249948,Y87G2A.9,WBGene00006709,Sequence name for WBGene00006709(ubc-14). History: N.A.
Y53F4B.25,284.4606393,-0.998983081,6.80E-06,0.000277683,Y53F4B.25,WBGene00013171,Public name for WBGene00013171. History: N.A.
B0391.11,22.55702778,0.998886925,0.004112545,0.051787937,B0391.11,WBGene00007166,Sequence name for WBGene00007166(fbxa-152). History: N.A.
Y47H9A.5,83.62707222,0.996510127,8.12E-06,0.000320866,Y47H9A.5,WBGene00199814,Public name for WBGene00199814. History: N.A.
Y46H3C.5,841.4369073,-0.996415539,0.000169631,0.004156866,Y46H3C.5,WBGene00021605,Public name for WBGene00021605. History: N.A.
F52E4.8,440.0556703,-0.99623228,1.01E-09,9.19E-08,F52E4.8,WBGene00018704,Sequence name for WBGene00018704(ztf-13). History: N.A.
F40G9.2,105.4658808,-0.993880415,0.001947008,0.030428028,F40G9.2,WBGene00018240,Sequence name for WBGene00018240(cox-17). History: N.A.
ZK637.1,90.90627573,0.993559182,4.47E-08,2.98E-06,ZK637.1,WBGene00014021,Sequence name for WBGene00014021(svop-1). History: N.A.
F08G2.15,91.37604577,0.991753825,7.99E-06,0.000317066,F08G2.15,WBGene00198470,Public name for WBGene00198470. History: N.A.
Y53H1B.2,66.37566265,0.991587462,0.000691731,0.013578503,Y53H1B.2,WBGene00013181,Public name for WBGene00013181. History: N.A.
ZC328.5,68.48305099,0.991235638,0.000221113,0.005259425,ZC328.5,WBGene00022594,Public name for WBGene00022594. History: N.A.
F52C12.3,28.20922444,0.990298232,0.00053385,0.010953105,F52C12.3,WBGene00018680,Sequence name for WBGene00018680(tsen-54). History: N.A.
K04A8.6,25.70774798,-0.988309291,0.000559765,0.011361526,K04A8.6,WBGene00001089,"Sequence name for WBGene00001089(dre-1). History: N.A.. Public name for Dead gene WBGene00019377. History of WBGene00019377: Merged into ""WBGene00001089"" on 2007-03-14"
H14A12.5,175.1518237,0.987028794,3.40E-06,0.000149938,H14A12.5,WBGene00019197,Public name for WBGene00019197. History: N.A.
F11C1.5,63.18770173,-0.984916342,8.32E-05,0.002336751,F11C1.5,WBGene00008694,Sequence name for WBGene00008694(vwa-8). History: N.A.
C05G5.1,11.83552685,0.983735274,0.004860625,0.058420184,C05G5.1,WBGene00007347,Public name for WBGene00007347. History: N.A.
C39B5.2,34.55105822,-0.98364961,7.00E-05,0.002026458,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
C02B4.2,26.75816758,-0.979667842,0.000291415,0.006693106,C02B4.2,WBGene00003616,Sequence name for WBGene00003616(nhr-17). History: N.A.
C03F11.3,9.525160859,-0.977385455,0.007581559,0.079031235,C03F11.3,WBGene00015389,Sequence name for WBGene00015389(scav-1). History: N.A.
F36H5.11,128.6756165,-0.975094591,0.000742826,0.014212656,F36H5.11,WBGene00018109,"Sequence name for WBGene00018109(fbxb-12). History: Split into F36H5.16(WBGene00270292), F36H5.17(WBGene00270293). History of WBGene00018109: Split into ""WBGene00270292"" on 2016-07-01; Split into ""WBGene00270293"" on 2016-07-01"
F46H6.2,173.3525337,-0.973224802,3.04E-10,3.05E-08,F46H6.2,WBGene00000959,Sequence name for WBGene00000959(dgk-2). History: N.A.
F45E10.1,50.84244198,0.971844328,0.000409237,0.008810638,F45E10.1,WBGene00006788,Sequence name for WBGene00006788(unc-53). History: N.A.
Y54G9A.14,81.70324111,0.970663691,0.00038486,0.008397357,Y54G9A.14,WBGene00198455,Public name for WBGene00198455. History: N.A.
T02C12.1,12.60573349,-0.969910516,0.003801036,0.048511311,T02C12.1,WBGene00002038,Sequence name for WBGene00002038(hum-5). History: N.A.
