# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Targets Adults > 50 RPM (1367),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00004188,,,,WBGene00004188,WBGene00004188,History: N.A.
WBGene00004203,,,,WBGene00004203,WBGene00004203,History: Renamed on 2011-02-11
WBGene00004204,,,,WBGene00004204,WBGene00004204,History: Renamed on 2011-02-11
WBGene00004208,,,,WBGene00004208,WBGene00004208,History: N.A.
WBGene00004214,,,,WBGene00004214,WBGene00004214,History: N.A.
WBGene00004217,,,,WBGene00004217,WBGene00004217,History: Renamed on 2015-03-05
WBGene00004239,,,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00004241,,,,WBGene00004241,WBGene00004241,History: N.A.
WBGene00004242,,,,WBGene00004242,WBGene00004242,History: N.A.
WBGene00004244,,,,WBGene00004244,WBGene00004244,History: Renamed on 2012-08-14
WBGene00004254,,,,WBGene00004254,WBGene00004254,History: N.A.
WBGene00004274,,,,WBGene00004274,WBGene00004274,History: N.A.
WBGene00004277,,,,WBGene00004277,WBGene00004277,History: N.A.
WBGene00004298,,,,WBGene00004298,WBGene00004298,History: Renamed on 2019-07-04
WBGene00004302,,,,WBGene00004302,WBGene00004302,History: N.A.
WBGene00004303,,,,WBGene00004303,WBGene00004303,History: Renamed on 2015-07-06
WBGene00004304,,,,WBGene00004304,WBGene00004304,History: N.A.
WBGene00004312,,,,WBGene00004312,WBGene00004312,History: N.A.
WBGene00004322,,,,WBGene00004322,WBGene00004322,History: N.A.
WBGene00004323,,,,WBGene00004323,WBGene00004323,History: N.A.
WBGene00004324,,,,WBGene00004324,WBGene00004324,History: N.A.
WBGene00004333,,,,WBGene00004333,WBGene00004333,History: N.A.
WBGene00004338,,,,WBGene00004338,WBGene00004338,History: N.A.
WBGene00004343,,,,WBGene00004343,WBGene00004343,History: N.A.
WBGene00004355,,,,WBGene00004355,WBGene00004355,History: N.A.
WBGene00004371,,,,WBGene00004371,WBGene00004371,History: N.A.
WBGene00004373,,,,WBGene00004373,WBGene00004373,History: N.A.
WBGene00004374,,,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00004378,,,,WBGene00004378,WBGene00004378,History: N.A.
WBGene00004388,,,,WBGene00004388,WBGene00004388,History: N.A.
WBGene00004391,,,,WBGene00004391,WBGene00004391,History: N.A.
WBGene00004411,,,,WBGene00004411,WBGene00004411,History: N.A.
WBGene00004416,,,,WBGene00004416,WBGene00004416,History: N.A.
WBGene00004458,,,,WBGene00004458,WBGene00004458,History: N.A.
WBGene00004459,,,,WBGene00004459,WBGene00004459,History: N.A.
WBGene00004460,,,,WBGene00004460,WBGene00004460,History: N.A.
WBGene00004461,,,,WBGene00004461,WBGene00004461,History: N.A.
WBGene00004462,,,,WBGene00004462,WBGene00004462,History: N.A.
WBGene00004463,,,,WBGene00004463,WBGene00004463,History: N.A.
WBGene00004465,,,,WBGene00004465,WBGene00004465,History: N.A.
WBGene00004466,,,,WBGene00004466,WBGene00004466,History: N.A.
WBGene00004467,,,,WBGene00004467,WBGene00004467,History: N.A.
WBGene00004488,,,,WBGene00004488,WBGene00004488,History: N.A.
WBGene00004501,,,,WBGene00004501,WBGene00004501,History: N.A.
WBGene00004502,,,,WBGene00004502,WBGene00004502,History: N.A.
WBGene00004503,,,,WBGene00004503,WBGene00004503,History: N.A.
WBGene00004504,,,,WBGene00004504,WBGene00004504,History: N.A.
WBGene00004505,,,,WBGene00004505,WBGene00004505,History: N.A.
WBGene00004506,,,,WBGene00004506,WBGene00004506,History: N.A.
WBGene00004508,,,,WBGene00004508,WBGene00004508,History: N.A.
WBGene00004510,,,,WBGene00004510,WBGene00004510,History: Renamed on 2016-06-06
WBGene00004684,,,,WBGene00004684,WBGene00004684,History: N.A.
WBGene00004698,,,,WBGene00004698,WBGene00004698,History: N.A.
WBGene00004699,,,,WBGene00004699,WBGene00004699,History: N.A.
WBGene00004703,,,,WBGene00004703,WBGene00004703,History: N.A.
WBGene00004704,,,,WBGene00004704,WBGene00004704,History: N.A.
WBGene00004705,,,,WBGene00004705,WBGene00004705,History: N.A.
WBGene00004706,,,,WBGene00004706,WBGene00004706,History: N.A.
WBGene00004726,,,,WBGene00004726,WBGene00004726,History: N.A.
WBGene00004736,,,,WBGene00004736,WBGene00004736,History: N.A.
WBGene00004737,,,,WBGene00004737,WBGene00004737,History: N.A.
WBGene00004738,,,,WBGene00004738,WBGene00004738,History: N.A.
WBGene00004744,,,,WBGene00004744,WBGene00004744,History: N.A.
WBGene00004755,,,,WBGene00004755,WBGene00004755,History: N.A.
WBGene00004756,,,,WBGene00004756,WBGene00004756,History: N.A.
WBGene00004775,,,,WBGene00004775,WBGene00004775,History: Renamed on 2015-03-03
WBGene00004781,,,,WBGene00004781,WBGene00004781,History: N.A.
WBGene00004782,,,,WBGene00004782,WBGene00004782,History: N.A.
WBGene00004783,,,,WBGene00004783,WBGene00004783,History: N.A.
WBGene00004800,,,,WBGene00004800,WBGene00004800,History: N.A.
WBGene00004804,,,,WBGene00004804,WBGene00004804,History: Renamed on 2016-01-12; Renamed on 2017-05-16
WBGene00004806,,,,WBGene00004806,WBGene00004806,History: N.A.
WBGene00004824,,,,WBGene00004824,WBGene00004824,History: N.A.
WBGene00004873,,,,WBGene00004873,WBGene00004873,History: N.A.
WBGene00004874,,,,WBGene00004874,WBGene00004874,History: N.A.
WBGene00004880,,,,WBGene00004880,WBGene00004880,History: N.A.
WBGene00004881,,,,WBGene00004881,WBGene00004881,History: N.A.
WBGene00004896,,,,WBGene00004896,WBGene00004896,History: N.A.
WBGene00004914,,,,WBGene00004914,WBGene00004914,History: N.A.
WBGene00004916,,,,WBGene00004916,WBGene00004916,History: N.A.
WBGene00004946,,,,WBGene00004946,WBGene00004946,History: N.A.
WBGene00004952,,,,WBGene00004952,WBGene00004952,History: N.A.
WBGene00004953,,,,WBGene00004953,WBGene00004953,History: N.A.
WBGene00004955,,,,WBGene00004955,WBGene00004955,History: N.A.
WBGene00004975,,,,WBGene00004975,WBGene00004975,History: N.A.
WBGene00004980,,,,WBGene00004980,WBGene00004980,History: N.A.
WBGene00005006,,,,WBGene00005006,WBGene00005006,History: Renamed on 2007-02-07
WBGene00005010,,,,WBGene00005010,WBGene00005010,History: N.A.
WBGene00005015,,,,WBGene00005015,WBGene00005015,History: N.A.
WBGene00005022,,,,WBGene00005022,WBGene00005022,History: N.A.
WBGene00006307,,,,WBGene00006307,WBGene00006307,History: N.A.
WBGene00006311,,,,WBGene00006311,WBGene00006311,History: N.A.
WBGene00006352,,,,WBGene00006352,WBGene00006352,History: N.A.
WBGene00006359,,,,WBGene00006359,WBGene00006359,History: N.A.
WBGene00006373,,,,WBGene00006373,WBGene00006373,History: Renamed on 2010-04-16
WBGene00006379,,,,WBGene00006379,WBGene00006379,History: N.A.
WBGene00006381,,,,WBGene00006381,WBGene00006381,History: N.A.
WBGene00006382,,,,WBGene00006382,WBGene00006382,History: N.A.
WBGene00006383,,,,WBGene00006383,WBGene00006383,History: N.A.
WBGene00006385,,,,WBGene00006385,WBGene00006385,History: N.A.
WBGene00006392,,,,WBGene00006392,WBGene00006392,History: N.A.
WBGene00006405,,,,WBGene00006405,WBGene00006405,History: N.A.
WBGene00006414,,,,WBGene00006414,WBGene00006414,History: Renamed on 2007-07-20
WBGene00006437,,,,WBGene00006437,WBGene00006437,History: Renamed on 2008-07-18
WBGene00006440,,,,WBGene00006440,WBGene00006440,History: Renamed on 2021-04-19
WBGene00006442,,,,WBGene00006442,WBGene00006442,History: N.A.
WBGene00006446,,,,WBGene00006446,WBGene00006446,History: N.A.
WBGene00006450,,,,WBGene00006450,WBGene00006450,History: N.A.
WBGene00006489,,,,WBGene00006489,WBGene00006489,History: Renamed on 2011-09-30
WBGene00006497,,,,WBGene00006497,WBGene00006497,History: N.A.
WBGene00006499,,,,WBGene00006499,WBGene00006499,History: N.A.
WBGene00006514,,,,WBGene00006514,WBGene00006514,History: Renamed on 2008-11-20
WBGene00006516,,,,WBGene00006516,WBGene00006516,History: N.A.
WBGene00006528,,,,WBGene00006528,WBGene00006528,History: N.A.
WBGene00006529,,,,WBGene00006529,WBGene00006529,History: N.A.
WBGene00006536,,,,WBGene00006536,WBGene00006536,History: N.A.
WBGene00006537,,,,WBGene00006537,WBGene00006537,History: N.A.
WBGene00006563,,,,WBGene00006563,WBGene00006563,History: N.A.
WBGene00006565,,,,WBGene00006565,WBGene00006565,History: N.A.
WBGene00006567,,,,WBGene00006567,WBGene00006567,History: N.A.
WBGene00006571,,,,WBGene00006571,WBGene00006571,History: N.A.
WBGene00006577,,,,WBGene00006577,WBGene00006577,History: N.A.
WBGene00006579,,,,WBGene00006579,WBGene00006579,History: N.A.
WBGene00006590,,,,WBGene00006590,WBGene00006590,History: N.A.
WBGene00006595,,,,WBGene00006595,WBGene00006595,History: N.A.
WBGene00006613,,,,WBGene00006613,WBGene00006613,History: N.A.
WBGene00006626,,,,WBGene00006626,WBGene00006626,History: N.A.
WBGene00006647,,,,WBGene00006647,WBGene00006647,History: N.A.
WBGene00006699,,,,WBGene00006699,WBGene00006699,History: N.A.
WBGene00006703,,,,WBGene00006703,WBGene00006703,History: N.A.
WBGene00006704,,,,WBGene00006704,WBGene00006704,History: N.A.
WBGene00006707,,,,WBGene00006707,WBGene00006707,History: N.A.
WBGene00006727,,,,WBGene00006727,WBGene00006727,History: N.A.
WBGene00006733,,,,WBGene00006733,WBGene00006733,History: N.A.
WBGene00006734,,,,WBGene00006734,WBGene00006734,History: N.A.
WBGene00006736,,,,WBGene00006736,WBGene00006736,History: N.A.
WBGene00006737,,,,WBGene00006737,WBGene00006737,History: N.A.
WBGene00006740,,,,WBGene00006740,WBGene00006740,History: Renamed on 2014-03-28; Renamed on 2014-09-02
WBGene00006755,,,,WBGene00006755,WBGene00006755,History: N.A.
WBGene00006768,,,,WBGene00006768,WBGene00006768,History: N.A.
WBGene00006794,,,,WBGene00006794,WBGene00006794,"History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
WBGene00006817,,,,WBGene00006817,WBGene00006817,History: Renamed on 2008-06-05
WBGene00006840,,,,WBGene00006840,WBGene00006840,History: N.A.
WBGene00006856,,,,WBGene00006856,WBGene00006856,History: N.A.
WBGene00006888,,,,WBGene00006888,WBGene00006888,History: N.A.
WBGene00006924,,,,WBGene00006924,WBGene00006924,History: N.A.
WBGene00006932,,,,WBGene00006932,WBGene00006932,History: N.A.
WBGene00006933,,,,WBGene00006933,WBGene00006933,History: N.A.
WBGene00006934,,,,WBGene00006934,WBGene00006934,History: N.A.
WBGene00006936,,,,WBGene00006936,WBGene00006936,History: Renamed on 2010-01-29; Renamed on 2015-10-07
WBGene00006940,,,,WBGene00006940,WBGene00006940,History: N.A.
WBGene00006941,,,,WBGene00006941,WBGene00006941,History: N.A.
WBGene00006943,,,,WBGene00006943,WBGene00006943,History: N.A.
WBGene00006944,,,,WBGene00006944,WBGene00006944,History: N.A.
WBGene00006957,,,,WBGene00006957,WBGene00006957,History: N.A.
WBGene00006964,,,,WBGene00006964,WBGene00006964,History: N.A.
WBGene00006974,,,,WBGene00006974,WBGene00006974,History: N.A.
WBGene00006977,,,,WBGene00006977,WBGene00006977,History: N.A.
WBGene00006988,,,,WBGene00006988,WBGene00006988,History: N.A.
WBGene00006993,,,,WBGene00006993,WBGene00006993,History: N.A.
WBGene00006994,,,,WBGene00006994,WBGene00006994,History: N.A.
WBGene00006996,,,,WBGene00006996,WBGene00006996,History: N.A.
WBGene00006997,,,,WBGene00006997,WBGene00006997,History: N.A.
WBGene00007008,,,,WBGene00007008,WBGene00007008,History: N.A.
WBGene00007009,,,,WBGene00007009,WBGene00007009,History: N.A.
WBGene00007012,,,,WBGene00007012,WBGene00007012,History: N.A.
WBGene00007016,,,,WBGene00007016,WBGene00007016,"History: Split into R12B2.13(WBGene00303073). History of WBGene00007016: Split into ""WBGene00303073"" on 2018-03-02"
WBGene00007027,,,,WBGene00007027,WBGene00007027,History: N.A.
WBGene00007028,,,,WBGene00007028,WBGene00007028,History: N.A.
WBGene00007029,,,,WBGene00007029,WBGene00007029,History: N.A.
WBGene00007030,,,,WBGene00007030,WBGene00007030,History: N.A.
WBGene00007042,,,,WBGene00007042,WBGene00007042,History: Renamed on 2007-08-01
WBGene00007048,,,,WBGene00007048,WBGene00007048,History: Renamed on 2011-09-23
WBGene00007050,,,,WBGene00007050,WBGene00007050,History: Renamed on 2016-02-19
WBGene00007087,,,,WBGene00007087,WBGene00007087,History: N.A.
WBGene00007092,,,,WBGene00007092,WBGene00007092,History: N.A.
WBGene00007100,,,,WBGene00007100,WBGene00007100,History: N.A.
WBGene00007109,,,,WBGene00007109,WBGene00007109,History: N.A.
WBGene00007110,,,,WBGene00007110,WBGene00007110,History: N.A.
WBGene00007111,,,,WBGene00007111,WBGene00007111,History: N.A.
WBGene00007118,,,,WBGene00007118,WBGene00007118,History: Renamed on 2008-01-28
WBGene00007135,,,,WBGene00007135,WBGene00007135,History: N.A.
WBGene00007184,,,,WBGene00007184,WBGene00007184,History: Renamed on 2014-11-12
WBGene00007235,,,,WBGene00007235,WBGene00007235,History: N.A.
WBGene00007258,,,,WBGene00007258,WBGene00007258,History: N.A.
WBGene00007329,,,,WBGene00007329,WBGene00007329,History: N.A.
WBGene00007333,,,,WBGene00007333,WBGene00007333,History: N.A.
WBGene00007352,,,,WBGene00007352,WBGene00007352,History: Renamed on 2005-03-17
WBGene00007355,,,,WBGene00007355,WBGene00007355,History: N.A.
WBGene00007386,,,,WBGene00007386,WBGene00007386,History: N.A.
WBGene00007412,,,,WBGene00007412,WBGene00007412,History: N.A.
WBGene00007413,,,,WBGene00007413,WBGene00007413,History: N.A.
WBGene00007433,,,,WBGene00007433,WBGene00007433,History: N.A.
WBGene00007445,,,,WBGene00007445,WBGene00007445,History: N.A.
WBGene00007463,,,,WBGene00007463,WBGene00007463,History: N.A.
WBGene00007500,,,,WBGene00007500,WBGene00007500,History: N.A.
WBGene00007501,,,,WBGene00007501,WBGene00003133,"History: Merged into ""WBGene00003133"" on 2022-01-03. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC."
WBGene00007504,,,,WBGene00007504,WBGene00007504,History: N.A.
WBGene00007505,,,,WBGene00007505,WBGene00007505,History: N.A.
WBGene00007554,,,,WBGene00007554,WBGene00007554,History: N.A.
WBGene00007587,,,,WBGene00007587,WBGene00007587,History: N.A.
WBGene00007588,,,,WBGene00007588,WBGene00007588,History: N.A.
WBGene00007602,,,,WBGene00007602,WBGene00007602,History: N.A.
WBGene00007615,,,,WBGene00007615,WBGene00007615,History: Renamed on 2007-05-03
WBGene00007616,,,,WBGene00007616,WBGene00007616,History: N.A.
WBGene00007617,,,,WBGene00007617,WBGene00007617,History: N.A.
WBGene00007624,,,,WBGene00007624,WBGene00007624,History: Renamed on 2012-08-29
WBGene00007645,,,,WBGene00007645,WBGene00007645,History: N.A.
WBGene00007686,,,,WBGene00007686,WBGene00007686,History: N.A.
WBGene00007696,,,,WBGene00007696,WBGene00007696,History: N.A.
WBGene00007703,,,,WBGene00007703,WBGene00007703,History: Renamed on 2005-03-17
WBGene00007709,,,,WBGene00007709,WBGene00007709,History: Renamed on 2006-06-15
WBGene00007761,,,,WBGene00007761,WBGene00007761,History: N.A.
WBGene00007762,,,,WBGene00007762,WBGene00007762,History: N.A.
WBGene00007784,,,,WBGene00007784,WBGene00007784,History: N.A.
WBGene00007785,,,,WBGene00007785,WBGene00007785,History: N.A.
WBGene00007786,,,,WBGene00007786,WBGene00007786,History: N.A.
WBGene00007788,,,,WBGene00007788,WBGene00007788,History: N.A.
WBGene00007789,,,,WBGene00007789,WBGene00007789,History: N.A.
WBGene00007882,,,,WBGene00007882,WBGene00007882,History: N.A.
WBGene00007971,,,,WBGene00007971,WBGene00007971,"History: Split into C36B1.14(WBGene00044614), B0252.8(WBGene00044615). History of WBGene00007971: Split into ""WBGene00044615"" on 2005-08-22"
WBGene00007972,,,,WBGene00007972,WBGene00007972,History: N.A.
WBGene00007975,,,,WBGene00007975,WBGene00007975,History: N.A.
WBGene00008005,,,,WBGene00008005,WBGene00008005,History: Renamed on 2021-12-09
WBGene00008006,,,,WBGene00008006,WBGene00008006,History: N.A.
WBGene00008035,,,,WBGene00008035,WBGene00008035,History: N.A.
WBGene00008053,,,,WBGene00008053,WBGene00008053,History: N.A.
WBGene00008061,,,,WBGene00008061,WBGene00008061,"History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
WBGene00008062,,,,WBGene00008062,WBGene00008062,History: Renamed on 2007-05-03
WBGene00008081,,,,WBGene00008081,WBGene00008081,History: N.A.
WBGene00008107,,,,WBGene00008107,WBGene00008107,History: Renamed on 2006-09-21
WBGene00008145,,,,WBGene00008145,WBGene00008145,History: N.A.
WBGene00008151,,,,WBGene00008151,WBGene00008151,History: N.A.
WBGene00008166,,,,WBGene00008166,WBGene00008166,History: N.A.
WBGene00008183,,,,WBGene00008183,WBGene00008183,History: Renamed on 2012-09-25
WBGene00008338,,,,WBGene00008338,WBGene00008338,History: N.A.
WBGene00008361,,,,WBGene00008361,WBGene00008361,History: N.A.
WBGene00008380,,,,WBGene00008380,WBGene00008380,History: N.A.
WBGene00008385,,,,WBGene00008385,WBGene00008385,History: N.A.
WBGene00008386,,,,WBGene00008386,WBGene00008386,History: Renamed on 2005-03-17
WBGene00008387,,,,WBGene00008387,WBGene00008387,History: N.A.
WBGene00008399,,,,WBGene00008399,WBGene00008399,"History: Split into D2005.7(WBGene00086551). History of WBGene00008399: Split into ""WBGene00086551"" on 2008-06-27"
WBGene00008400,,,,WBGene00008400,WBGene00008400,History: Renamed on 2005-11-22
WBGene00008404,,,,WBGene00008404,WBGene00008404,History: N.A.
WBGene00008418,,,,WBGene00008418,WBGene00008418,History: N.A.
WBGene00008428,,,,WBGene00008428,WBGene00008428,History: N.A.
WBGene00008429,,,,WBGene00008429,WBGene00008429,History: N.A.
WBGene00008430,,,,WBGene00008430,WBGene00008430,History: N.A.
WBGene00008503,,,,WBGene00008503,WBGene00008503,History: N.A.
WBGene00008506,,,,WBGene00008506,WBGene00008506,History: N.A.
WBGene00008532,,,,WBGene00008532,WBGene00008532,History: N.A.
WBGene00008533,,,,WBGene00008533,WBGene00008533,History: N.A.
WBGene00008555,,,,WBGene00008555,WBGene00008555,History: N.A.
WBGene00008645,,,,WBGene00008645,WBGene00008645,History: N.A.
WBGene00008670,,,,WBGene00008670,WBGene00008670,History: N.A.
WBGene00008682,,,,WBGene00008682,WBGene00008682,History: N.A.
WBGene00008683,,,,WBGene00008683,WBGene00008683,History: N.A.
WBGene00008685,,,,WBGene00008685,WBGene00008685,History: N.A.
WBGene00008688,,,,WBGene00008688,WBGene00008688,History: N.A.
WBGene00008710,,,,WBGene00008710,WBGene00008710,History: N.A.
WBGene00008729,,,,WBGene00008729,WBGene00008729,History: N.A.
WBGene00008740,,,,WBGene00008740,WBGene00008740,History: N.A.
WBGene00008781,,,,WBGene00008781,WBGene00008781,History: N.A.
WBGene00008800,,,,WBGene00008800,WBGene00008800,History: N.A.
WBGene00008848,,,,WBGene00008848,WBGene00008848,History: N.A.
WBGene00008878,,,,WBGene00008878,WBGene00008878,History: N.A.
WBGene00008887,,,,WBGene00008887,WBGene00008887,History: N.A.
WBGene00008919,,,,WBGene00008919,WBGene00008919,History: N.A.
WBGene00008921,,,,WBGene00008921,WBGene00008921,History: N.A.
WBGene00008934,,,,WBGene00008934,WBGene00008934,History: N.A.
WBGene00008948,,,,WBGene00008948,WBGene00008948,History: N.A.
WBGene00008968,,,,WBGene00008968,WBGene00008968,History: N.A.
WBGene00008990,,,,WBGene00008990,WBGene00008990,History: N.A.
WBGene00008995,,,,WBGene00008995,WBGene00008995,History: N.A.
WBGene00009012,,,,WBGene00009012,WBGene00009012,History: N.A.
WBGene00009035,,,,WBGene00009035,WBGene00009035,History: N.A.
WBGene00009050,,,,WBGene00009050,WBGene00009050,History: N.A.
WBGene00009064,,,,WBGene00009064,WBGene00009064,History: N.A.
WBGene00009065,,,,WBGene00009065,WBGene00009065,History: N.A.
WBGene00009069,,,,WBGene00009069,WBGene00009069,History: N.A.
WBGene00009084,,,,WBGene00009084,WBGene00009084,History: N.A.
WBGene00009098,,,,WBGene00009098,WBGene00009098,History: N.A.
WBGene00009103,,,,WBGene00009103,WBGene00009103,History: N.A.
WBGene00009112,,,,WBGene00009112,WBGene00009112,History: N.A.
WBGene00009113,,,,WBGene00009113,WBGene00009113,History: N.A.
WBGene00009122,,,,WBGene00009122,WBGene00009122,History: N.A.
WBGene00009127,,,,WBGene00009127,WBGene00009127,History: N.A.
WBGene00009159,,,,WBGene00009159,WBGene00009159,History: N.A.
WBGene00009163,,,,WBGene00009163,WBGene00009163,History: N.A.
WBGene00009180,,,,WBGene00009180,WBGene00009180,History: N.A.
WBGene00009203,,,,WBGene00009203,WBGene00009203,History: N.A.
WBGene00009211,,,,WBGene00009211,WBGene00009211,History: N.A.
WBGene00009254,,,,WBGene00009254,WBGene00009254,History: N.A.
WBGene00009267,,,,WBGene00009267,WBGene00009267,History: N.A.
WBGene00009284,,,,WBGene00009284,WBGene00009284,History: N.A.
WBGene00009285,,,,WBGene00009285,WBGene00009285,History: N.A.
WBGene00009289,,,,WBGene00009289,WBGene00009289,History: N.A.
WBGene00009352,,,,WBGene00009352,WBGene00009352,History: N.A.
WBGene00009365,,,,WBGene00009365,WBGene00009365,History: N.A.
WBGene00009368,,,,WBGene00009368,WBGene00009368,History: N.A.
WBGene00009372,,,,WBGene00009372,WBGene00009372,"History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
WBGene00009374,,,,WBGene00009374,WBGene00009374,History: N.A.
WBGene00009385,,,,WBGene00009385,WBGene00009385,History: N.A.
WBGene00009460,,,,WBGene00009460,WBGene00009460,History: Renamed on 2016-11-04
WBGene00009477,,,,WBGene00009477,WBGene00009477,History: Renamed on 2013-04-05
WBGene00009498,,,,WBGene00009498,WBGene00009498,History: N.A.
WBGene00009507,,,,WBGene00009507,WBGene00009507,History: Renamed on 2015-03-25; Renamed on 2015-03-25
WBGene00009542,,,,WBGene00009542,WBGene00009542,History: N.A.
WBGene00009553,,,,WBGene00009553,WBGene00009553,History: N.A.
WBGene00009584,,,,WBGene00009584,WBGene00009584,History: N.A.
WBGene00009587,,,,WBGene00009587,WBGene00009587,History: N.A.
WBGene00009661,,,,WBGene00009661,WBGene00009661,History: N.A.
WBGene00009666,,,,WBGene00009666,WBGene00009666,History: N.A.
WBGene00009731,,,,WBGene00009731,WBGene00009731,History: N.A.
WBGene00009744,,,,WBGene00009744,WBGene00009744,History: Split into F45H11.8(WBGene00189958). History of WBGene00009744: N.A.
WBGene00009770,,,,WBGene00009770,WBGene00009770,History: N.A.
WBGene00009922,,,,WBGene00009922,WBGene00009922,History: N.A.
WBGene00009966,,,,WBGene00009966,WBGene00009966,History: N.A.
WBGene00009974,,,,WBGene00009974,WBGene00009974,History: N.A.
WBGene00009993,,,,WBGene00009993,WBGene00009993,History: N.A.
WBGene00009994,,,,WBGene00009994,WBGene00009994,History: N.A.
WBGene00009996,,,,WBGene00009996,WBGene00009996,History: N.A.
WBGene00010013,,,,WBGene00010013,WBGene00010013,History: N.A.
WBGene00010015,,,,WBGene00010015,WBGene00010015,History: N.A.
WBGene00010037,,,,WBGene00010037,WBGene00010037,History: N.A.
WBGene00010042,,,,WBGene00010042,WBGene00010042,History: N.A.
WBGene00010044,,,,WBGene00010044,WBGene00010044,History: N.A.
WBGene00010048,,,,WBGene00010048,WBGene00010048,History: N.A.
WBGene00010053,,,,WBGene00010053,WBGene00010053,History: N.A.
WBGene00010056,,,,WBGene00010056,WBGene00010056,History: N.A.
WBGene00010061,,,,WBGene00010061,WBGene00010061,History: N.A.
WBGene00010093,,,,WBGene00010093,WBGene00010093,History: N.A.
WBGene00010132,,,,WBGene00010132,WBGene00010132,History: N.A.
WBGene00010232,,,,WBGene00010232,WBGene00010232,History: N.A.
WBGene00010259,,,,WBGene00010259,WBGene00010259,History: N.A.
WBGene00010260,,,,WBGene00010260,WBGene00010260,History: N.A.
WBGene00010263,,,,WBGene00010263,WBGene00010263,History: N.A.
WBGene00010279,,,,WBGene00010279,WBGene00010279,History: N.A.
WBGene00010280,,,,WBGene00010280,WBGene00010280,History: N.A.
WBGene00010281,,,,WBGene00010281,WBGene00010281,History: Renamed on 2021-12-09
WBGene00010283,,,,WBGene00010283,WBGene00010283,History: N.A.
WBGene00010303,,,,WBGene00010303,WBGene00010303,History: N.A.
WBGene00010317,,,,WBGene00010317,WBGene00010317,History: N.A.
WBGene00010351,,,,WBGene00010351,WBGene00010351,History: N.A.
WBGene00010353,,,,WBGene00010353,WBGene00010353,History: N.A.
WBGene00010363,,,,WBGene00010363,WBGene00010363,"History: Split into H04D03.6(WBGene00194861). History of WBGene00010363: Split into ""WBGene00194861"" on 2009-11-16"
WBGene00010367,,,,WBGene00010367,WBGene00010367,"History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
WBGene00010405,,,,WBGene00010405,WBGene00010405,History: N.A.
WBGene00010406,,,,WBGene00010406,WBGene00010406,History: N.A.
WBGene00010409,,,,WBGene00010409,WBGene00010409,History: N.A.
WBGene00010420,,,,WBGene00010420,WBGene00010420,History: N.A.
WBGene00010425,,,,WBGene00010425,WBGene00010425,History: N.A.
WBGene00010476,,,,WBGene00010476,WBGene00010476,History: Renamed on 2008-08-22
WBGene00010478,,,,WBGene00010478,WBGene00010478,History: N.A.
WBGene00010479,,,,WBGene00010479,WBGene00010479,History: N.A.
WBGene00010556,,,,WBGene00010556,WBGene00010556,History: N.A.
WBGene00010557,,,,WBGene00010557,WBGene00010557,History: N.A.
WBGene00010579,,,,WBGene00010579,WBGene00010579,History: N.A.
WBGene00010582,,,,WBGene00010582,WBGene00010582,History: N.A.
WBGene00010583,,,,WBGene00010583,WBGene00010583,History: N.A.
WBGene00010621,,,,WBGene00010621,WBGene00010621,History: N.A.
WBGene00010626,,,,WBGene00010626,WBGene00010626,History: N.A.
WBGene00010627,,,,WBGene00010627,WBGene00010627,History: N.A.
WBGene00010629,,,,WBGene00010629,WBGene00010629,History: N.A.
WBGene00010631,,,,WBGene00010631,WBGene00010631,History: N.A.
WBGene00010638,,,,WBGene00010638,WBGene00010638,History: N.A.
WBGene00010663,,,,WBGene00010663,WBGene00010663,"History: Split into mlc-7(WBGene00023451). History of WBGene00010663: Split into ""WBGene00023451"" on 2004-07-22"
