Serpentine genes,Input,Suggested Match,History
T07H8.3,T07H8.3,WBGene00005950,Sequence name for WBGene00005950(srx-59). History: N.A.
T07H8.5,T07H8.5,WBGene00005188,Sequence name for WBGene00005188(srg-31). History: N.A.
T07H8.7,T07H8.7,WBGene00020333,Sequence name for WBGene00020333(sre-12). History: N.A.
T09F5.8,T09F5.8,WBGene00005483,Sequence name for WBGene00005483(srh-278). History: N.A.
T10C6.3,T10C6.3,WBGene00005934,Sequence name for WBGene00005934(srx-43). History: N.A.
T10D4.12,T10D4.12,WBGene00005544,Sequence name for WBGene00005544(sri-32). History: N.A.
T10H4.6,T10H4.6,WBGene00005764,Sequence name for WBGene00005764(srw-17). History: N.A.
T10H4.8,T10H4.8,WBGene00005766,Sequence name for WBGene00005766(srw-19). History: N.A.
T10H4.9,T10H4.9,WBGene00005942,Sequence name for WBGene00005942(srx-51). History: N.A.
T11A5.2,T11A5.2,WBGene00011701,Sequence name for WBGene00011701(srab-17). History: N.A.
T11A5.3,T11A5.3,WBGene00011702,Sequence name for WBGene00011702(srab-18). History: N.A.
T11F1.1,T11F1.1,WBGene00005807,Sequence name for WBGene00005807(srw-60). History: N.A.
T11F1.5,T11F1.5,WBGene00005826,Sequence name for WBGene00005826(srw-79). History: N.A.
T11F9.18,T11F9.18,WBGene00005227,Sequence name for WBGene00005227(srh-1). History: N.A.
T12A2.10,T12A2.10,WBGene00005167,Sequence name for WBGene00005167(srg-9). History: N.A.
T12A2.13,T12A2.13,WBGene00005164,Sequence name for WBGene00005164(srg-6). History: N.A.
T12A2.9,T12A2.9,WBGene00005166,Sequence name for WBGene00005166(srg-8). History: N.A.
T13A10.12,T13A10.12,WBGene00005743,Sequence name for WBGene00005743(srv-32). History: N.A.
T13A10.13,T13A10.13,WBGene00005744,Sequence name for WBGene00005744(ops-1). History: Renamed on 2004-04-07
T13A10.7,T13A10.7,WBGene00005741,Sequence name for WBGene00005741(srv-30). History: N.A.
T13A10.9,T13A10.9,WBGene00005742,Sequence name for WBGene00005742(srv-31). History: N.A.
T13F2.5,T13F2.5,WBGene00011745,Sequence name for WBGene00011745(sre-4). History: N.A.
T19C4.3,T19C4.3,WBGene00005198,Sequence name for WBGene00005198(srg-41). History: N.A.
T19C4.4,T19C4.4,WBGene00005197,Sequence name for WBGene00005197(srg-40). History: N.A.
T19C9.4,T19C9.4,WBGene00005328,Sequence name for WBGene00005328(srh-109). History: N.A.
T19E7.5,T19E7.5,WBGene00005083,Sequence name for WBGene00005083(srd-5). History: N.A.
T19H12.4,T19H12.4,WBGene00005111,Sequence name for WBGene00005111(srd-33). History: N.A.
T19H12.5,T19H12.5,WBGene00005110,Sequence name for WBGene00005110(srd-32). History: N.A.
T20B3.4,T20B3.4,WBGene00005424,Sequence name for WBGene00005424(srh-214). History: N.A.
T20C4.1,T20C4.1,WBGene00005597,Sequence name for WBGene00005597(srj-9). History: N.A.
T21B4.5,T21B4.5,WBGene00005289,Sequence name for WBGene00005289(srh-68). History: N.A.
T21B4.7,T21B4.7,WBGene00005290,Sequence name for WBGene00005290(srh-69). History: N.A.
T21B4.8,T21B4.8,WBGene00005283,Sequence name for WBGene00005283(srh-61). History: N.A.
T21B4.9,T21B4.9,WBGene00005291,Sequence name for WBGene00005291(srh-70). History: N.A.
T21C9.7,T21C9.7,WBGene00005189,Sequence name for WBGene00005189(srg-32). History: N.A.
T21D12.5,T21D12.5,WBGene00005487,Sequence name for WBGene00005487(srh-282). History: N.A.
T21H8.2,T21H8.2,WBGene00005063,Sequence name for WBGene00005063(sra-37). History: N.A.
T21H8.4,T21H8.4,WBGene00005065,Sequence name for WBGene00005065(sra-39). History: N.A.
T22B7.5,T22B7.5,WBGene00005718,Sequence name for WBGene00005718(srv-7). History: N.A.
T22F3.6,T22F3.6,WBGene00005422,Sequence name for WBGene00005422(srh-212). History: N.A.
T22G5.4,T22G5.4,WBGene00011931,Sequence name for WBGene00011931(srsx-19). History: N.A.
T24A6.10,T24A6.10,WBGene00020749,Sequence name for WBGene00020749(srbc-67). History: N.A.
T24A6.4,T24A6.4,WBGene00005533,Sequence name for WBGene00005533(sri-21). History: N.A.
T24E12.4,T24E12.4,WBGene00006002,Sequence name for WBGene00006002(srx-111). History: N.A.
T25E12.11,T25E12.11,WBGene00012026,Sequence name for WBGene00012026(srz-100). History: N.A.
T26E4.12,T26E4.12,WBGene00005105,Sequence name for WBGene00005105(srd-27). History: N.A.
T26E4.15,T26E4.15,WBGene00012055,Sequence name for WBGene00012055(srsx-36). History: N.A.
T27C10.1,T27C10.1,WBGene00020856,Sequence name for WBGene00020856(srt-61). History: N.A.
T27C5.5,T27C5.5,WBGene00005349,Sequence name for WBGene00005349(srh-132). History: N.A.
T28A11.15,T28A11.15,WBGene00020877,Sequence name for WBGene00020877(srt-63). History: N.A.
T28A11.9,T28A11.9,WBGene00005596,Sequence name for WBGene00005596(srj-8). History: N.A.
T28H11.2,T28H11.2,WBGene00005638,Sequence name for WBGene00005638(srm-1). History: N.A.
T28H11.3,T28H11.3,WBGene00005639,Sequence name for WBGene00005639(srm-2). History: N.A.
W02H5.6,W02H5.6,WBGene00005477,Sequence name for WBGene00005477(srh-271). History: N.A.
W04D2.2,W04D2.2,WBGene00012242,Sequence name for WBGene00012242(srt-39). History: N.A.
W05B10.5,W05B10.5,WBGene00006007,Sequence name for WBGene00006007(srx-116). History: N.A.
W05H5.4,W05H5.4,WBGene00005250,Sequence name for WBGene00005250(srh-27). History: N.A.
W05H5.7,W05H5.7,WBGene00012288,Sequence name for WBGene00012288(sre-32). History: N.A.
W07G1.2,W07G1.2,WBGene00012329,Sequence name for WBGene00012329(sre-44). History: N.A.
W07G1.6,W07G1.6,WBGene00012333,Sequence name for WBGene00012333(sre-43). History: N.A.
W09D12.2,W09D12.2,WBGene00005212,Sequence name for WBGene00005212(srg-55). History: N.A.
W10G11.10,W10G11.10,WBGene00005281,Sequence name for WBGene00005281(srh-59). History: N.A.
W10G11.9,W10G11.9,WBGene00005282,Sequence name for WBGene00005282(srh-60). History: N.A.
Y102A5C.21,Y102A5C.21,WBGene00005338,Sequence name for WBGene00005338(srh-119). History: N.A.
Y105C5B.4,Y105C5B.4,WBGene00005725,Sequence name for WBGene00005725(srv-14). History: N.A.
Y105C5B.6,Y105C5B.6,WBGene00005726,Sequence name for WBGene00005726(srv-15). History: N.A.
Y113G7A.1,Y113G7A.1,WBGene00005440,Sequence name for WBGene00005440(srh-233). History: N.A.
Y113G7B.2,Y113G7B.2,WBGene00005427,Sequence name for WBGene00005427(srh-217). History: N.A.
Y22D7AR.8,Y22D7AR.8,WBGene00005141,Sequence name for WBGene00005141(srd-64). History: N.A.
Y22F5A.2,Y22F5A.2,WBGene00005530,Sequence name for WBGene00005530(sri-18). History: N.A.
Y25C1A.10,Y25C1A.10,WBGene00005179,Sequence name for WBGene00005179(srg-22). History: N.A.
Y25C1A.11,Y25C1A.11,WBGene00005180,Sequence name for WBGene00005180(srg-23). History: N.A.
Y27F2A.3,Y27F2A.3,WBGene00005552,Sequence name for WBGene00005552(sri-40). History: N.A.
Y2H9A.2,Y2H9A.2,WBGene00005095,Sequence name for WBGene00005095(srd-17). History: N.A.
Y38A10A.1,Y38A10A.1,WBGene00005098,Sequence name for WBGene00005098(srd-20). History: N.A.
Y38H6C.12,Y38H6C.12,WBGene00005382,Sequence name for WBGene00005382(srh-166). History: N.A.
Y39C12A.6,Y39C12A.6,WBGene00012708,Sequence name for WBGene00012708(sre-19). History: N.A.
Y39C12A.7,Y39C12A.7,WBGene00012709,Sequence name for WBGene00012709(sre-15). History: N.A.
Y39G10AR.22,Y39G10AR.22,WBGene00021477,Sequence name for WBGene00021477(srbc-64). History: N.A.
Y40B10B.2,Y40B10B.2,WBGene00005603,Sequence name for WBGene00005603(srj-15). History: N.A.
Y40H7A.5,Y40H7A.5,WBGene00005101,Sequence name for WBGene00005101(srd-23). History: N.A.
Y41E3.12,Y41E3.12,WBGene00012770,Sequence name for WBGene00012770(srt-47). History: N.A.
Y41E3.14,Y41E3.14,WBGene00012772,Sequence name for WBGene00012772(srt-49). History: N.A.
Y43B11AL.2,Y43B11AL.2,WBGene00005941,Sequence name for WBGene00005941(srx-50). History: N.A.
Y43B11AR.5,Y43B11AR.5,WBGene00005205,Sequence name for WBGene00005205(srg-48). History: N.A.
Y43F8A.4,Y43F8A.4,WBGene00005831,Sequence name for WBGene00005831(srw-84). History: N.A.
Y44A6B.1,Y44A6B.1,WBGene00012846,Sequence name for WBGene00012846(srxa-14). History: N.A.
Y45F10B.5,Y45F10B.5,WBGene00005675,Sequence name for WBGene00005675(sru-12). History: N.A.
Y45G12C.14,Y45G12C.14,WBGene00005607,Sequence name for WBGene00005607(srj-19). History: N.A.
Y45G12C.15,Y45G12C.15,WBGene00005608,Sequence name for WBGene00005608(srj-20). History: N.A.
Y46H3A.1,Y46H3A.1,WBGene00021599,Sequence name for WBGene00021599(srt-42). History: N.A.
Y49C4A.1,Y49C4A.1,WBGene00021706,Sequence name for WBGene00021706(srbc-39). History: N.A.
Y49C4A.3,Y49C4A.3,WBGene00021708,"Sequence name for WBGene00021708(srbc-37). History: Resurrected on 2005-01-26. Public name for Dead gene WBGene00043685. History of WBGene00043685: Killed on 2004-10-04; Merged into ""WBGene00021708"" on 2005-03-01. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed."
Y51A2D.12,Y51A2D.12,WBGene00005191,Sequence name for WBGene00005191(srg-34). History: N.A.
Y55F3AM.2,Y55F3AM.2,WBGene00005903,Sequence name for WBGene00005903(srx-12). History: N.A.
Y57A10B.4,Y57A10B.4,WBGene00013276,Sequence name for WBGene00013276(sre-42). History: N.A.
Y57A10B.5,Y57A10B.5,WBGene00013277,Sequence name for WBGene00013277(sre-41). History: N.A.
Y5H2B.7,Y5H2B.7,WBGene00021169,Sequence name for WBGene00021169(srt-40). History: N.A.
Y60A3A.5,Y60A3A.5,WBGene00005387,Sequence name for WBGene00005387(srh-171). History: N.A.
Y61B8A.2,Y61B8A.2,WBGene00005334,Sequence name for WBGene00005334(srh-115). History: N.A.
Y61B8B.1,Y61B8B.1,WBGene00005582,Sequence name for WBGene00005582(sri-70). History: N.A.
Y62E10A.4,Y62E10A.4,WBGene00013375,Sequence name for WBGene00013375(srsx-25). History: N.A.
Y69E1A.6,Y69E1A.6,WBGene00005531,Sequence name for WBGene00005531(sri-19). History: N.A.
Y73B6BL.10,Y73B6BL.10,WBGene00005735,Sequence name for WBGene00005735(srv-24). History: N.A.
Y73B6BL.41,Y73B6BL.41,WBGene00005738,Sequence name for WBGene00005738(srv-27). History: N.A.
Y73C8C.9,Y73C8C.9,WBGene00022266,Sequence name for WBGene00022266(srt-56). History: N.A.
Y97E10B.9,Y97E10B.9,WBGene00022408,Sequence name for WBGene00022408(srsx-3). History: N.A.
ZC142.2,ZC142.2,WBGene00022529,Sequence name for WBGene00022529(srt-14). History: N.A.
ZC204.15,ZC204.15,WBGene00005844,Sequence name for WBGene00005844(srw-97). History: N.A.
ZC204.4,ZC204.4,WBGene00005177,Sequence name for WBGene00005177(srg-20). History: N.A.
ZC239.10,ZC239.10,WBGene00005565,Sequence name for WBGene00005565(sri-53). History: N.A.
ZC239.8,ZC239.8,WBGene00005563,Sequence name for WBGene00005563(sri-51). History: N.A.
ZC239.9,ZC239.9,WBGene00005560,Sequence name for WBGene00005560(sri-48). History: N.A.
ZC404.12,ZC404.12,WBGene00005253,Sequence name for WBGene00005253(srh-30). History: N.A.
ZC404.5,ZC404.5,WBGene00005251,Sequence name for WBGene00005251(srh-28). History: N.A.
ZC455.7,ZC455.7,WBGene00013907,Sequence name for WBGene00013907(sre-20). History: N.A.
ZC455.8,ZC455.8,WBGene00013908,Sequence name for WBGene00013908(srbc-43). History: N.A.
ZC455.9,ZC455.9,WBGene00013909,Sequence name for WBGene00013909(srbc-44). History: N.A.
ZC482.6,ZC482.6,WBGene00005757,Sequence name for WBGene00005757(srw-10). History: N.A.
ZK1037.3,ZK1037.3,WBGene00014191,Sequence name for WBGene00014191(srt-22). History: N.A.
ZK228.5,ZK228.5,WBGene00005397,Sequence name for WBGene00005397(srh-182). History: N.A.
ZK228.7,ZK228.7,WBGene00005394,Sequence name for WBGene00005394(srh-179). History: N.A.
ZK228.8,ZK228.8,WBGene00005393,Sequence name for WBGene00005393(srh-178). History: N.A.
ZK262.10,ZK262.10,WBGene00005614,Sequence name for WBGene00005614(srj-26). History: N.A.
ZK697.11,ZK697.11,WBGene00005410,Sequence name for WBGene00005410(srh-199). History: N.A.
ZK697.7,ZK697.7,WBGene00022807,Sequence name for WBGene00022807(srab-25). History: N.A.
ZK829.8,ZK829.8,WBGene00005591,Sequence name for WBGene00005591(srj-1). History: N.A.
