Ubiquitous genes,Input,Suggested Match,History
C23H3.1,C23H3.1,WBGene00001193,Sequence name for WBGene00001193(egl-26). History: N.A.
C23H3.4,C23H3.4,WBGene00016020,Sequence name for WBGene00016020(sptl-1). History: N.A.
C23H3.5,C23H3.5,WBGene00016021,Public name for WBGene00016021. History: N.A.
C24A11.8,C24A11.8,WBGene00001491,Sequence name for WBGene00001491(frm-4). History: N.A.
C24A3.2,C24A3.2,WBGene00016033,Public name for WBGene00016033. History: N.A.
C24B5.2,C24B5.2,WBGene00016045,Sequence name for WBGene00016045(spas-1). History: N.A.
C24D10.6,C24D10.6,WBGene00016057,Public name for WBGene00016057. History: N.A.
C24F3.1,C24F3.1,WBGene00007696,Sequence name for WBGene00007696(tram-1). History: N.A.
C24F3.4,C24F3.4,WBGene00007698,Sequence name for WBGene00007698(qns-1). History: N.A.
C24G6.8,C24G6.8,WBGene00016062,"Public name for WBGene00016062. History: Split into cox-16(WBGene00302991). History of WBGene00016062: Split into ""WBGene00302991"" on 2018-03-06"
C24H10.2,C24H10.2,WBGene00016068,Public name for WBGene00016068. History: N.A.
C24H12.4,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
C25A1.1,C25A1.1,WBGene00007705,Public name for WBGene00007705. History: N.A.
C25A1.10,C25A1.10,WBGene00000931,Sequence name for WBGene00000931(dao-5). History: N.A.
C25A1.4,C25A1.4,WBGene00045383,Sequence name for WBGene00045383(sup-46). History: N.A.
C25A1.6,C25A1.6,WBGene00007708,Sequence name for WBGene00007708(nola-3). History: N.A.
C25D7.6,C25D7.6,WBGene00003155,Sequence name for WBGene00003155(mcm-3). History: N.A.
C25G4.2,C25G4.2,WBGene00007730,Public name for WBGene00007730. History: N.A.
C25G4.5,C25G4.5,WBGene00001085,Sequence name for WBGene00001085(dpy-26). History: N.A.
C25G6.2,C25G6.2,WBGene00006635,Sequence name for WBGene00006635(tsp-9). History: N.A.
C25H3.12,C25H3.12,WBGene00016121,Sequence name for WBGene00016121(ift-43). History: N.A.
C25H3.14,C25H3.14,WBGene00016123,Public name for WBGene00016123. History: N.A.
C25H3.6,C25H3.6,WBGene00016115,Sequence name for WBGene00016115(mdt-26). History: N.A.
C25H3.9,C25H3.9,WBGene00016118,Public name for WBGene00016118. History: N.A.
C26B2.3,C26B2.3,WBGene00003625,Sequence name for WBGene00003625(nhr-31). History: N.A.
C26B2.6,C26B2.6,WBGene00016128,Sequence name for WBGene00016128(elpc-4). History: N.A.
C26B9.1,C26B9.1,WBGene00016131,Public name for WBGene00016131. History: N.A.
C26C6.1,C26C6.1,WBGene00007042,"Sequence name for WBGene00007042(pbrm-1). History: Renamed on 2007-08-01. Public name for Dead gene WBGene00007738. History of WBGene00007738: Merged into ""WBGene00007042"" on 2005-10-05"
C26C6.2,C26C6.2,WBGene00001648,Sequence name for WBGene00001648(goa-1). History: Renamed on 2017-04-06
C26D10.1,C26D10.1,WBGene00004304,Sequence name for WBGene00004304(ran-3). History: N.A.
C26E6.11,C26E6.11,WBGene00016144,Sequence name for WBGene00016144(mmab-1). History: Renamed on 2006-01-16
C26E6.2,C26E6.2,WBGene00016138,Sequence name for WBGene00016138(flh-2). History: N.A.
C26E6.3,C26E6.3,WBGene00016139,Sequence name for WBGene00016139(ntl-9). History: N.A.
C26E6.4,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
C26E6.5,C26E6.5,WBGene00001499,"Sequence name for WBGene00001499(fsn-1). History: N.A.. Public name for Dead gene WBGene00016141. History of WBGene00016141: Merged into ""WBGene00001499"" on 2004-07-01"
C26E6.6,C26E6.6,WBGene00016142,Sequence name for WBGene00016142(mrps-18C). History: N.A.
C26E6.8,C26E6.8,WBGene00006735,Sequence name for WBGene00006735(ula-1). History: N.A.
C26F1.9,C26F1.9,WBGene00004453,Sequence name for WBGene00004453(rpl-39). History: N.A.
C27A12.6,C27A12.6,WBGene00016156,Sequence name for WBGene00016156(ari-1.3). History: N.A.
C27A2.1,C27A2.1,WBGene00016151,Sequence name for WBGene00016151(smc-5). History: N.A.
C27A2.2,C27A2.2,WBGene00004434,Sequence name for WBGene00004434(rpl-22). History: N.A.
C27A2.3,C27A2.3,WBGene00002068,Sequence name for WBGene00002068(ify-1). History: N.A.
C27B7.1,C27B7.1,WBGene00005007,Sequence name for WBGene00005007(spr-2). History: N.A.
C27B7.8,C27B7.8,WBGene00004307,Sequence name for WBGene00004307(rap-1). History: N.A.
C27D11.1,C27D11.1,WBGene00001209,Sequence name for WBGene00001209(egl-45). History: N.A.
C27D6.4,C27D6.4,WBGene00016162,Sequence name for WBGene00016162(crh-2). History: N.A.
C27F2.10,C27F2.10,WBGene00016171,Public name for WBGene00016171. History: N.A.
C27F2.4,C27F2.4,WBGene00016166,Public name for WBGene00016166. History: N.A.
C27F2.5,C27F2.5,WBGene00016167,Sequence name for WBGene00016167(vps-22). History: N.A.
C27F2.9,C27F2.9,WBGene00043156,Public name for WBGene00043156. History: Killed on 2004-10-04; Resurrected on 2004-10-27
C27H5.3,C27H5.3,WBGene00016173,Sequence name for WBGene00016173(fust-1). History: N.A.
C27H6.2,C27H6.2,WBGene00007784,Sequence name for WBGene00007784(ruvb-1). History: N.A.
C27H6.4,C27H6.4,WBGene00007786,Sequence name for WBGene00007786(rmd-2). History: N.A.
C27H6.8,C27H6.8,WBGene00007787,Public name for WBGene00007787. History: N.A.
C28C12.7,C28C12.7,WBGene00004995,Sequence name for WBGene00004995(spp-10). History: N.A.
C28D4.2,C28D4.2,WBGene00000509,Sequence name for WBGene00000509(cka-1). History: N.A.
C28D4.9,C28D4.9,WBGene00003728,"Sequence name for WBGene00003728(nhr-138). History: Split into C28D4.18(WBGene00303043). History of WBGene00003728: Split into ""WBGene00303043"" on 2018-03-02"
C28H8.1,C28H8.1,WBGene00016192,Sequence name for WBGene00016192(bcl-7). History: N.A.
C28H8.12,C28H8.12,WBGene00001018,Sequence name for WBGene00001018(dnc-2). History: N.A.
C28H8.3,C28H8.3,WBGene00016194,Public name for WBGene00016194. History: N.A.
C28H8.4,C28H8.4,WBGene00016195,Sequence name for WBGene00016195(erd-2.2). History: N.A.
C28H8.9,C28H8.9,WBGene00016200,Sequence name for WBGene00016200(dpff-1). History: N.A.
C29A12.3,C29A12.3,WBGene00002985,Sequence name for WBGene00002985(lig-1). History: N.A.
C29E4.12,C29E4.12,WBGene00016209,Public name for WBGene00016209. History: N.A.
C29E4.2,C29E4.2,WBGene00016202,Sequence name for WBGene00016202(kle-2). History: Renamed on 2006-03-22; Renamed on 2007-07-06
C29E4.3,C29E4.3,WBGene00004303,Sequence name for WBGene00004303(ran-2). History: Renamed on 2015-07-06
C29F9.7,C29F9.7,WBGene00003931,Sequence name for WBGene00003931(pat-4). History: N.A.
C29H12.6,C29H12.6,WBGene00016237,Public name for WBGene00016237. History: N.A.
C30A5.3,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
C30B5.2,C30B5.2,WBGene00016244,Public name for WBGene00016244. History: N.A.
C30C11.2,C30C11.2,WBGene00004460,Sequence name for WBGene00004460(rpn-3). History: N.A.
C30C11.4,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
C30F8.2,C30F8.2,WBGene00016258,Sequence name for WBGene00016258(vha-16). History: N.A.
C30H6.8,C30H6.8,WBGene00007825,Public name for WBGene00007825. History: N.A.
C30H7.2,C30H7.2,WBGene00016278,Sequence name for WBGene00016278(erp-44.1). History: N.A.
C31C9.1,C31C9.1,WBGene00006404,Sequence name for WBGene00006404(tag-10). History: N.A.
C31C9.2,C31C9.2,WBGene00007836,Public name for WBGene00007836. History: N.A.
C31E10.7,C31E10.7,WBGene00007848,Sequence name for WBGene00007848(cytb-5.1). History: N.A.
C32A3.3,C32A3.3,WBGene00007860,Sequence name for WBGene00007860(rilp-1). History: N.A.
C32D5.11,C32D5.11,WBGene00016318,Public name for WBGene00016318. History: N.A.
C32D5.3,C32D5.3,WBGene00016311,Sequence name for WBGene00016311(efr-3). History: N.A.
C32D5.8,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
C32D5.9,C32D5.9,WBGene00002980,Sequence name for WBGene00002980(lgg-1). History: Renamed on 2008-02-29
C32E8.10,C32E8.10,WBGene00006751,Sequence name for WBGene00006751(unc-11). History: Renamed on 2015-03-05
C32E8.3,C32E8.3,WBGene00016321,Sequence name for WBGene00016321(tppp-1). History: N.A.
C32E8.5,C32E8.5,WBGene00016323,Sequence name for WBGene00016323(pmlr-1). History: N.A.
C32E8.9,C32E8.9,WBGene00016325,Public name for WBGene00016325. History: N.A.
C32F10.1,C32F10.1,WBGene00016331,Sequence name for WBGene00016331(obr-4). History: N.A.
C32F10.2,C32F10.2,WBGene00003020,Sequence name for WBGene00003020(lin-35). History: N.A.
C32F10.8,C32F10.8,WBGene00016333,Public name for WBGene00016333. History: N.A.
C33A11.1,C33A11.1,WBGene00007877,Sequence name for WBGene00007877(nfki-1). History: Renamed on 2015-10-02
C33A11.2,C33A11.2,WBGene00007878,Public name for WBGene00007878. History: N.A.
C33A12.1,C33A12.1,WBGene00007880,Public name for WBGene00007880. History: N.A.
C33A12.3,C33A12.3,WBGene00007882,Public name for WBGene00007882. History: N.A.
C33B4.4,C33B4.4,WBGene00007892,Public name for WBGene00007892. History: N.A.
C33F10.4,C33F10.4,WBGene00016353,Public name for WBGene00016353. History: N.A.
C33H5.12,C33H5.12,WBGene00004703,Sequence name for WBGene00004703(rsp-6). History: N.A.
C33H5.18,C33H5.18,WBGene00016384,Sequence name for WBGene00016384(cdgs-1). History: N.A.
C33H5.8,C33H5.8,WBGene00016375,Sequence name for WBGene00016375(rpap-3). History: N.A.
C34B2.10,C34B2.10,WBGene00016395,Sequence name for WBGene00016395(spcs-1). History: Renamed on 2005-03-17
C34B2.2,C34B2.2,WBGene00016387,Sequence name for WBGene00016387(kbp-5). History: N.A.
C34B2.7,C34B2.7,WBGene00016392,Sequence name for WBGene00016392(sdha-2). History: N.A.
C34C12.2,C34C12.2,WBGene00007921,Public name for WBGene00007921. History: N.A.
C34C12.3,C34C12.3,WBGene00007922,Sequence name for WBGene00007922(pph-6). History: N.A.
C34C6.4,C34C6.4,WBGene00007917,Sequence name for WBGene00007917(chdh-1). History: N.A.
C34C6.5,C34C6.5,WBGene00007918,Sequence name for WBGene00007918(sphk-1). History: Renamed on 2007-12-03
C34D4.12,C34D4.12,WBGene00000888,Sequence name for WBGene00000888(cyn-12). History: N.A.
C34D4.14,C34D4.14,WBGene00016405,Sequence name for WBGene00016405(hecd-1). History: N.A.
C34E10.1,C34E10.1,WBGene00001662,Sequence name for WBGene00001662(gop-3). History: N.A.
C34E10.11,C34E10.11,WBGene00016412,Sequence name for WBGene00016412(mrps-26). History: N.A.
C34E10.2,C34E10.2,WBGene00001661,Sequence name for WBGene00001661(gop-2). History: N.A.
C34E10.4,C34E10.4,WBGene00006946,Sequence name for WBGene00006946(prx-10). History: Renamed on 2010-01-29; Renamed on 2010-07-26
C34E10.6,C34E10.6,WBGene00000229,Sequence name for WBGene00000229(atp-2). History: N.A.
C34F11.3,C34F11.3,WBGene00016415,Sequence name for WBGene00016415(ampd-1). History: N.A.
C34F11.9,C34F11.9,WBGene00001101,Sequence name for WBGene00001101(dsh-1). History: Renamed on 2016-08-02
C34G6.1,C34G6.1,WBGene00016418,Sequence name for WBGene00016418(hpo-27). History: N.A.
C34G6.7,C34G6.7,WBGene00004109,Sequence name for WBGene00004109(stam-1). History: N.A.
C35A5.8,C35A5.8,WBGene00007952,Public name for WBGene00007952. History: N.A.
C35B1.2,C35B1.2,WBGene00016432,Public name for WBGene00016432. History: N.A.
C35C5.3,C35C5.3,WBGene00007955,Sequence name for WBGene00007955(selt-1.1). History: N.A.
C35D10.1,C35D10.1,WBGene00016439,Public name for WBGene00016439. History: N.A.
C35D10.10,C35D10.10,WBGene00016446,Public name for WBGene00016446. History: N.A.
C35D10.13,C35D10.13,WBGene00016449,Sequence name for WBGene00016449(tost-1). History: N.A.
C35D10.16,C35D10.16,WBGene00000204,Sequence name for WBGene00000204(arx-6). History: N.A.
C35D10.4,C35D10.4,WBGene00000767,Sequence name for WBGene00000767(coq-8). History: N.A.
C35D10.6,C35D10.6,WBGene00016443,Public name for WBGene00016443. History: N.A.
C35D10.7,C35D10.7,WBGene00016444,Public name for WBGene00016444. History: N.A.
C35D10.9,C35D10.9,WBGene00000418,Sequence name for WBGene00000418(ced-4). History: N.A.
C36A4.5,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
C36A4.9,C36A4.9,WBGene00007969,Sequence name for WBGene00007969(acs-19). History: N.A.
C36B1.12,C36B1.12,WBGene00007979,Sequence name for WBGene00007979(imp-1). History: N.A.
C36B1.3,C36B1.3,WBGene00007971,"Sequence name for WBGene00007971(rpb-3). History: Split into C36B1.14(WBGene00044614), B0252.8(WBGene00044615). History of WBGene00007971: Split into ""WBGene00044615"" on 2005-08-22"
C36B1.4,C36B1.4,WBGene00003925,Sequence name for WBGene00003925(pas-4). History: N.A.
C36B1.5,C36B1.5,WBGene00007972,Sequence name for WBGene00007972(prp-4). History: N.A.
C36B7.6,C36B7.6,WBGene00016469,Public name for WBGene00016469. History: N.A.
C36E6.2,C36E6.2,WBGene00016490,Public name for WBGene00016490. History: N.A.
C36E6.3,C36E6.3,WBGene00003369,Sequence name for WBGene00003369(mlc-1). History: N.A.
C36E6.5,C36E6.5,WBGene00003370,Sequence name for WBGene00003370(mlc-2). History: N.A.
C36E8.1,C36E8.1,WBGene00007980,Public name for WBGene00007980. History: N.A.
C36E8.5,C36E8.5,WBGene00006537,Sequence name for WBGene00006537(tbb-2). History: N.A.
C36H8.2,C36H8.2,WBGene00002128,Sequence name for WBGene00002128(inx-6). History: N.A.
C37A2.8,C37A2.8,WBGene00016494,Public name for WBGene00016494. History: N.A.
C37A5.9,C37A5.9,WBGene00004202,Sequence name for WBGene00004202(pry-1). History: N.A.
C37C3.2,C37C3.2,WBGene00016496,"Public name for WBGene00016496. History: Split into C37C3.18(WBGene00303000). History of WBGene00016496: Renamed on 2005-03-17; Split into ""WBGene00303000"" on 2018-03-06"
C37C3.8,C37C3.8,WBGene00016500,Sequence name for WBGene00016500(memo-1). History: Renamed on 2014-09-12
C37H5.6,C37H5.6,WBGene00016509,Sequence name for WBGene00016509(adss-1). History: N.A.
C37H5.8,C37H5.8,WBGene00002010,Sequence name for WBGene00002010(hsp-6). History: N.A.
C38C10.2,C38C10.2,WBGene00008000,Sequence name for WBGene00008000(slc-17.2). History: N.A.
C38C3.5,C38C3.5,WBGene00006794,"Sequence name for WBGene00006794(unc-60). History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
C38D4.3,C38D4.3,WBGene00003210,"Sequence name for WBGene00003210(mel-28). History: N.A.. Public name for Dead gene WBGene00008004. History of WBGene00008004: Merged into ""WBGene00003210"" on 2006-07-13"
C38D4.6,C38D4.6,WBGene00003912,Sequence name for WBGene00003912(pal-1). History: N.A.
C39E9.13,C39E9.13,WBGene00004339,Sequence name for WBGene00004339(rfc-3). History: N.A.
C39E9.14,C39E9.14,WBGene00001007,Sequence name for WBGene00001007(dli-1). History: N.A.
C39F7.4,C39F7.4,WBGene00004266,Sequence name for WBGene00004266(rab-1). History: N.A.
C40H1.6,C40H1.6,WBGene00008041,Sequence name for WBGene00008041(ufc-1). History: N.A.
C41C4.4,C41C4.4,WBGene00002147,Sequence name for WBGene00002147(ire-1). History: N.A.
C41C4.6,C41C4.6,WBGene00006739,Sequence name for WBGene00006739(ulp-4). History: N.A.
C41C4.7,C41C4.7,WBGene00008052,Sequence name for WBGene00008052(ctns-1). History: Renamed on 2017-02-17
C41D11.2,C41D11.2,WBGene00001231,Sequence name for WBGene00001231(eif-3.H). History: N.A.
C41D11.5,C41D11.5,WBGene00016564,Sequence name for WBGene00016564(cmt-1). History: N.A.
C41D11.8,C41D11.8,WBGene00000787,Sequence name for WBGene00000787(cps-6). History: N.A.
C41G7.1,C41G7.1,WBGene00004887,Sequence name for WBGene00004887(smn-1). History: N.A.
C41H7.6,C41H7.6,WBGene00016576,Sequence name for WBGene00016576(lido-9). History: N.A.
C42C1.5,C42C1.5,WBGene00016583,Sequence name for WBGene00016583(tag-335). History: N.A.
C43E11.11,C43E11.11,WBGene00016608,Sequence name for WBGene00016608(cogc-5). History: N.A.
C43E11.2,C43E11.2,WBGene00016602,Sequence name for WBGene00016602(mus-81). History: N.A.
C43E11.3,C43E11.3,WBGene00016603,Sequence name for WBGene00016603(met-1). History: N.A.
C43E11.9,C43E11.9,WBGene00016607,Public name for WBGene00016607. History: N.A.
C43H6.3,C43H6.3,WBGene00016616,Sequence name for WBGene00016616(mtpn-1). History: N.A.
C43H8.2,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
C44B12.2,C44B12.2,WBGene00003893,Sequence name for WBGene00003893(ost-1). History: N.A.
C44B7.10,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
C44B7.2,C44B7.2,WBGene00016624,Sequence name for WBGene00016624(hrpl-1). History: N.A.
C44C1.1,C44C1.1,WBGene00016641,Public name for WBGene00016641. History: N.A.
C44E4.1,C44E4.1,WBGene00016650,Sequence name for WBGene00016650(ubr-4). History: N.A.
C44E4.3,C44E4.3,WBGene00016652,Sequence name for WBGene00016652(got-2.1). History: N.A.
C44E4.4,C44E4.4,WBGene00016653,Sequence name for WBGene00016653(ssb-1). History: N.A.
C45B11.1,C45B11.1,WBGene00006443,Sequence name for WBGene00006443(pak-2). History: Renamed on 2005-09-08; Renamed on 2006-12-04
C45B2.5,C45B2.5,WBGene00001602,Sequence name for WBGene00001602(gln-1). History: N.A.
C45E1.4,C45E1.4,WBGene00016663,Public name for WBGene00016663. History: N.A.
C45E5.6,C45E5.6,WBGene00003636,Sequence name for WBGene00003636(nhr-46). History: N.A.
C45G3.5,C45G3.5,WBGene00044008,Sequence name for WBGene00044008(gip-2). History: N.A.
C45G9.7,C45G9.7,WBGene00016678,Sequence name for WBGene00016678(txbp-3). History: N.A.
C46C2.2,C46C2.2,WBGene00008110,Public name for WBGene00008110. History: N.A.
C46E10.4,C46E10.4,WBGene00016710,Sequence name for WBGene00016710(fbxc-52). History: N.A.
C46F11.2,C46F11.2,WBGene00008117,Sequence name for WBGene00008117(gsr-1). History: N.A.
C46F11.3,C46F11.3,WBGene00008118,Sequence name for WBGene00008118(madf-8). History: N.A.
C46F11.5,C46F11.5,WBGene00008120,Public name for WBGene00008120. History: N.A.
C46H11.4,C46H11.4,WBGene00002979,Sequence name for WBGene00002979(lfe-2). History: N.A.
C46H3.2,C46H3.2,WBGene00016725,Public name for WBGene00016725. History: N.A.
C47B2.2,C47B2.2,WBGene00008131,Public name for WBGene00008131. History: N.A.
C47B2.3,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
C47B2.4,C47B2.4,WBGene00003948,Sequence name for WBGene00003948(pbs-2). History: N.A.
C47B2.5,C47B2.5,WBGene00001234,Sequence name for WBGene00001234(eif-6). History: N.A.
C47B2.6,C47B2.6,WBGene00008132,Sequence name for WBGene00008132(gale-1). History: N.A.
C47D12.1,C47D12.1,WBGene00007028,Sequence name for WBGene00007028(trr-1). History: N.A.
C47D12.6,C47D12.6,WBGene00006617,Sequence name for WBGene00006617(tars-1). History: Renamed on 2010-01-29
C47E12.1,C47E12.1,WBGene00005663,Sequence name for WBGene00005663(sars-1). History: Renamed on 2010-01-29
C47E12.4,C47E12.4,WBGene00008149,Sequence name for WBGene00008149(pyp-1). History: N.A.
C47E12.5,C47E12.5,WBGene00006699,Sequence name for WBGene00006699(uba-1). History: N.A.
C47E8.4,C47E8.4,WBGene00008143,Public name for WBGene00008143. History: N.A.
C47E8.5,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
C47E8.7,C47E8.7,WBGene00006836,Sequence name for WBGene00006836(unc-112). History: N.A.
C47G2.3,C47G2.3,WBGene00008164,Public name for WBGene00008164. History: N.A.
C47G2.5,C47G2.5,WBGene00008166,Sequence name for WBGene00008166(saps-1). History: N.A.
C48A7.2,C48A7.2,WBGene00016739,Sequence name for WBGene00016739(pitr-1). History: Renamed on 2016-08-03
C48B4.4,C48B4.4,WBGene00000421,Sequence name for WBGene00000421(ced-7). History: N.A.
C48B6.2,C48B6.2,WBGene00016740,Public name for WBGene00016740. History: N.A.
C48E7.1,C48E7.1,WBGene00016749,Public name for WBGene00016749. History: N.A.
C49A1.4,C49A1.4,WBGene00001377,Sequence name for WBGene00001377(eya-1). History: N.A.
C49C3.8,C49C3.8,WBGene00008198,Public name for WBGene00008198. History: N.A.
C49F5.2,C49F5.2,WBGene00008206,Sequence name for WBGene00008206(set-6). History: N.A.
C49H3.11,C49H3.11,WBGene00004471,Sequence name for WBGene00004471(rps-2). History: N.A.
C49H3.6,C49H3.6,WBGene00016792,Public name for WBGene00016792. History: N.A.
C49H3.9,C49H3.9,WBGene00016794,Sequence name for WBGene00016794(npp-27). History: N.A.
C50B6.3,C50B6.3,WBGene00008219,Public name for WBGene00008219. History: N.A.
C50B8.1,C50B8.1,WBGene00008224,Sequence name for WBGene00008224(slrp-1). History: N.A.
C50B8.2,C50B8.2,WBGene00000250,Sequence name for WBGene00000250(bir-2). History: N.A.
C50B8.3,C50B8.3,WBGene00008225,Sequence name for WBGene00008225(nuaf-1). History: N.A.
C50C3.6,C50C3.6,WBGene00004187,Sequence name for WBGene00004187(prp-8). History: N.A.
C50E10.4,C50E10.4,WBGene00004945,Sequence name for WBGene00004945(sop-2). History: N.A.
C50F2.3,C50F2.3,WBGene00016837,Sequence name for WBGene00016837(syf-1). History: N.A.
C50F4.11,C50F4.11,WBGene00003160,Sequence name for WBGene00003160(mdf-1). History: Renamed on 2013-11-19
C50F4.14,C50F4.14,WBGene00008237,Sequence name for WBGene00008237(nstp-10). History: N.A.
C50F4.7,C50F4.7,WBGene00001911,Sequence name for WBGene00001911(his-37). History: N.A.
C50F7.4,C50F7.4,WBGene00016844,Sequence name for WBGene00016844(sucg-1). History: N.A.
C51E3.7,C51E3.7,WBGene00001172,Sequence name for WBGene00001172(egl-3). History: N.A.
C52B9.4,C52B9.4,WBGene00016867,Public name for WBGene00016867. History: N.A.
C52E12.1,C52E12.1,WBGene00016888,Sequence name for WBGene00016888(znf-598). History: N.A.
C52E12.3,C52E12.3,WBGene00005025,Sequence name for WBGene00005025(sqv-7). History: N.A.
C52E4.2,C52E4.2,WBGene00003235,Sequence name for WBGene00003235(mif-2). History: N.A.
C52E4.3,C52E4.3,WBGene00004917,Sequence name for WBGene00004917(snr-4). History: N.A.
C52E4.4,C52E4.4,WBGene00004501,Sequence name for WBGene00004501(rpt-1). History: N.A.
C52E4.6,C52E4.6,WBGene00000876,Sequence name for WBGene00000876(cyl-1). History: N.A.
C53A5.1,C53A5.1,WBGene00008262,Sequence name for WBGene00008262(ril-1). History: N.A.
C53A5.2,C53A5.2,WBGene00008263,"Public name for WBGene00008263. History: Split into C53A5.16(WBGene00194706), C53A5.17(WBGene00194707). History of WBGene00008263: Split into ""WBGene00194706"" on 2009-08-04; Split into ""WBGene00194707"" on 2009-08-04"
C53A5.3,C53A5.3,WBGene00001834,Sequence name for WBGene00001834(hda-1). History: N.A.
C53A5.5,C53A5.5,WBGene00008265,Sequence name for WBGene00008265(kcnl-4). History: N.A.
C53B4.4,C53B4.4,WBGene00008274,Sequence name for WBGene00008274(pdzd-8). History: Renamed on 2020-01-28
C53B4.7,C53B4.7,WBGene00000266,"Sequence name for WBGene00000266(bre-1). History: Renamed on 2006-12-15. Public name for Dead gene WBGene00008276. History of WBGene00008276: Merged into ""WBGene00000266"" on 2006-12-15"
C53D5.1,C53D5.1,WBGene00016902,Public name for WBGene00016902. History: N.A.
C53D5.6,C53D5.6,WBGene00002077,Sequence name for WBGene00002077(imb-3). History: N.A.
C53D6.4,C53D6.4,WBGene00008281,Public name for WBGene00008281. History: N.A.
C53H9.1,C53H9.1,WBGene00004441,Sequence name for WBGene00004441(rpl-27). History: N.A.
C53H9.2,C53H9.2,WBGene00016907,Public name for WBGene00016907. History: N.A.
C54C6.2,C54C6.2,WBGene00000248,Sequence name for WBGene00000248(ben-1). History: N.A.
C54C6.6,C54C6.6,WBGene00008288,Public name for WBGene00008288. History: N.A.
C54E4.2,C54E4.2,WBGene00016918,Sequence name for WBGene00016918(test-1). History: N.A.
C54G10.2,C54G10.2,WBGene00004337,Sequence name for WBGene00004337(rfc-1). History: N.A.
C54G10.3,C54G10.3,WBGene00004060,Sequence name for WBGene00004060(pmp-3). History: N.A.
C54G4.8,C54G4.8,WBGene00000869,Sequence name for WBGene00000869(cyc-1). History: N.A.
C54H2.5,C54H2.5,WBGene00004788,Sequence name for WBGene00004788(sft-4). History: N.A.
C55A6.10,C55A6.10,WBGene00008339,Public name for WBGene00008339. History: N.A.
C55A6.2,C55A6.2,WBGene00008331,Sequence name for WBGene00008331(ttll-5). History: N.A.
C55B7.9,C55B7.9,WBGene00007018,Sequence name for WBGene00007018(mdt-18). History: Renamed on 2015-03-05
C56A3.4,C56A3.4,WBGene00008343,Public name for WBGene00008343. History: N.A.
C56A3.5,C56A3.5,WBGene00008344,Public name for WBGene00008344. History: N.A.
C56C10.11,C56C10.11,WBGene00016968,"Public name for Dead gene WBGene00016967. History of WBGene00016967: Merged into ""WBGene00016968"" on 2019-01-11"
C56C10.13,C56C10.13,WBGene00001026,Sequence name for WBGene00001026(dnj-8). History: N.A.
C56C10.3,C56C10.3,WBGene00016961,Sequence name for WBGene00016961(vps-32.1). History: Renamed on 2007-06-04
C56C10.7,C56C10.7,WBGene00016964,Public name for WBGene00016964. History: N.A.
C56C10.8,C56C10.8,WBGene00002045,Sequence name for WBGene00002045(icd-1). History: N.A.
C56E6.2,C56E6.2,WBGene00016970,Public name for WBGene00016970. History: N.A.
C56G2.1,C56G2.1,WBGene00016977,Sequence name for WBGene00016977(akap-1). History: N.A.
C56G7.1,C56G7.1,WBGene00003372,Sequence name for WBGene00003372(mlc-4). History: N.A.
CD4.4,CD4.4,WBGene00016990,Sequence name for WBGene00016990(vps-37). History: N.A.
CD4.6,CD4.6,WBGene00003927,Sequence name for WBGene00003927(pas-6). History: N.A.
D1007.5,D1007.5,WBGene00017003,Sequence name for WBGene00017003(tmem-39). History: N.A.
D1007.6,D1007.6,WBGene00004479,Sequence name for WBGene00004479(rps-10). History: N.A.
D1007.7,D1007.7,WBGene00017004,Sequence name for WBGene00017004(nrd-1). History: N.A.
D1014.3,D1014.3,WBGene00017016,Sequence name for WBGene00017016(snap-1). History: Renamed on 2005-03-17
D1022.7,D1022.7,WBGene00000101,Sequence name for WBGene00000101(aka-1). History: N.A.
D1037.3,D1037.3,WBGene00001501,Sequence name for WBGene00001501(ftn-2). History: N.A.
D1044.6,D1044.6,WBGene00017031,Public name for WBGene00017031. History: N.A.
D1046.3,D1046.3,WBGene00008364,Sequence name for WBGene00008364(slc-25A26). History: N.A.
D1054.10,D1054.10,WBGene00008377,Public name for WBGene00008377. History: N.A.
D1054.14,D1054.14,WBGene00008380,Sequence name for WBGene00008380(prp-38). History: N.A.
D1054.15,D1054.15,WBGene00006481,Sequence name for WBGene00006481(plrg-1). History: Renamed on 2005-03-17; Renamed on 2012-04-13
D1069.2,D1069.2,WBGene00000778,Sequence name for WBGene00000778(cpn-2). History: N.A.
D1086.12,D1086.12,WBGene00044082,Public name for WBGene00044082. History: N.A.
D2007.4,D2007.4,WBGene00017044,Sequence name for WBGene00017044(mrpl-18). History: N.A.
