ProbeName,Fold change([1] vs Zero),Regulation([1] vs Zero),[1](normalized),Common name,GeneSymbol,Description,GenbankAccession,ControlType,Input,Suggested Match,History,Input,Suggested Match,History
A_12_P101554,2.5605836,down,-1.3564726,C25H3.3,C25H3.3,,,False,,,,,,
A_12_P109285,2.1066,down,-1.0749165,C26D10.3,C26D10.3,oxidoreductase [C26D10.3],,False,,,,,,
A_12_P110931,2.2703753,down,-1.1829308,C26E6.12,C26E6.12,,,False,,,,,,
A_12_P119694,2.1670477,down,-1.1157309,C26E6.5,C26E6.5,,,False,,,,,,
A_12_P116383,2.38371,down,-1.2532086,C26E6.7a,C26E6.7a,,,False,,,,,,
A_12_P119471,3.841057,down,-1.9415034,C27A12.3,C27A12.3,zinc finger protein [C27A12.3],,False,,,,,,
A_12_P105694,2.2965255,down,-1.1994528,C27A12.7a,C27A12.7a,,,False,,,,,,
A_12_P106415,2.1204515,down,-1.0843714,C27A2.1,C27A2.1,,,False,,,,,,
A_12_P108906,2.5150528,down,-1.3305887,C27A2.3,C27A2.3,,,False,,,,,,
A_12_P103137,2.8208518,down,-1.4961308,C27A2.6,C27A2.6,,,False,,,,,,
A_12_P117975,2.7680228,down,-1.4688559,C27A7.6,C27A7.6,,,False,,,,,,
A_12_P104171,2.1979318,down,-1.1361465,C27B7.1b,C27B7.1b,,,False,,,,,,
A_12_P117806,2.3619132,down,-1.2399559,C27B7.5,C27B7.5,"Zinc finger, CCHC class [C27B7.5]",,False,,,,,,
A_12_P117268,2.4708078,down,-1.3049828,C27B7.9,C27B7.9,,,False,,,,,,
A_12_P107888,3.478215,down,-1.7983471,C27C12.1,C27C12.1,,,False,,,,,,
A_12_P104578,9.289781,down,-3.2156446,C27C12.3,C27C12.3,member of worm-specific protein family [C27C12.3],,False,,,,,,
A_12_P107577,2.261192,down,-1.1770835,C27F2.10,C27F2.10,,,False,,,,,,
A_12_P116014,2.2717257,down,-1.1837887,C27H6.3,C27H6.3,,,False,,,,,,
A_12_P111532,2.9301002,down,-1.55095,C28A5.1,C28A5.1,,,False,,,,,,
A_12_P115313,2.5649831,down,-1.3589493,C28A5.2,C28A5.2,,,False,,,,,,
A_12_P102301,2.1701088,down,-1.1177673,C28C12.12.1,C28C12.12.1,,,False,,,,,,
A_12_P103458,2.8877387,down,-1.5299402,C28C12.2,C28C12.2,,,False,,,,,,
A_12_P100312,3.0229876,down,-1.595975,C28C12.5.2,C28C12.5.2,,,False,,,,,,
A_12_P103245,2.2302165,down,-1.1571838,C28C12.9a.1,C28C12.9a.1,,,False,,,,,,
A_12_P100842,6.198766,down,-2.6319811,C28D4.3.1,C28D4.3.1,glutamine synthase [C28D4.3.1],,False,,,,,,
A_12_P110851,3.2425938,down,-1.6971483,C28G1.4,C28G1.4,zinc finger [C28G1.4],,False,,,,,,
A_12_P104248,3.0103903,down,-1.5899506,C28H8.1,C28H8.1,,,False,,,,,,
A_12_P101129,2.1722934,down,-1.119219,C28H8.9b,C28H8.9b,,,False,,,,,,
A_12_P105608,2.1197388,down,-1.0838865,C29A12.1,C29A12.1,,,False,,,,,,
A_12_P108487,2.3521385,down,-1.233973,C29A12.3a,C29A12.3a,DNA ligase I [C29A12.3a],,False,,,,,,
A_12_P100572,4.0325003,down,-2.0116746,C29A12.3b,C29A12.3b,,,False,,,,,,
A_12_P109990,2.4519842,down,-1.2939496,C29E4.2.2,C29E4.2.2,,,False,,,,,,
A_12_P112628,2.2781217,down,-1.1878448,C29E4.4,C29E4.4,,,False,,,,,,
A_12_P108066,2.4849706,down,-1.3132287,C29F3.1,C29F3.1,long-chain enoyl-CoA hydratase [C29F3.1],,False,,,,,,
A_12_P112916,10.884301,down,-3.444177,C29F7.4,C29F7.4,fork head domain protein [C29F7.4],,False,,,,,,
A_12_P120057,20.963596,down,-4.3898144,C29F7.5,C29F7.5,fork head domain protein [C29F7.5],,False,,,,,,
A_12_P100086,6.127896,down,-2.6153917,C29G2.1,C29G2.1,,,False,,,,,,
A_12_P101801,2.162365,down,-1.11261,C29H12.5,C29H12.5,,,False,,,,,,
A_12_P117472,2.7145274,down,-1.440701,C30A5.2.1,C30A5.2.1,,,False,,,,,,
A_12_P106713,4.6213593,down,-2.2083173,C30B5.1,C30B5.1,,,False,,,,,,
A_12_P114626,2.7088747,down,-1.4376937,C30F12.2.1,C30F12.2.1,,,False,,,,,,
A_12_P110195,3.3177698,down,-1.7302138,C30F12.4,C30F12.4,,,False,,,,,,
A_12_P118781,2.2303703,down,-1.1572833,C30G12.6b,C30G12.6b,,,False,,,,,,
A_12_P113066,3.3939483,down,-1.7629646,C30G12.7,C30G12.7,,,False,,,,,,
A_12_P102387,3.0392048,down,-1.603694,C31E10.5.1,C31E10.5.1,,,False,,,,,,
A_12_P110442,5.2768693,down,-2.3996823,C31G12.1,C31G12.1,,,False,,,,,,
A_12_P111903,11.467576,down,-3.5194886,C32B5.10,C32B5.10,,,False,,,,,,
A_12_P107286,2.9534278,down,-1.5623903,C32B5.16,C32B5.16,,,False,,,,,,
A_12_P117422,4.8068814,down,-2.2651012,C32B5.1a,C32B5.1a,,,False,,,,,,
A_12_P107239,4.673219,down,-2.2244167,C32B5.1b,C32B5.1b,,,False,,,,,,
A_12_P109799,4.007625,down,-2.0027475,C32B5.5,C32B5.5,,,False,,,,,,
A_12_P100144,4.5552034,down,-2.1875155,C32B5.6,C32B5.6,,,False,,,,,,
A_12_P104230,2.8954725,down,-1.5337988,C32B5.9,C32B5.9,,,False,,,,,,
A_12_P101888,2.1530204,down,-1.106362,C32D5.10,C32D5.10,,,False,,,,,,
A_12_P118122,2.856848,down,-1.5144243,C32E8.5.1,C32E8.5.1,,,False,,,,,,
A_12_P105471,2.2278712,down,-1.1556658,C32F10.2,C32F10.2,,,False,,,,,,
A_12_P105189,3.385556,down,-1.7593927,C32F10.6,C32F10.6,nuclear homone receptor [C32F10.6],,False,,,,,,
A_12_P118504,17.664719,down,-4.142799,C32H11.12,C32H11.12,,,False,,,,,,
A_12_P117115,2.282855,down,-1.1908393,C32H11.3,C32H11.3,,,False,,,,,,
A_12_P117478,9.303627,down,-3.2177932,C32H11.4,C32H11.4,,,False,,,,,,
A_12_P106414,2.9947884,down,-1.5824541,C33A12.12,C33A12.12,Leucine Rich Repeat (2 copies) (2 domains) [C33A12.12],,False,,,,,,
A_12_P118705,2.7478516,down,-1.458304,C33C12.3,C33C12.3,glucosylceramidase [C33C12.3],,False,,,,,,
A_12_P112396,3.3183422,down,-1.7304627,C33F10.2,C33F10.2,Cell division control protein [C33F10.2],,False,,,,,,
A_12_P115925,2.2961524,down,-1.1992184,C33H5.15,C33H5.15,,,False,,,,,,
A_12_P115731,3.7612593,down,-1.9112158,C33H5.3,C33H5.3,kinesin-like protein [C06G3.2.2],,False,,,,,,
A_12_P105819,2.493079,down,-1.3179286,C33H5.4b,C33H5.4b,,,False,,,,,,
A_12_P120145,2.2236726,down,-1.1529444,C33H5.6,C33H5.6,,,False,,,,,,
A_12_P100179,2.0538027,down,-1.0382975,C33H5.7,C33H5.7,,,False,,,,,,
A_12_P112704,2.527286,down,-1.3375889,C34B2.2.2,C34B2.2.2,,,False,,,,,,
A_12_P115219,2.13349,down,-1.0932153,C34B2.7.1,C34B2.7.1,flavoprotein [C34B2.7.1],,False,,,,,,
A_12_P113528,2.4978304,down,-1.3206755,C34B7.4,C34B7.4,,,False,,,,,,
A_12_P113759,2.2431908,down,-1.1655523,C34C12.2,C34C12.2,,,False,,,,,,
A_12_P105040,2.614452,down,-1.3865086,C34D4.10,C34D4.10,,,False,,,,,,
A_12_P108687,2.3283312,down,-1.2192963,C34E10.11.1,C34E10.11.1,,,False,,,,,,
A_12_P108725,3.22725,down,-1.6903054,C34E10.8,C34E10.8,,,False,,,,,,
A_12_P115497,2.4738882,down,-1.3067803,C34F6.2,C34F6.2,collagen [C34F6.2],,False,,,,,,
A_12_P115102,2.558201,down,-1.3551296,C34F6.3,C34F6.3,collagen [C34F6.3],,False,,,,,,
A_12_P110489,2.846135,down,-1.509004,C34F6.4,C34F6.4,,,False,,,,,,
A_12_P108073,3.0416536,down,-1.6048559,C34G6.5,C34G6.5,ser/thr-protein kinase [C34G6.5],,False,,,,,,
A_12_P119517,2.5170617,down,-1.3317406,C34H4.5,C34H4.5,,,False,,,,,,
A_12_P116320,2.174026,down,-1.1203692,C35B1.2b,C35B1.2b,,,False,,,,,,
A_12_P102362,2.2701235,down,-1.1827708,C35B1.4,C35B1.4,,,False,,,,,,
A_12_P105892,2.3485548,down,-1.2317733,C35D10.10,C35D10.10,,,False,,,,,,
A_12_P116250,2.5912292,down,-1.3736366,C35D10.13,C35D10.13,,,False,,,,,,
A_12_P107456,2.700435,down,-1.4331918,C35D10.15,C35D10.15,,,False,,,,,,
A_12_P108408,2.4502723,down,-1.2929422,C35D10.5,C35D10.5,,,False,,,,,,
A_12_P106771,2.1839807,down,-1.1269602,C35D10.7b,C35D10.7b,,,False,,,,,,
A_12_P114999,2.5843709,down,-1.3698131,C35D10.9.2,C35D10.9.2,,,False,,,,,,
A_12_P117748,11.702841,down,-3.5487869,C35E7.1,C35E7.1,,,False,,,,,,
A_12_P105724,3.564947,down,-1.8338805,C35E7.3,C35E7.3,,,False,,,,,,
A_12_P110948,9.629018,down,-3.2673886,C35E7.5a,C35E7.5a,,,False,,,,,,
A_12_P112896,17.510153,down,-4.13012,C35E7.5b,C35E7.5b,,,False,,,,,,
A_12_P111704,2.675139,down,-1.4196138,C35E7.8,C35E7.8,,,False,,,,,,
A_12_P117723,5.0402617,down,-2.3334987,C36A4.1,C36A4.1,cytochrome P450 [C36A4.1],,False,,,,,,
A_12_P104296,2.3966246,down,-1.261004,C36A4.4.1,C36A4.4.1,,,False,,,,,,
A_12_P119643,3.1890278,down,-1.6731167,C36A4.5,C36A4.5,claustrin like [C36A4.5],,False,,,,,,
A_12_P102499,2.1827526,down,-1.1261487,C36A4.8,C36A4.8,"Zinc finger, C3HC4 type (RING finger) [C36A4.8]",,False,,,,,,
A_12_P102854,3.5820441,down,-1.8407831,C36B1.11,C36B1.11,,,False,,,,,,
A_12_P100939,2.3797681,down,-1.250821,C36B1.12.3,C36B1.12.3,,,False,,,,,,
A_12_P120390,3.1420999,down,-1.651729,C36B1.3,C36B1.3,DNA directed RNA polymerase II [C36B1.3],,False,,,,,,
A_12_P101485,2.4195442,down,-1.2747353,C36B1.8a,C36B1.8a,,,False,,,,,,
A_12_P117021,7.577098,down,-2.9216454,C36C9.1,C36C9.1,M. musculus T-cell activation protein TCA3 [F52D2.4],,False,,,,,,
A_12_P103641,7.6238003,down,-2.9305103,C36C9.3,C36C9.3,,,False,,,,,,
A_12_P102996,2.6178584,down,-1.3883871,C36F7.2,C36F7.2,,,False,,,,,,
A_12_P117849,2.163834,down,-1.1135899,C37A2.2,C37A2.2,,,False,,,,,,
A_12_P103528,2.5263286,down,-1.3370423,C37A2.4a,C37A2.4a,cyclin [C37A2.4a],,False,,,,,,
A_12_P107112,3.7111053,down,-1.8918489,C37A2.4a,C37A2.4a,cyclin [C37A2.4a],,False,,,,,,
A_12_P100640,2.7390509,down,-1.4536761,C37A2.8a,C37A2.8a,,,False,,,,,,
A_12_P109983,2.9222317,down,-1.5470705,C37A5.7.1,C37A5.7.1,,,False,,,,,,
A_12_P120095,2.8601315,down,-1.5160815,C37C3.9,C37C3.9,,,False,,,,,,
A_12_P119131,2.1844003,down,-1.1272372,C38D4.3,C38D4.3,,,False,,,,,,
A_12_P116066,2.3036869,down,-1.2039447,C38D4.4,C38D4.4,,,False,,,,,,
A_12_P119023,3.1970265,down,-1.6767308,C38D4.6.1,C38D4.6.1,homeobox protein (cad subfamily) [C38D4.6.1],,False,,,,,,
A_12_P105938,3.0107865,down,-1.5901405,C39B5.2,C39B5.2,,,False,,,,,,
A_12_P101294,4.8318305,down,-2.27257,C39D10.7,C39D10.7,"similar to C. elegans proteins B0280.5, R02F2.4 and C07G2.1 [C39D10.7]",,False,,,,,,
A_12_P104457,2.1853194,down,-1.1278442,C39E9.12,C39E9.12,,,False,,,,,,
A_12_P117651,2.8395092,down,-1.5056416,C39E9.13,C39E9.13,Human activator 1 38 KD subunit like [C39E9.13],,False,,,,,,
A_12_P106016,2.4474933,down,-1.291305,C39E9.14a,C39E9.14a,,,False,,,,,,
A_12_P114221,3.21358,down,-1.6841813,C40A11.2,C40A11.2,,,False,,,,,,
A_12_P108739,2.8745153,down,-1.5233186,C40H1.7,C40H1.7,,,False,,,,,,
A_12_P100328,3.267742,down,-1.708294,C40H5.6,C40H5.6,,,False,,,,,,
A_12_P108676,3.2704744,down,-1.7095,C41D11.5,C41D11.5,,,False,,,,,,
A_12_P113262,2.202179,down,-1.1389318,C41D11.7,C41D11.7,DNA-binding protein [C41D11.7],,False,,,,,,
A_12_P102449,2.5046396,down,-1.3246031,C41D11.9,C41D11.9,,,False,,,,,,
A_12_P110249,2.9121594,down,-1.5420893,C41G11.1,C41G11.1,,,False,,,,,,
A_12_P109471,4.245718,down,-2.0860085,C41H7.3,C41H7.3,,,False,,,,,,
A_12_P111690,3.7329402,down,-1.9003124,C41H7.4,C41H7.4,,,False,,,,,,
A_12_P108627,4.0267105,down,-2.0096018,C41H7.5,C41H7.5,,,False,,,,,,
A_12_P114503,3.4049091,down,-1.7676163,C41H7.6,C41H7.6,,,False,,,,,,
A_12_P102673,6.6751857,down,-2.738808,C41H7.7,C41H7.7,,,False,,,,,,
A_12_P120075,2.3427505,down,-1.2282034,C42C1.15,C42C1.15,,,False,,,,,,
A_12_P116406,2.8640242,down,-1.5180436,C42C1.8,C42C1.8,,,False,,,,,,
A_12_P102803,2.2367954,down,-1.1614333,C42D4.6,C42D4.6,,,False,,,,,,
A_12_P118535,4.9705853,down,-2.3134158,C42D8.2.1,C42D8.2.1,vitellogenin [C42D8.2.1],,False,,,,,,
A_12_P106672,2.2013166,down,-1.1383666,C43E11.3b,C43E11.3b,,,False,,,,,,
A_12_P117454,2.1718733,down,-1.11894,C43H8.2,C43H8.2,,,False,,,,,,
A_12_P103806,7.0213237,down,-2.811743,C44B12.1.2,C44B12.1.2,,,False,,,,,,
A_12_P103406,3.2394948,down,-1.6957688,C44B12.5,C44B12.5,,,False,,,,,,
A_12_P109186,4.201736,down,-2.0709856,C44B7.12,C44B7.12,,,False,,,,,,
A_12_P106340,3.1707358,down,-1.6648177,C44B7.5,C44B7.5,,,False,,,,,,
A_12_P113414,4.1237326,down,-2.0439508,C44B9.3,C44B9.3,,,False,,,,,,
A_12_P111820,2.5192034,down,-1.3329676,C44B9.4,C44B9.4,S.pombe hypothetical protein C27F7.07C like [C44B9.4],,False,,,,,,
A_12_P111673,3.7590382,down,-1.9103636,C44C10.4,C44C10.4,chromosome segregation protein like [C44C10.4],,False,,,,,,
A_12_P113520,2.443295,down,-1.288828,C44C10.5,C44C10.5,chromosome segregation protein like [C44C10.5],,False,,,,,,
A_12_P102513,4.6869345,down,-2.2286446,C44C10.8,C44C10.8,Helix-loop-helix DNA-binding domain [C44C10.8],,False,,,,,,
A_12_P105582,2.097895,down,-1.0689424,C45B11.1a,C45B11.1a,serine/threonine kinase (PAK/STE20 subfamily) [C45B11.1a],,False,,,,,,
A_12_P118633,7.319995,down,-2.8718426,C45G7.2,C45G7.2,,,False,,,,,,
A_12_P105451,3.0444508,down,-1.606182,C45G9.2,C45G9.2,,,False,,,,,,
A_12_P104704,5.548017,down,-2.4719722,C45H4.14a,C45H4.14a,,,False,,,,,,
A_12_P102279,7.91756,down,-2.985056,C45H4.14b,C45H4.14b,,,False,,,,,,
A_12_P111642,2.6868489,down,-1.4259152,C45H4.17,C45H4.17,cytochrome P450 [C45H4.17],,False,,,,,,
A_12_P103215,2.3911788,down,-1.257722,C46A5.9,C46A5.9,,,False,,,,,,
A_12_P115742,2.2654753,down,-1.1798137,C46C11.2,C46C11.2,,,False,,,,,,
A_12_P105927,3.6168528,down,-1.8547349,C46C2.5,C46C2.5,,,False,,,,,,
A_12_P102139,3.0221305,down,-1.5955659,C46F11.3,C46F11.3,,,False,,,,,,
A_12_P101064,2.3325248,down,-1.2218924,C46F4.1,C46F4.1,,,False,,,,,,
A_12_P109521,2.077635,down,-1.0549423,C47E8.4,C47E8.4,,,False,,,,,,
A_12_P116660,2.6133657,down,-1.385909,C47E8.8,C47E8.8,SET domain [C47E8.8],,False,,,,,,
A_12_P108609,10.165363,down,-3.3455899,C47F8.1,C47F8.1,,,False,,,,,,
A_12_P110573,2.2182164,down,-1.1494001,C47G2.5,C47G2.5,,,False,,,,,,
A_12_P108041,2.2315767,down,-1.1580634,C48B4.11,C48B4.11,,,False,,,,,,
A_12_P111891,2.2426434,down,-1.1652002,C48B4.6,C48B4.6,,,False,,,,,,
A_12_P115992,2.462522,down,-1.3001366,C48B4.7,C48B4.7,,,False,,,,,,
A_12_P113510,2.6862166,down,-1.4255756,C48B4.9,C48B4.9,,,False,,,,,,
A_12_P110105,2.0788784,down,-1.0558053,C48B6.2.2,C48B6.2.2,ribosomal protein [C48B6.2.2],,False,,,,,,
A_12_P113211,2.4941242,down,-1.3185333,C48D1.2,C48D1.2,"Caspase recruitment domain, ICE-like protease (caspase) p20 domain., ICE-like protease (caspase) p10 domain. [C48D1.2]",,False,,,,,,
A_12_P113665,2.0966523,down,-1.0680876,C48E7.3,C48E7.3,,,False,,,,,,
A_12_P106507,3.3514223,down,-1.7447735,C49A9.10,C49A9.10,,,False,,,,,,
A_12_P115095,2.7022285,down,-1.4341497,C49C3.6.1,C49C3.6.1,,,False,,,,,,
A_12_P105871,2.7369642,down,-1.4525766,C49C8.3,C49C8.3,,,False,,,,,,
A_12_P119577,7.6164985,down,-2.929128,C49D10.11,C49D10.11,,,False,,,,,,
A_12_P103118,5.568324,down,-2.4772432,C49F5.3,C49F5.3,,,False,,,,,,
A_12_P104040,4.257873,down,-2.090133,C49F5.6,C49F5.6,,,False,,,,,,
A_12_P110901,3.0720613,down,-1.619207,C49F5.7.1,C49F5.7.1,,,False,,,,,,
A_12_P115661,2.719576,down,-1.4433817,C49H3.8,C49H3.8,actin-like protein [C49H3.8],,False,,,,,,
A_12_P100226,3.470906,down,-1.7953123,C50B6.2,C50B6.2,histone binding protein [C50B6.2],,False,,,,,,
A_12_P101829,3.1990356,down,-1.6776371,C50B6.3,C50B6.3,,,False,,,,,,
A_12_P106363,2.5923703,down,-1.3742718,C50B6.7,C50B6.7,amylase [C50B6.7],,False,,,,,,
A_12_P104445,2.3996248,down,-1.2628088,C50B8.2,C50B8.2,Inhibitor of Apoptosis domain. [C50B8.2],,False,,,,,,
A_12_P103145,2.650596,down,-1.4063168,C50C3.1,C50C3.1,,,False,,,,,,
A_12_P110735,2.3970175,down,-1.2612405,C50D2.8,C50D2.8,,,False,,,,,,
A_12_P113506,5.080903,down,-2.345085,C50E3.11,C50E3.11,folate transporter [C50E3.11],,False,,,,,,
A_12_P108281,12.402414,down,-3.632549,C50E3.12,C50E3.12,,,False,,,,,,
A_12_P112453,9.393754,down,-3.2317019,C50E3.13,C50E3.13,,,False,,,,,,
A_12_P107189,2.494262,down,-1.318613,C50E3.5,C50E3.5,,,False,,,,,,
A_12_P100031,2.444987,down,-1.2898269,C50F2.2,C50F2.2,,,False,,,,,,
A_12_P101414,2.9856713,down,-1.5780554,C50F2.9,C50F2.9,,,False,,,,,,
A_12_P106573,2.790318,down,-1.4804295,C50F4.12,C50F4.12,,,False,,,,,,
A_12_P100507,3.03643,down,-1.6023761,C50F4.4,C50F4.4,,,False,,,,,,
A_12_P100213,2.5845456,down,-1.3699107,C50F7.4,C50F7.4,succinyl-CoA synthetase beta chain [C50F7.4],,False,,,,,,
A_12_P109359,4.6110992,down,-2.2051108,C52A10.3,C52A10.3,,,False,,,,,,
A_12_P111709,2.5734808,down,-1.363721,C52D10.6.1,C52D10.6.1,cyclin A-associated protein [C52D10.6.1],,False,,,,,,
A_12_P119541,7.7481275,down,-2.9538476,C52D10.8,C52D10.8,cyclin A-associated protein [C52D10.8],,False,,,,,,
A_12_P104766,7.543812,down,-2.9152937,C52D10.9,C52D10.9,cyclin A-associated protein [C52D10.9],,False,,,,,,
A_12_P115719,4.2742434,down,-2.095669,C52E4.1.1,C52E4.1.1,cathepsin-like cysteine protease [C52E4.1.1],,False,,,,,,
A_12_P101947,2.2388384,down,-1.1627504,C53A5.2.1,C53A5.2.1,Neurospora met-10 protein like [C53A5.2.1],,False,,,,,,
A_12_P102985,2.5423067,down,-1.346138,C53A5.3.3,C53A5.3.3,Yeast RPD3 protein like [C53A5.3.3],,False,,,,,,
A_12_P107866,2.1220467,down,-1.0854565,C53A5.6,C53A5.6,"Zinc finger, C3HC4 type (RING finger) [C53A5.6]",,False,,,,,,
A_12_P102130,3.8517427,down,-1.9455113,C53B4.5,C53B4.5,collagen [C53B4.5],,False,,,,,,
A_12_P111880,2.47208,down,-1.3057255,C53D5.4,C53D5.4,zinc finger protein [C53D5.4],,False,,,,,,
A_12_P118623,2.439348,down,-1.2864956,C54C6.6,C54C6.6,DUF667 domain family [C54C6.6],,False,,,,,,
A_12_P107514,5.834696,down,-2.5446575,C54C8.9,C54C8.9,,,False,,,,,,
A_12_P116750,2.280264,down,-1.1892008,C55A6.9,C55A6.9,,,False,,,,,,
A_12_P106689,3.8769352,down,-1.9549166,C55B6.1,C55B6.1,glycerol kinase [C55B6.1],,False,,,,,,
A_12_P118616,2.4099908,down,-1.2690276,C55B7.1,C55B7.1,RNA helicase [C55B7.1],,False,,,,,,
A_12_P100593,2.9523659,down,-1.5618715,C55B7.11,C55B7.11,,,False,,,,,,
A_12_P113314,2.6997275,down,-1.4328138,C55B7.9,C55B7.9,,,False,,,,,,
A_12_P100945,2.262679,down,-1.178032,C56C10.1,C56C10.1,,,False,,,,,,
A_12_P112032,2.3875892,down,-1.2555547,C56C10.7b.2,C56C10.7b.2,,,False,,,,,,
A_12_P118986,3.2266607,down,-1.6900419,C56E6.3b,C56E6.3b,,,False,,,,,,
A_12_P103238,2.269785,down,-1.1825556,C56G2.15,C56G2.15,,,False,,,,,,
A_12_P115791,2.5870986,down,-1.371335,CC8.2b.1,CC8.2b.1,,,False,,,,,,
A_12_P118802,2.5098917,down,-1.3276252,D1007.10b,D1007.10b,,,False,,,,,,
A_12_P114645,2.7603114,down,-1.464831,D1007.4,D1007.4,,,False,,,,,,
A_12_P104595,2.2918034,down,-1.1964833,D1007.5a.2,D1007.5a.2,,,False,,,,,,
A_12_P109726,2.2906592,down,-1.1957628,D1007.7,D1007.7,RNA-binding protein [D1007.7],,False,,,,,,
A_12_P111802,2.5102236,down,-1.3278159,D1007.8,D1007.8,,,False,,,,,,
A_12_P100618,3.0264726,down,-1.5976373,D1044.6,D1044.6,,,False,,,,,,
A_12_P105910,2.241486,down,-1.1644555,D1044.7,D1044.7,,,False,,,,,,
A_12_P101446,2.9005144,down,-1.5363088,D1046.1.5,D1046.1.5,glycine-rich RNA-binding protein [D1046.1.5],,False,,,,,,
A_12_P111425,2.8325348,down,-1.5020937,D1046.2.1,D1046.2.1,"Zinc finger, C2H2 type [D1046.2.1]",,False,,,,,,
A_12_P110805,5.617491,down,-2.4899259,D1054.10,D1054.10,,,False,,,,,,
A_12_P119845,4.453626,down,-2.1549804,D1054.11,D1054.11,,,False,,,,,,
A_12_P113205,2.3747866,down,-1.2477978,D1054.13,D1054.13,,,False,,,,,,
A_12_P101980,2.1575751,down,-1.1094108,D1069.4,D1069.4,,,False,,,,,,
A_12_P118839,3.170008,down,-1.6644864,D1081.6,D1081.6,,,False,,,,,,
A_12_P107912,3.002176,down,-1.5860085,D1081.7.1,D1081.7.1,,,False,,,,,,
A_12_P109552,2.1905775,down,-1.1313113,D1081.9,D1081.9,,,False,,,,,,
A_12_P113370,2.1190557,down,-1.0834216,D1086.4,D1086.4,,,False,,,,,,
A_12_P110999,2.8923826,down,-1.5322584,D2005.4,D2005.4,,,False,,,,,,
A_12_P107001,2.474762,down,-1.3072897,D2005.5,D2005.5,RNA helicase like [D2005.5],,False,,,,,,
A_12_P118898,2.6502776,down,-1.4061435,D2013.3,D2013.3,,,False,,,,,,
A_12_P111760,2.1863594,down,-1.1285305,D2021.1,D2021.1,glucose repression mediator protein [D2021.1],,False,,,,,,
A_12_P108171,2.2592757,down,-1.1758603,D2023.5,D2023.5,thiosulphate sulphurtransferase [D2023.5],,False,,,,,,
A_12_P119980,2.4976358,down,-1.3205632,D2023.6,D2023.6,Yeast ABC1 protein like [D2023.6],,False,,,,,,
A_12_P112010,3.1820433,down,-1.6699535,D2030.7.2,D2030.7.2,"Zinc finger, C3HC4 type (RING finger) [D2030.7.2]",,False,,,,,,
A_12_P106483,2.6783864,down,-1.4213642,D2030.8,D2030.8,,,False,,,,,,
A_12_P105847,3.6548338,down,-1.8698058,D2085.2,D2085.2,,,False,,,,,,
A_12_P107688,2.3535852,down,-1.2348601,D2085.6,D2085.6,phosphatidylinositol biosynthetic protein [D2085.6],,False,,,,,,
A_12_P111698,2.4230192,down,-1.2768058,D2089.3,D2089.3,,,False,,,,,,
A_12_P118352,2.1313596,down,-1.091774,D2092.2,D2092.2,,,False,,,,,,
A_12_P101600,3.3196702,down,-1.7310399,D2096.12,D2096.12,,,False,,,,,,
A_12_P112608,7.3554688,down,-2.8788173,D2096.3.3,D2096.3.3,,,False,,,,,,
A_12_P101192,2.4846199,down,-1.3130251,DY3.4b.2,DY3.4b.2,Reverse transcriptase (RNA-dependent DNA polymerase) [DY3.4b.2],,False,,,,,,
A_12_P120202,2.2373781,down,-1.1618091,E01A2.2b,E01A2.2b,,,False,,,,,,
A_12_P110717,3.159217,down,-1.659567,E01B7.2,E01B7.2,,,False,,,,,,
A_12_P114996,3.3084888,down,-1.7261724,E02H1.2,E02H1.2,GTP binding protein [E02H1.2],,False,,,,,,
A_12_P103373,2.6099312,down,-1.3840117,E02H1.3,E02H1.3,Yeast DEG-1 protein homolog [E02H1.3],,False,,,,,,
A_12_P103917,2.2975795,down,-1.2001148,E02H1.4,E02H1.4,ADP-Ribosyltransferase [E02H1.4],,False,,,,,,
A_12_P103602,2.1089602,down,-1.0765319,E02H1.5,E02H1.5,,,False,,,,,,
A_12_P112446,3.2767267,down,-1.7122554,E02H4.6,E02H4.6,serine/threonine kinase [E02H4.6],,False,,,,,,
A_12_P117383,2.5688314,down,-1.3611122,E02H9.5,E02H9.5,glycosyl hydrolase [E02H9.5],,False,,,,,,
A_12_P110399,2.3962553,down,-1.2607816,E04D5.4,E04D5.4,,,False,,,,,,
A_12_P109784,4.56423,down,-2.1903715,E04F6.15,E04F6.15,,,False,,,,,,
A_12_P119631,3.241562,down,-1.6966891,E04F6.7,E04F6.7,Ribitol dehydrogenase [E04F6.7],,False,,,,,,
A_12_P104964,3.4303825,down,-1.7783694,EEED8.1,EEED8.1,,,False,,,,,,
A_12_P100990,2.7537677,down,-1.4614068,EEED8.12,EEED8.12,Probable RNA binding protein [EEED8.12],,False,,,,,,
A_12_P102164,2.3196378,down,-1.2138995,EEED8.12,EEED8.12,Probable RNA binding protein [EEED8.12],,False,,,,,,
A_12_P112491,3.489067,down,-1.8028413,EEED8.13,EEED8.13,,,False,,,,,,
A_12_P112389,3.3303647,down,-1.7356802,EEED8.14,EEED8.14,,,False,,,,,,
A_12_P103723,12.018613,down,-3.5871985,EEED8.15,EEED8.15,,,False,,,,,,
A_12_P107742,4.80041,down,-2.2631576,EEED8.3,EEED8.3,,,False,,,,,,
A_12_P102816,2.1278362,down,-1.089387,EGAP2.1,EGAP2.1,,,False,,,,,,
A_12_P106416,2.5279038,down,-1.3379415,F01D4.5b,F01D4.5b,,,False,,,,,,
A_12_P108044,2.4126797,down,-1.2706364,F01D4.5b,F01D4.5b,,,False,,,,,,
