geneName,FINN1coIPsiRNA(rpkm),H3K9me3_N2,H3K9me3_nrde2,H3K9me3_nrde4,nrde-2/4 dependent H3K9me,Input,Suggested Match,History
set-23,553.1510342,27.209,15.553,25.54,no,set-23,WBGene00021515,Public name for WBGene00021515. History: N.A.
glb-14,552.4045895,31.3,57.737,62.025,no,glb-14,WBGene00008996,Public name for WBGene00008996. History: N.A.
Y55F3AM.14,550.645974,53.367,31.482,40.32,no,Y55F3AM.14,WBGene00021931,Sequence name for WBGene00021931(znf-782). History: N.A.
C40A11.10,547.2586957,10.044,6.982,6.906,no,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
Y53F4B.17,544.5209086,25.843,35.025,32.873,no,Y53F4B.17,WBGene00013163,Public name for WBGene00013163. History: N.A.
ZK973.8,540.3929812,13.507,9.624,14.644,no,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
K09H9.7,540.1775758,52.932,19.043,17.706,yes,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
Y44E3A.1,537.0981414,5.845,5.19,6.906,no,Y44E3A.1,WBGene00021547,Public name for WBGene00021547. History: N.A.
C38D4.7,537.0506778,5.131,4.812,9.287,no,C38D4.7,WBGene00008007,Public name for WBGene00008007. History: N.A.
Y19D2B.2,536.5501741,2.339,1.51,1.668,no,Y19D2B.2,WBGene00012490,Public name for WBGene00012490. History: N.A.
fbxa-120,526.273544,3.248,3.586,2.858,no,fbxa-120,WBGene00016346,Public name for WBGene00016346. History: N.A.
T24A6.20,523.9139927,24.824,20.521,16.558,no,T24A6.20,WBGene00020756,Public name for WBGene00020756. History: N.A.
W04A8.4,520.9913807,49.615,41.045,46.479,no,W04A8.4,WBGene00012239,Public name for WBGene00012239. History: N.A.
H04D03.1,520.1480117,29.049,10.664,12.534,yes,H04D03.1,WBGene00010362,Sequence name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
unc-49,519.8278224,10.65,7.831,12.084,no,unc-49,WBGene00006784,Public name for WBGene00006784. History: N.A.
ubc-19,518.180731,19.704,11.503,15.759,no,ubc-19,WBGene00006714,Public name for WBGene00006714. History: N.A.
B0564.11,517.1200635,8.832,4.529,4.168,no,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
skr-10,515.3070589,9.557,14.089,10.527,no,skr-10,WBGene00004816,Public name for WBGene00004816. History: N.A.
Y106G6D.1,512.4031747,9.767,4.718,9.049,no,Y106G6D.1,WBGene00013698,Public name for WBGene00013698. History: N.A.
F38E9.4,509.0769531,29.2,34.954,18.662,no,F38E9.4,WBGene00018186,Public name for WBGene00018186. History: N.A.
C34C12.7,506.1154516,13.201,8.114,11.208,no,C34C12.7,WBGene00007926,Public name for WBGene00007926. History: N.A.
C30G12.1,503.5436506,6.495,5.473,5.358,no,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
gsa-1,501.978446,120.142,94.805,92.272,no,gsa-1,WBGene00001745,Public name for WBGene00001745. History: N.A.
C29F9.1,501.9065668,18.858,14.287,18.932,no,C29F9.1,WBGene00016216,Sequence name for WBGene00016216(pals-22). History: N.A.
F35H10.5,497.990129,0.52,0.378,0.12,no,F35H10.5,WBGene00018070,Public name for WBGene00018070. History: N.A.
exc-9,497.5498194,1.559,3.586,2.144,no,exc-9,WBGene00017644,Public name for WBGene00017644. History: Renamed on 2005-07-22
C31H5.4,492.9946167,0.78,0.756,1.191,no,C31H5.4,WBGene00007855,Public name for WBGene00007855. History: N.A.
Y56A3A.18,492.0511708,3.507,2.076,2.441,no,Y56A3A.18,WBGene00013236,Sequence name for WBGene00013236(znf-593). History: N.A.
lgg-1,489.1512076,1.689,1.322,2.144,no,lgg-1,WBGene00002980,Public name for WBGene00002980. History: Renamed on 2008-02-29
Y48G1BM.7,488.1775156,32.209,15.048,13.701,yes,Y48G1BM.7,WBGene00021672,Public name for WBGene00021672. History: N.A.
D2005.3,482.3791532,1.43,1.133,0.12,no,D2005.3,WBGene00008398,Public name for WBGene00008398. History: N.A.
unc-119,480.9973984,6.373,9.945,9.496,no,unc-119,WBGene00006843,Public name for WBGene00006843. History: N.A.
lag-2,480.1362859,13.253,23.56,19.92,no,lag-2,WBGene00002246,Public name for WBGene00002246. History: N.A.
K02D10.2,478.6200302,2.988,0.756,2.62,no,K02D10.2,WBGene00019302,Public name for WBGene00019302. History: N.A.
Y94H6A.7,475.9117489,6.354,4.687,4.634,no,Y94H6A.7,WBGene00022379,"Public name for WBGene00022379. History: Split into Y94H6A.12(WBGene00050885). History of WBGene00022379: Split into ""WBGene00050885"" on 2007-09-06"
R02C2.1,469.3999754,22.209,19.246,24.049,no,R02C2.1,WBGene00019814,Public name for WBGene00019814. History: N.A.
cpn-4,468.6314229,9.092,6.982,6.906,no,cpn-4,WBGene00000780,Public name for WBGene00000780. History: N.A.
Y54G2A.29,464.8792323,48.923,53.34,53.211,no,Y54G2A.29,WBGene00021893,Sequence name for WBGene00021893(ndnf-1). History: N.A.
ZK673.5,464.5099859,0.91,2.359,1.34,no,ZK673.5,WBGene00014061,Public name for WBGene00014061. History: N.A.
K01G5.3,461.4511216,39.23,10.649,20.432,no,K01G5.3,WBGene00010477,Sequence name for WBGene00010477(enu-3.6). History: N.A.
pqn-83,461.2251968,86.443,93.295,124.019,no,pqn-83,WBGene00004164,Public name for WBGene00004164. History: N.A.
F49E7.2,460.0646407,5.066,3.209,4.882,no,F49E7.2,WBGene00018634,Sequence name for WBGene00018634(pigx-1). History: N.A.
F23C8.8,457.5428832,28.186,24.156,46.25,no,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
ceh-20,457.0557637,21.43,4.907,7.025,yes,ceh-20,WBGene00000443,Public name for WBGene00000443. History: N.A.
Y43D4A.6,456.8084697,8.962,5.284,7.858,no,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
nlp-12,453.1359841,3.248,2.265,4.406,no,nlp-12,WBGene00003750,Public name for WBGene00003750. History: N.A.
Y55B1BR.5,452.7553798,33.767,11.007,10.795,yes,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
B0303.2,452.3735168,3.637,2.454,2.858,no,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
H20J04.6,452.1243597,0.91,3.209,0.358,no,H20J04.6,WBGene00019221,Public name for WBGene00019221. History: N.A.
Y82E9BR.22,449.4176928,4.546,4.529,6.191,no,Y82E9BR.22,WBGene00022354,Public name for WBGene00022354. History: N.A.
B0361.4,448.3591483,33.222,29.928,31.558,no,B0361.4,WBGene00015158,Public name for WBGene00015158. History: N.A.
K04C2.3,445.9229332,2.079,3.02,2.025,no,K04C2.3,WBGene00019381,Public name for WBGene00019381. History: N.A.
ZC239.21,444.6422209,5.52,9.435,5.299,no,ZC239.21,WBGene00044372,Public name for WBGene00044372. History: N.A.
R05D11.5,442.4715987,1.689,0.944,2.382,no,R05D11.5,WBGene00011033,Sequence name for WBGene00011033(tmem-208). History: N.A.
T07F10.6,442.115755,34.146,21.364,27.721,no,T07F10.6,WBGene00011592,Sequence name for WBGene00011592(nspg-1). History: N.A.
Y40A1A.1,442.0462661,60.373,92.538,104.436,no,Y40A1A.1,WBGene00021483,Public name for WBGene00021483. History: N.A.
C53H9.3,441.3278803,0.78,1.133,0.834,no,C53H9.3,WBGene00044746,Public name for WBGene00044746. History: N.A.
ZK1010.4,439.7091526,25.007,16.43,14.682,no,ZK1010.4,WBGene00014178,Public name for WBGene00014178. History: N.A.
Y51A2A.6,436.7755439,71.473,62.627,60.666,no,Y51A2A.6,WBGene00013062,Public name for WBGene00013062. History: N.A.
C11D2.3,435.6357969,1.17,1.133,0.953,no,C11D2.3,WBGene00015701,Public name for WBGene00015701. History: N.A.
srd-70,434.6234307,52.512,37.791,37.135,no,srd-70,WBGene00005147,Public name for WBGene00005147. History: N.A.
Y45F10D.10,430.8302398,2.469,3.041,4.418,no,Y45F10D.10,WBGene00012889,Sequence name for WBGene00012889(icap-1). History: N.A.
C25G6.5,426.0632426,23.172,25.829,22.459,no,C25G6.5,WBGene00016110,Sequence name for WBGene00016110(npr-11). History: N.A.
K09E3.4,423.4520081,57.787,39.995,18.87,no,K09E3.4,WBGene00019575,Public name for WBGene00019575. History: N.A.
AC8.12,422.8809731,71.689,33.02,13.215,yes,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
AC8.7,422.8809731,71.689,33.02,13.215,yes,AC8.7,WBGene00007079,Public name for WBGene00007079. History: N.A.
W03G1.8,422.3132008,58.572,5.661,20.12,yes,W03G1.8,WBGene00021013,Public name for WBGene00021013. History: N.A.
C30E1.9,414.4045041,9.482,10.19,9.049,no,C30E1.9,WBGene00022951,Public name for WBGene00022951. History: N.A.
Y53F4B.3,408.7067573,2.469,1.51,1.668,no,Y53F4B.3,WBGene00013150,Sequence name for WBGene00013150(pole-4). History: N.A.
Y41C4A.13,406.5068037,39.873,26.788,27.272,no,Y41C4A.13,WBGene00012759,Sequence name for WBGene00012759(sup-1). History: N.A.
Y102A5D.1,405.0467964,357.274,565.85,372.263,no,Y102A5D.1,,Sequence name for Suppressed gene WBGene00013630. Molecular name for Suppressed gene WBGene00013630. Public name for Suppressed gene WBGene00013630. History of WBGene00013630: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
lbp-1,403.0861621,2.079,4.152,4.882,no,lbp-1,WBGene00002253,Public name for WBGene00002253. History: N.A.
his-37,401.9878662,1.949,2.303,1.477,no,his-37,WBGene00001911,Public name for WBGene00001911. History: N.A.
bath-7,401.0986949,32.122,13.366,17.64,no,bath-7,WBGene00018667,Public name for WBGene00018667. History: N.A.
F11C1.1,399.0571985,2.079,5.095,2.62,no,F11C1.1,WBGene00008690,Public name for WBGene00008690. History: N.A.
T04D1.2,398.2842158,11.613,9.645,9.665,no,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
his-67,397.7339401,2.395,4.338,4.186,no,his-67,WBGene00001941,Public name for WBGene00001941. History: N.A.
F22D6.8,397.1679554,1.029,1.102,0.695,no,F22D6.8,WBGene00043279,Public name for WBGene00043279. History: Killed on 2004-10-04; Resurrected on 2006-05-16
F57C2.5,396.423139,4.806,3.02,7.263,no,F57C2.5,WBGene00010197,Public name for WBGene00010197. History: N.A.
F18A11.2,396.1495805,56.291,45.549,54.991,no,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
Y48C3A.11,395.4587305,62.846,52.392,63.24,no,Y48C3A.11,WBGene00012993,Sequence name for WBGene00012993(dmsr-3). History: N.A.
W08F4.7,394.9576885,13.449,14.094,16.018,no,W08F4.7,WBGene00021096,Public name for WBGene00021096. History: N.A.
F18A11.5,393.6585933,12.043,12.651,16.661,no,F18A11.5,WBGene00008932,Public name for WBGene00008932. History: N.A.
Y48G1C.6,393.1620814,30.044,21.322,39.882,no,Y48G1C.6,WBGene00021679,Public name for WBGene00021679. History: N.A.
B0261.8,393.1455602,5.456,2.076,5.12,no,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
ZK686.6,392.6643497,3.767,2.643,2.739,no,ZK686.6,WBGene00044799,Public name for WBGene00044799. History: N.A.
C15C6.1,392.2439671,28.441,32.255,43.313,no,C15C6.1,WBGene00007600,Public name for WBGene00007600. History: N.A.
Y73B6BL.14,391.8667153,3.897,1.51,2.858,no,Y73B6BL.14,WBGene00022237,Public name for WBGene00022237. History: N.A.
B0250.2,391.745646,6.365,7.171,7.382,no,B0250.2,WBGene00007119,Sequence name for WBGene00007119(calf-1). History: N.A.
E01G4.3,391.0835012,3.767,3.209,3.096,no,E01G4.3,WBGene00008446,Public name for WBGene00008446. History: N.A.
Y42G9A.1,390.8002392,39.633,31.837,35.297,no,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
elb-1,389.7885002,1.819,2.643,2.62,no,elb-1,WBGene00001235,Public name for WBGene00001235. History: N.A.
C03D6.1,389.0892506,2.339,5.473,3.572,no,C03D6.1,WBGene00007275,Public name for WBGene00007275. History: N.A.
col-71,388.2269261,31.992,80.048,72.055,no,col-71,WBGene00000647,Public name for WBGene00000647. History: N.A.
sdz-33,386.9136276,16.906,25.441,23.87,no,sdz-33,WBGene00013233,Public name for WBGene00013233. History: Renamed on 2005-12-13
F53F8.6,385.6878082,11.559,4.638,5.686,yes,F53F8.6,WBGene00010003,Public name for WBGene00010003. History: N.A.
C55C3.3,384.1976937,52.967,61.685,65.224,no,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
F07B7.1,382.658459,112.88,52.595,36.35,yes,F07B7.1,WBGene00017185,Public name for WBGene00017185. History: N.A.
W09B7.1,382.658459,112.88,52.595,36.35,yes,W09B7.1,WBGene00021106,Public name for WBGene00021106. History: N.A.
srt-43,380.8520568,4.676,7.171,4.644,no,srt-43,WBGene00008937,Public name for WBGene00008937. History: N.A.
bath-13,380.192738,60.391,25.001,43.572,no,bath-13,WBGene00018223,Public name for WBGene00018223. History: N.A.
bath-10,379.3527752,18.767,11.888,18.215,no,bath-10,WBGene00021726,Public name for WBGene00021726. History: N.A.
Y75B8A.33,378.7898299,48.919,31.789,50.563,no,Y75B8A.33,WBGene00013563,Public name for WBGene00013563. History: N.A.
Y71F9B.13,377.9275331,22.844,21.414,27.13,no,Y71F9B.13,WBGene00022131,Public name for WBGene00022131. History: N.A.
tig-2,370.095574,10.521,9.298,10.552,no,tig-2,WBGene00006570,Public name for WBGene00006570. History: N.A.
F39F10.4,369.472151,10.407,8.78,9.025,no,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
rsp-4,367.1455026,1.3,3.397,4.168,no,rsp-4,WBGene00004701,Public name for WBGene00004701. History: N.A.
maa-1,364.1997537,61.107,37.879,36.751,no,maa-1,WBGene00007680,Public name for WBGene00007680. History: N.A.
his-35,364.1265181,2.48,7.027,4.495,no,his-35,WBGene00001909,Public name for WBGene00001909. History: N.A.
fbxa-67,362.9390871,25.596,6.322,12.243,yes,fbxa-67,WBGene00020457,Public name for WBGene00020457. History: N.A.
Y37D8A.12,361.3896759,70.495,20.596,34.212,yes,Y37D8A.12,WBGene00012552,Sequence name for WBGene00012552(enu-3.5). History: N.A.
F44F1.4,360.7668638,52.793,40.756,38.87,no,F44F1.4,WBGene00009696,Public name for WBGene00009696. History: N.A.
F13H10.8,359.430497,1.949,2.076,0.715,no,F13H10.8,WBGene00044784,Public name for WBGene00044784. History: N.A.
nit-1,358.7055335,12.014,8.869,8.691,no,nit-1,WBGene00014206,Public name for WBGene00014206. History: N.A.
Y39G10AL.1,357.5939409,7.744,10.658,11.783,no,Y39G10AL.1,WBGene00021458,Public name for WBGene00021458. History: N.A.
lin-1,353.0334205,197.88,144.076,180.384,no,lin-1,WBGene00002990,Public name for WBGene00002990. History: Renamed on 2011-11-08
pde-1,353.0034604,218.481,240.242,208.779,no,pde-1,WBGene00011433,Public name for WBGene00011433. History: N.A.
Y110A2AL.4,351.7205286,35.675,33.595,41.653,no,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
sra-35,351.6234562,12.133,15.731,19.243,no,sra-35,WBGene00005061,Public name for WBGene00005061. History: N.A.
C33B4.4,350.5668099,1.43,1.699,2.382,no,C33B4.4,WBGene00007892,Public name for WBGene00007892. History: N.A.
K05C4.9,349.9313278,161.467,75.868,59.777,yes,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
ZC15.3,349.5585588,180.001,103.303,50.596,no,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
F53G12.4,347.0122966,99.815,73.218,101.646,no,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
Y22D7AL.7,346.9193566,33.234,38.971,53.259,no,Y22D7AL.7,WBGene00021246,Public name for WBGene00021246. History: N.A.
elo-9,346.3134527,16.592,11.179,11.567,no,elo-9,WBGene00001247,Public name for WBGene00001247. History: N.A.
C08F11.7,345.4273543,47.144,15.661,20.834,yes,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
pcbd-1,344.0547566,1.689,0.567,1.072,no,pcbd-1,WBGene00020397,Public name for WBGene00020397. History: N.A.
R10E4.9,341.7496384,1.949,0.944,3.811,no,R10E4.9,WBGene00011205,Public name for WBGene00011205. History: N.A.
Y48G1BM.5,341.5545537,695.601,322.533,351.465,no,Y48G1BM.5,WBGene00021671,"Public name for Dead gene WBGene00021670. History of WBGene00021670: Merged into ""WBGene00021671"" on 2009-01-09"
F13D12.5,341.0366265,2.209,4.529,7.858,no,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
F53G12.8,340.354354,12.598,8.492,11.549,no,F53G12.8,WBGene00018773,Public name for WBGene00018773. History: N.A.
Y73B3A.11,339.625452,118.303,44.073,62.096,no,Y73B3A.11,WBGene00022213,Public name for WBGene00022213. History: N.A.
F26F4.6,339.1883681,1.819,3.209,4.763,no,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
K02E2.6,337.9663144,9.352,5.095,4.525,no,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
C29G2.1,337.6756626,4.676,2.265,4.287,no,C29G2.1,WBGene00016230,"Public name for Dead gene WBGene00016229. History of WBGene00016229: Merged into ""WBGene00016230"" on 2015-09-09"
Y44A6D.3,337.128206,29.947,11.894,11.215,yes,Y44A6D.3,WBGene00012854,Public name for WBGene00012854. History: N.A.
E01G4.7,337.0596708,4.937,2.715,4.814,no,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y60A9.3,335.9216714,3.746,2.234,3.126,no,Y60A9.3,WBGene00013370,Public name for WBGene00013370. History: N.A.
Y40B10A.2,335.7251859,29.067,28.867,27.631,no,Y40B10A.2,WBGene00021487,Sequence name for WBGene00021487(comt-3). History: N.A.
tag-279,334.7193147,7.533,19.812,10.596,no,tag-279,WBGene00017571,Other name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
K08D10.12,333.2634089,9.43,2.752,7.433,no,K08D10.12,WBGene00019535,Sequence name for WBGene00019535(tsen-34). History: N.A.
F54D10.3,333.1713536,4.936,7.548,10.477,no,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
Y43F4A.3,329.6111664,74.979,38.193,32.412,no,Y43F4A.3,WBGene00012798,Public name for WBGene00012798. History: N.A.
T08H10.4,329.1628578,5.347,4.655,5.557,no,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
T01G5.8,328.9589967,11.635,5.293,8.654,no,T01G5.8,WBGene00077585,Public name for WBGene00077585. History: N.A.
C15C8.7,328.4796617,0.91,0.944,1.668,no,C15C8.7,WBGene00007609,Public name for WBGene00007609. History: N.A.
ZC168.3,327.6525558,2.469,3.209,3.572,no,ZC168.3,WBGene00013857,Sequence name for WBGene00013857(orc-5). History: N.A.
Y66D12A.3,325.9093605,91.747,67.601,99.618,no,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
srh-1,324.9478227,81.343,26.039,27.283,yes,srh-1,WBGene00005227,Public name for WBGene00005227. History: N.A.
T19A6.4,323.9345954,6.235,10.19,7.263,no,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
K12C11.6,323.8162415,14.681,7.992,10.923,no,K12C11.6,WBGene00045052,Public name for WBGene00045052. History: N.A.
mod-5,323.6118121,126.252,85.591,128.584,no,mod-5,WBGene00003387,Public name for WBGene00003387. History: N.A.
fbxb-8,322.9864985,123.168,140.519,167.744,no,fbxb-8,WBGene00009861,"Public name for WBGene00009861. History: Split into F49B2.7(WBGene00086555). History of WBGene00009861: Split into ""WBGene00086555"" on 2008-07-18"
ZK822.2,322.4330806,1.689,3.209,3.096,no,ZK822.2,WBGene00014090,"Public name for WBGene00014090. History: Split into ZK822.6(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30"
F39B2.8,321.7881649,41.696,47.567,65.046,no,F39B2.8,WBGene00009558,Public name for WBGene00009558. History: N.A.
B0391.10,321.6880395,267.583,43.65,54.43,yes,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
Y65B4BL.4,320.5044845,23.201,15.193,24.267,no,Y65B4BL.4,WBGene00022036,Public name for WBGene00022036. History: N.A.
ran-4,319.4653658,0.65,2.454,1.191,no,ran-4,WBGene00004305,Public name for WBGene00004305. History: N.A.
prx-13,318.5470423,2.722,3.096,5.492,no,prx-13,WBGene00004198,Public name for WBGene00004198. History: N.A.
duo-2,318.2433171,42.382,35.693,34.703,no,duo-2,WBGene00001111,Public name for WBGene00001111. History: N.A.
nlp-40,318.0248483,108.763,96.197,113.365,no,nlp-40,WBGene00022276,Public name for WBGene00022276. History: N.A.
Y23H5B.3,317.1167669,12.74,12.019,13.282,no,Y23H5B.3,WBGene00021274,Public name for WBGene00021274. History: N.A.
Y55F3BR.10,316.9623932,9.482,14.718,16.072,no,Y55F3BR.10,WBGene00044742,Public name for WBGene00044742. History: N.A.
F07B7.2,316.2478378,130.614,55.155,36.727,yes,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
W09B7.2,316.2478378,130.614,55.155,36.727,yes,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
F08F3.8,315.677696,11.949,10.001,8.572,no,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
F22H10.5,315.0395639,25.347,30.85,18.642,no,F22H10.5,WBGene00017729,"Public name for WBGene00017729. History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
Y45F10C.6,314.7450256,59.16,46.986,48.513,no,Y45F10C.6,WBGene00044256,"Public name for WBGene00044256. History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
F48G7.4,314.5724753,27.014,21.133,29.882,no,F48G7.4,WBGene00018615,Public name for WBGene00018615. History: N.A.
ckb-4,314.4871914,12.8,11.89,19.094,no,ckb-4,WBGene00000514,Public name for WBGene00000514. History: N.A.
F09E5.14,312.0672144,5.765,4.148,5.056,no,F09E5.14,WBGene00017291,Public name for WBGene00017291. History: N.A.
nsy-4,309.2761972,81.729,57.253,61.78,no,nsy-4,WBGene00021415,Public name for WBGene00021415. History: N.A.
T05E12.8,308.1433174,33.637,22.643,19.406,no,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
Y87G2A.18,306.8226425,6.606,6.912,8.262,no,Y87G2A.18,WBGene00013604,Public name for WBGene00013604. History: N.A.
math-31,305.8573076,20.001,9.624,16.251,no,math-31,WBGene00018663,Public name for WBGene00018663. History: N.A.
ZK1073.1,305.0010182,9.871,11.746,10.061,no,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
F23D12.5,304.8413119,11.17,18.31,20.386,no,F23D12.5,WBGene00009089,Sequence name for WBGene00009089(jmjd-3.2). History: N.A.
Y71F9B.8,303.6716175,50.564,70.432,70.819,no,Y71F9B.8,WBGene00022129,Sequence name for WBGene00022129(lron-11). History: N.A.
bath-24,303.5381866,31.17,10.944,15.596,no,bath-24,WBGene00015014,Public name for WBGene00015014. History: N.A.
F09F7.6,302.8529311,1.603,2.265,2.501,no,F09F7.6,WBGene00017303,Public name for WBGene00017303. History: N.A.
Y23B4A.2,301.0295284,1.04,2.076,3.334,no,Y23B4A.2,WBGene00021268,Sequence name for WBGene00021268(capa-1). History: Renamed on 2015-04-14
T24A6.2,298.5298917,16.631,10.82,13.512,no,T24A6.2,,Public name for Dead gene WBGene00020745. History of WBGene00020745: Killed on 2016-02-22. Remark: lack of evidence
F39F10.2,296.2326243,10.52,22.076,12.501,no,F39F10.2,WBGene00018202,Public name for WBGene00018202. History: N.A.
C02B8.1,295.7283882,10.872,6.309,5.037,no,C02B8.1,WBGene00015320,Public name for WBGene00015320. History: N.A.
H14E04.1,295.5456658,22.173,12.288,23.216,no,H14E04.1,WBGene00019198,Sequence name for WBGene00019198(strm-1). History: N.A.
Y61A9LA.4,294.9303609,16.159,13.822,14.505,no,Y61A9LA.4,WBGene00022016,Public name for WBGene00022016. History: N.A.
sod-4,293.1920403,3.551,3.397,3.596,no,sod-4,WBGene00004933,Public name for WBGene00004933. History: N.A.
pfd-5,292.5073522,0.78,3.02,1.787,no,pfd-5,WBGene00020112,Public name for WBGene00020112. History: N.A.
F13A2.4,292.4791859,4.027,3.02,7.144,no,F13A2.4,WBGene00017413,Public name for WBGene00017413. History: N.A.
R09B3.2,292.2513001,2.469,3.209,3.691,no,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
cpi-2,291.0751454,1.949,5.095,4.168,no,cpi-2,WBGene00000534,Public name for WBGene00000534. History: Renamed on 2006-01-04
K09E3.2,290.3641505,14.102,30.788,15.547,no,K09E3.2,WBGene00019574,Public name for WBGene00019574. History: N.A.
Y54G2A.21,290.1084843,968.647,443.27,479.449,yes,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
E02H9.2,289.926774,65.52,45.567,47.977,no,E02H9.2,WBGene00017100,Public name for WBGene00017100. History: N.A.
C56G7.3,287.959941,8.25,4.982,12.267,no,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
C36B1.14,287.7259637,0.65,1.51,1.072,no,C36B1.14,WBGene00044614,Public name for WBGene00044614. History: N.A.
Y48G9A.6,286.2804488,124.157,78.492,75.12,no,Y48G9A.6,WBGene00021700,Public name for WBGene00021700. History: N.A.
fbxa-97,285.6247031,2.92,3.569,4.043,no,fbxa-97,WBGene00007667,Public name for WBGene00007667. History: N.A.
Y55B1BR.6,285.4857205,125.893,81.291,74.618,no,Y55B1BR.6,WBGene00044401,Public name for WBGene00044401. History: N.A.
F37B12.3,285.2968277,2.469,3.775,1.787,no,F37B12.3,WBGene00009505,Public name for WBGene00009505. History: N.A.
Y71H2AL.1,284.0082532,82.562,54.08,60.94,no,Y71H2AL.1,WBGene00003941,"Sequence name for WBGene00003941(pbo-1). History: N.A.. Public name for Dead gene WBGene00022164. History of WBGene00022164: Merged into ""WBGene00003941"" on 2011-09-06"
ZC416.1,283.3392113,5.196,4.529,3.215,no,ZC416.1,WBGene00022608,Sequence name for WBGene00022608(madf-9). History: N.A.
T16G12.3,282.040979,36.538,42.768,27.818,no,T16G12.3,WBGene00011804,Public name for WBGene00011804. History: N.A.
R09H3.3,280.6560749,101.43,85.661,58.096,no,R09H3.3,WBGene00019991,Public name for WBGene00019991. History: N.A.
F25G6.1,280.3709916,101.235,88.209,109.287,no,F25G6.1,WBGene00017796,Public name for WBGene00017796. History: N.A.
Y73F8A.32,279.8203438,12.728,1.888,4.287,yes,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
ndx-2,279.6594813,25.965,24.313,30.916,no,ndx-2,WBGene00003579,Public name for WBGene00003579. History: N.A.
C15F1.8,279.2775533,5.066,2.076,0.914,yes,C15F1.8,WBGene00015797,Public name for WBGene00015797. History: N.A.
Y76B12C.3,278.2943084,14.544,14.441,18.549,no,Y76B12C.3,WBGene00022297,Public name for WBGene00022297. History: N.A.
col-111,277.592382,5.734,8.587,8.376,no,col-111,WBGene00000685,Public name for WBGene00000685. History: N.A.
F20B6.5,277.5228639,21.889,16.605,24.657,no,F20B6.5,WBGene00017629,Public name for WBGene00017629. History: N.A.
C07E3.9,276.3142722,1.819,2.076,2.977,no,C07E3.9,WBGene00007419,Public name for WBGene00007419. History: N.A.
