# Neuronal-RDE-4-Dependent STGs from whole worms samples. Values shown are DESeq2 fold-change values (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in he P0 generation. NaN in ""F3"" stand for -> Not differentially expressed in F3 (padjusted > 0.1).
genes,P0 Psng-1::rde-4 vs rde-4(-),"[rde-4(-), F3 of Psng-1::rde-4(+/-)] vs rde-4(-)",Input,Suggested Match,History
F23C8.12,-0.923238824,,F23C8.12,WBGene00017739,"Public name for Dead gene WBGene00017740. History of WBGene00017740: Merged into ""WBGene00017739"" on 2014-05-28"
Y116F11B.9,-0.921500064,,Y116F11B.9,WBGene00013825,Public name for WBGene00013825. History: N.A.
let-23,-0.9206808,,let-23,WBGene00002299,Public name for WBGene00002299. History: N.A.
twk-40,-0.920067228,-0.9309919121880568,twk-40,WBGene00006691,Public name for WBGene00006691. History: N.A.
T28F3.4,-0.91939385,,T28F3.4,WBGene00012130,"Sequence name for WBGene00012130(slc-17.4). History: Split into T28F3.11(WBGene00303083). History of WBGene00012130: Split into ""WBGene00303083"" on 2018-03-02"
R10E4.3,-0.916029213,,R10E4.3,WBGene00011200,Public name for WBGene00011200. History: N.A.
clec-85,-0.915977992,,clec-85,WBGene00021872,Public name for WBGene00021872. History: N.A.
fbxa-175,-0.913539731,,fbxa-175,WBGene00045293,Public name for WBGene00045293. History: N.A.
Y34B4A.4,-0.910688239,,Y34B4A.4,WBGene00021320,Public name for WBGene00021320. History: N.A.
T11F9.19,-0.910095895,,T11F9.19,WBGene00011716,Public name for WBGene00011716. History: N.A.
pghm-1,-0.909492394,,pghm-1,WBGene00022144,Public name for WBGene00022144. History: N.A.
Y73F8A.37,-0.908339663,,Y73F8A.37,WBGene00044632,Public name for WBGene00044632. History: N.A.
rhgf-2,-0.907233287,,rhgf-2,WBGene00006476,Public name for WBGene00006476. History: N.A.
F31E3.12,-0.904676888,-0.976801761756804,F31E3.12,WBGene00219317,Public name for WBGene00219317. History: N.A.
B0379.1,-0.904435957,,B0379.1,WBGene00007155,Public name for WBGene00007155. History: N.A.
glr-2,-0.900006482,,glr-2,WBGene00001613,Public name for WBGene00001613. History: N.A.
Y57G11C.29,-0.899801285,,Y57G11C.29,WBGene00014925,Public name for WBGene00014925. History: N.A.
Y37E11AL.1,-0.898495178,,Y37E11AL.1,WBGene00021357,Public name for WBGene00021357. History: N.A.
attf-4,-0.896559859,-0.719446348297999,attf-4,WBGene00015477,Public name for WBGene00015477. History: N.A.
srh-185,-0.895723991,,srh-185,WBGene00005400,Public name for WBGene00005400. History: N.A.
C17C3.5,-0.89491088,,C17C3.5,WBGene00015890,Public name for WBGene00015890. History: N.A.
H10E21.4,-0.893220458,,H10E21.4,WBGene00019184,Public name for WBGene00019184. History: N.A.
srw-77,-0.892705457,,srw-77,WBGene00005824,Public name for WBGene00005824. History: N.A.
C45G9.12,-0.892228016,,C45G9.12,WBGene00016683,Public name for WBGene00016683. History: N.A.
F33A8.10,-0.891317955,,F33A8.10,WBGene00009356,Public name for WBGene00009356. History: N.A.
Y38H6C.4,-0.89127091,,Y38H6C.4,WBGene00012617,Public name for WBGene00012617. History: N.A.
W04C9.5,-0.88846466,,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
F23H11.6,-0.887460864,,F23H11.6,WBGene00017761,Sequence name for WBGene00017761(idpp-13). History: N.A.
Y87G2A.20,-0.887072572,,Y87G2A.20,WBGene00044261,Public name for WBGene00044261. History: N.A.
Y41C4A.13,-0.886395735,,Y41C4A.13,WBGene00012759,Sequence name for WBGene00012759(sup-1). History: N.A.
W03G1.5,-0.884755031,-0.8733237215206519,W03G1.5,WBGene00021011,Public name for WBGene00021011. History: N.A.
C47G2.6,-0.883776992,,C47G2.6,WBGene00044038,Public name for WBGene00044038. History: N.A.
F26A1.9,-0.883407853,,F26A1.9,WBGene00017807,Public name for WBGene00017807. History: N.A.
col-139,-0.881914112,,col-139,WBGene00000712,Public name for WBGene00000712. History: N.A.
F47B7.1,-0.880224201,-0.633013754208337,F47B7.1,WBGene00018532,Public name for WBGene00018532. History: N.A.
K08H10.6,-0.879767037,,K08H10.6,WBGene00010698,Public name for WBGene00010698. History: N.A.
mpk-2,-0.878779523,,mpk-2,WBGene00003402,Public name for WBGene00003402. History: N.A.
Y23H5B.2,-0.877877378,,Y23H5B.2,WBGene00021273,Public name for WBGene00021273. History: N.A.
T05D4.5,-0.877025125,,T05D4.5,WBGene00011478,Public name for WBGene00011478. History: N.A.
C46G7.2,-0.876590015,,C46G7.2,WBGene00016722,Public name for WBGene00016722. History: N.A.
axl-1,-0.875928068,,axl-1,WBGene00010497,Public name for WBGene00010497. History: N.A.
E04A4.3,-0.875206396,,E04A4.3,WBGene00017118,Public name for WBGene00017118. History: N.A.
gst-10,-0.873301601,,gst-10,WBGene00001758,Public name for WBGene00001758. History: N.A.
F40A3.4,-0.871109237,,F40A3.4,WBGene00018219,Public name for WBGene00018219. History: N.A.
C07A9.12,-0.866885205,,C07A9.12,WBGene00043994,Public name for WBGene00043994. History: N.A.
C45G9.14,-0.866525072,,C45G9.14,WBGene00044409,Public name for WBGene00044409. History: N.A.
C38D4.10,-0.863937096,,C38D4.10,WBGene00044225,Public name for WBGene00044225. History: N.A.
F35F11.2,-0.862797901,,F35F11.2,WBGene00018065,Public name for WBGene00018065. History: N.A.
Y71H2AM.15,-0.862633234,,Y71H2AM.15,WBGene00022180,Public name for WBGene00022180. History: N.A.
D1044.2,-0.85873087,,D1044.2,WBGene00017028,Sequence name for WBGene00017028(dex-1). History: N.A.
nekl-1,-0.853561716,,nekl-1,WBGene00021461,Public name for WBGene00021461. History: N.A.
ttr-20,-0.853491122,,ttr-20,WBGene00018085,Public name for WBGene00018085. History: N.A.
ccb-1,-0.853180133,-0.6271731177156429,ccb-1,WBGene00000368,Public name for WBGene00000368. History: Renamed on 2015-03-05
ZK795.6,-0.853103611,,ZK795.6,WBGene00194644,Public name for WBGene00194644. History: N.A.
M88.4,-0.851700399,,M88.4,WBGene00010907,Public name for WBGene00010907. History: N.A.
atf-5,-0.851012186,,atf-5,WBGene00000221,"Other name for WBGene00000221(atf-4). History: Split into T04C10.11(WBGene00303075). History of WBGene00000221: Split into ""WBGene00303075"" on 2018-03-02; Renamed on 2019-07-15"
Y48A6B.9,-0.850999863,,Y48A6B.9,WBGene00012970,Public name for WBGene00012970. History: N.A.
ser-4,-0.848862397,,ser-4,WBGene00004779,Public name for WBGene00004779. History: Renamed on 2005-12-15; Renamed on 2005-12-15
kri-1,-0.847991669,,kri-1,WBGene00013955,Public name for WBGene00013955. History: N.A.
F59H6.2,-0.847123539,,F59H6.2,WBGene00019133,Public name for WBGene00019133. History: N.A.
Y53H1B.6,-0.846859484,,Y53H1B.6,WBGene00013184,Sequence name for WBGene00013184(clpr-4). History: N.A.
F46C8.8,-0.84670272,,F46C8.8,WBGene00018487,Public name for WBGene00018487. History: N.A.
F35G2.3,-0.843122748,,F35G2.3,WBGene00009437,Public name for WBGene00009437. History: N.A.
F28H7.8,-0.84305652,,F28H7.8,WBGene00009241,Public name for WBGene00009241. History: N.A.
F36A4.9,-0.842250374,,F36A4.9,WBGene00023279,Public name for WBGene00023279. History: N.A.
D1053.4,-0.8398883,,D1053.4,WBGene00008369,Public name for WBGene00008369. History: N.A.
Y116F11B.6,-0.839633015,,Y116F11B.6,WBGene00013822,Public name for WBGene00013822. History: N.A.
B0513.6,-0.836861327,,B0513.6,WBGene00007198,Public name for WBGene00007198. History: N.A.
F40E3.7,-0.836683595,,F40E3.7,WBGene00077781,Public name for WBGene00077781. History: N.A.
DH11.2,-0.836443803,,DH11.2,WBGene00008436,Public name for WBGene00008436. History: N.A.
pqn-44,-0.836045256,,pqn-44,WBGene00004131,Other name for WBGene00004131(tent-5). History: Renamed on 2021-01-04
T04G9.4,-0.83476863,,T04G9.4,WBGene00020215,Public name for WBGene00020215. History: N.A.
F58E2.3,-0.834574402,,F58E2.3,WBGene00019047,Public name for WBGene00019047. History: N.A.
vab-7,-0.833608589,,vab-7,WBGene00006873,Public name for WBGene00006873. History: N.A.
F14D2.5,-0.833310057,,F14D2.5,WBGene00017453,Public name for WBGene00017453. History: N.A.
F29C4.3,-0.832850501,,F29C4.3,WBGene00023277,Public name for WBGene00023277. History: N.A.
F33D11.8,-0.831275998,,F33D11.8,WBGene00018005,Sequence name for WBGene00018005(nlp-62). History: N.A.
F23C8.11,-0.829620214,,F23C8.11,WBGene00017739,Public name for WBGene00017739. History: N.A.
B0361.11,-0.827581987,,B0361.11,WBGene00015165,Public name for WBGene00015165. History: N.A.
R11E3.2,-0.827573698,,R11E3.2,WBGene00020004,Public name for WBGene00020004. History: N.A.
Y73B6A.3,-0.826826823,,Y73B6A.3,WBGene00022230,Public name for WBGene00022230. History: N.A.
aex-5,-0.825926662,,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
F55D12.2,-0.825569248,,F55D12.2,WBGene00010111,Public name for WBGene00010111. History: N.A.
Y53G8AL.1,-0.821601501,,Y53G8AL.1,WBGene00021799,Public name for WBGene00021799. History: N.A.
lin-59,-0.81948441,,lin-59,WBGene00003040,Public name for WBGene00003040. History: N.A.
C46H11.10,-0.817381985,,C46H11.10,WBGene00016734,Public name for WBGene00016734. History: N.A.
cyp-33C7,-0.816212671,,cyp-33C7,WBGene00018260,Public name for WBGene00018260. History: N.A.
F10B5.3,-0.816169694,,F10B5.3,WBGene00008640,Public name for WBGene00008640. History: N.A.
K01A11.1,-0.812867397,,K01A11.1,WBGene00010449,Public name for WBGene00010449. History: N.A.
D1081.6,-0.811833702,-0.620917296844623,D1081.6,WBGene00008384,"Public name for WBGene00008384. History: Split into D1081.20(WBGene00304985). History of WBGene00008384: Split into ""WBGene00304985"" on 2019-09-26"
C05B5.4,-0.810816278,,C05B5.4,WBGene00007321,Public name for WBGene00007321. History: N.A.
nas-32,-0.810041374,,nas-32,WBGene00003550,Public name for WBGene00003550. History: N.A.
lrp-1,-0.809618476,,lrp-1,WBGene00003071,Public name for WBGene00003071. History: N.A.
ptr-19,-0.806143748,,ptr-19,WBGene00004233,Public name for WBGene00004233. History: N.A.
Y71G12B.5,-0.805990483,,Y71G12B.5,WBGene00022145,"Public name for WBGene00022145. History: Split into ""WBGene00219273"" on 2011-10-03"
snf-3,-0.805632664,,snf-3,WBGene00004902,Public name for WBGene00004902. History: N.A.
C50F4.6,-0.804091721,-0.895918464237733,C50F4.6,WBGene00001910,Public name for WBGene00001910. History: N.A.
C01H6.4,-0.802283591,,C01H6.4,WBGene00007254,Public name for WBGene00007254. History: N.A.
C34D4.1,-0.801561874,,C34D4.1,WBGene00016397,Sequence name for WBGene00016397(maph-9). History: N.A.
Y43C5B.3,-0.801417079,,Y43C5B.3,WBGene00012786,Public name for WBGene00012786. History: N.A.
unc-17,-0.800725852,-0.897046958034424,unc-17,WBGene00006756,Public name for WBGene00006756. History: N.A.
F58E10.7,-0.800312419,,F58E10.7,WBGene00010262,Sequence name for WBGene00010262(droe-4). History: N.A.
F56B3.9,-0.79943251,,F56B3.9,WBGene00018933,Public name for WBGene00018933. History: N.A.
dyf-13,-0.799113205,,dyf-13,WBGene00001129,Public name for WBGene00001129. History: N.A.
cgt-1,-0.793621193,,cgt-1,WBGene00011517,Public name for WBGene00011517. History: Renamed on 2006-03-17
R08A2.7,-0.793580201,,R08A2.7,WBGene00011137,Public name for WBGene00011137. History: N.A.
pho-10,-0.79328423,,pho-10,WBGene00007328,"Public name for WBGene00007328. History: Split into C05C10.8(WBGene00086567). History of WBGene00007328: Split into ""WBGene00086567"" on 2008-07-18"
C03A7.12,-0.793211856,,C03A7.12,WBGene00015371,"Public name for Dead gene WBGene00015370. History of WBGene00015370: Merged into ""WBGene00015371"" on 2017-09-21"
xbp-1,-0.791230005,,xbp-1,WBGene00006959,Public name for WBGene00006959. History: N.A.
C17H1.3,-0.790887314,,C17H1.3,WBGene00007656,Sequence name for WBGene00007656(pals-2). History: N.A.
Y53F4B.11,-0.789971036,,Y53F4B.11,WBGene00013158,Public name for WBGene00013158. History: N.A.
M70.2,-0.789458331,,M70.2,WBGene00019784,Public name for WBGene00019784. History: N.A.
cutl-3,-0.788180672,,cutl-3,WBGene00008978,Public name for WBGene00008978. History: N.A.
tbx-37,-0.786890049,,tbx-37,WBGene00006556,Public name for WBGene00006556. History: N.A.
fbxa-109,-0.78616114,,fbxa-109,WBGene00014906,Public name for WBGene00014906. History: N.A.
srsx-35,-0.785962431,,srsx-35,WBGene00009999,Public name for WBGene00009999. History: N.A.
rbf-1,-0.785803744,,rbf-1,WBGene00004316,Public name for WBGene00004316. History: N.A.
R01H2.4,-0.785794221,,R01H2.4,WBGene00019812,Public name for WBGene00019812. History: N.A.
elo-8,-0.785664343,,elo-8,WBGene00001246,"Public name for WBGene00001246. History: Split into Y47D3A.34(WBGene00206461). History of WBGene00001246: Split into ""WBGene00206461"" on 2011-03-28"
gly-2,-0.785434733,,gly-2,WBGene00001627,Public name for WBGene00001627. History: N.A.
plx-2,-0.784114051,,plx-2,WBGene00004048,Public name for WBGene00004048. History: N.A.
Y71H2AM.12,-0.781843327,,Y71H2AM.12,WBGene00022177,Public name for WBGene00022177. History: N.A.
F29D10.3,-0.780208791,,F29D10.3,WBGene00009252,Public name for WBGene00009252. History: N.A.
H34I24.1,-0.778558829,,H34I24.1,WBGene00019260,Public name for WBGene00019260. History: N.A.
F12B6.2,-0.778061631,,F12B6.2,WBGene00017398,Sequence name for WBGene00017398(slc-17.6). History: N.A.
ZK856.18,-0.777998096,,ZK856.18,WBGene00194912,Public name for WBGene00194912. History: N.A.
K07C11.8,-0.775938477,,K07C11.8,WBGene00019480,Public name for WBGene00019480. History: N.A.
F22E5.13,-0.773546505,,F22E5.13,WBGene00017711,Public name for WBGene00017711. History: N.A.
Y4C6A.4,-0.772010257,,Y4C6A.4,WBGene00021154,Public name for WBGene00021154. History: N.A.
C08F11.16,-0.771321208,,C08F11.16,WBGene00045068,Public name for WBGene00045068. History: N.A.
C27H5.2,-0.770637154,,C27H5.2,WBGene00016172,Public name for WBGene00016172. History: N.A.
Y37E11AL.6,-0.770167265,,Y37E11AL.6,WBGene00021362,Sequence name for WBGene00021362(fmil-1). History: N.A.
Y69H2.10,-0.769804371,,Y69H2.10,WBGene00013485,Public name for WBGene00013485. History: N.A.
R05C11.4,-0.769735688,,R05C11.4,WBGene00044467,Public name for WBGene00044467. History: N.A.
str-8,-0.765918244,,str-8,WBGene00006076,Public name for WBGene00006076. History: N.A.
Y39B6A.8,-0.764780118,,Y39B6A.8,WBGene00012670,Sequence name for WBGene00012670(cpg-23). History: N.A.
ric-4,-0.762752886,,ric-4,WBGene00004364,Public name for WBGene00004364. History: Renamed on 2004-09-23
Y71G12B.38,-0.757079968,,Y71G12B.38,WBGene00022145,"Public name for Dead gene WBGene00219273. History of WBGene00219273: Merged into ""WBGene00022145"" on 2014-01-06"
F40D4.13,-0.755851286,,F40D4.13,WBGene00009572,Public name for WBGene00009572. History: N.A.
Y54E2A.10,-0.75292533,,Y54E2A.10,WBGene00013195,Public name for WBGene00013195. History: N.A.
cutl-15,-0.749970495,,cutl-15,WBGene00011888,Public name for WBGene00011888. History: N.A.
T03F1.6,-0.749951626,,T03F1.6,WBGene00020188,Public name for WBGene00020188. History: N.A.
ZK185.2,-0.749320475,,ZK185.2,WBGene00022682,Public name for WBGene00022682. History: N.A.
F58D5.2,-0.749281677,,F58D5.2,WBGene00010242,Public name for WBGene00010242. History: N.A.
F47G6.3,-0.748890665,,F47G6.3,WBGene00018580,Public name for WBGene00018580. History: N.A.
dct-18,-0.744768798,,dct-18,WBGene00010266,Public name for WBGene00010266. History: N.A.
tir-1,-0.743031297,,tir-1,WBGene00006575,Public name for WBGene00006575. History: Renamed on 2005-11-09
W02D7.9,-0.742794091,,W02D7.9,WBGene00020944,Public name for WBGene00020944. History: N.A.
rab-3,-0.741012084,,rab-3,WBGene00004267,Public name for WBGene00004267. History: N.A.
R13A5.11,-0.74070235,,R13A5.11,WBGene00020053,Public name for WBGene00020053. History: N.A.
T01D3.1,-0.73990838,,T01D3.1,WBGene00011326,"Public name for WBGene00011326. History: Split into ""WBGene00045409"" on 2007-05-02"
cpx-1,-0.738733773,,cpx-1,WBGene00022271,Public name for WBGene00022271. History: N.A.
prx-3,-0.738038845,,prx-3,WBGene00004193,Public name for WBGene00004193. History: N.A.
F32A7.5,-0.737538551,,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
Y102A5C.4,-0.735684747,,Y102A5C.4,WBGene00013613,Public name for WBGene00013613. History: N.A.
F31D5.1,-0.734933791,,F31D5.1,WBGene00017944,Public name for WBGene00017944. History: N.A.
Y47G6A.5,-0.73225339,-0.698869902425117,Y47G6A.5,WBGene00021635,Public name for WBGene00021635. History: N.A.
col-72,-0.731250203,,col-72,WBGene00000648,Public name for WBGene00000648. History: N.A.
F42A10.3,-0.730798103,,F42A10.3,WBGene00018340,Sequence name for WBGene00018340(anmt-2). History: N.A.
F35C5.12,-0.730415596,-0.699428482560807,F35C5.12,WBGene00009400,Public name for WBGene00009400. History: N.A.
F23F1.7,-0.72930332,-0.844807464498009,F23F1.7,WBGene00017748,Sequence name for WBGene00017748(spp-24). History: N.A.
H14N18.4,-0.72902782,,H14N18.4,WBGene00019204,Public name for WBGene00019204. History: N.A.
Y37A1B.7,-0.728120206,,Y37A1B.7,WBGene00012540,Public name for WBGene00012540. History: N.A.
Y48A6B.8,-0.727661765,,Y48A6B.8,WBGene00012969,Public name for WBGene00012969. History: N.A.
F09E5.14,-0.72485309,,F09E5.14,WBGene00017291,Public name for WBGene00017291. History: N.A.
dsl-4,-0.724596411,,dsl-4,WBGene00001106,Public name for WBGene00001106. History: N.A.
tomm-7,-0.72456502,,tomm-7,WBGene00022783,Public name for WBGene00022783. History: N.A.
B0286.1,-0.724434487,-0.8701804120476139,B0286.1,WBGene00015115,Public name for WBGene00015115. History: N.A.
C31H5.5,-0.72406306,,C31H5.5,WBGene00007856,Public name for WBGene00007856. History: N.A.
fbxb-17,-0.723835986,,fbxb-17,WBGene00019037,Public name for WBGene00019037. History: N.A.
sma-4,-0.722038935,,sma-4,WBGene00004858,Public name for WBGene00004858. History: N.A.
ugt-29,-0.720762309,-0.584959970042853,ugt-29,WBGene00021709,Public name for WBGene00021709. History: N.A.
acy-1,-0.719038561,,acy-1,WBGene00000068,Public name for WBGene00000068. History: N.A.
F40C5.1,-0.717623883,,F40C5.1,WBGene00018228,Public name for WBGene00018228. History: N.A.
ugt-37,-0.716782413,,ugt-37,WBGene00017332,Public name for WBGene00017332. History: N.A.
Y47A7.2,-0.711622099,-0.737446785241407,Y47A7.2,WBGene00021614,Public name for WBGene00021614. History: N.A.
ZK1225.1,-0.711042498,,ZK1225.1,WBGene00014235,Public name for WBGene00014235. History: N.A.
C49G7.10,-0.710953645,,C49G7.10,WBGene00016788,Public name for WBGene00016788. History: N.A.
Y75B8A.10,-0.710509834,,Y75B8A.10,WBGene00013547,Public name for WBGene00013547. History: N.A.
C17G1.5,-0.710139712,,C17G1.5,WBGene00007652,Public name for WBGene00007652. History: N.A.
vab-19,-0.710139099,,vab-19,WBGene00006882,Public name for WBGene00006882. History: N.A.
F31C3.6,-0.708679555,,F31C3.6,WBGene00009288,Public name for WBGene00009288. History: N.A.
nhr-130,-0.7082285,,nhr-130,WBGene00003720,Public name for WBGene00003720. History: N.A.
lgc-33,-0.707534395,,lgc-33,WBGene00021941,Public name for WBGene00021941. History: N.A.
Y65A5A.24,-0.702269301,-0.649628235411526,Y65A5A.24,WBGene00185101,Public name for WBGene00185101. History: N.A.
K07D4.2,-0.702013668,-0.623411538043792,K07D4.2,WBGene00019483,Public name for WBGene00019483. History: N.A.
Y54G2A.40,-0.697826614,,Y54G2A.40,WBGene00044495,Public name for WBGene00044495. History: N.A.
fbxb-10,-0.697676681,,fbxb-10,WBGene00020362,Public name for WBGene00020362. History: N.A.
fbxa-37,-0.697635197,,fbxa-37,WBGene00013845,Public name for WBGene00013845. History: N.A.
fbxb-51,-0.69638315,-0.6848865934540679,fbxb-51,WBGene00019414,Public name for WBGene00019414. History: N.A.
Y46D2A.3,-0.696210334,,Y46D2A.3,WBGene00021591,Public name for WBGene00021591. History: N.A.
lim-7,-0.695372382,,lim-7,WBGene00002989,Public name for WBGene00002989. History: Renamed on 2015-03-03
T28A11.2,-0.694602176,,T28A11.2,WBGene00020869,"Public name for WBGene00020869. History: Split into T28A11.25(WBGene00269355). History of WBGene00020869: Split into ""WBGene00269355"" on 2015-12-02"
H05C05.3,-0.694193049,,H05C05.3,WBGene00019159,Public name for WBGene00019159. History: N.A.
Y37E11AL.5,-0.692784983,,Y37E11AL.5,WBGene00021362,"Public name for Dead gene WBGene00021361. History of WBGene00021361: Merged into ""WBGene00021362"" on 2013-09-27"
W02A2.4,-0.692396829,,W02A2.4,WBGene00012189,Public name for WBGene00012189. History: N.A.
F47H4.2,-0.692353242,,F47H4.2,WBGene00009835,Public name for WBGene00009835. History: N.A.
srx-12,-0.690785567,,srx-12,WBGene00005903,Public name for WBGene00005903. History: N.A.
F31E9.3,-0.690662218,,F31E9.3,WBGene00009296,Public name for WBGene00009296. History: N.A.
F42H11.1,-0.689788185,,F42H11.1,WBGene00009646,Public name for WBGene00009646. History: N.A.
unc-89,-0.689538876,,unc-89,WBGene00006820,Public name for WBGene00006820. History: N.A.
T24H7.8,-0.689278428,,T24H7.8,WBGene00206412,Public name for WBGene00206412. History: N.A.
Y39G10AR.16,-0.68921783,,Y39G10AR.16,WBGene00021472,Public name for WBGene00021472. History: N.A.
T08H10.4,-0.68897911,,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
end-3,-0.688121574,,end-3,WBGene00001311,Public name for WBGene00001311. History: N.A.
C33D9.3,-0.687903126,,C33D9.3,WBGene00007898,Public name for WBGene00007898. History: N.A.
ZK856.5,-0.687658028,,ZK856.5,WBGene00014106,"Public name for WBGene00014106. History: Split into ZK856.18(WBGene00194912). History of WBGene00014106: Split into ""WBGene00194912"" on 2010-01-20"
Y49E10.10,-0.686868222,,Y49E10.10,WBGene00013033,Public name for WBGene00013033. History: N.A.
F53C3.6,-0.686447784,,F53C3.6,WBGene00018750,Public name for WBGene00018750. History: N.A.
nhr-65,-0.685462892,,nhr-65,WBGene00003655,Public name for WBGene00003655. History: N.A.
gadr-6,-0.683547461,,gadr-6,WBGene00009823,Public name for WBGene00009823. History: N.A.
fbxa-23,-0.68172689,,fbxa-23,WBGene00020459,"Public name for WBGene00020459. History: Split into T12B5.18(WBGene00306000). History of WBGene00020459: Split into ""WBGene00306000"" on 2020-01-20"
srh-213,-0.680646961,,srh-213,WBGene00005423,Public name for WBGene00005423. History: N.A.
ztf-2,-0.679840042,,ztf-2,WBGene00008762,Public name for WBGene00008762. History: N.A.
sdz-27,-0.679038095,,sdz-27,WBGene00011124,Public name for WBGene00011124. History: N.A.
F59A1.10,-0.678389692,,F59A1.10,WBGene00010296,Sequence name for WBGene00010296(dgat-2). History: N.A.
D1044.1,-0.678308562,,D1044.1,WBGene00017027,Public name for WBGene00017027. History: N.A.
cutl-28,-0.677512599,,cutl-28,WBGene00018256,Public name for WBGene00018256. History: N.A.
F46F5.16,-0.677384934,,F46F5.16,WBGene00018507,Public name for WBGene00018507. History: N.A.
Y80D3A.11,-0.677228384,,Y80D3A.11,WBGene00013589,Public name for WBGene00013589. History: N.A.
ZK418.7,-0.674946024,,ZK418.7,WBGene00022736,Public name for WBGene00022736. History: N.A.
W04E12.4,-0.671368481,,W04E12.4,WBGene00012249,Public name for WBGene00012249. History: N.A.
F53H2.1,-0.669150401,,F53H2.1,WBGene00010004,Public name for WBGene00010004. History: N.A.
unc-22,-0.669074419,,unc-22,WBGene00006759,"Public name for WBGene00006759. History: Split into ZK617.26(WBGene00303099). History of WBGene00006759: Split into ""WBGene00303099"" on 2018-03-02"
somi-1,-0.668343859,,somi-1,WBGene00010868,Public name for WBGene00010868. History: N.A.
osm-9,-0.665530389,,osm-9,WBGene00003889,Public name for WBGene00003889. History: N.A.
ugt-40,-0.665461122,,ugt-40,WBGene00017331,Public name for WBGene00017331. History: N.A.
C17C3.1,-0.663764168,,C17C3.1,WBGene00015887,Public name for WBGene00015887. History: N.A.
Y48G1C.5,-0.662724012,,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
ckc-1,-0.662560187,,ckc-1,WBGene00000515,Public name for WBGene00000515. History: N.A.
3R5.2,-0.662332159,,3R5.2,WBGene00007066,Public name for WBGene00007066. History: N.A.
W10C6.2,-0.661136318,,W10C6.2,WBGene00044160,Public name for WBGene00044160. History: N.A.
nas-1,-0.660688869,,nas-1,WBGene00003520,Public name for WBGene00003520. History: N.A.
W09G12.7,-0.660066877,,W09G12.7,WBGene00021121,Public name for WBGene00021121. History: N.A.
col-68,-0.658181504,-0.734752615718914,col-68,WBGene00000644,Public name for WBGene00000644. History: N.A.
F54D5.15,-0.658009567,-1.25432999046877,F54D5.15,WBGene00010057,Public name for WBGene00010057. History: N.A.
F19B2.6,-0.655632523,,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
Y55B1BL.1,-0.655176678,,Y55B1BL.1,WBGene00021909,"Public name for WBGene00021909. History: Split into Y55B1BL.2(WBGene00303093). History of WBGene00021909: Split into ""WBGene00303093"" on 2018-03-02"
elp-1,-0.654864107,,elp-1,WBGene00001248,Public name for WBGene00001248. History: N.A.
grl-4,-0.653995234,,grl-4,WBGene00001713,Public name for WBGene00001713. History: N.A.
elks-1,-0.652871421,,elks-1,WBGene00018330,Public name for WBGene00018330. History: N.A.
ptr-13,-0.651564162,,ptr-13,WBGene00004227,Public name for WBGene00004227. History: N.A.
F59A7.5,-0.649650347,,F59A7.5,WBGene00019092,Public name for WBGene00019092. History: N.A.
Y18D10A.22,-0.649192519,-0.847817905414868,Y18D10A.22,WBGene00014864,Public name for WBGene00014864. History: N.A.
mps-2,-0.64919071,,mps-2,WBGene00019282,Public name for WBGene00019282. History: N.A.
end-1,-0.64897499,,end-1,WBGene00001310,Public name for WBGene00001310. History: N.A.
gbh-2,-0.647238872,,gbh-2,WBGene00001523,Public name for WBGene00001523. History: N.A.
Y38H6C.14,-0.647210207,,Y38H6C.14,WBGene00012626,Sequence name for WBGene00012626(famh-161). History: Renamed on 2017-01-13
Y17G9B.1,-0.64706632,,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
Y57G7A.6,-0.646069147,,Y57G7A.6,WBGene00021969,Public name for WBGene00021969. History: N.A.
sip-1,-0.645690914,-0.5429521450804419,sip-1,WBGene00004798,Public name for WBGene00004798. History: N.A.
C50E10.1,-0.645017975,,C50E10.1,WBGene00016825,Public name for WBGene00016825. History: N.A.
F39F10.2,-0.644825825,,F39F10.2,WBGene00018202,Public name for WBGene00018202. History: N.A.
Y113G7B.11,-0.644566086,,Y113G7B.11,WBGene00013761,Public name for WBGene00013761. History: N.A.
lron-13,-0.643117122,-0.718398691233699,lron-13,WBGene00013574,Public name for WBGene00013574. History: N.A.
Y47H9C.15,-0.642573189,,Y47H9C.15,WBGene00000821,"Public name for Dead gene WBGene00012957. History of WBGene00012957: Merged into ""WBGene00000821"" on 2016-04-19"
nhr-41,-0.642167669,,nhr-41,WBGene00022423,Public name for WBGene00022423. History: N.A.
agr-1,-0.639515427,,agr-1,WBGene00018304,Public name for WBGene00018304. History: N.A.
fbxb-94,-0.639237058,,fbxb-94,WBGene00013410,Public name for WBGene00013410. History: N.A.
clec-145,-0.637967465,,clec-145,WBGene00013013,Public name for WBGene00013013. History: N.A.
B0205.12,-0.637954599,,B0205.12,WBGene00044413,Public name for WBGene00044413. History: N.A.
