# Table S1. IP-MS results of TOFU-6, PICS-1, ERH-2 and TOST-1,,
# TOFU-6::GFP,IP-MS,
gene_ID,gene public name,WD_score,Input,Suggested Match,History
T05E11.1,rps-5,2.385,T05E11.1,WBGene00004474,Sequence name for WBGene00004474(rps-5). History: N.A.
H06I04.4,ubl-1,2.3681,H06I04.4,WBGene00006725,Sequence name for WBGene00006725(ubl-1). History: N.A.
F52D10.3,ftt-2,2.3619,F52D10.3,WBGene00001502,Sequence name for WBGene00001502(ftt-2). History: N.A.
F27C1.7,atp-3,2.3345,F27C1.7,WBGene00000230,"Sequence name for WBGene00000230(atp-3). History: N.A.. Public name for Dead gene WBGene00017856. History of WBGene00017856: Merged into ""WBGene00000230"" on 2005-08-31"
K11H12.2,rpl-15,2.3249,K11H12.2,WBGene00004427,Sequence name for WBGene00004427(rpl-15). History: N.A.
B0336.10,rpl-23,2.3147,B0336.10,WBGene00004435,Sequence name for WBGene00004435(rpl-23). History: N.A.
F10B5.1,rpl-10,2.3051,F10B5.1,WBGene00004421,Sequence name for WBGene00004421(rpl-10). History: N.A.
F20B6.2,vha-12,2.301,F20B6.2,WBGene00006921,Sequence name for WBGene00006921(vha-12). History: N.A.
T25C12.3,T25C12.3,2.2819,T25C12.3,WBGene00012018,Public name for WBGene00012018. History: N.A.
K10B3.8,gpd-2,2.2655,K10B3.8,WBGene00001684,Sequence name for WBGene00001684(gpd-2). History: N.A.
ZK131.9,his-15,2.2303,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
F46F11.5,vha-10,2.2254,F46F11.5,WBGene00006919,Sequence name for WBGene00006919(vha-10). History: N.A.
D1007.6,rps-10,2.1992,D1007.6,WBGene00004479,Sequence name for WBGene00004479(rps-10). History: N.A.
F46H5.3,F46H5.3,2.1852,F46H5.3,WBGene00018519,Public name for WBGene00018519. History: N.A.
F28D1.7,rps-23,2.1664,F28D1.7,WBGene00004492,Sequence name for WBGene00004492(rps-23). History: N.A.
C17H12.14,vha-8,2.1132,C17H12.14,WBGene00006917,Sequence name for WBGene00006917(vha-8). History: N.A.
Y71F9AL.13,rpl-1,2.0851,Y71F9AL.13,WBGene00004412,Sequence name for WBGene00004412(rpl-1). History: Renamed on 2004-07-05
F58F12.1,F58F12.1,1.9433,F58F12.1,WBGene00019061,Public name for WBGene00019061. History: Renamed on 2005-03-17
F54C9.1,iff-2,1.9211,F54C9.1,WBGene00002065,Sequence name for WBGene00002065(iff-2). History: N.A.
K02F2.2,ahcy-1,1.9,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
F54E2.3,ketn-1,1.8848,F54E2.3,WBGene00004130,Sequence name for WBGene00004130(ketn-1). History: N.A.
C49F5.1,sams-1,1.8637,C49F5.1,WBGene00008205,Sequence name for WBGene00008205(sams-1). History: Renamed on 2016-06-14
T21B10.2,enol-1,1.8406,T21B10.2,WBGene00011884,Sequence name for WBGene00011884(enol-1). History: N.A.
C44B7.10,C44B7.10,1.8171,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
C37A2.7,C37A2.7,1.7373,C37A2.7,WBGene00016493,Public name for WBGene00016493. History: N.A.
T01C3.7,fib-1,1.7262,T01C3.7,WBGene00001423,Sequence name for WBGene00001423(fib-1). History: N.A.
C04F12.4,rpl-14,1.6548,C04F12.4,WBGene00004426,Sequence name for WBGene00004426(rpl-14). History: N.A.
Y69A2AR.18,Y69A2AR.18,1.5127,Y69A2AR.18,WBGene00022089,Public name for WBGene00022089. History: N.A.
F01G4.6,F01G4.6,1.4506,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
F17C11.9,eef-1G,1.3638,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
E04A4.8,rpl-20,1.3119,E04A4.8,WBGene00004432,Sequence name for WBGene00004432(rpl-20). History: N.A.
F02E8.1,asb-2,1.245,F02E8.1,WBGene00000207,Sequence name for WBGene00000207(asb-2). History: N.A.
F36A2.6,rps-15,1.155,F36A2.6,WBGene00004484,Sequence name for WBGene00004484(rps-15). History: N.A.
F54H12.6,eef-1B.1,1.0798,F54H12.6,WBGene00018846,Sequence name for WBGene00018846(eef-1B.1). History: N.A.
