# Table S5. WAGO 22G-RNA Targets,Related to Experimental Procedures,,,
Gene Name,Gene ID,Input,Suggested Match,History
F08G12.1,F08G12.1,F08G12.1,WBGene00008585,Public name for WBGene00008585. History: N.A.
W07E6.5,W07E6.5,W07E6.5,WBGene00021076,Public name for WBGene00021076. History: N.A.
Y57G7A.5,Y57G7A.5,Y57G7A.5,WBGene00021968,Public name for WBGene00021968. History: N.A.
pqn-55,R09E10.7,pqn-55,WBGene00004140,Other name for WBGene00004140(ebax-1). History: Renamed on 2013-07-10
W05F2.7,W05F2.7,W05F2.7,WBGene00021039,"Public name for WBGene00021039. History: Split into W05F2.8(WBGene00195045). History of WBGene00021039: Split into ""WBGene00195045"" on 2010-03-10"
gpb-2,F52A8.2,gpb-2,WBGene00001680,Public name for WBGene00001680. History: Renamed on 2010-12-15
F31D4.5,F31D4.5,F31D4.5,WBGene00009292,Public name for WBGene00009292. History: N.A.
elo-5,F41H10.7,elo-5,WBGene00001243,Public name for WBGene00001243. History: N.A.
T27A3.1,T27A3.1,T27A3.1,WBGene00020838,Sequence name for WBGene00020838(trak-1). History: N.A.
C11H1.7,C11H1.7,C11H1.7,WBGene00007531,Public name for WBGene00007531. History: N.A.
acl-1,F59F4.4,acl-1,WBGene00010339,Public name for WBGene00010339. History: N.A.
C34C12.7,C34C12.7,C34C12.7,WBGene00007926,Public name for WBGene00007926. History: N.A.
C17D12.7,C17D12.7,C17D12.7,WBGene00007640,Sequence name for WBGene00007640(pcmd-1). History: N.A.
F02C12.3,F02C12.3,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
fbxb-11,F45C12.5,fbxb-11,WBGene00018436,"Public name for WBGene00018436. History: Split into F45C12.17(WBGene00269388). History of WBGene00018436: Split into ""WBGene00269388"" on 2016-02-18"
F42H11.1,F42H11.1,F42H11.1,WBGene00009646,Public name for WBGene00009646. History: N.A.
C44E4.5,C44E4.5,C44E4.5,WBGene00016654,Public name for WBGene00016654. History: N.A.
lin-1,C37F5.1,lin-1,WBGene00002990,Public name for WBGene00002990. History: Renamed on 2011-11-08
ZC239.6,ZC239.6,ZC239.6,WBGene00022569,Public name for WBGene00022569. History: N.A.
gcy-28,T01A4.1,gcy-28,WBGene00020131,Public name for WBGene00020131. History: N.A.
W03F11.5,W03F11.5,W03F11.5,WBGene00021008,Public name for WBGene00021008. History: N.A.
R02E12.4,R02E12.4,R02E12.4,WBGene00019828,"Public name for WBGene00019828. History: Split into R02E12.12(WBGene00303425). History of WBGene00019828: Split into ""WBGene00303425"" on 2018-07-18"
fbxa-118,M162.8,fbxa-118,WBGene00010934,Public name for WBGene00010934. History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
ugt-45,Y37E11AR.5,ugt-45,WBGene00021372,Public name for WBGene00021372. History: N.A.
C06B3.7,C06B3.7,C06B3.7,WBGene00007366,Public name for WBGene00007366. History: N.A.
fbxc-23,Y48E1B.11,fbxc-23,WBGene00013009,Public name for WBGene00013009. History: N.A.
B0454.9,B0454.9,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
sdz-37,ZK673.10,sdz-37,WBGene00014064,Public name for WBGene00014064. History: N.A.
lev-11,Y105E8B.1,lev-11,WBGene00002978,Public name for WBGene00002978. History: N.A.
C53B4.6,C53B4.6,C53B4.6,WBGene00008275,Sequence name for WBGene00008275(nstp-1). History: Renamed on 2019-09-11
fbxa-150,Y38H6C.11,fbxa-150,WBGene00012624,Public name for WBGene00012624. History: N.A.
F58D5.5,F58D5.5,F58D5.5,WBGene00010244,Public name for WBGene00010244. History: N.A.
C08A9.9,C08A9.9,C08A9.9,WBGene00015589,Sequence name for WBGene00015589(lido-4). History: N.A.
F55G7.1,F55G7.1,F55G7.1,WBGene00010119,Public name for WBGene00010119. History: N.A.
lnp-1,C05E11.1,lnp-1,WBGene00015492,Public name for WBGene00015492. History: N.A.
K09B11.4,K09B11.4,K09B11.4,WBGene00010711,Public name for WBGene00010711. History: N.A.
C38D4.9,C38D4.9,C38D4.9,WBGene00008008,Sequence name for WBGene00008008(metl-5). History: N.A.
F53B6.7,F53B6.7,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
M01E5.2,M01E5.2,M01E5.2,WBGene00010805,Public name for WBGene00010805. History: N.A.
F26F4.12,F26F4.12,F26F4.12,WBGene00017831,Public name for WBGene00017831. History: N.A.
T05A12.4,T05A12.4,T05A12.4,WBGene00020235,Public name for WBGene00020235. History: N.A.
fbxb-40,M01D1.9,fbxb-40,WBGene00019704,Public name for WBGene00019704. History: N.A.
ZK822.2,ZK822.2,ZK822.2,WBGene00014090,"Public name for WBGene00014090. History: Split into ZK822.6(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30"
fbxb-50,K05F6.2,fbxb-50,WBGene00019413,"Public name for WBGene00019413. History: Split into K05F6.14(WBGene00219239). History of WBGene00019413: Split into ""WBGene00219239"" on 2011-09-19"
Y38F2AR.12,Y38F2AR.12,Y38F2AR.12,WBGene00021430,Public name for WBGene00021430. History: N.A.
C34F6.7,C34F6.7,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
tag-275,C34H3.1,tag-275,WBGene00016423,Public name for WBGene00016423. History: N.A.
T16G12.1,T16G12.1,T16G12.1,WBGene00011803,Public name for WBGene00011803. History: N.A.
VY35H6BL.1,VY35H6BL.1,VY35H6BL.1,WBGene00021342,"Public name for Dead gene WBGene00012160. History of WBGene00012160: Merged into ""WBGene00021342"" on 2013-10-17"
F22G12.1,F22G12.1,F22G12.1,WBGene00009061,"Sequence name for WBGene00009061(pals-14). History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
fbxa-218,Y49E10.17,fbxa-218,WBGene00013036,Public name for WBGene00013036. History: N.A.
sdz-18,F45C12.11,sdz-18,WBGene00018442,Public name for WBGene00018442. History: Renamed on 2005-08-22
Y55B1BR.5,Y55B1BR.5,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
ugt-29,Y49C4A.8,ugt-29,WBGene00021709,Public name for WBGene00021709. History: N.A.
his-18,K06C4.10,his-18,WBGene00001892,Public name for WBGene00001892. History: N.A.
ZK512.4,ZK512.4,ZK512.4,WBGene00013984,Public name for WBGene00013984. History: N.A.
glb-14,F21A3.6,glb-14,WBGene00008996,Public name for WBGene00008996. History: N.A.
msra-1,F43E2.5,msra-1,WBGene00018393,Public name for WBGene00018393. History: N.A.
ubc-15,Y110A2AR.2,ubc-15,WBGene00006710,Public name for WBGene00006710. History: N.A.
T08H10.3,T08H10.3,T08H10.3,WBGene00020370,Public name for WBGene00020370. History: N.A.
T27F6.8,T27F6.8,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
fbxb-64,C43D7.9,fbxb-64,WBGene00008071,Public name for WBGene00008071. History: N.A.
skr-3,F44G3.6,skr-3,WBGene00004809,Public name for WBGene00004809. History: N.A.
K08A2.1,K08A2.1,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
Y75B12B.11,Y75B12B.11,Y75B12B.11,WBGene00013573,Public name for WBGene00013573. History: N.A.
C49A9.10,C49A9.10,C49A9.10,WBGene00016764,Public name for WBGene00016764. History: N.A.
klp-20,Y50D7A.6,klp-20,WBGene00002230,Public name for WBGene00002230. History: N.A.
ZK1053.4,ZK1053.4,ZK1053.4,WBGene00014199,Public name for WBGene00014199. History: N.A.
nhr-47,C24G6.4,nhr-47,WBGene00003637,Public name for WBGene00003637. History: Renamed on 2005-12-15
irx-1,C36F7.1,irx-1,WBGene00007984,Public name for WBGene00007984. History: N.A.
Y37E3.17,Y37E3.17,Y37E3.17,WBGene00021355,Public name for WBGene00021355. History: N.A.
Y40C5A.4,Y40C5A.4,Y40C5A.4,WBGene00021497,Public name for WBGene00021497. History: N.A.
lgc-40,T24D8.1,lgc-40,WBGene00020767,Public name for WBGene00020767. History: N.A.
kqt-1,C25B8.1,kqt-1,WBGene00002233,Public name for WBGene00002233. History: N.A.
eva-1,F32A7.3,eva-1,WBGene00009304,Public name for WBGene00009304. History: Renamed on 2007-10-09
VY35H6BL.2,VY35H6BL.2,VY35H6BL.2,WBGene00021342,"Public name for Dead gene WBGene00012161. History of WBGene00012161: Merged into ""WBGene00021342"" on 2013-10-17"
R04E5.8,R04E5.8,R04E5.8,WBGene00019871,Public name for WBGene00019871. History: N.A.
rsbp-1,T06D10.1,rsbp-1,WBGene00011531,"Public name for WBGene00011531. History: Split into T06D10.8(WBGene00303078). History of WBGene00011531: Split into ""WBGene00303078"" on 2018-03-02"
clec-29,T25E12.9,clec-29,WBGene00012024,Public name for WBGene00012024. History: N.A.
Y94H6A.4,Y94H6A.4,Y94H6A.4,WBGene00022377,Sequence name for WBGene00022377(gpx-4). History: N.A.
C46C11.4,C46C11.4,C46C11.4,WBGene00044567,Public name for WBGene00044567. History: N.A.
clec-69,F56D6.15,clec-69,WBGene00044642,Public name for WBGene00044642. History: N.A.
D2096.11,D2096.11,D2096.11,WBGene00017078,Public name for WBGene00017078. History: N.A.
F21F8.11,F21F8.11,F21F8.11,WBGene00017681,Sequence name for WBGene00017681(slc-17.5). History: N.A.
zfp-1,F54F2.2,zfp-1,WBGene00006975,Public name for WBGene00006975. History: N.A.
T28H10.1,T28H10.1,T28H10.1,WBGene00012142,Public name for WBGene00012142. History: N.A.
Y73E7A.3,Y73E7A.3,Y73E7A.3,WBGene00022270,Public name for WBGene00022270. History: N.A.
F19B2.6,F19B2.6,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
C24D10.5,C24D10.5,C24D10.5,WBGene00016056,Public name for WBGene00016056. History: N.A.
F10C2.5,F10C2.5,F10C2.5,WBGene00008646,Public name for WBGene00008646. History: N.A.
stn-1,F30A10.8,stn-1,WBGene00006062,Public name for WBGene00006062. History: N.A.
F21C3.6,F21C3.6,F21C3.6,WBGene00009005,Public name for WBGene00009005. History: N.A.
oac-55,Y39H10A.2,oac-55,WBGene00021479,Public name for WBGene00021479. History: N.A.
C08A9.8,C08A9.8,C08A9.8,WBGene00015588,Sequence name for WBGene00015588(lido-3). History: N.A.
bath-28,F14D2.13,bath-28,WBGene00017461,Public name for WBGene00017461. History: N.A.
elc-1,Y82E9BR.15,elc-1,WBGene00001236,Public name for WBGene00001236. History: N.A.
K03H6.5,K03H6.5,K03H6.5,WBGene00019370,Public name for WBGene00019370. History: N.A.
T25D3.3,T25D3.3,T25D3.3,WBGene00020797,Public name for WBGene00020797. History: N.A.
tra-3,LLC1.1,tra-3,WBGene00006606,Public name for WBGene00006606. History: N.A.
F53F8.3,F53F8.3,F53F8.3,WBGene00010000,Public name for WBGene00010000. History: N.A.
pad-2,K10G9.3,pad-2,WBGene00010757,Public name for WBGene00010757. History: Renamed on 2020-06-09
T16H12.13,T16H12.13,T16H12.13,WBGene00194725,Public name for WBGene00194725. History: N.A.
fbxc-40,C32B5.1,fbxc-40,WBGene00016295,Public name for WBGene00016295. History: N.A.
C18H2.1,C18H2.1,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
T01H8.2,T01H8.2,T01H8.2,WBGene00011353,Sequence name for WBGene00011353(serr-1). History: N.A.
srd-32,T19H12.5,srd-32,WBGene00005110,Public name for WBGene00005110. History: N.A.
R05H11.2,R05H11.2,R05H11.2,WBGene00019908,Public name for WBGene00019908. History: N.A.
C24H12.1,C24H12.1,C24H12.1,WBGene00016071,"Public name for WBGene00016071. History: Split into C24H12.19(WBGene00235338). History of WBGene00016071: Split into ""WBGene00235338"" on 2013-09-12"
F25H2.2,F25H2.2,F25H2.2,WBGene00009116,Sequence name for WBGene00009116(snx-27). History: N.A.
ceh-41,T26C11.5,ceh-41,WBGene00000462,Public name for WBGene00000462. History: N.A.
gcy-23,T26C12.4,gcy-23,WBGene00001548,Public name for WBGene00001548. History: N.A.
H04D03.4,H04D03.4,H04D03.4,WBGene00010365,"Public name for WBGene00010365. History: Split into H04D03.7(WBGene00305993). History of WBGene00010365: Split into ""WBGene00305993"" on 2020-01-20"
Y75B8A.19,Y75B8A.19,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
F44F1.6,F44F1.6,F44F1.6,WBGene00009698,Public name for WBGene00009698. History: N.A.
T25D1.1,T25D1.1,T25D1.1,WBGene00020793,Public name for WBGene00020793. History: N.A.
F38E9.4,F38E9.4,F38E9.4,WBGene00018186,Public name for WBGene00018186. History: N.A.
F59B1.10,F59B1.10,F59B1.10,WBGene00019101,Public name for WBGene00019101. History: N.A.
btb-11,M01D1.3,btb-11,WBGene00019700,Public name for WBGene00019700. History: N.A.
T10E9.8,T10E9.8,T10E9.8,WBGene00020418,Public name for WBGene00020418. History: N.A.
spe-41,K01A11.4,spe-41,WBGene00004976,Public name for WBGene00004976. History: N.A.
F58E1.13,F58E1.13,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
toe-4,W02A11.3,toe-4,WBGene00012194,Public name for WBGene00012194. History: N.A.
Y16B4A.2,Y16B4A.2,Y16B4A.2,WBGene00012445,Public name for WBGene00012445. History: N.A.
F10E9.3,F10E9.3,F10E9.3,WBGene00017355,Public name for WBGene00017355. History: N.A.
rpi-2,K08D12.2,rpi-2,WBGene00019536,Public name for WBGene00019536. History: N.A.
C40A11.6,C40A11.6,C40A11.6,WBGene00016549,Public name for WBGene00016549. History: N.A.
egl-9,F22E12.4,egl-9,WBGene00001178,Public name for WBGene00001178. History: N.A.
ZK1055.5,ZK1055.5,ZK1055.5,WBGene00022846,Public name for WBGene00022846. History: N.A.
C41C4.1,C41C4.1,C41C4.1,WBGene00008050,Sequence name for WBGene00008050(chst-1). History: N.A.
C17G1.5,C17G1.5,C17G1.5,WBGene00007652,Public name for WBGene00007652. History: N.A.
F44G4.3,F44G4.3,F44G4.3,WBGene00009713,Public name for WBGene00009713. History: N.A.
K11H12.1,K11H12.1,K11H12.1,WBGene00019658,Public name for WBGene00019658. History: N.A.
tbc-6,C04A2.1,tbc-6,WBGene00015410,Public name for WBGene00015410. History: N.A.
F40F11.3,F40F11.3,F40F11.3,WBGene00009588,Public name for WBGene00009588. History: N.A.
ZK666.1,ZK666.1,ZK666.1,WBGene00014041,Public name for WBGene00014041. History: N.A.
F37D6.3,F37D6.3,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
Y75B8A.31,Y75B8A.31,Y75B8A.31,WBGene00013561,Public name for WBGene00013561. History: N.A.
Y71H2B.8,Y71H2B.8,Y71H2B.8,WBGene00022197,Public name for WBGene00022197. History: N.A.
Y73F8A.33,Y73F8A.33,Y73F8A.33,WBGene00013537,Public name for WBGene00013537. History: N.A.
C16H3.3,C16H3.3,C16H3.3,WBGene00015868,Public name for WBGene00015868. History: N.A.
F23H12.3,F23H12.3,F23H12.3,WBGene00009093,Public name for WBGene00009093. History: N.A.
C06H2.7,C06H2.7,C06H2.7,WBGene00007391,Public name for WBGene00007391. History: N.A.
fbxa-3,T08E11.7,fbxa-3,WBGene00020363,Public name for WBGene00020363. History: N.A.
F57A10.2,F57A10.2,F57A10.2,WBGene00010184,Public name for WBGene00010184. History: N.A.
Y39A1A.9,Y39A1A.9,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
Y46G5A.8,Y46G5A.8,Y46G5A.8,WBGene00012900,Public name for WBGene00012900. History: N.A.
C06C3.8,C06C3.8,C06C3.8,WBGene00007378,Sequence name for WBGene00007378(lido-17). History: N.A.
K10B4.3,K10B4.3,K10B4.3,WBGene00019615,Public name for WBGene00019615. History: N.A.
fbxb-18,F58E1.8,fbxb-18,WBGene00019039,Public name for WBGene00019039. History: N.A.
C33D9.3,C33D9.3,C33D9.3,WBGene00007898,Public name for WBGene00007898. History: N.A.
ZC204.17,ZC204.17,ZC204.17,WBGene00194714,Public name for WBGene00194714. History: N.A.
W02A2.8,W02A2.8,W02A2.8,WBGene00012191,Public name for WBGene00012191. History: N.A.
sdz-25,M116.4,sdz-25,WBGene00019791,Public name for WBGene00019791. History: Renamed on 2005-12-13
let-756,C05D11.4,let-756,WBGene00002881,Public name for WBGene00002881. History: N.A.
B0205.8,B0205.8,B0205.8,WBGene00015022,Public name for WBGene00015022. History: N.A.
T07D3.3,T07D3.3,T07D3.3,WBGene00020306,Public name for WBGene00020306. History: N.A.
odr-1,R01E6.1,odr-1,WBGene00003848,Public name for WBGene00003848. History: N.A.
Y47G6A.5,Y47G6A.5,Y47G6A.5,WBGene00021635,Public name for WBGene00021635. History: N.A.
C44C1.1,C44C1.1,C44C1.1,WBGene00016641,Public name for WBGene00016641. History: N.A.
Y50D4A.5,Y50D4A.5,Y50D4A.5,WBGene00021739,Public name for WBGene00021739. History: N.A.
F58H1.3,F58H1.3,F58H1.3,WBGene00010286,"Public name for WBGene00010286. History: Split into F58H1.8(WBGene00138720). History of WBGene00010286: Split into ""WBGene00138720"" on 2008-09-25"
C24G6.6,C24G6.6,C24G6.6,WBGene00016061,Sequence name for WBGene00016061(hpo-15). History: N.A.
Y23H5A.4,Y23H5A.4,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
Y37D8A.25,Y37D8A.25,Y37D8A.25,WBGene00012560,Public name for WBGene00012560. History: N.A.
K09F6.6,K09F6.6,K09F6.6,WBGene00019589,"Public name for WBGene00019589. History: Split into K09F6.15(WBGene00271744). History of WBGene00019589: Split into ""WBGene00271744"" on 2017-06-29"
nhr-88,K08A2.5,nhr-88,WBGene00003678,Public name for WBGene00003678. History: N.A.
kal-1,K03D10.1,kal-1,WBGene00002181,Public name for WBGene00002181. History: N.A.
F10G8.9,F10G8.9,F10G8.9,WBGene00008667,Public name for WBGene00008667. History: N.A.
K01G12.3,K01G12.3,K01G12.3,WBGene00010483,Public name for WBGene00010483. History: N.A.
Y60A3A.14,Y60A3A.14,Y60A3A.14,WBGene00013362,Sequence name for WBGene00013362(algn-7). History: N.A.
Y51H7C.12,Y51H7C.12,Y51H7C.12,WBGene00021790,Public name for WBGene00021790. History: N.A.
Y47D3A.1,Y47D3A.1,Y47D3A.1,WBGene00012922,Public name for WBGene00012922. History: N.A.
gpa-1,T19C4.6,gpa-1,WBGene00001663,Public name for WBGene00001663. History: N.A.
Y105E8A.1,Y105E8A.1,Y105E8A.1,WBGene00013666,Public name for WBGene00013666. History: N.A.
grl-27,F40C5.3,grl-27,WBGene00001736,Public name for WBGene00001736. History: N.A.
T22E7.1,T22E7.1,T22E7.1,WBGene00020693,Sequence name for WBGene00020693(lron-8). History: N.A.
ugt-40,F10D2.5,ugt-40,WBGene00017331,Public name for WBGene00017331. History: N.A.
Y32G9A.10,Y32G9A.10,Y32G9A.10,WBGene00044517,"Public name for Dead gene WBGene00021307. History of WBGene00021307: Merged into ""WBGene00044517"" on 2015-07-23"
tag-163,M01E11.7,tag-163,WBGene00006508,Other name for WBGene00006508(tns-1). History: Renamed on 2015-11-05
D2045.8,D2045.8,D2045.8,WBGene00008425,Public name for WBGene00008425. History: N.A.
C27F2.8,C27F2.8,C27F2.8,WBGene00016170,Sequence name for WBGene00016170(tmem-131). History: N.A.
ZC123.4,ZC123.4,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
Y55F3C.9,Y55F3C.9,Y55F3C.9,WBGene00044459,Public name for WBGene00044459. History: N.A.
F35F10.12,F35F10.12,F35F10.12,WBGene00018061,Sequence name for WBGene00018061(arrd-19). History: N.A.
R11G10.3,R11G10.3,R11G10.3,WBGene00044045,Public name for WBGene00044045. History: N.A.
clp-6,Y77E11A.10,clp-6,WBGene00000546,"Public name for WBGene00000546. History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
ZC123.1,ZC123.1,ZC123.1,WBGene00022517,Public name for WBGene00022517. History: N.A.
C30B5.5,C30B5.5,C30B5.5,WBGene00016246,"Sequence name for WBGene00016246(daf-37). History: Split into C30B5.17(WBGene00269379). History of WBGene00016246: Renamed on 2012-06-29; Split into ""WBGene00269379"" on 2016-02-18"
fbxa-42,Y54F10BL.1,fbxa-42,WBGene00044676,Public name for WBGene00044676. History: N.A.
ZC504.3,ZC504.3,ZC504.3,WBGene00013917,Sequence name for WBGene00013917(cdk-11.2). History: N.A.
T10D4.3,T10D4.3,T10D4.3,WBGene00020407,Sequence name for WBGene00020407(chil-24). History: N.A.
fbxa-97,C18B12.5,fbxa-97,WBGene00007667,Public name for WBGene00007667. History: N.A.
H36L18.2,H36L18.2,H36L18.2,WBGene00010424,Sequence name for WBGene00010424(lep-5). History: N.A.
math-7,C16C4.12,math-7,WBGene00015836,Public name for WBGene00015836. History: N.A.
pmk-2,F42G8.3,pmk-2,WBGene00004056,Public name for WBGene00004056. History: N.A.
ubh-1,F46E10.8,ubh-1,WBGene00006721,Public name for WBGene00006721. History: N.A.
tax-6,C02F4.2,tax-6,WBGene00006527,Public name for WBGene00006527. History: N.A.
K09D9.11,K09D9.11,K09D9.11,WBGene00019568,Public name for WBGene00019568. History: N.A.
C25E10.8,C25E10.8,C25E10.8,WBGene00016097,Public name for WBGene00016097. History: N.A.
Y61A9LA.9,Y61A9LA.9,Y61A9LA.9,WBGene00022020,Sequence name for WBGene00022020(hpo-39). History: N.A.
nhr-229,Y116A8C.18,nhr-229,WBGene00013795,Public name for WBGene00013795. History: N.A.
K10D2.8,K10D2.8,K10D2.8,WBGene00189952,Public name for WBGene00189952. History: N.A.
lips-11,T13B5.5,lips-11,WBGene00020472,Public name for WBGene00020472. History: N.A.
C53D5.5,C53D5.5,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
H04D03.3,H04D03.3,H04D03.3,WBGene00010364,Sequence name for WBGene00010364(ecps-2). History: N.A.
Y106G6A.1,Y106G6A.1,Y106G6A.1,WBGene00013694,Sequence name for WBGene00013694(mekk-3). History: N.A.
nhr-204,R02C2.4,nhr-204,WBGene00019816,Public name for WBGene00019816. History: N.A.
Y23H5B.7,Y23H5B.7,Y23H5B.7,WBGene00021278,Public name for WBGene00021278. History: N.A.
AC8.12,AC8.12,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
ccb-1,T28F2.5,ccb-1,WBGene00000368,Public name for WBGene00000368. History: Renamed on 2015-03-05
F15A4.2,F15A4.2,F15A4.2,WBGene00008838,Public name for WBGene00008838. History: N.A.
F29D10.3,F29D10.3,F29D10.3,WBGene00009252,Public name for WBGene00009252. History: N.A.
T24A6.20,T24A6.20,T24A6.20,WBGene00020756,Public name for WBGene00020756. History: N.A.
sig-7,F39H2.2,sig-7,WBGene00000890,Public name for WBGene00000890. History: Renamed on 2006-01-05
B0454.8,B0454.8,B0454.8,WBGene00015199,Public name for WBGene00015199. History: N.A.
Y53F4B.43,Y53F4B.43,Y53F4B.43,WBGene00044726,Public name for WBGene00044726. History: N.A.
fbxa-120,C33E10.2,fbxa-120,WBGene00016346,Public name for WBGene00016346. History: N.A.
R06A10.1,R06A10.1,R06A10.1,WBGene00019909,Public name for WBGene00019909. History: N.A.
C01A2.6,C01A2.6,C01A2.6,WBGene00007218,Public name for WBGene00007218. History: N.A.
hmit-1.3,M01F1.5,hmit-1.3,WBGene00010811,Public name for WBGene00010811. History: N.A.
F12E12.6,F12E12.6,F12E12.6,WBGene00017407,Public name for WBGene00017407. History: N.A.
D2024.10,D2024.10,D2024.10,WBGene00044505,Public name for WBGene00044505. History: N.A.
grk-2,W02B3.2,grk-2,WBGene00001709,Public name for WBGene00001709. History: N.A.
Y47G6A.7,Y47G6A.7,Y47G6A.7,WBGene00021637,Public name for WBGene00021637. History: N.A.
K09H11.11,K09H11.11,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
Y116A8B.5,Y116A8B.5,Y116A8B.5,WBGene00013782,Sequence name for WBGene00013782(npr-32). History: N.A.
kel-8,W02G9.2,kel-8,WBGene00020952,Public name for WBGene00020952. History: N.A.
H17B01.1,H17B01.1,H17B01.1,WBGene00019207,Sequence name for WBGene00019207(fgt-1). History: N.A.
Y34F4.5,Y34F4.5,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
R09H3.1,R09H3.1,R09H3.1,,Sequence name for Suppressed gene WBGene00019990. Molecular name for Suppressed gene WBGene00019990. Public name for Suppressed gene WBGene00019990. History of WBGene00019990: Suppressed on 2012-09-04. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F28H6.8,F28H6.8,F28H6.8,WBGene00044137,Public name for WBGene00044137. History: N.A.
F44G4.2,F44G4.2,F44G4.2,WBGene00009712,Public name for WBGene00009712. History: N.A.
iff-2,F54C9.1,iff-2,WBGene00002065,Public name for WBGene00002065. History: N.A.
Y87G2A.17,Y87G2A.17,Y87G2A.17,WBGene00013603,Sequence name for WBGene00013603(soem-1). History: N.A.
acl-7,Y46G5A.21,acl-7,WBGene00012911,Public name for WBGene00012911. History: N.A.
fbxa-20,Y82E9BL.16,fbxa-20,WBGene00022332,Public name for WBGene00022332. History: N.A.
nhr-228,T27B7.6,nhr-228,WBGene00020852,Public name for WBGene00020852. History: N.A.
D1014.4,D1014.4,D1014.4,WBGene00017017,Public name for WBGene00017017. History: N.A.
F39G3.2,F39G3.2,F39G3.2,WBGene00018207,Public name for WBGene00018207. History: N.A.
Y57G11C.56,Y57G11C.56,Y57G11C.56,WBGene00045282,Public name for WBGene00045282. History: N.A.
F59B2.9,F59B2.9,F59B2.9,WBGene00010311,Public name for WBGene00010311. History: N.A.
F46F5.16,F46F5.16,F46F5.16,WBGene00018507,Public name for WBGene00018507. History: N.A.
ZK250.2,ZK250.2,ZK250.2,WBGene00022685,Public name for WBGene00022685. History: N.A.
Y43F11A.4,Y43F11A.4,Y43F11A.4,WBGene00012844,Public name for WBGene00012844. History: N.A.
gcy-18,ZK896.8,gcy-18,WBGene00001543,Public name for WBGene00001543. History: N.A.
fbxa-136,C18D4.2,fbxa-136,WBGene00007672,Public name for WBGene00007672. History: N.A.
xol-1,C18A11.5,xol-1,WBGene00006962,Public name for WBGene00006962. History: N.A.
F22F7.7,F22F7.7,F22F7.7,WBGene00017724,Public name for WBGene00017724. History: N.A.
M70.4,M70.4,M70.4,WBGene00019786,Public name for WBGene00019786. History: N.A.
Y54G2A.21,Y54G2A.21,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
rps-4,Y43B11AR.4,rps-4,WBGene00004473,Public name for WBGene00004473. History: N.A.
F49C5.3,F49C5.3,F49C5.3,WBGene00009866,Public name for WBGene00009866. History: N.A.
T12D8.5,T12D8.5,T12D8.5,WBGene00011733,Public name for WBGene00011733. History: N.A.
C29H12.2,C29H12.2,C29H12.2,WBGene00016235,Public name for WBGene00016235. History: N.A.
wars-1,Y80D3A.1,wars-1,WBGene00006945,Public name for WBGene00006945. History: Renamed on 2010-01-29
pqn-92,Y75B8A.27,pqn-92,WBGene00004172,"Public name for WBGene00004172. History: Split into Y75B8A.39(WBGene00023483). History of WBGene00004172: Split into ""WBGene00023483"" on 2004-08-11"
fbxb-34,W08F4.2,fbxb-34,WBGene00021092,Public name for WBGene00021092. History: N.A.
cwn-1,K10B4.6,cwn-1,WBGene00000857,Public name for WBGene00000857. History: N.A.
Y73B6BL.27,Y73B6BL.27,Y73B6BL.27,WBGene00022248,Public name for WBGene00022248. History: N.A.
pho-11,C05C10.4,pho-11,WBGene00007331,Public name for WBGene00007331. History: N.A.
