# Table S3. The Overlaps Between Heritable Dysregulated Genes and P Granule Bound Transcripts
P Granule Bound Transcripts,Input,Suggested Match,History
Y110A2AR.1,Y110A2AR.1,WBGene00022452,Public name for WBGene00022452. History: N.A.
T09A12.4,T09A12.4,WBGene00003656,Sequence name for WBGene00003656(nhr-66). History: N.A.
F12F6.6,F12F6.6,WBGene00004755,Sequence name for WBGene00004755(sec-24.1). History: N.A.
Y116A8C.26,Y116A8C.26,WBGene00013803,Sequence name for WBGene00013803(snx-13). History: N.A.
T07F8.3,T07F8.3,WBGene00001597,Sequence name for WBGene00001597(gld-3). History: N.A.
M03F8.2,M03F8.2,WBGene00004206,Sequence name for WBGene00004206(pst-1). History: Renamed on 2009-12-03
K08F9.2,K08F9.2,WBGene00010685,Sequence name for WBGene00010685(aipl-1). History: Renamed on 2009-02-16
W02A2.7,W02A2.7,WBGene00003230,Sequence name for WBGene00003230(mex-5). History: N.A.
C27F2.8,C27F2.8,WBGene00016170,Sequence name for WBGene00016170(tmem-131). History: N.A.
Y25C1A.5,Y25C1A.5,WBGene00021292,Sequence name for WBGene00021292(copb-1). History: N.A.
F40G9.3,F40G9.3,WBGene00006715,Sequence name for WBGene00006715(ubc-20). History: N.A.
Y87G2A.8,Y87G2A.8,WBGene00013597,Sequence name for WBGene00013597(gpi-1). History: N.A.
Y47G6A.6,Y47G6A.6,WBGene00021636,Sequence name for WBGene00021636(pcaf-1). History: N.A.
T05H10.1,T05H10.1,WBGene00011507,Public name for WBGene00011507. History: N.A.
F54D12.6,F54D12.6,WBGene00018819,Sequence name for WBGene00018819(rog-1). History: Renamed on 2011-05-06
Y71G12A.2,Y71G12A.2,WBGene00022138,Sequence name for WBGene00022138(trpp-10). History: N.A.
ZK930.1,ZK930.1,WBGene00014151,Sequence name for WBGene00014151(vps-15). History: N.A.
C47D12.2,C47D12.2,WBGene00008136,Public name for WBGene00008136. History: N.A.
Y66H1B.2,Y66H1B.2,WBGene00022048,Sequence name for WBGene00022048(fln-1). History: N.A.
T21H3.3,T21H3.3,WBGene00000552,Sequence name for WBGene00000552(cmd-1). History: N.A.
C42D4.8,C42D4.8,WBGene00004411,Sequence name for WBGene00004411(rpc-1). History: N.A.
F59B8.2,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
K07C5.8,K07C5.8,WBGene00010631,Sequence name for WBGene00010631(cash-1). History: N.A.
Y17G7B.21,Y17G7B.21,WBGene00012472,Public name for WBGene00012472. History: N.A.
C18G1.5,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
C26E6.9,C26E6.9,WBGene00004782,Sequence name for WBGene00004782(set-2). History: N.A.
C06A5.6,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
Y55F3BR.6,Y55F3BR.6,WBGene00021943,Public name for WBGene00021943. History: N.A.
F25D7.4,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
R186.3,R186.3,WBGene00011306,Public name for WBGene00011306. History: N.A.
ZC168.4,ZC168.4,WBGene00000865,Sequence name for WBGene00000865(cyb-1). History: N.A.
F18A11.1,F18A11.1,WBGene00004242,Sequence name for WBGene00004242(puf-6). History: N.A.
C12D8.1,C12D8.1,WBGene00007534,Sequence name for WBGene00007534(fubl-1). History: Renamed on 2017-12-07
F35G2.1,F35G2.1,WBGene00009435,Public name for WBGene00009435. History: N.A.
F40H3.1,F40H3.1,WBGene00018249,Public name for WBGene00018249. History: N.A.
M01A10.3,M01A10.3,WBGene00019693,Sequence name for WBGene00019693(ostd-1). History: N.A.
K01C8.3,K01C8.3,WBGene00006562,Sequence name for WBGene00006562(tdc-1). History: N.A.
T22A3.3,T22A3.3,WBGene00003083,Sequence name for WBGene00003083(lst-1). History: N.A.
F59B2.6,F59B2.6,WBGene00006977,Sequence name for WBGene00006977(zif-1). History: N.A.
F54D5.14,F54D5.14,WBGene00010056,Sequence name for WBGene00010056(smc-6). History: N.A.
F37C12.2,F37C12.2,WBGene00018150,Sequence name for WBGene00018150(epg-4). History: Renamed on 2010-06-21
F56A11.5,F56A11.5,WBGene00018925,Public name for WBGene00018925. History: N.A.
ZC308.1,ZC308.1,WBGene00001596,Sequence name for WBGene00001596(gld-2). History: N.A.
C25A1.1,C25A1.1,WBGene00007705,Public name for WBGene00007705. History: N.A.
F55B12.3,F55B12.3,WBGene00004767,Sequence name for WBGene00004767(sel-10). History: N.A.
C14C10.5,C14C10.5,WBGene00007588,Public name for WBGene00007588. History: N.A.
E04D5.1,E04D5.1,WBGene00008480,Sequence name for WBGene00008480(eif-2A). History: N.A.
R11H6.2,R11H6.2,WBGene00011250,Public name for WBGene00011250. History: N.A.
ZK973.3,ZK973.3,WBGene00022832,Sequence name for WBGene00022832(pdp-1). History: N.A.
Y87G2A.5,Y87G2A.5,WBGene00006936,Sequence name for WBGene00006936(glp-4). History: Renamed on 2010-01-29; Renamed on 2015-10-07
F56D2.7,F56D2.7,WBGene00000420,Sequence name for WBGene00000420(ced-6). History: N.A.
F25D1.1,F25D1.1,WBGene00006460,Sequence name for WBGene00006460(ppm-1.A). History: Renamed on 2011-06-10; Renamed on 2018-05-24
C32E8.10,C32E8.10,WBGene00006751,Sequence name for WBGene00006751(unc-11). History: Renamed on 2015-03-05
Y32F6A.3,Y32F6A.3,WBGene00012528,Sequence name for WBGene00012528(pap-1). History: N.A.
C38C3.5,C38C3.5,WBGene00006794,"Sequence name for WBGene00006794(unc-60). History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
ZK180.4,ZK180.4,WBGene00022678,Sequence name for WBGene00022678(sar-1). History: N.A.
ZK353.8,ZK353.8,WBGene00022703,Sequence name for WBGene00022703(ubxn-4). History: N.A.
F32D1.10,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
F35G12.3,F35G12.3,WBGene00004762,Sequence name for WBGene00004762(sel-5). History: N.A.
C07F11.1,C07F11.1,WBGene00006593,Sequence name for WBGene00006593(tol-1). History: N.A.
F37D6.2,F37D6.2,WBGene00009508,Sequence name for WBGene00009508(row-1). History: N.A.
C05C8.6,C05C8.6,WBGene00015463,Sequence name for WBGene00015463(hpo-9). History: N.A.
B0414.5,B0414.5,WBGene00000772,Sequence name for WBGene00000772(cpb-3). History: N.A.
F44F1.7,F44F1.7,WBGene00006902,"Sequence name for WBGene00006902(vet-6). History: N.A.. Public name for Dead gene WBGene00009699. History of WBGene00009699: Merged into ""WBGene00006902"" on 2004-07-16"
Y65B4BL.5,Y65B4BL.5,WBGene00022037,Sequence name for WBGene00022037(acs-13). History: N.A.
B0393.3,B0393.3,WBGene00007168,Public name for WBGene00007168. History: N.A.
Y48B6A.14,Y48B6A.14,WBGene00001971,Sequence name for WBGene00001971(hmg-1.1). History: N.A.
C08B6.7,C08B6.7,WBGene00007428,"Sequence name for WBGene00007428(wdr-20). History: Split into C08B6.18(WBGene00303036). History of WBGene00007428: Renamed on 2013-07-04; Split into ""WBGene00303036"" on 2018-03-02"
B0336.6,B0336.6,WBGene00015146,Sequence name for WBGene00015146(abi-1). History: N.A.
CD4.6,CD4.6,WBGene00003927,Sequence name for WBGene00003927(pas-6). History: N.A.
C14B9.4,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
Y54F10AL.2,Y54F10AL.2,WBGene00004884,"Sequence name for WBGene00004884(smg-6). History: Renamed on 2008-01-10. Public name for Dead gene WBGene00001339. History of WBGene00001339: Merged into ""WBGene00004884"" on 2008-01-10"
K04D7.5,K04D7.5,WBGene00001653,Sequence name for WBGene00001653(gon-4). History: N.A.
F12F6.5,F12F6.5,WBGene00006406,Sequence name for WBGene00006406(srgp-1). History: N.A.
C17H12.2,C17H12.2,WBGene00015928,Public name for WBGene00015928. History: N.A.
C25A1.5,C25A1.5,WBGene00007707,Sequence name for WBGene00007707(fath-1). History: N.A.
T05F1.1,T05F1.1,WBGene00011488,Sequence name for WBGene00011488(nra-2). History: N.A.
Y47D9A.1,Y47D9A.1,WBGene00021628,"Public name for WBGene00021628. History: Split into Y47D9A.7(WBGene00303090). History of WBGene00021628: Split into ""WBGene00303090"" on 2018-03-02"
F56A11.1,F56A11.1,WBGene00001579,Sequence name for WBGene00001579(gex-2). History: N.A.
F55G1.2,F55G1.2,WBGene00001933,Sequence name for WBGene00001933(his-59). History: N.A.
F20D1.3,F20D1.3,WBGene00008975,Public name for WBGene00008975. History: N.A.
F58D5.5,F58D5.5,WBGene00010244,Public name for WBGene00010244. History: N.A.
ZK524.4,ZK524.4,WBGene00013994,Public name for WBGene00013994. History: N.A.
F52A8.6,F52A8.6,WBGene00009919,Sequence name for WBGene00009919(kbrl-1). History: N.A.
R07G3.1,R07G3.1,WBGene00000390,Sequence name for WBGene00000390(cdc-42). History: N.A.
Y75B12B.2,Y75B12B.2,WBGene00000883,Sequence name for WBGene00000883(cyn-7). History: N.A.
F32E10.4,F32E10.4,WBGene00002074,Sequence name for WBGene00002074(ima-3). History: N.A.
K08B4.1,K08B4.1,WBGene00002245,Sequence name for WBGene00002245(lag-1). History: N.A.
T05E11.3,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
T22F3.3,T22F3.3,WBGene00020696,Sequence name for WBGene00020696(pygl-1). History: N.A.
F01G4.6,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
T22D1.4,T22D1.4,WBGene00020683,Sequence name for WBGene00020683(ribo-1). History: N.A.
Y71F9AM.6,Y71F9AM.6,WBGene00022122,Sequence name for WBGene00022122(trap-1). History: N.A.
F22B5.7,F22B5.7,WBGene00006994,Sequence name for WBGene00006994(zyg-9). History: N.A.
C25A1.8,C25A1.8,WBGene00007709,Sequence name for WBGene00007709(clec-87). History: Renamed on 2006-06-15
F29F11.6,F29F11.6,WBGene00001747,Sequence name for WBGene00001747(gsp-1). History: N.A.
C01G8.9,C01G8.9,WBGene00002717,Sequence name for WBGene00002717(let-526). History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
F30F8.8,F30F8.8,WBGene00006386,Sequence name for WBGene00006386(taf-5). History: N.A.
Y51H1A.4,Y51H1A.4,WBGene00013095,Sequence name for WBGene00013095(ing-3). History: N.A.
H34C03.2,H34C03.2,WBGene00019259,Sequence name for WBGene00019259(usp-4). History: Renamed on 2022-10-03
C26H9A.1,C26H9A.1,WBGene00006916,Sequence name for WBGene00006916(vha-7). History: N.A.
B0393.2,B0393.2,WBGene00007167,Sequence name for WBGene00007167(rbg-3). History: Renamed on 2008-06-23
F13D12.5,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
F29C12.3,F29C12.3,WBGene00009245,Sequence name for WBGene00009245(rict-1). History: Renamed on 2009-04-22
F30F8.1,F30F8.1,WBGene00009270,Public name for WBGene00009270. History: N.A.
Y108G3AL.1,Y108G3AL.1,WBGene00000838,Sequence name for WBGene00000838(cul-3). History: N.A.
C34E10.6,C34E10.6,WBGene00000229,Sequence name for WBGene00000229(atp-2). History: N.A.
Y47D3A.6,Y47D3A.6,WBGene00006604,Sequence name for WBGene00006604(tra-1). History: N.A.
T06E6.2,T06E6.2,WBGene00000868,Sequence name for WBGene00000868(cyb-3). History: N.A.
F26E4.11,F26E4.11,WBGene00009164,Sequence name for WBGene00009164(hrdl-1). History: N.A.
T27E9.1,T27E9.1,WBGene00006439,Sequence name for WBGene00006439(ant-1.1). History: Renamed on 2008-06-04; Renamed on 2014-03-03
C23G10.7,C23G10.7,WBGene00016014,Public name for WBGene00016014. History: N.A.
Y41D4B.19,Y41D4B.19,WBGene00003794,Sequence name for WBGene00003794(npp-8). History: N.A.
T24D1.1,T24D1.1,WBGene00005023,"Sequence name for WBGene00005023(sqv-5). History: Split into T24D1.7(WBGene00303082). History of WBGene00005023: Split into ""WBGene00303082"" on 2018-03-02"
C07G2.2,C07G2.2,WBGene00000223,"Sequence name for WBGene00000223(atf-7). History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
F59B2.7,F59B2.7,WBGene00004269,Sequence name for WBGene00004269(rab-6.1). History: N.A.
T13F2.6,T13F2.6,WBGene00011746,Public name for WBGene00011746. History: N.A.
K07C11.2,K07C11.2,WBGene00000098,Sequence name for WBGene00000098(air-1). History: N.A.
K08B12.5,K08B12.5,WBGene00006437,Sequence name for WBGene00006437(mrck-1). History: Renamed on 2008-07-18
R107.4,R107.4,WBGene00011299,Sequence name for WBGene00011299(ikke-1). History: N.A.
Y41E3.7,Y41E3.7,WBGene00012765,Public name for WBGene00012765. History: N.A.
H27M09.3,H27M09.3,WBGene00019247,Sequence name for WBGene00019247(syp-4). History: N.A.
M01H9.3,M01H9.3,WBGene00019719,Public name for WBGene00019719. History: N.A.
ZK593.6,ZK593.6,WBGene00002981,Sequence name for WBGene00002981(lgg-2). History: Renamed on 2008-02-29
F26F4.7,F26F4.7,WBGene00003598,Sequence name for WBGene00003598(nhl-2). History: N.A.
H06H21.6,H06H21.6,WBGene00019163,"Sequence name for WBGene00019163(ubxn-6). History: Split into H06H21.37(WBGene00302995). History of WBGene00019163: Split into ""WBGene00302995"" on 2018-03-06"
Y59A8B.22,Y59A8B.22,WBGene00013354,Sequence name for WBGene00013354(snx-6). History: N.A.
ZC53.1,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
W03D2.4,W03D2.4,WBGene00003955,Sequence name for WBGene00003955(pcn-1). History: N.A.
C10C6.5,C10C6.5,WBGene00007513,Sequence name for WBGene00007513(wht-2). History: N.A.
M142.6,M142.6,WBGene00010923,Sequence name for WBGene00010923(rle-1). History: N.A.
F54H12.1,F54H12.1,WBGene00000041,Sequence name for WBGene00000041(aco-2). History: N.A.
R10E11.2,R10E11.2,WBGene00006911,Sequence name for WBGene00006911(vha-2). History: N.A.
F58G11.3,F58G11.3,WBGene00010281,Sequence name for WBGene00010281(mip-2). History: Renamed on 2021-12-09
K07C5.1,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
F45E4.2,F45E4.2,WBGene00004046,Sequence name for WBGene00004046(plp-1). History: N.A.
C16C10.3,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
F56C9.10,F56C9.10,WBGene00018953,Public name for WBGene00018953. History: N.A.
F49C12.9,F49C12.9,WBGene00009878,Public name for WBGene00009878. History: N.A.
K10C3.4,K10C3.4,WBGene00010731,Public name for WBGene00010731. History: N.A.
F25B3.1,F25B3.1,WBGene00009098,Sequence name for WBGene00009098(ehbp-1). History: N.A.
W01D2.5,W01D2.5,WBGene00012182,Sequence name for WBGene00012182(osta-3). History: N.A.
Y39A1A.12,Y39A1A.12,WBGene00012650,Sequence name for WBGene00012650(orc-1). History: N.A.
C43E11.3,C43E11.3,WBGene00016603,Sequence name for WBGene00016603(met-1). History: N.A.
Y50D7A.3,Y50D7A.3,WBGene00021753,Public name for WBGene00021753. History: N.A.
Y55F3BL.2,Y55F3BL.2,WBGene00021936,Sequence name for WBGene00021936(zipt-15). History: Renamed on 2017-06-08
Y111B2A.11,Y111B2A.11,WBGene00007030,Sequence name for WBGene00007030(epc-1). History: N.A.
C14A4.3,C14A4.3,WBGene00007556,Sequence name for WBGene00007556(algn-9). History: N.A.
C25D7.6,C25D7.6,WBGene00003155,Sequence name for WBGene00003155(mcm-3). History: N.A.
K08D9.3,K08D9.3,WBGene00000168,Sequence name for WBGene00000168(apx-1). History: N.A.
F56C9.1,F56C9.1,WBGene00001748,Sequence name for WBGene00001748(gsp-2). History: N.A.
Y45F10C.3,Y45F10C.3,WBGene00012879,Sequence name for WBGene00012879(fbxa-215). History: N.A.
C31H1.8,C31H1.8,WBGene00016291,Sequence name for WBGene00016291(oops-1). History: N.A.
D1044.6,D1044.6,WBGene00017031,Public name for WBGene00017031. History: N.A.
T12F5.5,T12F5.5,WBGene00004147,Sequence name for WBGene00004147(larp-5). History: Renamed on 2006-12-05; Renamed on 2008-04-18
Y53C12A.1,Y53C12A.1,WBGene00006940,Sequence name for WBGene00006940(wee-1.3). History: N.A.
C47D12.6,C47D12.6,WBGene00006617,Sequence name for WBGene00006617(tars-1). History: Renamed on 2010-01-29
F14B4.3,F14B4.3,WBGene00008781,Sequence name for WBGene00008781(rpoa-2). History: N.A.
C01G8.1,C01G8.1,WBGene00015312,Public name for WBGene00015312. History: N.A.
C09G12.9,C09G12.9,WBGene00015658,Sequence name for WBGene00015658(tsg-101). History: N.A.
W08E12.7,W08E12.7,WBGene00021088,Public name for WBGene00021088. History: N.A.
C48D1.2,C48D1.2,WBGene00000417,Sequence name for WBGene00000417(ced-3). History: N.A.
F22D6.3,F22D6.3,WBGene00003815,Sequence name for WBGene00003815(nars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-05
F32A11.2,F32A11.2,WBGene00001998,Sequence name for WBGene00001998(hpr-17). History: N.A.
C52E12.3,C52E12.3,WBGene00005025,Sequence name for WBGene00005025(sqv-7). History: N.A.
Y106G6A.2,Y106G6A.2,WBGene00013695,Sequence name for WBGene00013695(epg-8). History: N.A.
Y73B3A.1,Y73B3A.1,WBGene00022203,Public name for WBGene00022203. History: N.A.
T11F8.3,T11F8.3,WBGene00004374,Sequence name for WBGene00004374(rme-2). History: N.A.
F26H9.1,F26H9.1,WBGene00009173,Sequence name for WBGene00009173(prom-1). History: N.A.
F39B2.1,F39B2.1,WBGene00009553,Sequence name for WBGene00009553(hinf-1). History: N.A.
F56A8.3,F56A8.3,WBGene00010139,Public name for WBGene00010139. History: N.A.
Y41D4A.4,Y41D4A.4,WBGene00021506,Public name for WBGene00021506. History: N.A.
Y67D8C.10,Y67D8C.10,WBGene00003153,Sequence name for WBGene00003153(mca-3). History: Renamed on 2007-10-09
R74.8,R74.8,WBGene00011282,Public name for WBGene00011282. History: N.A.
Y38F2AR.9,Y38F2AR.9,WBGene00021427,Sequence name for WBGene00021427(sec-61.B). History: N.A.
T08G5.5,T08G5.5,WBGene00011625,Sequence name for WBGene00011625(vps-39). History: N.A.
M01B12.4,M01B12.4,WBGene00019697,Public name for WBGene00019697. History: N.A.
C47B2.3,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
Y75B8A.24,Y75B8A.24,WBGene00013557,Public name for WBGene00013557. History: N.A.
F10E7.8,F10E7.8,WBGene00017349,Sequence name for WBGene00017349(farl-11). History: N.A.
C30B5.1,C30B5.1,WBGene00077732,"Sequence name for WBGene00077732(szy-4). History: Renamed on 2012-08-15. Public name for Dead gene WBGene00016243. History of WBGene00016243: Merged into ""WBGene00077732"" on 2012-08-15"
F02A9.6,F02A9.6,WBGene00001609,Sequence name for WBGene00001609(glp-1). History: N.A.
Y48B6A.12,Y48B6A.12,WBGene00012983,Sequence name for WBGene00012983(men-1). History: N.A.
ZC518.3,ZC518.3,WBGene00000376,Sequence name for WBGene00000376(ccr-4). History: N.A.
T07A9.6,T07A9.6,WBGene00000913,Sequence name for WBGene00000913(daf-18). History: N.A.
M88.5,M88.5,WBGene00010908,Sequence name for WBGene00010908(imph-1). History: Renamed on 2018-03-19
Y48B6A.11,Y48B6A.11,WBGene00012982,Sequence name for WBGene00012982(jmjd-2). History: N.A.
F56D1.4,F56D1.4,WBGene00000548,Sequence name for WBGene00000548(clr-1). History: N.A.
F40F12.5,F40F12.5,WBGene00009594,Sequence name for WBGene00009594(cyld-1). History: N.A.
F35C8.7,F35C8.7,WBGene00018037,Sequence name for WBGene00018037(chtl-1). History: N.A.
F17C11.9,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
T05E7.3,T05E7.3,WBGene00020259,Public name for WBGene00020259. History: N.A.
D1022.7,D1022.7,WBGene00000101,Sequence name for WBGene00000101(aka-1). History: N.A.
C36A4.9,C36A4.9,WBGene00007969,Sequence name for WBGene00007969(acs-19). History: N.A.
F23B12.5,F23B12.5,WBGene00009082,Sequence name for WBGene00009082(dlat-1). History: N.A.
F20D12.1,F20D12.1,WBGene00017641,Sequence name for WBGene00017641(csr-1). History: N.A.
F20G4.3,F20G4.3,WBGene00003777,Sequence name for WBGene00003777(nmy-2). History: N.A.
F25H2.8,F25H2.8,WBGene00006720,Sequence name for WBGene00006720(ubc-25). History: N.A.
T16G12.5,T16G12.5,WBGene00011806,"Sequence name for WBGene00011806(ekl-6). History: Split into T16G12.12(WBGene00269433). History of WBGene00011806: Split into ""WBGene00269433"" on 2016-04-19"
F26F4.4,F26F4.4,WBGene00017826,Sequence name for WBGene00017826(tag-340). History: N.A.
F46F11.6,F46F11.6,WBGene00018509,Sequence name for WBGene00018509(xrep-4). History: N.A.
ZK742.1,ZK742.1,WBGene00002078,Sequence name for WBGene00002078(xpo-1). History: Renamed on 2008-01-30
M7.1,M7.1,WBGene00002344,Sequence name for WBGene00002344(let-70). History: N.A.
T28F3.3,T28F3.3,WBGene00044067,"Sequence name for WBGene00044067(zipt-7.1). History: Renamed on 2007-08-01; Renamed on 2016-11-29. Public name for Dead gene WBGene00012129. History of WBGene00012129: Merged into ""WBGene00044067"" on 2005-10-05"
T19E10.1,T19E10.1,WBGene00002297,"Sequence name for WBGene00002297(ect-2). History: Renamed on 2005-09-28. Public name for Dead gene WBGene00011845. History of WBGene00011845: Merged into ""WBGene00002297"" on 2005-09-28"
Y20F4.3,Y20F4.3,WBGene00021238,Sequence name for WBGene00021238(gap-3). History: N.A.
F21D5.1,F21D5.1,WBGene00009006,Public name for WBGene00009006. History: N.A.
C10G11.7,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
C17G10.4,C17G10.4,WBGene00000383,"Sequence name for WBGene00000383(cdc-14). History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
E01A2.6,E01A2.6,WBGene00017088,Sequence name for WBGene00017088(akir-1). History: N.A.
T28D9.4,T28D9.4,WBGene00020896,"Public name for WBGene00020896. History: Split into T28D9.16(WBGene00270303). History of WBGene00020896: Split into ""WBGene00270303"" on 2016-07-01"
W08D2.5,W08D2.5,WBGene00012341,Sequence name for WBGene00012341(catp-6). History: N.A.
T12A2.8,T12A2.8,WBGene00020442,Sequence name for WBGene00020442(gen-1). History: N.A.
C18E9.2,C18E9.2,WBGene00007683,Public name for WBGene00007683. History: N.A.
F17C11.10,F17C11.10,WBGene00008921,Sequence name for WBGene00008921(ctf-4). History: N.A.
M28.5,M28.5,WBGene00010896,Sequence name for WBGene00010896(snu-13). History: Renamed on 2005-03-17
Y102A5A.1,Y102A5A.1,WBGene00013606,Sequence name for WBGene00013606(cand-1). History: N.A.
Y76B12C.2,Y76B12C.2,WBGene00022296,Sequence name for WBGene00022296(xpc-1). History: N.A.
R08C7.3,R08C7.3,WBGene00019947,Sequence name for WBGene00019947(htz-1). History: N.A.
F13B12.6,F13B12.6,WBGene00008733,Public name for WBGene00008733. History: N.A.
C01G6.8,C01G6.8,WBGene00000289,Sequence name for WBGene00000289(cam-1). History: N.A.
F58B3.6,F58B3.6,WBGene00010232,Public name for WBGene00010232. History: N.A.
Y51H4A.3,Y51H4A.3,WBGene00004357,Sequence name for WBGene00004357(rho-1). History: N.A.
F59G1.3,F59G1.3,WBGene00006933,Sequence name for WBGene00006933(vps-35). History: N.A.
ZK218.22,ZK218.22,WBGene00077488,Sequence name for WBGene00077488(sls-1.12). History: N.A.
F07H5.5,F07H5.5,WBGene00014309,Public name for WBGene00014309. History: N.A.
D2092.5,D2092.5,WBGene00017066,Sequence name for WBGene00017066(maco-1). History: N.A.
F56D1.7,F56D1.7,WBGene00000935,Sequence name for WBGene00000935(daz-1). History: N.A.
R06F6.1,R06F6.1,WBGene00000411,Sequence name for WBGene00000411(cdl-1). History: N.A.
R11A8.7,R11A8.7,WBGene00011240,Sequence name for WBGene00011240(mask-1). History: N.A.
C13G3.3,C13G3.3,WBGene00007554,Sequence name for WBGene00007554(pptr-2). History: N.A.
C14C10.3,C14C10.3,WBGene00007586,"Sequence name for WBGene00007586(ril-2). History: Split into C14C10.10(WBGene00303041). History of WBGene00007586: Split into ""WBGene00303041"" on 2018-03-02"
F40F9.6,F40F9.6,WBGene00009583,Sequence name for WBGene00009583(aagr-3). History: N.A.
K02A11.1,K02A11.1,WBGene00001582,Sequence name for WBGene00001582(gfi-2). History: N.A.
F13D12.7,F13D12.7,WBGene00001679,"Sequence name for WBGene00001679(gpb-1). History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
C32F10.8,C32F10.8,WBGene00016333,Public name for WBGene00016333. History: N.A.
ZC395.8,ZC395.8,WBGene00022598,Sequence name for WBGene00022598(ztf-8). History: N.A.
C37A2.4,C37A2.4,WBGene00000871,Sequence name for WBGene00000871(cye-1). History: Renamed on 2015-03-05
Y17G7B.7,Y17G7B.7,WBGene00006601,Sequence name for WBGene00006601(tpi-1). History: N.A.
F28B3.8,F28B3.8,WBGene00002075,Sequence name for WBGene00002075(imb-1). History: Renamed on 2015-03-05
W03F8.5,W03F8.5,WBGene00002247,Sequence name for WBGene00002247(lam-1). History: N.A.
Y113G7A.3,Y113G7A.3,WBGene00004754,Sequence name for WBGene00004754(sec-23). History: N.A.
ZK637.8,ZK637.8,WBGene00006768,Sequence name for WBGene00006768(unc-32). History: N.A.
C41D11.3,C41D11.3,WBGene00016562,Public name for WBGene00016562. History: N.A.
Y32H12A.7,Y32H12A.7,WBGene00021315,Public name for WBGene00021315. History: N.A.
Y59A8B.23,Y59A8B.23,WBGene00013355,Sequence name for WBGene00013355(gck-3). History: N.A.
Y42H9B.3,Y42H9B.3,WBGene00021541,Public name for WBGene00021541. History: N.A.
C10C6.6,C10C6.6,WBGene00007514,Sequence name for WBGene00007514(catp-8). History: N.A.
Y92H12A.1,Y92H12A.1,WBGene00005077,Sequence name for WBGene00005077(src-1). History: N.A.
T12G3.7,T12G3.7,WBGene00011742,Sequence name for WBGene00011742(tgn-38). History: N.A.
Y37E11AM.3,Y37E11AM.3,WBGene00021367,"Public name for WBGene00021367. History: Split into Y37E11AM.4(WBGene00302986). History of WBGene00021367: Split into ""WBGene00302986"" on 2018-03-06"
Y41D4B.13,Y41D4B.13,WBGene00000416,Sequence name for WBGene00000416(ced-2). History: N.A.
Y38A10A.5,Y38A10A.5,WBGene00000802,Sequence name for WBGene00000802(crt-1). History: N.A.
C06G3.10,C06G3.10,WBGene00000585,Sequence name for WBGene00000585(cogc-2). History: Renamed on 2006-01-17
F07A11.2,F07A11.2,WBGene00008546,Sequence name for WBGene00008546(gfat-1). History: N.A.
F11A10.5,F11A10.5,WBGene00008686,Public name for WBGene00008686. History: N.A.
C16A3.10,C16A3.10,WBGene00015814,Sequence name for WBGene00015814(oatr-1). History: N.A.
C06A8.1,C06A8.1,WBGene00015512,Sequence name for WBGene00015512(mthf-1). History: N.A.
ZC155.3,ZC155.3,WBGene00022531,Sequence name for WBGene00022531(morc-1). History: N.A.
F37A4.8,F37A4.8,WBGene00002169,Sequence name for WBGene00002169(isw-1). History: N.A.
K07C5.4,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
C55B7.1,C55B7.1,WBGene00001599,Sequence name for WBGene00001599(glh-2). History: N.A.
F48E8.5,F48E8.5,WBGene00003901,Sequence name for WBGene00003901(paa-1). History: N.A.
C44H4.7,C44H4.7,WBGene00001325,Sequence name for WBGene00001325(eor-2). History: N.A.
F55A11.7,F55A11.7,WBGene00010080,Public name for WBGene00010080. History: N.A.
T01A4.1,T01A4.1,WBGene00020131,Sequence name for WBGene00020131(gcy-28). History: N.A.
