gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
Y71A12B.14,0,,0,,0,,2,"21UR-13321,21UR-2842",2,0.0,34,7,Y71A12B.14,WBGene00014947,Public name for WBGene00014947. History: N.A.
W02A11.6,0,,0,,0,,4,"21UR-13842,21UR-14422,21UR-10133,21UR-10813",16,7.0,311,69,W02A11.6,WBGene00014852,Public name for WBGene00014852. History: N.A.
Y71A12B.13b,1,21UR-15738,6,"21UR-15890,21UR-15745,21UR-15738",6,"21UR-15738,21UR-15745,21UR-15890",16,"21UR-9117,21UR-12618,21UR-14054,21UR-7329,21UR-6365,21UR-15811,21UR-11319,21UR-14350,21UR-10183,21UR-15738,21UR-13738,21UR-13836,21UR-7115,21UR-14858,21UR-15961",5,1.0,24,53,Y71A12B.13b,WBGene00013510,Molecule name for WBGene00013510(Y71A12B.13). History: N.A.
Y49E10.26,0,,0,,2,"21UR-15753,21UR-5604",4,"21UR-15753,21UR-5604,21UR-15162,21UR-14197",8,3.0,27,20,Y49E10.26,WBGene00014904,Public name for WBGene00014904. History: N.A.
AC8.5,0,,0,,3,"21UR-10850,21UR-12624,21UR-8799",25,"21UR-9417,21UR-13983,21UR-10094,21UR-13750,21UR-15905,21UR-12851,21UR-10176,21UR-9117,21UR-7525,21UR-9385,21UR-8504,21UR-9224,21UR-11323,21UR-2001,21UR-7034,21UR-13738,21UR-11951,21UR-12643,21UR-9226,21UR-8951,21UR-9758,21UR-13957,21UR-12591",1,0.0,6,3,AC8.5,WBGene00007077,Public name for WBGene00007077. History: N.A.
C01B4.4,0,,0,,5,"21UR-15899,21UR-15878,21UR-10133,21UR-15947,21UR-8799",14,"21UR-11081,21UR-11089,21UR-4257,21UR-12146,21UR-13738,21UR-7465,21UR-8118,21UR-328,21UR-12606,21UR-10472,21UR-12591,21UR-10399,21UR-10808,21UR-15902",4,1.0,4,2,C01B4.4,WBGene00005139,Sequence name for WBGene00005139(srd-62). History: N.A.
C09F9.4,0,,0,,4,"21UR-15985,21UR-15813,21UR-15745",5,"21UR-15986,21UR-15813,21UR-2570,21UR-15985",1,0.0,1,0,C09F9.4,WBGene00007481,Public name for WBGene00007481. History: N.A.
C10C6.9,0,,0,,0,,3,"21UR-11052,21UR-12287,21UR-5735",1,0.0,6,35,C10C6.9,WBGene00045175,Public name for WBGene00045175. History: N.A.
C23H5.4,1,21UR-15962,0,,0,,0,,1,0.0,2,0,C23H5.4,WBGene00023240,Public name for WBGene00023240. History: N.A.
C29A12.2,0,,0,,0,,3,"21UR-3853,21UR-12372,21UR-3455",1,0.0,18,1,C29A12.2,WBGene00007798,Public name for WBGene00007798. History: N.A.
F01D5.4,0,,0,,0,,4,"21UR-10847,21UR-12287,21UR-5447,21UR-11319",1,0.0,4,0,F01D5.4,WBGene00014730,Public name for WBGene00014730. History: N.A.
F20E11.3,0,,0,,0,,1,21UR-1368,1,0.0,1,0,F20E11.3,WBGene00005376,Sequence name for WBGene00005376(srh-160). History: N.A.
F21D9.7,0,,0,,0,,1,21UR-9717,1,0.0,246,16,F21D9.7,,Sequence name for Suppressed gene WBGene00014739. Molecular name for Suppressed gene WBGene00014739. Public name for Suppressed gene WBGene00014739. History of WBGene00014739: Suppressed on 2013-09-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F22E5.15,0,,0,,2,"21UR-15768,21UR-16002",13,"21UR-12684,21UR-4760,21UR-3217,21UR-8931,21UR-5647,21UR-7210,21UR-15735,21UR-12322,21UR-209,21UR-13825,21UR-5420,21UR-9130,21UR-8799",1,0.0,1,0,F22E5.15,WBGene00005567,Sequence name for WBGene00005567(sri-55). History: N.A.
F22E5.18,0,,1,21UR-15985,1,21UR-15986,1,21UR-15985,1,0.0,1,0,F22E5.18,WBGene00005571,Sequence name for WBGene00005571(sri-59). History: N.A.
F28B1.12,0,,0,,0,,2,"21UR-3853,21UR-3455",1,0.0,2,0,F28B1.12,WBGene00077494,Public name for WBGene00077494. History: N.A.
F40B1.2,0,,1,21UR-15952,0,,0,,1,0.0,151,22,F40B1.2,WBGene00018224,Sequence name for WBGene00018224(bath-18). History: N.A.
F41F3.5,0,,0,,0,,5,"21UR-11897,21UR-6558,21UR-15836,21UR-15909,21UR-10097",1,0.0,1,0,F41F3.5,WBGene00005966,Sequence name for WBGene00005966(srx-75). History: N.A.
F44G3.13,0,,0,,0,,3,"21UR-6371,21UR-11849,21UR-13229",1,0.0,1,2,F44G3.13,WBGene00044660,Sequence name for WBGene00044660(fbxa-87). History: N.A.
F47H4.3,0,,3,"21UR-15921,21UR-15965,21UR-15744",3,"21UR-15832,21UR-15945,21UR-15965",4,"21UR-15990,21UR-12683,21UR-15987,21UR-15744",4,1.0,4,1,F47H4.3,WBGene00014764,"Sequence name for WBGene00014764(srz-46). History: Split into F47H4.12(WBGene00043053). History of WBGene00014764: Split into ""WBGene00043053"" on 2004-09-14"
F49H6.9,1,21UR-978,1,21UR-1009,0,,0,,1,0.0,2,0,F49H6.9,WBGene00009910,Sequence name for WBGene00009910(srz-92). History: N.A.
F53B2.7,0,,0,,1,21UR-7317,6,"21UR-8262,21UR-12719,21UR-10394,21UR-12115,21UR-11838,21UR-1867",1,0.0,6,3,F53B2.7,WBGene00014769,Public name for WBGene00014769. History: N.A.
F59A1.5,0,,0,,0,,4,"21UR-9170,21UR-12287,21UR-14107,21UR-7404",1,0.0,5,0,F59A1.5,,"Public name for Dead gene WBGene00014780. History of WBGene00014780: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
K08F4.13,0,,0,,0,,2,"21UR-12128,21UR-15234",1,0.0,1,0,K08F4.13,WBGene00045012,Public name for WBGene00045012. History: N.A.
M04D5.1,0,,2,"21UR-15813,21UR-15986",2,"21UR-15953,21UR-15985",4,"21UR-10010,21UR-11861,21UR-15733,21UR-11325",1,0.0,10,0,M04D5.1,WBGene00014807,Public name for WBGene00014807. History: N.A.
M142.7,0,,0,,0,,2,"21UR-15321,21UR-2170",4,1.0,13,8,M142.7,,"Public name for Dead gene WBGene00014810. History of WBGene00014810: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T10D4.2,2,"21UR-15965,21UR-15744",1,21UR-15945,3,"21UR-15758,21UR-15921,21UR-15887",1,21UR-5485,9,4.0,9,4,T10D4.2,WBGene00005568,Sequence name for WBGene00005568(sri-56). History: N.A.
T11F9.17,0,,0,,0,,2,"21UR-5560,21UR-5869",1,0.0,4,0,T11F9.17,WBGene00005235,Sequence name for WBGene00005235(srh-9). History: N.A.
W02A2.4,0,,0,,1,21UR-15246,2,"21UR-9378,21UR-16002",1,0.0,10,3,W02A2.4,WBGene00012189,Public name for WBGene00012189. History: N.A.
W02F12.1,0,,0,,0,,3,"21UR-10021,21UR-14422,21UR-8538",1,0.0,213,16,W02F12.1,WBGene00023355,Public name for WBGene00023355. History: N.A.
Y102A5C.39,0,,0,,0,,1,21UR-2151,1,0.0,1,0,Y102A5C.39,WBGene00206509,"Public name for Dead gene WBGene00077623. History of WBGene00077623: Merged into ""WBGene00206509"" on 2012-05-18"
Y105C5A.18,0,,0,,0,,3,"21UR-6595,21UR-629,21UR-4673",1,0.0,35,0,Y105C5A.18,,"Public name for Dead gene WBGene00014960. History of WBGene00014960: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y105C5A.2,0,,0,,0,,1,21UR-629,1,0.0,361,226,Y105C5A.2,WBGene00014958,Public name for WBGene00014958. History: N.A.
Y19D10A.3,0,,0,,5,"21UR-15899,21UR-15878,21UR-10133,21UR-15947,21UR-8799",14,"21UR-11081,21UR-4257,21UR-12146,21UR-328,21UR-10399,21UR-10808,21UR-15902,21UR-11089,21UR-13738,21UR-7465,21UR-8118,21UR-12606,21UR-10472,21UR-12591",4,1.0,4,2,Y19D10A.3,WBGene00021218,Sequence name for WBGene00021218(srd-76). History: N.A.
Y27F2A.1,0,,1,21UR-15985,1,21UR-15986,5,"21UR-14181,21UR-11267,21UR-15738,21UR-5769,21UR-15890",1,0.0,1,0,Y27F2A.1,WBGene00005570,Sequence name for WBGene00005570(sri-58). History: N.A.
Y39B6A.49,0,,0,,0,,1,21UR-13982,1,0.0,7,5,Y39B6A.49,WBGene00077457,Public name for WBGene00077457. History: N.A.
Y46G5A.42,0,,0,,0,,1,21UR-14978,1,0.0,16,0,Y46G5A.42,WBGene00077635,Public name for WBGene00077635. History: N.A.
Y49F6C.1,0,,0,,0,,4,"21UR-9661,21UR-12739,21UR-7850,21UR-5392",1,0.0,1,0,Y49F6C.1,WBGene00021723,Sequence name for WBGene00021723(bath-8). History: N.A.
Y51A2A.2,0,,0,,0,,2,"21UR-5526,21UR-17",1,0.0,5,0,Y51A2A.2,WBGene00014905,Public name for WBGene00014905. History: N.A.
Y51A2B.7,0,,1,21UR-15808,3,"21UR-11207,21UR-8408,21UR-15892",11,"21UR-7567,21UR-12887,21UR-11770,21UR-12644,21UR-463,21UR-9807,21UR-13048,21UR-14722,21UR-7582,21UR-15788,21UR-10866",1,0.0,13,0,Y51A2B.7,WBGene00005828,Sequence name for WBGene00005828(srw-81). History: N.A.
Y53F4B.8,7,"21UR-15780,21UR-15864",30,"21UR-15780,21UR-15864",39,"21UR-15864,21UR-15780,21UR-15878,21UR-15778,21UR-15987",21,"21UR-15864,21UR-15758,21UR-9407,21UR-15832,21UR-15887,21UR-819,21UR-5573,21UR-7776,21UR-1897,21UR-15965",4,1.0,70,91,Y53F4B.8,WBGene00013155,Public name for WBGene00013155. History: N.A.
Y57G11C.26,3,"21UR-3323,21UR-4479,21UR-1828",0,,0,,4,"21UR-11827,21UR-12861,21UR-3700,21UR-4721",1,0.0,1,0,Y57G11C.26,WBGene00014923,Public name for WBGene00014923. History: N.A.
Y57G11C.27,3,"21UR-5934,21UR-5277,21UR-2702",0,,1,21UR-3700,4,"21UR-9699,21UR-10900,21UR-14388,21UR-12861",1,0.0,5,0,Y57G11C.27,WBGene00013320,Sequence name for WBGene00013320(srt-51). History: N.A.
Y68A4A.12,0,,0,,0,,2,"21UR-8475,21UR-8043",1,0.0,75,1,Y68A4A.12,WBGene00014944,Public name for WBGene00014944. History: N.A.
Y6G8.11,0,,0,,0,,2,"21UR-15809,21UR-9417",1,0.0,1,0,Y6G8.11,WBGene00077460,Public name for WBGene00077460. History: N.A.
ZK1225.7,0,,0,,0,,2,"21UR-10021,21UR-14422",1,0.0,227,13,ZK1225.7,WBGene00014994,Public name for WBGene00014994. History: N.A.
Y75B8A.40,3,"21UR-15778,21UR-15840,21UR-15922",5,"21UR-15985,21UR-7776,21UR-1897,21UR-15986",3,"21UR-15985,21UR-15986",22,"21UR-15813,21UR-15986,21UR-15985,21UR-7595,21UR-12383,21UR-15809,21UR-11324,21UR-9574,21UR-8769,21UR-13360,21UR-9480,21UR-9905,21UR-9611,21UR-8432,21UR-13018,21UR-13048,21UR-646,21UR-13808,21UR-15890",17,10.0,25,12,Y75B8A.40,WBGene00003414,"Public name for Dead gene WBGene00043999. History of WBGene00043999: Merged into ""WBGene00003414"" on 2009-01-12"
Y43F8B.17,0,,0,,0,,1,21UR-11267,7,3.0,300,148,Y43F8B.17,WBGene00050910,"Public name for WBGene00050910. History: Split into Y43F8B.28(WBGene00219302). History of WBGene00050910: Split into ""WBGene00219302"" on 2011-10-17"
ZK228.12,2,"21UR-15965,21UR-15744",2,"21UR-15921,21UR-15945",2,"21UR-15758,21UR-15887",2,"21UR-15764,21UR-15990",11,6.0,11,6,ZK228.12,WBGene00077652,Public name for WBGene00077652. History: N.A.
F49B2.4,4,"21UR-15965,21UR-15744",2,21UR-15945,6,"21UR-15758,21UR-15921,21UR-15887",11,"21UR-4710,21UR-6869,21UR-10823,21UR-13744,21UR-11698,21UR-13829,21UR-12037,21UR-1930,21UR-14267,21UR-15965,21UR-13290",12,7.0,25,7,F49B2.4,WBGene00009864,"Public name for WBGene00009864. History: Split into F49B2.9(WBGene00268216). History of WBGene00009864: Split into ""WBGene00268216"" on 2015-10-30"
C14B1.7,0,,0,,0,,3,"21UR-1891,21UR-3266,21UR-11354",3,1.0,223,43,C14B1.7,WBGene00007578,Public name for WBGene00007578. History: N.A.
Y48A6C.2,0,,1,21UR-15898,2,"21UR-14114,21UR-6153",22,"21UR-9580,21UR-1246,21UR-6174,21UR-15478,21UR-3275,21UR-10464,21UR-15514,21UR-13592,21UR-15495,21UR-11498,21UR-12666,21UR-13956,21UR-3834,21UR-2824,21UR-8118,21UR-9304,21UR-10544,21UR-3403,21UR-14858,21UR-12664,21UR-9325,21UR-15958",3,1.0,11,7,Y48A6C.2,WBGene00012975,Public name for WBGene00012975. History: N.A.
Y17D7C.3,0,,0,,1,21UR-10808,16,"21UR-15294,21UR-13750,21UR-8243,21UR-12655,21UR-9742,21UR-7522,21UR-5776,21UR-2066,21UR-1778,21UR-9905,21UR-6334,21UR-10905,21UR-1265,21UR-8814,21UR-10866",52,42.0,3463,1865,Y17D7C.3,WBGene00045366,Public name for WBGene00045366. History: N.A.
K03D7.3,2,"21UR-15965,21UR-15744",3,"21UR-15921,21UR-15840,21UR-15922",2,"21UR-15778,21UR-15945",8,"21UR-11868,21UR-15887,21UR-5848,21UR-4991,21UR-7776,21UR-9905,21UR-2319,21UR-389",11,8.0,15,8,K03D7.3,WBGene00014796,Public name for WBGene00014796. History: N.A.
F46A8.11,2,"21UR-15823,21UR-15933",0,,0,,1,21UR-10910,50,44.0,113,45,F46A8.11,WBGene00014761,Public name for WBGene00014761. History: N.A.
C33E10.4,0,,0,,0,,1,21UR-4049,2,1.0,1369,1447,C33E10.4,WBGene00023246,Public name for WBGene00023246. History: N.A.
T06E6.12,0,,0,,0,,7,"21UR-15899,21UR-15878,21UR-647,21UR-15122,21UR-1096,21UR-14267,21UR-10866",2,1.0,4,1,T06E6.12,WBGene00005469,Sequence name for WBGene00005469(srh-263). History: N.A.
Y51H4A.28,3,"21UR-4501,21UR-978,21UR-10769",1,21UR-1009,1,21UR-12456,4,"21UR-11821,21UR-10317,21UR-10115,21UR-15153",2,1.0,69,183,Y51H4A.28,WBGene00000709,Sequence name for WBGene00000709(col-136). History: N.A.
Y59H11AR.6,1,21UR-13215,0,,0,,1,21UR-3817,479,467.0,3927,3748,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
ZK892.8,1,21UR-15895,0,,0,,0,,4,3.0,42,15,ZK892.8,WBGene00044037,Public name for WBGene00044037. History: N.A.
Y17D7B.7,0,,0,,0,,8,"21UR-7073,21UR-12214,21UR-15809,21UR-13798,21UR-13446,21UR-9678,21UR-13048,21UR-12322",48,47.0,668,703,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
AC3.11,0,,0,,0,,1,21UR-14072,0,0.0,0,0,AC3.11,WBGene00077502,Public name for WBGene00077502. History: N.A.
AC3.9,0,,0,,1,21UR-15944,0,,0,0.0,4,2,AC3.9,WBGene00044022,Public name for WBGene00044022. History: N.A.
AC8.2,0,,0,,0,,1,21UR-1130,0,0.0,10,2,AC8.2,WBGene00007074,Public name for WBGene00007074. History: N.A.
AH6.13,0,,0,,0,,1,21UR-9985,0,0.0,0,0,AH6.13,WBGene00005042,Sequence name for WBGene00005042(sra-16). History: N.A.
AH6.16,0,,0,,0,,1,21UR-14520,0,0.0,0,0,AH6.16,WBGene00005041,Sequence name for WBGene00005041(sra-15). History: N.A.
AH6.9,0,,0,,0,,1,21UR-9912,0,0.0,0,0,AH6.9,WBGene00005031,Sequence name for WBGene00005031(sra-5). History: N.A.
B0250.12,0,,1,21UR-13809,2,"21UR-7472,21UR-2581",17,"21UR-7184,21UR-12667,21UR-8369,21UR-10637,21UR-8267,21UR-7281,21UR-13956,21UR-10111,21UR-6013,21UR-15986,21UR-15809,21UR-9732,21UR-13797,21UR-7563,21UR-283,21UR-12698,21UR-11319",0,0.0,12,0,B0250.12,WBGene00050927,Public name for WBGene00050927. History: N.A.
B0284.5,0,,0,,1,21UR-7614,1,21UR-2339,0,0.0,0,0,B0284.5,WBGene00045188,Public name for WBGene00045188. History: N.A.
B0334.9,0,,0,,0,,1,21UR-13394,0,0.0,0,1,B0334.9,WBGene00007147,Public name for WBGene00007147. History: N.A.
B0365.2,0,,0,,1,21UR-15030,5,"21UR-9295,21UR-6627,21UR-11760,21UR-1100,21UR-12546",0,0.0,5,0,B0365.2,WBGene00007151,Public name for WBGene00007151. History: N.A.
B0391.1,0,,0,,0,,2,"21UR-4045,21UR-14242",0,0.0,0,0,B0391.1,WBGene00007160,Public name for WBGene00007160. History: N.A.
B0391.8,0,,0,,0,,2,"21UR-14054,21UR-9583",0,0.0,29,0,B0391.8,WBGene00014643,Public name for WBGene00014643. History: N.A.
B0462.2,0,,0,,0,,1,21UR-6622,0,0.0,0,0,B0462.2,WBGene00005580,Sequence name for WBGene00005580(sri-68). History: N.A.
B0513.12,0,,0,,0,,4,"21UR-14012,21UR-10056,21UR-2265,21UR-11759",0,0.0,1,0,B0513.12,WBGene00045279,Public name for WBGene00045279. History: N.A.
B0513.8,0,,0,,0,,1,21UR-6073,0,0.0,123,0,B0513.8,,"Public name for Dead gene WBGene00014661. History of WBGene00014661: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
B0547.3,5,"21UR-7819,21UR-13184,21UR-6134,21UR-10777,21UR-11060",0,,0,,3,"21UR-11324,21UR-13848,21UR-10051",0,0.0,0,0,B0547.3,WBGene00005092,Sequence name for WBGene00005092(srd-14). History: N.A.
B0547.5,2,"21UR-13743,21UR-10127",0,,0,,5,"21UR-9137,21UR-5315,21UR-11132,21UR-8898,21UR-8324",0,0.0,0,0,B0547.5,WBGene00005084,Sequence name for WBGene00005084(srd-6). History: N.A.
C01B10.1,0,,0,,0,,6,"21UR-15149,21UR-10010,21UR-10356,21UR-3364,21UR-15754,21UR-9808",0,0.0,5,0,C01B10.1,WBGene00001091,Sequence name for WBGene00001091(drh-2). History: N.A.
C01B4.2,0,,0,,0,,4,"21UR-15735,21UR-11779,21UR-7465,21UR-4700",0,0.0,0,0,C01B4.2,WBGene00015269,Public name for WBGene00015269. History: N.A.
C01G10.13,0,,0,,0,,1,21UR-12456,0,0.0,1,0,C01G10.13,WBGene00007238,Public name for WBGene00007238. History: N.A.
C01G12.12,0,,0,,2,"21UR-8112,21UR-15503",9,"21UR-1160,21UR-10031,21UR-11770,21UR-13103,21UR-15503,21UR-11744,21UR-10210,21UR-6310,21UR-6120",0,0.0,4,0,C01G12.12,WBGene00044053,Public name for WBGene00044053. History: N.A.
C02E7.12,0,,0,,0,,1,21UR-14288,0,0.0,0,0,C02E7.12,WBGene00006245,Sequence name for WBGene00006245(str-212). History: N.A.
C03G6.1,0,,0,,0,,1,21UR-8401,0,0.0,0,0,C03G6.1,WBGene00005948,Sequence name for WBGene00005948(srx-57). History: N.A.
C03G6.20,0,,0,,0,,2,"21UR-5664,21UR-3031",0,0.0,0,0,C03G6.20,WBGene00005403,Sequence name for WBGene00005403(srh-189). History: N.A.
C04E12.1,0,,0,,1,21UR-5631,1,21UR-2390,0,0.0,0,0,C04E12.1,WBGene00015432,Sequence name for WBGene00015432(srbc-4). History: N.A.
C04E6.12,0,,0,,0,,3,"21UR-15879,21UR-13798,21UR-15715",0,0.0,0,0,C04E6.12,WBGene00015426,Public name for WBGene00015426. History: N.A.
C04F2.2,0,,0,,1,21UR-10405,4,"21UR-8267,21UR-9976,21UR-11324,21UR-13522",0,0.0,0,0,C04F2.2,WBGene00005431,Sequence name for WBGene00005431(srh-221). History: N.A.
C04F2.3,0,,0,,0,,2,"21UR-7493,21UR-4065",0,0.0,0,0,C04F2.3,WBGene00005438,Sequence name for WBGene00005438(srh-230). History: N.A.
C05E4.5,0,,0,,1,21UR-5542,1,21UR-5684,0,0.0,0,0,C05E4.5,WBGene00006181,Sequence name for WBGene00006181(str-133). History: N.A.
C06A1.4,0,,0,,0,,1,21UR-10445,0,0.0,70,74,C06A1.4,WBGene00014667,Public name for WBGene00014667. History: N.A.
C06B8.12,0,,0,,1,21UR-6690,2,"21UR-16002,21UR-12736",0,0.0,0,0,C06B8.12,WBGene00077594,Sequence name for WBGene00077594(nhr-151). History: N.A.
C06C3.11,0,,0,,0,,1,21UR-7870,0,0.0,0,2,C06C3.11,WBGene00045404,Public name for WBGene00045404. History: N.A.
C07G3.7,0,,0,,0,,1,21UR-8082,0,0.0,0,0,C07G3.7,WBGene00015575,Sequence name for WBGene00015575(srbc-35). History: N.A.
C08E8.7,0,,0,,0,,1,21UR-14465,0,0.0,1,0,C08E8.7,WBGene00045487,Public name for WBGene00045487. History: N.A.
C08E8.8,0,,0,,0,,3,"21UR-15504,21UR-5485,21UR-6651",0,0.0,0,0,C08E8.8,WBGene00045496,Public name for WBGene00045496. History: N.A.
C08F1.2,0,,0,,0,,1,21UR-13295,0,0.0,0,0,C08F1.2,WBGene00006088,Sequence name for WBGene00006088(str-21). History: N.A.
C08F11.14,9,"21UR-6301,21UR-10266,21UR-7166,21UR-13296,21UR-14890,21UR-11435,21UR-1007,21UR-15499,21UR-814",0,,0,,7,"21UR-10222,21UR-11605,21UR-4958,21UR-13719,21UR-10665,21UR-9082,21UR-5735",0,0.0,0,1,C08F11.14,WBGene00007461,Public name for WBGene00007461. History: N.A.
C08F11.15,2,"21UR-13229,21UR-12207",0,,0,,5,"21UR-7677,21UR-13553,21UR-14890,21UR-10472,21UR-6313",0,0.0,0,0,C08F11.15,WBGene00007452,"Public name for Dead gene WBGene00045031. History of WBGene00045031: Merged into ""WBGene00007452"" on 2010-02-09"
C08H9.8,0,,0,,0,,2,"21UR-8229,21UR-9268",0,0.0,0,0,C08H9.8,WBGene00007468,Public name for WBGene00007468. History: N.A.
C08H9.9,0,,0,,1,21UR-6208,6,"21UR-5970,21UR-1262,21UR-12999,21UR-11515,21UR-5071,21UR-9995",0,0.0,1,3,C08H9.9,WBGene00014673,Public name for WBGene00014673. History: N.A.
C09F9.7,0,,1,21UR-15909,1,21UR-11810,16,"21UR-9547,21UR-7956,21UR-8267,21UR-13744,21UR-14648,21UR-15809,21UR-15785,21UR-9558,21UR-6763,21UR-12810,21UR-8743,21UR-11491,21UR-15745,21UR-14064,21UR-8799,21UR-15890",0,0.0,21,1,C09F9.7,WBGene00045322,Public name for WBGene00045322. History: N.A.
C09G12.12,0,,1,21UR-15962,0,,8,"21UR-15932,21UR-9641,21UR-13982,21UR-10404,21UR-9974,21UR-1102,21UR-6964,21UR-10866",0,0.0,6,1,C09G12.12,WBGene00023464,Sequence name for WBGene00023464(srz-80). History: N.A.
C09G12.13,0,,0,,0,,4,"21UR-10576,21UR-849,21UR-6074,21UR-12833",0,0.0,6,0,C09G12.13,WBGene00023465,Sequence name for WBGene00023465(srz-81). History: N.A.
C09G12.14,0,,0,,0,,1,21UR-9362,0,0.0,0,0,C09G12.14,WBGene00023476,Sequence name for WBGene00023476(srz-55). History: N.A.
C09G12.15,0,,0,,0,,5,"21UR-647,21UR-15735,21UR-15132,21UR-11281,21UR-14889",0,0.0,0,0,C09G12.15,WBGene00023475,Sequence name for WBGene00023475(srz-69). History: N.A.
C09G12.4,0,,0,,0,,2,"21UR-15823,21UR-13083",0,0.0,0,0,C09G12.4,WBGene00015654,Sequence name for WBGene00015654(srz-77). History: N.A.
C09H5.8,0,,0,,0,,4,"21UR-6325,21UR-9539,21UR-11042,21UR-8498",0,0.0,0,0,C09H5.8,WBGene00006177,Sequence name for WBGene00006177(str-128). History: N.A.
C12D5.1,0,,0,,0,,3,"21UR-10133,21UR-5447,21UR-8081",0,0.0,0,0,C12D5.1,WBGene00006194,Sequence name for WBGene00006194(str-147). History: N.A.
C14A11.1,0,,0,,0,,3,"21UR-10163,21UR-13303,21UR-5470",0,0.0,0,0,C14A11.1,WBGene00006632,Sequence name for WBGene00006632(tsp-6). History: N.A.
C14C6.11,0,,0,,0,,4,"21UR-8475,21UR-9807,21UR-15973,21UR-10201",0,0.0,1,0,C14C6.11,WBGene00005584,Sequence name for WBGene00005584(sri-72). History: N.A.
C15H7.2,0,,0,,0,,1,21UR-9117,0,0.0,0,1,C15H7.2,WBGene00014678,Public name for WBGene00014678. History: N.A.
C16C4.2,0,,0,,0,,1,21UR-11626,0,0.0,2,0,C16C4.2,WBGene00015826,Sequence name for WBGene00015826(math-12). History: N.A.
C17A2.6,0,,0,,0,,2,"21UR-7806,21UR-2047",0,0.0,0,0,C17A2.6,WBGene00015874,Public name for WBGene00015874. History: N.A.
C17E4.12,0,,0,,0,,2,"21UR-6404,21UR-14289",0,0.0,0,1,C17E4.12,WBGene00044769,Public name for WBGene00044769. History: N.A.
C17F4.9,0,,0,,0,,4,"21UR-13750,21UR-6761,21UR-15479,21UR-5334",0,0.0,0,0,C17F4.9,WBGene00023480,Sequence name for WBGene00023480(srz-68). History: N.A.
C17H1.12,0,,0,,0,,3,"21UR-7150,21UR-14281,21UR-14978",0,0.0,0,0,C17H1.12,WBGene00044722,Public name for WBGene00044722. History: N.A.
C18B10.10,0,,0,,1,21UR-10405,2,"21UR-1760,21UR-12948",0,0.0,0,0,C18B10.10,WBGene00006285,Sequence name for WBGene00006285(str-259). History: N.A.
C18B10.9,0,,0,,0,,3,"21UR-12644,21UR-10811,21UR-3625",0,0.0,0,0,C18B10.9,WBGene00006095,Sequence name for WBGene00006095(str-29). History: N.A.
C18D4.10,0,,0,,0,,1,21UR-2685,0,0.0,0,0,C18D4.10,WBGene00077438,Public name for WBGene00077438. History: N.A.
C18D4.7,0,,0,,0,,1,21UR-15903,0,0.0,0,0,C18D4.7,WBGene00007676,Sequence name for WBGene00007676(srz-57). History: N.A.
C24B9.13,0,,0,,0,,3,"21UR-8449,21UR-13982,21UR-11382",0,0.0,0,0,C24B9.13,WBGene00005916,Sequence name for WBGene00005916(srx-25). History: N.A.
C24H12.3,0,,1,21UR-15965,1,21UR-15744,2,"21UR-9408,21UR-15921",0,0.0,54,7,C24H12.3,WBGene00023244,Public name for WBGene00023244. History: N.A.
C24H12.9,0,,0,,0,,4,"21UR-10999,21UR-8342,21UR-14070,21UR-13797",0,0.0,5,0,C24H12.9,WBGene00016078,Public name for WBGene00016078. History: N.A.
C25F9.15,0,,0,,0,,2,"21UR-13300,21UR-13826",0,0.0,0,0,C25F9.15,WBGene00050967,Public name for WBGene00050967. History: N.A.
C27D6.7,0,,0,,0,,1,21UR-9560,0,0.0,0,0,C27D6.7,WBGene00005069,Sequence name for WBGene00005069(srb-4). History: N.A.
C29E4.9,0,,0,,1,21UR-6120,5,"21UR-8262,21UR-15864,21UR-13809,21UR-11320,21UR-15259",0,0.0,39,0,C29E4.9,WBGene00016206,Public name for WBGene00016206. History: Split into C29E4.11(WBGene00016208). History of WBGene00016206: N.A.
C29F4.4,0,,0,,0,,1,21UR-15347,0,0.0,0,0,C29F4.4,WBGene00045197,Public name for WBGene00045197. History: N.A.
C29F7.8,0,,0,,0,,3,"21UR-9256,21UR-10234,21UR-13950",0,0.0,0,0,C29F7.8,WBGene00044405,Public name for WBGene00044405. History: N.A.
C31B8.10,0,,0,,0,,1,21UR-719,0,0.0,0,0,C31B8.10,WBGene00005630,Sequence name for WBGene00005630(srj-51). History: N.A.
