Germline specific,Input,Suggested Match,History
M88.2,M88.2,WBGene00010905,Sequence name for WBGene00010905(mrps-34). History: N.A.
MTCE.23,MTCE.23,WBGene00010962,Sequence name for WBGene00010962(ctc-3). History: N.A.
MTCE.25,MTCE.25,WBGene00010963,Sequence name for WBGene00010963(nduo-4). History: N.A.
MTCE.26,MTCE.26,WBGene00010964,Sequence name for WBGene00010964(ctc-1). History: N.A.
MTCE.31,MTCE.31,WBGene00010965,Sequence name for WBGene00010965(ctc-2). History: N.A.
MTCE.35,MTCE.35,WBGene00010967,Sequence name for WBGene00010967(nduo-5). History: N.A.
R01H2.3,R01H2.3,WBGene00019811,Sequence name for WBGene00019811(egg-2). History: N.A.
R02E12.5,R02E12.5,WBGene00019829,Public name for WBGene00019829. History: N.A.
R02F2.4,R02F2.4,WBGene00019833,Public name for WBGene00019833. History: N.A.
R03D7.2,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
R04D3.2,R04D3.2,WBGene00011010,Public name for WBGene00011010. History: N.A.
R04D3.3,R04D3.3,WBGene00011011,Public name for WBGene00011011. History: N.A.
R05G9.3,R05G9.3,WBGene00019905,Public name for WBGene00019905. History: N.A.
R05H10.2,R05H10.2,WBGene00011043,Sequence name for WBGene00011043(rbm-28). History: N.A.
R06C7.1,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
R06C7.2,R06C7.2,WBGene00011062,Public name for WBGene00011062. History: N.A.
R06C7.4,R06C7.4,WBGene00011063,Sequence name for WBGene00011063(cpg-3). History: N.A.
R06C7.6,R06C7.6,WBGene00011065,Public name for WBGene00011065. History: N.A.
R06C7.9,R06C7.9,WBGene00011066,Sequence name for WBGene00011066(ztf-15). History: N.A.
R07H5.4,R07H5.4,WBGene00011124,Sequence name for WBGene00011124(sdz-27). History: N.A.
R09A1.2,R09A1.2,WBGene00019972,Sequence name for WBGene00019972(pei-2). History: N.A.
R09B3.2,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
R12B2.2,R12B2.2,WBGene00020018,Public name for WBGene00020018. History: N.A.
R12C12.8,R12C12.8,WBGene00020028,Public name for WBGene00020028. History: N.A.
R13A5.7,R13A5.7,WBGene00020050,Public name for WBGene00020050. History: N.A.
R144.10,R144.10,WBGene00020098,Public name for WBGene00020098. History: N.A.
R160.3,R160.3,WBGene00020120,Public name for WBGene00020120. History: N.A.
R53.7,R53.7,WBGene00011276,Sequence name for WBGene00011276(aakg-5). History: N.A.
T01C3.3,T01C3.3,WBGene00011320,Public name for WBGene00011320. History: N.A.
T01H3.4,T01H3.4,WBGene00011350,Sequence name for WBGene00011350(perm-1). History: N.A.
T02G5.12,T02G5.12,WBGene00020168,Sequence name for WBGene00020168(mct-5). History: N.A.
T03F1.5,T03F1.5,WBGene00020187,Sequence name for WBGene00020187(gsp-4). History: N.A.
T04A6.1,T04A6.1,WBGene00020200,Public name for WBGene00020200. History: N.A.
T04A8.6,T04A8.6,WBGene00011408,Sequence name for WBGene00011408(nifk-1). History: N.A.
T04D3.1,T04D3.1,WBGene00011431,Public name for WBGene00011431. History: N.A.
T04G9.7,T04G9.7,WBGene00020218,Public name for WBGene00020218. History: N.A.
T05A1.2,T05A1.2,WBGene00000696,Sequence name for WBGene00000696(col-122). History: N.A.
T05C12.3,T05C12.3,WBGene00011467,Sequence name for WBGene00011467(decr-1.3). History: N.A.
T05E7.3,T05E7.3,WBGene00020259,Public name for WBGene00020259. History: N.A.
T05F1.2,T05F1.2,WBGene00011489,Public name for WBGene00011489. History: N.A.
T05F1.3,T05F1.3,WBGene00004488,Sequence name for WBGene00004488(rps-19). History: N.A.
T06C12.4,T06C12.4,WBGene00011513,Sequence name for WBGene00011513(fbxa-197). History: N.A.
T07A9.1,T07A9.1,WBGene00020295,Sequence name for WBGene00020295(pqbp-1.2). History: N.A.
T07A9.13,T07A9.13,WBGene00020300,Sequence name for WBGene00020300(ssna-1). History: Renamed on 2019-07-15
T07A9.7,T07A9.7,WBGene00001666,Sequence name for WBGene00001666(gpa-4). History: N.A.
T07D10.3,T07D10.3,WBGene00011583,Public name for WBGene00011583. History: N.A.
T07F8.3,T07F8.3,WBGene00001597,Sequence name for WBGene00001597(gld-3). History: N.A.
T10F2.2,T10F2.2,WBGene00020422,Public name for WBGene00020422. History: N.A.
T11F8.1,T11F8.1,WBGene00020433,Public name for WBGene00020433. History: N.A.
T13F2.6,T13F2.6,WBGene00011746,Public name for WBGene00011746. History: N.A.
T13F3.6,T13F3.6,WBGene00011753,Public name for WBGene00011753. History: N.A.
T13H5.8,T13H5.8,WBGene00011761,Public name for WBGene00011761. History: N.A.
T15B7.3,T15B7.3,WBGene00000716,Sequence name for WBGene00000716(col-143). History: N.A.
T16A9.5,T16A9.5,WBGene00011795,Public name for WBGene00011795. History: N.A.
T16G1.11,T16G1.11,WBGene00001233,Sequence name for WBGene00001233(eif-3.K). History: N.A.
T16H12.2,T16H12.2,WBGene00011812,Public name for WBGene00011812. History: N.A.
T19C4.6,T19C4.6,WBGene00001663,Sequence name for WBGene00001663(gpa-1). History: N.A.
T21B10.4,T21B10.4,WBGene00011886,Public name for WBGene00011886. History: N.A.
T21C9.13,T21C9.13,WBGene00011898,Public name for WBGene00011898. History: N.A.
T22C1.5,T22C1.5,WBGene00011916,Public name for WBGene00011916. History: N.A.
T22D1.5,T22D1.5,WBGene00020684,Public name for WBGene00020684. History: N.A.
T23D8.5,T23D8.5,WBGene00001941,Sequence name for WBGene00001941(his-67). History: N.A.
T23G11.3,T23G11.3,WBGene00001595,Sequence name for WBGene00001595(gld-1). History: N.A.
T24B8.2,T24B8.2,WBGene00011976,Sequence name for WBGene00011976(chmp-7). History: N.A.
T24C4.1,T24C4.1,WBGene00020757,Sequence name for WBGene00020757(ucr-2.3). History: N.A.
T24D3.2,T24D3.2,WBGene00023492,Public name for WBGene00023492. History: N.A.
T26A5.3,T26A5.3,WBGene00006463,Sequence name for WBGene00006463(nduf-2.2). History: Renamed on 2008-02-26
T27C10.3,T27C10.3,WBGene00020858,Sequence name for WBGene00020858(mop-25.3). History: N.A.
T27E9.5,T27E9.5,WBGene00012095,Sequence name for WBGene00012095(pssy-2). History: N.A.
T27F6.4,T27F6.4,WBGene00012104,Sequence name for WBGene00012104(sygl-1). History: N.A.
T27F6.6,T27F6.6,WBGene00012105,Public name for WBGene00012105. History: N.A.
T28A8.7,T28A8.7,WBGene00003373,Sequence name for WBGene00003373(mlh-1). History: N.A.
T28H11.5,T28H11.5,WBGene00006051,Sequence name for WBGene00006051(ssq-2). History: N.A.
W01A8.5,W01A8.5,WBGene00012167,Sequence name for WBGene00012167(tofu-5). History: N.A.
W01D2.5,W01D2.5,WBGene00012182,Sequence name for WBGene00012182(osta-3). History: N.A.
W02A11.5,W02A11.5,WBGene00012195,Sequence name for WBGene00012195(bath-34). History: N.A.
W02A2.6,W02A2.6,WBGene00004333,Sequence name for WBGene00004333(rec-8). History: N.A.
W02D9.6,W02D9.6,WBGene00012212,Public name for WBGene00012212. History: N.A.
W02D9.7,W02D9.7,WBGene00012213,Public name for WBGene00012213. History: N.A.
W02H5.9,W02H5.9,WBGene00020957,"Public name for Dead gene WBGene00020963. History of WBGene00020963: Merged into ""WBGene00020957"" on 2013-02-19"
W03F11.1,W03F11.1,WBGene00021005,Sequence name for WBGene00021005(ule-1). History: N.A.
W03G9.2,W03G9.2,WBGene00021014,Sequence name for WBGene00021014(pid-4). History: N.A.
W04B5.5,W04B5.5,WBGene00021022,Public name for WBGene00021022. History: N.A.
W04G3.11,W04G3.11,WBGene00044153,Public name for WBGene00044153. History: N.A.
W05E7.1,W05E7.1,WBGene00001692,Sequence name for WBGene00001692(grd-3). History: N.A.
W05F2.3,W05F2.3,WBGene00021035,Public name for WBGene00021035. History: N.A.
W05F2.5,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
W06A7.4,W06A7.4,WBGene00012293,Public name for WBGene00012293. History: N.A.
W06D11.3,W06D11.3,WBGene00012301,Public name for WBGene00012301. History: N.A.
W06H3.1,W06H3.1,WBGene00012315,Sequence name for WBGene00012315(immt-2). History: N.A.
W08E12.1,W08E12.1,WBGene00021082,Sequence name for WBGene00021082(zip-11). History: N.A.
W08F4.9,W08F4.9,WBGene00021098,Sequence name for WBGene00021098(fbxb-14). History: N.A.
W09C3.6,W09C3.6,WBGene00021113,Sequence name for WBGene00021113(gsp-3). History: N.A.
Y102A5C.1,Y102A5C.1,WBGene00013610,Sequence name for WBGene00013610(fbxa-206). History: N.A.
Y102A5C.2,Y102A5C.2,WBGene00013611,Public name for WBGene00013611. History: N.A.
Y105C5B.5,Y105C5B.5,WBGene00013647,Public name for WBGene00013647. History: N.A.
Y110A7A.15,Y110A7A.15,WBGene00022462,Public name for WBGene00022462. History: N.A.
Y111B2A.16,Y111B2A.16,WBGene00006389,Sequence name for WBGene00006389(taf-7.2). History: N.A.
Y111B2A.21,Y111B2A.21,WBGene00013741,Public name for WBGene00013741. History: N.A.
Y113G7B.5,Y113G7B.5,WBGene00001482,Sequence name for WBGene00001482(fog-2). History: N.A.
Y119D3B.14,Y119D3B.14,WBGene00022491,Public name for WBGene00022491. History: N.A.
Y14H12B.1,Y14H12B.1,WBGene00021191,Public name for WBGene00021191. History: N.A.
Y14H12B.2,Y14H12B.2,WBGene00021192,Public name for WBGene00021192. History: N.A.
Y17G9B.9,Y17G9B.9,WBGene00003216,Sequence name for WBGene00003216(memi-1). History: Renamed on 2016-10-14
Y18D10A.11,Y18D10A.11,WBGene00012481,Public name for WBGene00012481. History: N.A.
Y18D10A.23,Y18D10A.23,WBGene00012487,Public name for WBGene00012487. History: N.A.
Y18H1A.7,Y18H1A.7,WBGene00004332,Sequence name for WBGene00004332(rec-1). History: N.A.
Y22D7AR.10,Y22D7AR.10,WBGene00021263,Public name for WBGene00021263. History: N.A.
Y27F2A.3,Y27F2A.3,WBGene00005552,Sequence name for WBGene00005552(sri-40). History: N.A.
Y32F6A.1,Y32F6A.1,WBGene00012527,Sequence name for WBGene00012527(set-22). History: N.A.
Y32G9A.8,Y32G9A.8,WBGene00021305,Sequence name for WBGene00021305(zig-11). History: Renamed on 2015-11-05
Y37A1B.15,Y37A1B.15,WBGene00001575,"Sequence name for WBGene00001575(gei-18). History: Split into dnbp-1(WBGene00044989). History of WBGene00001575: Split into ""WBGene00044989"" on 2006-09-07"
Y37B11A.2,Y37B11A.2,WBGene00021344,Sequence name for WBGene00021344(rev-3). History: N.A.
Y37D8A.4,Y37D8A.4,WBGene00012546,Public name for WBGene00012546. History: N.A.
Y37E11B.10,Y37E11B.10,WBGene00021381,Public name for WBGene00021381. History: N.A.
Y37H2A.12,Y37H2A.12,WBGene00044758,Public name for WBGene00044758. History: N.A.
Y38F2AR.1,Y38F2AR.1,WBGene00021419,Sequence name for WBGene00021419(eri-5). History: N.A.
Y39A1A.13,Y39A1A.13,WBGene00012651,Sequence name for WBGene00012651(orc-4). History: N.A.
Y39B6A.10,Y39B6A.10,WBGene00012672,Public name for WBGene00012672. History: N.A.
Y39G10AR.7,Y39G10AR.7,WBGene00021465,Sequence name for WBGene00021465(ekl-7). History: N.A.
Y41C4A.10,Y41C4A.10,WBGene00001235,Sequence name for WBGene00001235(elb-1). History: N.A.
Y41C4A.14,Y41C4A.14,WBGene00003417,Sequence name for WBGene00003417(mrt-2). History: N.A.
Y41C4A.16,Y41C4A.16,WBGene00000670,Sequence name for WBGene00000670(col-95). History: N.A.
Y41C4A.2,Y41C4A.2,WBGene00012750,Sequence name for WBGene00012750(faah-6). History: N.A.
Y45F10A.2,Y45F10A.2,WBGene00004239,Sequence name for WBGene00004239(puf-3). History: N.A.
Y46E12BL.3,Y46E12BL.3,WBGene00021596,Sequence name for WBGene00021596(spsb-2). History: N.A.
Y46G5A.2,Y46G5A.2,WBGene00012895,Sequence name for WBGene00012895(cox-10). History: N.A.
Y47D3A.13,Y47D3A.13,WBGene00012926,Public name for WBGene00012926. History: N.A.
Y47D3A.22,Y47D3A.22,WBGene00012933,Sequence name for WBGene00012933(mib-1). History: N.A.
Y47G6A.1,Y47G6A.1,WBGene00002143,Sequence name for WBGene00002143(inx-21). History: N.A.
Y47G6A.25,Y47G6A.25,WBGene00021649,Public name for WBGene00021649. History: N.A.
Y47G6A.28,Y47G6A.28,WBGene00006440,Sequence name for WBGene00006440(nefr-1). History: Renamed on 2021-04-19
Y48A6B.7,Y48A6B.7,WBGene00012968,Public name for WBGene00012968. History: N.A.
Y48B6A.10,Y48B6A.10,WBGene00012981,Public name for WBGene00012981. History: N.A.
Y48G1BL.4,Y48G1BL.4,,Sequence name for Suppressed gene WBGene00021663. Molecular name for Suppressed gene WBGene00021663. Public name for Suppressed gene WBGene00021663. History of WBGene00021663: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y48G8AL.7,Y48G8AL.7,WBGene00021687,Public name for WBGene00021687. History: N.A.
Y49A3A.1,Y49A3A.1,WBGene00013024,Sequence name for WBGene00013024(cept-2). History: N.A.
Y49E10.14,Y49E10.14,WBGene00004027,Sequence name for WBGene00004027(pie-1). History: N.A.
Y4C6A.3,Y4C6A.3,WBGene00021153,Public name for WBGene00021153. History: N.A.
Y4C6A.4,Y4C6A.4,WBGene00021154,Public name for WBGene00021154. History: N.A.
Y50D4C.3,Y50D4C.3,WBGene00021748,Public name for WBGene00021748. History: N.A.
Y51A2D.8,Y51A2D.8,WBGene00013076,Public name for WBGene00013076. History: N.A.
Y51F10.10,Y51F10.10,WBGene00021771,Sequence name for WBGene00021771(spe-48). History: N.A.
Y51H7C.6,Y51H7C.6,WBGene00021784,"Sequence name for WBGene00021784(cogc-4). History: Split into Y51H7C.41(WBGene00302984). History of WBGene00021784: Split into ""WBGene00302984"" on 2018-03-06"
Y52B11A.8,Y52B11A.8,WBGene00013127,Public name for WBGene00013127. History: N.A.
Y53C12A.6,Y53C12A.6,WBGene00013141,Public name for WBGene00013141. History: N.A.
Y53F4B.30,Y53F4B.30,WBGene00001775,Sequence name for WBGene00001775(gst-27). History: N.A.
Y53G8AR.8,Y53G8AR.8,WBGene00021815,Public name for WBGene00021815. History: N.A.
Y54E10A.4,Y54E10A.4,WBGene00001481,Sequence name for WBGene00001481(fog-1). History: N.A.
Y54E10BL.6,Y54E10BL.6,WBGene00003186,Sequence name for WBGene00003186(mek-2). History: N.A.
Y54E5B.2,Y54E5B.2,WBGene00013204,Public name for WBGene00013204. History: N.A.
Y54F10BM.12,Y54F10BM.12,WBGene00021866,Public name for WBGene00021866. History: N.A.
Y54G2A.22,Y54G2A.22,WBGene00021887,Sequence name for WBGene00021887(fbxc-45). History: N.A.
Y54G2A.50,Y54G2A.50,WBGene00044493,Public name for WBGene00044493. History: N.A.
Y54G9A.5,Y54G9A.5,WBGene00013208,Public name for WBGene00013208. History: N.A.
Y57A10A.21,Y57A10A.21,WBGene00013261,"Public name for Dead gene WBGene00004707. History of WBGene00004707: Merged into ""WBGene00013261"" on 2008-11-27"
Y57A10A.5,Y57A10A.5,WBGene00013250,Public name for WBGene00013250. History: N.A.
Y57A10A.7,Y57A10A.7,WBGene00013252,Public name for WBGene00013252. History: N.A.
Y57G11B.5,Y57G11B.5,WBGene00013297,Public name for WBGene00013297. History: N.A.
Y57G11C.51,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y59A8A.1,Y59A8A.1,WBGene00000813,Sequence name for WBGene00000813(csn-1). History: N.A.
Y62E10A.14,Y62E10A.14,WBGene00013380,Sequence name for WBGene00013380(memi-2). History: N.A.
Y62H9A.3,Y62H9A.3,WBGene00013391,Public name for WBGene00013391. History: N.A.
Y62H9A.4,Y62H9A.4,WBGene00013392,Public name for WBGene00013392. History: N.A.
Y62H9A.5,Y62H9A.5,WBGene00013393,Public name for WBGene00013393. History: N.A.
Y63D3A.7,Y63D3A.7,WBGene00013406,Public name for WBGene00013406. History: N.A.
Y65A5A.2,Y65A5A.2,WBGene00013419,Public name for WBGene00013419. History: N.A.
Y65B4BL.3,Y65B4BL.3,WBGene00022035,Public name for WBGene00022035. History: N.A.
Y65B4BL.4,Y65B4BL.4,WBGene00022036,Public name for WBGene00022036. History: N.A.
Y66D12A.18,Y66D12A.18,WBGene00013445,"Public name for Dead gene WBGene00013444. History of WBGene00013444: Merged into ""WBGene00013445"" on 2009-11-18"
Y66D12A.20,Y66D12A.20,WBGene00004960,Sequence name for WBGene00004960(spe-6). History: N.A.
Y66D12A.3,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
Y69E1A.1,Y69E1A.1,WBGene00013473,Public name for WBGene00013473. History: N.A.
Y69E1A.2,Y69E1A.2,WBGene00013474,Sequence name for WBGene00013474(nsph-3.1). History: N.A.
Y69H2.14,Y69H2.14,WBGene00013489,Sequence name for WBGene00013489(col-42). History: N.A.
Y69H2.7,Y69H2.7,WBGene00013482,Public name for WBGene00013482. History: N.A.
Y6G8.3,Y6G8.3,WBGene00012405,Sequence name for WBGene00012405(ztf-25). History: N.A.
Y71A12B.9,Y71A12B.9,WBGene00013506,Sequence name for WBGene00013506(usp-3). History: N.A.
Y71H2AM.3,Y71H2AM.3,WBGene00022168,"Public name for WBGene00022168. History: Split into Y71H2AM.25(WBGene00044760). History of WBGene00022168: Split into ""WBGene00044760"" on 2006-02-24"
Y71H2AM.6,Y71H2AM.6,WBGene00022171,Public name for WBGene00022171. History: N.A.
Y73B3A.11,Y73B3A.11,WBGene00022213,Public name for WBGene00022213. History: N.A.
Y73B6BL.14,Y73B6BL.14,WBGene00022237,Public name for WBGene00022237. History: N.A.
Y75B12B.1,Y75B12B.1,WBGene00013567,Public name for WBGene00013567. History: N.A.
Y75B8A.16,Y75B8A.16,WBGene00013551,Public name for WBGene00013551. History: N.A.
Y75B8A.7,Y75B8A.7,WBGene00013544,Public name for WBGene00013544. History: N.A.
Y75D11A.3,Y75D11A.3,WBGene00022292,Public name for WBGene00022292. History: N.A.
Y77E11A.15,Y77E11A.15,WBGene00000680,Sequence name for WBGene00000680(col-106). History: N.A.
Y82E9BR.2,Y82E9BR.2,WBGene00022335,Public name for WBGene00022335. History: N.A.
Y94H6A.11,Y94H6A.11,WBGene00044651,Sequence name for WBGene00044651(egrh-3). History: N.A.
Y95B8A.11,Y95B8A.11,WBGene00022390,Sequence name for WBGene00022390(him-19). History: N.A.
Y95B8A.5,Y95B8A.5,WBGene00001678,Sequence name for WBGene00001678(gpa-16). History: N.A.
ZC15.8,ZC15.8,WBGene00004173,Sequence name for WBGene00004173(pqn-94). History: N.A.
ZC155.4,ZC155.4,WBGene00022532,Public name for WBGene00022532. History: N.A.
ZC308.4,ZC308.4,WBGene00022586,Public name for WBGene00022586. History: N.A.
ZC317.7,ZC317.7,WBGene00022590,Public name for WBGene00022590. History: N.A.
ZC373.2,ZC373.2,WBGene00013867,Public name for WBGene00013867. History: N.A.
ZC395.6,ZC395.6,WBGene00001740,Sequence name for WBGene00001740(gro-1). History: N.A.
ZC404.3,ZC404.3,WBGene00004975,Sequence name for WBGene00004975(spe-39). History: N.A.
ZC513.6,ZC513.6,WBGene00003865,Sequence name for WBGene00003865(oma-2). History: N.A.
ZC53.1,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
ZC53.7,ZC53.7,WBGene00004352,"Sequence name for WBGene00004352(rgs-9). History: N.A.. Public name for Dead gene WBGene00022513. History of WBGene00022513: Merged into ""WBGene00004352"" on 2004-12-03"
ZK1037.6,ZK1037.6,WBGene00014194,Public name for WBGene00014194. History: N.A.
ZK1127.3,ZK1127.3,WBGene00022850,Public name for WBGene00022850. History: N.A.
ZK354.2,ZK354.2,WBGene00022705,Public name for WBGene00022705. History: N.A.
ZK381.4,ZK381.4,WBGene00003992,Sequence name for WBGene00003992(pgl-1). History: N.A.
ZK418.8,ZK418.8,WBGene00022737,Sequence name for WBGene00022737(tofu-7). History: N.A.
ZK484.5,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
ZK512.7,ZK512.7,WBGene00013986,Public name for WBGene00013986. History: N.A.
ZK546.15,ZK546.15,WBGene00006619,Sequence name for WBGene00006619(try-1). History: N.A.
ZK6.3,ZK6.3,WBGene00022638,Sequence name for WBGene00022638(scl-27). History: N.A.
ZK792.2,ZK792.2,WBGene00002130,Sequence name for WBGene00002130(inx-8). History: N.A.
ZK792.3,ZK792.3,WBGene00002131,Sequence name for WBGene00002131(inx-9). History: N.A.
ZK809.2,ZK809.2,WBGene00006491,Sequence name for WBGene00006491(acl-3). History: N.A.
ZK813.1,ZK813.1,WBGene00022820,Public name for WBGene00022820. History: N.A.
ZK829.5,ZK829.5,WBGene00006555,Sequence name for WBGene00006555(tbx-36). History: N.A.
ZK858.1,ZK858.1,WBGene00014115,Sequence name for WBGene00014115(gld-4). History: N.A.
