Gene_Symbol,Wild_type,YY913,Coverage,Input,Suggested Match,History
CELE_W08E12.7,0,3,0.095,CELE_W08E12.7,WBGene00021088,Other name for WBGene00021088(W08E12.7). History: N.A.
CELE_Y17G7B.17,0,3,0.102,CELE_Y17G7B.17,WBGene00012468,Other name for WBGene00012468(Y17G7B.17). History: N.A.
CELE_Y37E3.10,0,3,0.155,CELE_Y37E3.10,WBGene00021351,Other name for WBGene00021351(eif-2alpha). History: N.A.
CELE_Y54G2A.12,0,3,0.15,CELE_Y54G2A.12,WBGene00021877,Other name for WBGene00021877(Y54G2A.12). History: N.A.
CELE_Y66D12A.8,1,3,0.156,CELE_Y66D12A.8,WBGene00013434,Other name for WBGene00013434(Y66D12A.8). History: N.A.
cyn-13,0,3,0.082,cyn-13,WBGene00000889,Public name for WBGene00000889. History: N.A.
dim-1,5,3,0.069,dim-1,WBGene00001000,Public name for WBGene00001000. History: N.A.
dnj-13,0,3,0.142,dnj-13,WBGene00001031,Public name for WBGene00001031. History: N.A.
dnj-19,2,3,0.077,dnj-19,WBGene00001037,Public name for WBGene00001037. History: Renamed on 2005-12-16
eif-3.C,0,3,0.049,eif-3.C,WBGene00001226,Public name for WBGene00001226. History: N.A.
eif-6,0,3,0.175,eif-6,WBGene00001234,Public name for WBGene00001234. History: N.A.
enol-1,0,3,0.111,enol-1,WBGene00011884,Public name for WBGene00011884. History: N.A.
ftt-2,3,3,0.137,ftt-2,WBGene00001502,Public name for WBGene00001502. History: N.A.
gfat-1,3,3,0.037,gfat-1,WBGene00008546,Public name for WBGene00008546. History: N.A.
H28O16.1,4,3,0.065,H28O16.1,WBGene00010419,Sequence name for WBGene00010419(atp-1). History: Renamed on 2005-03-17
his-4,0,3,0.154,his-4,WBGene00001878,Public name for WBGene00001878. History: N.A.
K12H4.3,0,3,0.156,K12H4.3,WBGene00019678,Public name for WBGene00019678. History: N.A.
lfi-1,3,3,0.094,lfi-1,WBGene00022500,Public name for WBGene00022500. History: N.A.
lfi-1,3,3,0.013,lfi-1,WBGene00022500,Public name for WBGene00022500. History: N.A.
mog-5,0,3,0.034,mog-5,WBGene00003393,Public name for WBGene00003393. History: N.A.
mrps-17,0,3,0.269,mrps-17,WBGene00015487,Public name for WBGene00015487. History: N.A.
npp-10,0,3,0.022,npp-10,WBGene00003796,Public name for WBGene00003796. History: N.A.
npp-2,0,3,0.013,npp-2,WBGene00003788,Public name for WBGene00003788. History: N.A.
pab-2,0,3,0.049,pab-2,WBGene00003903,Public name for WBGene00003903. History: N.A.
prg-1,0,3,0.045,prg-1,WBGene00004178,Public name for WBGene00004178. History: N.A.
puf-12,0,3,0.046,puf-12,WBGene00014165,Public name for WBGene00014165. History: N.A.
pyr-1,0,3,0.02,pyr-1,WBGene00004259,Public name for WBGene00004259. History: N.A.
retr-1,0,3,0.089,retr-1,,Other name for Suppressed gene WBGene00018416. History of WBGene00018416: Renamed on 2021-06-14. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
rpl-38,0,3,0.143,rpl-38,WBGene00004452,Public name for WBGene00004452. History: N.A.
rps-5,0,3,0.043,rps-5,WBGene00004474,Public name for WBGene00004474. History: N.A.
rsd-6,0,3,0.048,rsd-6,WBGene00004684,Public name for WBGene00004684. History: N.A.
rsp-7,1,3,0.084,rsp-7,WBGene00004704,Public name for WBGene00004704. History: N.A.
samp-1,0,3,0.022,samp-1,WBGene00011994,Public name for WBGene00011994. History: N.A.
stip-1,0,3,0.053,stip-1,WBGene00007412,Public name for WBGene00007412. History: N.A.
syf-2,0,3,0.162,syf-2,WBGene00019402,Public name for WBGene00019402. History: N.A.
tag-18,0,3,0.114,tag-18,WBGene00006408,Public name for WBGene00006408. History: N.A.
tba-2,3,3,0.094,tba-2,WBGene00006529,Public name for WBGene00006529. History: N.A.
ubq-2,0,3,0.195,ubq-2,WBGene00006728,Public name for WBGene00006728. History: N.A.
wago-1,0,3,0.038,wago-1,WBGene00011061,Public name for WBGene00011061. History: N.A.
Y48A6B.3,0,3,0.19,Y48A6B.3,WBGene00012964,Public name for WBGene00012964. History: N.A.
Y54E10A.10,0,3,0.135,Y54E10A.10,WBGene00021830,Public name for WBGene00021830. History: N.A.
ahcy-1,1,2,0.08,ahcy-1,WBGene00019322,Public name for WBGene00019322. History: Renamed on 2005-02-01; Renamed on 2015-03-05
akap-1,0,2,0.036,akap-1,WBGene00016977,Public name for WBGene00016977. History: N.A.
aly-1,0,2,0.112,aly-1,WBGene00000120,Public name for WBGene00000120. History: Renamed on 2005-04-27
B0511.6,0,2,0.051,B0511.6,WBGene00015232,Public name for WBGene00015232. History: N.A.
bath-31,0,2,0.046,bath-31,WBGene00017405,Public name for WBGene00017405. History: N.A.
C07H6.4,0,2,0.039,C07H6.4,WBGene00015581,Sequence name for WBGene00015581(sap-140). History: N.A.
C10G8.8,0,2,0.096,C10G8.8,WBGene00015684,Public name for WBGene00015684. History: N.A.
C18E3.5,0,2,0.036,C18E3.5,WBGene00015974,Sequence name for WBGene00015974(snrp-40.2). History: N.A.
C24D10.6,0,2,0.137,C24D10.6,WBGene00016057,Public name for WBGene00016057. History: N.A.
C27B7.5,0,2,0.039,C27B7.5,WBGene00007762,Public name for WBGene00007762. History: N.A.
C43E11.9,0,2,0.083,C43E11.9,WBGene00016607,Public name for WBGene00016607. History: N.A.
cdk-1,0,2,0.066,cdk-1,WBGene00000405,Public name for WBGene00000405. History: N.A.
CELE_D1054.10,2,2,0.106,CELE_D1054.10,WBGene00008377,Other name for WBGene00008377(D1054.10). History: N.A.
CELE_F08F8.9,0,2,0.06,CELE_F08F8.9,WBGene00017274,Other name for WBGene00017274(F08F8.9). History: N.A.
CELE_F08G12.2,0,2,0.115,CELE_F08G12.2,WBGene00008586,Other name for WBGene00008586(snrp-40.1). History: N.A.
CELE_F31C3.2,0,2,0.042,CELE_F31C3.2,WBGene00009284,Other name for WBGene00009284(gldr-2). History: N.A.
CELE_F33G12.2,0,2,0.092,CELE_F33G12.2,WBGene00018014,Other name for WBGene00018014(wdr-83). History: N.A.
CELE_F43G9.12,0,2,0.031,CELE_F43G9.12,WBGene00009672,Other name for WBGene00009672(mog-7). History: N.A.
CELE_F46B6.5,0,2,0.029,CELE_F46B6.5,WBGene00009770,Other name for WBGene00009770(F46B6.5). History: N.A.
CELE_F46G10.1,0,2,0.135,CELE_F46G10.1,WBGene00009796,Other name for WBGene00009796(F46G10.1). History: N.A.
CELE_F53F4.11,0,2,0.046,CELE_F53F4.11,WBGene00009993,Other name for WBGene00009993(F53F4.11). History: N.A.
CELE_F53F4.14,0,2,0.024,CELE_F53F4.14,WBGene00009996,Other name for WBGene00009996(sde-2). History: N.A.
CELE_F53F8.3,0,2,0.043,CELE_F53F8.3,WBGene00010000,Other name for WBGene00010000(F53F8.3). History: N.A.
CELE_JC8.2,0,2,0.058,CELE_JC8.2,WBGene00010435,Other name for WBGene00010435(JC8.2). History: N.A.
CELE_K11B4.1,0,2,0.059,CELE_K11B4.1,WBGene00010766,Other name for WBGene00010766(mrps-27). History: N.A.
CELE_T11G6.8,0,2,0.108,CELE_T11G6.8,WBGene00011722,Other name for WBGene00011722(rbm-22). History: N.A.
CELE_W05F2.6,0,2,0.064,CELE_W05F2.6,WBGene00021038,Other name for WBGene00021038(W05F2.6). History: N.A.
CELE_W05F2.6,0,2,0.07,CELE_W05F2.6,WBGene00021038,Other name for WBGene00021038(W05F2.6). History: N.A.
CELE_Y57A10A.31,0,2,0.02,CELE_Y57A10A.31,WBGene00013270,Other name for WBGene00013270(Y57A10A.31). History: N.A.
CELE_Y62H9A.5,1,2,0.067,CELE_Y62H9A.5,WBGene00013393,Other name for WBGene00013393(Y62H9A.5). History: N.A.
CELE_ZK1067.2,0,2,0.014,CELE_ZK1067.2,WBGene00014208,Other name for WBGene00014208(znfx-1). History: N.A.
cey-1,0,2,0.192,cey-1,WBGene00000472,Public name for WBGene00000472. History: N.A.
chc-1,0,2,0.018,chc-1,WBGene00011867,Public name for WBGene00011867. History: Renamed on 2008-04-30
cyn-12,0,2,0.101,cyn-12,WBGene00000888,Public name for WBGene00000888. History: N.A.
cyn-9,0,2,0.071,cyn-9,WBGene00000885,Public name for WBGene00000885. History: N.A.
ddx-23,0,2,0.033,ddx-23,WBGene00017162,Public name for WBGene00017162. History: N.A.
deps-1,0,2,0.042,deps-1,WBGene00022034,Public name for WBGene00022034. History: N.A.
dhc-1,0,2,0.007,dhc-1,WBGene00000962,Public name for WBGene00000962. History: N.A.
E01A2.2,0,2,0.025,E01A2.2,WBGene00017085,Public name for WBGene00017085. History: N.A.
eat-6,0,2,0.037,eat-6,WBGene00001137,Public name for WBGene00001137. History: N.A.
egg-5,0,2,0.042,egg-5,WBGene00020035,Public name for WBGene00020035. History: N.A.
eif-3.B,0,2,0.039,eif-3.B,WBGene00001225,Public name for WBGene00001225. History: N.A.
ess-2,0,2,0.062,ess-2,WBGene00018371,Public name for WBGene00018371. History: N.A.
ftn-2,0,2,0.171,ftn-2,WBGene00001501,Public name for WBGene00001501. History: N.A.
gfat-2,0,2,0.045,gfat-2,WBGene00009035,Public name for WBGene00009035. History: N.A.
glh-4,0,2,0.035,glh-4,WBGene00001601,Public name for WBGene00001601. History: N.A.
gsp-1,0,2,0.07,gsp-1,WBGene00001747,Public name for WBGene00001747. History: N.A.
hrp-2,0,2,0.047,hrp-2,WBGene00002000,Other name for WBGene00002000(hrpr-1). History: Renamed on 2019-11-21
htz-1,1,2,0.064,htz-1,WBGene00019947,Public name for WBGene00019947. History: N.A.
ifg-1,0,2,0.018,ifg-1,WBGene00002066,Public name for WBGene00002066. History: N.A.
ima-2,0,2,0.077,ima-2,WBGene00002073,Public name for WBGene00002073. History: N.A.
irs-1,0,2,0.025,irs-1,WBGene00002152,Other name for WBGene00002152(iars-1). History: Renamed on 2010-01-29
kin-10,0,2,0.051,kin-10,WBGene00002196,Public name for WBGene00002196. History: N.A.
lec-1,2,2,0.093,lec-1,WBGene00002264,Public name for WBGene00002264. History: N.A.
let-711,0,2,0.009,let-711,WBGene00002845,Public name for WBGene00002845. History: Renamed on 2007-04-12
lin-41,0,2,0.022,lin-41,WBGene00003026,Public name for WBGene00003026. History: Renamed on 2005-08-24
lsm-3,0,2,0.275,lsm-3,WBGene00003077,Public name for WBGene00003077. History: N.A.
lst-3,0,2,0.047,lst-3,WBGene00003085,Other name for WBGene00003085(ccar-1). History: Renamed on 2015-11-23
lys-8,0,2,0.091,lys-8,WBGene00003097,Public name for WBGene00003097. History: N.A.
malE,0,2,0.028,,,
morc-1,0,2,0.028,morc-1,WBGene00022531,Public name for WBGene00022531. History: N.A.
mrpl-34,0,2,0.148,mrpl-34,WBGene00007712,Public name for WBGene00007712. History: N.A.
mrps-16,0,2,0.129,mrps-16,WBGene00018961,Public name for WBGene00018961. History: N.A.
mrps-24,0,2,0.189,mrps-24,WBGene00023487,Public name for WBGene00023487. History: N.A.
mrps-26,0,2,0.098,mrps-26,WBGene00016412,Public name for WBGene00016412. History: N.A.
mrps-5,0,2,0.05,mrps-5,WBGene00008452,Public name for WBGene00008452. History: N.A.
mrps-7,0,2,0.131,mrps-7,WBGene00013324,Public name for WBGene00013324. History: N.A.
mrps-9,0,2,0.054,mrps-9,WBGene00017319,Public name for WBGene00017319. History: N.A.
nol-1,0,2,0.063,nol-1,WBGene00021073,Other name for WBGene00021073(nsun-1). History: Renamed on 2017-08-01; Renamed on 2020-06-01
nol-1,0,2,0.036,nol-1,WBGene00021073,Other name for WBGene00021073(nsun-1). History: Renamed on 2017-08-01; Renamed on 2020-06-01
npp-11,0,2,0.019,npp-11,WBGene00003797,Public name for WBGene00003797. History: N.A.
nrde-4,0,2,0.262,nrde-4,WBGene00001584,Public name for WBGene00001584. History: Renamed on 2011-05-17
nrde-4,0,2,0.014,nrde-4,WBGene00001584,Public name for WBGene00001584. History: Renamed on 2011-05-17
nuo-2,0,2,0.112,nuo-2,WBGene00020417,"Public name for WBGene00020417. History: Split into T10E9.14(WBGene00271694). History of WBGene00020417: Renamed on 2008-02-26; Renamed on 2015-03-02; Split into ""WBGene00271694"" on 2017-04-28"
pck-2,0,2,0.054,pck-2,WBGene00011232,Public name for WBGene00011232. History: N.A.
perm-2,0,2,0.054,perm-2,WBGene00016636,Public name for WBGene00016636. History: N.A.
pgl-3,0,2,0.053,pgl-3,WBGene00003994,Public name for WBGene00003994. History: Renamed on 2005-10-06
pmt-2,0,2,0.05,pmt-2,WBGene00018811,Public name for WBGene00018811. History: N.A.
pod-2,0,2,0.02,pod-2,WBGene00004076,Public name for WBGene00004076. History: N.A.
prp-6,0,2,0.039,prp-6,WBGene00013343,Public name for WBGene00013343. History: N.A.
ran-1,0,2,0.051,ran-1,WBGene00004302,Public name for WBGene00004302. History: N.A.
rbpl-1,0,2,0.035,rbpl-1,WBGene00009477,Public name for WBGene00009477. History: Renamed on 2013-04-05
rfc-2,0,2,0.111,rfc-2,WBGene00004338,Public name for WBGene00004338. History: N.A.
rop-1,0,2,0.053,rop-1,WBGene00004405,Public name for WBGene00004405. History: N.A.
rpac-40,0,2,0.063,rpac-40,WBGene00019275,Public name for WBGene00019275. History: N.A.
rpb-2,0,2,0.026,rpb-2,WBGene00016140,Public name for WBGene00016140. History: Renamed on 2005-03-17
rpb-5,0,2,0.123,rpb-5,WBGene00019246,Public name for WBGene00019246. History: Renamed on 2015-03-04
rpn-2,0,2,0.012,rpn-2,WBGene00004459,Public name for WBGene00004459. History: N.A.
rps-12,0,2,0.071,rps-12,WBGene00004481,Public name for WBGene00004481. History: N.A.
rps-22,0,2,0.426,rps-22,WBGene00004491,Public name for WBGene00004491. History: N.A.
rps-22,0,2,0.123,rps-22,WBGene00004491,Public name for WBGene00004491. History: N.A.
rpt-5,0,2,0.065,rpt-5,WBGene00004505,Public name for WBGene00004505. History: N.A.
rsp-8,0,2,0.036,rsp-8,WBGene00004705,Public name for WBGene00004705. History: N.A.
rsr-2,0,2,0.078,rsr-2,WBGene00013260,Public name for WBGene00013260. History: N.A.
sec-61,0,2,0.023,sec-61,WBGene00013311,Other name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
smu-2,0,2,0.044,smu-2,WBGene00004896,Public name for WBGene00004896. History: N.A.
sna-2,0,2,0.05,sna-2,WBGene00011747,Public name for WBGene00011747. History: N.A.
tag-174,0,2,0.227,tag-174,WBGene00006519,Other name for WBGene00006519(cox-6A). History: Renamed on 2017-09-05
tbb-1,0,2,0.027,tbb-1,WBGene00006536,Public name for WBGene00006536. History: N.A.
trap-1,0,2,0.191,trap-1,WBGene00022122,Public name for WBGene00022122. History: N.A.
uaf-1,0,2,0.069,uaf-1,WBGene00006697,Public name for WBGene00006697. History: N.A.
ubr-5,0,2,0.011,ubr-5,WBGene00009460,Public name for WBGene00009460. History: Renamed on 2016-11-04
ucr-1,0,2,0.055,ucr-1,WBGene00018963,Public name for WBGene00018963. History: N.A.
unc-32,0,2,0.022,unc-32,WBGene00006768,Public name for WBGene00006768. History: N.A.
vit-4,1,2,0.01,vit-4,WBGene00006928,Public name for WBGene00006928. History: N.A.
Y39G10AR.8,0,2,0.094,Y39G10AR.8,WBGene00021466,Sequence name for WBGene00021466(eif-2gamma). History: N.A.
Y48B6A.1,0,2,0.067,Y48B6A.1,WBGene00012978,Public name for WBGene00012978. History: N.A.
Y66H1A.4,2,2,0.111,Y66H1A.4,WBGene00022046,Sequence name for WBGene00022046(garr-1). History: N.A.
zip-8,0,2,0.068,zip-8,WBGene00017755,Public name for WBGene00017755. History: N.A.
ZK1098.1,3,2,0.037,ZK1098.1,WBGene00014218,Sequence name for WBGene00014218(prp-40). History: N.A.
ZK512.2,0,2,0.045,ZK512.2,WBGene00013983,Public name for WBGene00013983. History: N.A.
acs-5,0,1,0.017,acs-5,WBGene00013575,Public name for WBGene00013575. History: N.A.
act-5,0,1,0.043,act-5,WBGene00000067,Public name for WBGene00000067. History: N.A.
age-1,0,1,0.008,age-1,WBGene00000090,Public name for WBGene00000090. History: N.A.
aly-3,0,1,0.058,aly-3,WBGene00000122,Public name for WBGene00000122. History: N.A.
aqp-7,0,1,0.052,aqp-7,WBGene00000175,Public name for WBGene00000175. History: N.A.
ard-1,0,1,0.054,ard-1,WBGene00000181,Public name for WBGene00000181. History: N.A.
asp-6,0,1,0.044,asp-6,WBGene00000219,Public name for WBGene00000219. History: N.A.
atx-2,0,1,0.026,atx-2,WBGene00000231,Public name for WBGene00000231. History: N.A.
B0001.3,0,1,0.028,B0001.3,WBGene00007088,Public name for WBGene00007088. History: N.A.
B0303.3,1,1,0.027,B0303.3,WBGene00015125,Public name for WBGene00015125. History: N.A.
B0336.3,0,1,0.019,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0393.6,0,1,0.037,B0393.6,WBGene00007171,Public name for WBGene00007171. History: N.A.
B0464.6,0,1,0.02,B0464.6,WBGene00007186,Public name for WBGene00007186. History: N.A.
bath-41,0,1,0.029,bath-41,WBGene00018137,Public name for WBGene00018137. History: N.A.
brc-2,0,1,0.033,brc-2,WBGene00020316,Public name for WBGene00020316. History: N.A.
C02B10.4,0,1,0.1,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
C13B9.3,0,1,0.023,C13B9.3,WBGene00015734,Sequence name for WBGene00015734(copd-1). History: N.A.
C13F10.7,0,1,0.09,C13F10.7,WBGene00015746,Public name for WBGene00015746. History: N.A.
C16A3.4,0,1,0.043,C16A3.4,WBGene00015809,Sequence name for WBGene00015809(znf-622). History: N.A.
C18H9.3/C18H9.2,0,1,0.014,,,
C23G10.8,0,1,0.017,C23G10.8,WBGene00016015,Sequence name for WBGene00016015(sna-3). History: N.A.
C24H12.4,0,1,0.03,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
C24H12.4,0,1,0.073,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
C24H12.4,0,1,0.03,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
C24H12.4,0,1,0.073,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
C32E8.5,0,1,0.057,C32E8.5,WBGene00016323,Sequence name for WBGene00016323(pmlr-1). History: N.A.
C34E10.10,0,1,0.056,C34E10.10,WBGene00016411,"Public name for WBGene00016411. History: Split into C34E10.12(WBGene00303005). History of WBGene00016411: Split into ""WBGene00303005"" on 2018-03-06"
C37H5.5,0,1,0.015,C37H5.5,WBGene00016508,Public name for WBGene00016508. History: N.A.
C41A3.1,0,1,0.001,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
C42D4.1,0,1,0.068,C42D4.1,WBGene00016594,Public name for WBGene00016594. History: N.A.
C49H3.3,0,1,0.119,C49H3.3,WBGene00016790,Public name for WBGene00016790. History: N.A.
C56G2.7,0,1,0.051,C56G2.7,WBGene00016981,Sequence name for WBGene00016981(rpn-13). History: N.A.
ccdc-47,0,1,0.043,ccdc-47,WBGene00014204,Public name for WBGene00014204. History: Renamed on 2007-07-20
cct-3,0,1,0.022,cct-3,WBGene00018782,Public name for WBGene00018782. History: N.A.
cdc-48.2,0,1,0.019,cdc-48.2,WBGene00008053,Public name for WBGene00008053. History: N.A.
cdl-1,0,1,0.041,cdl-1,WBGene00000411,Public name for WBGene00000411. History: N.A.
cec-5,0,1,0.043,cec-5,WBGene00017993,Public name for WBGene00017993. History: N.A.
CELE_EEED8.14,0,1,0.037,CELE_EEED8.14,WBGene00017142,Other name for WBGene00017142(EEED8.14). History: N.A.
CELE_F10E7.5,0,1,0.073,CELE_F10E7.5,WBGene00017347,Other name for WBGene00017347(F10E7.5). History: N.A.
CELE_F25H5.5,0,1,0.019,CELE_F25H5.5,WBGene00009127,Other name for WBGene00009127(clsp-1). History: N.A.
CELE_F28C6.8,0,1,0.107,CELE_F28C6.8,WBGene00009207,Other name for WBGene00009207(F28C6.8). History: N.A.
CELE_F37C12.1,0,1,0.037,CELE_F37C12.1,WBGene00018149,Other name for WBGene00018149(yju-2). History: N.A.
CELE_F39C12.1,0,1,0.003,CELE_F39C12.1,WBGene00018193,Other name for WBGene00018193(F39C12.1). History: N.A.
CELE_F52B5.3,0,1,0.01,CELE_F52B5.3,WBGene00009922,Other name for WBGene00009922(F52B5.3). History: N.A.
CELE_F52C6.2,0,1,0.075,CELE_F52C6.2,WBGene00018659,Other name for WBGene00018659(F52C6.2). History: N.A.
CELE_F54D10.7,0,1,0.053,CELE_F54D10.7,WBGene00018808,Other name for WBGene00018808(F54D10.7). History: N.A.
CELE_F55A12.5,0,1,0.02,CELE_F55A12.5,WBGene00018864,Other name for WBGene00018864(F55A12.5). History: N.A.
CELE_F58G11.3,0,1,0.021,CELE_F58G11.3,WBGene00010281,Other name for WBGene00010281(mip-2). History: Renamed on 2021-12-09
CELE_K05C4.5,0,1,0.019,CELE_K05C4.5,WBGene00010582,Other name for WBGene00010582(K05C4.5). History: N.A.
CELE_K07H8.10,0,1,0.015,CELE_K07H8.10,WBGene00019510,Other name for WBGene00019510(nucl-1). History: N.A.
CELE_K09H11.1,0,1,0.012,CELE_K09H11.1,WBGene00019599,Other name for WBGene00019599(acds-10). History: N.A.
CELE_K12D12.5,0,1,0.026,CELE_K12D12.5,WBGene00010787,Other name for WBGene00010787(K12D12.5). History: N.A.
CELE_M70.5,0,1,0.023,CELE_M70.5,WBGene00019787,Other name for WBGene00019787(M70.5). History: N.A.
CELE_R10E4.1,0,1,0.048,CELE_R10E4.1,WBGene00011198,Other name for WBGene00011198(R10E4.1). History: N.A.
CELE_T02B11.8,0,1,0.128,CELE_T02B11.8,WBGene00044776,Other name for WBGene00044776(T02B11.8). History: N.A.
CELE_T05F1.2,0,1,0.028,CELE_T05F1.2,WBGene00011489,Other name for WBGene00011489(T05F1.2). History: N.A.
CELE_T08B2.5,0,1,0.022,CELE_T08B2.5,WBGene00020346,Other name for WBGene00020346(rbm-5). History: N.A.
CELE_T12A2.7,0,1,0.071,CELE_T12A2.7,WBGene00020441,Other name for WBGene00020441(bcas-2). History: N.A.
CELE_T13C2.6,0,1,0.012,CELE_T13C2.6,WBGene00020481,Other name for WBGene00020481(T13C2.6). History: N.A.
CELE_T21B10.3,0,1,0.015,CELE_T21B10.3,WBGene00011885,Other name for WBGene00011885(T21B10.3). History: N.A.
CELE_W04D2.6,0,1,0.023,CELE_W04D2.6,WBGene00012245,Other name for WBGene00012245(rbm-25). History: N.A.
CELE_W05F2.3,0,1,0.072,CELE_W05F2.3,WBGene00021035,Other name for WBGene00021035(W05F2.3). History: N.A.
CELE_W05F2.6,0,1,0.064,CELE_W05F2.6,WBGene00021038,Other name for WBGene00021038(W05F2.6). History: N.A.
CELE_W05F2.6,0,1,0.07,CELE_W05F2.6,WBGene00021038,Other name for WBGene00021038(W05F2.6). History: N.A.
CELE_W09C5.1,0,1,0.039,CELE_W09C5.1,WBGene00012351,Other name for WBGene00012351(W09C5.1). History: N.A.
CELE_Y111B2A.3,0,1,0.018,CELE_Y111B2A.3,WBGene00013729,Other name for WBGene00013729(Y111B2A.3). History: N.A.
CELE_Y44E3A.4,0,1,0.029,CELE_Y44E3A.4,WBGene00021549,Other name for WBGene00021549(cdap-2). History: N.A.
CELE_Y54E2A.4,0,1,0.029,CELE_Y54E2A.4,WBGene00013189,Other name for WBGene00013189(Y54E2A.4). History: N.A.
CELE_Y62H9A.3,1,1,0.07,CELE_Y62H9A.3,WBGene00013391,Other name for WBGene00013391(Y62H9A.3). History: N.A.
CELE_Y62H9A.6,0,1,0.05,CELE_Y62H9A.6,WBGene00013394,Other name for WBGene00013394(ule-5). History: N.A.
CELE_Y66D12A.9,0,1,0.081,,,
CELE_Y69A2AR.21,0,1,0.077,CELE_Y69A2AR.21,WBGene00022092,Other name for WBGene00022092(ccdc-12). History: N.A.
CELE_Y77E11A.7,0,1,0.026,CELE_Y77E11A.7,WBGene00022310,Other name for WBGene00022310(Y77E11A.7). History: N.A.
CELE_Y79H2A.3,0,1,0.008,CELE_Y79H2A.3,WBGene00013580,Other name for WBGene00013580(Y79H2A.3). History: N.A.
CELE_Y94H6A.5,0,1,0.027,CELE_Y94H6A.5,WBGene00022378,Other name for WBGene00022378(Y94H6A.5). History: N.A.
CELE_ZC373.2,0,1,0.183,CELE_ZC373.2,WBGene00013867,Other name for WBGene00013867(ZC373.2). History: N.A.
CELE_ZK430.7,0,1,0.036,CELE_ZK430.7,WBGene00022742,Other name for WBGene00022742(ZK430.7). History: N.A.
CELE_ZK813.3,0,1,0.057,CELE_ZK813.3,WBGene00022822,Other name for WBGene00022822(ZK813.3). History: N.A.
cgp-1,0,1,0.029,cgp-1,WBGene00000480,Public name for WBGene00000480. History: N.A.
che-11,2,1,0.01,che-11,WBGene00000490,Public name for WBGene00000490. History: Renamed on 2018-06-11
cif-1,0,1,0.031,cif-1,WBGene00019543,Public name for WBGene00019543. History: N.A.
crn-3,0,1,0.018,crn-3,WBGene00000796,Public name for WBGene00000796. History: Renamed on 2007-06-04
cyn-10,0,1,0.093,cyn-10,WBGene00000886,Public name for WBGene00000886. History: N.A.
cyn-8,0,1,0.045,cyn-8,WBGene00000884,Public name for WBGene00000884. History: N.A.
daz-1,0,1,0.032,daz-1,WBGene00000935,Public name for WBGene00000935. History: N.A.
dlc-3,0,1,0.062,dlc-3,WBGene00012424,Public name for WBGene00012424. History: N.A.
drh-3,0,1,0.013,drh-3,WBGene00008400,Public name for WBGene00008400. History: Renamed on 2005-11-22
edc-3,0,1,0.03,edc-3,WBGene00011036,Public name for WBGene00011036. History: N.A.
egl-45,0,1,0.014,egl-45,WBGene00001209,Public name for WBGene00001209. History: N.A.
eif-3.G,0,1,0.046,eif-3.G,WBGene00001230,Public name for WBGene00001230. History: N.A.
eif-3.L,0,1,0.022,eif-3.L,WBGene00015920,Public name for WBGene00015920. History: N.A.
enpl-1,0,1,0.016,enpl-1,WBGene00011480,Public name for WBGene00011480. History: N.A.
ergo-1,0,1,0.014,ergo-1,WBGene00019971,Public name for WBGene00019971. History: N.A.
F33H1.3,0,1,0.047,F33H1.3,WBGene00009364,Sequence name for WBGene00009364(wbp-11). History: N.A.
F42G9.1,0,1,0.02,F42G9.1,WBGene00018362,Sequence name for WBGene00018362(ppm-1.G). History: N.A.
F44E2.8,0,1,0.058,F44E2.8,WBGene00018421,Public name for WBGene00018421. History: N.A.
fat-2,0,1,0.045,fat-2,WBGene00001394,Public name for WBGene00001394. History: N.A.
fipp-1,0,1,0.029,fipp-1,WBGene00017988,Public name for WBGene00017988. History: N.A.
gld-2,0,1,0.016,gld-2,WBGene00001596,Public name for WBGene00001596. History: N.A.
glh-1,0,1,0.012,glh-1,WBGene00001598,Public name for WBGene00001598. History: N.A.
gpd-1,0,1,0.041,gpd-1,WBGene00001683,Public name for WBGene00001683. History: N.A.
gpd-2,0,1,0.041,gpd-2,WBGene00001684,Public name for WBGene00001684. History: N.A.
idh-1,0,1,0.044,idh-1,WBGene00010317,Public name for WBGene00010317. History: N.A.
K04G2.1,0,1,0.108,K04G2.1,WBGene00010560,Sequence name for WBGene00010560(eif-2beta). History: Renamed on 2017-01-09
K07C5.6,0,1,0.023,K07C5.6,WBGene00010629,Sequence name for WBGene00010629(sluh-7). History: N.A.
K12H4.7,0,1,0.031,K12H4.7,WBGene00019682,Public name for WBGene00019682. History: N.A.
