# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
Y39E4B.2,2873,244.0329153091,Y39E4B.2,WBGene00012715,Sequence name for WBGene00012715(snpc-1.2). History: N.A.
Y40D12A.1,2865,243.3533944868,Y40D12A.1,WBGene00021502,Public name for WBGene00021502. History: N.A.
T09A5.7,2860,242.9286939729,T09A5.7,WBGene00011635,Sequence name for WBGene00011635(mdmh-35). History: N.A.
F57G4.8,2859,242.8437538701,F57G4.8,WBGene00010212,Sequence name for WBGene00010212(fbxa-192). History: N.A.
W02D3.8,2858,242.7588137673,W02D3.8,WBGene00004883,Sequence name for WBGene00004883(smg-5). History: N.A.
Y18D10A.13,2857,242.6738736645,Y18D10A.13,WBGene00003905,Sequence name for WBGene00003905(pad-1). History: N.A.
C35B1.1,2853,242.3341132534,C35B1.1,WBGene00006701,Sequence name for WBGene00006701(ubc-1). History: N.A.
F52G2.2,2852,242.2491731506,F52G2.2,WBGene00004681,Sequence name for WBGene00004681(rsd-2). History: N.A.
M88.6,2847,241.8244726366,M88.6,WBGene00003915,Sequence name for WBGene00003915(pan-1). History: N.A.
F35G2.1,2846,241.7395325338,F35G2.1,WBGene00009435,Public name for WBGene00009435. History: N.A.
M117.3,2845,241.6545924311,M117.3,WBGene00010919,Public name for WBGene00010919. History: N.A.
W02B12.2,2844,241.5696523283,W02B12.2,WBGene00004699,Sequence name for WBGene00004699(rsp-2). History: N.A.
Y43F4B.4,2839,241.1449518143,Y43F4B.4,WBGene00003804,Sequence name for WBGene00003804(npp-18). History: N.A.
C01B10.8,2838,241.0600117115,C01B10.8,WBGene00015282,Public name for WBGene00015282. History: N.A.
R06A4.4,2836,240.890131506,R06A4.4,WBGene00002076,Sequence name for WBGene00002076(imb-2). History: N.A.
F29C12.4,2835,240.8051914032,F29C12.4,WBGene00009246,Sequence name for WBGene00009246(gfm-1). History: N.A.
Y48G8AL.1,2835,240.8051914032,Y48G8AL.1,WBGene00021685,Sequence name for WBGene00021685(herc-1). History: N.A.
Y106G6H.7,2834,240.7202513004,Y106G6H.7,WBGene00004753,Sequence name for WBGene00004753(sec-8). History: N.A.
Y43F4B.3,2834,240.7202513004,Y43F4B.3,WBGene00012802,Sequence name for WBGene00012802(set-25). History: N.A.
ZK973.8,2834,240.7202513004,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
F59A2.3,2832,240.5503710948,F59A2.3,WBGene00010303,Sequence name for WBGene00010303(cri-3). History: N.A.
Y71G12B.9,2821,239.6160299642,Y71G12B.9,WBGene00022149,Sequence name for WBGene00022149(lin-65). History: N.A.
F44A2.1,2819,239.4461497586,F44A2.1,WBGene00006499,"Sequence name for WBGene00006499(tag-153). History: N.A.. Public name for Dead gene WBGene00018401. History of WBGene00018401: Merged into ""WBGene00006499"" on 2004-05-28"
C10C6.1,2818,239.3612096558,C10C6.1,WBGene00002192,Sequence name for WBGene00002192(kin-4). History: N.A.
Y110A7A.19,2817,239.276269553,Y110A7A.19,WBGene00002804,Sequence name for WBGene00002804(let-630). History: Renamed on 2014-09-04
F38B7.5,2815,239.1063893474,F38B7.5,WBGene00001110,Sequence name for WBGene00001110(duo-1). History: N.A.
C53A5.3,2812,238.8515690391,C53A5.3,WBGene00001834,Sequence name for WBGene00001834(hda-1). History: N.A.
F35H10.7,2811,238.7666289363,F35H10.7,WBGene00018072,Sequence name for WBGene00018072(nprl-3). History: N.A.
Y17G7A.1,2810,238.6816888335,Y17G7A.1,WBGene00001977,Sequence name for WBGene00001977(hmg-12). History: N.A.
C08C3.2,2809,238.5967487307,C08C3.2,WBGene00015590,Sequence name for WBGene00015590(bath-15). History: N.A.
C50B8.1,2808,238.5118086279,C50B8.1,WBGene00008224,Sequence name for WBGene00008224(slrp-1). History: N.A.
C27B7.5,2806,238.3419284223,C27B7.5,WBGene00007762,Public name for WBGene00007762. History: N.A.
Y113G7B.23,2806,238.3419284223,Y113G7B.23,WBGene00004203,Sequence name for WBGene00004203(swsn-1). History: Renamed on 2011-02-11
EEED8.16,2800,237.8322878056,EEED8.16,WBGene00017144,Sequence name for WBGene00017144(brap-2). History: N.A.
F23F12.6,2799,237.7473477028,F23F12.6,WBGene00004503,Sequence name for WBGene00004503(rpt-3). History: N.A.
Y71H2B.11,2799,237.7473477028,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
F09F7.3,2783,236.3883060582,F09F7.3,WBGene00017300,Sequence name for WBGene00017300(rpc-2). History: N.A.
K02D10.1,2782,236.3033659554,K02D10.1,WBGene00019301,Public name for WBGene00019301. History: N.A.
T10B5.3,2774,235.6238451331,T10B5.3,WBGene00020389,Public name for WBGene00020389. History: N.A.
C47E12.5,2771,235.3690248248,C47E12.5,WBGene00006699,Sequence name for WBGene00006699(uba-1). History: N.A.
F07F6.4,2767,235.0292644136,F07F6.4,WBGene00017217,Public name for WBGene00017217. History: N.A.
C02B10.1,2759,234.3497435913,C02B10.1,WBGene00015326,Sequence name for WBGene00015326(ivd-1). History: N.A.
C44B9.4,2755,234.0099831802,C44B9.4,WBGene00008081,Sequence name for WBGene00008081(athp-1). History: N.A.
Y18D10A.1,2755,234.0099831802,Y18D10A.1,WBGene00012474,Sequence name for WBGene00012474(attf-6). History: N.A.
Y61A9LA.3,2750,233.5852826662,Y61A9LA.3,WBGene00022015,Public name for WBGene00022015. History: N.A.
T20F5.6,2749,233.5003425634,T20F5.6,WBGene00020628,Public name for WBGene00020628. History: N.A.
Y49E10.11,2749,233.5003425634,Y49E10.11,WBGene00013034,Sequence name for WBGene00013034(tat-1). History: N.A.
K10D2.1,2747,233.3304623579,K10D2.1,WBGene00019627,"Sequence name for WBGene00019627(hira-1). History: Split into K10D2.8(WBGene00189952). History of WBGene00019627: Split into ""WBGene00189952"" on 2009-04-20"
F52C12.4,2742,232.9057618439,F52C12.4,WBGene00018681,Sequence name for WBGene00018681(denn-4). History: N.A.
C34B4.2,2740,232.7358816383,C34B4.2,WBGene00007907,Public name for WBGene00007907. History: N.A.
Y105E8A.13,2739,232.6509415356,Y105E8A.13,WBGene00013673,Public name for WBGene00013673. History: N.A.
K03H1.7,2733,232.1413009188,K03H1.7,WBGene00010542,Public name for WBGene00010542. History: N.A.
ZK1127.11,2732,232.056360816,ZK1127.11,WBGene00001872,Sequence name for WBGene00001872(him-14). History: N.A.
F26F4.6,2731,231.9714207133,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
Y116F11B.12,2727,231.6316603021,Y116F11B.12,WBGene00001629,Sequence name for WBGene00001629(gly-4). History: N.A.
Y41D4B.19,2727,231.6316603021,Y41D4B.19,WBGene00003794,Sequence name for WBGene00003794(npp-8). History: N.A.
T19E10.1,2713,230.4424988631,T19E10.1,WBGene00002297,"Sequence name for WBGene00002297(ect-2). History: Renamed on 2005-09-28. Public name for Dead gene WBGene00011845. History of WBGene00011845: Merged into ""WBGene00002297"" on 2005-09-28"
F25G6.2,2711,230.2726186575,F25G6.2,WBGene00017797,Sequence name for WBGene00017797(symk-1). History: N.A.
F52B5.1,2711,230.2726186575,F52B5.1,WBGene00009920,Sequence name for WBGene00009920(abts-1). History: N.A.
R144.7,2711,230.2726186575,R144.7,WBGene00020097,Sequence name for WBGene00020097(larp-1). History: N.A.
E01B7.1,2710,230.1876785547,E01B7.1,WBGene00008441,Sequence name for WBGene00008441(usp-50). History: N.A.
C32D5.8,2709,230.1027384519,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
Y67H2A.5,2709,230.1027384519,Y67H2A.5,WBGene00013463,Sequence name for WBGene00013463(kdp-1). History: N.A.
C04F5.9,2706,229.8479181436,C04F5.9,WBGene00015451,Public name for WBGene00015451. History: N.A.
C42D4.8,2703,229.5930978352,C42D4.8,WBGene00004411,Sequence name for WBGene00004411(rpc-1). History: N.A.
F54D11.2,2702,229.5081577324,F54D11.2,WBGene00018812,"Sequence name for WBGene00018812(sumv-2). History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
H21P03.3,2701,229.4232176296,H21P03.3,WBGene00004892,Sequence name for WBGene00004892(sms-1). History: N.A.
F36A2.13,2698,229.1683973213,F36A2.13,WBGene00009460,Sequence name for WBGene00009460(ubr-5). History: Renamed on 2016-11-04
F44E7.4,2698,229.1683973213,F44E7.4,WBGene00018426,Public name for WBGene00018426. History: N.A.
T06D8.8,2698,229.1683973213,T06D8.8,WBGene00004465,Sequence name for WBGene00004465(rpn-9). History: N.A.
F53H10.2,2697,229.0834572185,F53H10.2,WBGene00010012,Sequence name for WBGene00010012(saeg-1). History: N.A.
F52G2.1,2693,228.7436968073,F52G2.1,WBGene00003582,Sequence name for WBGene00003582(dcap-2). History: Renamed on 2005-12-19
Y39E4B.1,2692,228.6587567045,Y39E4B.1,WBGene00012714,Sequence name for WBGene00012714(abce-1). History: N.A.
F46F11.2,2689,228.4039363962,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
F57B10.6,2687,228.2340561906,F57B10.6,WBGene00019004,Sequence name for WBGene00019004(xpg-1). History: N.A.
B0041.2,2685,228.064175985,B0041.2,WBGene00015007,Sequence name for WBGene00015007(ain-2). History: N.A.
W04A8.6,2684,227.9792358822,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
K07G5.2,2682,227.8093556767,K07G5.2,WBGene00006963,Sequence name for WBGene00006963(xpa-1). History: Renamed on 2008-03-07
F53H1.3,2680,227.6394754711,F53H1.3,WBGene00018777,Public name for WBGene00018777. History: N.A.
F11E6.7,2676,227.2997150599,F11E6.7,WBGene00008710,Sequence name for WBGene00008710(rif-1.1). History: N.A.
F28B3.9,2673,227.0448947516,F28B3.9,WBGene00017888,Sequence name for WBGene00017888(acl-11). History: N.A.
T26A5.3,2671,226.875014546,T26A5.3,WBGene00006463,Sequence name for WBGene00006463(nduf-2.2). History: Renamed on 2008-02-26
Y37A1B.1,2671,226.875014546,Y37A1B.1,WBGene00003085,Sequence name for WBGene00003085(ccar-1). History: Renamed on 2015-11-23
Y79H2A.11,2665,226.3653739293,Y79H2A.11,WBGene00006993,Sequence name for WBGene00006993(zyg-8). History: N.A.
T14G10.6,2663,226.1954937237,T14G10.6,WBGene00006638,Sequence name for WBGene00006638(tsp-12). History: N.A.
Y47G6A.29,2661,226.0256135181,Y47G6A.29,WBGene00003060,"Public name for Dead gene WBGene00021652. History of WBGene00021652: Merged into ""WBGene00003060"" on 2014-09-03"
Y82E9BR.16,2660,225.9406734153,Y82E9BR.16,WBGene00022348,Public name for WBGene00022348. History: N.A.
M01F1.8,2656,225.6009130042,M01F1.8,WBGene00010814,Public name for WBGene00010814. History: N.A.
F45E12.1,2653,225.3460926958,F45E12.1,WBGene00018474,Sequence name for WBGene00018474(cnep-1). History: Renamed on 2013-01-22
Y116A8C.26,2652,225.261152593,Y116A8C.26,WBGene00013803,Sequence name for WBGene00013803(snx-13). History: N.A.
C47D12.7,2649,225.0063322847,C47D12.7,WBGene00002184,Sequence name for WBGene00002184(kel-1). History: N.A.
C10G11.7,2645,224.6665718735,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
C16A3.8,2640,224.2418713596,C16A3.8,WBGene00015813,Sequence name for WBGene00015813(thoc-2). History: Renamed on 2007-07-20
F17C11.8,2640,224.2418713596,F17C11.8,WBGene00008919,Sequence name for WBGene00008919(vps-36). History: N.A.
T05C3.5,2638,224.071991154,T05C3.5,WBGene00001037,Sequence name for WBGene00001037(dnj-19). History: Renamed on 2005-12-16
C04G6.4,2635,223.8171708456,C04G6.4,WBGene00015454,Public name for WBGene00015454. History: N.A.
F07A11.2,2635,223.8171708456,F07A11.2,WBGene00008546,Sequence name for WBGene00008546(gfat-1). History: N.A.
T09A12.4,2635,223.8171708456,T09A12.4,WBGene00003656,Sequence name for WBGene00003656(nhr-66). History: N.A.
C17G10.4,2630,223.3924703317,C17G10.4,WBGene00000383,"Sequence name for WBGene00000383(cdc-14). History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
T07A9.14,2628,223.2225901261,T07A9.14,WBGene00044789,Public name for WBGene00044789. History: N.A.
F09E5.5,2627,223.1376500233,F09E5.5,WBGene00017284,Sequence name for WBGene00017284(sec-6). History: N.A.
F20H11.1,2627,223.1376500233,F20H11.1,WBGene00017646,Public name for WBGene00017646. History: N.A.
F53G2.6,2627,223.1376500233,F53G2.6,WBGene00006647,Sequence name for WBGene00006647(tsr-1). History: N.A.
M106.1,2621,222.6280094066,M106.1,WBGene00003367,Sequence name for WBGene00003367(mix-1). History: N.A.
T22D1.4,2617,222.2882489955,T22D1.4,WBGene00020683,Sequence name for WBGene00020683(ribo-1). History: N.A.
Y47D3A.29,2617,222.2882489955,Y47D3A.29,WBGene00012936,Sequence name for WBGene00012936(pola-1). History: N.A.
Y75B8A.25,2616,222.2033088927,Y75B8A.25,WBGene00013558,Public name for WBGene00013558. History: N.A.
W03F8.3,2609,221.6087281732,W03F8.3,WBGene00020993,Sequence name for WBGene00020993(mtrf-1L). History: N.A.
C23G10.8,2607,221.4388479676,C23G10.8,WBGene00016015,Sequence name for WBGene00016015(sna-3). History: N.A.
Y47D3A.16,2606,221.3539078648,Y47D3A.16,WBGene00012929,Sequence name for WBGene00012929(rsks-1). History: N.A.
F33H1.4,2604,221.1840276592,F33H1.4,WBGene00009365,Public name for WBGene00009365. History: N.A.
F20D12.2,2603,221.0990875564,F20D12.2,WBGene00017642,Public name for WBGene00017642. History: N.A.
K02B12.3,2601,220.9292073509,K02B12.3,WBGene00010496,Sequence name for WBGene00010496(sec-12). History: Renamed on 2005-03-17
T05H4.10,2597,220.5894469397,T05H4.10,WBGene00020273,Public name for WBGene00020273. History: N.A.
K04F10.7,2596,220.5045068369,K04F10.7,WBGene00019399,Public name for WBGene00019399. History: N.A.
ZK688.8,2592,220.1647464258,ZK688.8,WBGene00001628,Sequence name for WBGene00001628(gly-3). History: N.A.
F41H10.11,2591,220.079806323,F41H10.11,WBGene00018321,Sequence name for WBGene00018321(sand-1). History: N.A.
F25G6.9,2583,219.4002855007,F25G6.9,WBGene00017800,Public name for WBGene00017800. History: N.A.
Y54E10BR.4,2582,219.3153453979,Y54E10BR.4,WBGene00021843,Public name for WBGene00021843. History: N.A.
F52E1.13,2581,219.2304052951,F52E1.13,WBGene00018700,Sequence name for WBGene00018700(lmd-3). History: Renamed on 2014-08-08
Y39A1A.1,2581,219.2304052951,Y39A1A.1,WBGene00012641,Sequence name for WBGene00012641(epg-6). History: N.A.
T04A8.14,2577,218.8906448839,T04A8.14,WBGene00001259,Sequence name for WBGene00001259(emb-5). History: N.A.
B0564.11,2573,218.5508844728,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
F59B2.2,2573,218.5508844728,F59B2.2,WBGene00010307,Sequence name for WBGene00010307(skat-1). History: N.A.
ZK381.1,2573,218.5508844728,ZK381.1,WBGene00001862,Sequence name for WBGene00001862(him-3). History: N.A.
F59E12.2,2572,218.46594437,F59E12.2,WBGene00006988,Sequence name for WBGene00006988(zyg-1). History: N.A.
Y45F10C.3,2572,218.46594437,Y45F10C.3,WBGene00012879,Sequence name for WBGene00012879(fbxa-215). History: N.A.
R74.4,2571,218.3810042672,R74.4,WBGene00001034,Sequence name for WBGene00001034(dnj-16). History: N.A.
B0041.7,2568,218.1261839589,B0041.7,WBGene00006961,Sequence name for WBGene00006961(xnp-1). History: Renamed on 2004-09-10
C50E3.5,2566,217.9563037533,C50E3.5,WBGene00016816,Public name for WBGene00016816. History: N.A.
W02B9.1,2564,217.7864235477,W02B9.1,WBGene00001980,Sequence name for WBGene00001980(hmr-1). History: N.A.
Y105E8A.9,2563,217.7014834449,Y105E8A.9,WBGene00000158,Sequence name for WBGene00000158(apg-1). History: N.A.
F12A10.8,2560,217.4466631366,F12A10.8,WBGene00017397,Public name for WBGene00017397. History: N.A.
R05D3.11,2554,216.9370225198,R05D3.11,WBGene00019883,Sequence name for WBGene00019883(met-2). History: N.A.
Y75B7AL.4,2553,216.852082417,Y75B7AL.4,WBGene00022286,Sequence name for WBGene00022286(rga-4). History: N.A.
M02B7.5,2552,216.7671423143,M02B7.5,WBGene00019726,Sequence name for WBGene00019726(bris-1). History: N.A.
C09G9.1,2550,216.5972621087,C09G9.1,WBGene00007492,Public name for WBGene00007492. History: N.A.
Y57A10A.18,2549,216.5123220059,Y57A10A.18,WBGene00004167,Sequence name for WBGene00004167(pqn-87). History: N.A.
Y48G9A.4,2546,216.2575016975,Y48G9A.4,WBGene00021698,Sequence name for WBGene00021698(frl-1). History: N.A.
Y53F4B.22,2545,216.1725615947,Y53F4B.22,WBGene00013168,Sequence name for WBGene00013168(arp-1). History: N.A.
C35A5.8,2540,215.7478610808,C35A5.8,WBGene00007952,Public name for WBGene00007952. History: N.A.
T24F1.2,2540,215.7478610808,T24F1.2,WBGene00011994,Sequence name for WBGene00011994(samp-1). History: N.A.
Y34D9A.1,2538,215.5779808752,Y34D9A.1,WBGene00021327,Sequence name for WBGene00021327(mrpl-38). History: N.A.
T24A11.1,2537,215.4930407724,T24A11.1,WBGene00003476,Sequence name for WBGene00003476(mtm-3). History: N.A.
C32E8.11,2535,215.3231605669,C32E8.11,WBGene00016326,Sequence name for WBGene00016326(ubr-1). History: N.A.
T01G1.3,2535,215.3231605669,T01G1.3,WBGene00011338,Sequence name for WBGene00011338(sec-31). History: N.A.
ZK484.3,2535,215.3231605669,ZK484.3,WBGene00022749,Public name for WBGene00022749. History: N.A.
F35G12.5,2529,214.8135199501,F35G12.5,WBGene00009442,Public name for WBGene00009442. History: N.A.
F58G11.2,2527,214.6436397446,F58G11.2,WBGene00010280,Sequence name for WBGene00010280(rde-12). History: N.A.
Y67D8A.2,2526,214.5586996418,Y67D8A.2,WBGene00022059,Public name for WBGene00022059. History: N.A.
K11H3.6,2524,214.3888194362,K11H3.6,WBGene00010783,Sequence name for WBGene00010783(mrpl-36). History: N.A.
T25E12.4,2523,214.3038793334,T25E12.4,WBGene00012019,Sequence name for WBGene00012019(dkf-2). History: N.A.
C43H8.2,2522,214.2189392306,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
Y61A9LA.10,2522,214.2189392306,Y61A9LA.10,WBGene00022021,Public name for WBGene00022021. History: N.A.
C53H9.2,2519,213.9641189223,C53H9.2,WBGene00016907,Public name for WBGene00016907. History: N.A.
D2045.6,2519,213.9641189223,D2045.6,WBGene00000836,Sequence name for WBGene00000836(cul-1). History: N.A.
F57B9.2,2517,213.7942387167,F57B9.2,WBGene00002845,"Sequence name for WBGene00002845(let-711). History: Renamed on 2007-04-12. Public name for Dead gene WBGene00003824. History of WBGene00003824: Merged into ""WBGene00002845"" on 2006-09-21"
D2013.5,2516,213.7092986139,D2013.5,WBGene00001134,Sequence name for WBGene00001134(eat-3). History: N.A.
F18C12.3,2514,213.5394184083,F18C12.3,WBGene00008934,Public name for WBGene00008934. History: N.A.
F58H1.8,2509,213.1147178944,F58H1.8,WBGene00138720,Public name for WBGene00138720. History: N.A.
K01C8.5,2509,213.1147178944,K01C8.5,WBGene00001571,Sequence name for WBGene00001571(gei-14). History: N.A.
C47G2.5,2508,213.0297777916,C47G2.5,WBGene00008166,Sequence name for WBGene00008166(saps-1). History: N.A.
C27H6.2,2506,212.859897586,C27H6.2,WBGene00007784,Sequence name for WBGene00007784(ruvb-1). History: N.A.
Y45G12B.2,2505,212.7749574832,Y45G12B.2,WBGene00021563,Public name for WBGene00021563. History: N.A.
Y37H2A.4,2504,212.6900173804,Y37H2A.4,WBGene00012564,Sequence name for WBGene00012564(fbxa-107). History: N.A.
F41H10.6,2502,212.5201371749,F41H10.6,WBGene00018319,Sequence name for WBGene00018319(hda-6). History: Renamed on 2012-04-12
H39E23.1,2502,212.5201371749,H39E23.1,WBGene00003916,Sequence name for WBGene00003916(par-1). History: N.A.
C09H10.7,2498,212.1803767637,C09H10.7,WBGene00003133,"Sequence name for Dead gene WBGene00007501. History of WBGene00007501: Merged into ""WBGene00003133"" on 2022-01-03. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC."
F10G7.9,2495,211.9255564554,F10G7.9,WBGene00017372,Public name for WBGene00017372. History: N.A.
F32A7.5,2493,211.7556762498,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
C46C2.1,2490,211.5008559414,C46C2.1,WBGene00006941,Sequence name for WBGene00006941(wnk-1). History: N.A.
R06C7.1,2488,211.3309757358,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
B0379.3,2485,211.0761554275,B0379.3,WBGene00003508,Sequence name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
Y48A6B.13,2482,210.8213351191,Y48A6B.13,WBGene00012973,Sequence name for WBGene00012973(spat-2). History: N.A.
Y57A10A.31,2481,210.7363950163,Y57A10A.31,WBGene00013270,Public name for WBGene00013270. History: N.A.
E02H9.3,2474,210.1418142968,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
B0238.9,2473,210.056874194,B0238.9,WBGene00015073,Public name for WBGene00015073. History: N.A.
C47E12.4,2471,209.8869939885,C47E12.4,WBGene00008149,Sequence name for WBGene00008149(pyp-1). History: N.A.
C48G7.3,2470,209.8020538857,C48G7.3,WBGene00008183,Sequence name for WBGene00008183(rin-1). History: Renamed on 2012-09-25
C25H3.9,2466,209.4622934745,C25H3.9,WBGene00016118,Public name for WBGene00016118. History: N.A.
Y39G10AR.14,2464,209.2924132689,Y39G10AR.14,WBGene00003156,Sequence name for WBGene00003156(mcm-4). History: Renamed on 2015-03-03; Renamed on 2015-03-03
F25H2.8,2461,209.0375929606,F25H2.8,WBGene00006720,Sequence name for WBGene00006720(ubc-25). History: N.A.
M01E5.3,2460,208.9526528578,M01E5.3,WBGene00010806,Public name for WBGene00010806. History: N.A.
ZK1098.10,2457,208.6978325494,ZK1098.10,WBGene00006755,Sequence name for WBGene00006755(unc-16). History: N.A.
ZK637.8,2452,208.2731320355,ZK637.8,WBGene00006768,Sequence name for WBGene00006768(unc-32). History: N.A.
F44E2.8,2451,208.1881919327,F44E2.8,WBGene00018421,Public name for WBGene00018421. History: N.A.
T21E3.1,2451,208.1881919327,T21E3.1,WBGene00020652,Sequence name for WBGene00020652(egg-4). History: N.A.
ZC410.2,2450,208.1032518299,ZC410.2,WBGene00013880,Sequence name for WBGene00013880(mppb-1). History: N.A.
F59H6.1,2445,207.678551316,F59H6.1,WBGene00019132,Sequence name for WBGene00019132(bath-19). History: N.A.
B0432.7,2443,207.5086711104,B0432.7,WBGene00015188,Public name for WBGene00015188. History: N.A.
F37H8.7,2440,207.253850802,F37H8.7,WBGene00219589,"Public name for Dead gene WBGene00194956. History of WBGene00194956: Merged into ""WBGene00219589"" on 2017-09-21"
Y95B8A.8,2438,207.0839705965,Y95B8A.8,WBGene00022388,Sequence name for WBGene00022388(zfr-1). History: N.A.
T06A10.1,2436,206.9140903909,T06A10.1,WBGene00020284,Sequence name for WBGene00020284(mel-46). History: N.A.
C07H4.2,2435,206.8291502881,C07H4.2,WBGene00000532,Sequence name for WBGene00000532(clh-5). History: N.A.
K10G6.3,2433,206.6592700825,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
ZK632.7,2429,206.3195096714,ZK632.7,WBGene00014015,Sequence name for WBGene00014015(panl-3). History: N.A.
F56F3.1,2428,206.2345695686,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
Y47G6A.6,2428,206.2345695686,Y47G6A.6,WBGene00021636,Sequence name for WBGene00021636(pcaf-1). History: N.A.
Y54G11A.8,2421,205.6399888491,Y54G11A.8,WBGene00013217,Sequence name for WBGene00013217(ddl-3). History: N.A.
C34E10.5,2418,205.3851685407,C34E10.5,WBGene00016408,Sequence name for WBGene00016408(prmt-5). History: Renamed on 2007-07-20
Y38F2AL.4,2417,205.3002284379,Y38F2AL.4,WBGene00006912,Sequence name for WBGene00006912(vha-3). History: N.A.
C28H8.3,2416,205.2152883351,C28H8.3,WBGene00016194,Public name for WBGene00016194. History: N.A.
R08D7.3,2414,205.0454081296,R08D7.3,WBGene00001227,Sequence name for WBGene00001227(eif-3.D). History: N.A.
T19B4.2,2409,204.6207076156,T19B4.2,WBGene00003793,Sequence name for WBGene00003793(npp-7). History: N.A.
B0035.5,2407,204.45082741,B0035.5,WBGene00007108,Sequence name for WBGene00007108(gspd-1). History: N.A.
Y22D7AL.10,2405,204.2809472045,Y22D7AL.10,WBGene00021248,Public name for WBGene00021248. History: N.A.
ZK675.1,2404,204.1960071017,ZK675.1,WBGene00004208,Sequence name for WBGene00004208(ptc-1). History: N.A.
W01G7.5,2400,203.8562466905,W01G7.5,WBGene00002275,Sequence name for WBGene00002275(lem-2). History: N.A.
Y53C12B.3,2400,203.8562466905,Y53C12B.3,WBGene00003785,Sequence name for WBGene00003785(nos-3). History: N.A.
W07E6.2,2399,203.7713065877,W07E6.2,WBGene00021074,Public name for WBGene00021074. History: N.A.
Y43F8C.12,2394,203.3466060738,Y43F8C.12,WBGene00003413,Sequence name for WBGene00003413(mrp-7). History: N.A.
K10D2.6,2390,203.0068456626,K10D2.6,WBGene00001262,"Sequence name for WBGene00001262(emb-8). History: Renamed on 2018-09-18. Public name for Dead gene WBGene00019632. History of WBGene00019632: Merged into ""WBGene00001262"" on 2005-08-19"
Y76B12C.7,2390,203.0068456626,Y76B12C.7,WBGene00022301,Sequence name for WBGene00022301(cpsf-1). History: N.A.
F54D5.14,2388,202.8369654571,F54D5.14,WBGene00010056,Sequence name for WBGene00010056(smc-6). History: N.A.
B0495.7,2385,202.5821451487,B0495.7,WBGene00015206,Public name for WBGene00015206. History: N.A.
T12A2.2,2380,202.1574446348,T12A2.2,WBGene00020437,Sequence name for WBGene00020437(stt-3). History: N.A.
H37A05.1,2378,201.9875644292,H37A05.1,WBGene00010425,Sequence name for WBGene00010425(lpin-1). History: N.A.
T23D8.1,2377,201.9026243264,T23D8.1,WBGene00003397,Sequence name for WBGene00003397(mom-5). History: N.A.
ZK353.1,2375,201.7327441208,ZK353.1,WBGene00022697,Sequence name for WBGene00022697(cyy-1). History: N.A.
H26D21.2,2374,201.647804018,H26D21.2,WBGene00003418,Sequence name for WBGene00003418(msh-2). History: N.A.
ZK1248.13,2373,201.5628639153,ZK1248.13,WBGene00022882,Sequence name for WBGene00022882(gtap-1). History: N.A.
ZK742.1,2373,201.5628639153,ZK742.1,WBGene00002078,Sequence name for WBGene00002078(xpo-1). History: Renamed on 2008-01-30
C08B11.1,2369,201.2231035041,C08B11.1,WBGene00006996,Sequence name for WBGene00006996(zyg-11). History: N.A.
F43G6.9,2366,200.9682831957,F43G6.9,WBGene00009661,Sequence name for WBGene00009661(patr-1). History: N.A.
T12D8.6,2365,200.883343093,T12D8.6,WBGene00011734,Sequence name for WBGene00011734(mlc-5). History: N.A.
F25B5.6,2363,200.7134628874,F25B5.6,WBGene00017777,Public name for WBGene00017777. History: N.A.
F48E8.5,2363,200.7134628874,F48E8.5,WBGene00003901,Sequence name for WBGene00003901(paa-1). History: N.A.
C28C12.10,2362,200.6285227846,C28C12.10,WBGene00006450,Sequence name for WBGene00006450(tag-77). History: N.A.
H06O01.1,2360,200.458642579,H06O01.1,WBGene00003964,Sequence name for WBGene00003964(pdi-3). History: N.A.
