# Table S4. mRNAs significantly downregulated 1.3 fold or greater in wild type gonads relative to whole animals.
# * mean reads across all libraries
gene_id,description,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
Y43F8B.1,Y43F8B.1,300.31345491207,-90.6964,5.56091977058456e-54,Y43F8B.1,WBGene00012812,Public name for WBGene00012812. History: N.A.
Y39A3A.4,Y39A3A.4,8.05332105788913,-90.6799,4.07122066109979e-05,Y39A3A.4,WBGene00021435,Public name for WBGene00021435. History: N.A.
Y37A1B.15,gei-18,8.02242312429475,-90.542,2.66884734702799e-05,Y37A1B.15,WBGene00001575,"Sequence name for WBGene00001575(gei-18). History: Split into dnbp-1(WBGene00044989). History of WBGene00001575: Split into ""WBGene00044989"" on 2006-09-07"
F52F10.4,oac-32,8.04515725383325,-90.5305,1.76267514552186e-05,F52F10.4,WBGene00018708,Sequence name for WBGene00018708(oac-32). History: N.A.
Y54G2A.47,pudl-2,8.03067724914569,-90.3996,2.11272265495194e-05,Y54G2A.47,WBGene00044490,Sequence name for WBGene00044490(pudl-2). History: N.A.
F29A7.1,fbxb-106,8.00381108900634,-90.3391,1.72447834462482e-05,F29A7.1,WBGene00017911,Sequence name for WBGene00017911(fbxb-106). History: N.A.
ZK488.2,nhr-90,44.3369646660601,-90.3212,4.12252143352532e-12,ZK488.2,WBGene00003680,Sequence name for WBGene00003680(nhr-90). History: N.A.
C25F6.7,C25F6.7,7.9901102596604,-90.3008,1.84064340977601e-05,C25F6.7,WBGene00016106,Sequence name for WBGene00016106(itm-2). History: N.A.
Y82E9BR.23,pals-19,8.01693115532165,-90.2503,1.68367489238983e-05,Y82E9BR.23,WBGene00044761,Sequence name for WBGene00044761(pals-19). History: N.A.
F41E6.12,F41E6.12,147.034360144889,-90.2201,3.01039436659205e-31,F41E6.12,WBGene00018293,Public name for WBGene00018293. History: N.A.
F23D12.3,F23D12.3,8.00366562873935,-90.1543,3.17740729305143e-05,F23D12.3,WBGene00009087,Public name for WBGene00009087. History: N.A.
R05H10.1,R05H10.1,7.99953882204167,-90.0812,1.73760801178495e-05,R05H10.1,WBGene00011042,Public name for WBGene00011042. History: N.A.
T26H5.9,T26H5.9,7.9730913433339,-89.9993,1.73685249229741e-05,T26H5.9,WBGene00044206,Public name for WBGene00044206. History: N.A.
C02F12.3,snet-1,7.99296991457525,-89.9758,1.96396689421734e-05,C02F12.3,WBGene00015354,Sequence name for WBGene00015354(snet-1). History: N.A.
F14D7.10,F14D7.10,7.99037481209826,-89.9596,1.64683878744541e-05,F14D7.10,WBGene00008797,Public name for WBGene00008797. History: N.A.
Y43C5A.7,Y43C5A.7,7.96354265165146,-89.9095,2.12241967479501e-05,Y43C5A.7,WBGene00044922,Public name for WBGene00044922. History: N.A.
F26G1.11,F26G1.11,8.00105634557163,-89.8836,2.46303006115849e-05,F26G1.11,WBGene00045455,Public name for WBGene00045455. History: N.A.
M03D4.4,M03D4.4,15.7139816311121,-89.882,2.99262264118204e-06,M03D4.4,WBGene00019751,Public name for WBGene00019751. History: N.A.
M01D1.9,fbxb-40,7.95581549118339,-89.8634,3.0340622848401e-05,M01D1.9,WBGene00019704,Sequence name for WBGene00019704(fbxb-40). History: N.A.
Y80D3A.10,nlp-42,15.6928313740232,-89.8166,2.30828373582672e-06,Y80D3A.10,WBGene00013588,Sequence name for WBGene00013588(nlp-42). History: N.A.
Y47D3B.12,Y47D3B.12,15.6600643576467,-89.7239,2.09881877200654e-06,Y47D3B.12,WBGene00185055,Public name for WBGene00185055. History: N.A.
C54D10.13,C54D10.13,15.6011067917866,-89.6017,3.09432050387406e-06,C54D10.13,WBGene00045400,Public name for WBGene00045400. History: N.A.
F41E6.6,tag-196,752.277371009284,-89.4887,1.29295141088807e-175,F41E6.6,WBGene00007055,"Sequence name for WBGene00007055(tag-196). History: N.A.. Public name for Dead gene WBGene00018287. History of WBGene00018287: Merged into ""WBGene00007055"" on 2005-10-05"
M195.3,amt-3,15.6301466885409,-89.4238,3.30564194104567e-06,M195.3,WBGene00000135,Sequence name for WBGene00000135(amt-3). History: N.A.
F42F12.7,nspc-14,102.628695077652,-89.3695,2.30828162047968e-05,F42F12.7,WBGene00009638,Sequence name for WBGene00009638(nspc-14). History: N.A.
C52E2.4,C52E2.4,7.92636865435171,-89.3519,1.66791375461353e-05,C52E2.4,WBGene00016883,Public name for WBGene00016883. History: N.A.
C32B5.14,fbxc-18,28.4500892493357,-89.2172,4.57817569957799e-08,C32B5.14,WBGene00016307,Sequence name for WBGene00016307(fbxc-18). History: N.A.
ZK75.3,ins-3,7.91408060840551,-89.2108,1.82758096219454e-05,ZK75.3,WBGene00002086,Sequence name for WBGene00002086(ins-3). History: N.A.
Y9C9A.8,Y9C9A.8,7.9254549984378,-89.1258,2.13161783429009e-05,Y9C9A.8,WBGene00021178,"Public name for WBGene00021178. History: Split into Y9C9A.112(WBGene00235376). History of WBGene00021178: Split into ""WBGene00235376"" on 2013-10-17"
D1086.11,D1086.11,2394.09030536001,-88.9158,5.31645934850192e-25,D1086.11,WBGene00044081,Public name for WBGene00044081. History: N.A.
C42D4.3,C42D4.3,7.90013879184322,-88.8589,2.04893797782746e-05,C42D4.3,WBGene00016596,Public name for WBGene00016596. History: N.A.
C06C3.11,Pseudogene,7.88446921311441,-88.7831,5.90953497968704e-05,C06C3.11,WBGene00045404,Public name for WBGene00045404. History: N.A.
K08H2.7,K08H2.7,7.89670127854112,-88.6163,0.0001245198624093,K08H2.7,WBGene00010693,Public name for WBGene00010693. History: N.A.
T21G5.2,T21G5.2,7.84768723341493,-88.5496,1.94792551991812e-05,T21G5.2,WBGene00020660,Public name for WBGene00020660. History: N.A.
C44F1.1,C44F1.1,42.7399634562792,-88.3642,2.50418778715269e-11,C44F1.1,WBGene00008091,Public name for WBGene00008091. History: N.A.
Y75B8A.20,grl-15,7.79376566291509,-88.0057,5.81771643615671e-05,Y75B8A.20,WBGene00001724,Sequence name for WBGene00001724(grl-15). History: N.A.
C50D2.1,C50D2.1,7.79017339194754,-88.0003,2.42388096040588e-05,C50D2.1,WBGene00016805,Public name for WBGene00016805. History: N.A.
F59E11.12,nhr-144,7.85071237428178,-87.9778,2.96519470268176e-05,F59E11.12,WBGene00019117,Sequence name for WBGene00019117(nhr-144). History: N.A.
T24C2.5,T24C2.5,15.3886407707452,-87.9507,2.74971452431847e-06,T24C2.5,WBGene00011984,Public name for WBGene00011984. History: N.A.
W04G3.13,W04G3.13,7.80086235867187,-87.7131,5.14662555757308e-05,W04G3.13,WBGene00194793,Public name for WBGene00194793. History: N.A.
F15B9.5,try-10,155.089838832295,-87.6109,3.66660546546968e-41,F15B9.5,WBGene00008849,Sequence name for WBGene00008849(try-10). History: Split into F15B9.10(WBGene00045418). History of WBGene00008849: N.A.
C54D2.4,sul-3,29.2745401932689,-87.4554,2.47920647671178e-08,C54D2.4,WBGene00006310,Sequence name for WBGene00006310(sul-3). History: N.A.
Y38C1AA.9,Y38C1AA.9,15.2902071122087,-87.4378,2.55701680193174e-06,Y38C1AA.9,WBGene00021400,Public name for WBGene00021400. History: N.A.
F32A6.5,sto-2,7.60642364599497,-87.3546,2.21291681155416e-05,F32A6.5,WBGene00006064,Sequence name for WBGene00006064(sto-2). History: N.A.
B0238.12,B0238.12,15.2530781268551,-87.3492,2.54764162763524e-06,B0238.12,WBGene00015076,Public name for WBGene00015076. History: N.A.
Y40B1B.3,fbxb-66,28.074314856369,-87.3118,3.5312598801526e-08,Y40B1B.3,WBGene00044066,"Sequence name for WBGene00044066(fbxb-66). History: Renamed on 2005-12-13. Public name for Dead gene WBGene00012737. History of WBGene00012737: Merged into ""WBGene00044066"" on 2005-10-05"
F08D12.10,sdz-9,28.0936872681195,-87.2798,2.41938215145301e-08,F08D12.10,WBGene00017253,Sequence name for WBGene00017253(sdz-9). History: Renamed on 2005-12-13
C13D9.8,ncx-9,7.77301802608196,-87.2616,5.80175571313787e-05,C13D9.8,WBGene00003574,Sequence name for WBGene00003574(ncx-9). History: N.A.
C35C5.9,C35C5.9,15.2200382014742,-87.1756,3.90968858293836e-06,C35C5.9,WBGene00007958,Public name for WBGene00007958. History: N.A.
F49F1.1,drd-50,7.70151743009925,-87.083,2.82760605276957e-05,F49F1.1,WBGene00018643,Sequence name for WBGene00018643(drd-50). History: N.A.
T05A7.7,T05A7.7,7.73562314290218,-87.0451,4.04726694452066e-05,T05A7.7,WBGene00020224,Public name for WBGene00020224. History: N.A.
K08B4.6,cpi-1,747.863770329885,-87.0314,8.51010463608714e-118,K08B4.6,WBGene00000535,Sequence name for WBGene00000535(cpi-1). History: Renamed on 2006-01-04
C25E10.9,swm-1,175.969480720796,-87.014,1.8088869656666698e-42,C25E10.9,WBGene00023417,"Sequence name for WBGene00023417(swm-1). History: N.A.. Public name for Dead gene WBGene00016098. History of WBGene00016098: Merged into ""WBGene00023417"" on 2004-11-15"
F47G4.7,smd-1,84.7676771158981,-86.986,5.424977178060419e-22,F47G4.7,WBGene00004875,"Sequence name for WBGene00004875(smd-1). History: Split into F47G4.14(WBGene00303058). History of WBGene00004875: Split into ""WBGene00303058"" on 2018-03-02"
H12D21.9,H12D21.9,7.73140999730448,-86.9595,2.48575186607091e-05,H12D21.9,WBGene00010385,Public name for WBGene00010385. History: N.A.
C54F6.14,ftn-1,7.70435668650778,-86.9134,2.52683484376172e-05,C54F6.14,WBGene00001500,Sequence name for WBGene00001500(ftn-1). History: N.A.
T26H2.9,nhr-79,42.1483102809524,-86.8282,2.0548168631136098e-11,T26H2.9,WBGene00003669,Sequence name for WBGene00003669(nhr-79). History: N.A.
C35A5.2,ugt-33,7.68489624849747,-86.731,5.52452996796813e-05,C35A5.2,WBGene00007946,Sequence name for WBGene00007946(ugt-33). History: N.A.
C06E4.7,glb-2,7.70505097138843,-86.728,0.0001196637995116,C06E4.7,WBGene00015536,Sequence name for WBGene00015536(glb-2). History: N.A.
F56C4.3,glb-19,14.9488724396444,-86.6964,4.6127855252388e-06,F56C4.3,WBGene00010146,Sequence name for WBGene00010146(glb-19). History: N.A.
M7.3,bcc-1,55.9463393615134,-86.6731,2.4120197997058603e-15,M7.3,WBGene00000246,Sequence name for WBGene00000246(bcc-1). History: N.A.
T05C12.10,qua-1,15.1496519808934,-86.6499,4.43213379791583e-06,T05C12.10,WBGene00004264,Sequence name for WBGene00004264(qua-1). History: N.A.
Y41C4A.11,Y41C4A.11,573.889450206871,-86.5576,5.29901713539175e-125,Y41C4A.11,WBGene00012757,"Public name for WBGene00012757. History: Split into Y41C4A.32(WBGene00270321). History of WBGene00012757: Split into ""WBGene00270321"" on 2016-08-31"
T01C4.2,odr-2,7.55958605264514,-86.5411,2.41865098634583e-05,T01C4.2,WBGene00003849,Sequence name for WBGene00003849(odr-2). History: N.A.
F11C7.1,pbo-6,7.67957752810293,-86.4566,2.7188793357328e-05,F11C7.1,WBGene00017375,Sequence name for WBGene00017375(pbo-6). History: Renamed on 2008-02-01
B0379.1,B0379.1,69.1310472894142,-86.4536,3.9786923613855095e-18,B0379.1,WBGene00007155,Public name for WBGene00007155. History: N.A.
R12A1.4,ges-1,348.987349301302,-86.4312,9.56678568067833e-81,R12A1.4,WBGene00001578,Sequence name for WBGene00001578(ges-1). History: Renamed on 2019-05-20
ZK813.7,ZK813.7,1539.24731216869,-86.4252,1.99526279082411e-58,ZK813.7,WBGene00045394,Public name for WBGene00045394. History: N.A.
D2045.8,D2045.8,27.6127403432961,-86.3976,4.44592862685316e-08,D2045.8,WBGene00008425,Public name for WBGene00008425. History: N.A.
Y80D3A.3,ceh-51,7.6482956397895,-86.3528,2.33376748602904e-05,Y80D3A.3,WBGene00013583,Sequence name for WBGene00013583(ceh-51). History: Renamed on 2009-03-11
F55F3.3,nkb-3,153.79233098169,-86.2366,9.003707384053421e-38,F55F3.3,WBGene00010117,Sequence name for WBGene00010117(nkb-3). History: N.A.
C06E4.3,C06E4.3,7.65466602159545,-86.198,2.54568110185881e-05,C06E4.3,WBGene00015532,Public name for WBGene00015532. History: N.A.
C12D8.16,fipr-7,7.66754245401834,-85.9875,8.84799454063841e-05,C12D8.16,WBGene00007543,Sequence name for WBGene00007543(fipr-7). History: N.A.
H34P18.1,dmsr-12,7.59941893239044,-85.8627,2.6045453353188e-05,H34P18.1,WBGene00019262,Sequence name for WBGene00019262(dmsr-12). History: N.A.
F19C7.2,F19C7.2,69.292494215137,-85.8045,1.9850856554447e-18,F19C7.2,WBGene00017592,Public name for WBGene00017592. History: N.A.
F59F3.6,F59F3.6,7.62836346306039,-85.7302,3.72825819925664e-05,F59F3.6,WBGene00010335,Public name for WBGene00010335. History: N.A.
C37H5.9,nas-9,104.660177039218,-85.7052,7.34637365696567e-25,C37H5.9,WBGene00003528,Sequence name for WBGene00003528(nas-9). History: N.A.
F55B12.5,nrf-5,486.679352929865,-85.6509,7.19606869855897e-99,F55B12.5,WBGene00003812,"Sequence name for WBGene00003812(nrf-5). History: N.A.. Public name for Dead gene WBGene00010090. History of WBGene00010090: Merged into ""WBGene00003812"" on 2005-09-14"
F58G4.6,str-146,7.59547456801791,-85.6142,2.79930805289762e-05,F58G4.6,WBGene00006193,Sequence name for WBGene00006193(str-146). History: N.A.
F38C2.7,F38C2.7,7.5715012687196,-85.5776,3.2834866340215e-05,F38C2.7,WBGene00009539,Public name for WBGene00009539. History: N.A.
ZC374.2,ZC374.2,7.59154505057964,-85.5578,2.49552405650875e-05,ZC374.2,WBGene00013872,Public name for WBGene00013872. History: N.A.
Y43F8B.14,Y43F8B.14,7.62441372786039,-85.5498,6.67958665862446e-05,Y43F8B.14,WBGene00012824,Public name for WBGene00012824. History: N.A.
T12B3.2,T12B3.2,249.94218550991,-85.5352,1.42964615942138e-54,T12B3.2,WBGene00020445,Public name for WBGene00020445. History: N.A.
F22E12.1,F22E12.1,110.726596215171,-85.4781,5.80245564226546e-28,F22E12.1,WBGene00009058,Public name for WBGene00009058. History: N.A.
ZK678.5,wrt-4,14.9609871898939,-85.4204,7.96315312553646e-06,ZK678.5,WBGene00006950,Sequence name for WBGene00006950(wrt-4). History: N.A.
R09D1.11,chil-23,7.57173935885811,-85.4066,2.88046423635643e-05,R09D1.11,WBGene00011167,Sequence name for WBGene00011167(chil-23). History: N.A.
C49C3.11,C49C3.11,41.6142174476624,-85.4058,5.182730989922549e-11,C49C3.11,WBGene00008201,Public name for WBGene00008201. History: N.A.
K02E10.4,K02E10.4,7.55055144098904,-85.2159,2.62076821150352e-05,K02E10.4,WBGene00019318,Public name for WBGene00019318. History: N.A.
T07H3.6,bath-26,7.53276091725552,-85.1847,3.21243241472734e-05,T07H3.6,WBGene00020329,Sequence name for WBGene00020329(bath-26). History: N.A.
C05A9.1,pgp-5,195.799964071694,-85.1172,5.054762958162939e-49,C05A9.1,WBGene00003999,Sequence name for WBGene00003999(pgp-5). History: N.A.
T09B4.4,T09B4.4,41.295273223941,-85.0803,1.09000700754911e-11,T09B4.4,WBGene00020378,Public name for WBGene00020378. History: N.A.
T22F3.8,T22F3.8,7.56156899956239,-85.0702,7.68875668323057e-05,T22F3.8,WBGene00020698,Public name for WBGene00020698. History: N.A.
ZK1067.6,sym-2,14.8322801200973,-85.0369,3.70541101884945e-06,ZK1067.6,WBGene00006367,"Sequence name for WBGene00006367(sym-2). History: N.A.. Public name for Dead gene WBGene00014211. History of WBGene00014211: Merged into ""WBGene00006367"" on 2005-08-19"
M01H9.1,trx-3,7.58231451171542,-85.0239,0.0001531709546756,M01H9.1,WBGene00019717,Sequence name for WBGene00019717(trx-3). History: N.A.
B0410.3,B0410.3,96.0597239301575,-84.9488,1.16866518972739e-23,B0410.3,WBGene00015172,Public name for WBGene00015172. History: N.A.
Y69A2AR.4,smf-3,27.4059027339395,-84.9488,3.1918948422771e-08,Y69A2AR.4,WBGene00004878,Sequence name for WBGene00004878(smf-3). History: N.A.
F09E10.3,dhs-25,2349.6942356648,-84.9459,0.0,F09E10.3,WBGene00000988,Sequence name for WBGene00000988(dhs-25). History: N.A.
C55A6.12,C55A6.12,137.769308580336,-84.8889,2.2008738133985398e-33,C55A6.12,WBGene00044019,Public name for WBGene00044019. History: N.A.
C53A3.1,C53A3.1,7.5216738553921,-84.8724,2.63401987027668e-05,C53A3.1,WBGene00016891,"Public name for WBGene00016891. History: Split into C53A3.4(WBGene00303231). History of WBGene00016891: Split into ""WBGene00303231"" on 2018-05-16"
F54D7.4,zig-7,274.688419865899,-84.8695,6.32741555937645e-70,F54D7.4,WBGene00006984,Sequence name for WBGene00006984(zig-7). History: N.A.
Y38E10A.19,nhr-235,7.55103028802562,-84.8248,8.39750435801175e-05,Y38E10A.19,WBGene00012597,Sequence name for WBGene00012597(nhr-235). History: N.A.
B0365.7,dhc-3,14.8313590906439,-84.7587,3.44961727154322e-06,B0365.7,WBGene00007154,Sequence name for WBGene00007154(dhc-3). History: N.A.
M05D6.9,M05D6.9,7.53395741259712,-84.6554,8.68272585642308e-05,M05D6.9,WBGene00010881,Public name for WBGene00010881. History: N.A.
T24B8.5,T24B8.5,7.4793336547231,-84.6124,4.29155546999394e-05,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
R11F4.3,R11F4.3,7.47981434432036,-84.4566,2.89417113415752e-05,R11F4.3,WBGene00021052,"Public name for Dead gene WBGene00020009. History of WBGene00020009: Merged into ""WBGene00021052"" on 2019-11-21"
Y57G11B.5,Y57G11B.5,3427.26148569077,-84.3668,8.37628823466194e-21,Y57G11B.5,WBGene00013297,Public name for WBGene00013297. History: N.A.
ZC64.2,ttr-48,231.117511471985,-84.2623,1.5096685034286398e-55,ZC64.2,WBGene00022515,Sequence name for WBGene00022515(ttr-48). History: N.A.
F54F7.3,F54F7.3,286.343623437848,-84.2616,1.11153530082374e-55,F54F7.3,WBGene00010065,Public name for WBGene00010065. History: N.A.
C25D7.4,fbxa-82,7.55671083703634,-84.2013,2.63553697626934e-05,C25D7.4,WBGene00007716,Sequence name for WBGene00007716(fbxa-82). History: N.A.
W09G12.7,W09G12.7,27.1921403846208,-84.1666,1.23209832333343e-07,W09G12.7,WBGene00021121,Public name for WBGene00021121. History: N.A.
F28F9.1,zag-1,7.42444829737743,-84.0696,4.89026226180268e-05,F28F9.1,WBGene00006970,Sequence name for WBGene00006970(zag-1). History: Renamed on 2011-09-30
C26C6.9,C26C6.9,123.064923738659,-84.0061,6.6252723007676406e-31,C26C6.9,WBGene00007743,Public name for WBGene00007743. History: N.A.
Y57A10C.1,Y57A10C.1,7.39657546666077,-83.757,6.99047251934002e-05,Y57A10C.1,WBGene00013280,Public name for WBGene00013280. History: N.A.
C06E8.5,C06E8.5,7.39556893046986,-83.6596,0.000157914289102,C06E8.5,WBGene00015544,Public name for WBGene00015544. History: N.A.
Y51H7C.1,Y51H7C.1,7.41952972484734,-83.6358,3.2108625769219e-05,Y51H7C.1,WBGene00021779,Public name for WBGene00021779. History: N.A.
ZK337.5,mtd-1,14.5832423867232,-83.6197,4.16056825940655e-06,ZK337.5,WBGene00003471,Sequence name for WBGene00003471(mtd-1). History: N.A.
C01G6.9,C01G6.9,7.39579309698393,-83.6078,3.81825517968701e-05,C01G6.9,WBGene00007229,Public name for WBGene00007229. History: N.A.
T19D12.2,T19D12.2,109.254438955778,-83.5254,7.81204427049127e-26,T19D12.2,WBGene00020577,Public name for WBGene00020577. History: N.A.
C17G10.7,C17G10.7,7.42792318564706,-83.492,3.89783397548468e-05,C17G10.7,WBGene00015919,Public name for WBGene00015919. History: N.A.
Y46E12BL.1,tig-3,7.39889560758056,-83.439,6.34884918162874e-05,Y46E12BL.1,WBGene00021594,Sequence name for WBGene00021594(tig-3). History: N.A.
ZK721.2,unc-27,1954.41510022204,-83.3917,1.8255141229865202e-212,ZK721.2,WBGene00006764,Sequence name for WBGene00006764(unc-27). History: N.A.
F21F3.1,pgal-1,474.583949495438,-83.3896,6.89217307327548e-106,F21F3.1,WBGene00017671,Sequence name for WBGene00017671(pgal-1). History: N.A.
C28G1.1,ubc-23,40.67794964608,-83.334,1.3614933148777099e-11,C28G1.1,WBGene00006718,"Sequence name for WBGene00006718(ubc-23). History: Split into C28G1.10(WBGene00219376). History of WBGene00006718: Split into ""WBGene00219376"" on 2012-02-22"
ZC334.11,ins-27,7.42621922253044,-83.2979,7.53455750948125e-05,ZC334.11,WBGene00002110,Sequence name for WBGene00002110(ins-27). History: N.A.
B0034.1,B0034.1,14.5147261747281,-83.2535,7.64443036474946e-06,B0034.1,WBGene00015002,Public name for WBGene00015002. History: N.A.
ZK218.1,ZK218.1,7.39533643941865,-83.0034,6.75356905202084e-05,ZK218.1,WBGene00013935,Public name for WBGene00013935. History: N.A.
Y95B8A.2,Y95B8A.2,14.5156438757518,-82.8061,4.20051757395914e-06,Y95B8A.2,WBGene00003548,"Public name for Dead gene WBGene00022383. History of WBGene00022383: Merged into ""WBGene00003548"" on 2019-10-21"
M01D1.8,fbxb-41,14.4016364027352,-82.7705,4.99835555108503e-06,M01D1.8,WBGene00019703,Sequence name for WBGene00019703(fbxb-41). History: N.A.
C56E6.1,abcx-1,7.35217016371061,-82.7458,3.86427051534664e-05,C56E6.1,WBGene00006522,"Sequence name for WBGene00006522(abcx-1). History: Split into ""WBGene00195085"" on 2010-05-06. Public name for Dead gene WBGene00016969. History of WBGene00016969: Merged into ""WBGene00006522"" on 2005-10-05"
Y116A8C.17,dct-13,26.729504252655,-82.6884,5.16812923300499e-08,Y116A8C.17,WBGene00013794,Sequence name for WBGene00013794(dct-13). History: N.A.
Y113G7A.11,ssu-1,7.34472130325282,-82.6583,3.48667682619561e-05,Y113G7A.11,WBGene00013748,Sequence name for WBGene00013748(ssu-1). History: N.A.
F26A3.4,F26A3.4,279.329391776387,-82.6562,4.37455750465283e-64,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
T20D4.7,T20D4.7,7.34360407975957,-82.6344,3.49147220554987e-05,T20D4.7,WBGene00020613,Public name for WBGene00020613. History: N.A.
T02B11.6,T02B11.6,7.3375694594322,-82.5798,3.35581440243511e-05,T02B11.6,WBGene00020157,Public name for WBGene00020157. History: N.A.
Y75B8A.11,lury-1,7.32673879789415,-82.4756,3.60558615447752e-05,Y75B8A.11,WBGene00013548,Sequence name for WBGene00013548(lury-1). History: Renamed on 2017-11-13
Y41D4B.26,Y41D4B.26,7.31659172929854,-82.3886,4.45545208295167e-05,Y41D4B.26,WBGene00021525,Sequence name for WBGene00021525(cpg-24). History: N.A.
T11G6.3,T11G6.3,133.55085430331,-82.2571,4.0045762137572e-32,T11G6.3,WBGene00011718,Public name for WBGene00011718. History: N.A.
Y37D8A.23,unc-25,82.7485337326395,-82.2267,7.801996961090689e-22,Y37D8A.23,WBGene00006762,Sequence name for WBGene00006762(unc-25). History: N.A.
F44E2.4,F44E2.4,52.8929165638517,-82.1997,5.961734421940321e-15,F44E2.4,WBGene00018418,Public name for WBGene00018418. History: N.A.
F09E5.16,F09E5.16,7.3091344993652,-82.0762,5.15135365761078e-05,F09E5.16,WBGene00017292,Public name for WBGene00017292. History: N.A.
ZK945.1,lact-2,358.949183281507,-82.0701,3.3119934919972203e-91,ZK945.1,WBGene00014164,Sequence name for WBGene00014164(lact-2). History: N.A.
C03A7.13,C03A7.13,14.3223644410824,-82.056,4.49036246580535e-06,C03A7.13,WBGene00015371,Public name for WBGene00015371. History: N.A.
C36E6.3,mlc-1,747.130997131417,-82.0506,6.26607144288183e-169,C36E6.3,WBGene00003369,Sequence name for WBGene00003369(mlc-1). History: N.A.
W07G4.5,W07G4.5,240.371201133325,-81.9961,7.10956686996321e-62,W07G4.5,WBGene00012339,Public name for WBGene00012339. History: N.A.
C07A12.1,ham-2,7.2352123282771,-81.8458,3.92700305443156e-05,C07A12.1,WBGene00001821,Sequence name for WBGene00001821(ham-2). History: N.A.
T26H2.3,fbxb-2,7.21970439319615,-81.6273,4.48127351768198e-05,T26H2.3,WBGene00012065,Sequence name for WBGene00012065(fbxb-2). History: N.A.
Y105E8B.9,Y105E8B.9,119.423878415518,-81.6053,1.60139340946919e-29,Y105E8B.9,WBGene00013693,Public name for WBGene00013693. History: N.A.
ZC518.1,best-22,132.168388316904,-81.5195,2.9932958359775198e-33,ZC518.1,WBGene00013921,Sequence name for WBGene00013921(best-22). History: N.A.
C09E7.3,oig-1,14.2239595785482,-81.5195,9.20765762243452e-06,C09E7.3,WBGene00003859,Sequence name for WBGene00003859(oig-1). History: N.A.
C06C3.9,C06C3.9,7.24756515713052,-81.4677,6.16711603780154e-05,C06C3.9,WBGene00014668,"Public name for WBGene00014668. History: Split into C06C3.11(WBGene00045404). History of WBGene00014668: Split into ""WBGene00045404"" on 2007-05-02"
C13C12.2,C13C12.2,7.23084818003233,-81.2982,5.3946030843413e-05,C13C12.2,WBGene00007552,Sequence name for WBGene00007552(dyf-4). History: N.A.
K09C8.6,nlp-19,7.2094921948014,-81.281,3.48814972117884e-05,K09C8.6,WBGene00003757,Sequence name for WBGene00003757(nlp-19). History: N.A.
Y75B7AL.2,Y75B7AL.2,7.18492064690691,-81.2625,6.24159841974647e-05,Y75B7AL.2,WBGene00022285,Public name for WBGene00022285. History: N.A.
Y119D3B.9,fbxa-21,7.2174172468242,-81.1721,4.66348813480027e-05,Y119D3B.9,WBGene00022487,Sequence name for WBGene00022487(fbxa-21). History: N.A.
F49E10.1,tbc-16,14.1909435110659,-81.1379,4.30334512263805e-06,F49E10.1,WBGene00018639,Sequence name for WBGene00018639(tbc-16). History: N.A.
C50H2.10,fipr-11,7.22951045906893,-81.126,0.0001054032728714,C50H2.10,WBGene00008244,Sequence name for WBGene00008244(fipr-11). History: N.A.
ZC47.9,Pseudogene,7.19345565359288,-80.9317,4.30926606151411e-05,ZC47.9,WBGene00013841,Sequence name for WBGene00013841(fbxa-33). History: N.A.
C12D5.10,C12D5.10,7.19311962747046,-80.9245,4.3108021718751e-05,C12D5.10,WBGene00015711,Public name for WBGene00015711. History: N.A.
Y106G6H.10,Pseudogene,7.17249114915537,-80.9219,4.56409580139956e-05,Y106G6H.10,WBGene00013722,Public name for WBGene00013722. History: N.A.
M60.4,M60.4,106.117495274756,-80.8421,4.24920509548676e-28,M60.4,WBGene00019780,Public name for WBGene00019780. History: N.A.
C09C7.1,zig-4,7.17834376218564,-80.7604,4.18987277976436e-05,C09C7.1,WBGene00006981,Sequence name for WBGene00006981(zig-4). History: N.A.
F33E2.4,F33E2.4,7.15148120513456,-80.7233,3.94878584603479e-05,F33E2.4,WBGene00009360,Public name for WBGene00009360. History: N.A.
Y6G8.16,Y6G8.16,7.17915193025807,-80.5951,8.62507598964735e-05,Y6G8.16,WBGene00194801,Public name for WBGene00194801. History: N.A.
Y76A2B.3,acs-5,994.965274380645,-80.5516,1.81139616501617e-195,Y76A2B.3,WBGene00013575,Sequence name for WBGene00013575(acs-5). History: N.A.
F07F6.6,nmr-1,7.129924882402,-80.282,4.57583506016744e-05,F07F6.6,WBGene00003774,Sequence name for WBGene00003774(nmr-1). History: N.A.
C04F1.1,C04F1.1,7.12352588077098,-80.2446,5.58343950549358e-05,C04F1.1,WBGene00015442,Public name for WBGene00015442. History: N.A.
F58E1.10,fbxc-22,7.09868940422677,-80.1597,7.74495074405441e-05,F58E1.10,WBGene00019041,Sequence name for WBGene00019041(fbxc-22). History: N.A.
T06A1.1,T06A1.1,7.09283452336972,-80.1455,4.96697416607341e-05,T06A1.1,WBGene00020277,Public name for WBGene00020277. History: N.A.
F07C6.6,F07C6.6,7.11447983722919,-80.1218,4.71887483421024e-05,F07C6.6,WBGene00045067,Public name for WBGene00045067. History: N.A.
ZC455.3,ugt-3,7.08275000835563,-80.0371,7.04762012601304e-05,ZC455.3,WBGene00013903,Sequence name for WBGene00013903(ugt-3). History: N.A.
